País Destino, Año , Meses , Total registros , Total KG ,US$ / KG,US$
TAIWÁN,2021, Agosto ,  2 ,  1.305.762 ,"3,394",4431117
CHILE,2021, Agosto ,  6 ,  1.289.573 ,"2,132",2748964
MALASIA,2021, Agosto ,  1 ,  571.624 ,"1,654",945520
ESPAÑA,2021, Agosto ,  1 ,  346.636 ,"1,944",673978
FINLANDIA,2021, Agosto ,  1 ,  77 ,"0,013",1
CANADÁ,2021, Agosto ,  1 ,  129 ,"0,000",0
CHINA,2021, Septiembre ,  88 ,  549.129.560 ,"2,234",1226601784
JAPÓN,2021, Septiembre ,  5 ,  41.486.316 ,"2,105",87327930
COREA DEL SUR,2021, Septiembre ,  4 ,  32.752.753 ,"2,638",86418137
INDIA,2021, Septiembre ,  2 ,  23.301.622 ,"2,762",64356147
TAIWÁN,2021, Septiembre ,  4 ,  22.222.154 ,"2,166",48126827
AUSTRALIA,2021, Septiembre ,  5 ,  20.099.758 ,"1,683",33837752
FINLANDIA,2021, Septiembre ,  1 ,  10.017.128 ,"2,600",26048399
ESPAÑA,2021, Septiembre ,  2 ,  11.259.505 ,"2,134",24033170
MALASIA,2021, Septiembre ,  6 ,  5.212.011 ,"1,803",9398954
BRASIL,2021, Septiembre ,  1 ,  136 ,"0,736",100
CANADÁ,2021, Septiembre ,  1 ,  12 ,"1,000",12
CHINA,2021, Octubre ,  96 ,  472.853.092 ,"2,444",1155528752
COREA DEL SUR,2021, Octubre ,  4 ,  43.903.702 ,"2,372",104138943
ALEMANIA,2021, Octubre ,  1 ,  11.001.260 ,"3,606",39670764
BULGARIA,2021, Octubre ,  1 ,  11.000.340 ,"3,543",38969128
INDIA,2021, Octubre ,  1 ,  10.275.613 ,"3,113",31986336
CANADÁ,2021, Octubre ,  4 ,  10.333.152 ,"2,076",21447158
MALASIA,2021, Octubre ,  7 ,  4.188.419 ,"1,867",7819661
CHILE,2021, Octubre ,  7 ,  841.642 ,"2,838",2388687
ESPAÑA,2021, Octubre ,  2 ,  218 ,"14,526",3160
BRASIL,2021, Octubre ,  1 ,  2.536 ,"0,140",355
CHINA,2021, Noviembre ,  103 ,  423.098.652 ,"2,523",1067588042
ALEMANIA,2021, Noviembre ,  7 ,  74.126.853 ,"2,594",192315761
JAPÓN,2021, Noviembre ,  9 ,  82.842.448 ,"2,255",186794626
COREA DEL SUR,2021, Noviembre ,  5 ,  45.116.211 ,"2,837",128009225
ESPAÑA,2021, Noviembre ,  5 ,  35.980.950 ,"2,165",77910896
POLONIA,2021, Noviembre ,  1 ,  23.701.570 ,"2,741",64959891
FINLANDIA,2021, Noviembre ,  2 ,  18.641.199 ,"2,658",49553555
FILIPINAS,2021, Noviembre ,  2 ,  21.143.020 ,"2,069",43736117
SUECIA,2021, Noviembre ,  1 ,  9.539.326 ,"2,680",25562366
TAIWÁN,2021, Noviembre ,  2 ,  9.638.419 ,"1,760",16963066
MALASIA,2021, Noviembre ,  2 ,  1.640.634 ,"1,753",2875762
CHILE,2021, Noviembre ,  4 ,  770.375 ,"1,556",1198487
CHINA,2021, Diciembre ,  78 ,  559.891.956 ,"1,988",1113235728
JAPÓN,2021, Diciembre ,  6 ,  41.901.777 ,"1,931",80912827
COREA DEL SUR,2021, Diciembre ,  3 ,  23.500.144 ,"3,112",73132807
ALEMANIA,2021, Diciembre ,  2 ,  20.808.495 ,"3,136",65253978
ESPAÑA,2021, Diciembre ,  2 ,  26.125.316 ,"1,970",51459854
INDIA,2021, Diciembre ,  2 ,  21.882.365 ,"2,010",43975031
BULGARIA,2021, Diciembre ,  1 ,  11.000.080 ,"3,780",41585323
NAMIBIA,2021, Diciembre ,  1 ,  23.124.374 ,"1,727",39927700
MALASIA,2021, Diciembre ,  6 ,  5.181.587 ,"1,693","8772411,5"
TAIWÁN,2021, Diciembre ,  2 ,  1.168.866 ,"1,903",2223841
CANADÁ,2021, Diciembre ,  1 ,  100.274 ,"10,680",1070887
CHILE,2021, Diciembre ,  2 ,  24.820 ,"0,932",23129
CHINA,2022, Enero ,  80 ,  527.430.595 ,"2,252",1188036774
ALEMANIA,2022, Enero ,  4 ,  42.541.219 ,"3,116","132573176,7"
JAPÓN,2022, Enero ,  6 ,  52.500.547 ,"1,918",100707723
MÉXICO,2022, Enero ,  1 ,  20.262.586 ,"1,706",34562704
FILIPINAS,2022, Enero ,  1 ,  10.226.397 ,"2,353",24060096
ESPAÑA,2022, Enero ,  1 ,  5.175.769 ,"1,861",9633819
MALASIA,2022, Enero ,  9 ,  5.084.332 ,"1,661","8443519,99"
COREA DEL SUR,2022, Enero ,  3 ,  1.567.210 ,"2,006","3144116,96"
CHILE,2022, Enero ,  6 ,  1.246.885 ,"2,475","3086317,77"
CHINA,2022, Febrero ,  84 ,  436.307.841 ,"2,249","981123839,4"
COREA DEL SUR,2022, Febrero ,  9 ,  55.855.057 ,"2,566",143297011
JAPÓN,2022, Febrero ,  4 ,  31.502.459 ,"2,664",83921639
ALEMANIA,2022, Febrero ,  2 ,  21.091.208 ,"2,866",60444512
INDIA,2022, Febrero ,  1 ,  22.000.279 ,"1,983",43633473
BULGARIA,2022, Febrero ,  2 ,  20.819.746 ,"1,994",41512271
TAIWÁN,2022, Febrero ,  5 ,  22.189.360 ,"1,865",41375285
POLONIA,2022, Febrero ,  1 ,  9.987.970 ,"2,454",24507600
TURQUÍA,2022, Febrero ,  1 ,  9.915.704 ,"1,627",16137610
MALASIA,2022, Febrero ,  14 ,  5.952.189 ,"1,587","9445950,8"
CANADÁ,2022, Febrero ,  1 ,  121.530 ,"12,280",1492406
CHILE,2022, Febrero ,  2 ,  293.668 ,"1,882",552813
PAÍSES BAJOS,2022, Febrero ,  1 ,  2.000 ,"0,083",165
CHINA,2022, Marzo ,  81 ,  456.193.104 ,"2,043","932145741,8"
JAPÓN,2022, Marzo ,  3 ,  43.060.655 ,"2,191",94326425
COREA DEL SUR,2022, Marzo ,  4 ,  12.627.937 ,"3,528","44548961,55"
INDIA,2022, Marzo ,  1 ,  12.000.188 ,"2,424",29085445
MALASIA,2022, Marzo ,  3 ,  2.527.104 ,"1,987",5021965
MÉXICO,2022, Marzo ,  1 ,  826.311 ,"4,966",4103650
TAIWÁN,2022, Marzo ,  2 ,  1.158.651 ,"1,923",2228186
CHILE,2022, Marzo ,  4 ,  855.729 ,"2,510",2147727
ESPAÑA,2022, Marzo ,  1 ,  932.572 ,"0,001",1298
AUSTRALIA,2022, Marzo ,  2 ,  935 ,"0,108",101
CHINA,2022, Abril ,  92 ,  494.171.242 ,"2,218",1096275324
JAPÓN,2022, Abril ,  10 ,  52.002.180 ,"2,062",107213387
INDIA,2022, Abril ,  3 ,  30.847.351 ,"2,485",76664082
COREA DEL SUR,2022, Abril ,  2 ,  12.327.006 ,"2,356","29042714,62"
CANADÁ,2022, Abril ,  3 ,  1.407.230 ,"7,447",10480284
MALASIA,2022, Abril ,  4 ,  3.422.433 ,"1,950","6672172,12"
CHILE,2022, Abril ,  3 ,  556.441 ,"1,960","1090682,12"
MÉXICO,2022, Abril ,  1 ,  80 ,"0,625",50
AUSTRALIA,2022, Abril ,  1 ,  68 ,"0,512",35
ALEMANIA,2022, Abril ,  1 ,  4.275 ,"0,006",25
CHINA,2022, Mayo ,  58 ,  350.564.461 ,"2,033","712663611,3"
JAPÓN,2022, Mayo ,  13 ,  76.004.640 ,"1,963",149168086
COREA DEL SUR,2022, Mayo ,  3 ,  34.543.621 ,"2,143",74016986
BULGARIA,2022, Mayo ,  3 ,  30.405.324 ,"2,396",72846713
ESPAÑA,2022, Mayo ,  4 ,  28.701.440 ,"1,800","51672370,65"
INDIA,2022, Mayo ,  1 ,  21.550.324 ,"1,987",42826172
NAMIBIA,2022, Mayo ,  1 ,  19.597.363 ,"1,818",35637217
TAIWÁN,2022, Mayo ,  4 ,  17.274.504 ,"1,563","26996686,87"
MALASIA,2022, Mayo ,  3 ,  2.178.743 ,"1,627","3543980,75"
CANADÁ,2022, Mayo ,  1 ,  297.415 ,"8,695",2586001
HONG KONG,2022, Mayo ,  1 ,  1.214.413 ,"1,653",2007659
CHILE,2022, Mayo ,  1 ,  242.904 ,"5,402","1312230,12"
CHINA,2022, Junio ,  96 ,  590.478.720 ,"1,983",1170971405
NAMIBIA,2022, Junio ,  3 ,  35.480.826 ,"1,744",61878919
CANADÁ,2022, Junio ,  3 ,  31.707.800 ,"1,897",60140103
COREA DEL SUR,2022, Junio ,  2 ,  21.151.958 ,"2,279",48197666
FINLANDIA,2022, Junio ,  1 ,  22.154.228 ,"1,901",42124980
ESPAÑA,2022, Junio ,  2 ,  20.077.575 ,"1,765",35431678
JAPÓN,2022, Junio ,  1 ,  10.996.062 ,"3,043",33465152
ALEMANIA,2022, Junio ,  1 ,  9.902.413 ,"3,372",33389580
TAIWÁN,2022, Junio ,  3 ,  2.879.132 ,"2,031","5848026,24"
MALASIA,2022, Junio ,  2 ,  1.756.109 ,"1,605","2817837,37"
MÉXICO,2022, Junio ,  1 ,  530.519 ,"4,213","2235161,5"
CHILE,2022, Junio ,  4 ,  2.305 ,"0,130","300,04"
CHINA,2022, Julio ,  74 ,  503.190.803 ,"1,865","938620717,1"
JAPÓN,2022, Julio ,  10 ,  65.017.950 ,"1,618",105220042
COREA DEL SUR,2022, Julio ,  2 ,  22.000.330 ,"1,902",41854410
HONG KONG,2022, Julio ,  2 ,  2.417.485 ,"1,454",3515821
MÉXICO,2022, Julio ,  1 ,  369.499 ,"4,387","1621003,25"
CANADÁ,2022, Julio ,  3 ,  183.153 ,"8,655",1585214
CHILE,2022, Julio ,  2 ,  220.094 ,"6,377",1403543
TAIWÁN,2022, Julio ,  1 ,  749.419 ,"1,584",1186916
MALASIA,2022, Julio ,  1 ,  479.813 ,"1,244",596697
ESTADOS UNIDOS,2022, Julio ,  1 ,  884 ,"2,171",1920
CHINA,2022, Agosto ,  124 ,  561.230.597 ,"1,994",1119106744
JAPÓN,2022, Agosto ,  7 ,  63.711.213 ,"1,720",109559300
ALEMANIA,2022, Agosto ,  2 ,  21.027.934 ,"3,003",63142148
COREA DEL SUR,2022, Agosto ,  2 ,  22.004.603 ,"2,487",54721228
CANADÁ,2022, Agosto ,  2 ,  22.192.389 ,"1,833",40684308
INDIA,2022, Agosto ,  1 ,  23.000.447 ,"1,431",32916927
TAIWÁN,2022, Agosto ,  4 ,  11.887.041 ,"1,679",19963635
MALASIA,2022, Agosto ,  6 ,  4.154.986 ,"1,477",6135029
HUNGRÍA,2022, Agosto ,  1 ,  106 ,"57,925",6140
AUSTRALIA,2022, Agosto ,  1 ,  652 ,"0,002",1
CHINA,2022, Septiembre ,  80 ,  615.426.327 ,"1,904",1171735235
JAPÓN,2022, Septiembre ,  5 ,  51.918.257 ,"1,904",98841662
COREA DEL SUR,2022, Septiembre ,  2 ,  22.198.256 ,"2,680",59480576
ESPAÑA,2022, Septiembre ,  3 ,  29.931.756 ,"1,617",48392516
INDIA,2022, Septiembre ,  1 ,  11.000.190 ,"2,428",26707140
ALEMANIA,2022, Septiembre ,  1 ,  10.105.226 ,"2,562",25893142
TAIWÁN,2022, Septiembre ,  6 ,  12.215.782 ,"1,769",21610994
MALASIA,2022, Septiembre ,  6 ,  12.039.481 ,"1,575",18957155
CANADÁ,2022, Septiembre ,  2 ,  386.414 ,"7,232",2794726
CHILE,2022, Septiembre ,  2 ,  504.912 ,"3,198",1614670
CHINA,2022, Octubre ,  75 ,  482.203.424 ,"2,004",966268774
JAPÓN,2022, Octubre ,  5 ,  64.637.305 ,"1,805",116697282
NAMIBIA,2022, Octubre ,  1 ,  28.595.997 ,"1,569",44857396
FINLANDIA,2022, Octubre ,  1 ,  11.277.740 ,"2,785",31402928
BULGARIA,2022, Octubre ,  1 ,  10.023.342 ,"3,068",30756224
POLONIA,2022, Octubre ,  1 ,  12.000.546 ,"1,956",23473944
ALEMANIA,2022, Octubre ,  1 ,  10.158.978 ,"2,297",23330488
COREA DEL SUR,2022, Octubre ,  1 ,  10.000.845 ,"1,499",14986405
ESPAÑA,2022, Octubre ,  1 ,  9.700.592 ,"1,425",13824352
MALASIA,2022, Octubre ,  5 ,  4.558.199 ,"1,729",7882969
MÉXICO,2022, Octubre ,  1 ,  521.208 ,"7,146",3724576
TAIWÁN,2022, Octubre ,  2 ,  1.353.863 ,"1,826",2472280
ZONA FRANCA PERÚ,2022, Octubre ,  1 ,  91.620 ,"0,047",4332
ESTADOS UNIDOS,2022, Octubre ,  1 ,  50 ,"0,400",20
CHILE,2022, Octubre ,  1 ,  285 ,"0,000",0
CHINA,2022, Noviembre ,  85 ,  337.192.672 ,"1,980",667547135
JAPÓN,2022, Noviembre ,  7 ,  53.450.056 ,"1,603",85668337
ALEMANIA,2022, Noviembre ,  1 ,  10.003.890 ,"3,327",33287856
MALASIA,2022, Noviembre ,  5 ,  5.026.735 ,"1,663",8359328
AUSTRALIA,2022, Noviembre ,  1 ,  16 ,"1,028",16
CHINA,2022, Diciembre ,  76 ,  369.191.361 ,"1,902",702294025
JAPÓN,2022, Diciembre ,  9 ,  75.288.511 ,"1,542",116065472
ESPAÑA,2022, Diciembre ,  2 ,  29.000.451 ,"1,712",49656668
COREA DEL SUR,2022, Diciembre ,  6 ,  16.790.303 ,"2,620",43998187
FILIPINAS,2022, Diciembre ,  1 ,  21.268.330 ,"1,791",38084288
BULGARIA,2022, Diciembre ,  1 ,  10.472.170 ,"3,185",33357814
MALASIA,2022, Diciembre ,  4 ,  4.039.229 ,"1,641",6627978
CANADÁ,2022, Diciembre ,  1 ,  326.966 ,"10,117",3307891
TAIWÁN,2022, Diciembre ,  2 ,  675.078 ,"1,920",1296219
ESTADOS UNIDOS,2022, Diciembre ,  1 ,  796 ,"0,888",707
INDIA,2022, Diciembre ,  1 ,  10 ,"3,158",30
