,,Edad,Ponderado del anterior ciclo,Sexo,Becado,Tipo de beca,Ciclo,Carrera,Estado socieconómico,Cantidad de cursos que llevas en el actual ciclo,Cursos desaprobados,Metodo de movilización,estudias (camino),Minutos de estudio en el trayecto,Alimentos,Horas de descanso/diario,Horas de estudio (fuera de clases),deporte (si/no),Deporte favorito,Horas de ejercicio,Horas de ocio,Nivel de estres,Nivel de vida saludable,Ponderado,.
,,19,13.49,Femenino,Sí,Beca 18: todas sus modalidades,7,Ing.Ambiental,Pobre,6,2,Caminando,no,,Un poco de ambos,6,5,Si,"Hacer ejercicios o ir al gym,",2,2,10,4,13.49,
,,19,15,Femenino,No,,5,Bioingeniería,No pobre,5,0,Bicicleta,no,,Un poco de ambos,6,2,Si,Fútbol,1,1,7,2,15,
,,20,15,Masculino,Sí,Beca 18: todas sus modalidades,3,Ciencias de la Computación,Pobre,7,0,Patines,si,30,Alimentos no saludables,9,5,No,,,3,2,4,15,
,,19,13,Masculino,Sí,Beca 18: todas sus modalidades,6,Ciencias de la Computación,Pobre,5,2,Caminando,no,,Un poco de ambos,4,2,No,,,2,9,1,13,
,,19,13.67,Masculino,Sí,Beca 18: todas sus modalidades,7,Bioingeniería,Pobre,6,1,Metropolitano,no,,Un poco de ambos,6,2,Si,Fútbol,1,2,7,3,13.67,
,,18,14,Masculino,Sí,Beca 18: todas sus modalidades,3,Ing. Civil,No pobre,8,1,Metropolitano,si,60,Alimentos no saludables,9,3,No,,,4,4,3,14,
,,19,15,Femenino,Sí,Beca 18: todas sus modalidades,9,Bioingeniería,Pobre,6,2,Caminando,no,,Alimentos saludables,6,5,No,,,3,8,3,15,
,,19,16.78,Masculino,Sí,Beca 18: todas sus modalidades,10,Ing. Civil,Extrema Pobreza,6,0,Carro,si,50,Alimentos no saludables,8,6,No,,,3,9,5,16.78,
,,18,14,Femenino,No,,7,Bioingeniería,No pobre,4,0,Bus,no,,Un poco de ambos,6,3,No,,,2,8,3,14,
,,17,17.1,Femenino,No,,10,Ing.Química,No pobre,5,0,Metropolitano,si,30,Alimentos no saludables,8,7,No,,,2,8,5,17.1,
,,18,14,Masculino,Sí,Beca 18: todas sus modalidades,3,Bioingeniería,Extrema Pobreza,6,2,Bus,no,,Un poco de ambos,3,3,Si,Básquet,1,2,5,2,14,
,,20,14.73,Masculino,No,,5,Ing.Industrial,Pobre,4,2,Metropolitano,no,,Un poco de ambos,4,3,Si,Fútbol,1,5,5,3,14.73,
,,20,14.3,Masculino,No,,4,Ing. Mecánica,No pobre,5,0,Corredor,si,20,Alimentos no saludables,10,3,No,,,3,5,3,14.3,
,,22,13,Masculino,No,,7,Ing.Química,No pobre,7,3,Metropolitano,si,10,Alimentos no saludables,7,2,No,,,1,7,3,13,
,,21,15.63,Femenino,Sí,Beca 18: todas sus modalidades,3,Bioingeniería,Pobre,5,0,Bus,si,25,Un poco de ambos,8,5,No,,,2,4,2,15.63,
,,21,13,Masculino,No,,8,Ing.Industrial,No pobre,5,1,Carro,si,15,Un poco de ambos,7,2,No,,,4,7,3,13,
,,21,14,Masculino,No,,5,Ing.Industrial,Pobre,4,3,Metropolitano,si,100,Alimentos saludables,7,3,No,,,3,5,4,14,
,,18,14,Femenino,No,,4,Ing.Ambiental,No pobre,5,0,Metropolitano,no,,Un poco de ambos,6,3,No,,,2,5,3,14,
,,19,15,Femenino,Sí,Beca BCP,1,Bioingeniería,Pobre,6,0,Metropolitano,si,20,Alimentos saludables,7,5,No,,,2,4,2,15,
,,20,14,Masculino,No,,5,Ing. Mecánica,No pobre,6,1,Metropolitano,no,,Alimentos saludables,6,3,No,,,2,5,3,14,
,,22,13,Masculino,Sí,Beca 18: todas sus modalidades,6,Ing.Ambiental,No pobre,4,0,Metropolitano,no,,Un poco de ambos,3,2,No,,,4,7,3,13,
,,19,15,Masculino,No,,3,Ing. Civil,No pobre,6,1,Carro,no,,Un poco de ambos,6,5,No,,,3,4,3,15,
,,18,16,Femenino,No,,3,Administración y negocios digitales,No pobre,5,0,Microbus,no,,Un poco de ambos,6,6,No,,,2,4,3,16,
,,20,13,Masculino,No,,8,Ing. Civil,No pobre,4,1,Metropolitano,no,,Un poco de ambos,8,2,No,,,4,7,4,13,
,,20,15,Femenino,Sí,Beca Colaboradores UTEC,4,Ing.Ambiental,No pobre,6,1,Tren,si,15,Alimentos saludables,8,5,No,,,3,4,3,15,
,,17,15,Femenino,Sí,Beca 18: todas sus modalidades,3,Ing. Electrónica,Pobre,6,0,Microbus,no,,Un poco de ambos,6,5,Si,Bailar,1,2,4,4,15,
,,19,13,Femenino,Sí,Beca 18: todas sus modalidades,8,Ing.Ambiental,Pobre,5,1,Metropolitano,no,,Un poco de ambos,7,2,No,,,2,7,4,13,
,,19,16,Masculino,Sí,Beca Hijo de Docentes,3,Ing.Mecatrónica,Pobre,7,0,Corredor,si,25,Alimentos no saludables,8,6,No,,,3,4,3,16,
,,19,17.03,Masculino,Sí,Beca 18: todas sus modalidades,4,Ciencias de la Computación,Pobre,6,0,Carro,si,60,Alimentos saludables,7,7,No,,,3,5,3,17.03,
,,17,14,Masculino,No,,4,Ciencias de la Computación,No pobre,5,0,Carro,no,,Alimentos saludables,7,3,No,,,2,5,4,14,
,,24,15,Femenino,No,,4,Ing.Ambiental,No pobre,6,0,Carro,no,,Alimentos saludables,6,5,No,,,3,4,4,15,
,,21,15,Masculino,No,,4,Ing. Electrónica,No pobre,6,1,Metropolitano,si,10,Alimentos saludables,6,5,No,,,4,4,4,15,
,,20,12,Masculino,Sí,Beca terceros: Integral,9,Administración y negocios digitales,No pobre,7,2,Tren,si,10,Un poco de ambos,5,2,No,,,2,8,5,12,
,,24,16,Masculino,No,,5,Ing.Química,No pobre,6,0,Metropolitano,no,,Alimentos saludables,9,6,No,,,3,4,4,16,
,,24,15,Masculino,Sí,Beca 18: todas sus modalidades,4,Ing. Electrónica,Pobre,7,1,Tren,si,20,Un poco de ambos,7,5,No,,,2,4,5,15,
,,21,16,Femenino,Sí,Beca Colaboradores UTEC,5,Ing.Industrial,No pobre,5,0,Tren,si,20,Alimentos no saludables,7,6,No,,,2,4,5,16,
,,21,14,Femenino,Sí,Beca 18: todas sus modalidades,6,Ing. Mecánica,No pobre,5,0,Metropolitano,no,,Un poco de ambos,6,3,Si,"Hacer ejercicios o ir al gym,",1,3,5,4,14,
,,23,15,Masculino,Sí,Beca Avanzando Juntos,5,Ing. Civil,No pobre,6,0,Metropolitano,si,20,Alimentos saludables,8,5,No,,,2,4,3,15,
,,24,13,Masculino,No,,6,Ing.Química,Pobre,6,0,Metropolitano,no,,Alimentos no saludables,6,2,No,,,2,7,4,13,
,,19,15,Masculino,Sí,Beca 18: todas sus modalidades,3,Bioingeniería,Pobre,5,0,Microbus,no,,Alimentos no saludables,10,5,No,,,4,4,2,15,
,,20,14.3,Masculino,Sí,Beca 18: todas sus modalidades,3,Ing.Industrial,Pobre,7,1,Bus,no,,Un poco de ambos,5,3,No,,,2,4,3,14.3,
,,20,13,Masculino,Sí,Beca 18: todas sus modalidades,6,Ing. Electrónica,No pobre,6,1,Carro,si,30,Alimentos no saludables,6,2,No,,,3,7,2,13,
,,23,14,Masculino,No,,6,Ing. de la energía,No pobre,5,0,Metropolitano,no,,Un poco de ambos,8,5,No,,,4,5,4,14,
,,19,15,Femenino,Sí,Beca 18: todas sus modalidades,3,Ing.Ambiental,Extrema Pobreza,6,0,Bus,si,120,Alimentos saludables,8,5,No,,,2,4,2,15,
,,17,15,Masculino,No,,5,Ing.Industrial,No pobre,5,0,Carro,si,30,Alimentos saludables,8,5,No,,,3,4,3,15,
,,22,16,Masculino,No,,4,Ciencia de datos,Pobre,4,0,Microbus,no,,Un poco de ambos,6,6,No,,,2,4,3,16,
,,17,13,Masculino,No,,3,Ing.Química,No pobre,7,1,Carro,no,,Un poco de ambos,8,2,Si,Fútbol,1,2,7,3,13,
,,24,16,Femenino,No,,4,Ing.Química,No pobre,5,0,Patines,no,,Alimentos saludables,6,6,No,,,2,4,4,16,
,,21,14,Masculino,No,,5,Ing.Ambiental,No pobre,5,0,Carro,no,,Un poco de ambos,5,3,Si,Fútbol,1,2,5,4,14,
,,21,15.63,Femenino,Sí,Beca 18: todas sus modalidades,3,Bioingeniería,Pobre,5,0,Bus,si,25,Un poco de ambos,7,5,No,,,4,4,3,15.63,
,,22,16,Masculino,No,,4,Ing. Civil,No pobre,6,1,Carro,no,,Un poco de ambos,4,6,Si,"Hacer ejercicios o ir al gym,",1,2,4,4,16,
,,20,15,Masculino,No,,4,Ing.Ambiental,No pobre,6,0,Carro,no,,Un poco de ambos,6,5,No,,,3,4,2,15,
,,22,16,Femenino,No,,5,Ing. Civil,No pobre,6,0,Carro,no,,Alimentos saludables,6,6,Si,Fútbol,1,2,4,4,16,
,,16,16,Femenino,No,,2,Ciencias de la Computación,No pobre,6,3,Metropolitano,si,30,Alimentos no saludables,7,6,No,,,3,4,3,16,
,,18,16,Femenino,Sí,Beca UTEC,3,Administración y negocios digitales,Pobre,6,5,Corredor,si,45,Alimentos no saludables,7,6,No,,,3,4,2,16,
,,20,13,Masculino,No,,5,Ciencia de datos,No pobre,6,3,Carro,no,,Un poco de ambos,6,2,No,,,2,7,3,13,
,,21,2,Femenino,No,,6,Administración y negocios digitales,No pobre,6,3,Carro,si,25,Un poco de ambos,8,2,No,,,3,8,4,12,
,,20,14,Masculino,No,,4,Bioingeniería,No pobre,7,6,Tren,no,,Un poco de ambos,6,3,No,,,3,5,4,14,
,,23,13,Femenino,No,,7,Ing.Industrial,No pobre,6,5,Carro,si,30,Alimentos saludables,5,2,No,,,3,7,2,13,
,,16,14,Masculino,No,,4,Ing. Civil,No pobre,6,0,Metropolitano,no,,Un poco de ambos,6,3,No,,,2,5,4,14,
,,18,15,Masculino,Sí,Beca 18: todas sus modalidades,3,Ing. Civil,No pobre,6,4,Corredor,no,,Un poco de ambos,6,5,No,,,2,4,4,15,
,,17,14,Masculino,No,,3,Ing. Civil,No pobre,6,3,Carro,no,,Un poco de ambos,8,3,No,,,2,5,4,14,
,,21,14,Masculino,Sí,Beca BCP,2,Ing. de la energía,Pobre,5,5,Metropolitano,no,,Un poco de ambos,7,3,Si,Fútbol,1,3,5,4,14,
,,21,14,Masculino,No,,2,Bioingeniería,No pobre,6,4,Carro,no,,Un poco de ambos,6,3,Si,Fútbol,1,3,5,3,14,
,,20,14,Masculino,No,,4,Ing.Mecatrónica,Pobre,6,5,Microbus,no,,Alimentos saludables,9,3,Si,"Hacer ejercicios o ir al gym,",2,2,5,4,14,
,,22,14,Masculino,Sí,Beca 18: todas sus modalidades,4,Ing.Química,Pobre,5,4,Carro,no,,Alimentos saludables,9,3,Si,"Hacer ejercicios o ir al gym,",2,2,5,4,14,
,,21,15,Femenino,Sí,Beca BCP,4,Administración y negocios digitales,No pobre,6,2,Metropolitano,no,,Alimentos saludables,6,5,No,,,2,4,4,15,
,,18,13,Masculino,No,,5,Ciencia de datos,No pobre,6,3,Corredor,no,,Un poco de ambos,6,2,No,,,2,8,4,13,
,,18,15.01,Femenino,Sí,Beca 18: todas sus modalidades,3,Bioingeniería,Pobre,7,1,Caminando,no,,Un poco de ambos,4,5,Si,JUDO,2,1,4,3,15.01,
,,21,15,Masculino,No,,5,Ing.Ambiental,No pobre,4,0,Metropolitano,no,,Un poco de ambos,8,5,No,,,2,4,4,15,
,,21,14,Masculino,No,,5,Ciencias de la Computación,No pobre,5,5,Metropolitano,no,,Un poco de ambos,9,3,No,,,2,5,4,14,
,,17,16,Femenino,No,,2,Ing. Civil,No pobre,6,4,Metropolitano,no,,Alimentos saludables,8,6,No,,,2,4,4,16,
,,22,13,Masculino,No,,5,Ciencias de la Computación,No pobre,6,4,Carro,no,,Alimentos saludables,8,2,No,,,2,7,4,13,
,,20,15,Masculino,No,,4,Ing.Ambiental,No pobre,5,3,Caminando,no,,Alimentos saludables,6,5,No,,,2,4,3,15,
,,19,16,Masculino,No,,6,Ing.Química,Pobre,5,0,Metropolitano,no,,Un poco de ambos,8,6,No,,,1,4,4,16,
,,19,16,Masculino,No,,4,Ing. Mecánica,No pobre,5,3,Corredor,no,,Un poco de ambos,9,6,Si,"Hacer ejercicios o ir al gym,",2,2,4,4,16,
,,20,12.5,Masculino,Sí,Beca BCP,6,Ciencias de la Computación,Pobre,5,3,Tren,si,30,Alimentos no saludables,8,2,No,,,3,8,4,12.5,
,,19,14,Femenino,No,,4,Ing.Ambiental,No pobre,6,3,Carro,si,20,Alimentos no saludables,8,3,No,,,2,5,3,14,
,,18,14,Masculino,No,,4,Ing.Ambiental,No pobre,5,3,Metropolitano,si,15,Alimentos saludables,8,3,No,,,3,5,3,14,
,,21,15,Masculino,Sí,Beca 18: todas sus modalidades,6,Ing.Ambiental,No pobre,6,3,Metropolitano,si,35,Alimentos no saludables,6,5,No,,,4,4,3,15,
,,23,15,Masculino,No,,4,Ing.Mecatrónica,Pobre,7,5,Tren,si,40,Alimentos saludables,5,5,No,,,2,4,2,15,
,,22,5,Masculino,Sí,Beca 18: todas sus modalidades,6,Ing. Electrónica,No pobre,5,6,Metropolitano,si,26,Alimentos saludables,6,2,No,,,3,7,4,12,
,,19,15,Masculino,Sí,Beca 18: todas sus modalidades,3,Ciencias de la Computación,No pobre,6,4,Corredor,si,29,Alimentos no saludables,8,5,No,,,2,4,2,15,
,,17,16,Masculino,Sí,Beca Perú,3,Ing.Industrial,No pobre,5,4,Tren,no,,Un poco de ambos,8,6,Si,"Hacer ejercicios o ir al gym,",2,2,4,3,16,
,,20,16,Masculino,No,,4,Bioingeniería,Pobre,4,4,Carro,si,27,Alimentos saludables,7,6,No,,,2,4,5,16,
,,23,14,Femenino,No,,6,Bioingeniería,No pobre,6,4,"Metropolitano,",si,34,Alimentos saludables,7,3,No,,,2,4,5,14,
,,21,15,Masculino,No,,5,Ciencias de la Computación,No pobre,6,3,Metropolitano,no,,Un poco de ambos,9,5,Si,"Hacer ejercicios o ir al gym,",2,2,4,4,15,
,,19,14,Femenino,No,,3,Ing.Industrial,Pobre,6,3,Metropolitano,si,20,Alimentos saludables,8,3,No,,,5,4,2,14,
,,20,14,Femenino,No,,3,Ciencias de la Computación,No pobre,6,4,Metropolitano,si,30,Un poco de ambos,8,3,No,,,3,4,3,14,
,,19,15,Masculino,Sí,Beca Colaboradores UTEC,3,Ing.Industrial,Pobre,7,2,Corredor,si,35,Alimentos no saludables,8,5,No,,,3,4,3,15,
,,17,16,Femenino,Sí,Beca UTEC,3,Ing.Química,Pobre,6,0,Corredor,si,45,Un poco de ambos,9,6,No,,,2,4,2,16,
,,23,14,Masculino,No,,4,Ing.Química,No pobre,7,3,Metropolitano,si,20,Un poco de ambos,7,3,No,,,4,4,3,14,
,,21,16,Femenino,Sí,Beca UTEC,4,Ing.Industrial,Pobre,6,2,Tren,si,40,Alimentos saludables,7,6,No,,,4,4,4,16,
,,22,16,Masculino,No,,3,Ciencias de la Computación,No pobre,5,2,Carro,no,,Un poco de ambos,7,6,Si,"Hacer ejercicios o ir al gym,",2,2,4,3,16,
,,21,12,Femenino,No,,7,Ing. Civil,No pobre,6,4,Tren,no,,Un poco de ambos,5,2,No,,,2,8,3,12,
,,24,13,Femenino,No,,7,Ing.Química,No pobre,6,4,Carro,no,,Alimentos saludables,8,2,No,,,2,7,3,13,
,,18,14,Femenino,No,,4,Ing. Mecánica,No pobre,6,3,Metropolitano,no,,Un poco de ambos,6,5,No,,,2,4,3,14,
,,22,12,Masculino,No,,6,Administración y negocios digitales,No pobre,5,3,Corredor,no,,Un poco de ambos,6,2,No,,,2,8,3,12,
,,21,13,Femenino,No,,5,Ciencias de la Computación,No pobre,6,3,Carro,no,,Alimentos saludables,7,2,No,,,2,7,3,13,
,,24,13,Masculino,No,,7,Ciencia de datos,No pobre,5,4,Carro,no,,Un poco de ambos,6,2,Si,Fútbol,1,2,7,3,13,
,,21,16,Masculino,Sí,Beca Colaboradores UTEC,5,Ing.Química,Pobre,4,2,Tren,si,30,Alimentos no saludables,7,6,No,,,2,4,4,16,
,,19,14,Femenino,Sí,Beca Perú,4,Ciencia de datos,No pobre,5,3,Tren,si,30,Un poco de ambos,9,3,No,,,3,4,3,14,
,,20,14,Femenino,Sí,Beca BCP,5,Ing. de la energía,Pobre,6,3,Metropolitano,no,,Un poco de ambos,7,3,No,,,2,4,3,14,
,,19,15,Femenino,No,,5,Ing.Industrial,No pobre,5,6,Carro,no,,Un poco de ambos,7,5,Si,"Hacer ejercicios o ir al gym,",2,2,4,3,15,
,,18,16,Femenino,No,,3,Ing.Química,No pobre,6,6,Scooter,no,,Un poco de ambos,6,6,No,,,2,4,4,16,
,,22,12,Masculino,No,,6,Ing.Ambiental,No pobre,6,3,Metropolitano,si,30,Un poco de ambos,9,2,No,,,4,8,2,12,
,,19,13,Masculino,No,,6,Ing. de la energía,No pobre,5,4,Carro,si,25,Un poco de ambos,8,2,No,,,4,8,4,13,
,,21,15,Femenino,No,,4,Ing. Mecánica,No pobre,6,2,Metropolitano,si,15,Alimentos no saludables,7,5,No,,,5,4,5,15,
,,18,14,Femenino,No,,5,Ing.Industrial,No pobre,5,3,Carro,si,20,Un poco de ambos,7,3,No,,,3,4,3,14,
,,22,13,Masculino,No,,2,Ing.Industrial,No pobre,6,4,Metropolitano,si,20,Alimentos saludables,5,2,No,,,4,8,3,13,
,,24,16,Femenino,No,,6,Ing. de la energía,No pobre,7,2,Carro,no,,Un poco de ambos,6,6,No,,,2,4,4,16,
,,22,14,Masculino,No,,3,Ciencias de la Computación,No pobre,5,1,Microbus,no,,Un poco de ambos,6,3,Si,Karate Do Shotokan,2,5,4,2,14,
,,23,12,Femenino,No,,5,Ing. Mecánica,No pobre,6,4,Carro,si,15,Un poco de ambos,5,2,No,,,3,7,4,12,
,,15,15,Femenino,Sí,Beca UTEC,5, ,No pobre,4,3,Corredor,si,20,Un poco de ambos,6,5,No,,,4,4,3,15,
,,19,15,Femenino,Sí,Beca Colaboradores UTEC,7,Ing.Industrial,No pobre,5,6,Metropolitano,si,15,Alimentos saludables,7,5,No,,,2,4,5,15,
,,21,16,Femenino,No,,7,Ing.Ambiental,Pobre,7,6,Microbus,no,,Alimentos no saludables,4,6,No,,,1,3,2,16,
,,21,15,Masculino,No,,6,Ing. Mecánica,No pobre,4,2,Metropolitano,si,20,Alimentos no saludables,8,2,No,,,3,4,4,15,
,,23,16,Femenino,No,,8,Ing.Química,No pobre,6,4,Carro,no,,Un poco de ambos,7,6,No,,,2,4,3,16,
,,21,12,Masculino,Sí,Beca 18: todas sus modalidades,6,Ing. de la energía,Pobre,6,2,Metropolitano,si,30,Alimentos no saludables,9,2,No,,,3,8,2,12,
,,19,13,Femenino,No,,6,Ing.Industrial,No pobre,4,3,Carro,no,,Alimentos saludables,7,2,No,,,2,8,3,13,
,,22,16,Femenino,Sí,Beca 18: todas sus modalidades,6,Ciencias de la Computación,Pobre,7,2,Metropolitano,si,20,Un poco de ambos,7,6,No,,,2,3,3,16,
,,18,15,Femenino,Sí,Beca 18: todas sus modalidades,4,Ing.Ambiental,Pobre,5,2,Corredor,si,15,Alimentos no saludables,8,5,No,,,3,4,5,15,
,,21,15,Femenino,No,,6,Ing. de la energía,Pobre,6,3,Tren,no,,Un poco de ambos,7,5,No,,,1,4,3,15,
,,18,13,Femenino,No,,3,Ciencia de datos,No pobre,6,6,Metropolitano,si,15,Alimentos saludables,8,2,No,,,3,7,4,13,
,,19,14,Masculino,No,,4,Ing.Industrial,No pobre,4,3,Carro,si,25,Alimentos no saludables,8,4,No,,,3,5,5,14,
