Marca temporal,Género,Edad,Ciclo,Carrera,Promedio ponderado,Veces que tomaste un mismo curso en 2 oportunidades,Veces que tomaste un mismo curso en 3 oportunidades,Cantidad de cursos matriculados este ciclo,Grado de dificultad promedio de los cursos de este ciclo,¿En qué escala de pago te encuentras?,¿Te parece alto el valor por crédito en tu escala?,¿Cuentas con algún tipo de Beca?,¿Cuánto has gastado en asesorías adicionales para tus cursos este ciclo?,¿Cuántas son tus horas de sueño promedio?,Cantidad de veces que comes al día,¿Qué tan satisfecho(a) te encuentras con tu rutina diaria actual?,Selecciona las frases que te identifican esta semana,"¿Con qué sentimientos te identificas antes de dar un examen, PC, o test semanal?",¿Con qué sentimientos te identificas en la época de parciales?,Frecuencia de sentimientos positivos la última semana [¿Cuánto te reíste?],Frecuencia de sentimientos positivos la última semana [¿Qué tanto disfrutaste?],Frecuencia de sentimientos positivos la última semana [¿Qué tan feliz te sentiste?],Frecuencia de sentimientos negativos la última semana [¿Qué tan enojado?],Frecuencia de sentimientos negativos la última semana [¿Qué tan triste?],Frecuencia de sentimientos negativos la última semana [¿Qué tan preocupado?],¿Considerarías dejar la universidad?,"Si la respuesta anterior es sí, ¿Por qué motivos?"
5/01/2022 18:19,Mujer,18,3,Bioingeniería,15.75,0,0,6,9,C,Si,No,125,7.3,5,3,2,2,2,4,3,3,1,3,4,Tal vez,Altos costos
5/01/2022 18:21,Mujer,19,3,Bioingeniería,15.5,1,0,5,8,E,Si,No,200,6,3,3,2,2,1,3,3,3,1,2,4,No,Alto nivel de dificultad
5/01/2022 18:36,Mujer,19,3,Ingeniería Química,14,1,0,6,6,E,Si,Si,0,5,4,4,2,2,1,2,2,3,2,2,3,No,Desgaste emocional
5/01/2022 18:42,Hombre,19,3,Ingeniería Química,17.55,0,0,5,8,E,Si,Si,0,4,4,2,5,2,2,2,1,1,4,5,5,Sí,Desgaste emocional
5/01/2022 18:58,Mujer,18,3,Ingeniería Química,15,1,0,5,9,B,Si,No,50,5,3,3,4,3,4,5,4,5,2,3,5,Tal vez,Desgaste emocional
5/01/2022 19:29,Mujer,20,7,Ingeniería Ambiental,14,4,0,5,6,E,Si,No,0,6,3,3,3,2,3,3,3,3,3,5,5,No,No
5/01/2022 19:30,Mujer,18,3,Bioingeniería,12.52,1,1,5,9,C,Si,No,150,5,2,2,5,4,4,5,4,2,3,4,4,Tal vez,Alto nivel de dificultad
5/01/2022 19:41,Hombre,18,3,Ingeniería Química,18.12,0,0,6,8,E,No,Si,0,7,3,3,2,1,1,2,3,3,1,1,2,No,No
5/01/2022 19:50,Mujer,18,3,Bioingeniería,14.3,3,0,5,7,E,Si,No,0,5,3,3,4,2,4,2,2,3,3,4,4,Tal vez,Altos costos
5/01/2022 19:58,Hombre,20,5,Ingeniería de la Energía,17.1,1,0,6,8,C,Si,Si,0,6,3,2,3,2,2,2,2,3,2,3,4,Tal vez,Todo
5/01/2022 20:32,Hombre,20,3,Bioingeniería,14.5,0,0,5,7,D,Si,No,0,6,4,4,0,0,1,4,4,4,2,1,2,Tal vez,Circunstancias familiares
5/01/2022 20:33,Mujer,22,3,Ingeniería Química,14,1,0,5,6,E,Si,Si,0,7,1,3,2,4,4,3,3,3,4,3,5,Tal vez,Cansancio 
5/01/2022 20:35,Mujer,18,3,Bioingeniería,14.3,0,0,6,10,C,Si,No,130,5,1,1,3,4,4,4,1,1,3,3,5,Sí,Alto nivel de dificultad
5/01/2022 20:52,Hombre,18,3,Bioingeniería,16.2,0,0,6,8,C,Si,No,0,7,3,3,2,3,4,3,3,3,3,3,4,No,No
5/01/2022 21:21,Mujer,18,3,Ingeniería Química,16.4,0,0,5,9,E,Si,Si,0,6,3,3,1,3,3,3,4,3,2,1,3,No,No
5/01/2022 22:00,Hombre,18,3,Bioingeniería,17,0,0,6,7,D,Si,Si,0,8,2,2,2,3,3,4,4,4,3,1,3,Tal vez,Alto nivel de dificultad
5/01/2022 22:07,Hombre,18,3,Ciencia de Datos,16,0,0,5,7,B,Si,No,0,6,3,4,3,2,3,3,3,3,2,1,3,No,No
5/02/2022 07:13,Hombre,19,3,Ingeniería Química,13.25,1,0,6,7,E,Si,No,0,5,3,3,3,2,2,3,3,3,1,2,4,Tal vez,Circunstancias familiares
5/02/2022 07:52,Mujer,18,3,Bioingeniería,15.75,2,0,5,8,A,Si,Si,0,6,3,2,4,2,3,3,3,3,3,5,5,Sí,Altos costos
5/02/2022 08:50,Hombre,19,3,Ingeniería Industrial,15.4,2,0,6,9,C,Si,No,0,7,4,3,2,3,3,3,4,3,1,2,4,Sí,Alto nivel de dificultad
5/02/2022 12:22,Mujer,18,3,Ingeniería Industrial,15.15,1,0,4,7,D,No,No,70,7,4,3,5,3,4,4,3,2,3,4,5,No,Desgaste emocional
5/02/2022 12:27,Mujer,19,3,Bioingeniería,15.5,1,0,5,9,E,Si,No,200,6,3,3,3,2,3,5,4,3,2,2,5,No,Alto nivel de dificultad
5/02/2022 12:40,Mujer,20,3,Bioingeniería,15.13,1,0,6,8,D,Si,No,0,6.5,5,2,3,2,4,3,3,3,4,4,5,No,No
5/02/2022 12:49,No binario,22,3,Ingeniería Electrónica,16.75,0,0,5,8,E,Si,No,15,10,3,1,4,3,4,2,2,1,3,4,5,No,Altos costos
5/02/2022 13:04,Hombre,20,6,Ingeniería Industrial,15,3,2,4,6,E,Si,No,0,8,3,4,1,2,2,5,4,5,1,1,2,Sí,Desgaste emocional
5/02/2022 13:10,Mujer,18,3,Ingeniería Química,15,1,0,5,8,B,Si,No,50,6,3,3,4,3,4,5,4,5,3,4,5,Tal vez,Altos costos
5/02/2022 13:49,Mujer,17,1,Ciencia de la Computación,14.3,0,0,6,9,C,Si,No,0,5,2,2,5,0,1,2,2,3,1,4,3,Sí,Altos costos
5/02/2022 16:12,Hombre,19,2,Ciencia de Datos,14.7,2,1,6,9,B,Si,No,100,5,3,2,2,3,4,4,3,4,1,2,5,Sí,Alto nivel de dificultad
5/02/2022 16:20,Hombre,17,1,Administración y Negocios Digitales,15,0,0,7,6,D,Si,Si,50,7,5,3,2,1,3,4,4,4,1,2,3,Tal vez,Altos costos
5/02/2022 16:30,Hombre,18,3,Ciencia de la Computación,17.9,0,0,6,7,D,No,No,0,8,5,4,1,2,3,3,3,4,2,2,4,No,Ninguno
5/02/2022 17:03,Hombre,21,4,Ingeniería Electrónica,14.7,3,0,4,10,A,Si,No,0,6,4,3,3,3,4,3,4,4,1,3,4,Tal vez,Altos costos
5/02/2022 19:00,Hombre,20,3,Ingeniería Química,16,0,0,5,9,E,No,Si,0,7,3,4,0,0,1,4,4,5,2,2,1,No,No
5/02/2022 19:17,Mujer,23,3,Ingeniería Química,16,2,0,4,6,E,Si,No,200,9,4,2,1,0,3,3,3,3,2,1,3,No,Altos costos
5/02/2022 19:19,Mujer,19,3,Ingeniería Industrial,14.5,1,0,8,7,D,Si,Si,50,6,3,3,3,1,2,3,2,3,2,1,4,No,Marque no
5/02/2022 19:25,Mujer,17,2,Bioingeniería,15,0,0,6,9,D,Si,Si,50,6,3,4,3,3,4,2,2,2,3,3,3,No,No pienso en ello
5/02/2022 19:27,Hombre,18,3,Ingeniería Industrial,14,1,0,7,9,E,Si,No,150,6,3,5,4,3,4,4,4,4,5,5,5,No,No
5/02/2022 19:29,Hombre,21,3,Ingeniería Mecatrónica,13.87,1,0,5,7,D,Si,Si,0,7,3,4,1,3,3,4,4,4,1,2,4,No,No
5/02/2022 19:30,Hombre,20,3,Bioingeniería,15,2,0,5,10,E,No,Si,125,7,3,3,5,2,1,2,2,2,3,3,3,No,No
5/02/2022 19:35,Mujer,20,7,Ciencia de la Computación,13.63,2,0,5,8,E,Si,No,0,5,2,1,5,4,4,5,1,2,4,3,5,No,Altos costos
5/02/2022 19:40,Mujer,19,3,Ingeniería Industrial,17,0,0,6,5,A,Si,Si,0,7,3,3,1,2,2,5,5,5,2,3,3,No,Respondí que no 
5/02/2022 19:46,Hombre,17,1,Ciencia de la Computación,15,0,0,6,7,E,Si,No,0,5,3,4,2,2,3,3,3,3,4,4,4,No,Altos costos
5/02/2022 19:49,Hombre,17,3,Ingeniería Civil,16,1,0,6,10,C,Si,No,0,8,5,3,0,0,1,5,5,5,1,1,2,No,Año sabático
5/02/2022 19:50,Mujer,18,3,Ingeniería Electrónica,16,0,0,6,7,C,Si,No,250,5,2,3,3,2,2,3,2,2,3,1,4,No,Desgaste emocional
5/02/2022 19:51,Mujer,19,2,Ingeniería Civil,15,0,0,6,5,E,Si,Si,0,5,3,3,3,1,3,2,1,2,3,3,3,Tal vez,No hay ingles
5/02/2022 19:51,Hombre,18,3,Bioingeniería,13.3,1,0,4,10,C,No,No,0,9,5,2,1,3,3,5,5,5,1,1,3,No,no
5/02/2022 19:53,Mujer,18,3,Ingeniería Mecatrónica,17,0,0,5,8,C,No,No,300,5,3,3,4,4,4,5,4,3,3,3,3,Tal vez,Desgaste emocional
5/02/2022 19:53,Hombre,19,2,Ingeniería Industrial,14,0,0,6,9,E,No,No,1000,6,3,2,2,2,3,2,2,2,4,4,4,Sí,Desgaste emocional
5/02/2022 19:55,Hombre,18,3,Ingeniería Química,15.2,0,0,5,9,C,Si,No,0,6.3,4,3,2,1,1,2,2,3,2,1,2,No,No
5/02/2022 19:55,Mujer,18,3,Bioingeniería,18,0,0,7,9,A,Si,No,200,6,2,2,5,2,4,3,2,2,3,2,3,No,Desgaste emocional
5/02/2022 19:55,Hombre,18,3,Ciencia de la Computación,13,1,0,5,8,A,Si,No,100,7,3,3,2,2,1,4,3,3,1,2,3,No,No
5/02/2022 19:57,Hombre,18,3,Administración y Negocios Digitales,12,1,0,5,8,C,Si,No,40,6,3,3,1,2,3,2,2,2,2,2,3,No,.
5/02/2022 19:59,Hombre,19,4,Ingeniería Mecatrónica,15.65,0,0,7,7,E,Si,Si,0,5.3,2,5,1,2,4,4,4,4,2,2,3,No,Puse no
5/02/2022 20:01,Mujer,18,3,Ingeniería Ambiental,16,1,0,5,10,C,Si,No,0,5,3,1,5,4,4,1,1,1,2,3,3,Tal vez,Desgaste emocional
5/02/2022 20:08,Mujer,18,3,Bioingeniería,15,0,0,6,8,B,No,No,100,6,3,3,4,1,2,3,2,2,3,3,3,No,Desgaste emocional
5/02/2022 20:08,No binario,19,3,Bioingeniería,14.3,0,0,5,8,B,Si,No,200,5,3,2,2,3,3,2,1,1,2,2,3,No,Desgaste emocional
5/02/2022 20:09,16,18,3,Administración y Negocios Digitales,14.3,1,0,5,7,B,Si,No,0,7,8,5,1,1,1,4,4,4,2,1,2,No,no
5/02/2022 20:21,Hombre,18,2,Administración y Negocios Digitales,16,1,0,6,8,D,Si,No,0,5,5,2,4,3,4,3,3,3,5,3,4,Sí,Alto nivel de dificultad
5/02/2022 20:23,Mujer,18,3,Bioingeniería,15,2,0,6,9,E,Si,No,40,4,2,2,3,4,4,2,1,2,5,5,5,Tal vez,Desgaste emocional
5/02/2022 20:27,Mujer,17,2,Ingeniería Ambiental,15,1,0,5,5,C,Si,Si,100,5,4,3,3,2,2,3,2,2,3,3,3,No,Ninguno.
5/02/2022 20:30,Hombre,18,1,Ingeniería Mecánica,15,0,0,6,7,E,Si,No,0,7,4,4,0,1,1,4,4,4,2,2,2,No,-
5/02/2022 20:38,Hombre,18,3,Ingeniería Civil,15,1,0,6,9,E,No,Si,0,6,3,1,3,3,4,3,3,3,3,3,3,No,Alto nivel de dificultad
5/02/2022 20:38,Hombre,16,1,Ingeniería Mecánica,15,0,0,7,8,D,No,No,0,6,3,3,1,3,2,4,4,4,2,2,3,No,Puse no
5/02/2022 20:47,Mujer,18,3,Ingeniería Industrial,15,2,1,6,7,E,Si,Si,500,7,3,2,4,3,4,2,2,2,3,4,4,No,Desgaste emocional
5/02/2022 20:47,Hombre,18,3,Ingeniería Industrial,10,3,1,5,8,E,No,No,0,7,4,2,2,2,3,4,3,3,1,1,2,Tal vez,Desgaste emocional
5/02/2022 20:48,Hombre,17,1,Ingeniería Mecánica,15,0,0,6,8,E,Si,No,0,6,3,2,5,3,3,1,1,1,2,3,4,No,Ninguno
5/02/2022 20:50,Mujer,19,3,Ingeniería Química,17.21,0,0,5,7,D,Si,No,0,7.3,3,3,2,3,2,4,3,3,2,3,4,No,-
5/02/2022 20:53,Mujer,18,3,Ingeniería Industrial,17,0,0,7,6,C,No,No,46,5,8,5,0,0,0,1,1,1,2,3,3,Sí,Altos costos
5/02/2022 21:00,Mujer,18,1,Ingeniería Mecánica,16,0,0,6,7,A,Si,No,0,5,2,4,3,4,3,3,3,3,3,3,4,Tal vez,-
5/02/2022 21:18,Mujer,18,3,Ingeniería Ambiental,17,0,0,6,7,B,Si,No,0,7,3,3,2,2,3,3,4,3,1,2,3,No,Desgaste emocional
5/02/2022 21:29,Mujer,17,2,Bioingeniería,16,1,0,6,7,C,Si,No,500,4,1,2,3,4,3,1,1,1,3,3,3,Tal vez,Alto nivel de dificultad
5/02/2022 21:37,Mujer,18,3,Ingeniería Química,15.56,1,0,5,6,E,No,No,0,8,4,4,2,1,3,4,2,5,2,3,4,No,Marque no :) 
5/02/2022 21:43,Mujer,19,7,Ingeniería Electrónica,18.4,0,0,6,7,C,Si,Si,0,6,3,2,3,2,3,2,2,3,2,4,4,No,No
5/02/2022 21:58,Hombre,19,5,Ingeniería Electrónica,13,2,1,6,6,D,Si,No,0,6,4,2,3,2,4,2,1,2,3,3,4,No,Nada
5/02/2022 21:59,Mujer,17,2,Bioingeniería,17,0,0,7,9,D,Si,Si,0,6,4,1,4,4,4,1,1,1,5,5,5,Sí,Desgaste emocional
5/02/2022 22:00,Hombre,17,2,Ingeniería Mecatrónica,16.79,0,0,6,10,E,Si,Si,60,5,3,3,5,3,4,2,3,3,3,2,5,No,no
5/02/2022 22:09,Hombre,18,3,Ciencia de la Computación,15,1,0,6,7,E,Si,No,50,7,3,3,2,2,2,4,3,2,1,3,4,Tal vez,Alto nivel de dificultad
5/02/2022 22:11,Hombre,19,4,Ingeniería Ambiental,15.5,1,0,5,8,C,Si,No,20,7,4,4,2,1,4,4,4,3,1,1,4,Tal vez,Desgaste emocional
5/02/2022 22:20,Hombre,19,2,Ingeniería Química,16.4,0,0,5,8,E,No,Si,0,6,3,4,2,2,2,2,3,2,2,4,4,No,No
5/02/2022 22:20,Mujer,17,3,Ingeniería Química,14,2,0,6,5,E,Si,No,0,6,3,4,1,2,4,3,4,3,1,4,5,No,no
5/02/2022 22:36,Mujer,20,5,Bioingeniería,14,2,0,5,8,C,Si,No,200,7,3,1,4,4,3,3,3,2,4,4,4,Tal vez,Alto nivel de dificultad
5/02/2022 22:38,Mujer,18,2,Ingeniería Industrial,14,1,0,6,8,E,Si,Si,0,6,7,2,3,4,4,2,3,2,1,3,4,No,Alto nivel de dificultad
5/02/2022 22:46,Hombre,18,2,Ciencia de Datos,13.3,1,0,6,9,A,Si,No,0,5,5,3,1,3,3,3,4,4,3,3,5,Tal vez,Alto nivel de dificultad
5/02/2022 22:48,Hombre,19,4,Ingeniería Civil,14.89,1,0,8,7,E,No,Si,300,7,2,3,3,3,4,3,3,4,4,5,5,Sí,Desgaste emocional
5/02/2022 22:53,Mujer,21,5,Ingeniería Industrial,15.2,1,0,6,7,D,Si,No,0,6,3,4,1,0,2,3,2,4,2,1,3,Tal vez,Altos costos
5/02/2022 23:00,Mujer,22,4,Ciencia de la Computación,13.23,4,1,4,10,E,No,No,0,7,2,2,3,3,4,5,5,2,3,4,5,No,respondí no
5/02/2022 23:04,Hombre,18,3,Ciencia de la Computación,14.05,0,0,6,6,E,Si,No,0,6,3,3,1,1,2,5,4,4,2,1,3,No,no considero dejar la universidad
5/02/2022 23:18,Hombre,19,1,Administración y Negocios Digitales,12.5,0,0,6,6,D,Si,No,0,6,3,2,2,0,2,4,3,3,2,2,5,No,No la considero dejar
5/03/2022 00:27,Mujer,22,6,Bioingeniería,11.43,9,5,2,1,A,No,No,200,2,7,1,3,1,1,1,1,1,5,5,5,Sí,Altos costos
5/03/2022 05:15,Hombre,18,5,Ingeniería de la Energía,15.8,0,0,6,7,E,Si,Si,0,7,3,3,3,2,3,5,4,4,3,4,5,No,Desgaste emocional
5/03/2022 06:21,Hombre,17,1,Administración y Negocios Digitales,16,0,0,7,7,D,Si,Si,50,6,2,3,3,2,4,4,3,3,1,2,4,Tal vez,Desgaste emocional
5/03/2022 07:32,Mujer,20,6,Ingeniería Mecánica,16.2,1,0,5,6,D,Si,Si,0,6,3,4,2,2,2,4,4,4,2,2,3,Tal vez,Altos costos
5/03/2022 08:02,Hombre,19,4,Ingeniería Civil,15,0,0,6,7,C,No,No,0,7,5,3,1,1,1,4,3,3,1,2,3,No,Circunstancias familiares
5/03/2022 09:08,Hombre,17,3,Ciencia de la Computación,16,0,0,5,6,D,Si,No,0,8,3,4,0,0,0,3,3,4,1,1,2,No,Dije no xd
5/03/2022 10:29,Mujer,19,3,Ingeniería Industrial,15,3,0,4,10,A,Si,No,400,6,3,4,4,3,3,5,4,4,2,4,5,No,No dejare
5/03/2022 10:33,Mujer,20,7,Ingeniería Ambiental,14.3,3,0,5,8,E,Si,No,100,4,3,2,5,4,2,2,3,1,1,2,5,No,No
5/03/2022 10:55,Mujer,18,3,Ingeniería Civil,16,0,0,5,8,E,Si,No,0,6,3,2,1,3,1,3,3,3,3,3,3,No,Desgaste emocional
5/03/2022 11:03,Hombre,23,8,Ingeniería de la Energía,13.2,2,2,5,9,A,Si,No,0,6.5,5,5,2,2,3,3,4,4,4,3,4,No,no
5/03/2022 11:06,Hombre,22,8,Ingeniería de la Energía,17,1,0,8,8,A,Si,No,0,7,5,5,0,0,1,5,5,5,1,1,1,No,No
5/03/2022 11:13,Hombre,20,6,Ingeniería Electrónica,18,0,0,6,7,E,No,Si,0,7,3,4,0,1,2,5,5,5,2,1,2,No,No
5/03/2022 11:15,Mujer,20,7,Ingeniería de la Energía,17.5,1,0,5,9,C,Si,No,150,6,4,3,3,1,3,2,4,3,2,4,3,Tal vez,Circunstancias familiares
5/03/2022 11:18,Hombre,24,9,Ingeniería Civil,17,4,2,6,8,C,Si,No,70,5,5,3,2,1,3,2,3,2,3,2,3,Tal vez,Desgaste emocional
5/03/2022 11:29,Hombre,17,3,Ciencia de la Computación,15.41,1,0,6,7,E,No,Si,0,5.3,4,2,3,3,3,3,3,3,1,2,4,No,No
5/03/2022 11:32,Hombre,17,1,Ingeniería Industrial,0,0,0,7,4,E,No,Si,0,0,3,4,1,0,1,1,1,1,1,1,1,No,. 
5/03/2022 11:33,Hombre,19,5,Ingeniería Mecatrónica,15.55,1,0,5,8,E,Si,No,0,5,2,3,4,2,3,5,4,3,2,2,4,Sí,Desgaste emocional
5/03/2022 11:36,Hombre,18,5,Ingeniería Mecatrónica,15.55,0,0,6,7,E,Si,No,0,5,3,1,2,2,2,3,3,3,3,3,3,Sí,deporte 
5/03/2022 13:15,Mujer,18,3,Ingeniería Ambiental,14.75,1,0,6,7,B,Si,Si,100,8,3,3,4,2,4,4,4,4,4,5,5,Tal vez,Desgaste emocional
5/03/2022 15:24,Mujer,21,3,Ingeniería Ambiental,14.44,1,0,6,9,E,Si,Si,0,8,4,3,4,3,2,4,3,3,3,4,5,Tal vez,Desgaste emocional
5/03/2022 15:24,Hombre,19,3,Bioingeniería,17.7,0,0,5,7,D,Si,No,0,6,3,2,3,1,2,5,4,3,3,2,5,No,Altos costos
5/03/2022 15:33,Hombre,19,3,Bioingeniería,20,0,0,6,10,A,Si,Si,10000,12,7,2,1,1,1,4,2,4,4,3,2,No,Altos costos
5/03/2022 16:37,Mujer,18,2,Ingeniería Industrial,16.76,0,0,6,6,E,Si,Si,50,4,3,3,3,3,3,2,3,3,1,2,3,No,No pienso dejar la universidad
5/03/2022 16:38,Mujer,18,3,Bioingeniería,14.3,2,0,5,7,E,Si,No,80,6,4,4,3,3,4,4,3,3,2,2,5,Tal vez,Desgaste emocional
5/03/2022 16:46,Hombre,20,5,Ingeniería Industrial,13,2,1,5,9,E,Si,No,0,5,2,4,1,1,1,4,3,3,1,1,1,No,Circunstancias familiares
5/03/2022 16:53,Hombre,18,3,Ciencia de la Computación,17.9,0,0,6,7,D,No,No,0,7.3,5,4,0,3,2,4,4,3,3,3,4,No,Ninguna
5/03/2022 17:00,Mujer,18,2,Ingeniería Industrial,16,1,0,7,8,E,Si,Si,100,5,3,3,5,4,4,1,1,2,3,4,4,No,No lo dejaría 
5/03/2022 19:57,Hombre,18,3,Ingeniería Química,15.6,0,0,5,7,C,Si,No,0,6,3,3,3,2,3,5,3,2,2,3,4,Tal vez,Desgaste emocional
5/03/2022 22:37,Mujer,18,3,Ingeniería Química,12,3,0,5,8,E,No,No,0,7,2,3,3,1,3,3,2,2,2,2,3,No,Puse no
5/04/2022 10:56,Hombre,19,5,Ingeniería Química,13.95,3,1,5,8,D,Si,Si,0,7,3,3,2,3,3,3,3,3,2,3,4,Sí,Desgaste emocional
5/04/2022 11:18,Hombre,20,7,Ingeniería Mecánica,15.45,2,0,6,7,C,Si,No,100,6,3,2,5,3,3,2,2,3,2,4,5,Sí,Desgaste emocional
5/04/2022 11:25,Hombre,20,5,Ingeniería Civil,14.55,1,0,6,8,C,Si,No,0,6,3,3,3,3,4,4,3,3,2,2,4,Tal vez,Desgaste emocional
5/04/2022 11:41,Mujer,19,4,Ingeniería Civil,15.5,1,0,5,8,B,Si,No,25,7,5,3,2,2,2,4,3,4,1,1,4,Sí,Desgaste emocional
5/04/2022 15:27,Mujer,18,3,Bioingeniería,14.7,2,0,6,10,E,Si,No,40,4,3,2,3,4,3,1,2,1,2,4,4,Sí,Desgaste emocional
5/04/2022 17:29,Mujer,18,2,Bioingeniería,15.9,0,0,7,6,D,Si,Si,150,6,5,3,1,2,3,4,3,4,1,3,3,Sí,Altos costos
5/04/2022 17:34,Mujer,17,2,Bioingeniería,16.1,0,0,7,6,D,Si,Si,50,7,5,4,3,4,2,3,3,4,1,3,4,Tal vez,Desgaste emocional
5/04/2022 19:17,Hombre,19,2,Ingeniería Química,15,0,0,5,3,E,No,Si,70,6.3,3,3,0,0,0,4,4,4,2,2,2,Tal vez,Circunstancias familiares
5/04/2022 19:26,Mujer,19,5,Ingeniería Industrial,16.7,2,0,6,9,D,No,No,75,7,4,2,2,2,3,4,2,2,4,2,5,No,No dejaría la universidad
5/04/2022 19:30,No Binario,21,7,Ciencia de la Computación,14.3,0,0,5,10,B,Si,No,150,6,5,3,2,3,2,5,2,1,2,3,4,Tal vez,Alto nivel de dificultad
5/04/2022 19:36,Hombre,18,2,Ingeniería de la Energía,13.85,0,0,6,7,E,Si,No,0,6.3,3,4,3,2,2,4,1,1,1,2,5,No,No dejaría la universidad
5/04/2022 19:39,Mujer,20,6,Ingeniería Ambiental,14.9,0,0,4,9,E,No,Si,30,5.3,3,2,3,3,2,5,2,2,3,1,4,Tal vez,Alto nivel de dificultad
5/04/2022 19:42,Hombre,23,8,Ingeniería Mecánica,16.3,1,0,6,10,B,Si,No,0,6,3,4,1,2,2,5,2,2,2,3,5,Sí,Altos costos
5/04/2022 19:44,Mujer,18,3,Ingeniería Industrial,17.5,0,0,7,10,C,No,No,50,8,3,4,3,4,2,5,2,2,4,2,5,Tal vez,Desgaste emocional
5/04/2022 19:47,Hombre,19,4,Ingeniería de la Energía,14.6,2,0,6,8,D,Si,No,0,7.3,5,2,2,2,2,2,1,1,2,3,5,Sí,Desgaste emocional
5/04/2022 19:53,Hombre,21,3,Ingeniería Mecánica,16,1,0,5,7,D,No,No,110,7,4,4,0,0,0,5,4,5,2,2,1,Sí,Circunstancias familiares
5/04/2022 21:57,Hombre,21,4,Ingeniería Mecánica,17,1,0,5,4,D,Si,No,150,8,3,4,0,0,0,4,4,5,2,1,2,No,NO
5/04/2022 22:20,Mujer,21,5,Ingeniería de la Energía,17,0,0,5,5,E,Si,No,155,6,3,3,2,1,1,2,2,1,4,3,3,Tal vez,Altos costos
5/05/2022 00:31,Hombre,18,2,Ingeniería Civil,13,2,0,6,8,D,Si,No,70,6.3,5,2,1,2,2,3,4,3,3,3,3,Sí,Desgaste emocional
5/05/2022 08:54,Hombre,20,6,Ciencia de la Computación,13.4,2,0,5,7,E,Si,Si,0,7.5,3,3,2,3,1,3,3,3,3,3,3,Tal vez,Circunstancias familiares
5/05/2022 08:55,Hombre,19,4,Ingeniería Civil,12,3,1,6,10,D,Si,No,0,6,4,5,2,2,1,4,4,4,4,4,4,Sí,Desgaste emocional
5/05/2022 09:05,Hombre,24,6,Ciencia de la Computación,13.74,2,0,5,6,E,Si,No,0,6,2,3,4,4,4,1,1,1,5,5,5,Sí,Desgaste emocional
5/05/2022 09:24,Hombre,18,2,Bioingeniería,15.1,1,0,6,8,C,Si,Si,100,7,4,3,3,3,3,4,3,4,2,2,4,Sí,Altos costos
