Marca temporal,¿Qué edad tienes hasta la fecha?,¿Género?,Selecciona tu carrera,¿En que ciclo te encuentras actualmente?,¿Cuántas relaciones amorosas tuviste hasta el 2022-2?,¿Actualmente tienes una relación amorosa?,¿Tu pareja y tú estudian o estudiaban en la misma universidad?,¿Consideras que tu vida amorosa afectaría tu rendimiento académico? (En caso de no estar en una relación responder si crees que podría afectarte),¿Tu vida amorosa ha tenido un impacto negativo en tu motivación y actitud hacia tus estudios? (En caso de no estar en una relación responder si crees que podría afectarte),¿Cuáles crees que serían los principales desafíos que enfrenta tu vida amorosa y como esto repercute en lo académico? (En caso de no estar en una relación responder que crees que podría afectarte),¿Cuáles son las principales formas en que te gustaría recibir apoyo de la universidad para manejar problemas de tu vida amorosa en relación con tus estudios? Selecciona todas las opciones que apliquen.,"En la escala de 0 al 10, donde 0 es ""Extremadamente mal"" y 10 es ""Extremadamente bien"", ¿Cómo crees que te va en tu vida amorosa?","En la escala de 0 al 10, donde 0 es ""Extremadamente mal"" y 10 es ""Extremadamente bien"", ¿Cómo crees que te va académicamente?","En una escala del 0 al 10, donde 0 es “Extremadamente mal” y 10 es “Extremadamente bien”, ¿Cómo definirías la relación entre tu vida amorosa y académica en este momento?","¿Administras tu tiempo entre tus estudios y tu relación?  (En caso de no estar en una relación, ¿Crees que podrías administrar tu tiempo)",¿Cuántas horas dedicas al estudio al día?,"¿Cuántas horas pasas tiempo con tu pareja al día?  (En caso de no estar en una relación ,¿cuanto tiempo le dedicarías?)","¿Has faltado alguna vez a clases por salir con tu pareja? (En caso de no estar en una relación, ¿crees que de estarlo lo harías?)",¿Consideras que es un problema para ti manejar una relación a la par de la universidad?  (En caso de no estar en una relación crees que sería un problema para ti),¿Las discusiones o conflictos con tu pareja afectan tu capacidad para concentrarte en tus estudios?  (En caso de no estar en una relación crees que te afectaría),¿Sueles desconcentrarte en el móvil o en algún otro dispositivo esperando o respondiendo un mensaje de tu pareja mientras estás en clase? (En caso de no estar en una relación consideras que te desconcentrarías),¿Una ruptura con tu pareja afecta cuando tienes que dar un examen?  (En caso de no estar en una relación crees que te afectaría),¿Cúal fue tu promedio en el último ciclo cursado en la universidad UTEC?,¿Cuáles son las principales formas en que tu relación amorosa ha afectado tu rendimiento académico?,¿Cuáles son las principales sugerencias que tendrías para la universidad para mejorar el apoyo que brinda a los estudiantes que enfrentan problemas en su vida amorosa y académica?
4/26/2023 11:32:04,22,Femenino,Ingeniería Indusrial,4,2,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,"Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",6,7,6,No,2.45,1.1,Sí,Sí considero,No afecta,No,Sí,16.15,Menor tiempo de preparación para las evaluaciones,Talleres
4/26/2023 11:32:30,19,Femenino,Ingeniería Indusrial,2,2,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Problemas de comunicación con la pareja, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,5,5,5,No,2.3,1.5,Sí,No considero,No afecta,Sí,No,14.15,Baja participación en trabajos grupales,Ninguna
4/26/2023 11:32:46,18,Femenino,Bioingeniería,2,2,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,"Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",7,1,7,No,1.3,2.5,Sí,Sí considero,Sí afecta,Sí,No,15,Menor tiempo de preparación para las evaluaciones,Nada por ahora
4/26/2023 11:32:57,21,Masculino,Ingeniería de la Energía,9,2,Sí,Sí,No,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.",Problemas de comunicación con la pareja,Talleres o grupos de discusión sobre relaciones saludables,8,6,9,Sí,5.35,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,17.5,"Menor tiempo de preparación para las evaluaciones, Inasistencia a clases",Varios
4/26/2023 11:33:24,18,Femenino,Ingeniería Indusrial,5,1,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,Talleres o grupos de discusión sobre relaciones saludables,5,7,5,No,2.35,1.1,Sí,Sí considero,No afecta,Sí,No,16.9,Menor tiempo de preparación para las evaluaciones,asesorias
4/26/2023 11:34:57,18,Masculino,Ingeniería Indusrial,2,1,Sí,Sí,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,4,3,0,No,3.33,2.1,Sí,Sí considero,No afecta,Sí,Sí,10.5,Falta de concentración en clases,Que los obliguen a terminar con sus parejas
4/26/2023 11:35:20,20,Femenino,Bioingeniería,2,1,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",5,4,5,No,4.45,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,14.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Disminución del promedio de notas o obtención de notas desaprobatorias",Hablar  sobre relaciones sanas
4/26/2023 11:36:28,20,Femenino,Ingeniería Civil,8,1,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración","Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",3,6,8,Sí,5.3,4.1,Sí,No considero,No afecta,Sí,Sí,"15,0","Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases",Tener talleres virtuales
4/26/2023 11:36:40,18,Femenino,Ingeniería Indusrial,2,1,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,3,7,5,No,2.39,1.1,Sí,Sí considero,No afecta,Sí,No,16.9,Disminución del promedio de notas o obtención de notas desaprobatorias,Charlas
4/26/2023 11:37:34,19,Femenino,Ingeniería Indusrial,9,1,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,"Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",1,8,0,No,4,3.1,Sí,No considero,No afecta,Sí,No,17.9,Menor tiempo de preparación para las evaluaciones,Conserjerías
4/26/2023 11:38:38,19,Masculino,Ingeniería Ambiental,3,1,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",6,4,6,No,2.3,3.2,Sí,Sí considero,Sí afecta,Sí,Sí,13.78,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases",No se enamoren
4/26/2023 11:39:46,19,Femenino,Ingeniería Indusrial,2,3,Sí,Sí,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de confianza o celos en la relación, Distracción y desconcentración","Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",5,5,5,No,3.3,3.2,Sí,Sí considero,Sí afecta,Sí,Sí,15,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Desaprobando cursos",Talleres
4/26/2023 11:40:11,19,Femenino,Bioingeniería,4,2,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración","Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",5,5,5,No,3.4,1.2,Sí,Sí considero,No afecta,Sí,No,16,Menor tiempo de preparación para las evaluaciones,Recursos
4/26/2023 11:40:57,20,Masculino,Ingeniería Indusrial,2,3,Sí,Sí,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de confianza o celos en la relación","Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",4,5,3,No,2.4,3.3,Sí,Sí considero,Sí afecta,Sí,Sí,15,"Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias",Implementación de talleres
4/26/2023 11:42:26,21,Masculino,Ingeniería Indusrial,2,2,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Distracción y desconcentración,"Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",3,8,0,No,4.4,3.2,Sí,No considero,No afecta,Sí,No,17.2,"Falta de concentración en clases, Baja participación en trabajos grupales","Terrible, el formulario no te daba opciones para alguien que no tiene pareja en fin, ustedes deciden "
4/26/2023 11:42:53,20,Femenino,Ingeniería Indusrial,6,1,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja","Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",5,7,5,Sí,3.4,1.4,Sí,Sí considero,Sí afecta,Sí,Sí,14.8,"Menor tiempo de preparación para las evaluaciones, Disminución del promedio de notas o obtención de notas desaprobatorias",Sin comentarios
4/26/2023 11:49:39,18,Masculino,Ingeniería Mecatrónica,3,3,Sí,No,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Problemas de confianza o celos en la relación, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,3,7,5,No,5.6,1.2,No,Sí considero,Sí afecta,Sí,Sí,15.43,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias",Charlas sobre como llevar una relación amorosa a la par de los estudios
4/26/2023 11:52:06,19,Masculino,Ciencia de la Computación,3,2,Sí,No,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Consejería o terapia de pareja,2,6,5,No,6.1,1.2,No,Sí considero,Sí afecta,Sí,No,14,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases","no creo que la universidad tenga mucho que influir en eso porque es algo mas personal. Sin embargo, si la problemática que plantearon lo amerita pues talvez como dicen esa ayuda psicologica o terapia de pareja puede swr muy util "
4/26/2023 11:56:11,18,Masculino,Ingeniería Indusrial,4,2,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Distracción y desconcentración,Consejería o terapia de pareja,2,5,4,No,4.5,2.1,Sí,No considero,Sí afecta,Sí,Sí,14.85,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases",Consejería
4/26/2023 11:57:57,18,Femenino,Ingeniería Indusrial,2,2,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,"Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",4,8,5,Sí,6.3,3.1,No,Sí considero,No afecta,No,No,15,Disminución del promedio de notas o obtención de notas desaprobatorias,En la vida académica que hagan mas asesorías.
4/26/2023 12:04:40,21,Femenino,Ingeniería Civil,6,2,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",Consejería o terapia de pareja,5,5,4,Sí,3.4,2.3,Sí,Sí considero,Sí afecta,Sí,Sí,"14,55","Falta de concentración en clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias",Dar servicio de consejería para tratar estos temas en específico
4/26/2023 12:05:31,19,Femenino,Ingeniería Civil,6,1,Sí,Sí,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.",Distracción y desconcentración,"Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",3,7,7,Sí,4.5,1.5,Sí,Sí considero,Sí afecta,Sí,Sí,17.5,"Menor tiempo de preparación para las evaluaciones, Inasistencia a clases",Información de relaciones sanas
4/26/2023 12:16:12,22,Femenino,Administración y Negocios Digitales,6,1,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",6,3,3,No,2.3,2.3,Sí,Sí considero,Sí afecta,Sí,Sí,"12,55","Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias",Que brinden talleres o grupos de discusión sobre relaciones saludables
4/26/2023 12:18:12,19,Masculino,Bioingeniería,2,1,Sí,Sí,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Problemas de comunicación con la pareja, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",8,6,6,No,3.4,5.1,No,Sí considero,Sí afecta,Sí,Sí,16,"Falta de concentración en clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias",Ayuda en terapia de pareja
4/26/2023 12:19:43,18,Masculino,Ingeniería Electrónica,3,3,Sí,No,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,3,3,3,No,2.3,3.1,No,Sí considero,Sí afecta,Sí,No,12.83,Menor tiempo de preparación para las evaluaciones,Tener un taller opcional sobre las relaciones saludables
4/26/2023 12:21:50,20,Masculino,Ingeniería Mecánica,4,1,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",3,6,7,No,12,3.1,Sí,No considero,Sí afecta,Sí,Sí,15,"Falta de concentración en clases, Inasistencia a clases",Que la universidad prohíba la relacion amorosa
4/26/2023 12:24:44,22,Femenino,Ingeniería Indusrial,2,3,Sí,No,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,4,6,5,No,2.3,4.2,No,Sí considero,Sí afecta,Sí,Sí,15.6,Falta de concentración en clases,prohibido enamorarse
4/26/2023 12:39:38,18,Masculino,Ingeniería Indusrial,8,2,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,6,7,6,No,2.3,2.1,No,Sí considero,No afecta,Sí,No,15.4,Menor tiempo de preparación para las evaluaciones,Poder realizar charlas pedagógicas
4/26/2023 12:46:22,20,Masculino,Ingeniería Civil,2,3,Sí,No,No,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,"Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables",5,6,4,No,5.6,3.1,Sí,Sí considero,No afecta,Sí,Sí,15.1,Menor tiempo de preparación para las evaluaciones,Realizar talleres de acompañamiento para el manejo de las emociones.
4/26/2023 12:52:05,20,Masculino,Ingeniería Ambiental,3,3,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración","Consejería o terapia de pareja, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",5,4,3,Sí,6.2,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.56,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos","""Que no coman pan delante de los pobres"""
4/26/2023 12:57:41,21,Femenino,Administración y Negocios Digitales,4,2,Sí,No,Sí,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Problemas de comunicación con la pareja,Consejería o terapia de pareja,8,7,9,No,4.3,2.9,Sí,Sí considero,Sí afecta,Sí,Sí,18,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases",Ayudarlos más y taller de consejería ya que la vida amorosa no  debe de afectar en los estudios
4/26/2023 13:01:55,18,Femenino,Ingeniería Ambiental,3,1,Sí,No,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Problemas de comunicación con la pareja,"Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",5,5,6,Sí,4.3,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,15,Falta de concentración en clases,Consejería
4/26/2023 13:03:09,20,Femenino,Ingeniería Ambiental,4,3,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.",Distracción y desconcentración,Talleres o grupos de discusión sobre relaciones saludables,5,3,5,No,6,3.3,No,Sí considero,Sí afecta,Sí,Sí,12,Baja participación en trabajos grupales,Apoyo emocional
4/26/2023 13:08:57,18,Masculino,Ingeniería Electrónica,2,3,Sí,No,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración","Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",1,6,0,No,3.4,2.9,Sí,Sí considero,Sí afecta,Sí,No,"15,5","Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos",Charlas obligatoria de como identificar que una relación no es sana y para las puras estás perdiendo tiempo en esa persona
4/26/2023 13:11:17,18,Femenino,Ingeniería Indusrial,8,1,Sí,No,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",Talleres o grupos de discusión sobre relaciones saludables,4,6,0,No,3.4,3.1,No,No considero,No afecta,Sí,No,15,Falta de concentración en clases,Consejos
4/26/2023 13:19:39,20,Femenino,Bioingeniería,2,1,Sí,No,No,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Distracción y desconcentración",Consejería o terapia de pareja,6,4,6,No,2.3,2.1,Sí,Sí considero,No afecta,Sí,No,14,"Menor tiempo de preparación para las evaluaciones, Baja participación en trabajos grupales",Nose
4/26/2023 13:32:22,18,Femenino,Ciencia de Datos,2,1,Sí,Sí,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Distracción y desconcentración,"Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",10,7,10,No,2.3,2.3,No,Sí considero,No afecta,Sí,No,18.3,Menor tiempo de preparación para las evaluaciones,No sé si la universidad debe involucrarse en este tema
4/26/2023 13:40:43,23,Masculino,Ingeniería Civil,6,5,Sí,Sí,Si,"Sí, mi vida amorosa tuvo un impacto negativo en mi motivación y actitud hacia mis estudios.","Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración","Consejería o terapia de pareja, Talleres o grupos de discusión sobre relaciones saludables, Recursos en línea (por ejemplo, artículos, videos, podcasts, etc.)",5,4,5,No,4.5,4.2,Sí,Sí considero,Sí afecta,Sí,Sí,15.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases",Charlas sobre como manejar nuestros sentimientos y como brindar mas tiempo a nuestra pareja
4/26/2023 13:48:18,19,Femenino,Ingeniería Ambiental,2,1,Sí,No,Si,"No, mi vida amorosa no ha tenido un impacto negativo en mi motivación y actitud hacia mis estudios.",Falta de tiempo,Talleres o grupos de discusión sobre relaciones saludables,2,6,7,No,1.2,1.2,No,Sí considero,No afecta,No,No,14,"Menor tiempo de preparación para las evaluaciones, Desaprobando cursos",Ayuda psicológica
