Year,Make,Model,Kilometres,Body_Type,Engine,Transmission,Drivetrain,Exterior_Colour,Interior_Colour,Passengers,Doors,Fuel_Type,City,Highway,Price
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,81111111","8,533333333",55431
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,81111111","8,533333333",55431
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Brilliant Black,Black,5,5,Gas,"10,81111111","8,533333333",57431
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,81111111","8,533333333",57431
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,81111111","8,533333333",61803
2023,Audi,Q5,5996,SUV,4,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"10,81111111","8,533333333",61969
2023,Audi,Q5,1500,SUV,4,Automatic,AWD,Grey,Black,5,5,Gas,"10,81111111","8,533333333",62693
2023,Audi,A5,90,Hatchback,4,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"10,2125","7,128571429",63221
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ultra Blue Metallic,Black,5,5,Gas,"10,81111111","8,533333333",63921
2023,Audi,Q5,1450,SUV,4,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"10,81111111","8,533333333",64921
2023,Audi,Q5,4717,SUV,4,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"10,81111111","8,533333333",69493
2023,Audi,Q5,6500,SUV,4,Automatic,AWD,Black,Black,5,5,Gas,"10,81111111","8,533333333",56969
2023,Audi,Q8,90,SUV,6,Automatic,AWD,Glacier White Metallic,Black,5,5,Gas,"13,7","10,95",96003
2023,Audi,SQ5,90,SUV,6,Automatic,AWD,Ibis White,Black,5,5,Gas,"12,5","9,7",75953
2023,Audi,SQ5,90,SUV,6,Automatic,AWD,Ibis White,Black,5,5,Gas,"12,5","9,7",77881
2023,Audi,SQ5,90,SUV,6,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"12,5","9,7",83471
2023,Audi,SQ5,1500,SUV,6,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"12,5","9,7",84693
2023,Audi,Q7,1352,SUV,6,Automatic,AWD,Mythos Black Metallic,Black,7,5,Gas,"12,76057692","9,396153846",98003
2023,Audi,Q8,90,SUV,6,Automatic,AWD,Navarra Blue Metallic,Black,5,5,Gas,"13,7","10,95",99531
2023,Audi,Q8,90,SUV,6,Automatic,AWD,Glacier White Metallic,Black,5,5,Gas,"13,7","10,95",100457
2023,Audi,Q3,90,SUV,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"11,2","8,4",50081
2023,Audi,Q5,3003,SUV,4,Automatic,AWD,White,Black,5,5,Gas,"10,81111111","8,533333333",65303
2023,Audi,A5,3699,Hatchback,4,Automatic,AWD,White,Black,5,5,Gas,"10,2125","7,128571429",67443
2023,Audi,Q7,2222,SUV,4,Automatic,AWD,Glacier White Metallic,Brown,7,5,Gas,"12,2","9,5",85181
2023,Audi,Q8,90,SUV,6,Automatic,AWD,Glacier White Metallic,Black,5,5,Gas,"13,7","10,95",96003
2023,Audi,Q5,5996,SUV,4,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"10,81111111","8,533333333",61969
2023,Audi,Q5,3003,SUV,4,Automatic,AWD,White,Black,5,5,Gas,"10,81111111","8,533333333",65303
2023,Audi,Q3,250,SUV,4,Automatic,AWD,White,Black,5,5,Gas,"11,4","8,3",52903
2023,Audi,A5,6559,Hatchback,4,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"10,2125","7,128571429",68917
2023,Audi,Q8,250,SUV,6,Automatic,AWD,Daytona Gray Pearl Effect,Black,5,5,Gas,"13,7","10,95",104903
2023,Audi,Q7,2800,SUV,6,Automatic,AWD,Navarra Blue Metallic,Brown,7,5,Gas,"12,76057692","9,396153846",88829
2023,Audi,S5,250,Hatchback,6,Automatic,AWD,White,Black,5,5,Gas,"11,1",8,82693
2018,Audi,Q5,159821,SUV,4,7 Speed Automatic with auto-shift,AWD,Blue,Brown,5,5,Gas,"10,81111111","8,533333333",24995
2023,Audi,Q5,3003,SUV,4,Automatic,AWD,White,Black,5,5,Gas,"10,81111111","8,533333333",65303
2017,Audi,A4,85897,Wagon,4,7 Speed Automatic with auto-shift,AWD,Blue,Brown,5,5,Gas,"10,03855422","7,191566265",31999
2023,Audi,Q7,2800,SUV,6,Automatic,AWD,Navarra Blue Metallic,Brown,7,5,Gas,"12,76057692","9,396153846",88829
2023,Audi,Q8,250,SUV,6,Automatic,AWD,Daytona Gray Pearl Effect,Black,5,5,Gas,"13,7","10,95",104903
2023,Audi,SQ5,90,SUV,6,Automatic,AWD,Ibis White,Black,5,5,Gas,"12,5","9,7",75953
2019,Audi,Q7,92088,SUV,6,8 Speed Automatic,AWD,Glacier White Metallic,Brown,7,5,Gas,"12,6","9,4",56550
2019,Audi,A4,25749,Wagon,4,7 Speed Automatic with auto-shift,AWD,Black,Black,5,5,Gas,"10,03855422","7,191566265",48199
2019,Audi,Q7,42523,SUV,6,8 Speed Automatic,AWD,Black,Black,7,5,Gas,"12,6","9,4",48998
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,81111111","8,533333333",61803
2014,Audi,Q7,209006,SUV,3,Automatic,AWD,Daytona Grey Pearl,Black,7,5,Gas,"13,5","9,2",19800
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,81111111","8,533333333",61803
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,81111111","8,533333333",57903
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Brilliant Black,Black,5,5,Gas,"10,81111111","8,533333333",57903
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Brilliant Black,Black,5,5,Gas,"10,81111111","8,533333333",57903
2023,Audi,A5,90,Hatchback,4,Automatic,AWD,Brilliant Black,Black,5,5,Gas,"10,2125","7,128571429",59653
2023,Audi,A5,90,Hatchback,4,Automatic,AWD,Brilliant Black,Black,5,5,Gas,"10,2125","7,128571429",59653
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,81111111","8,533333333",61803
2023,Audi,A5,90,Hatchback,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,2125","7,128571429",62803
2023,Audi,A5,90,Hatchback,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,2125","7,128571429",62803
2019,Audi,Q7,92088,SUV,6,8 Speed Automatic,AWD,Glacier White Metallic,Brown,7,5,Gas,"12,6","9,4",56550
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"10,81111111","8,533333333",65093
2023,Audi,A5,90,Hatchback,4,Automatic,AWD,Navarra Blue Metallic,Brown,5,5,Gas,"10,2125","7,128571429",65193
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Navarra Blue Metallic,Brown,5,5,Gas,"10,81111111","8,533333333",65243
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Mythos Black Metallic,Beige,5,5,Gas,"10,81111111","8,533333333",65243
2023,Audi,A5,90,Hatchback,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,2125","7,128571429",65453
2023,Audi,SQ5,90,SUV,6,Automatic,AWD,Ibis White,Black,5,5,Gas,"12,5","9,7",76553
2023,Audi,SQ5,90,SUV,6,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"12,5","9,7",79293
2023,Audi,SQ5,90,SUV,6,Automatic,AWD,Chronos Gray Metallic,Black,5,5,Gas,"12,5","9,7",79293
2015,Audi,Q5,180502,SUV,4,Automatic,AWD,Dark Grey,Black,5,5,Gas,12,"8,5",17900
2018,Audi,SQ5,120203,SUV,3,Automatic,AWD,Black,Black,5,5,Gas,"12,7",10,42800
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Brilliant Black,Brown,5,5,Gas,"10,81111111","8,533333333",56003
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Florett Silver Metallic,Black,5,5,Gas,"10,81111111","8,533333333",58793
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Navarra Blue Metallic,Black,5,5,Gas,"10,81111111","8,533333333",58793
2023,Audi,A5,90,Hatchback,4,Automatic,AWD,Ibis White,Black,5,5,Gas,"10,2125","7,128571429",59653
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"10,81111111","8,533333333",62693
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Florett Silver Metallic,Black,5,5,Gas,"10,81111111","8,533333333",65093
2023,Audi,A5,90,Hatchback,4,Automatic,AWD,Daytona Gray Pearl,Brown,5,5,Gas,"10,2125","7,128571429",65193
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Ultra Blue Metallic,Black,5,5,Gas,"10,81111111","8,533333333",65443
2023,Audi,A5,90,Hatchback,4,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"10,2125","7,128571429",65443
2023,Audi,A5,90,Hatchback,4,Automatic,AWD,Daytona Gray Pearl,Black,5,5,Gas,"10,2125","7,128571429",66443
2023,Audi,A5,90,Hatchback,4,Automatic,AWD,Navarra Blue Metallic,Black,5,5,Gas,"10,2125","7,128571429",66443
2023,Audi,A5,90,Hatchback,4,Automatic,AWD,Chronos Gray Metallic,Black,5,5,Gas,"10,2125","7,128571429",69343
2023,Audi,SQ5,90,SUV,6,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"12,5","9,7",76293
2023,Audi,SQ5,90,SUV,6,Automatic,AWD,Daytona Gray Pearl,Black,5,5,Gas,"12,5","9,7",80143
2023,Audi,Q5,90,SUV,4,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gasoline Hybrid,"9,3","8,7",83643
2023,Audi,SQ5,90,SUV,6,Automatic,AWD,Mythos Black Metallic,Black,5,5,Gas,"12,5","9,7",84743
2023,Audi,SQ5,90,SUV,6,Automatic,AWD,Glacier White Metallic,Black,5,5,Gas,"12,5","9,7",85593
2021,Volvo,XC60,40105,SUV,4,8 Speed Automatic,AWD,White,Black,5,5,Gas,"10,40322581","8,629032258",50888
2015,Volvo,XC60,83975,SUV,4,8 Speed Automatic,FWD,White,Black,5,5,Gas,"10,40322581","8,629032258",19999
2021,Volvo,XC60,40105,SUV,4,8 Speed Automatic,AWD,White,Black,5,5,Gas,"10,40322581","8,629032258",50888
2023,BMW,X5,12878,SUV,6,Automatic,AWD,White,Brown,6,5,Gas,"12,5962963","9,370899471",91040
2023,BMW,X5,9783,SUV,6,Automatic,AWD,Black,Black,6,5,Gas,"12,5962963","9,370899471",99330
2023,BMW,X5,9783,SUV,6,Automatic,AWD,Black,Black,6,5,Gas,"12,5962963","9,370899471",99330
2013,BMW,X5,100058,SUV,6,Automatic,AWD,Silver,Charcoal,6,5,Diesel,"12,5962963","9,370899471",19900
2017,BMW,4,58057,Sedan,4,8 Speed Automatic,AWD,Black,Black,5,5,Gas,"10,5","7,4",31900
2015,BMW,X5,108144,SUV,3,Automatic,AWD,Graphite Metallic,Cream,5,5,Gas,13,"8,9",31900
2016,BMW,X5,102417,SUV,3,Automatic,AWD,Alpine White,Black,5,5,Gas,"13,1","9,8",33900
2023,BMW,X3,1210,SUV,4,Automatic,AWD,Grey,Black,5,5,Gas,11,"8,4",74588
2019,Buick,Enclave,77050,SUV,6,9 Speed Automatic,AWD,Ebony Twilight Metallic,Beige,7,5,Gas,"13,61428571","9,414285714",38500
2017,Cadillac,XT5,141583,SUV,6,8 Speed Automatic,AWD,Crystal White Tricoat,Tan,5,5,Gas,"12,9","8,9",28888
2017,Cadillac,XT5,141583,SUV,6,8 Speed Automatic,AWD,Crystal White Tricoat,Tan,5,5,Gas,"12,9","8,9",28888
2018,Cadillac,Escalade,134685,SUV,8,Automatic,4x4,Black Raven,Black,7,5,Gas,"16,6","10,9",56888
2020,Cadillac,XT4,35985,SUV,4,9 Speed Automatic,AWD,Stellar Black Metallic,Beige,5,5,Gas,"10,9","8,2",41888
2022,Cadillac,XT4,13020,SUV,4,Automatic,AWD,Stellar Black Metallic,Black,5,5,Gas,"10,9","8,2",54707
2023,Cadillac,XT4,26,SUV,4,Automatic,AWD,Radiant Red Tintcoat,Black,5,5,Gas,"10,9","8,2",52577
2023,Cadillac,XT4,4030,SUV,4,Automatic,AWD,Galactic Grey Metallic,Black,5,5,Gas,"10,9","8,2",57337
2023,Cadillac,XT4,25,SUV,4,Automatic,AWD,Argent Silver Metallic,Black,5,5,Gas,"10,9","8,2",58257
2023,Cadillac,XT5,25,SUV,6,Automatic,AWD,Wilder Metallic,Black,5,5,Gas,"12,9","9,2",59817
2023,Cadillac,XT5,25,SUV,6,Automatic,AWD,Radiant Red Tintcoat,Black,5,5,Gas,"12,9","9,2",60312
2023,Cadillac,XT5,25,SUV,6,Automatic,AWD,Crystal White Tricoat,Black,5,5,Gas,"12,9","9,2",60312
2023,Cadillac,XT5,25,SUV,6,Automatic,AWD,Stellar Black Metallic,Black,5,5,Gas,"12,9","9,2",60962
2023,Cadillac,XT5,25,SUV,6,Automatic,AWD,Wilder Metallic,Black,5,5,Gas,"12,9","9,2",64737
2023,Cadillac,XT5,25,SUV,6,Automatic,AWD,Stellar Black Metallic,Black,5,5,Gas,"12,9","9,2",67837
2023,Cadillac,XT5,25,SUV,6,Automatic,AWD,Crystal White Tricoat,Black,5,5,Gas,"12,9","9,2",67927
2023,Cadillac,XT5,25,SUV,6,Automatic,AWD,Crystal White Tricoat,Black,5,5,Gas,"12,9","9,2",72107
2017,Cadillac,XT5,141583,SUV,6,8 Speed Automatic,AWD,Crystal White Tricoat,Tan,5,5,Gas,"12,9","8,9",28888
2017,Chevrolet,Volt,94991,Hatchback,4,Automatic,FWD,Mosaic Black Metallic,Black,4,5,Gasoline Hybrid,"5,9","5,7",22899
2017,Chevrolet,Cruze,112208,Hatchback,4,Automatic,FWD,Orange Burst Metallic,Black,5,5,Gas,"8,1","6,2",17490
2019,Chevrolet,Cruze,70811,Hatchback,4,6 Speed Automatic,FWD,Black,Grey,5,5,Gas,"8,1","6,2",22694
2019,Chevrolet,Equinox,95500,SUV,4,6 Speed Automatic,AWD,Mosaic Black Metallic,Black,5,5,Gas,"9,3","7,8",25128
2019,Chevrolet,Traverse,155001,SUV,6,9 Speed Automatic,AWD,Mosaic Black Metallic,Black,7,5,Gas,"13,7","9,5",33547
2019,Chevrolet,Cruze,70811,Hatchback,4,6 Speed Automatic,FWD,Black,Grey,5,5,Gas,"8,1","6,2",22694
2020,Chevrolet,Blazer,59571,SUV,6,9 Speed Automatic,AWD,Red,Black,5,5,Gas,"13,1","9,4",44888
2019,Chevrolet,Traverse,155001,SUV,6,9 Speed Automatic,AWD,Mosaic Black Metallic,Black,7,5,Gas,"13,7","9,5",33547
2018,Chevrolet,Equinox,168439,SUV,4,6 Speed Automatic,AWD,Silver Ice Metallic,Black,5,5,Gas,"9,960655738","7,717213115",19763
2018,Chevrolet,Volt,89467,Hatchback,4,1 Speed Automatic,FWD,Cajun Red Tintcoat,Black,4,5,Gasoline Hybrid,"5,9","5,7",25990
2011,Chevrolet,AVEO,144696,Hatchback,4,Automatic,FWD,Grey,Black,5,5,Gas,"7,6","5,7",4990
2014,Chevrolet,Equinox,70575,SUV,4,Automatic,FWD,Crystal Red Tintcoat,Black,5,5,Gas,"9,2","6,1",16900
2023,Chevrolet,Equinox,25,SUV,4,Automatic,FWD,Summit White,Grey,5,5,Gas,"8,9","7,7",31162
2023,Chevrolet,Equinox,25,SUV,4,Automatic,AWD,Mosaic Black Metallic,Grey,5,5,Gas,"9,9","7,9",35447
2023,Chevrolet,Equinox,25,SUV,4,Automatic,AWD,Mosaic Black Metallic,Black,5,5,Gas,"9,9","7,9",37647
2019,Chevrolet,Cruze,70811,Hatchback,4,6 Speed Automatic,FWD,Black,Grey,5,5,Gas,"8,1","6,2",22694
2016,Chevrolet,Spark,127115,Hatchback,4,Automatic,FWD,Burgundy,Black,5,5,Gas,"7,69375","6,075",12995
2019,Chevrolet,Traverse,155001,SUV,6,9 Speed Automatic,AWD,Mosaic Black Metallic,Black,7,5,Gas,"13,7","9,5",33547
2022,Chrysler,Pacifica,25451,Minivan,6,9 Speed Automatic,FWD,Brilliant Black Crystal Pearl,Black,7,5,Gas,"12,4","8,4",41899
2017,Maserati,Levante,56150,SUV,3,Automatic,AWD,Black,Red,5,5,Gas,"16,2559322","11,73559322",57898
2013,Porsche,Cayenne,178000,SUV,6,Automatic,AWD,Black,Black,5,5,Gas,"12,9","8,6",22999
2015,Porsche,Cayenne,97677,SUV,4,Automatic,AWD,Moonlight Blue,Brown,5,5,Gasoline Hybrid,"13,20993377","10,11192053",47900
2012,Porsche,Cayenne,205400,SUV,6,Automatic,AWD,Black,Beige,5,5,Gas,"13,20993377","10,11192053",21898
2023,Mazda,CX-5,5802,SUV,4,Automatic,AWD,Jet Black Mica,Black,5,5,Gas,"10,8","8,7",45473
2023,Mazda,CX-9,6583,SUV,4,Automatic,AWD,Grey,Black,7,5,Gas,"11,6","9,1",55028
2020,Mazda,Mazda3,78912,Hatchback,4,Automatic,FWD,Soul Red Crystal Metallic,Black,5,5,Gas,9,"6,6",28485
2023,Mazda,CX-9,6583,SUV,4,Automatic,AWD,Grey,Black,7,5,Gas,"11,6","9,1",55028
2023,Mazda,CX-5,3251,SUV,4,Automatic,AWD,Soul Red Crystal Metallic,Black,5,5,Gas,"9,8","7,9",33828
2022,Mazda,CX-5,4300,SUV,4,Automatic,AWD,Soul Red Crystal Metallic,Black,5,5,Gas,"9,9","7,9",40873
2022,Mazda,CX-5,4300,SUV,4,Automatic,AWD,Soul Red Crystal Metallic,Black,5,5,Gas,"9,9","7,9",40873
2020,Mazda,Mazda3,104415,Hatchback,4,Automatic,AWD,Jet Black Mica,Black,5,5,Gas,"9,8","7,4",28590
2023,Mazda,CX-5,4000,SUV,4,Automatic,AWD,Soul Red Crystal Metallic,Black,5,5,Gas,"10,8","8,7",48980
2023,Mazda,CX-5,1397,SUV,4,Automatic,AWD,Polymetal Grey Metallic,Black,5,5,Gas,"10,8","8,7",49675
2015,Mazda,Mazda3,192746,Hatchback,4,Automatic,FWD,Snowflake White Pearl,Black,5,5,Gas,8,"5,9",10899
2015,Mazda,Mazda3,213093,Hatchback,4,Manual,FWD,Deep Crystal Blue Mica,Black,5,5,Gas,"7,8","5,9",10985
2023,Mazda,CX-5,2869,SUV,4,Automatic,AWD,Rhodium White Metallic,Black,5,5,Gas,"9,8","7,9",33728
2023,Mazda,CX-5,3251,SUV,4,Automatic,AWD,Soul Red Crystal Metallic,Black,5,5,Gas,"9,8","7,9",33828
2023,Mazda,CX-30,831,SUV,4,Automatic,AWD,Grey,Black,5,5,Gas,9,"7,1",34928
2023,Mazda,CX-5,7300,SUV,4,Automatic,AWD,Sonic Silver Metallic,Black,5,5,Gas,"9,8","7,9",36928
2023,Mazda,CX-30,5,SUV,4,Automatic,AWD,Machine Grey Metallic,Black,5,5,Gas,"10,5","7,9",41123
2023,Mazda,CX-5,5802,SUV,4,Automatic,AWD,Jet Black Mica,Black,5,5,Gas,"10,8","8,7",45473
2023,Mazda,CX-9,6583,SUV,4,Automatic,AWD,Grey,Black,7,5,Gas,"11,6","9,1",55028
2023,Mazda,CX-9,2419,SUV,4,Automatic,AWD,Jet Black Mica,Black,7,5,Gas,"11,6","9,1",59219
2023,Mazda,CX-5,7431,SUV,4,Automatic,AWD,Soul Red Crystal Metallic,Black,5,5,Gas,"10,8","8,7",45828
2023,Mazda,CX-9,25,SUV,4,Automatic,AWD,Sonic Silver Metallic,Black,7,5,Gas,"11,6","9,1",53773
2023,Mazda,CX-5,1397,SUV,4,Automatic,AWD,Polymetal Grey Metallic,Black,5,5,Gas,"10,8","8,7",49675
2022,Mazda,CX-3,37425,Wagon,4,6 Speed Automatic,FWD,Jet Black Mica,Grey,5,5,Gas,"8,3","6,9",24995
2020,Mazda,Mazda3,83403,Hatchback,4,6 Speed Automatic,FWD,Bronze,Black,5,5,Gas,9,"6,6",26948
2022,Mazda,CX-3,25917,SUV,4,6 Speed Automatic,AWD,White,Black,5,5,Gas,"8,6","7,4",27836
2021,Mazda,Mazda3,60828,Hatchback,4,6 Speed Automatic,FWD,Snowflake White Pearl,Black,5,5,Gas,"9,2","6,9",29888
2021,Mazda,CX-5,22596,SUV,4,6 Speed Automatic,FWD,Blue,Black,5,5,Gas,"9,3","7,6",31896
2021,Mazda,CX-5,66488,SUV,4,6 Speed Automatic,AWD,Blue,Black,5,5,Gas,"9,8","7,9",31989
2021,Mazda,CX-5,64950,SUV,4,6 Speed Automatic,AWD,Grey,Black,5,5,Gas,"9,8","7,9",32863
2021,Mazda,CX-5,66310,SUV,4,6 Speed Automatic,AWD,Grey,Grey,5,5,Gas,"9,8","7,9",32888
2021,Mazda,CX-5,68720,SUV,4,6 Speed Automatic,AWD,Jet Black Mica,Black,5,5,Gas,"9,8","7,9",33986
2022,Mazda,CX-30,5539,SUV,4,6 Speed Automatic,AWD,Jet Black Mica,Black,5,5,Gas,"9,9","7,7",34386
2020,Mazda,CX-5,37429,SUV,4,6 Speed Automatic,AWD,Sonic Silver Metallic,Black,5,5,Gas,"10,8","8,7",36986
2021,Mazda,CX-5,26400,SUV,4,6 Speed Automatic,AWD,Sonic Silver Metallic,Black,5,5,Gas,"9,8","7,9",38638
2007,Mazda,Mazda3,164491,Hatchback,4,Manual,FWD,Grey,Grey,5,5,Gas,"9,2","6,7",4990
2019,Mazda,CX-5,112197,SUV,4,6 Speed Automatic,AWD,Blue,Black,5,5,Gas,"9,8","7,9",27383
2021,Mazda,CX-3,66953,SUV,4,6 Speed Automatic,AWD,Snowflake White Pearl,Black,5,5,Gas,"8,6","7,4",29896
2020,Mazda,CX-5,12453,SUV,4,6 Speed Automatic,AWD,Sonic Silver Metallic,Black,5,5,Gas,"9,8","7,9",35698
2020,Mazda,CX-9,51146,SUV,4,6 Speed Automatic,AWD,Snowflake White Pearl,Black,7,5,Gas,"11,6","9,1",37836
2010,Mazda,Mazda3,230964,Hatchback,4,Manual,FWD,Red,Black,5,5,Gas,"8,1","5,9",4990
2023,Mazda,CX-5,4000,SUV,4,Automatic,AWD,Soul Red Crystal Metallic,Black,5,5,Gas,"10,8","8,7",48980
2023,Mazda,CX-9,2419,SUV,4,Automatic,AWD,Jet Black Mica,Black,7,5,Gas,"11,6","9,1",59219
2023,Mazda,CX-5,7431,SUV,4,Automatic,AWD,Soul Red Crystal Metallic,Black,5,5,Gas,"10,8","8,7",45828
2023,Mazda,CX-9,25,SUV,4,Automatic,AWD,Sonic Silver Metallic,Black,7,5,Gas,"11,6","9,1",53773
2016,Mazda,CX-3,125044,SUV,4,6 Speed Automatic,AWD,Dynamic Blue Mica,Black,5,5,Gas,"8,8","7,3",22638
2023,Mazda,Mazda3,99,Hatchback,4,Automatic,AWD,Jet Black Mica,Black,5,5,Gas,9,7,37502
2023,Mazda,Mazda3,99,Hatchback,4,Automatic,AWD,Soul Red Crystal Metallic,Black,5,5,Gas,9,7,37952
2023,Mazda,Mazda3,99,Hatchback,4,Automatic,AWD,Sonic Silver Metallic,Black,5,5,Gas,"10,1","7,5",39902
2023,Mazda,CX-5,4000,SUV,4,Automatic,AWD,Soul Red Crystal Metallic,Black,5,5,Gas,"10,8","8,7",48980
2023,Mazda,CX-5,7300,SUV,4,Automatic,AWD,Sonic Silver Metallic,Black,5,5,Gas,"9,8","7,9",36928
2023,Mazda,CX-9,2419,SUV,4,Automatic,AWD,Jet Black Mica,Black,7,5,Gas,"11,6","9,1",59219
2022,Mazda,CX-3,37425,Wagon,4,6 Speed Automatic,FWD,Jet Black Mica,Grey,5,5,Gas,"8,3","6,9",24995
2022,Mazda,CX-9,10,SUV,4,Automatic,AWD,Snowflake White Pearl,Black,7,5,Gas,"11,6",9,55528
2010,Mazda,Mazda3,228197,Hatchback,4,Manual,FWD,Gray,Black,5,5,Gas,"8,1","5,9",4990
2023,Mazda,CX-5,3251,SUV,4,Automatic,AWD,Soul Red Crystal Metallic,Black,5,5,Gas,"9,8","7,9",33828
