pmes,p107,p108,p109a,p206,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,fa_efm21,IMTdep,IMTindep,IMTOSec,ITotal,p204
01,2,32,10,3,2,0,0,0,0,0,0,0,0,2,40,1,2,2,2,2,2,2,2,2,459.400078864323,5000,0,0,5000,0
01,2,52,6,1,13,10,10,10,10,10,10,10,70,1,NA,1,2,2,2,2,2,2,2,2,257.129844715314,0,3031,0,3031,0
01,1,50,5,5,3,8,8,8,8,8,0,8,48,1,NA,2,2,2,2,2,2,2,2,2,267.940000768738,0,0,0,0,0
01,2,21,6,5,3,8,6,6,6,6,6,8,46,1,NA,1,2,2,2,2,2,2,2,2,442.732424084162,0,0,0,0,0
03,2,46,5,5,15,0,5,4,5,4,5,5,28,1,NA,1,2,2,2,2,2,2,2,2,444.695673167671,0,0,0,0,0
03,1,26,10,5,11,0,8,9,8,9,8,8,50,1,NA,1,1,2,2,2,2,2,2,2,728.784702392038,0,0,0,0,0
03,2,52,10,3,5,0,6,6,6,6,6,0,30,1,NA,2,2,2,2,2,2,2,2,2,444.695673167671,5000,0,0,5000,0
02,2,26,10,3,3,0,9,0,9,0,9,3,30,2,45,1,2,2,2,2,2,2,2,2,898.88234079716506,900,0,0,900,0
02,1,25,10,3,0,0,0,0,8,8,8,8,32,2,48,1,1,2,2,2,2,2,2,2,1136.8879150114,2200,0,0,2200,0
01,1,54,10,1,25,0,9,9,9,9,9,5,50,1,NA,1,2,2,2,2,2,2,2,2,294.816480081901,0,40000,0,40000,0
01,1,27,10,1,3,10,10,10,10,10,0,0,50,2,60,1,2,2,2,2,2,2,2,2,927.327266673722,0,23000,0,23000,0
01,2,38,10,3,3,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,459.400078864323,17000,0,0,17000,0
01,1,43,10,3,9,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,871.559670456342,16000,0,0,16000,0
01,1,48,10,3,19,0,12,6,12,6,14,6,56,1,NA,1,2,2,2,2,2,2,2,2,442.224720122852,9000,0,4000,13000,0
01,2,43,10,3,13,0,10,10,10,10,8,0,48,1,NA,1,2,2,2,2,2,2,2,2,863.545364688354,10000,0,3000,13000,0
01,1,48,10,3,9,0,12,12,12,12,12,0,60,1,NA,1,2,2,2,2,2,2,2,2,442.224720122852,12000,0,0,12000,0
01,2,29,10,3,0,0,8,8,8,8,8,8,48,1,NA,1,2,2,2,2,2,2,2,2,918.800157728646,10000,0,0,10000,0
01,1,46,10,3,23,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,589.632960163803,10000,0,0,10000,0
01,1,49,10,3,9,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,147.408240040951,10000,0,0,10000,0
01,1,61,10,1,22,0,10,10,10,10,10,0,50,1,NA,2,2,2,2,2,2,2,2,2,294.816480081901,0,10000,0,10000,0
01,1,53,10,1,12,0,8,8,8,8,8,5,45,1,NA,2,2,2,2,2,2,2,2,2,442.224720122852,0,10000,0,10000,0
01,1,43,10,3,2,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,927.327266673722,9000,0,0,9000,0
01,2,44,10,3,1,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,918.800157728646,9000,0,0,9000,0
01,1,56,10,3,3,0,8,9,8,9,8,6,48,1,NA,1,2,2,2,2,2,2,2,2,589.632960163803,9000,0,0,9000,0
01,1,44,10,1,6,0,9,9,9,9,9,5,50,1,NA,1,1,2,2,2,2,2,2,2,421.394469665338,0,8000,0,8000,0
01,2,44,10,3,15,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,918.800157728646,8000,0,0,8000,0
01,1,55,10,2,21,0,7,7,7,7,7,0,35,1,NA,1,2,2,2,2,2,2,2,2,589.632960163803,0,8000,0,8000,0
01,1,39,10,3,1,0,8,8,8,8,8,8,48,1,NA,2,2,2,2,2,2,2,2,2,927.327266673722,8000,0,0,8000,0
01,1,27,10,3,1,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,927.327266673722,8000,0,0,8000,0
01,1,65,10,3,9,0,8,9,8,9,9,8,51,1,NA,1,2,2,2,2,2,2,2,2,589.632960163803,8000,0,0,8000,0
01,2,47,10,3,18,0,11,8,11,8,0,0,38,2,46,1,2,2,2,2,2,2,2,2,709.0869920609,7000,0,1000,8000,0
01,2,36,10,3,5,0,10,10,10,4,3,0,37,2,40,2,2,2,2,2,2,2,2,2,918.800157728646,7500,0,0,7500,0
01,1,32,10,3,1,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,695.495450005292,7000,0,0,7000,0
01,1,65,10,1,11,0,9,9,9,9,9,9,54,1,NA,1,2,2,2,2,2,2,2,2,442.224720122852,0,7000,0,7000,0
01,2,52,10,3,23,12,6,0,0,0,12,6,36,1,NA,2,2,2,2,2,2,2,2,2,424.382971143625,7000,0,0,7000,0
01,1,45,10,3,8,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,589.632960163803,7000,0,0,7000,0
01,1,61,10,3,21,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,589.632960163803,7000,0,0,7000,0
01,1,42,8,3,11,0,8,8,8,8,8,5,45,1,NA,1,2,2,2,2,2,2,2,2,1162.07956060846,6433,0,0,6433,0
01,1,53,8,3,24,12,12,12,12,12,12,0,72,1,NA,1,2,2,2,2,2,2,2,2,267.940000768738,6180,0,0,6180,0
01,1,29,10,3,1,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,316.045852249003,6000,0,0,6000,0
01,1,44,10,3,2,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,927.327266673722,6000,0,0,6000,0
01,1,43,10,3,16,12,6,6,0,0,0,12,36,1,NA,1,2,2,2,2,2,2,2,2,695.495450005292,6000,0,0,6000,0
01,2,46,10,1,7,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,709.0869920609,0,6000,0,6000,0
01,2,55,10,3,0,0,9,9,9,9,9,0,45,1,NA,1,2,2,2,2,2,2,2,2,531.815244045675,6000,0,0,6000,0
01,1,56,10,3,32,0,6,6,6,6,6,6,36,1,NA,2,2,2,2,2,2,2,2,2,738.898160220389,6000,0,0,6000,0
01,1,44,10,3,1,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,927.327266673722,5800,0,0,5800,0
01,1,39,10,3,16,0,12,12,12,12,12,0,60,1,NA,1,2,2,2,2,2,2,2,2,927.327266673722,5541,0,0,5541,0
01,1,48,10,3,22,0,8,8,8,8,8,8,48,1,NA,2,2,2,2,2,2,2,2,2,589.632960163803,5350,0,0,5350,0
01,2,39,10,1,9,0,8,8,8,8,8,8,48,1,NA,2,2,2,2,2,2,2,2,2,918.800157728646,0,5200,0,5200,0
01,1,38,6,3,7,0,12,12,12,12,13,9,70,1,NA,1,2,2,2,2,2,2,2,2,695.495450005292,3000,0,2060,5060,0
01,1,62,10,3,9,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,589.632960163803,5000,0,0,5000,0
01,2,24,10,3,1,0,8,8,8,8,8,0,40,2,50,1,2,2,2,2,2,2,2,2,974.283903203223,5000,0,0,5000,0
01,1,50,10,3,21,0,8,8,8,8,8,6,46,1,NA,2,2,2,2,2,2,2,2,2,442.224720122852,5000,0,0,5000,0
01,2,58,10,2,1,0,5,5,5,5,0,5,25,2,30,1,2,2,2,2,2,2,2,2,565.843961524833,0,5000,0,5000,0
01,1,35,8,3,5,0,8,8,8,8,0,8,40,2,48,1,2,2,2,2,2,2,2,2,927.327266673722,5000,0,0,5000,0
01,1,42,10,2,9,0,5,5,5,5,5,5,30,1,NA,1,1,2,2,2,2,2,2,2,927.327266673722,0,5000,0,5000,0
01,1,33,10,3,2,10,10,10,10,6,10,10,66,1,NA,1,2,2,2,2,2,2,2,2,927.327266673722,5000,0,0,5000,0
01,1,45,10,3,3,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,589.632960163803,5000,0,0,5000,0
01,1,46,10,3,11,0,8,8,8,8,8,0,40,2,48,1,2,2,2,2,2,2,2,2,589.632960163803,5000,0,0,5000,0
01,2,61,10,3,21,0,12,18,12,18,6,0,66,1,NA,1,2,2,2,2,2,2,2,2,565.843961524833,3000,0,2000,5000,0
01,2,43,10,3,22,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,229.700039432162,5000,0,0,5000,0
01,1,54,10,3,1,0,8,8,8,8,8,0,40,2,48,1,2,2,2,2,2,2,2,2,442.224720122852,5000,0,0,5000,0
01,1,47,10,3,6,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,589.632960163803,5000,0,0,5000,0
01,1,56,10,2,13,0,8,8,8,6,0,8,38,2,44,2,2,2,2,2,2,2,2,2,147.408240040951,0,5000,0,5000,0
01,2,54,10,2,11,0,7,7,7,7,0,8,36,2,42,1,2,2,2,2,2,2,2,2,141.460990381208,0,5000,0,5000,0
01,1,31,10,1,1,0,10,10,10,8,0,0,38,2,45,1,2,2,2,2,2,2,2,2,231.831816668431,0,5000,0,5000,0
01,2,28,10,3,5,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,459.400078864323,5000,0,0,5000,0
01,1,48,10,3,1,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,589.632960163803,5000,0,0,5000,0
01,1,30,10,3,3,0,12,12,12,12,12,12,72,1,NA,1,2,2,2,2,2,2,2,2,927.327266673722,5000,0,0,5000,0
01,2,44,8,3,7,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,918.800157728646,5000,0,0,5000,0
01,1,33,10,3,1,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,695.495450005292,5000,0,0,5000,0
01,1,26,10,3,2,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,695.495450005292,5000,0,0,5000,0
01,1,71,10,3,41,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,325.108846656469,5000,0,0,5000,0
01,1,38,10,3,9,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,511.305029585924,5000,0,0,5000,0
01,1,64,10,2,21,0,8,8,8,8,0,8,40,1,NA,1,2,2,2,2,2,2,2,2,554.173620165292,0,5000,0,5000,0
01,1,57,10,3,36,10,12,12,12,12,12,10,80,1,NA,2,2,2,2,2,2,2,2,2,738.898160220389,4000,0,1000,5000,0
01,1,43,8,3,6,0,8,8,8,8,8,5,45,1,NA,1,2,2,2,2,2,2,2,2,511.305029585924,5000,0,0,5000,0
01,1,51,8,3,18,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,325.108846656469,5000,0,0,5000,0
01,2,51,10,3,26,0,6,6,6,6,6,6,36,1,NA,2,2,2,2,2,2,2,2,2,709.0869920609,5000,0,0,5000,0
01,1,58,10,1,22,0,8,8,8,8,8,8,48,1,NA,2,2,2,2,2,2,2,2,2,738.898160220389,0,5000,0,5000,0
01,1,27,10,3,5,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,316.045852249003,4900,0,0,4900,0
01,2,28,10,3,0,0,10,11,10,10,10,0,51,2,40,1,2,2,2,2,2,2,2,2,918.800157728646,4800,0,0,4800,0
01,2,28,10,3,2,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,918.800157728646,4700,0,0,4700,0
01,2,30,10,3,5,0,8,10,10,8,8,0,44,1,NA,1,2,2,2,2,2,2,2,2,918.800157728646,4540,0,0,4540,0
01,1,31,10,3,10,0,9,9,9,9,9,0,45,1,NA,1,2,2,2,2,2,2,2,2,927.327266673722,4500,0,0,4500,0
01,1,39,10,1,4,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,927.327266673722,0,4500,0,4500,0
01,2,29,10,2,8,0,6,6,6,6,6,0,30,1,NA,2,2,2,2,2,2,2,2,2,918.800157728646,0,4500,0,4500,0
01,1,65,10,3,9,0,12,12,12,12,12,0,60,1,NA,2,2,2,2,2,2,2,2,2,554.173620165292,2500,0,2000,4500,0
01,1,41,10,3,18,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,1162.07956060846,4500,0,0,4500,0
01,1,46,6,3,1,8,8,8,8,0,8,8,48,1,NA,2,2,2,2,2,2,2,2,2,589.632960163803,4409,0,0,4409,0
01,2,49,8,1,21,0,12,12,15,12,12,12,75,1,NA,1,2,2,2,2,2,2,2,2,709.0869920609,0,4000,400,4400,0
01,1,25,10,3,4,8,8,8,8,8,8,8,56,1,NA,2,2,2,2,2,2,2,2,2,511.305029585924,4303,0,0,4303,0
01,1,45,8,3,3,0,10,10,10,10,10,5,55,1,NA,1,2,2,2,2,2,2,2,2,325.108846656469,4300,0,0,4300,0
01,2,50,6,1,21,12,12,12,12,12,12,12,84,1,NA,2,2,2,2,2,2,2,2,2,565.843961524833,0,4243,0,4243,0
01,1,59,8,3,31,11,11,11,11,0,11,11,66,1,NA,1,2,2,2,2,2,2,2,2,589.632960163803,4208,0,0,4208,0
01,1,32,10,3,4,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,695.495450005292,4200,0,0,4200,0
01,1,53,9,3,33,0,5,16,0,5,16,0,42,1,NA,2,2,2,2,2,2,2,2,2,589.632960163803,4101,0,0,4101,0
01,1,52,10,3,17,0,8,8,8,8,8,0,40,1,NA,1,2,2,1,2,2,2,2,1,267.940000768738,4000,0,0,4000,0
01,1,44,10,3,1,0,8,8,8,0,0,0,24,2,45,2,2,2,2,2,2,2,2,2,421.394469665338,4000,0,0,4000,0
01,2,31,10,3,7,1,7,4,4,4,4,1,25,2,50,1,2,2,2,2,2,2,2,2,918.800157728646,2000,0,2000,4000,0
01,2,31,10,3,1,0,8,8,8,8,8,8,48,1,NA,1,2,2,2,2,2,2,2,2,918.800157728646,4000,0,0,4000,0
01,1,30,10,3,4,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,927.327266673722,4000,0,0,4000,0
01,2,51,9,3,20,0,8,8,8,8,0,8,40,1,NA,1,2,2,2,2,2,2,2,2,565.843961524833,4000,0,0,4000,0
01,2,52,10,3,5,0,11,12,14,1,0,0,38,2,40,1,2,2,2,2,2,2,2,2,565.843961524833,4000,0,0,4000,0
01,2,36,10,3,15,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,918.800157728646,4000,0,0,4000,0
01,1,57,6,1,29,0,8,8,8,8,0,8,40,2,60,1,2,2,2,2,2,2,2,2,589.632960163803,0,4000,0,4000,0
01,1,35,10,3,3,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,927.327266673722,4000,0,0,4000,0
01,1,63,10,3,8,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,442.224720122852,4000,0,0,4000,0
01,2,41,10,3,2,0,8,8,8,8,8,0,40,1,NA,1,1,2,2,2,2,2,2,2,918.800157728646,4000,0,0,4000,0
01,2,36,10,3,5,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,918.800157728646,4000,0,0,4000,0
01,2,60,10,3,15,0,10,10,10,10,10,0,50,1,NA,2,2,2,2,2,2,2,2,2,565.843961524833,4000,0,0,4000,0
01,1,63,10,2,21,0,8,8,8,8,8,8,48,1,NA,1,2,2,2,2,2,2,2,2,589.632960163803,0,4000,0,4000,0
01,1,35,10,3,11,0,10,10,10,10,10,0,50,1,NA,1,2,2,2,2,2,2,2,2,511.305029585924,4000,0,0,4000,0
01,2,56,10,3,6,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,709.0869920609,4000,0,0,4000,0
01,1,38,10,3,9,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,1162.07956060846,4000,0,0,4000,0
01,2,37,10,3,9,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,1151.39381958447,4000,0,0,4000,0
01,1,35,10,3,9,0,0,0,0,0,0,0,0,2,48,2,2,2,2,2,2,2,2,2,1162.07956060846,4000,0,0,4000,0
01,2,42,10,2,15,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,506.60339527824,0,4000,0,4000,0
01,2,33,8,1,14,0,10,10,10,10,10,10,60,1,NA,2,2,2,2,2,2,2,2,2,1151.39381958447,0,4000,0,4000,0
01,1,51,8,2,15,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,738.898160220389,0,4000,0,4000,0
01,1,49,6,3,31,7,17,0,7,17,0,7,55,1,NA,2,2,2,2,2,2,2,2,2,589.632960163803,3800,0,0,3800,0
01,2,41,10,3,7,0,12,6,12,0,12,0,42,1,NA,1,1,2,2,2,2,2,2,2,918.800157728646,3800,0,0,3800,0
01,1,35,6,2,16,0,9,9,9,9,9,9,54,1,NA,2,2,2,2,2,2,2,2,2,1162.07956060846,0,3800,0,3800,0
01,1,54,8,3,21,0,8,8,8,8,8,6,46,1,NA,1,2,2,2,2,2,2,2,2,589.632960163803,3708,0,0,3708,0
01,2,43,10,3,6,0,6,6,6,6,6,11,41,1,NA,1,1,2,2,2,2,2,2,2,918.800157728646,3500,0,200,3700,0
01,2,46,10,1,3,0,10,10,10,10,10,0,50,1,NA,1,2,2,2,2,2,2,2,2,565.843961524833,0,3693,0,3693,0
01,2,33,8,3,13,4,16,0,4,16,0,4,44,1,NA,1,2,2,2,2,2,2,2,2,689.100118296485,3623,0,0,3623,0
01,1,38,6,3,15,16,8,16,8,16,8,16,88,1,NA,1,2,2,2,2,2,2,2,2,927.327266673722,3539,0,0,3539,0
01,1,28,6,3,6,17,7,0,17,7,0,17,65,1,NA,2,2,2,2,2,2,2,2,2,421.394469665338,3500,0,0,3500,0
01,1,56,10,3,24,0,8,8,8,8,8,4,44,1,NA,2,2,2,2,2,2,2,2,2,267.940000768738,3500,0,0,3500,0
01,1,54,8,3,11,0,8,8,8,8,8,5,45,2,48,2,1,2,2,2,2,2,2,2,267.940000768738,0,0,3500,3500,0
01,1,56,8,3,37,0,8,8,8,8,8,6,46,2,60,1,2,2,2,2,2,2,2,2,442.224720122852,3500,0,0,3500,0
01,1,57,6,3,36,16,8,16,8,16,8,16,88,1,NA,2,2,2,2,2,2,2,2,2,442.224720122852,3500,0,0,3500,0
01,2,33,10,3,5,0,8,8,8,8,8,8,48,1,NA,1,2,2,2,2,2,2,2,2,689.100118296485,3500,0,0,3500,0
01,1,35,10,3,1,0,9,9,9,9,9,5,50,1,NA,1,2,2,2,2,2,2,2,2,695.495450005292,3500,0,0,3500,0
01,1,54,10,2,11,0,8,8,8,8,8,0,40,1,NA,1,1,2,2,2,2,2,2,2,294.816480081901,0,3500,0,3500,0
01,2,35,10,3,5,0,8,8,8,8,0,8,40,2,48,1,2,2,2,2,2,2,2,2,918.800157728646,3500,0,0,3500,0
01,2,48,9,3,9,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,565.843961524833,3500,0,0,3500,0
01,2,45,9,2,6,0,8,8,8,8,8,6,46,2,50,1,1,2,2,2,2,2,2,2,565.843961524833,0,3500,0,3500,0
01,2,42,10,3,15,0,0,0,0,0,0,0,0,2,36,1,2,2,2,2,2,2,2,2,918.800157728646,3500,0,0,3500,0
01,1,63,8,3,6,0,12,12,0,12,12,0,48,1,NA,2,2,2,2,2,2,2,2,2,442.224720122852,3500,0,0,3500,0
01,2,52,10,3,12,0,9,9,9,9,9,9,54,1,NA,2,2,2,2,2,2,2,2,2,565.843961524833,3500,0,0,3500,0
01,1,28,10,2,9,0,9,9,9,9,9,9,54,1,NA,2,2,2,2,2,2,2,2,2,1162.07956060846,0,3500,0,3500,0
01,2,32,10,3,3,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,1151.39381958447,3500,0,0,3500,0
01,2,35,6,3,5,10,13,13,13,13,9,13,84,2,60,1,2,2,2,2,2,2,2,2,918.800157728646,3000,0,450,3450,0
01,1,23,10,3,1,16,8,16,8,16,8,0,72,1,NA,2,2,2,2,2,2,2,2,2,915.874738639152,3407,0,0,3407,0
01,1,28,6,3,7,16,8,16,8,0,16,8,72,1,NA,1,2,2,2,2,2,2,2,2,927.327266673722,3407,0,0,3407,0
01,1,27,8,3,7,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,421.394469665338,3400,0,0,3400,0
01,2,29,9,3,7,0,8,8,8,8,8,8,48,1,NA,1,2,2,2,2,2,2,2,2,918.800157728646,3400,0,0,3400,0
01,2,35,8,3,4,4,17,0,4,17,0,4,46,1,NA,1,2,2,2,2,2,2,2,2,689.100118296485,3360,0,0,3360,0
01,1,25,6,3,7,0,12,7,12,7,0,12,50,1,NA,2,2,2,2,2,2,2,2,2,421.394469665338,3300,0,0,3300,0
01,1,53,8,3,36,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,325.108846656469,3217,0,0,3217,0
01,2,42,10,3,8,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,417.519595410235,3200,0,0,3200,0
01,1,27,8,3,5,8,0,8,8,8,8,8,48,1,NA,2,2,2,2,2,2,2,2,2,695.495450005292,3140,0,0,3140,0
01,1,56,6,3,31,0,16,8,0,16,8,0,48,1,NA,1,2,2,2,2,2,2,2,2,738.898160220389,3107,0,0,3107,0
01,1,53,6,3,21,7,17,7,17,7,17,7,79,1,NA,2,2,2,2,2,2,2,2,2,589.632960163803,3104,0,0,3104,0
01,1,39,10,3,3,0,8,8,8,8,8,0,40,2,60,1,2,2,2,2,2,2,2,2,927.327266673722,3100,0,0,3100,0
01,1,44,7,3,9,0,8,8,8,8,8,8,48,1,NA,2,2,2,2,2,2,2,2,2,695.495450005292,3031,0,0,3031,0
01,1,21,9,3,2,0,8,8,8,8,8,5,45,1,NA,2,2,2,2,2,2,2,2,2,686.906053979364,3031,0,0,3031,0
01,1,26,10,3,3,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,421.394469665338,3000,0,0,3000,0
01,1,26,8,3,8,0,8,8,8,8,8,8,48,1,NA,1,2,2,2,2,2,2,2,2,421.394469665338,3000,0,0,3000,0
01,2,23,8,3,6,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,442.732424084162,3000,0,0,3000,0
01,1,45,10,3,11,0,10,10,10,10,10,0,50,1,NA,1,2,2,2,2,2,2,2,2,267.940000768738,3000,0,0,3000,0
01,2,35,10,3,4,0,10,10,10,10,10,0,50,1,NA,1,2,2,2,2,2,2,2,2,417.519595410235,3000,0,0,3000,0
01,1,30,10,3,6,0,6,6,6,6,6,6,36,1,NA,2,2,2,2,2,2,2,2,2,421.394469665338,3000,0,0,3000,0
01,1,39,10,3,5,0,8,8,8,8,8,8,48,1,NA,2,2,2,2,2,2,2,2,2,421.394469665338,3000,0,0,3000,0
01,2,28,10,3,0,0,7,7,7,7,7,0,35,1,NA,1,2,2,2,2,2,2,2,2,918.800157728646,3000,0,0,3000,0
01,1,27,8,3,7,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,695.495450005292,3000,0,0,3000,0
01,1,40,10,2,5,0,6,6,8,9,6,9,44,1,NA,2,2,2,2,2,2,2,2,2,927.327266673722,0,3000,0,3000,0
01,1,28,10,2,2,0,8,8,8,8,8,8,48,1,NA,2,2,2,2,2,2,2,2,2,463.663633336861,0,3000,0,3000,0
01,2,26,10,3,3,0,8,8,8,8,8,0,40,1,NA,1,2,2,2,2,2,2,2,2,689.100118296485,3000,0,0,3000,0
01,1,39,8,3,2,0,9,9,9,9,9,0,45,1,NA,1,2,2,2,2,2,2,2,2,927.327266673722,3000,0,0,3000,0
01,2,33,10,3,9,0,0,0,0,0,0,0,0,2,48,1,1,2,2,2,2,2,2,2,918.800157728646,3000,0,0,3000,0
01,1,58,10,3,16,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,589.632960163803,3000,0,0,3000,0
01,2,36,10,3,5,0,6,12,6,12,0,0,36,1,NA,2,2,2,2,2,2,2,2,2,689.100118296485,3000,0,0,3000,0
01,1,59,10,3,11,0,8,8,8,8,8,0,40,1,NA,2,2,2,2,2,2,2,2,2,589.632960163803,3000,0,0,3000,0
01,2,44,10,2,10,0,8,8,8,8,8,8,48,1,NA,2,2,2,2,2,2,2,2,2,918.800157728646,0,3000,0,3000,0
01,2,64,8,1,11,0,8,8,8,8,8,8,48,1,NA,2,2,2,2,2,2,2,2,2,424.382971143625,0,3000,0,3000,0
01,1,30,10,3,4,0,8,8,8,8,0,8,40,2,48,1,2,2,2,2,2,2,2,2,927.327266673722,3000,0,0,3000,0
01,2,50,8,3,7,0,8,8,8,8,8,8,48,1,NA,1,2,2,2,2,2,2,2,2,565.843961524833,3000,0,0,3000,0
