"","Edad","Género","Carrera","Cantidad_cursos","Promedio_ponderado","Orden_mérito","Desempeño_clases","Participaste_actividad_extracurricular","Criterio_act_desempeño","Trabajo","Deportes","Org_estudiantil","Voluntariados","Talleres","Act_religiosas","Tiempo_trabajo","Tiempo_deporte","Tiempo_organización_estudiantil","Tiempo_voluntariado","Tiempo_talleres","Tiempo_actividad_religiosa","Tiempo_otras_actividades","Tiempo_estudio","Tiempo_descanso","Tiempo_actividades_ocio","Cursos_extraacadémico","Tiempo_curso_extraacadémico","Block_notas","Google_Calendar","Apps_mates","Notion","Horarios_agendas","Ninguna_herramienta","Tiempo_total_act_extra"
"21",17,"Hombre","Ingeniería Mecatrónica",9,18,"Tercio superior","Excelente","SI","SI","No","Si","No","No","No","No",0,12,0,0,0,0,0,15,42,24,"SI",4,"No","No","No","No","No","Si",12
"22",20,"Mujer","Ingeniería Ambiental",5,16.75,"Quinto superior","Bueno","SI","SI","Si","No","Si","Si","No","No",24,3,1,1,0,0,1,30,27,18,"NO",0,"No","Si","No","No","No","No",29
"23",18,"Hombre","Ingeniería Mecatrónica",6,17.7,"Décimo superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,48,18,"NO",0,"No","No","Si","No","No","No",NA
"25",20,"Mujer","Ingeniería Industrial",5,13.45,"Décimo superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,36,"SI",2,"No","Si","No","No","No","No",NA
"26",19,"Hombre","Ingeniería Industrial",6,16,"Quinto superior","Bueno","SI","NO","No","Si","Si","No","No","No",12,24,1,1,1,2,2,24,36,12,"NO",0,"No","Si","Si","No","Si","No",41
"27",21,"Mujer","Ingeniería Industrial",6,17.7,"Quinto superior","Bueno","SI","NO","No","Si","No","Si","No","No",0,12,0,2,2,0,0,30,30,6,"SI",6,"No","No","No","No","Si","No",16
"28",18,"Hombre","Ingeniería Mecatrónica",7,15,"Décimo superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,30,"NO",0,"No","Si","No","Si","No","No",NA
"29",18,"Mujer","Ingeniería Industrial",5,15,"Quinto superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,30,18,"NO",0,"No","Si","No","No","No","No",NA
"30",19,"Hombre","Ingeniería Civil",8,16.63,"Décimo superior","Excelente","SI","NO","No","No","No","No","No","No",0,12,0,0,0,0,3,36,42,12,"SI",7.5,"No","No","No","No","No","Si",12
"31",18,"Hombre","Ciencia de la Computación",6,17.33,"Quinto superior","Bueno","SI","SI","No","No","No","No","No","No",0,18,0,0,0,0,0,24,48,12,"SI",5,"No","Si","No","No","No","No",18
"32",20,"Hombre","Ingeniería Civil",5,11.5,"Décimo superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,42,18,"NO",0,"Si","Si","Si","No","Si","No",NA
"33",19,"Mujer","Ingeniería Civil",7,14.5,"Quinto superior","Bueno","SI","SI","No","No","Si","Si","No","No",0,0,1,1,0,0,0,18,42,12,"NO",0,"Si","Si","No","No","Si","No",2
"34",18,"Mujer","Ingeniería Civil",7,16,"Quinto superior","Regular","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,30,6,"SI",4,"No","Si","No","No","No","No",NA
"35",19,"Hombre","Bioingeniería",6,16.72,"Medio superior","Bueno","SI","SI","No","No","No","No","No","No",0,0,0,0,2.5,0,0,36,36,24,"SI",4,"No","Si","No","No","No","No",2.5
"36",21,"Mujer","Ingeniería Industrial",6,14.94,"Tercio superior","Bueno","SI","NO","No","No","No","Si","No","No",0,0,0,2,2,0,0,36,30,0,"SI",2.3,"Si","Si","No","No","Si","No",4
"37",18,"Mujer","Ingeniería Civil",7,17.23,"Décimo superior","Excelente","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,30,24,"NO",0,"Si","Si","No","No","No","No",NA
"38",18,"Hombre","Ingeniería Química",5,19,"Décimo superior","Excelente","SI","NO","No","Si","No","No","No","No",0,13.8,0,0,0,0,0,6,30,18,"NO",0,"No","Si","No","No","Si","No",13.8
"39",19,"Hombre","Ingeniería Civil",7,15.67,"Tercio superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,25.5,12,"NO",0,"No","No","No","No","No","Si",NA
"40",22,"Hombre","Ingeniería Civil",6,14.5,"Décimo superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,42,6,"SI",5.5,"Si","Si","No","No","No","No",NA
"41",19,"Hombre","Ingeniería Civil",6,15,"Quinto superior","Bueno","SI","NO","No","Si","No","No","No","No",0,18,0,0,3,0,3,39,30,12,"SI",3,"Si","Si","No","No","No","No",21
"42",20,"Hombre","Ingeniería Civil",6,12,"Medio superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,24,"NO",0,"Si","Si","No","No","Si","No",NA
"43",20,"Hombre","Ingeniería Civil",6,16.55,"Tercio superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,36,21,"NO",0,"Si","Si","No","No","No","No",NA
"44",19,"Mujer","Ingeniería Ambiental",6,14,"Tercio superior","Regular","SI","NO","No","No","No","Si","No","No",0,0,0,1,0,0,1,24,36,24,"NO",0,"No","Si","No","No","Si","No",1
"45",20,"Mujer","Ingeniería Industrial",6,13,"Medio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,48,25.2,"NO",0,"No","No","No","No","Si","No",NA
"48",21,"Mujer","Ingeniería Industrial",5,13,"Tercio superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,30,12,"SI",5,"No","Si","No","No","No","No",NA
"49",19,"Mujer","Ingeniería Civil",7,15,"Quinto superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,18,6,"NO",0,"No","No","No","No","Si","No",NA
"50",19,"Mujer","Bioingeniería",6,12.33,"Décimo superior","Bueno","SI","SI","No","Si","No","Si","No","No",0,15,0,2,0,0,0,42,30,0,"SI",9,"No","Si","Si","No","Si","No",17
"52",19,"Hombre","Ingeniería Mecatrónica",6,15,"Medio superior","Bueno","SI","SI","No","Si","Si","No","No","No",0,18,0.5,0,0.5,0,0,15,33,6,"NO",0,"Si","Si","No","Si","Si","No",19
"53",18,"Mujer","Bioingeniería",6,15,"Tercio superior","Bueno","SI","NO","No","No","No","Si","No","No",21,6,1,2,0,1,0,36,30,24,"SI",10,"Si","Si","No","No","No","No",31
"54",20,"Mujer","Ingeniería Ambiental",5,14,"Quinto superior","Bueno","SI","NO","No","No","Si","No","No","No",0,0,0.5,0,0,1,0,34.8,42,0,"NO",0,"No","Si","No","No","No","No",1.5
"55",18,"Hombre","Ingeniería Mecatrónica",8,15,"Quinto superior","Bueno","SI","NO","No","Si","No","No","No","No",0,12,0,0,3,0,0,36,24,12,"NO",0,"Si","Si","No","Si","No","No",15
"57",19,"Hombre","Ingeniería Mecatrónica",5,16,"Medio superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,36,18,"NO",0,"No","No","No","No","No","Si",NA
"58",21,"Hombre","Bioingeniería",7,12.99,"Tercio superior","Regular","SI","SI","No","No","No","No","No","No",0,0,1,0,2,0,4,36,24,18,"NO",0,"No","No","No","No","No","Si",3
"59",18,"Hombre","Ingeniería Mecatrónica",6,17.56,"Décimo superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,48,18,"NO",0,"No","No","Si","No","No","No",NA
"61",18,"Hombre","Ingeniería Mecatrónica",7,13.5,"Medio superior","Bueno","SI","SI","Si","Si","No","No","No","No",24,18,0,0,0,0,3,30,48,24,"SI",2,"Si","Si","No","Si","No","No",42
"62",19,"Mujer","Ingeniería Industrial",7,14,"Tercio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,30,30,"NO",0,"Si","No","No","No","No","No",NA
"63",18,"Mujer","Ingeniería Industrial",6,15.5,"Tercio superior","Regular","SI","SI","No","No","Si","No","No","No",0,14.4,3.5,0,3.5,2.1,5.1,12,27,0,"SI",3,"No","No","No","Si","No","No",23.5
"64",18,"Mujer","Bioingeniería",7,16.45,"Medio superior","Bueno","SI","SI","No","No","No","Si","No","No",0,0,0,3,2,0,0,30,30,36,"SI",3,"Si","No","No","No","Si","No",5
"65",18,"Mujer","Ingeniería Industrial",6,13.61,"Tercio superior","Regular","SI","NO","No","No","No","Si","No","No",6,6,0,1,0,1,1,36,24,6,"NO",0,"Si","Si","No","No","Si","No",14
"66",17,"Hombre","Ciencia de Datos",4,14.93,"Tercio superior","Bueno","SI","SI","No","Si","No","No","No","No",0,15,0,0,0,0,0,21,36,9,"NO",0,"No","Si","No","No","Si","No",15
"67",18,"Hombre","Ciencia de Datos",4,15.66,"Tercio superior","Excelente","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,54,36,"SI",10,"No","No","Si","No","No","No",NA
"68",19,"Mujer","Bioingeniería",5,14,"Medio superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,36,12,"NO",0,"No","Si","Si","No","Si","No",NA
"69",20,"Hombre","Bioingeniería",7,14.41,"Medio superior","Regular","SI","NO","No","Si","No","Si","No","No",0,12,0,0,0,0,0,42,27,24,"NO",0,"No","Si","Si","No","No","No",12
"70",19,"Mujer","Ingeniería Civil",6,13.4,"Medio superior","Malo","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,36,30,"NO",0,"No","Si","No","No","Si","No",NA
"71",21,"Hombre","Ingeniería Civil",6,13.22,"Tercio superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,36,12,"NO",0,"No","No","No","No","No","Si",NA
"72",25,"Hombre","Ingeniería Mecánica",7,15.7,"Quinto superior","Bueno","SI","NO","No","Si","No","Si","No","No",24,18,0,4,0,0,5,30,27,18,"NO",0,"No","Si","No","No","No","No",46
"74",20,"Hombre","Ingeniería Mecatrónica",5,16.5,"Décimo superior","Bueno","SI","SI","No","Si","Si","No","No","No",0,6,0.5,0,0,0,0,9,36,12,"NO",0,"Si","Si","No","No","Si","No",6.5
"75",19,"Mujer","Ingeniería Civil",5,13.35,"Medio superior","Regular","SI","NO","No","Si","No","Si","No","No",0,6,2,3,0,1,0,36,30,12,"SI",2,"Si","Si","No","No","Si","No",12
"76",19,"Mujer","Ingeniería Civil",6,15.03,"Tercio superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,30,18,"SI",2,"Si","Si","No","No","Si","No",NA
"77",20,"Mujer","Ingeniería Industrial",5,13.45,"Tercio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,45,6,"NO",0,"Si","Si","No","No","Si","No",NA
"78",20,"Hombre","Ingeniería Civil",6,15.47,"Tercio superior","Bueno","SI","NO","No","Si","Si","No","No","No",0,6,0.5,0,0,0,0,24,36,6,"NO",0,"No","Si","No","Si","No","No",6.5
"79",19,"Mujer","Ingeniería Civil",5,13.56,"Medio superior","Regular","SI","NO","No","Si","Si","No","No","No",0,12,3,0,0,0,0,24,33,9,"SI",4,"Si","Si","No","No","Si","No",15
"80",22,"Hombre","Ingeniería de la Energía",6,15.87,"Tercio superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,36,12,"SI",7.5,"No","Si","No","No","Si","No",NA
"81",22,"Hombre","Ingeniería Industrial",6,16.02,"Tercio superior","Bueno","SI","SI","No","Si","No","Si","No","No",24,12,2,2,2,1,1,30,12,12,"SI",4,"No","Si","No","No","No","No",43
"82",19,"Hombre","Bioingeniería",6,14.25,"Tercio superior","Regular","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,39,12,"SI",5.5,"Si","No","No","No","No","No",NA
"83",19,"Hombre","Ingeniería Ambiental",6,14.3,"Medio superior","Regular","SI","NO","No","No","Si","No","No","No",0,3,2,1.5,0.5,0,0,18,42,12,"SI",2,"No","Si","No","No","No","No",7
"84",22,"Hombre","Bioingeniería",6,17.8,"Décimo superior","Excelente","SI","NO","Si","No","No","No","No","No",24,0,0,0,0,0,0,6,33,18,"NO",0,"Si","No","No","No","Si","No",24
"85",18,"Mujer","Ingeniería Industrial",6,17,"Quinto superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,48,18,"NO",0,"Si","Si","No","No","No","No",NA
"86",18,"Hombre","Ingeniería Mecatrónica",6,15.47,"Quinto superior","Regular","SI","NO","No","Si","No","No","No","No",0,18,0,0,0,1,0,6,42,12,"NO",0,"No","Si","No","No","No","No",19
"88",17,"Mujer","Ingeniería Química",5,15.59,"Quinto superior","Bueno","SI","SI","No","Si","No","Si","No","No",0,12,0,1.5,3.5,0,1,12,36,6,"SI",5,"Si","Si","No","No","Si","No",17
"89",18,"Mujer","Ingeniería Ambiental",7,14.67,"Medio superior","Regular","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,24,24,"NO",0,"No","Si","No","No","Si","No",NA
"91",23,"Hombre","Ingeniería Mecatrónica",4,15.57,"Tercio superior","Regular","SI","SI","No","Si","No","Si","No","No",0,9,0,2,0,0,0,21,40.2,12,"NO",0,"Si","Si","Si","Si","Si","No",11
"92",20,"Mujer","Ingeniería Química",6,14,"Tercio superior","Malo","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,48,30,"NO",0,"Si","No","No","No","No","No",NA
"93",20,"Mujer","Ingeniería Civil",6,12.36,"Medio superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,30,18,"NO",0,"Si","No","No","No","Si","No",NA
"94",18,"Hombre","Ingeniería Industrial",6,13.96,"Décimo superior","Bueno","SI","NO","No","Si","No","No","No","No",0,9,0,0,1,0,0,12,48,30,"NO",0,"Si","Si","No","No","No","No",10
"95",20,"Mujer","Ingeniería Civil",6,15.4,"Tercio superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,36,24,"NO",0,"Si","Si","No","No","Si","No",NA
"96",19,"Hombre","Ciencia de la Computación",5,14.6,"Tercio superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,54,12,"NO",0,"Si","Si","No","No","No","No",NA
"97",19,"Hombre","Ingeniería Civil",8,16.63,"Décimo superior","Bueno","SI","NO","No","Si","No","No","No","No",0,3,0,0,0,0,2,30,42,18,"SI",7.5,"No","No","No","No","No","Si",3
"99",20,"Mujer","Ingeniería Ambiental",6,14.02,"Décimo superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,24,"SI",8,"Si","Si","No","No","Si","No",NA
"100",19,"Mujer","Ingeniería Civil",6,13.55,"Tercio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,36,18,"SI",3,"No","No","No","No","Si","No",NA
"102",19,"Mujer","Ingeniería Industrial",6,15,"Medio superior","Regular","SI","SI","No","No","No","Si","No","No",12,0,0,2,0,1,2,30,42,12,"SI",7,"Si","Si","No","No","Si","No",15
"104",20,"Hombre","Ingeniería Industrial",6,15.34,"Quinto superior","Bueno","SI","NO","No","Si","No","No","No","Si",0,6,0,0,0,1,0,0,36,12,"NO",0,"Si","Si","Si","No","No","No",7
"105",18,"Mujer","Ingeniería Mecatrónica",6,14.35,"Medio superior","Bueno","SI","SI","No","Si","No","No","No","No",0,12,0,0,0,0,0,30,60,24,"NO",0,"No","No","No","No","No","Si",12
"106",22,"Hombre","Ingeniería Electrónica",7,14.45,"Tercio superior","Regular","SI","SI","No","Si","No","No","No","No",0,12,0,0,0,0,1,12,30,12,"NO",0,"No","Si","No","No","No","No",12
"107",19,"Hombre","Ingeniería Civil",6,16.83,"Décimo superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,36,12,"SI",4,"Si","Si","Si","No","No","No",NA
"108",19,"Mujer","Ingeniería Industrial",6,15.32,"Quinto superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,36,30,"NO",0,"Si","Si","No","No","No","No",NA
"109",21,"Mujer","Ingeniería Civil",6,14.4,"Tercio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,42,6,"SI",2,"Si","No","No","No","No","No",NA
"110",19,"Mujer","Ingeniería Civil",5,11,"Décimo superior","Malo","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,48,18,"NO",0,"Si","No","No","No","No","No",NA
"111",20,"Mujer","Ingeniería Ambiental",6,12,"Medio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,36,24,"NO",0,"No","Si","No","No","No","No",NA
"112",21,"Mujer","Ingeniería Civil",4,12,"Medio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,48,12,"NO",0,"No","No","No","No","No","Si",NA
"113",20,"Hombre","Ingeniería Civil",7,13,"Tercio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,42,24,"NO",0,"Si","Si","No","No","Si","No",NA
"114",21,"Hombre","Ingeniería Mecatrónica",7,14.86,"Tercio superior","Bueno","SI","NO","No","Si","Si","Si","No","No",0,12,1,2,0,0,0,24,30,0,"NO",0,"Si","Si","No","No","No","No",15
"115",21,"Hombre","Ingeniería Civil",6,14.65,"Quinto superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,42,18,"SI",4,"Si","Si","Si","Si","No","No",NA
"118",20,"Hombre","Ingeniería Civil",7,14.49,"Tercio superior","Bueno","SI","NO","No","Si","No","No","No","Si",0,3,0,0,0,1,0,12,48,6,"SI",10,"No","Si","No","No","No","No",4
"119",21,"Hombre","Ingeniería Civil",6,14.32,"Medio superior","Regular","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,36,12,"NO",0,"No","No","No","No","No","Si",NA
"120",19,"Mujer","Ingeniería Civil",7,14,"Tercio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,42,18,"NO",0,"No","Si","No","No","Si","No",NA
"121",19,"Hombre","Ingeniería Civil",5,14.63,"Tercio superior","Bueno","SI","SI","No","Si","No","No","No","No",0,18,1,0,0,0,0,72,24,0,"NO",0,"No","No","No","No","No","Si",19
"123",19,"Mujer","Bioingeniería",6,14.58,"Décimo superior","Bueno","SI","NO","No","Si","No","Si","No","No",0,12,0,3,0,0,0,30,36,0,"NO",0,"No","Si","No","Si","No","No",15
"124",22,"Mujer","Ingeniería Industrial",6,15.5,"Tercio superior","Regular","SI","NO","No","No","Si","No","No","No",0,0,2,0,0,0,1,36,30,12,"NO",0,"No","Si","No","No","No","No",2
"125",18,"Mujer","Bioingeniería",5,15,"Medio superior","Bueno","SI","NO","No","Si","No","No","No","No",0,0,0,0,0,0,2,30,42,12,"NO",0,"No","Si","No","No","No","No",0
"126",19,"Mujer","Ingeniería Mecatrónica",6,17.2,"Décimo superior","Bueno","SI","SI","No","No","No","Si","No","No",0,12,2,0,0,0,1,30,48,12,"SI",2,"No","No","No","No","No","Si",14
"127",19,"Hombre","Ciencia de la Computación",5,17.45,"Tercio superior","Bueno","SI","NO","No","Si","Si","No","No","No",15,9,1,0,0,0,0,27,48,6,"SI",2.5,"Si","Si","No","Si","No","No",25
"128",20,"Mujer","Ingeniería Civil",6,15,"Medio superior","Bueno","NO","SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,42,18,"SI",2,"Si","Si","No","No","No","No",NA
"129",18,"Hombre","Ingeniería Mecatrónica",6,14.05,"Décimo superior","Regular","SI","NO","No","Si","No","No","No","No",0,3,0,0,1,0,2,24,36,0,"NO",0,"Si","Si","No","No","Si","No",4
"130",21,"Hombre","Ingeniería Industrial",6,15.75,"Quinto superior","Bueno","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,48,24,"NO",0,"No","Si","No","No","No","No",NA
"131",18,"Mujer","Ingeniería Civil",6,16.5,"Décimo superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,36,30,"NO",0,"No","Si","No","No","No","No",NA
"132",21,"Hombre","Ingeniería Ambiental",8,16.71,"Quinto superior","Bueno","SI","NO","No","Si","Si","Si","No","No",0,12,0.2,2,0,0,0,30,12,12,"NO",0,"No","Si","No","No","No","No",14.2
"133",20,"Hombre","Ingeniería Civil",6,16.42,"Décimo superior","Bueno","SI","NO","No","Si","No","No","No","No",0,6,0,0,0,0,0,42,36,0,"NO",0,"Si","No","No","No","Si","No",6
"134",19,"Mujer","Ingeniería Química",5,15,"Medio superior","Bueno","SI","SI","No","No","Si","No","No","No",0,0,3.5,0,0,0,0,24,36,18,"NO",0,"Si","Si","No","No","No","No",3.5
"135",18,"Mujer","Ingeniería Ambiental",7,13,"Medio superior","Regular","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,36,12,"SI",10,"No","Si","No","No","Si","No",NA
"136",20,"Mujer","Ingeniería Civil",7,13.43,"Tercio superior","Regular","SI","SI","No","No","No","No","No","No",0,0,0,0,2,0,0,30,36,12,"SI",2,"No","Si","No","No","No","No",2
"138",18,"Mujer","Ingeniería Industrial",5,15,"Medio superior","Regular","SI","NO","No","No","No","No","No","No",0,0,0,2,0,0,0,24,42,30,"NO",0,"Si","Si","Si","No","No","No",2
"139",20,"Mujer","Ingeniería Ambiental",5,15.6,"Quinto superior","Bueno","SI","NO","No","No","Si","No","No","No",0,0,2,0,0,0,0,36,42,0,"NO",0,"Si","Si","No","No","No","No",2
