Marca temporal,Edad,Ciclo,Carrera,TiempoS,CalidadS,DificultadD,DesempeñoA,Fatiga,Bcafeina,Ejercicio,NEstres,DispositivoE,HEstudio,NocheE,AbrumadoTA,Siestas,AlcoholD,OpinionRA,Insomnio,CompromisosE,EventosA,SaludMental,Consejo
28/04/2023 17:49:59,19,4,Ingeniería Civil,3 a 5 horas,2,3,4,2,1,1 o 2 veces a la semana,2,2,Más de 4 horas,Sí,4,1,1,Sí,2,No tengo otros compromisos,2,Sí,Sí
28/04/2023 18:18:17,20,4,Ingeniería Mecatrónica,3 a 5 horas,4,3,4,4,No consumo,3 o 4 veces a la semana,4,5,4 horas,No,5,1,1,No,2,No tengo otros compromisos,2,Sí,No
28/04/2023 18:28:16,19,5,Ingeniería Química,6 a 8 horas,4,2,4,3,1,No realizo ejercicio,3,5,3 horas,No,3,2,1,Sí,1,4 a 6 horas,4,Sí,Sí
28/04/2023 22:23:05,19,5,Ingeniería Industrial,3 a 5 horas,3,2,4,4,2,3 o 4 veces a la semana,4,4,Más de 4 horas,Sí,2,2,3,Sí,3,2 a 4 horas,3,Sí,Sí
28/04/2023 22:32:13,21,5,Ingeniería Ambiental,3 a 5 horas,3,4,3,4,1,1 o 2 veces a la semana,4,2,4 horas,Sí,5,1,1,Sí,3,No tengo otros compromisos,4,Sí,Sí
29/04/2023 8:20:04,18,3,Ingeniería Mecatrónica,3 a 5 horas,3,4,4,4,No consumo,1 o 2 veces a la semana,3,4,3 horas,Sí,4,3,1,Sí,3,1 a 2 horas,2,Sí,No
29/04/2023 8:57:50,19,6,Bioingeniería,6 a 8 horas,2,2,4,3,No consumo,No realizo ejercicio,5,5,Más de 4 horas,Sí,3,2,1,Sí,1,4 a 6 horas,4,Sí,No
30/04/2023 13:32:02,21,4,Ciencia de la Computación,6 a 8 horas,5,1,3,1,No consumo,Me ejercito todos los días,1,1,Más de 4 horas,Sí,1,4,1,No,1,más de 6 horas,5,Sí,Sí
30/04/2023 17:42:23,21,9,Ingeniería de la Energía,6 a 8 horas,3,3,2,2,1,5 o 6 veces a la semana,3,5,2 horas,Sí,3,1,1,Sí,2,más de 6 horas,1,Sí,Sí
30/04/2023 18:50:51,21,4,Ingeniería Civil,6 a 8 horas,3,3,3,3,No consumo,3 o 4 veces a la semana,4,4,3 horas,Sí,3,3,3,Sí,3,4 a 6 horas,3,Sí,Sí
1/05/2023 8:38:24,18,2,Ciencia de Datos,6 a 8 horas,4,2,4,3,No consumo,No realizo ejercicio,4,4,Más de 4 horas,Sí,4,1,2,Sí,2,más de 6 horas,3,Sí,Sí
1/05/2023 8:46:06,21,4,Ingeniería Civil,6 a 8 horas,4,2,3,3,No consumo,1 o 2 veces a la semana,2,4,Más de 4 horas,Sí,4,3,1,Sí,2,No tengo otros compromisos,2,Sí,No
1/05/2023 8:49:49,19,4,Ingeniería Industrial,6 a 8 horas,3,4,3,3,1,No realizo ejercicio,3,4,2 horas,Sí,3,2,1,Sí,2,No tengo otros compromisos,1,Sí,Sí
1/05/2023 9:23:51,17,1,Ingeniería Mecatrónica,6 a 8 horas,3,2,4,3,No consumo,1 o 2 veces a la semana,3,2,3 horas,No,1,1,1,Sí,1,2 a 4 horas,2,Sí,No
1/05/2023 10:11:31,18,1,Ciencia de la Computación,6 a 8 horas,4,1,4,1,No consumo,1 o 2 veces a la semana,1,5,Más de 4 horas,No,2,1,1,No,1,2 a 4 horas,2,Sí,Sí
1/05/2023 10:16:24,25,5,Ingeniería Industrial,6 a 8 horas,4,2,3,2,No consumo,3 o 4 veces a la semana,4,3,3 horas,Sí,3,2,1,Sí,2,4 a 6 horas,3,Sí,Sí
1/05/2023 23:21:16,19,4,Ingeniería Civil,3 a 5 horas,3,3,4,3,2,1 o 2 veces a la semana,4,4,Más de 4 horas,Sí,5,2,1,Sí,5,1 a 2 horas,2,Sí,Sí
2/05/2023 9:16:55,19,4,Ingeniería Industrial,6 a 8 horas,3,3,3,3,1,1 o 2 veces a la semana,2,5,1 hora,Sí,3,2,3,Sí,3,No tengo otros compromisos,2,Sí,Sí
2/05/2023 9:32:35,18,2,Ingeniería Química,6 a 8 horas,4,1,3,4,2,No realizo ejercicio,3,4,4 horas,Sí,3,1,1,No,1,No tengo otros compromisos,3,Sí,No
2/05/2023 10:17:43,21,7,Ingeniería Mecánica,6 a 8 horas,4,3,4,3,No consumo,1 o 2 veces a la semana,3,5,4 horas,Sí,3,2,1,Sí,2,2 a 4 horas,2,Sí,Sí
2/05/2023 12:08:58,18,3,Ingeniería Química,Menos de 3 horas,1,4,2,4,3,No realizo ejercicio,4,5,2 horas,Sí,4,2,3,Sí,1,No tengo otros compromisos,1,Sí,No
2/05/2023 12:10:05,17,3,Ingeniería Química,3 a 5 horas,3,4,4,4,1,1 o 2 veces a la semana,4,5,2 horas,Sí,4,1,1,Sí,4,2 a 4 horas,4,Sí,Sí
2/05/2023 13:37:33,19,3,Ingeniería Mecatrónica,3 a 5 horas,3,3,3,4,No consumo,1 o 2 veces a la semana,5,4,Más de 4 horas,Sí,5,2,1,Sí,4,No tengo otros compromisos,3,Sí,Sí
2/05/2023 14:40:50,19,4,Bioingeniería,6 a 8 horas,4,1,3,2,No consumo,3 o 4 veces a la semana,2,5,3 horas,Sí,4,2,2,Sí,1,4 a 6 horas,1,Sí,Sí
2/05/2023 19:41:16,20,4,Bioingeniería,3 a 5 horas,1,3,4,3,No consumo,3 o 4 veces a la semana,5,5,Más de 4 horas,Sí,3,2,1,Sí,3,2 a 4 horas,2,No,Sí
2/05/2023 21:38:17,20,5,Ingeniería Mecatrónica,6 a 8 horas,3,1,4,4,No consumo,3 o 4 veces a la semana,3,4,4 horas,Sí,4,1,1,Sí,1,2 a 4 horas,2,Sí,Sí
3/05/2023 17:50:48,23,4,Ingeniería Mecatrónica,Menos de 3 horas,1,5,2,5,1,No realizo ejercicio,5,5,2 horas,Sí,5,2,3,Sí,4,No tengo otros compromisos,2,Sí,Sí
3/05/2023 17:52:13,18,5,Ingeniería Civil,3 a 5 horas,3,3,3,3,2,5 o 6 veces a la semana,4,4,4 horas,Sí,2,3,4,Sí,1,4 a 6 horas,4,Sí,Sí
3/05/2023 18:00:24,22,5,Bioingeniería,3 a 5 horas,3,3,3,4,No consumo,1 o 2 veces a la semana,3,5,3 horas,Sí,2,2,4,Sí,2,4 a 6 horas,3,Sí,Sí
3/05/2023 18:27:19,18,4,Ingeniería Ambiental,3 a 5 horas,4,3,3,3,3,3 o 4 veces a la semana,3,3,Más de 4 horas,Sí,3,3,3,Sí,3,4 a 6 horas,3,Sí,Sí
3/05/2023 18:29:20,19,4,Ingeniería Mecatrónica,6 a 8 horas,4,3,4,3,2,No realizo ejercicio,4,5,4 horas,Sí,4,4,1,No,2,2 a 4 horas,3,Sí,Sí
3/05/2023 18:31:52,19,5,Ingeniería Industrial,3 a 5 horas,2,3,4,1,2,3 o 4 veces a la semana,4,4,4 horas,No,4,3,3,No,2,más de 6 horas,3,Sí,No
3/05/2023 18:32:32,20,6,Ciencia de la Computación,6 a 8 horas,3,3,3,3,3,1 o 2 veces a la semana,3,3,3 horas,Sí,3,3,3,No,3,2 a 4 horas,3,No,No
3/05/2023 18:38:02,21,4,Ingeniería Industrial,3 a 5 horas,2,3,3,3,No consumo,No realizo ejercicio,4,5,4 horas,Sí,3,1,1,Sí,1,4 a 6 horas,4,Sí,Sí
3/05/2023 18:40:39,18,2,Ingeniería Industrial,3 a 5 horas,2,2,3,3,2,No realizo ejercicio,3,3,4 horas,Sí,3,1,4,No,4,2 a 4 horas,4,Sí,No
3/05/2023 18:52:14,19,4,Ingeniería Civil,6 a 8 horas,3,3,4,2,No consumo,3 o 4 veces a la semana,2,4,4 horas,Sí,2,2,1,Sí,2,No tengo otros compromisos,1,Sí,Sí
3/05/2023 18:57:45,18,4,Ingeniería Electrónica,6 a 8 horas,4,2,3,2,No consumo,No realizo ejercicio,2,5,3 horas,Sí,4,1,1,Sí,2,No tengo otros compromisos,4,Sí,No
3/05/2023 19:28:57,21,5,Ingeniería Civil,3 a 5 horas,4,3,3,4,1,1 o 2 veces a la semana,4,4,Más de 4 horas,Sí,4,3,2,Sí,1,No tengo otros compromisos,3,Sí,Sí
3/05/2023 20:09:45,20,4,Ingeniería Química,6 a 8 horas,4,1,3,3,1,No realizo ejercicio,3,5,4 horas,Sí,4,3,1,Sí,2,2 a 4 horas,1,Sí,Sí
3/05/2023 20:13:11,18,4,Ingeniería Mecatrónica,6 a 8 horas,3,2,3,4,1,1 o 2 veces a la semana,3,2,2 horas,Sí,3,1,1,Sí,2,No tengo otros compromisos,3,Sí,No
3/05/2023 23:28:56,20,2,Ingeniería Mecánica,6 a 8 horas,5,2,4,2,No consumo,5 o 6 veces a la semana,4,4,Más de 4 horas,Sí,2,2,1,No,1,1 a 2 horas,5,No,No
4/05/2023 7:09:38,17,5,Ingeniería Química,3 a 5 horas,3,3,3,3,2,3 o 4 veces a la semana,3,4,Más de 4 horas,Sí,4,5,3,Sí,5,4 a 6 horas,4,Sí,No
4/05/2023 9:47:05,19,4,Ingeniería Industrial,3 a 5 horas,4,2,3,4,2,3 o 4 veces a la semana,5,4,3 horas,Sí,4,1,2,Sí,2,No tengo otros compromisos,2,Sí,Sí
4/05/2023 11:05:35,17,3,Ciencia de la Computación,3 a 5 horas,4,3,5,3,1,3 o 4 veces a la semana,5,5,3 horas,No,5,1,1,Sí,5,4 a 6 horas,3,Sí,No
4/05/2023 11:12:06,23,3,Ingeniería Electrónica,3 a 5 horas,2,4,2,3,No consumo,1 o 2 veces a la semana,4,5,2 horas,Sí,4,3,1,Sí,2,2 a 4 horas,1,Sí,No
4/05/2023 11:12:12,24,4,Ingeniería Industrial,3 a 5 horas,3,2,4,5,No consumo,No realizo ejercicio,4,3,Más de 4 horas,Sí,3,1,2,Sí,3,1 a 2 horas,1,No,Sí
4/05/2023 11:21:59,18,3,Ciencia de Datos,6 a 8 horas,4,1,4,2,No consumo,5 o 6 veces a la semana,3,2,Más de 4 horas,No,3,1,1,Sí,2,2 a 4 horas,3,Sí,Sí
4/05/2023 12:13:35,21,3,Ingeniería de la Energía,6 a 8 horas,4,2,3,4,1,1 o 2 veces a la semana,2,5,2 horas,No,3,1,2,No,1,No tengo otros compromisos,2,No,No
4/05/2023 12:38:34,19,4,Ingeniería Electrónica,6 a 8 horas,2,1,3,3,No consumo,1 o 2 veces a la semana,4,5,2 horas,Sí,4,2,2,Sí,2,2 a 4 horas,2,Sí,No
4/05/2023 13:24:20,19,4,Ingeniería Mecatrónica,6 a 8 horas,4,4,4,2,No consumo,1 o 2 veces a la semana,3,3,Más de 4 horas,Sí,5,1,1,Sí,1,4 a 6 horas,4,Sí,No
4/05/2023 14:11:25,19,4,Bioingeniería,3 a 5 horas,3,1,3,4,1,No realizo ejercicio,4,5,4 horas,Sí,3,2,1,Sí,2,1 a 2 horas,3,Sí,Sí
4/05/2023 14:19:33,19,4,Ingeniería Industrial,6 a 8 horas,3,2,3,5,1,No realizo ejercicio,5,5,Más de 4 horas,Sí,4,2,1,Sí,1,No tengo otros compromisos,4,Sí,Sí
4/05/2023 15:37:45,18,3,Bioingeniería,3 a 5 horas,2,3,4,3,Más de 3,Me ejercito todos los días,3,5,4 horas,Sí,4,4,3,No,1,No tengo otros compromisos,5,No,No
4/05/2023 15:39:56,22,5,Bioingeniería,6 a 8 horas,4,1,4,2,1,No realizo ejercicio,3,2,Más de 4 horas,No,3,1,1,Sí,1,1 a 2 horas,5,Sí,Sí
4/05/2023 15:42:13,19,5,Bioingeniería,3 a 5 horas,2,5,3,5,1,1 o 2 veces a la semana,4,5,Más de 4 horas,Sí,4,1,3,Sí,5,2 a 4 horas,2,Sí,Sí
4/05/2023 15:46:28,21,2,Ingeniería Electrónica,6 a 8 horas,2,3,2,3,No consumo,1 o 2 veces a la semana,4,4,1 hora,No,4,1,1,Sí,1,1 a 2 horas,2,Sí,Sí
4/05/2023 15:53:00,18,3,Ingeniería Mecatrónica,3 a 5 horas,3,2,4,3,3,3 o 4 veces a la semana,3,3,3 horas,Sí,3,1,2,Sí,3,1 a 2 horas,2,Sí,Sí
4/05/2023 15:55:43,19,4,Ingeniería Civil,6 a 8 horas,4,4,3,4,No consumo,3 o 4 veces a la semana,4,3,2 horas,Sí,4,1,2,Sí,2,2 a 4 horas,3,Sí,No
4/05/2023 15:56:00,17,3,Ingeniería Civil,6 a 8 horas,3,1,4,2,No consumo,No realizo ejercicio,4,5,Más de 4 horas,Sí,4,1,1,Sí,1,2 a 4 horas,1,No,No
4/05/2023 15:56:28,18,3,Ingeniería Civil,6 a 8 horas,4,3,4,5,2,Me ejercito todos los días,1,3,1 hora,No,3,1,2,No,3,2 a 4 horas,2,Sí,No
4/05/2023 15:56:48,18,3,Ingeniería Civil,3 a 5 horas,3,2,3,3,No consumo,1 o 2 veces a la semana,2,5,3 horas,Sí,3,3,2,Sí,2,No tengo otros compromisos,2,No,No
4/05/2023 15:59:50,19,5,Ingeniería Electrónica,6 a 8 horas,4,3,2,3,1,1 o 2 veces a la semana,5,4,2 horas,Sí,4,3,2,Sí,3,2 a 4 horas,3,Sí,No
4/05/2023 16:06:36,19,4,Ingeniería Mecánica,6 a 8 horas,5,2,5,1,No consumo,No realizo ejercicio,5,5,Más de 4 horas,Sí,4,1,1,Sí,5,2 a 4 horas,5,Sí,No
4/05/2023 16:13:24,21,4,Ingeniería Civil,6 a 8 horas,5,1,5,2,No consumo,3 o 4 veces a la semana,2,3,4 horas,Sí,3,3,1,No,1,1 a 2 horas,2,Sí,Sí
4/05/2023 16:13:44,18,4,Ingeniería Industrial,Menos de 3 horas,3,4,4,4,3,Me ejercito todos los días,2,3,2 horas,No,3,5,3,Sí,3,4 a 6 horas,4,No,No
4/05/2023 16:13:46,19,4,Ingeniería Industrial,6 a 8 horas,5,1,4,5,No consumo,No realizo ejercicio,4,5,Más de 4 horas,Sí,5,1,2,Sí,3,2 a 4 horas,3,Sí,Sí
4/05/2023 16:13:53,19,2,Ingeniería Ambiental,6 a 8 horas,3,3,4,2,1,No realizo ejercicio,4,3,Más de 4 horas,Sí,4,1,1,Sí,3,1 a 2 horas,1,No,No
4/05/2023 16:13:57,19,9,Ingeniería Industrial,6 a 8 horas,3,3,5,3,3,1 o 2 veces a la semana,3,5,Más de 4 horas,Sí,5,5,3,Sí,3,4 a 6 horas,3,Sí,No
4/05/2023 16:14:04,21,2,Ingeniería Ambiental,3 a 5 horas,3,1,3,3,No consumo,No realizo ejercicio,5,5,4 horas,No,5,3,1,Sí,1,No tengo otros compromisos,1,Sí,Sí
4/05/2023 16:14:26,19,2,Ingeniería Civil,6 a 8 horas,4,3,3,3,3,3 o 4 veces a la semana,3,4,3 horas,Sí,3,3,2,Sí,3,4 a 6 horas,4,Sí,Sí
4/05/2023 16:14:40,22,7,Ingeniería Química,6 a 8 horas,1,5,5,4,No consumo,1 o 2 veces a la semana,5,5,1 hora,Sí,5,1,3,Sí,1,2 a 4 horas,1,Sí,No
4/05/2023 16:15:54,19,4,Bioingeniería,3 a 5 horas,3,3,3,3,2,No realizo ejercicio,4,4,4 horas,Sí,3,1,1,Sí,1,No tengo otros compromisos,4,Sí,Sí
4/05/2023 16:16:43,19,4,Ingeniería Industrial,6 a 8 horas,3,3,3,3,No consumo,3 o 4 veces a la semana,3,3,Más de 4 horas,Sí,4,1,1,No,1,1 a 2 horas,2,Sí,Sí
4/05/2023 16:17:36,18,2,Ciencia de la Computación,6 a 8 horas,3,4,3,4,No consumo,1 o 2 veces a la semana,4,5,3 horas,Sí,4,1,1,Sí,2,1 a 2 horas,2,Sí,No
4/05/2023 16:17:48,19,2,Ingeniería Civil,6 a 8 horas,4,2,4,2,No consumo,3 o 4 veces a la semana,2,5,4 horas,Sí,2,2,1,No,1,1 a 2 horas,2,Sí,No
4/05/2023 16:18:04,21,8,Ingeniería Ambiental,6 a 8 horas,4,1,4,3,1,1 o 2 veces a la semana,4,4,2 horas,Sí,3,1,1,No,1,No tengo otros compromisos,2,Sí,No
4/05/2023 16:18:22,21,8,Ingeniería Civil,3 a 5 horas,3,3,4,4,3,No realizo ejercicio,5,5,Más de 4 horas,Sí,5,1,1,Sí,1,2 a 4 horas,3,Sí,Sí
4/05/2023 16:18:32,18,2,Ingeniería Civil,3 a 5 horas,3,1,4,3,1,No realizo ejercicio,4,5,4 horas,Sí,4,1,1,Sí,1,No tengo otros compromisos,4,No,Sí
4/05/2023 16:19:03,21,7,Ciencia de la Computación,3 a 5 horas,3,5,3,5,1,3 o 4 veces a la semana,5,4,4 horas,Sí,4,3,1,No,3,1 a 2 horas,3,No,Sí
4/05/2023 16:22:25,17,2,Ingeniería Mecatrónica,3 a 5 horas,4,3,3,3,2,3 o 4 veces a la semana,3,3,3 horas,Sí,3,3,3,Sí,3,2 a 4 horas,4,Sí,Sí
4/05/2023 16:23:14,18,2,Ingeniería Civil,6 a 8 horas,3,2,4,3,No consumo,1 o 2 veces a la semana,3,3,3 horas,Sí,3,2,1,Sí,2,No tengo otros compromisos,5,Sí,Sí
4/05/2023 16:23:51,22,2,Ingeniería Mecatrónica,3 a 5 horas,2,3,2,2,No consumo,No realizo ejercicio,1,1,4 horas,Sí,2,2,2,Sí,3,2 a 4 horas,2,Sí,Sí
4/05/2023 16:24:18,20,2,Ingeniería Mecatrónica,3 a 5 horas,2,4,5,4,1,1 o 2 veces a la semana,4,4,Más de 4 horas,Sí,4,2,1,Sí,2,4 a 6 horas,4,Sí,No
4/05/2023 16:24:45,17,2,Ingeniería Mecatrónica,3 a 5 horas,4,4,5,5,1,No realizo ejercicio,5,4,3 horas,No,4,5,5,Sí,4,2 a 4 horas,5,Sí,No
4/05/2023 16:26:54,20,4,Ingeniería Industrial,3 a 5 horas,3,5,4,5,Más de 3,1 o 2 veces a la semana,5,3,Más de 4 horas,Sí,5,2,1,Sí,4,1 a 2 horas,2,Sí,Sí
4/05/2023 16:28:28,20,4,Ingeniería Civil,6 a 8 horas,3,1,3,2,No consumo,5 o 6 veces a la semana,2,4,4 horas,No,3,1,1,Sí,1,1 a 2 horas,2,Sí,Sí
4/05/2023 16:28:37,17,2,Ciencia de la Computación,3 a 5 horas,5,3,4,4,2,1 o 2 veces a la semana,4,3,3 horas,Sí,3,3,1,No,1,No tengo otros compromisos,3,No,No
4/05/2023 16:32:07,19,4,Ingeniería Civil,6 a 8 horas,3,4,4,4,No consumo,3 o 4 veces a la semana,5,3,Más de 4 horas,Sí,5,1,1,Sí,4,4 a 6 horas,3,Sí,No
4/05/2023 16:33:59,18,3,Ingeniería Electrónica,Menos de 3 horas,3,3,3,3,2,3 o 4 veces a la semana,4,4,3 horas,No,4,3,3,No,3,2 a 4 horas,3,No,Sí
4/05/2023 16:34:42,18,3,Ingeniería Mecatrónica,3 a 5 horas,3,1,3,5,2,1 o 2 veces a la semana,3,3,3 horas,No,3,4,3,Sí,3,2 a 4 horas,3,Sí,No
4/05/2023 16:35:26,19,3,Ingeniería Industrial,3 a 5 horas,3,2,4,4,No consumo,No realizo ejercicio,1,3,2 horas,Sí,1,1,1,Sí,1,2 a 4 horas,1,No,No
4/05/2023 16:40:12,20,4,Ciencia de la Computación,6 a 8 horas,4,2,4,4,No consumo,3 o 4 veces a la semana,4,3,4 horas,Sí,3,3,2,Sí,1,No tengo otros compromisos,2,Sí,No
4/05/2023 16:40:18,21,4,Ingeniería Mecánica,3 a 5 horas,3,3,3,3,Más de 3,3 o 4 veces a la semana,4,3,3 horas,Sí,4,4,5,Sí,4,4 a 6 horas,4,Sí,Sí
4/05/2023 16:40:49,20,5,Administración y Negocios Digitales,3 a 5 horas,4,1,3,2,No consumo,3 o 4 veces a la semana,3,5,1 hora,Sí,2,2,1,Sí,1,4 a 6 horas,4,Sí,No
4/05/2023 16:57:40,22,7,Ciencia de la Computación,Más de 8 horas,5,4,4,2,No consumo,1 o 2 veces a la semana,3,5,4 horas,Sí,3,2,1,No,2,1 a 2 horas,4,Sí,Sí
4/05/2023 18:05:59,18,4,Ingeniería Industrial,6 a 8 horas,3,3,3,1,1,No realizo ejercicio,3,4,2 horas,Sí,4,1,1,Sí,2,2 a 4 horas,3,No,Sí
4/05/2023 18:16:03,19,4,Ingeniería Industrial,3 a 5 horas,4,2,3,3,No consumo,3 o 4 veces a la semana,3,4,Más de 4 horas,Sí,5,1,1,Sí,2,4 a 6 horas,1,Sí,Sí
