"Game","ReleaseDate","Genre","TotalEarnings","OnlineEarnings","TotalPlayers","TotalTournaments"
"World in Conflict","2007",NA,293338.23,293338.23,38,11
"World of Tanks","2010",NA,3671496.59,3598031.72,404,51
"World of Tanks Blitz","2016",NA,63330,60000,14,6
"Aliens versus Predator 2","2001",NA,40000,40000,1,1
"Battalion 1944","2018",NA,202654.67,129863.88,121,28
"Battlefield 1","2016",NA,0,0,0,0
"Battlefield 2","2005",NA,91715.22,91715.22,0,12
"Battlefield 2142","2006",NA,18546.14,18546.14,0,4
"Battlefield 3","2011",NA,25407.46,25407.46,5,7
"Battlefield 4","2013",NA,245766.46,212540.31,204,145
"Battlefield 5","2018",NA,0,0,0,0
"Battlefield Hardline","2015",NA,13463.28,13463.28,20,1
"Beat Aim","2019",NA,430,0,12,6
"Big Buck Hunter Arcade","2016",NA,76200,76200,3,1
"Black Squad","2017",NA,8480.72,0,57,17
"Blaston","2020",NA,50,0,3,1
"Borderlands 3","2019",NA,50000,0,16,1
"Call of Duty","2003",NA,50629.77,50629.77,51,3
"Call of Duty 2","2005",NA,66828.51,60874.71,41,17
"Call of Duty 4: Modern Warfare","2007",NA,420331.47,387929.31,422,86
"Call of Duty: Advanced Warfare","2014",NA,2611808.93,2267636.14,783,405
"Call of Duty: Black Ops","2010",NA,375793.48,346969.18,118,23
"Call of Duty: Black Ops 2","2012",NA,1479139.25,1430071.63,187,54
"Call of Duty: Black Ops 4","2018",NA,6731938.95,6636161.95,379,68
"Call of Duty: Black Ops Cold War","2020",NA,6030000,3500000,240,60
"Call of Duty: Black Ops III","2015",NA,3939783.29,3783077.02,419,78
"Call of Duty: Blackout","2018",NA,611608.35,321008.35,175,18
"Call of Duty: Ghosts","2013",NA,1594185.25,1504472.89,199,76
"Call of Duty: Infinite Warfare","2016",NA,4156205.06,4049855.06,341,80
"Call of Duty: Mobile","2019",NA,40000,0,46,1
"Call of Duty: Modern Warfare","2019",NA,7500784.5,678562.5,382,81
"Call of Duty: Modern Warfare 2","2009",NA,117360.64,51010.64,65,20
"Call of Duty: Modern Warfare 3","2011",NA,1160815.66,1144955.66,209,45
"Call of Duty: Warzone","2020",NA,6391593.26,0,989,223
"Call of Duty: World War II","2017",NA,4560271,4498605,270,65
"Chex Quest","1996",NA,100,0,2,1
"Counter-Strike","2000",NA,13553955.46,12840725.72,4225,1017
"Counter-Strike Online","2016",NA,406989.6,406989.6,70,12
"Counter-Strike: Condition Zero","2004",NA,162150.6,162150.6,111,3
"Counter-Strike: Global Offensive","2012",NA,117467135.44,76093500.55,14080,5816
"Counter-Strike: Source","2004",NA,3117222.29,2876766.03,1502,333
"Critical Ops","2015",NA,12606.41,2500,4,3
"CrossFire","2007",NA,6609445.02,5876309.23,643,310
"Crysis","2007",NA,11340.95,11340.95,0,2
"Day of Defeat","2003",NA,50300,50300,37,3
"Day of Defeat: Source","2005",NA,14068.57,10286.47,50,8
"Descent 3","1999",NA,50000,50000,1,1
"Diabotical","2020",NA,169662.08,17104.36,291,151
"Doom (2016)","2016",NA,7000,7000,6,1
"Doom 3","2004",NA,257748.16,257748.16,14,4
"Doom II: Hell on Earth","1994",NA,5108.56,2200,14,8
"DOOMBRINGER","2017",NA,567.77,0,8,4
"Echo Arena","2017",NA,0,0,0,0
"Enemy Territory: Quake Wars","2007",NA,60923.12,60923.12,27,4
"Escape from Tarkov","2020",NA,114600,0,150,4
"Evolve","2015",NA,131509.05,126054.1,110,33
"F.E.A.R.","2005",NA,178000,178000,20,5
"Ghost Recon Advanced Warfighter","2006",NA,24000,24000,0,2
"Gundam Versus","2017",NA,280,280,6,1
"Guns of Boom","2017",NA,198750,190000,8,21
"Halo 2","2004",NA,1489362.47,1489362.47,119,71
"Halo 2 Anniversary","2014",NA,468705.05,468705.05,97,20
"Halo 3","2007",NA,2168079.4,2161479.4,210,42
"Halo 4","2012",NA,430748.76,428498.76,66,19
"Halo 5: Guardians","2015",NA,7071480.97,6782680.97,233,75
"Halo: Combat Evolved","2001",NA,299281,299281,114,39
"Halo: Infinite","2020",NA,0,0,0,0
"Halo: Reach","2010",NA,772089.97,712089.97,121,29
"Ironsight","2018",NA,0,0,0,0
"Islands of Nyne","2017",NA,0,0,0,0
"MechWarrior Online","2013",NA,143490,143490,0,1
"Metal Gear Online","2008",NA,8000,0,37,8
"Overwatch","2016",NA,27225317.28,18227464.45,3551,750
"Painkiller","2004",NA,1015000,1015000,48,13
"Paladins","2015",NA,2354557.6,1659000,589,76
"Point Blank","2008",NA,699167.75,589898.15,297,32
"Quake 4","2005",NA,557039.27,554788.51,103,54
"Quake Champions","2017",NA,2759884.7,2120633.6,262,248
"Quake II","1997",NA,140425.98,139800,34,12
"Quake III Arena","1999",NA,1138806.44,1131262.61,260,105
"Quake Live","2010",NA,682447.53,599972.93,214,411
"QuakeWorld","1996",NA,103551.67,98005.44,49,17
"Rage","2011",NA,5000,5000,3,1
"Rainbow Six Siege","2015",NA,18710950.9,13904550.1,1835,311
"Rainbow Six: Vegas","2006",NA,176400.77,176400.77,137,7
"Rainbow Six: Vegas 2","2008",NA,79000,79000,0,8
"Realm Royale","2018",NA,263000,0,47,9
"Reflex","2015",NA,2458.37,163.66,24,9
"Resistance 2","2008",NA,50400,0,194,1
"Resistance 2","2008",NA,0,0,0,0
"Return to Castle Wolfenstein","2001",NA,67424.3,67424.3,30,3
"S.K.I.L.L. - Special Force 2","2013",NA,132532.93,116555.81,82,21
"S.T.A.L.K.E.R.: Shadow of Chernobyl","2007",NA,4901.26,4901.26,0,1
"Shadowrun","2007",NA,24000,24000,0,3
"ShootMania Storm","2013",NA,262090.69,258286.5,108,43
"Special Force","2004",NA,130250,130250,0,3
"Splatoon","2015",NA,1390,0,3,4
"Splatoon 2","2017",NA,10055,9755,13,7
"Star Wars Jedi Knight II: Jedi Outcast","2002",NA,7679.25,7679.25,0,1
"Sudden Attack","2005",NA,0,0,0,0
"Team Fortress 2","2007",NA,718078.81,393807.2,1364,197
"Uncharted 4: A Thief's End","2016",NA,46235.07,46235.07,5,1
"Unreal Tournament","1999",NA,89000,89000,14,5
"Unreal Tournament (2016)","2016",NA,5084.97,0,82,8
"Unreal Tournament 2003","2002",NA,147473.91,147473.91,33,14
"Unreal Tournament 2004","2004",NA,133969.33,133969.33,41,12
"Unreal Tournament 3","2007",NA,104977.82,104977.82,7,4
"VALORANT","2020",NA,6123898.95,895380.03,2890,445
"Warface","2013",NA,109555,109555,32,2
"Warsow","2012",NA,183,0,2,1
"Wolfenstein: Enemy Territory","2003",NA,140963.24,138376.87,152,18
"Xonotic","2010",NA,11430.01,26.07,143,34
"Zula","2015",NA,1e+05,1e+05,20,1
"Arena of Valor","2015",NA,27061485.8,24877184.69,716,64
"Battlerite","2016",NA,65173.45,28000,86,75
"Bloodline Champions","2011",NA,41905.32,40850,43,12
"Creative Destruction","2018",NA,1e+05,0,8,1
"Defense of the Ancients","2003",NA,857420.65,829658.68,468,94
"Dofus","2004",NA,0,0,0,0
"Dota 2","2013",NA,235045551.17,214928871.34,4062,1529
"Heavy Metal Machines","2017",NA,12339.33,0,35,1
"Heroes of Newerth","2010",NA,2918706.56,1552890.01,813,371
"Heroes of the Storm","2015",NA,18193482.65,14196415.95,1256,476
"Hyper Scape","2020",NA,299000,0,260,4
"League of Legends","2009",NA,84461104.17,75284691.41,7828,2612
"League of Legends: Wild Rift","2021",NA,150000,0,96,1
"Legend of Glory","2015",NA,472.66,0,0,1
"Minecraft","2011",NA,429539.15,10000,84,20
"MOBA Legends","2016",NA,225,0,3,1
"Mobile Legends: Bang Bang","2016",NA,297000,297000,10,1
"Roblox","2006",NA,0,0,0,0
"Shards of War","2015",NA,1029.21,0,20,1
"SMITE","2014",NA,9250112.75,7872832.57,545,97
"Splitgate: Arena Warfare","2019",NA,50000,0,64,2
"Teeworlds","2007",NA,0,0,0,0
"Vainglory","2014",NA,797421.19,696825.87,247,35
"Blade & Soul","2012",NA,409355.52,409355.52,51,5
"Guild Wars 2","2012",NA,476005.5,350000,152,57
"Old School Runescape","2013",NA,422504.2,28500,66,22
"Red Stone","2004",NA,58000,58000,12,2
"Stardew Valley","2016",NA,54250,0,56,2
"World of WarCraft","2004",NA,4957837.61,4615888.91,413,118
"Acceleration of SUGURI 2","2018",NA,410,210,8,3
"Akatsuki Blitzkampf","2007",NA,20,0,3,1
"Aquapazza: Aquaplus Dream Match","2011",NA,245,245,5,2
"Arcana Heart 3","2009",NA,1000,1000,4,1
"Arcana Heart 3: Love Max Six Stars!!!!!","2014",NA,570,520,8,4
"Arcana Heart 3: LOVE MAX!!!!!","2013",NA,410,410,6,2
"ARMS","2017",NA,20130.77,13261.93,110,88
"Asuka 120% LimitOver BURNING Fest.","1998",NA,10,0,3,1
"Attack on Titan Tribute Game","2013",NA,108650,0,21,15
"BlazBlue: Calamity Trigger","2008",NA,35,35,3,1
"BlazBlue: Central Fiction","2015",NA,82169.26,81872.42,86,40
"BlazBlue: Chronophantasma","2012",NA,37020.58,37020.58,63,15
"BlazBlue: Chronophantasma Extend","2015",NA,4918.77,4918.77,28,11
"BlazBlue: Continuum Shift Extend","2011",NA,0,0,3,1
"BlazBlue: Continuum Shift II","2010",NA,24591.01,24591.01,14,5
"BlazBlue: Cross Tag Battle","2018",NA,95866.82,93618.43,110,38
"Brawlhalla","2015",NA,1828994.09,692000.3,608,486
"Brawlout","2017",NA,0,0,0,0
"Breakers Revenge","1998",NA,16,0,3,1
"Capcom vs. SNK","2000",NA,140,140,6,2
"Capcom vs. SNK 2","2001",NA,24246.79,24246.79,37,20
"Chaos Code: New Sign of Catastrophe","2013",NA,140,140,3,1
"Dead or Alive 4","2005",NA,497745.31,497745.31,45,13
"Dead or Alive 5","2012",NA,0,0,4,2
"Dead or Alive 5 Ultimate","2013",NA,0,0,37,7
"Dead or Alive 5: Last Round","2015",NA,15413.82,15413.82,46,20
"Dead or Alive 6","2019",NA,64532.54,63422.54,65,20
"Dead or Alive Ultimate","2004",NA,30000,30000,3,1
"Def Jam: Fight for NY","2004",NA,190,0,4,2
"Dengeki Bunko: Fighting Climax","2014",NA,60,60,3,1
"Dengeki Bunko: Fighting Climax Ignition","2015",NA,3202.8,3017.3,36,13
"Digimon Rumble Arena","2001",NA,200,0,5,2
"Divekick","2013",NA,5840,5840,27,11
"Dragon Ball FighterZ","2018",NA,360897.4,338000.9,224,139
"Dragon Ball Z: Budokai 3","2004",NA,204.06,204.06,3,1
"Duck Game","2014",NA,750,0,5,2
"Eternal Fighter Zero","2000",NA,1311.6,0,7,2
"Fantasy Strike","2019",NA,5799.8,2610,21,5
"Fight of Animals","2019",NA,630.68,0,9,4
"Fighter's History Dynamite","1994",NA,195,195,3,1
"Fighting EX Layer","2018",NA,1642.96,1632.96,16,7
"Garou: Mark of the Wolves","1999",NA,658.71,513.71,13,4
"Granblue Fantasy: Versus","2020",NA,159285.95,140214.84,61,69
"Guilty Gear","1998",NA,32,32,3,1
"Guilty Gear -STRIVE-","2021",NA,25978.61,0,82,24
"Guilty Gear Xrd -REVELATOR-","2016",NA,36437.43,36437.43,61,19
"Guilty Gear Xrd -SIGN-","2014",NA,37445.66,37445.66,80,38
"Guilty Gear Xrd REV 2","2017",NA,121173.01,120978.01,116,56
"Guilty Gear XX","2002",NA,0,0,5,2
"Guilty Gear XX #Reload","2003",NA,0,0,3,1
"Guilty Gear XX Accent Core","2007",NA,10365,10365,33,4
"Guilty Gear XX Accent Core Plus","2008",NA,0,0,3,1
"Guilty Gear XX Accent Core Plus R","2012",NA,13802.14,5530,79,29
"Guilty Gear XX Slash","2005",NA,10250,10250,6,2
"Hokuto no Ken","2005",NA,145,145,3,1
"Hyper Street Fighter II","2003",NA,10250,10250,8,1
"HYPERFIGHT","2019",NA,140,0,4,2
"Injustice 2","2017",NA,837447.16,836014.57,81,38
"Injustice: Gods Among Us","2013",NA,35176.89,35176.89,101,117
"JoJo's Bizarre Adventure: Heritage for the Future","1999",NA,324.99,0,8,3
"Kill la Kill the Game: IF","2019",NA,920,770,12,4
"Killer Instinct (2013)","2013",NA,224986.96,224916.96,129,56
"King of Fighters 2002 Unlimited Match","2009",NA,760,760,6,2
"King of Fighters 98","1998",NA,7945.57,7945.57,7,3
"King of Fighters XI","2005",NA,25,25,3,1
"King of Fighters XIII","2010",NA,44724.28,44724.28,107,43
"King of Fighters XIV","2016",NA,74402.09,73542.09,90,39
"Kirby Fighters 2","2020",NA,222.86,0,4,1
"Koihime Enbu","2016",NA,1765,1615,14,7
"Lethal League Blaze","2018",NA,5643.92,1677.75,25,12
"Maiden & Spell","2020",NA,325,0,5,2
"Marvel vs. Capcom 2","2000",NA,39060,39050,60,28
"Marvel vs. Capcom 3","2011",NA,22343.62,22343.62,38,12
"Marvel vs. Capcom: Infinite","2017",NA,76256.72,76202.12,60,22
"Melty Blood: Actress Again","2009",NA,0,0,10,2
"Melty Blood: Actress Again Current Code","2010",NA,9529.93,6765,60,22
"Mighty Fight Federation","2021",NA,100,0,3,1
"Million Arthur: Arcana Blood","2017",NA,7540,7530,12,4
"Mordhau","2019",NA,16623,0,40,3
"Mortal Kombat 11","2019",NA,543476.88,482214.68,206,48
"Mortal Kombat 9","2011",NA,136891.67,136891.67,67,26
"Mortal Kombat vs. DC Universe","2008",NA,0,0,3,1
"Mortal Kombat X","2015",NA,523532.42,523532.42,100,62
"Mortal Kombat XL","2016",NA,134203.79,129203.79,55,18
"Mystery Game Tournament","2019",NA,10995,10995,56,8
"Naruto Shippuden: Ultimate Ninja Storm 4","2016",NA,4550,2000,7,5
"Naruto: Gekitou Ninja Taisen! 4","2005",NA,200,0,3,1
"Nitroplus Blasterz: Heroines Infinite Duel","2015",NA,1994,1994,10,4
"Persona 4 Arena","2012",NA,6336.63,6336.63,42,11
"Persona 4 Arena Ultimax","2013",NA,18948.16,18948.16,61,20
"Pocket Rumble","2016",NA,185,0,5,2
"Pokk<U+00E9>n Tournament","2016",NA,77216.66,76971.66,65,26
"Pokk<U+00E9>n Tournament DX","2017",NA,22125.4,21914,44,28
"Power Instinct: Matrimelee","2002",NA,90,0,5,2
"Power Rangers: Battle for the Grid","2019",NA,4540.6,880,22,9
"Power Rangers: Legacy Wars","2017",NA,4178.55,4178.55,2,1
"Project Justice","2000",NA,165,165,3,1
"Project M","2010",NA,205292.09,205292.09,560,335
"Project Plus","2019",NA,195,0,6,2
"Punch Planet","2017",NA,400,0,6,2
"Red Earth","1996",NA,100,0,3,1
"Rising Thunder","2015",NA,1000,1000,3,1
"Rivals of Aether","2015",NA,38968.62,36737,50,20
"Roof Rage","2019",NA,50,0,3,1
"Rushdown Revolt","2021",NA,4160.09,0,31,18
"Sailor Moon S","1995",NA,3281.19,3271.19,20,12
"Samurai Shodown (2019)","2019",NA,77723.31,77598.31,72,19
"Samurai Shodown III","1995",NA,70,0,5,2
"Samurai Shodown V Special","2004",NA,590.57,490.11,15,5
"Schwarzerblitz","2020",NA,200,0,5,2
"Sekiro: Shadows Die Twice","2019",NA,19596,0,20,1
"Shovel Knight Showdown","2019",NA,60,60,3,1
"Shrek SuperSlam","2005",NA,80,0,4,2
"Skullgirls","2012",NA,300,300,3,1
"Skullgirls 2nd Encore","2015",NA,23663.02,18351,40,18
"Skullgirls Encore","2014",NA,9155.4,9155.4,37,13
"Slap City","2018",NA,600,0,5,2
"SLAYERS FOR HIRE","2020",NA,600,0,8,2
"Smash Remix","2019",NA,299.06,0,4,1
"SNK Heroines: Tag Team Frenzy","2018",NA,430,430,3,1
"Soul Calibur II","2003",NA,4980,4980,17,8
"Soul Calibur II HD Online","2013",NA,945.41,945.41,29,5
"Soul Calibur IV","2008",NA,260,260,3,2
"Soul Calibur V","2012",NA,60428.54,60428.54,79,27
"Soul Calibur VI","2018",NA,174000.17,156326.18,113,64
"Street Fighter Alpha 2","1996",NA,2594.69,1480,23,10
"Street Fighter Alpha 3","1998",NA,340,340,16,5
"Street Fighter EX2 Plus","1999",NA,350,350,5,2
"Street Fighter III: 3rd Strike","1999",NA,50741.58,50174.36,92,40
"Street Fighter IV","2009",NA,7938.22,7938.22,41,12
"Street Fighter V","2016",NA,2202726.43,2202726.43,233,120
"Street Fighter V: Arcade Edition","2018",NA,2266885.95,2266035.95,235,105
"Street Fighter V: Champion Edition","2020",NA,616642.04,192159.58,158,98
"Street Fighter X Tekken","2012",NA,84090.64,83229.34,115,93
"Super Smash Bros.","1999",NA,68182.81,68042.81,236,125
"Super Smash Bros. Brawl","2008",NA,246715.83,246715.83,499,344
"Super Smash Bros. for Wii U","2014",NA,1514261.47,1511626.47,1278,1034
"Super Smash Bros. Melee","2001",NA,3401333.22,3336714.45,1890,2620
"Super Smash Bros. Ultimate","2018",NA,1579490.83,1274167.76,2159,1487
"Super Street Fighter II Turbo","1994",NA,24322.45,24322.45,109,47
"Super Street Fighter II Turbo HD Remix","2008",NA,16360,16360,29,8
"Super Street Fighter IV","2010",NA,30229.3,20877.3,43,18
"Super Street Fighter IV Arcade Edition","2010",NA,355586.67,355586.67,154,204
"Tatsunoko vs. Capcom: Ultimate All-Stars","2010",NA,2771.76,1330.81,16,16
"Teenage Mutant Ninja Turtles: Tournament Fighters","1993",NA,820,820,7,2
"Tekken 4","2001",NA,12500,12500,4,4
"Tekken 5","2004",NA,10250,10250,10,9
"Tekken 5: Dark Resurrection","2006",NA,12180,12180,18,5
"Tekken 6","2007",NA,119874.64,119874.64,59,30
"Tekken 7","2015",NA,1835546.29,1801177.18,445,259
"Tekken Tag Tournament","1999",NA,0,0,7,4
"Tekken Tag Tournament 2","2011",NA,126175.7,126175.7,143,139
"The Last Blade 2","1998",NA,60,0,4,2
"Them's Fightin' Herds","2018",NA,4578.19,530,28,29
"Toribash","2006",NA,100,0,3,1
"Tough Love Arena","2021",NA,100,0,3,1
"Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe","2009",NA,4501.52,220,18,6
"TowerFall: Ascension","2013",NA,0,0,0,0
"Ultimate Marvel vs. Capcom 3","2011",NA,123210.51,121083.16,195,177
"Ultimate Mortal Kombat 3","1995",NA,150,150,6,2
"Ultra Fight Da! Kyanta 2","2019",NA,320,320,3,1
"Ultra Street Fighter IV","2014",NA,817003.46,816963.46,231,230
"Umineko: Golden Fantasia","2010",NA,190,90,9,3
"Under Night In-Birth EXE: Late","2014",NA,6025.76,6025.76,52,23
"Under Night In-Birth EXE: Late[st]","2015",NA,54583.33,54583.33,109,40
"Under Night In-Birth Exe:Late[cl-r]","2020",NA,1629.76,1000,22,4
"Vampire Savior","1997",NA,9465.95,8318.74,32,20
"Virtua Fighter 4: Evolution","2002",NA,0,0,6,3
"Virtua Fighter 5","2007",NA,39830,39830,14,7
"Virtua Fighter 5 Final Showdown","2010",NA,573.77,573.77,28,6
"Virtua Fighter 5: Ultimate Showdown","2021",NA,1000,0,13,2
"WWE 2K20","2019",NA,50000,0,20,2
"Asphalt 4","2008",NA,29500,29500,5,2
"Asphalt 9: Legends","2018",NA,51520,51520,5,2
"Assetto Corsa","2014",NA,390422.51,255702.2,197,66
"Assetto Corsa Competizione","2018",NA,94088,88750,23,16
"Dirt Rally 2.0","2019",NA,10000,10000,5,2
"F1 2018","2018",NA,2e+05,2e+05,21,1
"F1 2019","2019",NA,538047.38,538047.38,25,2
"F1 2020","2020",NA,752235,0,42,3
"Forza Motorsport 2","2007",NA,222000,222000,17,2
"Forza Motorsport 3","2009",NA,11000,11000,3,2
"Forza Motorsport 4","2011",NA,132.37,132.37,2,1
"Forza Motorsport 6","2015",NA,172600,170200,43,9
"Forza Motorsport 7","2017",NA,820200,616200,124,12
"Gran Turismo 3: A-Spec","2001",NA,3250,3250,4,2
"Gran Turismo 4","2004",NA,44000,44000,5,2
"Gran Turismo Sport","2017",NA,28667.98,27511,101,13
"GRID (2019)","2019",NA,218.75,218.75,3,1
"iRacing.com","2008",NA,1872399.43,160517.1,1079,132
"KartRider","2004",NA,567366.35,567366.35,76,20
"Live for Speed","2003",NA,11599.14,9219.14,22,9
"Mad Skills Motocross 2","2017",NA,20163,20163,12,1
"Mario Kart 8 Deluxe","2017",NA,1754.44,1754.44,30,4
"NASCAR Heat 4","2019",NA,200500,0,34,5
"Nascar Heat 5","2020",NA,6125,2500,20,2
"NASCAR Thunder 2002","2001",NA,7679.25,7679.25,0,1
"NASCAR Thunder 2003","2002",NA,5933.5,5933.5,0,1
"Need for Speed Carbon","2006",NA,36322.58,36322.58,12,4
"Need for Speed: Most Wanted","2005",NA,35694.54,35694.54,18,7
"Need for Speed: ProStreet","2007",NA,32208.46,32208.46,12,3
"Need for Speed: Shift","2009",NA,10500,10500,3,1
"Need for Speed: Underground","2003",NA,35000,35000,3,1
"Need for Speed: Underground 2","2004",NA,35629.48,35629.48,8,3
"Project Cars","2015",NA,68029.21,10602.71,50,115
"Project Cars 2","2017",NA,66150,58150,37,22
"Project Gotham Racing 2","2003",NA,35000,35000,4,2
"Project Gotham Racing 3","2005",NA,297286.85,297286.85,33,10
"Project Gotham Racing 4","2007",NA,25208.46,25208.46,5,4
"RaceRoom Racing Experience","2013",NA,159963.7,74108.7,147,22
"rFactor","2005",NA,15083.56,0,51,4
"rFactor 2","2013",NA,1446593.9,1067031.94,261,65
"Speedrunners","2016",NA,150,0,5,2
"Trackmania (2020)","2020",NA,128101.24,2389.86,201,167
"TrackMania 2: Canyon","2011",NA,22098.74,16559.04,21,36
"TrackMania 2: Stadium","2013",NA,198832.27,107640.31,349,284
"Trackmania 2: Valley","2013",NA,779.34,779.34,6,2
"TrackMania Nations","2006",NA,93381.66,53381.66,18,8
"TrackMania Nations Forever","2008",NA,167386.65,146554.75,109,73
"Trackmania Turbo","2016",NA,679.41,0,6,2
"Trackmania United","2006",NA,1027.5,1027.5,3,1
"Trackmania United Forever","2008",NA,0,0,0,0
"Trials Fusion","2014",NA,0,0,0,0
"Turbo Racing League","2013",NA,1e+06,5e+05,16,9
"Carom 3D","1999",NA,60500,60500,11,4
"Dream league Soccer","2019",NA,0,0,0,0
"FIFA 03","2002",NA,54066.44,54066.44,10,3
"FIFA 04","2003",NA,40000,40000,3,3
"FIFA 05","2004",NA,57728.01,57728.01,5,8
"FIFA 06","2005",NA,112464.53,112464.53,23,12
"FIFA 07","2006",NA,237812.23,237812.23,42,13
"FIFA 08","2007",NA,207129.94,207129.94,68,17
"FIFA 09","2008",NA,121618.34,115321.42,52,19
"FIFA 10","2009",NA,117026.71,90147.21,64,48
"FIFA 11","2010",NA,93983.77,85154.02,72,78
"FIFA 12","2011",NA,54431.52,47279.42,53,66
"FIFA 13","2012",NA,458427.82,448195.59,53,62
"FIFA 14","2013",NA,96347.81,87377.48,57,69
"FIFA 15","2014",NA,144373.99,116439.15,168,352
"FIFA 16","2015",NA,117828.11,116883.94,61,28
"FIFA 17","2016",NA,1482612.63,1482612.63,156,48
"FIFA 18","2017",NA,2233697.69,2221267.08,235,48
"FIFA 19","2018",NA,3242642.34,3233027.83,299,48
"FIFA 20","2019",NA,2117946.76,1066013.14,297,61
"FIFA 2000","1999",NA,50000,50000,4,1
"FIFA 2001","2000",NA,46000,46000,9,2
"FIFA 2002 World Cup","2002",NA,43000,43000,8,1
"FIFA 21","2020",NA,425134.53,84140.13,71,9
"FIFA Online 3","2012",NA,1434341.9,1434341.9,88,9
"FIFA Online 4","2018",NA,1181120,791120,125,9
"Guitar Hero 5","2009",NA,10500,10500,3,1
"Guitar Hero III: Legends of Rock","2007",NA,19000,19000,8,2
"Guitar Hero: World Tour","2008",NA,0,0,0,0
"Just Dance 2014","2014",NA,0,0,3,1
"Madden NFL 19","2018",NA,125000,125000,5,3
"Madden NFL 2004","2003",NA,1500,1500,3,1
"Madden NFL 2006","2005",NA,1e+05,1e+05,1,1
"Madden NFL 2007","2006",NA,1e+05,1e+05,1,1
"Madden NFL 2008","2007",NA,1e+05,1e+05,1,1
"Madden NFL 2009","2008",NA,1e+05,1e+05,1,1
"Madden NFL 2013","2012",NA,4e+05,4e+05,8,1
"Madden NFL 2016","2015",NA,50000,50000,8,1
"Madden NFL 2017","2016",NA,1004000,1004000,42,5
"Madden NFL 2018","2017",NA,279676.62,20676.62,40,3
"Mario Tennis Aces","2018",NA,61.3,0,6,2
"NBA 2K Online","2012",NA,0,0,0,0
"NBA 2K18","2017",NA,1e+06,1e+06,91,4
"NBA 2K19","2018",NA,0,0,0,0
"NBA 2K20","2019",NA,0,0,0,0
"NBA 2K21","2020",NA,501,0,3,1
"NHL '94","1993",NA,3818.56,3818.56,25,8
"NHL 12","2011",NA,702.93,702.93,6,2
"NHL 13","2012",NA,70000,70000,1,1
"NHL 14","2013",NA,3023.96,3023.96,6,3
"NHL 15","2014",NA,3157.16,3157.16,3,3
"NHL 17","2016",NA,0,0,0,0
"NHL 18","2017",NA,102700,90000,20,6
"NHL 19","2018",NA,22566.67,19566.67,10,8
"Pro Evolution Soccer 2008","2007",NA,2084.15,2084.15,6,3
"Pro Evolution Soccer 2009","2008",NA,1395.97,0,5,2
"Pro Evolution Soccer 2013","2012",NA,0,0,0,0
