Game,Total Money Earned,Total Money Earned Percentage,Team
League of Legends (FNC Rising),"$70,286.60",0.43%,Fnatic
Overwatch,"$63,939.34",0.39%,Fnatic
Painkiller,"$340,200.00",2.09%,Fnatic
Paladins,"$121,339.25",0.75%,Fnatic
PUBG (Mobile),"$11,420.00",0.07%,Fnatic
Quake,"$45,650.00",0.28%,Fnatic
Rainbow Six,"$370,043.39",2.28%,Fnatic
Rocket League,"$57,285.36",0.35%,Fnatic
ShootMania,"$45,472.12",0.28%,Fnatic
SMITE,"$115,750.00",0.71%,Fnatic
StarCraft II,"$237,224.37",1.46%,Fnatic
Unreal Tournament,"$43,606.10",0.27%,Fnatic
Vainglory,"$7,000.00",0.04%,Fnatic
VALORANT,"$143,118.73",0.88%,Fnatic
WarCraft III,"$43,346.86",0.27%,Fnatic
World of Tanks,$0.00,0.00%,Fnatic
World of WarCraft,"$20,850.00",0.13%,Fnatic
Apex Legends,"$16,840.00",0.10%,Virtus.pro
Artifact,"$1,819.36",0.01%,Virtus.pro
Counter-Strike,"$364,412.09",2.27%,Virtus.pro
CS:GO,"$4,086,690.63",25.46%,Virtus.pro
Dota 2,"$10,061,899.06",62.68%,Virtus.pro
Dota 2 (VP.Prodigy),"$186,086.05",1.16%,Virtus.pro
Fortnite,"$315,361.47",1.96%,Virtus.pro
Hearthstone,"$300,120.06",1.87%,Virtus.pro
Heroes of the Storm,"$35,721.36",0.22%,Virtus.pro
League of Legends,"$84,951.20",0.53%,Virtus.pro
Paladins,"$62,500.00",0.39%,Virtus.pro
PUBG,"$172,648.00",1.08%,Virtus.pro
Quake,"$104,652.48",0.65%,Virtus.pro
Rainbow Six,"$119,007.82",0.74%,Virtus.pro
StarCraft II,"$19,234.68",0.12%,Virtus.pro
World of Tanks,"$121,197.00",0.75%,Virtus.pro
Dota 2,"$12,705,063.75",89.31%,Newbee
Dota 2 (Newbee International),"$686,602.00",4.83%,Newbee
Dota 2 (Newbee Young),"$126,737.78",0.89%,Newbee
Dota 2 (Newbee.M),"$5,332.90",0.04%,Newbee
FIFA Online,"$6,000.00",0.04%,Newbee
Fortnite,"$105,100.00",0.74%,Newbee
Hearthstone,"$102,409.46",0.72%,Newbee
Heroes of the Storm,"$9,481.86",0.07%,Newbee
League of Legends,"$67,114.80",0.47%,Newbee
League of Legends (Newbee Young),"$45,036.60",0.32%,Newbee
Overwatch,"$21,590.82",0.15%,Newbee
Overwatch (Newbee.Y),$0.00,0.00%,Newbee
StarCraft 2,"$197,689.43",1.39%,Newbee
WarCraft 3,"$147,226.19",1.03%,Newbee
Arena of Valor,"$289,398.30",2.13%,Vici Gaming
CrossFire,"$335,923.86",2.48%,Vici Gaming
CS:GO (VG.CyberZen),"$281,032.87",2.07%,Vici Gaming
CS:GO (ViCi Gaming),"$477,387.59",3.52%,Vici Gaming
Dota 2,"$8,960,227.06",66.04%,Vici Gaming
Dota 2 (VG Potential),"$32,057.07",0.24%,Vici Gaming
Dota 2 (VG Reborn),"$292,190.70",2.15%,Vici Gaming
Dota 2 (VGJ.Storm),"$1,018,554.00",7.51%,Vici Gaming
Dota 2 (VGJ.Thunder),"$1,011,261.09",7.45%,Vici Gaming
Hearthstone,"$229,547.27",1.69%,Vici Gaming
League of Legends (Vici Gaming),"$288,235.01",2.12%,Vici Gaming
League of Legends (Vici Potential Gaming),"$16,111.60",0.12%,Vici Gaming
Overwatch,"$98,025.65",0.72%,Vici Gaming
PUBG,"$107,086.99",0.79%,Vici Gaming
StarCraft II / WarCraft III,"$130,610.94",0.96%,Vici Gaming
Apex Legends,"$155,319.00",1.17%,Natus Vincere
Counter-Strike,"$368,287.81",2.77%,Natus Vincere
CS:GO,"$5,200,074.32",39.08%,Natus Vincere
CS:GO (NaVi Junior),"$24,727.50",0.19%,Natus Vincere
DotA,$0.00,0.00%,Natus Vincere
Dota 2,"$4,989,972.17",37.51%,Natus Vincere
Dota 2 (NaVi Female),$0.00,0.00%,Natus Vincere
Dota 2 (NaVi.US),"$14,110.46",0.11%,Natus Vincere
FIFA,"$27,674.56",0.21%,Natus Vincere
Fortnite,"$110,080.00",0.83%,Natus Vincere
Hearthstone,"$187,439.55",1.41%,Natus Vincere
Heroes of the Storm,"$135,273.04",1.02%,Natus Vincere
League of Legends,"$4,955.02",0.04%,Natus Vincere
League of Legends (NaVi.CIS),"$24,759.55",0.19%,Natus Vincere
Paladins,"$235,678.50",1.77%,Natus Vincere
PUBG,"$502,931.00",3.78%,Natus Vincere
PUBG Mobile,"$166,714.30",1.25%,Natus Vincere
Quake,"$71,497.52",0.54%,Natus Vincere
Rainbow Six,"$361,912.21",2.72%,Natus Vincere
StarCraft II,"$13,075.20",0.10%,Natus Vincere
VALORANT,"$1,755.06",0.01%,Natus Vincere
World of Tanks,"$708,511.80",5.33%,Natus Vincere
Age of Empires II,"$128,334.18",1.04%,Team Secret
Apex Legends,$0.00,0.00%,Team Secret
Counter-Strike: Global Offensive,"$66,714.09",0.54%,Team Secret
Dota 2,"$11,603,345.09",94.16%,Team Secret
Fighting Games,"$7,624.73",0.06%,Team Secret
Fortnite,"$201,825.38",1.64%,Team Secret
League of Legends,"$5,324.85",0.04%,Team Secret
LoL: Wild Rift,"$8,500.00",0.07%,Team Secret
PUBG,"$13,000.00",0.11%,Team Secret
PUBG Mobile (Malaysia),"$39,000.00",0.32%,Team Secret
PUBG Mobile (Secret Jin),"$11,000.00",0.09%,Team Secret
PUBG Mobile (Thai),"$23,600.00",0.19%,Team Secret
Rainbow Six Siege,"$150,458.79",1.22%,Team Secret
Rocket League,"$30,027.89",0.24%,Team Secret
Super Smash Bros.,"$4,437.58",0.04%,Team Secret
Vainglory,"$30,000.00",0.24%,Team Secret
Apex Legends,"$6,875.00",0.06%,Invictus Gaming
CrossFire,"$105,000.00",0.87%,Invictus Gaming
CS:GO,"$155,129.99",1.28%,Invictus Gaming
DotA,"$88,641.15",0.73%,Invictus Gaming
DotA (iG.Y),"$7,069.07",0.06%,Invictus Gaming
DotA (iG.Z),"$10,460.32",0.09%,Invictus Gaming
Dota 2,"$5,648,501.69",46.73%,Invictus Gaming
Dota 2 (iG Vitality),"$1,014,792.18",8.40%,Invictus Gaming
Hearthstone,"$163,731.30",1.35%,Invictus Gaming
League of Legends,"$3,991,850.16",33.02%,Invictus Gaming
League of Legends (Female),$0.00,0.00%,Invictus Gaming
League of Legends (iG.Young),"$184,767.77",1.53%,Invictus Gaming
Overwatch (iG.Fire),"$51,575.47",0.43%,Invictus Gaming
Overwatch (iG.Ice),"$13,169.73",0.11%,Invictus Gaming
Rainbow Six Siege,"$17,500.00",0.14%,Invictus Gaming
StarCraft 2,"$628,978.97",5.20%,Invictus Gaming
Arena of Valor,"$185,022.26",1.57%,LGD Gaming
Artifact,$0.00,0.00%,LGD Gaming
Clash Royale,"$8,008.50",0.07%,LGD Gaming
Counter-Strike: Global Offensive,"$7,928.04",0.07%,LGD Gaming
Crossfire (LGD.Reciprocity),"$42,283.06",0.36%,LGD Gaming
Defense of the Ancient,"$18,576.59",0.16%,LGD Gaming
Dota 2 (LGD Forever Young),"$2,999,923.26",25.49%,LGD Gaming
Dota 2 (LGD Gaming),"$7,060,988.01",60.00%,LGD Gaming
Dota 2 (LGD International),"$19,134.20",0.16%,LGD Gaming
Dota 2 (LGD.CDEC),"$11,929.02",0.10%,LGD Gaming
Hearthstone,"$2,250.00",0.02%,LGD Gaming
League of Legends,"$481,330.99",4.09%,LGD Gaming
League of Legends (LGD.Y),"$35,525.50",0.30%,LGD Gaming
Overwatch,"$161,155.37",1.37%,LGD Gaming
PUBG,"$101,628.05",0.86%,LGD Gaming
PUBG Mobile,"$631,751.00",5.37%,LGD Gaming
Valorant,$0.00,0.00%,LGD Gaming
Apex Legends,"$137,675.00",1.30%,Cloud9
Call of Duty,"$176,250.00",1.67%,Cloud9
Call of Duty (C9 Eclipse),"$8,500.00",0.08%,Cloud9
Chess,"$11,350.00",0.11%,Cloud9
Clash Royale,"$10,000.00",0.09%,Cloud9
CS:GO,"$2,590,791.19",24.49%,Cloud9
Dota 2,"$2,123,549.64",20.07%,Cloud9
Fortnite,"$448,302.60",4.24%,Cloud9
Halo,"$68,050.00",0.64%,Cloud9
Hearthstone,"$469,992.63",4.44%,Cloud9
Heroes of the Storm (C9 Maelstrom),"$20,600.00",0.19%,Cloud9
Heroes of the Storm (C9 Vortex),"$3,750.00",0.04%,Cloud9
Heroes of the Storm (Cloud 9),"$369,385.81",3.49%,Cloud9
League of Legends,"$1,796,041.50",16.98%,Cloud9
League of Legends (Amateur),$0.00,0.00%,Cloud9
League of Legends (C9 Academy),"$65,000.00",0.61%,Cloud9
League of Legends (C9 Challenger),"$11,000.00",0.10%,Cloud9
League of Legends (C9 Eclipse),"$63,225.15",0.60%,Cloud9
League of Legends (C9 Tempest),"$47,950.00",0.45%,Cloud9
Overwatch,"$89,013.40",0.84%,Cloud9
Overwatch (Cloud9 EU),"$10,000.00",0.09%,Cloud9
Overwatch (Cloud9 KongDoo),"$34,208.00",0.32%,Cloud9
PUBG,"$343,642.00",3.25%,Cloud9
PUBG (Korea),"$7,618.00",0.07%,Cloud9
PUBG Mobile,"$84,955.00",0.80%,Cloud9
Rainbow Six,"$267,917.77",2.53%,Cloud9
Rocket League,"$586,891.11",5.55%,Cloud9
Smash,"$251,832.99",2.38%,Cloud9
Smite,"$181,858.20",1.72%,Cloud9
Teamfight Tactics,"$35,100.00",0.33%,Cloud9
Vainglory,"$35,750.00",0.34%,Cloud9
Valorant (Blue),"$50,000.00",0.47%,Cloud9
Valorant (Cloud9 Korea),"$16,762.00",0.16%,Cloud9
Valorant (White),"$41,500.00",0.39%,Cloud9
World of WarCraft,"$119,650.00",1.13%,Cloud9
Apex Legends,"$119,485.00",1.14%,T1
Dota 2,"$372,518.68",3.56%,T1
FIFA ONLINE,"$25,000.00",0.24%,T1
Fortnite,"$240,700.00",2.30%,T1
Hearthstone / Artifact,"$260,213.05",2.49%,T1
League of Legends (SKT T1 #1),"$40,527.05",0.39%,T1
League of Legends (SKT T1 K),"$1,275,132.71",12.20%,T1
League of Legends (SKT T1 S),"$31,850.84",0.30%,T1
League of Legends (SKT T1),"$5,669,211.57",54.22%,T1
League of Legends (T1 Academy),"$4,280.96",0.04%,T1
League of Legends (T1),"$149,063.38",1.43%,T1
Overwatch (T1),"$42,862.50",0.41%,T1
PUBG (SKT T1),"$8,775.14",0.08%,T1
PUBG (T1),"$159,593.39",1.53%,T1
PUBG Mobile,"$31,701.00",0.30%,T1
Rainbow Six Siege,"$3,000.00",0.03%,T1
Smash,"$39,942.03",0.38%,T1
Special Force,"$43,530.00",0.42%,T1
StarCraft 2,"$1,143,991.90",10.94%,T1
StarCraft: Brood War,"$746,171.21",7.14%,T1
VALORANT (T1 Academy),$500.00,0.00%,T1
VALORANT (T1 Academy),$0.00,0.00%,T1
VALORANT (T1 Korea),"$17,940.50",0.17%,T1
VALORANT (T1),"$29,000.00",0.28%,T1
Brawl Stars,"$228,600.00",2.24%,Paris Saint-Germain Esports
Dota 2 (PSG.LGD),"$9,562,940.69",93.60%,Paris Saint-Germain Esports
FIFA,"$102,318.36",1.00%,Paris Saint-Germain Esports
FIFA Online,"$7,000.00",0.07%,Paris Saint-Germain Esports
League of Legends,"$7,565.25",0.07%,Paris Saint-Germain Esports
League of Legends (PSG.Talon),"$95,250.00",0.93%,Paris Saint-Germain Esports
Rocket League,"$213,449.38",2.09%,Paris Saint-Germain Esports
VALORANT,$0.00,0.00%,Paris Saint-Germain Esports
Call of Duty,"$1,505,358.00",14.85%,FaZe Clan
Call of Duty (FaZe Black),"$13,326.20",0.13%,FaZe Clan
Call of Duty (FaZe Red),"$3,500.00",0.03%,FaZe Clan
Call of Duty: Warzone,"$237,191.72",2.34%,FaZe Clan
CS:GO,"$3,836,028.94",37.85%,FaZe Clan
FIFA,"$46,000.00",0.45%,FaZe Clan
Fifa Online,"$57,920.00",0.57%,FaZe Clan
Fortnite,"$2,155,343.79",21.27%,FaZe Clan
Overwatch,"$73,300.00",0.72%,FaZe Clan
PUBG,"$1,611,912.00",15.90%,FaZe Clan
PUBG Mobile,"$2,456.00",0.02%,FaZe Clan
Rainbow Six,"$449,269.85",4.43%,FaZe Clan
Rocket League,"$50,900.00",0.50%,FaZe Clan
VALORANT,"$92,500.00",0.91%,FaZe Clan
CS:GO,"$6,224.87",0.06%,Wings Gaming
Dota 2,"$9,738,747.35",99.93%,Wings Gaming
Dota 2 (Wings.Red),$500.00,0.01%,Wings Gaming
CS:GO,"$9,088,668.81",99.86%,Astralis
FIFA,"$12,500.00",0.14%,Astralis
League of Legends,$0.00,0.00%,Astralis
League of Legends (SB),$0.00,0.00%,Astralis
League of Legends (Talent),$0.00,0.00%,Astralis
Apex Legends,"$33,419.00",0.39%,G2 Esports
Call of Duty,$0.00,0.00%,G2 Esports
Clash Royale,"$20,000.00",0.23%,G2 Esports
CS:GO,"$2,760,672.40",32.01%,G2 Esports
CS:GO (G2 Esports.es),"$14,682.44",0.17%,G2 Esports
FIFA,"$2,555.57",0.03%,G2 Esports
Fortnite,"$4,800.00",0.06%,G2 Esports
Hearthstone,"$674,987.54",7.83%,G2 Esports
Heroes of the Storm,"$47,493.55",0.55%,G2 Esports
iRacing.com,$0.00,0.00%,G2 Esports
League of Legends,"$2,448,766.11",28.40%,G2 Esports
League of Legends (G2 Arctic),"$10,995.60",0.13%,G2 Esports
League of Legends (G2 Heretics),$0.00,0.00%,G2 Esports
League of Legends (G2 Vodafone),"$9,906.66",0.11%,G2 Esports
Overwatch,"$3,809.08",0.04%,G2 Esports
Paladins,"$64,750.00",0.75%,G2 Esports
PUBG,"$96,000.00",1.11%,G2 Esports
Rainbow Six Siege,"$1,496,118.05",17.35%,G2 Esports
Rocket League,"$728,753.85",8.45%,G2 Esports
Rocket League (G2.Omega),"$2,000.00",0.02%,G2 Esports
Super Smash Bros,"$16,770.46",0.19%,G2 Esports
Teamfight Tactics,"$37,875.00",0.44%,G2 Esports
Vainglory,"$8,815.50",0.10%,G2 Esports
Vainglory (G2.Kinguin 2),"$1,000.00",0.01%,G2 Esports
VALORANT,"$139,189.86",1.61%,G2 Esports
Apex Legends,$0.00,0.00%,Gen.G Esports
Call of Duty,"$494,375.00",6.22%,Gen.G Esports
Clash Royale,"$44,958.45",0.57%,Gen.G Esports
CS:GO,"$165,600.00",2.08%,Gen.G Esports
Fortnite,"$10,981.80",0.14%,Gen.G Esports
Heroes of the Storm,"$700,000.00",8.81%,Gen.G Esports
Heroes of the Storm (KSV Black),"$660,000.00",8.30%,Gen.G Esports
Heroes of the Storm (KSV Miracle),$0.00,0.00%,Gen.G Esports
League of Legends,"$467,216.84",5.88%,Gen.G Esports
League of Legends (KSV),"$23,270.00",0.29%,Gen.G Esports
Overwatch,"$157,919.50",1.99%,Gen.G Esports
PUBG (Gen.G Black),"$47,238.50",0.59%,Gen.G Esports
PUBG (Gen.G Gold),"$506,594.50",6.37%,Gen.G Esports
PUBG (Gen.G),"$3,237,530.88",40.73%,Gen.G Esports
PUBG (KSV ASEL / CLES),"$20,633.20",0.26%,Gen.G Esports
PUBG (KSV Notitle),"$205,095.00",2.58%,Gen.G Esports
Seoul Dynasty,"$1,130,000.00",14.22%,Gen.G Esports
VALORANT,"$77,000.00",0.97%,Gen.G Esports
VALORANT (Gen.G Team Bumble),$500.00,0.01%,Gen.G Esports
Call of Duty,"$3,260,912.30",41.24%,OpTic Gaming
Call of Duty (OpTic Nation),"$52,591.41",0.67%,OpTic Gaming
CS:GO,"$1,348,975.00",17.06%,OpTic Gaming
CS:GO (OpTic Brasil Female),"$5,287.00",0.07%,OpTic Gaming
CS:GO (OpTic India),"$6,791.25",0.09%,OpTic Gaming
Dota 2,"$1,242,599.00",15.71%,OpTic Gaming
Fortnite,"$23,500.00",0.30%,OpTic Gaming
Gears of War,"$1,122,750.00",14.20%,OpTic Gaming
Gears of War (OpTic Mexico),"$7,500.00",0.09%,OpTic Gaming
Halo,"$779,550.00",9.86%,OpTic Gaming
League of Legends,$0.00,0.00%,OpTic Gaming
League of Legends (OpT Academy),$0.00,0.00%,OpTic Gaming
PLAYERUNKNOWN'S BATTLEGROUNDS,"$56,850.00",0.72%,OpTic Gaming
Apex Legends,"$619,934.00",8.24%,Team SoloMid
Call of Duty,"$19,000.00",0.25%,Team SoloMid
Chess,"$199,116.00",2.65%,Team SoloMid
CS:GO,"$628,160.69",8.35%,Team SoloMid
Fortnite,"$2,015,406.89",26.80%,Team SoloMid
Hearthstone,"$88,600.00",1.18%,Team SoloMid
League of Legends,"$1,674,875.02",22.27%,Team SoloMid
League of Legends (TSM Academy),"$33,500.00",0.45%,Team SoloMid
League of Legends (TSM Darkness),"$10,000.00",0.13%,Team SoloMid
League of Legends (TSM Evo),"$15,700.00",0.21%,Team SoloMid
Magic: The Gathering,"$32,900.00",0.44%,Team SoloMid
Overwatch,$0.00,0.00%,Team SoloMid
PlayerUnknown's Battlegrounds,"$376,325.00",5.00%,Team SoloMid
Rainbow Six,"$742,000.00",9.87%,Team SoloMid
Rocket League,"$96,359.86",1.28%,Team SoloMid
Smite,"$211,221.80",2.81%,Team SoloMid
Streamers,"$156,173.29",2.08%,Team SoloMid
Super Smash Bros.,"$394,326.70",5.24%,Team SoloMid
Teamfight Tactics,"$28,350.00",0.38%,Team SoloMid
Vainglory,"$52,250.00",0.69%,Team SoloMid
VALORANT,"$120,000.00",1.60%,Team SoloMid
VALORANT female,"$6,000.00",0.08%,Team SoloMid
Call of Duty,"$2,134,911.13",30.21%,Team Envy
Call of Duty: Warzone,"$21,058.35",0.30%,Team Envy
CS:GO,"$2,170,613.34",30.72%,Team Envy
CS:GO (Academy),"$112,000.56",1.58%,Team Envy
FIFA,"$78,351.35",1.11%,Team Envy
Fighting Games,"$22,896.20",0.32%,Team Envy
Fortnite,"$151,000.00",2.14%,Team Envy
Gears of War,"$286,000.00",4.05%,Team Envy
Halo,"$556,000.00",7.87%,Team Envy
League of Legends,$0.00,0.00%,Team Envy
Overwatch,"$504,391.40",7.14%,Team Envy
Paladins,"$213,750.00",3.02%,Team Envy
PUBG,"$104,020.00",1.47%,Team Envy
Rocket League,"$363,235.64",5.14%,Team Envy
Rocket League (EnVyUs Academy),$0.00,0.00%,Team Envy
Smite,"$62,500.00",0.88%,Team Envy
Smite (Xbox),"$75,000.00",1.06%,Team Envy
StarCraft II,"$87,486.76",1.24%,Team Envy
Super Smash Bros.,"$16,812.59",0.24%,Team Envy
VALORANT,"$106,500.00",1.51%,Team Envy
Battlefield,"$6,598.47",0.10%,SK Gaming
Bloodline Champions,"$1,000.00",0.01%,SK Gaming
Brawl Stars,"$150,250.00",2.25%,SK Gaming
Call of Duty,"$2,737.61",0.04%,SK Gaming
Clash Royale,"$206,666.66",3.09%,SK Gaming
Counter-Strike,"$856,401.56",12.80%,SK Gaming
Counter-Strike (SK Female),"$10,000.00",0.15%,SK Gaming
Counter-Strike (SK.ger),"$32,801.03",0.49%,SK Gaming
CS: Source,"$3,743.04",0.06%,SK Gaming
CS:GO,"$2,869,076.54",42.88%,SK Gaming
DotA,"$15,681.58",0.23%,SK Gaming
Dota 2,"$2,140.21",0.03%,SK Gaming
FIFA,"$251,017.18",3.75%,SK Gaming
FPS Duel,"$273,197.63",4.08%,SK Gaming
Hearthstone,"$165,497.85",2.47%,SK Gaming
Heroes of Newerth,"$5,069.74",0.08%,SK Gaming
Heroes of the Storm,"$3,075.00",0.05%,SK Gaming
League of Legends,"$315,689.17",4.72%,SK Gaming
League of Legends (SK Prime),"$123,769.92",1.85%,SK Gaming
Overwatch,$692.80,0.01%,SK Gaming
Paladins,"$5,000.00",0.07%,SK Gaming
Rainbow Six,"$15,000.00",0.22%,SK Gaming
Rocket League,"$10,804.68",0.16%,SK Gaming
Shootmania,"$8,000.00",0.12%,SK Gaming
Smite,"$322,045.08",4.81%,SK Gaming
StarCraft II,"$184,671.48",2.76%,SK Gaming
Vainglory (SK Chimaera),"$2,500.00",0.04%,SK Gaming
Vainglory (SK Gaming),"$11,565.50",0.17%,SK Gaming
Vainglory (SK Prometheus),"$1,000.00",0.01%,SK Gaming
WarCraft III,"$614,486.63",9.18%,SK Gaming
World of WarCraft,"$139,000.00",2.08%,SK Gaming
World of Warcraft (SK Asia),"$19,800.00",0.30%,SK Gaming
World of Warcraft (SK Europe),"$27,100.00",0.41%,SK Gaming
World of Warcraft (SK Sansibar),"$12,000.00",0.18%,SK Gaming
World of Warcraft (SK USA),"$22,500.00",0.34%,SK Gaming
Counter-Strike,"$253,050.53",3.91%,Ninjas in Pyjamas
CS:GO,"$2,994,971.31",46.29%,Ninjas in Pyjamas
CS:GO (Young Ninjas),"$46,411.35",0.72%,Ninjas in Pyjamas
Dota 2,"$1,000,100.08",15.46%,Ninjas in Pyjamas
FIFA,"$37,501.77",0.58%,Ninjas in Pyjamas
Fortnite,"$7,500.00",0.12%,Ninjas in Pyjamas
League of Legends,"$119,575.32",1.85%,Ninjas in Pyjamas
Overwatch,"$35,235.95",0.54%,Ninjas in Pyjamas
Paladins,"$167,000.00",2.58%,Ninjas in Pyjamas
PUBG,"$95,881.03",1.48%,Ninjas in Pyjamas
Rainbow Six,"$1,646,762.40",25.45%,Ninjas in Pyjamas
VALORANT,"$55,125.13",0.85%,Ninjas in Pyjamas
WarCraft 3,"$10,500.00",0.16%,Ninjas in Pyjamas
Apex Legends,"$100,647.00",1.69%,Alliance
Arena of Valor,"$4,000.00",0.07%,Alliance
Dota 2,"$4,947,159.38",83.27%,Alliance
FIFA,"$7,528.77",0.13%,Alliance
Fighting Games,"$301,124.40",5.07%,Alliance
Fortnite,"$72,645.11",1.22%,Alliance
Hearthstone,"$230,972.12",3.89%,Alliance
League of Legends,"$115,000.00",1.94%,Alliance
LoL: Wild Rift,"$8,500.00",0.14%,Alliance
PUBG,"$6,000.00",0.10%,Alliance
PUBG Mobile,"$1,932.65",0.03%,Alliance
Quake,"$44,136.88",0.74%,Alliance
StarCraft II,"$84,650.09",1.42%,Alliance
Trackmania,$862.57,0.01%,Alliance
VALORANT,"$15,621.63",0.26%,Alliance
Arena of Valor,"$554,665.98",9.46%,Royal Never Give Up
Dota 2,"$1,237,971.76",21.12%,Royal Never Give Up
Dota 2 (Royal),"$16,555.50",0.28%,Royal Never Give Up
Hearthstone,"$194,486.32",3.32%,Royal Never Give Up
League of Legends,"$3,184,363.51",54.32%,Royal Never Give Up
PUBG,"$81,734.76",1.39%,Royal Never Give Up
PUBG Mobile,"$583,784.00",9.96%,Royal Never Give Up
VALORANT,"$8,780.40",0.15%,Royal Never Give Up
Apex Legends,"$233,070.00",4.03%,NRG Esports
Call of Duty: Warzone,"$249,875.04",4.32%,NRG Esports
Clash Royale,"$10,000.00",0.17%,NRG Esports
CS:GO,"$1,151,975.00",19.94%,NRG Esports
Fighting Games,$625.00,0.01%,NRG Esports
Fortnite,"$1,969,862.14",34.09%,NRG Esports
Gears of War,"$64,650.00",1.12%,NRG Esports
Hearthstone,"$66,125.00",1.14%,NRG Esports
League of Legends,$0.00,0.00%,NRG Esports
Overwatch,"$117,266.62",2.03%,NRG Esports
PUBG,"$2,000.00",0.03%,NRG Esports
