edad,sexo,carrera,ciclo,tocan_instrumentos
20,HOMBRE,Ingeniería civil,5,Sí
18,MUJER,Ingeniería civil,5,No
23,HOMBRE,Ingeniería civil,8,Sí
18,HOMBRE,Ingeniería industrial,3,Sí
18,MUJER,Bioingeniería,5,No
20,HOMBRE,Ingeniería de la energía,7,Sí
19,HOMBRE,Ingeniería civil,4,Sí
20,HOMBRE,Ingeniería civil,5,Sí
20,MUJER,Ingeniería mecatrónica,4,Sí
22,MUJER,Ingeniería ambiental,9,No
20,HOMBRE,Ingeniería civil,5,Sí
22,HOMBRE,Ingeniería ambiental,5,Sí
20,HOMBRE,Ingeniería industrial,2,No
20,MUJER,Ingeniería civil,4,No
21,MUJER,Ingeniería civil,6,No
19,HOMBRE,Ingeniería civil,7,No
19,HOMBRE,Ingeniería civil,5,No
22,HOMBRE,Ingeniería civil,2,No
17,MUJER,Ingeniería civil,2,No
20,HOMBRE,Ingeniería industrial,2,No
20,MUJER,Ingeniería civil,4,Sí
19,HOMBRE,Ingeniería civil,4,No
17,MUJER,Ingeniería de la energía,1,No
18,MUJER,Ingeniería civil,2,No
17,HOMBRE,Ingeniería de la energía,1,Sí
17,HOMBRE,Ingeniería electrónica,1,No
18,MUJER,Ingeniería civil,2,No
18,MUJER,Ingeniería industrial,2,No
18,MUJER,Ingeniería industrial,6,No
18,MUJER,Ingeniería industrial,3,No
18,MUJER,Ingeniería industrial,3,No
18,HOMBRE,Ingeniería mecánica,2,Sí
18,HOMBRE,Ingeniería industrial,3,Sí
20,MUJER,Ingeniería civil,4,No
19,HOMBRE,Ingeniería civil,3,No
20,MUJER,Ingeniería ambiental,4,No
19,MUJER,Ingeniería química,5,Sí
19,HOMBRE,Ingeniería mecatrónica,5,Sí
20,HOMBRE,Bioingeniería,3,No
22,MUJER,Bioingeniería,4,Sí
20,HOMBRE,Bioingeniería,2,No
19,HOMBRE,Ingeniería civil,4,No
20,HOMBRE,Ingeniería civil,4,No
16,HOMBRE,Ingeniería mecatrónica,1,Sí
20,HOMBRE,Bioingeniería,3,Sí
22,HOMBRE,Bioingeniería,4,Sí
19,MUJER,Ingeniería civil,4,Sí
20,MUJER,Ingeniería civil,5,No
19,HOMBRE,Ingeniería industrial,3,No
25,HOMBRE,Ingeniería civil,5,No
20,HOMBRE,Ingeniería civil,4,No
21,HOMBRE,Ingeniería de la energía,5,Sí
19,MUJER,Ingeniería ambiental,4,No
19,HOMBRE,Ingeniería electrónica,4,No
18,HOMBRE,Ciencia de la computación,3,No
33,HOMBRE,Ingeniería ambiental,5,No
20,HOMBRE,Ingeniería civil,4,No
18,HOMBRE,Ingeniería civil,4,Sí
19,HOMBRE,Ingeniería civil,4,No
18,MUJER,Ingeniería civil,2,Sí
19,HOMBRE,Ciencia de datos,3,Sí
19,MUJER,Ingeniería ambiental,3,No
18,MUJER,Bioingeniería,1,No
20,HOMBRE,Administración y negocios digitales,2,No
16,HOMBRE,Ingeniería química,1,No
18,HOMBRE,Ingeniería ambiental,1,No
18,HOMBRE,Ciencia de la computación,3,Sí
