"Marca temporal","Edad (años) ","Ingreso mensual (en soles) OPCIONAL","Sexo","Grado de instrucción","¿Cree usted que hay más ventajas de ser hombre, o más ventajas de ser mujer, o no hay diferencia?","¿Piensa usted que las mujeres jóvenes en Perú viven mejor, igual o peor que la generación de sus padres? 1. Mejor 2. Igual 3. Peor","Un hombre que se queda en casa para cuidar a los niños es menos hombre","Me sentiría incómodo si mi jefe fuera mujer","Las mujeres no lograrán la igualdad en Perú a menos que los hombres también tomen acciones para apoyar los derechos de la mujer","Cuidado de los niños y del hogar","“En los negocios“","En el deporte","En los medios de comunicación, incluso la televisión","En las ciencias","En la educación"
"2022/10/16 3:22:31 p. m. GMT-5","19","920","Masculino","Secundaria completa","No hay diferencia","Igual","Desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Poco","Lo necesario","Poco","Poco","Lo necesario","Lo necesario"
"2022/10/16 11:59:59 p. m. GMT-5","19","500","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","Poco","Lo necesario","Poco","Poco"
"2022/10/17 10:26:35 a. m. GMT-5","18","1401.361","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/17 10:31:08 a. m. GMT-5","29","200","Masculino","Superior universitaria incompleta","Más ventajas siendo hombre","Peor","De acuerdo","De acuerdo","De acuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/17 10:40:27 a. m. GMT-5","21","5000 ","Masculino","Secundaria completa","Más ventajas siendo mujer","Igual","Ni de acuerdo ni en desacuerdo","De acuerdo","Desacuerdo","Demasiado","Demasiado","Poco","Lo necesario","No se apoya","No se apoya"
"2022/10/17 10:50:16 a. m. GMT-5","18","0","Masculino","Secundaria completa","Más ventajas siendo hombre","Mejor","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","Demasiado","Lo necesario","Poco","No se apoya","Demasiado","Lo necesario"
"2022/10/17 11:57:58 a. m. GMT-5","18","0","Masculino","Secundaria completa","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Demasiado","Lo necesario","Demasiado"
"2022/10/17 5:10:27 p. m. GMT-5","19","0","Femenino","Secundaria completa","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Poco","Poco","Poco","No se apoya","No se apoya"
"2022/10/20 4:14:48 p. m. GMT-5","19","0","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Igual","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","Poco","Poco","Poco","Lo necesario"
"2022/10/20 4:31:47 p. m. GMT-5","47","1500","Femenino","Superior técnico completo","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","No se apoya","No se apoya","Poco","No se apoya","No se apoya","Poco"
"2022/10/20 4:38:05 p. m. GMT-5","44","1000","Femenino","Secundaria completa","Más ventajas siendo mujer","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Lo necesario","No se apoya","No se apoya","No se apoya","No se apoya","No se apoya"
"2022/10/20 4:39:24 p. m. GMT-5","19","0","Femenino","Superior universitaria incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Lo necesario","Lo necesario","Demasiado","Lo necesario","Lo necesario"
"2022/10/20 4:44:57 p. m. GMT-5","51","1200","Femenino","Secundaria completa","Más ventajas siendo hombre","Igual","Desacuerdo","Desacuerdo","Desacuerdo","Poco","No se apoya","Poco","No se apoya","No se apoya","Poco"
"2022/10/20 4:50:45 p. m. GMT-5","38","1800","Masculino","Secundaria completa","Más ventajas siendo mujer","Mejor","Ni de acuerdo ni en desacuerdo","Desacuerdo","De acuerdo","Demasiado","Poco","Poco","Demasiado","Poco","Poco"
"2022/10/20 5:01:51 p. m. GMT-5","25","3000","Femenino","Superior universitaria completa","Más ventajas siendo mujer","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","No se apoya","Lo necesario","No se apoya","Lo necesario"
"2022/10/20 5:07:22 p. m. GMT-5","48","4000","Masculino","Superior técnico incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","Poco","Poco","Poco","Poco"
"2022/10/20 5:54:23 p. m. GMT-5","21","0","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Demasiado","Lo necesario","Poco","Lo necesario","Poco","Poco"
"2022/10/20 6:16:58 p. m. GMT-5","49","0","Femenino","Superior técnico incompleta","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Lo necesario","Poco","Poco","Poco","Lo necesario"
"2022/10/20 7:02:49 p. m. GMT-5","49","4000","Femenino","Superior universitaria completa","No hay diferencia","Igual","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/20 8:00:13 p. m. GMT-5","19","500","Femenino","Secundaria completa","No hay diferencia","Igual","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/20 8:49:34 p. m. GMT-5","45","3000","Femenino","Superior universitaria completa","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Lo necesario","Demasiado","Demasiado","Lo necesario","Lo necesario","Demasiado"
"2022/10/20 11:24:43 p. m. GMT-5","45","3000","Masculino","Superior universitaria completa","Más ventajas siendo hombre","Mejor","Desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Poco","No se apoya","Poco","Poco","Poco","Poco"
"2022/10/20 11:42:56 p. m. GMT-5","34","0","Masculino","Superior universitaria completa","No hay diferencia","Peor","Desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Demasiado"
"2022/10/21 12:13:33 a. m. GMT-5","49","3000","Masculino","Superior universitaria completa","No hay diferencia","Mejor","Desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Poco","Poco","Poco","Lo necesario","Poco","Poco"
"2022/10/21 12:35:05 a. m. GMT-5","48","2000","Masculino","Superior técnico completo","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Poco","Poco","Poco","Poco","Poco"
"2022/10/21 12:35:08 a. m. GMT-5","48","2000","Masculino","Superior técnico completo","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Poco","Poco","Poco","Poco","Poco"
"2022/10/22 6:05:33 p. m. GMT-5","46","1500","Masculino","Superior técnico incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Poco","No se apoya","Poco","Lo necesario","Lo necesario"
"2022/10/22 6:05:59 p. m. GMT-5","21","1730","Masculino","Secundaria completa","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","Lo necesario","Lo necesario","Poco","Poco"
"2022/10/22 6:07:26 p. m. GMT-5","37","2000","Femenino","Superior técnico completo","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Poco","Lo necesario","Poco","Lo necesario","Lo necesario","Lo necesario"
"2022/10/22 6:08:33 p. m. GMT-5","19","1401.361","Masculino","Superior técnico incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Poco","Lo necesario","Lo necesario","Lo necesario"
"2022/10/22 6:16:36 p. m. GMT-5","46","1401.361","Masculino","Superior universitaria completa","No hay diferencia","Peor","Desacuerdo","Ni de acuerdo ni en desacuerdo","Desacuerdo","No se apoya","Poco","Poco","Poco","Poco","Poco"
"2022/10/22 6:30:18 p. m. GMT-5","43","1401.361","Femenino","Superior técnico completo","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/22 6:33:15 p. m. GMT-5","20","1000","Masculino","Superior universitaria incompleta","No hay diferencia","Igual","Desacuerdo","Desacuerdo","Desacuerdo","Lo necesario","Lo necesario","Poco","Demasiado","Lo necesario","Lo necesario"
"2022/10/22 6:39:43 p. m. GMT-5","43","1401.361","Femenino","Superior técnico completo","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/22 7:00:37 p. m. GMT-5","19","1000","Masculino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Demasiado","Poco"
"2022/10/22 7:06:57 p. m. GMT-5","20","500","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/22 7:12:10 p. m. GMT-5","19","920","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Peor","Desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Poco","Poco","Lo necesario","Poco","Lo necesario","Lo necesario"
"2022/10/22 7:24:28 p. m. GMT-5","19","920","Masculino","Secundaria completa","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Poco","Lo necesario","Lo necesario","Demasiado","Demasiado"
"2022/10/22 7:44:59 p. m. GMT-5","18","1401.361","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Lo necesario","Poco","Lo necesario","Lo necesario","Lo necesario"
"2022/10/22 8:03:09 p. m. GMT-5","22","1260","Masculino","Superior universitaria incompleta","No hay diferencia","Peor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/23 12:12:04 a. m. GMT-5","21","1300","Masculino","Superior universitaria incompleta","Más ventajas siendo mujer","Mejor","Desacuerdo","Ni de acuerdo ni en desacuerdo","Desacuerdo","Lo necesario","Lo necesario","Poco","Demasiado","Lo necesario","Lo necesario"
"2022/10/23 2:14:17 a. m. GMT-5","19","0","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Demasiado","Lo necesario","Poco","Lo necesario","Lo necesario","Lo necesario"
"2022/10/23 9:38:18 p. m. GMT-5","21","1300","Masculino","Superior universitaria incompleta","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Demasiado","Demasiado","Lo necesario","Poco","Poco","Poco"
"2022/10/23 9:39:21 p. m. GMT-5","21","1401.361","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Lo necesario","Poco","Lo necesario","Poco","Poco"
"2022/10/23 9:45:48 p. m. GMT-5","24","1500","Masculino","Superior universitaria completa","No hay diferencia","Peor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Poco","Lo necesario","Poco","Poco","No se apoya","Poco"
"2022/10/23 9:49:03 p. m. GMT-5","33","1401.361","Femenino","Superior técnico completo","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","Poco","Lo necesario","Poco","Poco"
"2022/10/23 9:49:13 p. m. GMT-5","22","1401.361","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Poco","No se apoya","Lo necesario","Poco","Poco"
"2022/10/23 9:52:33 p. m. GMT-5","23","1250","Masculino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Poco","Poco","Poco","Poco","Poco","Poco"
"2022/10/23 9:54:08 p. m. GMT-5","25","2000","Masculino","Superior universitaria completa","Más ventajas siendo mujer","Peor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/23 9:55:58 p. m. GMT-5","23","1401.361","Femenino","Superior universitaria completa","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","Poco","Lo necesario","Lo necesario","Lo necesario"
"2022/10/23 10:00:25 p. m. GMT-5","22","1401.361","Femenino","Superior universitaria completa","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Lo necesario","Poco","No se apoya","Lo necesario","Poco","Poco"
"2022/10/23 10:01:41 p. m. GMT-5","21","1401.361","Masculino","Superior universitaria incompleta","Más ventajas siendo mujer","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Demasiado","Demasiado","Demasiado","Demasiado","Demasiado"
"2022/10/23 10:03:49 p. m. GMT-5","23","1401.361","Femenino","Secundaria completa","Más ventajas siendo mujer","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/23 10:05:29 p. m. GMT-5","21","1401.361","Femenino","Superior técnico incompleta","No hay diferencia","Igual","Desacuerdo","Desacuerdo","Desacuerdo","Lo necesario","Poco","Demasiado","Poco","Lo necesario","Lo necesario"
"2022/10/23 10:06:26 p. m. GMT-5","24","920","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Poco","Lo necesario","Poco","Lo necesario"
"2022/10/23 10:06:55 p. m. GMT-5","26","2000","Femenino","Superior técnico incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","No se apoya","Poco","Poco","Lo necesario"
"2022/10/23 10:07:39 p. m. GMT-5","22","1401.361","Femenino","Secundaria completa","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Demasiado","Demasiado","Demasiado","Demasiado","Demasiado"
"2022/10/23 10:08:23 p. m. GMT-5","22","1401.361","Femenino","Superior universitaria completa","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","No se apoya","Lo necesario","Lo necesario","Poco"
"2022/10/23 10:12:49 p. m. GMT-5","21","500","Masculino","Secundaria completa","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Poco","Poco","Poco","No se apoya","No se apoya","Demasiado"
"2022/10/23 10:22:07 p. m. GMT-5","22","1401.361","Femenino","Superior universitaria incompleta","No hay diferencia","Peor","Desacuerdo","Desacuerdo","De acuerdo","Lo necesario","Poco","Poco","Poco","Poco","Poco"
"2022/10/23 10:25:35 p. m. GMT-5","19","1401.361","Femenino","Secundaria completa","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","Poco","No se apoya","Lo necesario","Lo necesario","Lo necesario"
"2022/10/23 10:26:56 p. m. GMT-5","24","0","Masculino","Superior técnico completo","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Lo necesario","Poco","Poco","Lo necesario","Lo necesario"
"2022/10/23 10:34:52 p. m. GMT-5","31","500","Masculino","Secundaria completa","Más ventajas siendo mujer","Mejor","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/23 11:00:35 p. m. GMT-5","24","920","Femenino","Secundaria completa","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Poco","Poco","Lo necesario"
"2022/10/23 11:02:52 p. m. GMT-5","26","1200","Femenino","Superior universitaria completa","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","Poco","Poco","Poco","Poco"
"2022/10/23 11:08:02 p. m. GMT-5","26","1401.361","Femenino","Superior universitaria completa","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Poco","Poco","Poco","Poco","Lo necesario"
"2022/10/23 11:35:40 p. m. GMT-5","22","2000","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Lo necesario","Lo necesario","Lo necesario","Poco","Lo necesario"
"2022/10/23 11:47:23 p. m. GMT-5","25","2500","Masculino","Superior universitaria completa","Más ventajas siendo hombre","Peor","De acuerdo","De acuerdo","Desacuerdo","Lo necesario","No se apoya","No se apoya","No se apoya","No se apoya","No se apoya"
"2022/10/23 11:49:43 p. m. GMT-5","42","1401.361","Femenino","Superior técnico completo","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Poco","No se apoya","Poco","Poco","Poco"
"2022/10/24 12:14:44 a. m. GMT-5","23","2000","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","Lo necesario","Demasiado","No se apoya","Lo necesario"
"2022/10/24 7:06:38 a. m. GMT-5","34","1025","Femenino","Superior técnico incompleta","No hay diferencia","Peor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","No se apoya","Poco","Poco","Poco","No se apoya","Poco"
"2022/10/24 7:37:02 a. m. GMT-5","20",".","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Ni de acuerdo ni en desacuerdo","Desacuerdo","Desacuerdo","Demasiado","Lo necesario","Lo necesario","Demasiado","Demasiado","Demasiado"
"2022/10/24 1:47:31 p. m. GMT-5","41","1401.361","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","Poco","Lo necesario","Poco","Lo necesario"
"2022/10/24 4:08:02 p. m. GMT-5","23","1000","Masculino","Superior universitaria incompleta","Más ventajas siendo mujer","Peor","Desacuerdo","Desacuerdo","De acuerdo","Poco","Poco","Poco","Poco","Poco","Poco"
"2022/10/24 4:14:49 p. m. GMT-5","21","1401.361","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","No se apoya","Poco","Demasiado","Poco","Poco"
"2022/10/24 5:08:32 p. m. GMT-5","21","1050","Masculino","Superior universitaria incompleta","No hay diferencia","Peor","Desacuerdo","Desacuerdo","Desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/24 5:22:42 p. m. GMT-5","22","1401.361","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Demasiado","Demasiado","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/24 5:27:56 p. m. GMT-5","21","1401.361","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/24 5:34:51 p. m. GMT-5","32","1401.361","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Demasiado","Demasiado","Demasiado","Demasiado","Demasiado","Demasiado"
"2022/10/24 5:45:10 p. m. GMT-5","21","3480","Masculino","Superior universitaria incompleta","No hay diferencia","Mejor","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Poco","Lo necesario","No se apoya","Lo necesario","Lo necesario","Poco"
"2022/10/24 5:48:14 p. m. GMT-5","20","1090","Masculino","Superior técnico incompleta","Más ventajas siendo mujer","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Poco","Lo necesario","Poco","Poco","Poco","Poco"
"2022/10/24 5:49:51 p. m. GMT-5","22","550","Masculino","Superior universitaria incompleta","No hay diferencia","Igual","Desacuerdo","Desacuerdo","Desacuerdo","Lo necesario","Lo necesario","Demasiado","Lo necesario","Lo necesario","Demasiado"
"2022/10/24 8:05:34 p. m. GMT-5","43","2500","Femenino","Superior universitaria incompleta","No hay diferencia","Mejor","Desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Poco","No se apoya","Poco","Poco","Poco","Poco"
"2022/10/24 8:09:19 p. m. GMT-5","21","1960","Masculino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Desacuerdo","Poco","Lo necesario","Lo necesario","Demasiado","Poco","Demasiado"
"2022/10/24 8:11:24 p. m. GMT-5","50","1401.361","Femenino","Superior universitaria completa","No hay diferencia","Peor","Desacuerdo","Desacuerdo","De acuerdo","No se apoya","No se apoya","Poco","No se apoya","No se apoya","Poco"
"2022/10/25 3:37:14 a. m. GMT-5","45","1401.361","Masculino","Superior técnico incompleta","No hay diferencia","Mejor","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","No se apoya","Demasiado","No se apoya","No se apoya"
"2022/10/25 1:07:21 p. m. GMT-5","21","1100","Masculino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Demasiado","Lo necesario","Poco","Lo necesario","Lo necesario","Lo necesario"
"2022/10/25 4:08:51 p. m. GMT-5","21","700","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario","Lo necesario"
"2022/10/26 6:45:58 a. m. GMT-5","25","200","Femenino","Secundaria completa","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","De acuerdo","Poco","No se apoya","Poco","Poco","Poco","Lo necesario"
"2022/10/26 6:46:11 a. m. GMT-5","25","200","Femenino","Secundaria completa","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","De acuerdo","Demasiado","No se apoya","Poco","Lo necesario","Poco","Demasiado"
"2022/10/28 12:15:38 a. m. GMT-5","19","1401.361","Femenino","Superior universitaria incompleta","Más ventajas siendo hombre","Mejor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Poco","Lo necesario","Lo necesario","Poco","Lo necesario"
"2022/10/29 10:20:12 a. m. GMT-5","24","200","Femenino","Secundaria completa","Más ventajas siendo hombre","Peor","Desacuerdo","Desacuerdo","Ni de acuerdo ni en desacuerdo","Lo necesario","Demasiado","Demasiado","Demasiado","Poco","Poco"
