Género,¿Cuántos años tienes?,¿Cuál es tu nivel socioeconómico?,¿Cuántos productos en cosméticos compras al mes?,¿Cuántos productos de cuidado personal compras al mes?,Gasto promedio mensual en productos de cuidado personal,Gasto promedio mensual en productos cosméticos,"Entre las marcas de cuidado personal mencionadas a continuación, ¿cuál usas más?","Entre las marcas de cosmética mencionadas a continuación, ¿cuál usas más?",¿En qué provincia te encuentras? ,¿En que distrito resides?,¿En que distrito resides?,¿En que distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿En qué distrito resides?,¿La calidad influye en tu elección de compra de productos de higiene personal y cosméticos?,¿La popularidad influye en tu elección de compra de productos de higiene personal y cosméticos?,¿La recomendación influye en tu elección de compra de productos de higiene personal y cosméticos?,¿La cantidad del producto influye en tu elección de compra de productos de higiene personal y cosméticos?,¿El precio influye en tu elección de compra de productos de higiene personal y cosméticos?,¿ Qué sea cruelty free  influye en tu elección de compra de productos de higiene personal y cosméticos?,¿Cuanto te cuidas del 1 al 10? ( siendo 1 nada y 10 bastante),"Al mes, ¿cuántas veces has visto alguna publicidad sobre el maltrato animal que implique a una marca de  productos de cuidado personal o cosméticos?","En base a la pregunta anterior, a partir de la publicidad contra el maltrato animal, ¿dejaste de comprar productos que testean en animales o continuaste usándolos?","Si en la pregunta anterior mascaste que Sí,  ¿cuántos productos, aproximadamente, que aún testean en animales dejaste de comprar (mensualmente)?",¿ Cuantas marcas cruelty free que aparecen en la imagen conoces?        ,¿ Cuantas marcas que aún hacen pruebas con animales que aparecen en la imagen conoces?         
Masculino,20,E - Ingreso mensual promedio de S/. 1 977,0,0,0,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,Santiago de Surco,,,,,,,,,Sí,No,Sí,Sí,Sí,No,6,0,"No, continué usándolos",1,2,13
Masculino,17,C - Ingreso mensual promedio de S/. 4 160,1,2,50,30,Gillette,AVON,Lima,Villa el Salvador,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,7,1,"No, continué usándolos",,6,5
Masculino,19,A - Ingreso mensual promedio de S/.13 000,0,1,40,0,Pantene,Ninguna (No uso cosméticos),Lima,San isidro,,,,,,,,,Sí,No,Sí,No,Sí,Sí,6,1,"No, continué usándolos",,2,8
Femenino,20,E - Ingreso mensual promedio de S/. 1 977,3,3,70,70,Ninguna (No uso estas marcas de cuidado personal),AVON,Lima,Comas,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,5,5,"Sí, deje de comprar productos que aún testean en animales",7,1,3
Femenino,22,D - Ingreso mensual promedio de S/. 2 760,0,3,20,0,Dove,Ninguna (No uso cosméticos),Lima,San Luis,,,,,,,,,Sí,No,Sí,No,Sí,No,7,6,"Sí, deje de comprar productos que aún testean en animales",2,2,12
Femenino,18,B - Ingreso mensual promedio de S/. 7 230,2,4,120,300,L'Oréal Paris,ésika,Lima,Barranco,,,,,,,,,Sí,Sí,No,No,No,Sí,10,6,"No, continué usándolos",,0,9
Masculino,20,B - Ingreso mensual promedio de S/. 7 230,1,5,20,0,Dove,Natura,Lima,San Juan de Miraflores,,,,,,,,,Sí,Sí,Sí,No,Sí,No,6,0,"No, continué usándolos",,6,5
Femenino,18,A - Ingreso mensual promedio de S/.13 000,1,8,500,150,Ninguna (No uso estas marcas de cuidado personal),ésika,Huancayo,El Tambo,,El Tambo,,,,,,,Sí,No,Sí,No,No,No,7,0,"No, continué usándolos",,0,0
Masculino,18,D - Ingreso mensual promedio de S/. 2 760,0,3,50,20,Dove,Uso otras marcas,Lima,San Miguel,,,,,,,,,Sí,No,Sí,No,No,No,6,0,"No, continué usándolos",,1,2
Masculino,19,A - Ingreso mensual promedio de S/.13 000,0,4,35,0,L'Oréal Paris,Ninguna (No uso cosméticos),Lima,Miraflores,,,,,,,,,Sí,No,Sí,Sí,Sí,No,6,2,"No, continué usándolos",,2,5
Femenino,19,E - Ingreso mensual promedio de S/. 1 977,1,1,30,30,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,Ate,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,4,1,"No, continué usándolos",,4,6
Femenino,15,A - Ingreso mensual promedio de S/.13 000,0,4,15,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,Ate,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,3,1,"Sí, deje de comprar productos que aún testean en animales",5,4,2
Femenino,19,E - Ingreso mensual promedio de S/. 1 977,5,6,230,480,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,Miraflores,,,,,,,,,Sí,No,No,No,Sí,Sí,7,3,"Sí, deje de comprar productos que aún testean en animales",4,17,13
Femenino,37,E - Ingreso mensual promedio de S/. 1 977,0,3,50,0,Dove,AVON,Lima,Comas,,,,,,,,,Sí,Sí,Sí,No,Sí,Sí,7,6,"Sí, deje de comprar productos que aún testean en animales",5,5,7
Otro,19,D - Ingreso mensual promedio de S/. 2 760,3,7,150,50,Dove,Uso otras marcas,Lima,San Miguel,,,,,,,,,Sí,No,Sí,No,Sí,Sí,8,6,"Sí, deje de comprar productos que aún testean en animales",3,10,6
Femenino,40,B - Ingreso mensual promedio de S/. 7 230,1,2,100,80,Pantene,Natura,Lima,Surquillo,,,,,,,,,Sí,No,Sí,No,No,No,5,0,"No, continué usándolos",,5,3
Femenino,19,A - Ingreso mensual promedio de S/.13 000,1,3,50,70,L'Oréal Paris,Uso otras marcas,Lima,San isidro,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,6,6,"Sí, deje de comprar productos que aún testean en animales",,12,13
Femenino,22,D - Ingreso mensual promedio de S/. 2 760,10,6,200,400,L'Oréal Paris,Natura,Lima,Los olivos,,,,,,,,,Sí,No,No,No,No,Sí,8,4,"Sí, deje de comprar productos que aún testean en animales",3,8,5
Masculino,21,D - Ingreso mensual promedio de S/. 2 760,0,2,20,20,Asepsia,AVON,Lima,Miraflores,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,8,4,"Sí, deje de comprar productos que aún testean en animales",1,2,0
Masculino,19,B - Ingreso mensual promedio de S/. 7 230,2,2,100,200,Gillette,Cyzone,Lima,Los olivos,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,8,6,"No, continué usándolos",,5,3
Femenino,18,A - Ingreso mensual promedio de S/.13 000,0,1,5,0,Ninguna (No uso estas marcas de cuidado personal),ésika,Lima,Ate,,,,,,,,,Sí,Sí,Sí,No,Sí,No,2,1,"Sí, deje de comprar productos que aún testean en animales",1,5,7
Femenino,19,A - Ingreso mensual promedio de S/.13 000,5,2,120,50,Dove,Natura,Lima,Chorrillos,,,,,,,,,Sí,Sí,Sí,Sí,No,Sí,9,10,"Sí, deje de comprar productos que aún testean en animales",2,4,10
Femenino,19,D - Ingreso mensual promedio de S/. 2 760,1,10,60,30,Pantene,Cyzone,Lima,Villa el Salvador,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,7,4,"Sí, deje de comprar productos que aún testean en animales",3,3,6
Femenino,15,B - Ingreso mensual promedio de S/. 7 230,0,3,50,0,Dove,Ninguna (No uso cosméticos),Lima,San Juan de Miraflores,,,,,,,,,Sí,Sí,No,Sí,Sí,Sí,6,4,"No, continué usándolos",,3,7
Femenino,19,D - Ingreso mensual promedio de S/. 2 760,3,10,60,30,Garnier,Natura,Huancayo,Pilcomayo,,Pilcomayo,,,,,,,Sí,No,Sí,Sí,Sí,Sí,10,4,"Sí, deje de comprar productos que aún testean en animales",5,2,5
Femenino,19,A - Ingreso mensual promedio de S/.13 000,0,1,150,0,Garnier,Ninguna (No uso cosméticos),Lima,Chorrillos,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,7,0,"Sí, deje de comprar productos que aún testean en animales",2,4,12
Masculino,18,B - Ingreso mensual promedio de S/. 7 230,0,3,50,0,Gillette,Ninguna (No uso cosméticos),Arequipa,Yanahuara,,,,,Yanahuara,,,,Sí,No,Sí,No,No,No,6,0,"No, continué usándolos",,2,9
Masculino,20,E - Ingreso mensual promedio de S/. 1 977,0,3,18,0,Dove,Ninguna (No uso cosméticos),Lima,Lima,,,,,,,,,Sí,No,Sí,Sí,No,No,6,8,"Sí, deje de comprar productos que aún testean en animales",2,7,5
Masculino,19,B - Ingreso mensual promedio de S/. 7 230,3,2,200,100,Asepsia,Natura,Lima,Barranco,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,7,6,"No, continué usándolos",,2,4
Femenino,18,A - Ingreso mensual promedio de S/.13 000,0,3,100,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,Barranco,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,5,1,"Sí, deje de comprar productos que aún testean en animales",1,1,9
Masculino,51,D - Ingreso mensual promedio de S/. 2 760,1,2,20,50,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Huancayo,Chilca,,Chilca,,,,,,,Sí,No,No,Sí,Sí,No,7,0,"No, continué usándolos",1,0,10
Masculino,18,A - Ingreso mensual promedio de S/.13 000,15,5,150,100,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,Santiago de Surco,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,8,3,"Sí, deje de comprar productos que aún testean en animales",3,15,6
Masculino,19,C - Ingreso mensual promedio de S/. 4 160,0,5,100,0,Pantene,Ninguna (No uso cosméticos),Callao,La Perla,,,La Perla,,,,,,Sí,No,No,Sí,Sí,Sí,8,0,,,2,3
Femenino,20,B - Ingreso mensual promedio de S/. 7 230,3,5,30,70,Pantene,L'BEL,Lima,Villa el Salvador,,,,,,,,,Sí,Sí,No,No,No,No,7,2,"No, continué usándolos",,9,10
Masculino,21,E - Ingreso mensual promedio de S/. 1 977,1,12,30,0,Pantene,Uso otras marcas,Chiclayo,Chiclayo,Chiclayo,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,7,1,"Sí, deje de comprar productos que aún testean en animales",1,2,4
Femenino,19,A - Ingreso mensual promedio de S/.13 000,3,4,30,60,Dove,Natura,Lima,Chorrillos,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,7,1,"Sí, deje de comprar productos que aún testean en animales",3,6,9
Femenino,19,D - Ingreso mensual promedio de S/. 2 760,2,4,30,50,Ninguna (No uso estas marcas de cuidado personal),ésika,Lima,Jesús maría,,,,,,,,,Sí,Sí,Sí,Sí,Sí,No,7,8,"No, continué usándolos",,4,9
Femenino,19,D - Ingreso mensual promedio de S/. 2 760,2,1,25,25,Pantene,ésika,Lima,Jesús maría,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,10,2,,,5,3
Masculino,18,A - Ingreso mensual promedio de S/.13 000,0,4,350,0,L'Oréal Paris,Ninguna (No uso cosméticos),Lima,Breña,,,,,,,,,Sí,Sí,Sí,Sí,No,Sí,6,1,,,6,5
Femenino,25,C - Ingreso mensual promedio de S/. 4 160,4,15,450,150,Dove,Natura,Callao,La Punta,,,La Punta,,,,,,Sí,No,Sí,No,Sí,Sí,8,0,,,6,10
Femenino,19,B - Ingreso mensual promedio de S/. 7 230,1,2,80,40,Ninguna (No uso estas marcas de cuidado personal),Natura,Lima,Lince,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,9,1,"Sí, deje de comprar productos que aún testean en animales",3,7,9
Femenino,18,D - Ingreso mensual promedio de S/. 2 760,0,3,80,200,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,Santa Anita,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,8,10,"Sí, deje de comprar productos que aún testean en animales",,3,7
Femenino,17,E - Ingreso mensual promedio de S/. 1 977,1,4,60,50,Pantene,Natura,Lima,San Juan de Miraflores,,,,,,,,,Sí,No,Sí,No,Sí,Sí,7,6,"Sí, deje de comprar productos que aún testean en animales",2,6,11
Masculino,19,E - Ingreso mensual promedio de S/. 1 977,1,2,35,5,Ninguna (No uso estas marcas de cuidado personal),Natura,Lima,Jesús maría,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,8,0,"Sí, deje de comprar productos que aún testean en animales",1,0,0
Masculino,23,E - Ingreso mensual promedio de S/. 1 977,0,5,30,0,Dove,Ninguna (No uso cosméticos),Lima,Comas,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,8,1,"Sí, deje de comprar productos que aún testean en animales",1,3,5
Femenino,20,E - Ingreso mensual promedio de S/. 1 977,2,3,50,30,Asepsia,Natura,Lima,Lima,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,9,10,"Sí, deje de comprar productos que aún testean en animales",3,10,11
Masculino,17,B - Ingreso mensual promedio de S/. 7 230,2,5,50,20,Dove,Uso otras marcas,Lima,San borja,,,,,,,,,Sí,No,Sí,No,Sí,No,5,0,"No, continué usándolos",,0,4
Masculino,19,E - Ingreso mensual promedio de S/. 1 977,5,5,100,78,Pantene,ésika,Lima,San Juan de Lurigancho,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,5,1,"Sí, deje de comprar productos que aún testean en animales",1,0,3
Femenino,19,A - Ingreso mensual promedio de S/.13 000,1,5,80,20,Pantene,Uso otras marcas,Lima,San isidro,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,8,1,"Sí, deje de comprar productos que aún testean en animales",1,5,13
Femenino,18,D - Ingreso mensual promedio de S/. 2 760,3,1,60,80,Ninguna (No uso estas marcas de cuidado personal),AVON,Lima,Lurín,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,7,2,"No, continué usándolos",,3,4
Femenino,19,A - Ingreso mensual promedio de S/.13 000,3,5,100,150,Ninguna (No uso estas marcas de cuidado personal),Natura,Lima,Barranco,,,,,,,,,Sí,Sí,Sí,No,No,Sí,9,1,"Sí, deje de comprar productos que aún testean en animales",1,5,7
Otro,18,E - Ingreso mensual promedio de S/. 1 977,3,5,250,0,Gillette,Natura,Lima,Santiago de Surco,,,,,,,,,Sí,Sí,Sí,No,No,No,7,10,"No, continué usándolos",,4,13
Masculino,20,E - Ingreso mensual promedio de S/. 1 977,0,5,26,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,Santiago de Surco,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,8,1,"Sí, deje de comprar productos que aún testean en animales",1,5,4
Masculino,19,A - Ingreso mensual promedio de S/.13 000,1,5,100,30,Dove,Uso otras marcas,Lima,Santiago de Surco,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,8,3,"Sí, deje de comprar productos que aún testean en animales",3,5,4
Otro,18,B - Ingreso mensual promedio de S/. 7 230,3,2,200,200,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,Pueblo libre,,,,,,,,,Sí,Sí,Sí,No,Sí,Sí,8,1,"Sí, deje de comprar productos que aún testean en animales",5,18,9
Femenino,19,A - Ingreso mensual promedio de S/.13 000,0,2,50,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,Santiago de Surco,,,,,,,,,Sí,No,Sí,No,Sí,Sí,7,0,,,3,6
Femenino,20,C - Ingreso mensual promedio de S/. 4 160,0,2,50,0,Dove,Ninguna (No uso cosméticos),Lima,La molina,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,8,5,"Sí, deje de comprar productos que aún testean en animales",2,6,12
Femenino,36,D - Ingreso mensual promedio de S/. 2 760,1,1,50,50,L'Oréal Paris,ésika,Lima,Lima,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,6,1,"Sí, deje de comprar productos que aún testean en animales",1,3,8
Masculino,22,B - Ingreso mensual promedio de S/. 7 230,0,5,30,0,Gillette,Ninguna (No uso cosméticos),Lima,Jesús maría,,,,,,,,,Sí,No,Sí,Sí,Sí,No,5,2,"No, continué usándolos",,3,2
Masculino,19,C - Ingreso mensual promedio de S/. 4 160,0,4,0,150,Gillette,Ninguna (No uso cosméticos),Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,Sí,Sí,No,No,No,8,1,"Sí, deje de comprar productos que aún testean en animales",1,2,5
Masculino,19,B - Ingreso mensual promedio de S/. 7 230,2,13,200,70,Gillette,Natura,Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,Sí,Sí,Sí,Sí,No,6,2,"Sí, deje de comprar productos que aún testean en animales",3,4,3
Masculino,19,E - Ingreso mensual promedio de S/. 1 977,5,3,40,30,Pantene,Natura,Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,Sí,No,No,No,No,6,1,"No, continué usándolos",1,1,3
Femenino,17,C - Ingreso mensual promedio de S/. 4 160,2,5,200,200,Garnier,Uso otras marcas,Lima,San Juan de Lurigancho,,,,,,,,,Sí,Sí,Sí,No,No,No,7,10,"Sí, deje de comprar productos que aún testean en animales",2,10,11
Femenino,19,C - Ingreso mensual promedio de S/. 4 160,0,2,15,0,Dove,Ninguna (No uso cosméticos),Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,Sí,Sí,Sí,Sí,Sí,7,3,"Sí, deje de comprar productos que aún testean en animales",3,6,7
Femenino,49,C - Ingreso mensual promedio de S/. 4 160,1,4,400,250,Dove,Uso otras marcas,Huancayo,Pilcomayo,,Pilcomayo,,,,,,,Sí,No,Sí,No,No,Sí,6,1,"Sí, deje de comprar productos que aún testean en animales",1,3,9
Masculino,60,E - Ingreso mensual promedio de S/. 1 977,0,2,70,0,Gillette,Ninguna (No uso cosméticos),Huancayo,Pilcomayo,,Pilcomayo,,,,,,,Sí,No,Sí,Sí,Sí,No,2,0,"No, continué usándolos",,0,4
Femenino,24,E - Ingreso mensual promedio de S/. 1 977,5,5,150,180,Ninguna (No uso estas marcas de cuidado personal),Natura,Lima,Ate,,,,,,,,,Sí,No,Sí,No,No,Sí,6,9,"Sí, deje de comprar productos que aún testean en animales",3,5,6
Masculino,20,C - Ingreso mensual promedio de S/. 4 160,0,1,50,0,Gillette,Uso otras marcas,Lima,San Miguel,,,,,,,,,Sí,Sí,Sí,No,Sí,Sí,5,2,"Sí, deje de comprar productos que aún testean en animales",1,4,2
Femenino,18,E - Ingreso mensual promedio de S/. 1 977,2,1,30,40,Ninguna (No uso estas marcas de cuidado personal),AVON,Lima,Comas,,,,,,,,,No,No,No,Sí,Sí,Sí,6,4,"Sí, deje de comprar productos que aún testean en animales",3,4,8
Femenino,19,D - Ingreso mensual promedio de S/. 2 760,1,4,300,150,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Lima,San Juan de Lurigancho,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,8,2,"Sí, deje de comprar productos que aún testean en animales",2,4,0
Masculino,18,D - Ingreso mensual promedio de S/. 2 760,0,5,40,0,Asepsia,Ninguna (No uso cosméticos),Lima,Los olivos,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,6,2,"No, continué usándolos",,2,1
Masculino,20,D - Ingreso mensual promedio de S/. 2 760,1,3,200,50,Gillette,Natura,Lima,San Miguel,,,,,,,,,Sí,Sí,Sí,Sí,Sí,No,5,1,"No, continué usándolos",,2,5
Femenino,19,C - Ingreso mensual promedio de S/. 4 160,1,6,500,0,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Lima,La molina,,,,,,,,,Sí,Sí,No,No,No,No,9,5,"No, continué usándolos",,2,7
Masculino,18,C - Ingreso mensual promedio de S/. 4 160,0,2,20,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Huancayo,Huancayo,,Huancayo,,,,,,,Sí,No,Sí,Sí,No,Sí,9,2,"Sí, deje de comprar productos que aún testean en animales",1,4,9
Femenino,19,E - Ingreso mensual promedio de S/. 1 977,0,2,30,0,Garnier,Ninguna (No uso cosméticos),Lima,Villa el Salvador,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,7,2,"No, continué usándolos",,0,4
Femenino,18,C - Ingreso mensual promedio de S/. 4 160,1,1,30,50,Ninguna (No uso estas marcas de cuidado personal),ésika,Huancayo,Huancayo,,Huancayo,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,7,1,"No, continué usándolos",,3,0
Masculino,20,E - Ingreso mensual promedio de S/. 1 977,0,20,50,100,Pantene,Ninguna (No uso cosméticos),Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,Sí,Sí,Sí,Sí,Sí,9,7,"No, continué usándolos",5,18,10
Femenino,17,C - Ingreso mensual promedio de S/. 4 160,0,5,50,0,Dove,Natura,Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,No,No,Sí,Sí,Sí,10,2,"Sí, deje de comprar productos que aún testean en animales",3,2,3
Masculino,19,B - Ingreso mensual promedio de S/. 7 230,3,2,50,50,Gillette,Natura,Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,No,Sí,No,No,Sí,7,5,"Sí, deje de comprar productos que aún testean en animales",1,16,13
Masculino,26,D - Ingreso mensual promedio de S/. 2 760,0,4,30,0,Ninguna (No uso estas marcas de cuidado personal),Ninguna (No uso cosméticos),Oxapampa,Chontabamba,,,,,,,Chontabamba,,Sí,No,Sí,No,Sí,No,8,0,"Sí, deje de comprar productos que aún testean en animales",1,4,2
Masculino,19,D - Ingreso mensual promedio de S/. 2 760,2,4,400,150,Dove,Natura,Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,No,Sí,Sí,Sí,Sí,5,4,"Sí, deje de comprar productos que aún testean en animales",2,7,2
Masculino,19,E - Ingreso mensual promedio de S/. 1 977,12,12,340,300,Gillette,ésika,Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,No,No,No,No,No,9,3,"Sí, deje de comprar productos que aún testean en animales",13,3,4
Masculino,16,C - Ingreso mensual promedio de S/. 4 160,0,4,35,0,Pantene,Ninguna (No uso cosméticos),Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,Sí,Sí,Sí,No,Sí,7,1,"Sí, deje de comprar productos que aún testean en animales",1,2,6
Femenino,19,D - Ingreso mensual promedio de S/. 2 760,2,3,50,10,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,No,Sí,No,No,Sí,5,2,"Sí, deje de comprar productos que aún testean en animales",3,18,13
Masculino,19,C - Ingreso mensual promedio de S/. 4 160,1,4,200,30,Ninguna (No uso estas marcas de cuidado personal),ésika,Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,No,No,No,No,Sí,9,6,"Sí, deje de comprar productos que aún testean en animales",1,2,3
Femenino,29,D - Ingreso mensual promedio de S/. 2 760,0,10,100,0,Ninguna (No uso estas marcas de cuidado personal),Natura,Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,No,Sí,No,No,No,10,5,"Sí, deje de comprar productos que aún testean en animales",10,3,5
Femenino,18,C - Ingreso mensual promedio de S/. 4 160,1,7,400,70,Ninguna (No uso estas marcas de cuidado personal),Natura,Huancayo,Pilcomayo,,Pilcomayo,,,,,,,Sí,No,No,No,No,Sí,8,5,"Sí, deje de comprar productos que aún testean en animales",4,8,11
Femenino,19,C - Ingreso mensual promedio de S/. 4 160,2,3,50,50,Ninguna (No uso estas marcas de cuidado personal),Uso otras marcas,Oxapampa,Oxapampa,,,,,,,Oxapampa,,Sí,Sí,Sí,No,Sí,Sí,8,10,"Sí, deje de comprar productos que aún testean en animales",3,4,8
Masculino,20,E - Ingreso mensual promedio de S/. 1 977,0,7,50,0,Dove,Ninguna (No uso cosméticos),Lima,San Martin de Porres,,,,,,,,,Sí,No,Sí,Sí,Sí,Sí,7,5,"Sí, deje de comprar productos que aún testean en animales",1,4,5
