Marca temporal,¿En que ciclo estas?,Edad (en años),¿Con quién vive usted?,¿Usted ha gastado alguna vez dinero en videojuegos?,¿Con cuál o cuales de estos dispositivos electrónicos dispone?,¿Qué género de videojuego frecuenta más o es su preferido?,¿Qué opina acerca del dinero que las personas invierten en videojuegos?,"¿Qué tan seguido compra algo referente a videojuegos? (Acessorios, Ropa, Libros, etc.)",¿Cuál es el método de pago favorito que preferiría al comprar videojuegos?,¿Qué plataforma usa para comprar videojuegos o contenido adicional?,¿Tiene una forma de ingreso económico propio?,"¿Cuánto tiempo (en horas) le dedica a jugar videojuegos por semana?
Ejemplo: Si le dedica a jugar 5 horas 35 minutos, debe ingresar 5.35
Si no le dedica nada de tiempo a jugar, debe ingresar 0.","¿Cuánto dinero (en soles) gastó en comprar videojuegos como máximo? 
Ejemplo: Si gastó 123, 40, debe ingresar 123.40.
Si no gastó nada, debe ingresar 0.","¿Cuánto dinero (en soles) gastó en  (skins, pase de batalla, DLCs, etc.) como máximo? 
Ejemplo: Si gastó 123, 40 soles, debe ingresar 123.40.
Si no gastó nada, debe ingresar 0.","¿Cuánto dinero (en soles)  gastó en comprar periféricos (teclado, mouse, audífonos, mandos) como máximo? 
Ejemplo: Si gastó 123, 40, debe ingresar 123.40.
Si no gastó nada, debe ingresar 0.",¿Dónde prefieres comprar tus videojuegos?,Dirección de correo electrónico
3/05/2023 8:54:37,10,22,Vivo con algun Familiar,Si,"Laptop, PlayStation, Celular/Tablet/Ipad",Juegos campaña,3,No compro,"Tarjeta de crédito, Tarjeta de débito",PlayStation,No,0.30,0,0,0,Tienda fisica,mauricio.rivera@utec.edu.pe
3/05/2023 8:56:46,4,20,Vivo con algun Familiar,Si,"PC, Laptop, PlayStation, Celular/Tablet/Ipad",MOBA (Multiplayer Online Battle Arena),3,1 vez al año,"Tarjeta de crédito, Aplicativo movil (Yape/Plin)","Steam, PlayStation",No,8.00,0,0,0,Online,jorge.zuniga@utec.edu.pe
3/05/2023 8:57:13,3,18,Vivo con algun Familiar,Si,"PC, PlayStation, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters",2,Cada 3 meses,"Tarjeta de crédito, Tarjeta de débito","Steam, Epic Games, Origin, PlayStation, Google Play / App Store",Si,21,0,0,50,Online,sofia.poblete@utec.edu.pe
3/05/2023 9:10:47,3,18,Vivo con roommates (Compañeros de cuarto),Si,"PC, Laptop","MOBA (Multiplayer Online Battle Arena), Shooters",2,Cada 3 meses,Efectivo,"Steam, Epic Games, Origin",Si,15,27.5,7,0,Tienda fisica,sebastian.moreno@utec.edu.pe
3/05/2023 12:05:44,3,19,Vivo solo,Si,"PC, Laptop","Shooters, Juegos campaña",3,Cada 6 meses,"Efectivo, Tarjeta de crédito, Aplicativo movil (Yape/Plin)","Steam, Epic Games, Google Play / App Store",No,7,50,100,0,Online,
3/05/2023 12:09:42,3,18,Vivo con algun Familiar,Si,"PC, Laptop, PlayStation, Celular/Tablet/Ipad","Shooters, Juegos campaña",2,Cada 3 meses,"Tarjeta de débito, Aplicativo movil (Yape/Plin)","Steam, Epic Games, PlayStation, Google Play / App Store",Si,2.3,20,0,360,Online,
3/05/2023 12:18:31,5,22,Vivo solo,Si,"PC, Laptop, Celular/Tablet/Ipad",MOBA (Multiplayer Online Battle Arena),1,1 - 3 veces al mes,Tarjeta de crédito,Steam,Si,20,0,120,0,Online,
3/05/2023 12:25:32,6,19,Vivo con algun Familiar,Si,PC,Shooters,2,Cada 3 meses,Tarjeta de crédito,Epic Games,No,12,0,59,35,Online,
3/05/2023 12:34:04,8,23,Vivo solo,No,"PC, Laptop, Celular/Tablet/Ipad",Juegos campaña,3,No compro,Efectivo,Steam,Si,5,0,0,0,Tienda fisica,
3/05/2023 13:27:49,4,18,Vivo con algun Familiar,Si,"PC, PlayStation","Shooters, Juegos campaña",2,Cada 6 meses,Tarjeta de crédito,PlayStation,No,7,156,12,0,Online,
3/05/2023 14:05:27,3,19,Vivo con algun Familiar,Si,"PC, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Juegos campaña",3,1 vez al año,"Efectivo, Tarjeta de crédito",Steam,No,0.15,15,0,0,Online,
3/05/2023 14:13:41,3,18,Vivo con algun Familiar,No,"PC, Laptop, PlayStation, Celular/Tablet/Ipad",FIFA,3,No compro,Tarjeta de débito,"Steam, PlayStation",No,3,0,0,0,Online,
3/05/2023 14:24:54,3,17,Vivo con algun Familiar,Si,PC,"Shooters, MMO (Masive Multiplayer Online)",2,Cada 3 meses,Tarjeta de crédito,Steam,No,17.30,93,32,150,Online,
3/05/2023 14:45:25,3,18,Vivo con algun Familiar,Si,"PC, Laptop, PlayStation, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters, MMO (Masive Multiplayer Online), Juegos campaña",1,Cada 3 meses,"Tarjeta de débito, Aplicativo movil (Yape/Plin)","Steam, Blizzard, Epic Games, Origin, PlayStation, Google Play / App Store",Si,40,60,70,150,Online,
3/05/2023 15:12:45,3,18,Vivo con algun Familiar,Si,"PC, Laptop, Celular/Tablet/Ipad",Shooters,2,Cada 3 meses,Efectivo,Steam,No,2,80,25,80,Online,
3/05/2023 15:41:11,2,16,Vivo con algun Familiar,Si,PC,"MOBA (Multiplayer Online Battle Arena), Shooters",2,Cada 3 meses,Tarjeta de crédito,"Steam, Epic Games",No,14,95.50,32,250,Online,
3/05/2023 15:44:53,1,17,Vivo con algun Familiar,Si,"PC, Laptop, Celular/Tablet/Ipad",Shooters,2,1 - 3 veces al mes,"Tarjeta de crédito, Tarjeta de débito, Aplicativo movil (Yape/Plin)",Steam,Si,6,50,300,250,Online,
3/05/2023 15:46:39,5,18,Vivo con algun Familiar,Si,"PC, Laptop","MOBA (Multiplayer Online Battle Arena), MMO (Masive Multiplayer Online)",3,1 - 3 veces al mes,Tarjeta de crédito,"Steam, Blizzard, Epic Games",Si,10,210.50,52,300,Online,
3/05/2023 15:47:53,4,18,Vivo con algun Familiar,Si,"PC, Laptop, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters, MMO (Masive Multiplayer Online), Juegos campaña",3,1 - 3 veces por semana,"Tarjeta de crédito, Tarjeta de débito","Steam, Blizzard, Epic Games, PlayStation, Xbox, Google Play / App Store",Si,21,342.99,124.50,550,Online,
3/05/2023 15:48:35,9,20,Vivo solo,Si,PC,Shooters,2,1 - 3 veces por semana,Tarjeta de crédito,Steam,Si,14,54.99,32.50,100,Online,
3/05/2023 15:49:16,3,17,Vivo con algun Familiar,Si,"PC, Laptop","MOBA (Multiplayer Online Battle Arena), Shooters, Juegos campaña",1,1 - 3 veces al mes,Tarjeta de crédito,"Steam, Blizzard",No,7,36.70,16.50,50,Online,
3/05/2023 15:50:34,2,18,Vivo con algun Familiar,Si,PC,"MOBA (Multiplayer Online Battle Arena), Shooters, Juegos campaña",3,1 - 3 veces por semana,"Tarjeta de crédito, Aplicativo movil (Yape/Plin)",Steam,Si,35,50,200,120,Online,
3/05/2023 15:50:37,1,17,Vivo con algun Familiar,Si,PC,"MOBA (Multiplayer Online Battle Arena), Shooters, MMO (Masive Multiplayer Online)",3,Cada 3 meses,Tarjeta de débito,"Steam, Epic Games",No,7,60,50,200,Online,
3/05/2023 15:54:52,9,23,Vivo solo,Si,Laptop,"MOBA (Multiplayer Online Battle Arena), Shooters",1,1 vez al año,Efectivo,Epic Games,Si,7,125,30,55,Tienda fisica,
3/05/2023 15:57:26,5,19,Vivo con algun Familiar,Si,"PC, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters, MMO (Masive Multiplayer Online), Juegos campaña",1,Cada 3 meses,"Efectivo, Tarjeta de crédito","Steam, Epic Games",No,6,40.50,300,260,Online,
3/05/2023 16:00:48,1,18,Vivo solo,Si,"PC, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters",1,Cada 6 meses,Tarjeta de débito,"Steam, Google Play / App Store",Si,4,33,60,135,Online,
3/05/2023 16:52:21,3,17,Vivo con algun Familiar,Si,"PC, Celular/Tablet/Ipad, switch","Shooters, rpg",1,1 - 3 veces por semana,Tarjeta de débito,"Steam, Epic Games, tienda misma del juego",No,30,100,4200,1300,ambos,
3/05/2023 17:07:04,1,17,Vivo con algun Familiar,No,"PC, Xbox","Shooters, Juegos campaña",2,Cada 3 meses,Efectivo,Xbox,No,6.5,300,45,90,Tienda fisica,
3/05/2023 17:34:48,4,23,Vivo solo,No,"PC, Laptop, Celular/Tablet/Ipad",Juegos campaña,3,Cada 3 meses,"Efectivo, Tarjeta de débito, Aplicativo movil (Yape/Plin)",Epic Games,Si,2,10,0,20,Tienda fisica,
3/05/2023 17:35:01,3,18,Vivo con algun Familiar,Si,"PC, Laptop, PlayStation, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters, MMO (Masive Multiplayer Online)",1,1 - 3 veces al mes,"Efectivo, Tarjeta de crédito, Aplicativo movil (Yape/Plin)","Steam, Epic Games, PlayStation",No,2,400,500,1000,Online,
3/05/2023 17:51:38,4,20,Vivo con algun Familiar,Si,Laptop,MMO (Masive Multiplayer Online),2,Cada 6 meses,"Efectivo, Tarjeta de crédito","Epic Games, Google Play / App Store",Si,2,300,100,300,Online,
3/05/2023 17:52:11,4,22,Vivo con algun Familiar,No,"Laptop, Celular/Tablet/Ipad",Ninguno (No juego videojuegos),3,No compro,Aplicativo movil (Yape/Plin),Google Play / App Store,No,0,0,0,0,Online,
3/05/2023 17:53:12,5,19,Vivo con algun Familiar,Si,"PC, Laptop, PlayStation, Celular/Tablet/Ipad","Shooters, MMO (Masive Multiplayer Online)",3,Cada 3 meses,"Tarjeta de crédito, Tarjeta de débito","Blizzard, Epic Games, PlayStation",Si,19,400,899,900,Tienda fisica,
3/05/2023 17:57:40,8,20,Vivo con roommates (Compañeros de cuarto),Si,"Laptop, PlayStation, Xbox","MOBA (Multiplayer Online Battle Arena), Shooters, MMO (Masive Multiplayer Online), Juegos campaña, Ninguno (No juego videojuegos)",3,Cada 6 meses,"Efectivo, Tarjeta de crédito, Tarjeta de débito","Blizzard, Epic Games, Origin",Si,5,600,40,30,Tienda fisica,
3/05/2023 18:17:53,3,20,Vivo con algun Familiar,No,Celular/Tablet/Ipad,MOBA (Multiplayer Online Battle Arena),5,1 vez al año,Efectivo,Epic Games,Si,5,100,0,100,Tienda fisica,
3/05/2023 18:28:41,3,18,Vivo con algun Familiar,Si,Laptop,Shooters,1,1 - 3 veces por semana,Tarjeta de débito,"Steam, Epic Games",Si,5,600,300,400,Online,
3/05/2023 18:29:14,4,19,Vivo con algun Familiar,No,"Laptop, Celular/Tablet/Ipad",Ninguno (No juego videojuegos),3,No compro,Tarjeta de débito,Google Play / App Store,Si,0,0,0,0,Online,
3/05/2023 18:29:20,2,18,Vivo con algun Familiar,No,"PC, Laptop","MOBA (Multiplayer Online Battle Arena), Shooters, MMO (Masive Multiplayer Online)",2,1 - 3 veces al mes,Tarjeta de crédito,"Epic Games, PlayStation",Si,7.3,500,100,300,Online,
3/05/2023 18:30:52,3,18,Vivo solo,Si,"PC, Laptop, PlayStation, Celular/Tablet/Ipad","MMO (Masive Multiplayer Online), Juegos campaña",2,Cada 3 meses,"Efectivo, Tarjeta de crédito, Tarjeta de débito, Aplicativo movil (Yape/Plin)","Steam, Epic Games, PlayStation, Xbox, Google Play / App Store",No,4,130.4 ,0,600,Online,
3/05/2023 18:32:46,3,18,Vivo con algun Familiar,Si,PlayStation,"MOBA (Multiplayer Online Battle Arena), Shooters, MMO (Masive Multiplayer Online)",1,1 vez al año,Efectivo,PlayStation,Si,2.30,5000,50,0,Tienda fisica,
3/05/2023 18:49:36,2,18,Vivo con algun Familiar,Si,PlayStation,"Shooters, MMO (Masive Multiplayer Online)",2,Cada 6 meses,Tarjeta de crédito,Origin,No,3,120,0,30,Online,
3/05/2023 18:50:09,2,18,Vivo con algun Familiar,Si,"PC, Laptop, PlayStation, Celular/Tablet/Ipad, ",Futbol,3,1 vez al año,Tarjeta de crédito,"Steam, Epic Games, PlayStation",Si,4,500,0,700,Online,
3/05/2023 19:01:32,4,21,Vivo solo,No,"Laptop, Celular/Tablet/Ipad",Ninguno (No juego videojuegos),1,No compro,Efectivo,Google Play / App Store,No,0,0,0,0,Tienda fisica,
3/05/2023 19:03:55,2,20,Vivo con algun Familiar,Si,"Laptop, Celular/Tablet/Ipad",Shooters,3,1 vez al año,Aplicativo movil (Yape/Plin),Google Play / App Store,No,6,5,34,32,Online,
3/05/2023 19:12:34,3,21,Vivo con algun Familiar,No,"PC, PlayStation, Xbox, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), MMO (Masive Multiplayer Online), Juegos campaña",1,1 - 3 veces por semana,"Efectivo, Tarjeta de crédito","Steam, Xbox",Si,5,123,123,123,Online,
3/05/2023 19:17:16,4,19,Vivo solo,No,"Laptop, Celular/Tablet/Ipad",Ninguno (No juego videojuegos),5,No compro,No compro,No compro,Si,0,0,0,0,No compro,
3/05/2023 19:21:57,4,18.666,Vivo solo,No,"PC, Laptop, PlayStation, Xbox, Celular/Tablet/Ipad, ",Ninguno (No juego videojuegos),1,1 - 3 veces por semana,"Efectivo, Tarjeta de crédito, Tarjeta de débito, Aplicativo movil (Yape/Plin)","Blizzard, Origin, PlayStation, Xbox, Google Play / App Store",No,10,3500,2000,800,Tienda fisica,
3/05/2023 19:26:57,1,18,Vivo con algun Familiar,Si,"PC, Laptop, PlayStation, Xbox, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), Shooters, Juegos campaña",1,1 - 3 veces por semana,"Efectivo, Tarjeta de crédito","Steam, Epic Games, PlayStation, Xbox, Google Play / App Store",No,8,300,50,350,Tienda fisica,
3/05/2023 19:33:34,5,20,Vivo con roommates (Compañeros de cuarto),No,"Laptop, Celular/Tablet/Ipad","MOBA (Multiplayer Online Battle Arena), MMO (Masive Multiplayer Online), Juegos campaña",3,No compro,Ninguno,Ninguna,No,0,0,0,100,Ninguno,
3/05/2023 19:42:25,1,17,Vivo con algun Familiar,Si,"PC, Xbox, Celular/Tablet/Ipad","Shooters, MMO (Masive Multiplayer Online), Juegos campaña",2,1 - 3 veces al mes,"Efectivo, Tarjeta de crédito","Steam, Epic Games, Xbox, Google Play / App Store",No,6,110,80,350,Online,
3/05/2023 19:49:28,3,18,Vivo con algun Familiar,Si,"Laptop, PlayStation, Celular/Tablet/Ipad","Shooters, Juegos campaña",2,Cada 3 meses,"Efectivo, Tarjeta de crédito","Steam, Epic Games, PlayStation",No,5.4,85,30,150,Online,
