Género,AFísica,FrecuenciaA,Dieta,TAgua,Emocional,Episodios,Capacidad,Habilidades,Vivir,Matemáticas,Ciencias,Letras,Hora_Estudio,Asesorias,Servicios,Estudia,Productivo,Motivación,Economía,Financia,TEducación
Femenino,5,ambos,si,no,Sí,3,No,Sí,Sí,14,14,16,1.5,1.5,3,En grupo,Tarde,Medio,alta,mis padres me apoyan,Privada
Masculino,2,no realizo,si,si,Sí,0,Sí,Sí,Sí,15,13,18,4.5,2.5,2,Solo,Tarde,Alto,media,beca,Estatal
Masculino,2,ambos,si,si,Sí,5,Sí,Sí,Sí,15,15,14,9,2.5,5,En grupo,Noche,Alto,media,ayuda financiera,Estatal
Masculino,4,no realizo,si,si,Sí,4,Sí,Sí,Sí,18,18,18,9,0.5,2,En grupo,Noche,Medio,media,beca,Privada
Femenino,4,anaeróbico (de fuerza),no,no,Sí,4,Sí,No,Solo con 1 de ellos,7.6,10,14,4.5,2.5,2,Solo,Tarde,Medio,baja,beca,Estatal
Femenino,1,aeróbico (cardio),no,no,No,3,Sí,Sí,Sí,15,14,17,4.5,2.5,3,En grupo,Madrugada/día,Medio,media,beca,Estatal
Masculino,1,anaeróbico (de fuerza),no,si,Sí,0,Sí,Sí,Sí,19,17.2,19,4.5,1.5,5,Solo,Noche,Alto,media,trabajo,Privada
Femenino,1,anaeróbico (de fuerza),no,si,Sí,2,Sí,Sí,Sí,16,17,17,4.5,1.5,4,En grupo,Madrugada/día,Medio,media,beca,Estatal
Masculino,3,aeróbico (cardio),no,si,Sí,2,No,Sí,Sí,13.5,12,15,4.5,3.5,3,En grupo,Madrugada/día,Medio,baja,beca,Estatal
Masculino,0,no realizo,no,no,Sí,2,Sí,Sí,Sí,11,14,15,9,0.5,3,Solo,Noche,Alto,baja,mis padres me apoyan,Estatal
Masculino,6,ambos,si,si,Sí,1,Sí,Sí,Solo con 1 de ellos,13,15,14,9,2.5,2,Solo,Madrugada/día,Medio,media,mis padres me apoyan,Privada
Femenino,2,anaeróbico (de fuerza),si,si,Sí,2,Sí,Sí,Sí,18,17,15,9,1.5,2,Solo,Tarde,Medio,media,mis padres me apoyan,Privada
Femenino,1,aeróbico (cardio),si,no,Sí,2,No,No,Solo con 1 de ellos,15.98,14,18,4.5,0.5,2,En grupo,Tarde,Alto,media,beca,Estatal
Masculino,0,no realizo,no,si,Sí,0,No,Sí,Sí,14,12,11,1.5,3.5,4,En grupo,Madrugada/día,Medio,baja,mis padres me apoyan,Privada
Femenino,0,no realizo,no,si,Sí,0,Sí,Sí,Sí,17,16,19,9,1.5,3,Solo,Tarde,Alto,baja,beca,Estatal
Masculino,6,ambos,si,si,Sí,0,Sí,Sí,Sí,18,18,12,1.5,0.5,0,Solo,Madrugada/día,Alto,media,beca,Estatal
Femenino,6,ambos,si,si,No,3,Sí,Sí,Sí,15,15,20,4.5,1.5,3,Solo,Noche,Medio,baja,beca,Estatal
Femenino,0,no realizo,no,no,No,4,Sí,No,Con ninguno,11,12,17,9,2.5,2,En grupo,Noche,Medio,baja,beca,Estatal
Masculino,5,anaeróbico (de fuerza),si,si,Sí,3,Sí,Sí,Sí,15.8,14,18,1.5,2.5,3,En grupo,Noche,Medio,media,beca,Estatal
Masculino,0,no realizo,no,si,No,5,Sí,Sí,Sí,13,15.7,17,9,0.5,2,En grupo,Tarde,Alto,media,mis padres me apoyan,Privada
Femenino,2,aeróbico (cardio),no,si,Sí,3,Sí,No,Sí,11,14,18,9,1.5,3,Solo,Madrugada/día,Alto,media,beca,Estatal
Femenino,1,ambos,si,si,No,2,Sí,No,Solo con 1 de ellos,13,13,17,1.5,1.5,3,Solo,Noche,Medio,baja,beca,Estatal
Masculino,0,no realizo,si,si,No,3,Sí,Sí,Solo con 1 de ellos,12,11,16,18,2.5,3,Solo,Noche,Medio,media,beca,Estatal
Masculino,1,aeróbico (cardio),no,si,Sí,2,Sí,No,Sí,16,14,15,1.5,3.5,3,Solo,Noche,Medio,media,beca,Estatal
Masculino,0,no realizo,si,si,Sí,3,No,Sí,Sí,13,17,17,9,1.5,2,Solo,Noche,Alto,media,mis padres me apoyan,Privada
Femenino,0,no realizo,no,si,No,3,Sí,Sí,Solo con 1 de ellos,14,15,16,1.5,2.5,3,Solo,Noche,Medio,media,beca,Privada
Masculino,6,anaeróbico (de fuerza),si,si,No,1,Sí,Sí,Sí,19,18,17,9,0.5,1,Solo,Madrugada/día,Alto,baja,mis padres me apoyan,Ambas
Masculino,1,anaeróbico (de fuerza),si,si,Sí,2,Sí,Sí,Sí,15,16,16,4.5,2.5,5,En grupo,Tarde,Alto,media,trabajo,Privada
Masculino,5,ambos,no,si,Sí,5,No,No,Sí,14,15,18,1.5,0.5,0,Solo,Tarde,Medio,baja,beca,Ambas
Femenino,0,no realizo,no,si,No,3,Sí,No,Sí,12,12,17,1.5,0.5,3,En grupo,Tarde,Medio,baja,beca,Estatal
Masculino,2,ambos,no,si,No,2,No,No,Sí,12,11,16,1.5,0.5,2,Solo,Madrugada/día,Medio,baja,beca,Estatal
Femenino,3,no realizo,no,no,Sí,5,No,Sí,Sí,14,15,16,4.5,0.5,4,Solo,Tarde,Alto,baja,beca,Estatal
Masculino,6,aeróbico (cardio),si,si,Sí,3,No,Sí,Sí,14.1,13.5,15.5,9,0.5,3,Solo,Madrugada/día,Medio,alta,mis padres me apoyan,Privada
Masculino,6,anaeróbico (de fuerza),si,si,No,5,Sí,Sí,Sí,12,16,15,24,0.5,2,En grupo,Noche,Medio,baja,beca,Estatal
Masculino,6,aeróbico (cardio),no,si,No,5,Sí,Sí,Sí,12,12,18,9,0.5,4,Solo,Tarde,Medio,media,ayuda financiera,Privada
Femenino,1,aeróbico (cardio),no,si,No,5,No,No,Solo con 1 de ellos,14.6,11,16,4.5,2.5,4,Solo,Madrugada/día,Medio,baja,beca,Estatal
Femenino,1,no realizo,si,si,No,5,Sí,No,Sí,14,17,15,4.5,1.5,4,En grupo,Noche,Medio,media,mis padres me apoyan,Ambas
Masculino,0,no realizo,no,si,Sí,1,Sí,No,Solo con 1 de ellos,15,16,14,4.5,0.5,4,Solo,Tarde,Alto,baja,beca,Estatal
Femenino,0,no realizo,no,si,No,5,Sí,Sí,Solo con 1 de ellos,13,15,18,18,1.5,3,En grupo,Madrugada/día,Alto,media,beca,Ambas
Femenino,3,ambos,si,si,Sí,1,Sí,Sí,Sí,15,17,18,9,2.5,5,Solo,Tarde,Alto,baja,beca,Estatal
Masculino,5,anaeróbico (de fuerza),si,si,Sí,4,Sí,Sí,Solo con 1 de ellos,18.4,15,17,4.5,1.5,3,En grupo,Noche,Alto,media,mis padres me apoyan,Privada
Masculino,2,anaeróbico (de fuerza),si,si,Sí,0,Sí,Sí,Sí,16,19,17,1.5,0.5,4,Solo,Madrugada/día,Alto,baja,beca,Privada
Masculino,1,no realizo,si,si,Sí,2,Sí,Sí,Sí,12,12,16,4.5,0.5,3,Solo,Madrugada/día,Alto,media,mis padres me apoyan,Privada
Masculino,4,ambos,si,si,Sí,1,Sí,Sí,Sí,19,18,17,9,2.5,5,En grupo,Noche,Medio,media,beca,Estatal
Masculino,6,anaeróbico (de fuerza),si,si,No,3,Sí,Sí,Sí,14,12,15,18,0.5,3,En grupo,Noche,Medio,baja,beca,Estatal
Masculino,3,aeróbico (cardio),no,si,Sí,3,Sí,No,Sí,14,13,14,9,1.5,4,En grupo,Noche,Alto,media,mis padres me apoyan,Privada
Femenino,2,no realizo,no,no,No,3,Sí,Sí,Sí,12,12,18.8,1.5,1.5,4,En grupo,Tarde,Medio,media,beca,Estatal
Masculino,1,aeróbico (cardio),no,si,No,5,Sí,No,Solo con 1 de ellos,16.9,18,16,4.5,1.5,3,En grupo,Tarde,Medio,baja,beca,Estatal
Femenino,2,aeróbico (cardio),no,si,Sí,3,No,Sí,Sí,14.2,17,16,4.5,0.5,3,Solo,Madrugada/día,Alto,media,beca,Privada
Femenino,0,no realizo,no,si,No,5,No,Sí,Sí,11,15,18,4.5,2.5,5,Solo,Madrugada/día,Bajo,media,beca,Estatal
Femenino,2,ambos,no,si,No,5,No,No,Solo con 1 de ellos,17,16,18,9,2.5,3,Solo,Noche,Alto,baja,beca,Estatal
Masculino,0,no realizo,no,si,No,5,No,No,Sí,9,11,16,1.5,1.5,3,Solo,Tarde,Bajo,baja,beca,Estatal
Femenino,6,anaeróbico (de fuerza),si,si,Sí,3,Sí,Sí,Sí,18,18,18,9,2.5,3,Solo,Noche,Alto,media,beca,Privada
Femenino,1,aeróbico (cardio),no,si,No,4,No,Sí,Sí,11,15,17,4.5,2.5,3,En grupo,Tarde,Alto,media,beca,Estatal
Femenino,4,ambos,si,si,Sí,1,Sí,Sí,Sí,18,15,16,4.5,1.5,2,En grupo,Tarde,Medio,media,beca,Ambas
Masculino,6,aeróbico (cardio),si,si,Sí,0,Sí,Sí,Sí,13,16,15,4.5,1.5,3,Solo,Tarde,Alto,media,mis padres me apoyan,Privada
Masculino,2,anaeróbico (de fuerza),no,si,Sí,0,Sí,Sí,Sí,15,15,15,4.5,1.5,3,En grupo,Madrugada/día,Medio,media,mis padres me apoyan,Ambas
Femenino,0,no realizo,si,si,Sí,0,Sí,Sí,Sí,17,14,18,4.5,0.5,5,Solo,Noche,Alto,baja,mis padres me apoyan,Privada
Femenino,3,ambos,si,si,No,2,No,Sí,Sí,17,17,15,9,0.5,2,Solo,Tarde,Medio,alta,mis padres me apoyan,Privada
Masculino,0,no realizo,no,si,Sí,5,No,Sí,Solo con 1 de ellos,15.13,13,17,9,1.5,1,En grupo,Noche,Medio,baja,mis padres me apoyan,Privada
Masculino,6,aeróbico (cardio),no,si,Sí,0,Sí,No,Sí,15,12,12,1.5,0.5,0,Solo,Noche,Bajo,media,mis padres me apoyan,Privada
Femenino,6,ambos,si,si,No,4,Sí,Sí,Sí,15,15,20,1.5,1.5,4,Solo,Noche,Medio,baja,beca,Ambas
Masculino,1,anaeróbico (de fuerza),no,si,No,2,No,No,Sí,14,13,16,4.5,1.5,3,En grupo,Madrugada/día,Medio,baja,beca,Estatal
Masculino,4,anaeróbico (de fuerza),si,si,Sí,2,No,Sí,Sí,17.5,15,15,4.5,0.5,2,En grupo,Noche,Alto,media,ayuda financiera,Privada
Masculino,2,aeróbico (cardio),si,si,No,3,Sí,No,Sí,13,17,16,18,1.5,3,Solo,Madrugada/día,Medio,baja,beca,Estatal
Masculino,6,anaeróbico (de fuerza),si,si,Sí,5,No,Sí,Sí,15,16,9,4.5,0.5,5,En grupo,Tarde,Medio,media,mis padres me apoyan,Privada
Femenino,4,aeróbico (cardio),si,si,No,3,No,No,Sí,19,18,18,4.5,2.5,4,Solo,Noche,Medio,baja,beca,Estatal
Femenino,2,aeróbico (cardio),no,si,Sí,3,Sí,Sí,Sí,16,15,16.6,4.5,1.5,5,En grupo,Noche,Medio,media,beca,Estatal
Masculino,3,aeróbico (cardio),si,si,Sí,1,Sí,No,Sí,16,16,16,4.5,0.5,3,En grupo,Madrugada/día,Medio,media,mis padres me apoyan,Privada
Femenino,5,aeróbico (cardio),si,si,Sí,2,Sí,Sí,Sí,11,13,18,24,2.5,4,En grupo,Tarde,Medio,media,beca,Ambas
Femenino,2,aeróbico (cardio),si,si,Sí,1,Sí,Sí,Sí,17.53,16.75,18.34,4.5,2.5,3,En grupo,Noche,Alto,media,beca,Estatal
Femenino,3,no realizo,si,si,Sí,2,Sí,No,Solo con 1 de ellos,14,15,16,4.5,2.5,4,Solo,Tarde,Medio,media,beca,Estatal
Femenino,1,aeróbico (cardio),si,si,No,5,No,No,Solo con 1 de ellos,11,14,17,9,4,2,Solo,Madrugada/día,Medio,media,beca,Estatal
Masculino,6,ambos,si,no,Sí,0,Sí,Sí,Solo con 1 de ellos,9,15,15,1.5,0.5,4,Solo,Noche,Medio,media,beca,Estatal
Masculino,0,no realizo,no,si,No,0,No,Sí,Sí,17,14,17,9,1.5,5,Solo,Noche,Medio,baja,beca,Estatal
Masculino,0,no realizo,no,no,No,0,Sí,Sí,Sí,18,15,16,1.5,0.5,4,Solo,Noche,Medio,media,mis padres me apoyan,Privada
Femenino,4,anaeróbico (de fuerza),si,si,No,5,No,No,Solo con 1 de ellos,18,18,17,18,3.5,3,Solo,Madrugada/día,Medio,media,mis padres me apoyan,Privada
Femenino,6,ambos,si,no,No,4,No,Sí,Sí,14,14,19,9,3.5,3,Solo,Noche,Medio,media,mis padres me apoyan,Estatal
Masculino,3,ambos,si,si,Sí,2,Sí,Sí,Sí,17,11,19,9,0.5,4,En grupo,Madrugada/día,Alto,media,mis padres me apoyan,Privada
Femenino,3,aeróbico (cardio),si,no,Sí,5,No,No,Solo con 1 de ellos,16.9,17.3,12.4,1.5,1.5,2,Solo,Madrugada/día,Alto,media,ayuda financiera,Privada
Femenino,4,ambos,si,si,Sí,3,Sí,Sí,Sí,17.56,18.06,16.57,18,0.5,3,Solo,Tarde,Alto,media,mis padres me apoyan,Privada
Femenino,3,anaeróbico (de fuerza),si,si,Sí,3,Sí,Sí,Sí,15.5,14,14,9,2.5,2,En grupo,Noche,Medio,media,beca,Estatal
Masculino,3,no realizo,no,si,No,1,No,Sí,Sí,11,16,15,9,1.5,2,Solo,Tarde,Medio,media,ayuda financiera,Privada
Femenino,2,ambos,si,si,No,5,No,Sí,Sí,16,15,20,4.5,1.5,5,En grupo,Noche,Medio,baja,beca,Estatal
Masculino,3,aeróbico (cardio),no,si,Sí,2,Sí,Sí,Sí,16,14,13,4.5,1.5,3,Solo,Noche,Medio,media,mis padres me apoyan,Privada
Femenino,0,no realizo,si,si,Sí,0,No,Sí,Sí,17,16,16,4.5,0.5,4,En grupo,Madrugada/día,Medio,baja,beca,Ambas
Femenino,1,aeróbico (cardio),no,si,No,3,No,No,Solo con 1 de ellos,19,18,18,1.5,1.5,3,Solo,Tarde,Medio,media,mis padres me apoyan,Privada
Femenino,6,ambos,si,si,No,3,No,No,Sí,17,17,18,18,4,3,En grupo,Noche,Alto,baja,beca,Estatal
Masculino,2,ambos,si,si,Sí,3,Sí,Sí,Sí,15,17,17,4.5,1.5,4,En grupo,Tarde,Alto,media,beca,Estatal
Femenino,3,no realizo,si,si,Sí,1,Sí,Sí,Sí,16,16,15,1.5,0.5,4,Solo,Noche,Medio,media,beca,Estatal
Masculino,2,ambos,si,no,Sí,1,Sí,Sí,Sí,16,18,14,9,1.5,3,Solo,Noche,Medio,alta,mis padres me apoyan,Privada
Masculino,3,aeróbico (cardio),no,si,Sí,2,Sí,Sí,Sí,16,13,12,1.5,0.5,3,Solo,Tarde,Medio,media,mis padres me apoyan,Ambas
Masculino,0,no realizo,si,si,Sí,2,Sí,No,Sí,14,15,15,1.5,2.5,3,En grupo,Noche,Medio,media,beca,Estatal
Masculino,3,ambos,no,si,Sí,0,Sí,Sí,Sí,14,17,16,24,0.5,4,Solo,Tarde,Medio,media,mis padres me apoyan,Privada
Masculino,3,anaeróbico (de fuerza),no,si,Sí,1,Sí,No,Sí,14,14,16,4.5,0.5,2,Solo,Noche,Medio,media,beca,Estatal
Masculino,0,no realizo,si,si,No,2,Sí,No,Sí,14,13,16,4.5,0.5,4,En grupo,Noche,Medio,media,mis padres me apoyan,Privada
Masculino,1,ambos,no,si,Sí,0,Sí,Sí,Sí,16,14,15,1.5,1.5,3,Solo,Noche,Alto,media,mis padres me apoyan,Privada
Masculino,6,anaeróbico (de fuerza),no,si,Sí,1,Sí,Sí,Sí,19,18,20,18,0.5,0,Solo,Tarde,Alto,media,beca,Estatal
Femenino,0,no realizo,no,si,No,5,Sí,Sí,Solo con 1 de ellos,12,15,17,1.5,1.5,3,Solo,Tarde,Alto,baja,beca,Privada
Masculino,1,aeróbico (cardio),si,no,Sí,2,Sí,No,Solo con 1 de ellos,16,4,15,4.5,0.5,4,En grupo,Tarde,Medio,baja,beca,Estatal
Masculino,6,anaeróbico (de fuerza),si,si,Sí,2,Sí,Sí,Sí,17,15,19,1.5,0.5,5,En grupo,Madrugada/día,Alto,media,beca,Estatal
Masculino,1,anaeróbico (de fuerza),no,si,No,1,No,No,Sí,13,12,14,9,1.5,5,Solo,Noche,Medio,baja,beca,Estatal
Masculino,0,no realizo,si,si,No,1,Sí,Sí,Sí,18,13,12,4.5,0.5,2,En grupo,Tarde,Medio,baja,beca,Estatal
Masculino,0,aeróbico (cardio),si,si,Sí,5,Sí,Sí,Sí,16,11,18,9,0.5,4,En grupo,Tarde,Medio,baja,beca,Ambas
Masculino,1,aeróbico (cardio),no,si,Sí,3,Sí,Sí,Sí,17,16,0,24,1.5,3,En grupo,Madrugada/día,Alto,media,beca,Estatal
Femenino,2,anaeróbico (de fuerza),si,si,No,5,No,Sí,Solo con 1 de ellos,15,14,18,9,2.5,4,Solo,Noche,Medio,alta,mis padres me apoyan,Privada
Masculino,3,ambos,si,si,Sí,5,Sí,Sí,Con ninguno,13.5,15,13,1.5,0.5,2,En grupo,Tarde,Bajo,media,mis padres me apoyan,Privada
Femenino,0,no realizo,no,no,Sí,3,No,No,Sí,11.13,19.14,16.17,4.5,1.5,4,En grupo,Noche,Medio,media,beca,Ambas
Masculino,3,ambos,no,si,No,5,Sí,Sí,Con ninguno,15,12,15,4.5,1.5,3,Solo,Madrugada/día,Medio,baja,beca,Estatal
Masculino,1,aeróbico (cardio),no,si,No,1,Sí,Sí,Sí,15,14,16,4.5,2.5,3,En grupo,Tarde,Medio,baja,beca,Estatal
Masculino,2,aeróbico (cardio),si,si,Sí,1,Sí,Sí,Sí,13,16,19,9,0.5,3,Solo,Tarde,Medio,media,beca,Estatal
Masculino,3,ambos,si,si,Sí,0,Sí,Sí,Sí,20,18,20,4.5,0.5,5,En grupo,Tarde,Alto,media,beca,Ambas
Femenino,1,no realizo,no,si,No,3,No,No,Solo con 1 de ellos,18,16,19,4.5,4,1,En grupo,Tarde,Medio,baja,beca,Estatal
Femenino,4,ambos,no,si,No,1,No,Sí,Sí,10.4,9.4,16,9,0.5,3,Solo,Noche,Medio,media,mis padres me apoyan,Privada
Femenino,1,anaeróbico (de fuerza),si,si,Sí,2,Sí,Sí,Sí,13,14,17,4.5,2.5,5,Solo,Noche,Alto,baja,beca,Estatal
Masculino,5,anaeróbico (de fuerza),si,si,Sí,0,Sí,Sí,Sí,20,20,18,1.5,0.5,4,Solo,Madrugada/día,Medio,media,mis padres me apoyan,Privada
Femenino,0,no realizo,no,si,Sí,3,Sí,Sí,Solo con 1 de ellos,10.39,9.45,17,4.5,1.5,3,Solo,Noche,Medio,media,beca,Estatal
Masculino,1,anaeróbico (de fuerza),si,si,Sí,5,Sí,Sí,Sí,17,17,17,9,2.5,3,Solo,Noche,Medio,media,beca,Estatal
Femenino,0,no realizo,no,no,No,4,No,Sí,Solo con 1 de ellos,10.6,14,16,4.5,1.5,1,En grupo,Tarde,Medio,media,mis padres me apoyan,Privada
Femenino,4,ambos,si,si,No,5,No,No,Solo con 1 de ellos,12.54,13.4,12,18,1.5,3,Solo,Madrugada/día,Medio,media,mis padres me apoyan,Ambas
Femenino,6,aeróbico (cardio),no,no,No,2,No,No,Sí,14,14,17,4.5,2.5,3,Solo,Noche,Medio,media,beca,Estatal
Masculino,6,aeróbico (cardio),no,si,Sí,4,Sí,Sí,Sí,13,15,17,9,3.5,4,Solo,Noche,Alto,media,mis padres me apoyan,Privada
Femenino,0,no realizo,no,si,No,5,Sí,Sí,Sí,13,17,15,24,1.5,4,Solo,Noche,Alto,baja,beca,Privada
Femenino,3,ambos,si,si,Sí,5,Sí,No,Sí,15.6,14.7,18,9,3.5,3,Solo,Noche,Medio,baja,beca,Estatal
Masculino,1,aeróbico (cardio),si,si,Sí,2,Sí,Sí,Solo con 1 de ellos,16,15,16,4.5,2.5,3,Solo,Madrugada/día,Alto,media,beca,Estatal
Masculino,0,no realizo,no,si,Sí,0,No,No,Sí,15,10,14,18,0.5,2,Solo,Noche,Medio,media,ayuda financiera,Ambas
Femenino,2,aeróbico (cardio),si,si,Sí,3,Sí,Sí,Sí,14,16,18,9,2.5,4,En grupo,Noche,Medio,media,beca,Estatal
Femenino,0,no realizo,si,no,No,5,No,No,Sí,13,14,16,4.5,0.5,3,En grupo,Tarde,Bajo,alta,mis padres me apoyan,Privada
Masculino,5,anaeróbico (de fuerza),si,si,Sí,1,Sí,Sí,Solo con 1 de ellos,16,17,17,4.5,0.5,3,Solo,Madrugada/día,Medio,media,mis padres me apoyan,Privada
Femenino,4,aeróbico (cardio),si,si,Sí,2,Sí,No,Sí,18,18,17,4.5,2.5,5,Solo,Noche,Alto,media,beca,Ambas
Masculino,3,ambos,no,si,Sí,2,Sí,No,Sí,12,11,16,1.5,2.5,1,Solo,Tarde,Medio,baja,beca,Estatal
Masculino,4,aeróbico (cardio),no,si,Sí,3,No,Sí,Sí,11,16,18,4.5,1.5,4,En grupo,Noche,Medio,baja,beca,Estatal
Masculino,2,anaeróbico (de fuerza),no,si,No,5,Sí,No,Sí,16,17,19,1.5,0.5,2,Solo,Noche,Medio,media,mis padres me apoyan,Privada
Masculino,4,ambos,si,si,No,2,No,No,Sí,15,14,19,4.5,1.5,4,En grupo,Tarde,Alto,media,mis padres me apoyan,Privada
Masculino,0,no realizo,no,si,Sí,1,Sí,No,Solo con 1 de ellos,10.5,12.5,16,1.5,1.5,3,En grupo,Noche,Medio,baja,beca,Estatal
Femenino,1,aeróbico (cardio),no,si,Sí,2,Sí,Sí,Sí,15,17,18,4.5,1.5,4,Solo,Tarde,Medio,media,beca,Estatal
Femenino,4,aeróbico (cardio),no,si,Sí,2,Sí,Sí,Sí,15,13,18,9,2.5,3,Solo,Madrugada/día,Medio,media,beca,Privada
Femenino,2,aeróbico (cardio),no,si,Sí,3,Sí,Sí,Sí,16,15,17,1.5,2.5,5,En grupo,Noche,Alto,media,beca,Estatal
Masculino,2,ambos,no,si,Sí,2,Sí,Sí,Sí,18,17,17,1.5,1.5,5,En grupo,Tarde,Alto,media,mis padres me apoyan,Privada
Masculino,4,ambos,si,si,Sí,1,Sí,Sí,Sí,16,14,15,1.5,0.5,4,En grupo,Noche,Medio,media,mis padres me apoyan,Privada
Masculino,3,ambos,si,si,Sí,2,No,Sí,Sí,15,15,17,4.5,1.5,2,Solo,Madrugada/día,Medio,media,beca,Estatal
Masculino,4,ambos,si,si,Sí,2,Sí,Sí,Sí,15,12,17,4.5,2.5,3,En grupo,Tarde,Medio,alta,mis padres me apoyan,Privada
Masculino,2,ambos,no,si,Sí,1,No,Sí,Sí,14,18,19,9,1.5,0,En grupo,Noche,Medio,media,mis padres me apoyan,Privada
Masculino,5,ambos,no,si,Sí,5,Sí,No,Solo con 1 de ellos,15.5,16.8,17.3,18,2.5,3,Solo,Madrugada/día,Medio,media,beca,Estatal
Femenino,0,no realizo,no,si,No,5,No,No,Con ninguno,15,14,15,24,2.5,3,En grupo,Noche,Medio,baja,beca,Estatal
Masculino,1,aeróbico (cardio),no,si,No,5,Sí,No,Con ninguno,12,11,15,4.5,1.5,5,Solo,Madrugada/día,Medio,media,beca,Privada
Masculino,1,no realizo,no,si,Sí,3,Sí,Sí,Solo con 1 de ellos,18,11,18,18,3.5,3,En grupo,Tarde,Alto,media,mis padres me apoyan,Privada
Masculino,0,no realizo,no,si,Sí,0,Sí,Sí,Solo con 1 de ellos,14,13.3,17,1.5,0.5,5,Solo,Madrugada/día,Bajo,baja,mis padres me apoyan,Privada
