Marca temporal,¿Cuál es su edad?,Género,¿En qué ciclo te encuentras actualmente? (Escriba un número del 2 al 10),Carrera que estudias,¿Cuántas horas solías dormir?,¿Usted organizaba su tiempo cada semana?,¿Usted trabajó en el 2022-2?,¿Qué días solías trabajar durante la semana? (Seleccione ninguno si usted no trabajó durante el periodo 2022-2),¿Cuántas horas tuvo su jornada laboral al día? (ingrese 0 si no trabajo),"¿Ha llevado satisfactoriamente sus cursos de la universidad, teniendo un horario de trabajo?",Seleccione el nivel de estrés que le generó el trabajo que había desempeñado,¿Con qué frecuencia has faltado a clases por trabajar?,¿Alguna vez has faltado a algún examen o presentación de proyectos por motivos de trabajo?,"¿A cuántos cursos se ha matriculado en el 2022-2? 
",¿A cuántos cursos usualmente se matricula por ciclo?,¿Cuántas horas al día te dedicaste a estudiar? (Número entero entre 0-12),"¿Con qué frecuencia realizabas las tareas semanales de los diferentes cursos (quizzes, lecturas, informes, etc.)?",¿Con qué frecuencia asistías a las asesorías de los cursos?,¿Cuánto fue su promedio ponderado en el ciclo 2022-2? (Número con dos decimales)
26/04/2023 8:45:58,21,Masculino,8,Ciencia de la Computación,8 - 10 horas,No,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes",6,No,Alto,A veces,Sí,7,6,2,A menudo,Nunca,11.26
26/04/2023 8:48:14,18,Femenino,2,Administración y negocios digitales,8 - 10 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,3,Frecuentemente,A menudo,14.76
26/04/2023 8:52:16,21,Femenino,5,Ingeniería Industrial,6 - 8 horas,Sí,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes",6,No,Alto,Frecuentemente,Sí,3,5,4,A veces,Casi nunca,13.57
26/04/2023 8:57:29,25,Masculino,4,Ciencia de la Computación,8 - 10 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,8,8,6,Frecuentemente,Frecuentemente,16.75
26/04/2023 9:02:01,18,Femenino,3,Ingeniería Ambiental,6 - 8 horas,Sí,Sí,"Lunes, Miércoles, Viernes, Domingo",6,Sí,Bajo,Casi nunca,No,5,6,4,Frecuentemente,A veces,16.25
26/04/2023 9:11:07,20,Masculino,5,Ingeniería Mecatrónica,4 - 6 horas,Sí,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6,Sí,Moderado,A veces,No,5,6,4,Frecuentemente,Casi nunca,14.56
26/04/2023 9:14:36,20,Femenino,3,Ingeniería Ambiental,6 - 8 horas,Sí,Sí,"Lunes, Martes, Miércoles, Viernes, Sábado, Domingo",8,No,Moderado,Frecuentemente,Sí,5,6,5,A menudo,Nunca,13.68
26/04/2023 9:59:38,22,Masculino,6,Ingeniería Civil,8 - 10 horas,Sí,Sí,"Sábado, Domingo",6,Sí,Moderado,Casi nunca,No,5,5,12,Casi nunca,Nunca,17.6
26/04/2023 10:05:44,17,Femenino,4,Bioingeniería,4 - 6 horas,No,Sí,"Lunes, Miércoles, Viernes",3,Sí,Moderado,Casi nunca,No,8,4,5,A veces,Nunca,14.50
26/04/2023 10:17:27,21,Femenino,5,Ingeniería Civil,4 - 6 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,8,Frecuentemente,Casi nunca,12
26/04/2023 10:20:12,20,Masculino,3,Ingeniería de la Energía,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,4,6,2,A menudo,Casi nunca,12
26/04/2023 10:26:29,24,Masculino,8,Ingeniería de la Energía,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,5,5,5,A menudo,A veces,14.04
26/04/2023 10:27:52,19,Femenino,4,Ingeniería Civil,8 - 10 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,5,5,4,Frecuentemente,A menudo,13
26/04/2023 11:10:29,20,Femenino,6,Ingeniería Mecánica,4 - 6 horas,Sí,Sí,"Lunes, Miércoles, Viernes",6,Sí,Bajo,Casi nunca,No,6,6,4,A menudo,Casi nunca,16.68
26/04/2023 11:53:37,21,Femenino,4,Ingeniería Civil,4 - 6 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,7,A menudo,A veces,13.05
26/04/2023 11:55:21,19,Femenino,4,Ingeniería Industrial,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,5,6,4,Frecuentemente,Frecuentemente,14.67
26/04/2023 11:56:10,21,Femenino,4,Bioingeniería,6 - 8 horas,Sí,Sí,"Sábado, Domingo",8,Sí,Moderado,Nunca,No,6,7,8,Frecuentemente,A veces,14.15
26/04/2023 11:56:12,20,Femenino,4,Ingeniería Ambiental,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,8,A menudo,A veces,14.02
26/04/2023 11:56:12,20,Masculino,4,Ingeniería Civil,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,6,6,A menudo,Nunca,15.07
26/04/2023 11:59:57,19,Femenino,4,Ciencia de la Computación,4 - 6 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,4,Frecuentemente,A veces,14.00
26/04/2023 16:22:14,17,Masculino,3,Ingeniería Mecánica,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,8,Frecuentemente,A veces,18.79
26/04/2023 16:24:05,18,Masculino,3,Ingeniería Ambiental,4 - 6 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,1,Frecuentemente,Nunca,16.97
26/04/2023 17:09:54,18,Masculino,3,Ingeniería Mecatrónica,4 - 6 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,4,A veces,Casi nunca,14
26/04/2023 17:12:01,19,Masculino,3,Ingeniería Ambiental,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,2,A menudo,Casi nunca,13.78
26/04/2023 17:59:08,18,Masculino,3,Ingeniería Civil,4 - 6 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,4,A menudo,Casi nunca,17.8
26/04/2023 18:26:29,19,Femenino,2,Ingeniería Industrial,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,3,Frecuentemente,Casi nunca,16.78
26/04/2023 21:55:36,23,Femenino,9,Ingeniería Eléctronica,4 - 6 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,4,4,2,A veces,Nunca,13
27/04/2023 10:00:25,19,Masculino,4,Ingeniería Mecánica,6 - 8 horas,Sí,Sí,Sábado,9,Sí,Moderado,Nunca,No,6,6,4,Frecuentemente,A veces,16.25
27/04/2023 10:25:30,18,Femenino,2,Ciencia de datos,4 - 6 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,12,Frecuentemente,A veces,14.5
27/04/2023 10:39:48,17,Masculino,3,Ingeniería Ambiental,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,5,6,2,A menudo,A veces,15.89
27/04/2023 16:44:15,18,Femenino,3,Ingeniería Industrial,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,6,5,A menudo,Nunca,14
27/04/2023 20:58:21,19,Femenino,5,Ingeniería Química,4 - 6 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,5,5,3,Frecuentemente,Casi nunca,14
27/04/2023 21:44:41,22,Masculino,4,Ingeniería de la Energía,4 - 6 horas,No,Sí,"Lunes, Miércoles, Viernes",6,No,Alto,A menudo,No,5,6,3,Frecuentemente,Nunca,13.45
27/04/2023 21:47:38,23,Masculino,4,Bioingeniería,6 - 8 horas,No,Sí,"Martes, Jueves, Sábado, Domingo",4,Sí,Bajo,Casi nunca,No,5,7,3,A menudo,Casi nunca,16.62
27/04/2023 21:48:31,18,Femenino,4,Bioingeniería,4 - 6 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,4,5,7,Frecuentemente,A menudo,13.94
27/04/2023 21:50:21,18,Femenino,2,Ingeniería de la Energía,10 - 12 horas,Sí,Sí,"Viernes, Sábado, Domingo",6,Sí,No me generó estrés,Nunca,No,7,8,6,Frecuentemente,A veces,14.53
27/04/2023 21:53:34,17,Femenino,2,Bioingeniería,6 - 8 horas,Sí,Sí,"Viernes, Sábado, Domingo",5,Sí,Moderado,Casi nunca,No,6,7,4,Frecuentemente,A veces,15.45
27/04/2023 21:54:55,23,Masculino,3,Ingeniería Mecatrónica,8 - 10 horas,No,Sí,"Lunes, Martes, Miércoles, Viernes, Domingo",8,No,Moderado,Casi nunca,Sí,3,7,2,A menudo,Nunca,13.74
27/04/2023 21:55:54,20,Femenino,5,Ingeniería Química,6 - 8 horas,Sí,Sí,"Sábado, Domingo",3,Sí,Bajo,Nunca,No,6,5,1,A veces,Casi nunca,14.20
27/04/2023 21:56:39,19,Femenino,1,Ciencia de la Computación,10 - 12 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,3,Frecuentemente,Frecuentemente,15.62
27/04/2023 21:58:30,19,Masculino,4,Ingeniería Eléctronica,4 - 6 horas,No,Sí,"Martes, Jueves",6,No,Moderado,Casi nunca,No,6,3,0,A menudo,A veces,11
27/04/2023 22:00:30,20,Femenino,5,Ciencia de datos,6 - 8 horas,Sí,Sí,"Martes, Jueves, Sábado",6,Sí,Moderado,A veces,No,5,6,4,A menudo,Casi nunca,14.62
27/04/2023 22:02:16,24,Femenino,7,Ingeniería Mecánica,4 - 6 horas,Sí,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",4,No,Alto,A veces,Sí,4,5,3,A menudo,Nunca,16.5
27/04/2023 22:04:36,22,Masculino,4,Ingeniería Eléctronica,4 - 6 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,8,7,5,Frecuentemente,A veces,13.42
27/04/2023 22:05:52,23,Masculino,8,Ingeniería Mecatrónica,8 - 10 horas,No,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes",5,No,Alto,A veces,Sí,5,7,3,A menudo,Nunca,11.56
27/04/2023 22:07:08,17,Masculino,3,Ingeniería Química,10 - 12 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,5,4,Frecuentemente,Frecuentemente,17.64
27/04/2023 22:08:37,22,Masculino,8,Ingeniería Industrial,4 - 6 horas,No,Sí,"Viernes, Sábado, Domingo",8,Sí,Moderado,Casi nunca,Sí,6,6,4,Frecuentemente,Casi nunca,14.56
27/04/2023 22:10:33,23,Femenino,2,Ingeniería Industrial,6 - 8 horas,Sí,Sí,"Viernes, Sábado, Domingo",8,Sí,Bajo,Nunca,No,6,7,5,Frecuentemente,A veces,17.62
27/04/2023 22:10:47,20,Femenino,7,Ingeniería Mecánica,4 - 6 horas,Sí,Sí,"Jueves, Viernes, Sábado",2,Sí,No me generó estrés,Casi nunca,No,4,6,3,Frecuentemente,A veces,15
27/04/2023 22:13:11,21,Masculino,6,Administración y negocios digitales,10 - 12 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,6,6,Frecuentemente,A menudo,17.64
27/04/2023 22:16:18,21,Femenino,4,Ingeniería Mecatrónica,8 - 10 horas,No,Sí,"Martes, Jueves, Sábado",8,No,Alto,Casi nunca,Sí,4,5,3,A menudo,Nunca,12.53
27/04/2023 22:16:23,17,Femenino,2,Ciencia de la Computación,6 - 8 horas,Sí,Sí,Sábado,1,Sí,No me generó estrés,Nunca,Sí,5,5,1,Frecuentemente,Frecuentemente,14
27/04/2023 22:18:10,18,Masculino,3,Ciencia de la Computación,6 - 8 horas,Sí,Sí,"Lunes, Miércoles, Viernes, Domingo",5,Sí,Moderado,Frecuentemente,No,5,7,3,Frecuentemente,A veces,13.45
27/04/2023 22:19:52,18,Femenino,5,Ingeniería Civil,4 - 6 horas,No,Sí,"Lunes, Miércoles, Sábado",1,Sí,Alto,Nunca,No,4,6,3,Frecuentemente,A menudo,12.75
27/04/2023 22:20:38,20,Masculino,6,Ciencia de la Computación,10 - 12 horas,No,Sí,"Sábado, Domingo",5,Sí,Bajo,Nunca,No,7,5,4,Frecuentemente,A veces,16
27/04/2023 22:21:58,24,Masculino,8,Ingeniería Química,6 - 8 horas,No,Sí,"Martes, Jueves, Domingo",7,No,Alto,A veces,Sí,6,7,4,A menudo,Nunca,11.82
27/04/2023 22:22:03,21,Masculino,8,Ingeniería Industrial,4 - 6 horas,Sí,Sí,"Sábado, Domingo",2,Sí,Moderado,Casi nunca,Sí,4,4,2,Frecuentemente,A veces,13.25
27/04/2023 22:22:40,21,Masculino,4,Ingeniería Ambiental,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,8,Frecuentemente,Frecuentemente,15
27/04/2023 22:24:19,19,Masculino,6,Ingeniería Mecatrónica,6 - 8 horas,No,Sí,"Lunes, Miércoles, Viernes",1,Sí,Bajo,Casi nunca,No,6,4,3,Casi nunca,Nunca,11
27/04/2023 22:24:41,24,Masculino,9,Ingeniería Civil,4 - 6 horas,No,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6,No,Alto,A menudo,Sí,5,6,2,A menudo,Nunca,10.95
27/04/2023 22:25:09,19,Masculino,3,Ingeniería Eléctronica,8 - 10 horas,Sí,Sí,"Viernes, Sábado, Domingo",7,Sí,No me generó estrés,Nunca,No,5,7,8,Frecuentemente,A menudo,13
27/04/2023 22:26:42,20,Masculino,3,Ingeniería Mecánica,8 - 10 horas,Sí,Sí,Sábado,2,Sí,No me generó estrés,Nunca,No,5,4,1,Frecuentemente,A veces,13
27/04/2023 22:28:08,18,Masculino,2,Ingeniería de la Energía,8 - 10 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,7,5,Frecuentemente,Frecuentemente,15
27/04/2023 22:29:18,19,Femenino,5,Ingeniería Civil,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,7,6,Frecuentemente,A veces,17.56
27/04/2023 22:31:14,20,Masculino,4,Bioingeniería,8 - 10 horas,Sí,Sí,"Lunes, Miércoles, Viernes, Sábado, Domingo",5,No,Moderado,Casi nunca,Sí,5,5,3,Frecuentemente,Nunca,12
27/04/2023 22:32:13,21,Masculino,7,Ingeniería Química,8 - 10 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,5,6,5,Frecuentemente,A menudo,16.96
27/04/2023 22:33:34,22,Femenino,8,Ingeniería Eléctronica,4 - 6 horas,No,Sí,"Lunes, Martes, Miércoles",4,Sí,Alto,A veces,No,5,4,0,Frecuentemente,A menudo,12
27/04/2023 22:35:01,20,Femenino,5,Bioingeniería,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,7,4,Frecuentemente,Frecuentemente,16.45
27/04/2023 22:35:29,22,Masculino,7,Ingeniería Eléctronica,4 - 6 horas,Sí,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes",8,No,Alto,A veces,Sí,4,6,4,Frecuentemente,Nunca,14
27/04/2023 22:37:36,18,Femenino,3,Ingeniería Química,4 - 6 horas,Sí,Sí,"Miércoles, Viernes",1,Sí,No me generó estrés,Nunca,No,2,5,2,A menudo,Casi nunca,14
27/04/2023 22:38:56,18,Masculino,5,Ingeniería de la Energía,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,5,6,5,Frecuentemente,A menudo,16.28
27/04/2023 22:47:58,20,Femenino,5,Ingeniería Industrial,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,5,Frecuentemente,A menudo,17.89
27/04/2023 23:07:04,19,Femenino,3,Ciencia de la Computación,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,4,A menudo,A menudo,17.26
27/04/2023 23:08:14,21,Masculino,7,Ingeniería Civil,4 - 6 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,4,Frecuentemente,A menudo,14.85
27/04/2023 23:15:25,22,Masculino,7,Ingeniería Mecánica,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,4,Frecuentemente,A menudo,16.65
27/04/2023 23:43:03,18,Femenino,4,Ingeniería Industrial,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,5,A menudo,A veces,14.05
28/04/2023 0:28:46,24,Masculino,8,Ingeniería Civil,8 - 10 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,4,A menudo,A veces,15.76
28/04/2023 0:30:20,21,Masculino,7,Administración y negocios digitales,6 - 8 horas,Sí,Sí,"Lunes, Martes, Miércoles, Jueves, Viernes",5,Sí,Moderado,Casi nunca,Sí,5,6,4,Frecuentemente,Nunca,15.55
28/04/2023 0:31:33,20,Femenino,5,Ingeniería Ambiental,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,4,Frecuentemente,A menudo,16.45
28/04/2023 0:37:12,19,Masculino,4,Ingeniería de la Energía,8 - 10 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,5,Frecuentemente,A menudo,16.75
28/04/2023 3:12:26,18,Masculino,4,Ingeniería Civil,8 - 10 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,7,5,Frecuentemente,A veces,17.35
28/04/2023 3:14:35,18,Femenino,5,Bioingeniería,8 - 10 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,7,6,Frecuentemente,A menudo,16.48
28/04/2023 3:15:48,24,Masculino,8,Ingeniería Mecatrónica,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,5,A menudo,Casi nunca,15.76
28/04/2023 3:17:09,21,Femenino,7,Administración y negocios digitales,8 - 10 horas,Sí,Sí,"Sábado, Domingo",9,Sí,Moderado,Casi nunca,No,6,6,4,Frecuentemente,Casi nunca,15.64
28/04/2023 3:30:41,20,Masculino,6,Ingeniería Civil,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,5,Frecuentemente,A veces,16.18
28/04/2023 3:33:19,22,Masculino,8,Ingeniería Química,8 - 10 horas,Sí,Sí,"Sábado, Domingo",8,Sí,Bajo,A veces,Sí,6,6,5,Frecuentemente,Nunca,15.57
28/04/2023 3:36:13,19,Femenino,6,Ingeniería Civil,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,6,5,Frecuentemente,A veces,15.76
28/04/2023 3:37:19,18,Masculino,3,Ingeniería Eléctronica,4 - 6 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,6,Frecuentemente,Frecuentemente,16.42
28/04/2023 3:39:50,23,Masculino,9,Ciencia de datos,6 - 8 horas,Sí,Sí,"Lunes, Miércoles, Viernes",6,Sí,Moderado,A veces,Sí,5,6,4,Frecuentemente,A veces,15.75
28/04/2023 3:40:53,18,Femenino,3,Ingeniería Eléctronica,4 - 6 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,5,Frecuentemente,A menudo,16.25
28/04/2023 9:08:34,24,Masculino,5,Ingeniería Eléctronica,4 - 6 horas,Sí,Sí,"Sábado, Domingo",8,No,Moderado,A veces,No,7,6,5,A veces,A veces,14.43
28/04/2023 9:41:48,20,Masculino,5,Ingeniería Civil,6 - 8 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,5,A menudo,A menudo,14.12
28/04/2023 11:04:17,18,Femenino,4,Ingeniería Ambiental,4 - 6 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,5,A menudo,Frecuentemente,16.00
28/04/2023 12:06:55,19,Femenino,5,Bioingeniería,4 - 6 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,6,A menudo,A veces,14.16
28/04/2023 12:20:10,17,Masculino,2,Ciencia de la Computación,8 - 10 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,6,6,5,Frecuentemente,Frecuentemente,13
28/04/2023 12:49:15,18,Femenino,3,Ciencia de la Computación,6 - 8 horas,No,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,8,7,1,A veces,A veces,15.58
28/04/2023 17:11:25,19,Femenino,5,Ingeniería Química,6 - 8 horas,Sí,Sí,"Sábado, Domingo",5,Sí,Moderado,Casi nunca,No,5,6,4,A menudo,A veces,15.84
28/04/2023 17:24:02,20,Masculino,6,Ingeniería Mecatrónica,8 - 10 horas,Sí,No,Ninguno,0,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,No trabajé durante ese periodo,7,6,8,Frecuentemente,Frecuentemente,16.29
