AÑO,FECHA ENVIO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE CENTRO ATENCION,CASOS ATENDIDOS-TOTAL--,CASOS ATENDIDOS - HOMBRES - TOTAL,CASOS ATENDIDOS - MUJERES - TOTAL,CASOS ATENDIDOS - VIOLENCIA PSICOLOGICA,CASOS ATENDIDOS - VIOLENCIA FISICA,CASOS ATENDIDOS - VIOLENCIA SEXUAL,CASOS ATENDIDOS - 0_5 - TOTAL,CASOS ATENDIDOS - 0_5 - HOMBRES,CASOS ATENDIDOS - 0_5 - MUJERES,CASOS ATENDIDOS - 6_11 - TOTAL,CASOS ATENDIDOS - 6_11 - HOMBRES,CASOS ATENDIDOS - 6_11 - MUJERES,CASOS ATENDIDOS - 12_17 - TOTAL,CASOS ATENDIDOS - 12_17 - HOMBRES,CASOS ATENDIDOS - 12_17 - MUJERES,CASOS ATENDIDOS - 18_29 - TOTAL,CASOS ATENDIDOS - 18_29 - HOMBRES,CASOS ATENDIDOS - 18_29 - MUJERES,CASOS ATENDIDOS - 30_59 - TOTAL,CASOS ATENDIDOS - 30_59 - HOMBRES,CASOS ATENDIDOS - 30_59 - MUJERES,CASOS ATENDIDOS - 60_MAS - TOTAL,CASOS ATENDIDOS - 60_MAS - HOMBRES,CASOS ATENDIDOS - 60_MAS - MUJERES
2020,15/01/2021,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,CEM FERREÑAFE,60,9,51,30,15,15,3,2,1,6,3,3,15,1,14,13,0,13,16,1,15,7,2,5
2020,15/01/2021,LIMA,HUAURA,HUACHO,CEM HUACHO,222,32,190,145,52,25,15,6,9,31,20,11,31,5,26,48,0,48,80,1,79,17,0,17
2020,15/01/2021,LA LIBertAD,SÁNCHEZ CARRIÓN,HUAMACHUCO,CEM HUAMACHUCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,15/01/2021,AYACUCHO,HUANCA SANCOS,SANCOS,CEM HUANCASANCOS,74,11,63,39,33,2,4,2,2,7,1,6,6,3,3,13,0,13,37,3,34,7,2,5
2020,15/01/2021,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,CEM HUANCAVELICA,191,38,153,115,66,10,25,11,14,24,16,8,22,8,14,43,1,42,66,2,64,11,0,11
2020,15/01/2021,JUNÍN,HUANCAYO,HUANCAYO,CEM HUANCAYO,659,112,547,365,228,66,56,18,38,96,48,48,105,28,77,118,5,113,215,4,211,69,9,60
2020,15/01/2021,AYACUCHO,HUANTA,HUANTA,CEM HUANTA,146,17,129,74,43,29,7,2,5,16,9,7,29,6,23,44,0,44,43,0,43,7,0,7
2020,15/01/2021,HUÁNUCO,HUÁNUCO,AMARILIS,CEM HUANUCO,375,29,346,167,115,93,24,13,11,32,7,25,77,6,71,97,0,97,121,1,120,24,2,22
2020,15/01/2021,ÁNCAsh,HUARAZ,HUARAZ,CEM HUARAZ,86,6,80,36,39,11,2,0,2,4,2,2,13,2,11,23,1,22,42,1,41,2,0,2
2020,15/01/2021,ÁNCAsh,HUARMEY,HUARMEY,CEM HUARMEY,170,25,145,79,80,11,4,1,3,8,6,2,29,9,20,46,1,45,78,5,73,5,3,2
2020,15/01/2021,LIMA,HUAROCHIRÍ,MATUCANA,CEM HUAROCHIRI,82,19,63,34,33,15,11,7,4,13,8,5,24,2,22,8,0,8,20,0,20,6,2,4
2020,15/01/2021,LIMA,LIMA,ATE,CEM HUAYCAN,99,13,86,42,37,20,4,1,3,11,5,6,18,1,17,14,0,14,40,3,37,12,3,9
2020,15/01/2021,MADRE DE DIOS,MANU,HUEPETUHE,CEM HUEPETUHE,152,18,134,88,59,5,2,2,0,13,5,8,11,3,8,54,3,51,68,5,63,4,0,4
2020,15/01/2021,MADRE DE DIOS,TAHUAMANU,IBERIA,CEM IBERIA,122,16,106,44,57,21,7,2,5,32,10,22,18,2,16,25,0,25,35,1,34,5,1,4
2020,15/01/2021,ICA,ICA,ICA,CEM ICA,130,30,100,69,46,15,5,3,2,29,13,16,11,4,7,23,1,22,47,3,44,15,6,9
2020,15/01/2021,PUNO,EL COLLAO,ILAVE,CEM ILAVE,147,13,134,64,72,11,2,1,1,5,2,3,18,6,12,27,1,26,76,0,76,19,3,16
2020,15/01/2021,LIMA,LIMA,INDEPENDENCIA,CEM INDEPENDENCIA,400,99,301,183,165,52,51,26,25,82,29,53,65,19,46,71,0,71,87,7,80,44,18,26
2020,15/01/2021,LORETO,MAYNAS,PUNCHANA,CEM IQUITOS,59,0,59,37,19,3,0,0,0,3,0,3,6,0,6,11,0,11,37,0,37,2,0,2
2020,15/01/2021,CAJAMARCA,JAÉN,JAÉN,CEM JAEN,144,12,132,78,42,24,8,4,4,11,4,7,17,4,13,36,0,36,63,0,63,9,0,9
2020,15/01/2021,JUNÍN,JAUJA,JAUJA,CEM JAUJA,176,42,134,113,47,16,20,7,13,35,16,19,19,8,11,26,1,25,59,6,53,17,4,13
2020,15/01/2021,PUNO,SAN ROMÁN,JULIACA,CEM JULIACA,265,26,239,145,92,28,10,7,3,14,6,8,35,6,29,62,2,60,131,3,128,13,2,11
2020,15/01/2021,CUSCO,LA CONVENCIÓN,KIMBIRI,CEM KIMBIRI,345,26,319,132,181,32,6,2,4,12,3,9,36,2,34,139,6,133,144,10,134,8,3,5
2020,15/01/2021,LA LIBertAD,TRUJILLO,LA ESPERANZA,CEM LA ESPERANZA,608,117,491,256,258,94,55,21,34,118,46,72,130,30,100,106,1,105,171,10,161,28,9,19
2020,15/01/2021,AYACUCHO,LA MAR,SAN MIGUEL,CEM LA MAR,152,9,143,79,52,21,2,0,2,7,2,5,31,5,26,37,0,37,63,1,62,12,1,11
2020,15/01/2021,LIMA,LIMA,SAN LUIS,CEM SAN LUIS,49,8,41,23,16,10,4,2,2,6,3,3,7,1,6,15,0,15,9,0,9,8,2,6
2020,15/01/2021,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,CEM LAMBAYEQUE,127,17,110,71,44,12,8,4,4,12,3,9,16,3,13,30,1,29,55,6,49,6,0,6
2020,15/01/2021,LIMA,LIMA,LIMA,CEM LIMA,936,183,753,471,305,160,82,42,40,113,51,62,145,43,102,184,5,179,312,6,306,100,36,64
2020,15/01/2021,LIMA,LIMA,LOS OLIVOS,CEM LOS OLIVOS,266,71,195,155,56,55,28,18,10,47,21,26,58,23,35,40,0,40,78,0,78,15,9,6
2020,15/01/2021,AYACUCHO,LUCANAS,PUQUIO,CEM LUCANAS,107,26,81,69,22,16,8,4,4,21,13,8,23,8,15,12,0,12,39,0,39,4,1,3
2020,15/01/2021,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,CEM MADRE DE DIOS,308,34,274,156,115,37,14,4,10,35,12,23,49,11,38,70,0,70,99,0,99,41,7,34
2020,15/01/2021,LIMA,LIMA,PACHACÁMAC,CEM MANCHAY,162,37,125,47,54,61,14,11,3,43,17,26,50,8,42,22,0,22,31,1,30,2,0,2
2020,15/01/2021,PUNO,MELGAR,AYAVIRI,CEM MELGAR,81,3,78,40,38,3,0,0,0,4,1,3,5,0,5,16,0,16,48,0,48,8,2,6
2020,15/01/2021,AREQUIPA,AREQUIPA,MIRAFLORES,CEM MIRAFLORES,1603,356,1247,988,462,153,150,65,85,233,119,114,227,70,157,257,17,240,546,27,519,190,58,132
2020,15/01/2021,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,CEM MOQUEGUA,128,9,119,58,59,11,4,2,2,7,1,6,11,1,10,26,0,26,70,3,67,10,2,8
2020,15/01/2021,SAN MARTÍN,MOYOBAMBA,MOYOBAMBA,CEM MOYOBAMBA,297,38,259,155,105,37,12,4,8,46,18,28,50,8,42,63,0,63,117,4,113,9,4,5
2020,15/01/2021,ICA,NASCA,NASCA,CEM NASCA,86,16,70,42,27,17,5,3,2,16,7,9,12,5,7,20,0,20,30,0,30,3,1,2
2020,15/01/2021,LORETO,LORETO,NAUTA,CEM NAUTA,171,14,157,59,84,28,10,3,7,15,3,12,22,3,19,48,2,46,71,2,69,5,1,4
2020,15/01/2021,ÁNCASH,SANTA,NUEVO CHIMBOTE,CEM NUEVO CHIMBOTE,117,28,89,78,27,12,13,11,2,27,11,16,15,3,12,33,2,31,25,1,24,4,0,4
2020,15/01/2021,LA LIBertAD,OTUZCO,OTUZCO,CEM OTUZCO,168,17,151,59,83,26,1,1,0,10,3,7,27,1,26,50,0,50,60,3,57,20,9,11
2020,15/01/2021,PASCO,OXAPAMPA,OXAPAMPA,CEM OXAPAMPA,190,25,165,125,56,9,19,8,11,26,8,18,22,5,17,41,1,40,68,1,67,14,2,12
2020,15/01/2021,CALLAO,CALLAO,VENTANILLA,CEM PACHACUTEC,272,64,208,134,92,46,31,18,13,65,25,40,66,20,46,30,0,30,76,1,75,4,0,4
2020,15/01/2021,UCAYALI,PADRE ABAD,PADRE ABAD,CEM PADRE ABAD,143,12,131,35,60,48,9,6,3,9,3,6,33,2,31,42,0,42,45,0,45,5,1,4
2020,15/01/2021,LIMA,LIMA,SAN JUAN DE MIRAFLORES,CEM SAN JUAN DE MIRAFLORES,336,59,277,165,110,61,16,6,10,65,28,37,46,8,38,67,0,67,109,6,103,33,11,22
2020,15/01/2021,AYACUCHO,PARINACOCHAS,CORACORA,CEM PARINACOCHAS,102,17,85,44,53,5,3,2,1,11,8,3,16,2,14,24,1,23,46,3,43,2,1,1
2020,15/01/2021,PASCO,PASCO,CHAUPIMARCA,CEM PASCO,132,5,127,60,53,19,1,0,1,4,1,3,22,2,20,39,0,39,63,1,62,3,1,2
2020,15/01/2021,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,CEM PAUCAR DEL SARA SARA,114,14,100,55,41,18,9,2,7,13,6,7,18,1,17,22,0,22,32,0,32,20,5,15
2020,15/01/2021,CUSCO,LA CONVENCIÓN,PICHARI,CEM PICHARI,304,27,277,135,135,34,20,9,11,27,9,18,39,4,35,94,1,93,120,4,116,4,0,4
2020,15/01/2021,ICA,PISCO,PISCO,CEM PISCO,186,26,160,87,70,29,14,9,5,15,7,8,17,2,15,52,2,50,80,5,75,8,1,7
2020,15/01/2021,piura,piura,castilla,cem piura,389,31,358,215,125,49,12,5,7,29,8,21,48,5,43,93,2,91,188,8,180,19,3,16
2020,15/01/2021,UCAYALI,CORONEL PORTILLO,CALLERIA,CEM PUCALLPA,337,29,308,148,92,97,8,6,2,45,11,34,72,6,66,77,1,76,126,2,124,9,3,6
2020,15/01/2021,PUNO,PUNO,PUNO,CEM PUNO,327,22,305,196,104,27,4,1,3,19,7,12,35,4,31,79,3,76,155,5,150,35,2,33
2020,15/01/2021,CUSCO,LA CONVENCIÓN,SANTA ANA,CEM QUILLABAMBA,352,51,301,185,106,61,16,8,8,42,17,25,56,7,49,62,3,59,129,4,125,47,12,35
2020,15/01/2021,SAN MARTÍN,RIOJA,RIOJA,CEM RIOJA,189,23,166,77,70,42,10,4,6,30,8,22,33,5,28,57,0,57,54,1,53,5,5,0
2020,15/01/2021,LIMA,LIMA,LA MOLINA,CEM LA MOLINA,188,26,162,83,60,45,10,7,3,18,7,11,32,5,27,45,1,44,60,1,59,23,5,18
2020,15/01/2021,LIMA,LIMA,SAN JUAN DE LURIGANCHO,CEM SAN JUAN DE LURIGANCHO,266,47,219,144,69,53,34,15,19,54,22,32,43,4,39,49,3,46,75,1,74,11,2,9
2020,15/01/2021,LIMA,LIMA,SAN MARTÍN DE PORRES,CEM SAN MARTIN DE PORRES,266,48,218,121,94,51,32,16,16,42,15,27,51,13,38,43,0,43,50,2,48,48,2,46
2020,15/01/2021,LA LIBertAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,CEM SANTIAGO DE CHUCO,55,6,49,26,20,9,6,2,4,13,1,12,8,3,5,13,0,13,12,0,12,3,0,3
2020,15/01/2021,JUNÍN,SATIPO,SATIPO,CEM SATIPO,219,23,196,96,94,29,7,1,6,20,9,11,37,4,33,45,1,44,101,7,94,9,1,8
2020,15/01/2021,piura,sechura,sechura,cem sechura,212,7,205,99,93,20,4,1,3,16,4,12,17,1,16,82,0,82,90,0,90,3,1,2
2020,15/01/2021,CUSCO,CANCHIS,SICUANI,CEM SICUANI,153,8,145,86,54,13,2,0,2,11,3,8,13,2,11,39,0,39,73,2,71,15,1,14
2020,15/01/2021,AYACUCHO,SUCRE,QUEROBAMBA,CEM SUCRE,111,18,93,72,33,6,2,2,0,12,5,7,18,5,13,19,2,17,48,0,48,12,4,8
2020,15/01/2021,piura,sullana,sullana,cem sullana,252,43,209,145,78,29,0,0,0,18,8,10,39,13,26,67,8,59,110,3,107,18,11,7
2020,15/01/2021,LIMA,LIMA,SANTIAGO DE SURCO,CEM SURCO,217,42,175,127,57,33,18,10,8,31,11,20,43,10,33,35,3,32,72,3,69,18,5,13
2020,15/01/2021,LIMA,LIMA,SURQUILLO,CEM SURQUILLO,280,57,223,146,89,45,26,15,11,52,17,35,37,16,21,42,1,41,91,1,90,32,7,25
2020,15/01/2021,TACNA,TACNA,TACNA,CEM TACNA,275,30,245,121,72,82,11,5,6,34,14,20,42,3,39,59,2,57,108,2,106,21,4,17
2020,15/01/2021,SAN MARTÍN,SAN MARTÍN,TARAPOTO,CEM TARAPOTO,351,43,308,225,107,19,8,2,6,22,3,19,17,5,12,86,6,80,190,19,171,28,8,20
2020,15/01/2021,JUNÍN,TARMA,TARMA,CEM TARMA,110,18,92,37,42,31,7,4,3,14,9,5,20,3,17,23,1,22,38,0,38,8,1,7
2020,15/01/2021,HUANCAVELICA,TAYACAJA,PAMPAS,CEM TAYACAJA,156,24,132,52,50,54,9,4,5,24,9,15,43,9,34,30,2,28,45,0,45,5,0,5
2020,15/01/2021,HUÁNUCO,LEONCIO PRADO,RUPA-RUPA,CEM TINGO MARIA,190,23,167,91,32,67,13,5,8,19,9,10,46,1,45,42,0,42,61,3,58,9,5,4
2020,15/01/2021,SAN MARTÍN,TOCACHE,TOCACHE,CEM TOCACHE,74,6,68,26,27,21,1,0,1,8,2,6,16,0,16,21,1,20,26,3,23,2,0,2
2020,15/01/2021,LA LIBertAD,TRUJILLO,TRUJILLO,CEM TRUJILLO,679,116,563,341,248,90,68,34,34,101,39,62,98,17,81,140,4,136,214,7,207,58,15,43
2020,15/01/2021,TUMBES,TUMBES,TUMBES,CEM TUMBES,208,35,173,125,71,12,16,6,10,32,17,15,24,11,13,47,1,46,82,0,82,7,0,7
2020,15/01/2021,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,CEM UTCUBAMBA,255,41,214,87,119,49,17,8,9,31,16,15,53,11,42,53,0,53,93,4,89,8,2,6
2020,15/01/2021,CALLAO,CALLAO,VENTANILLA,CEM VENTANILLA,325,61,264,160,95,70,34,20,14,53,21,32,82,11,71,43,0,43,86,1,85,27,8,19
2020,15/01/2021,AYACUCHO,VILCAS HUAMÁN,VILCAS HUAMÁN,CEM VILCAS HUAMAN,121,17,104,75,38,8,10,6,4,9,4,5,10,2,8,28,1,27,52,3,49,12,1,11
2020,15/01/2021,LIMA,LIMA,VILLA EL SALVADOR,CEM VILLA EL SALVADOR,2218,411,1807,1210,789,219,183,92,91,276,106,170,314,80,234,458,19,439,808,65,743,179,49,130
2020,15/01/2021,LIMA,LIMA,VILLA MARÍA DEL TRIUNFO,CEM VILLA MARIA DEL TRIUNFO,704,196,508,356,277,71,119,52,67,150,75,75,136,38,98,72,3,69,160,4,156,67,24,43
2020,15/01/2021,PASCO,OXAPAMPA,VILLA RICA,CEM VILLA RICA,202,33,169,71,92,39,8,6,2,27,11,16,30,7,23,50,1,49,77,6,71,10,2,8
2020,15/01/2021,JUNÍN,YAULI,LA OROYA,CEM YAULI,91,13,78,72,13,6,2,0,2,6,5,1,14,4,10,21,1,20,46,2,44,2,1,1
2020,15/01/2021,LIMA,YAUYOS,YAUYOS,CEM YAUYOS,50,8,42,18,28,4,0,0,0,3,0,3,5,2,3,6,0,6,25,1,24,11,5,6
2020,15/01/2021,LORETO,ALTO AMAZONAS,YURIMAGUAS,CEM YURIMAGUAS,118,13,105,64,46,8,1,0,1,11,4,7,10,2,8,27,2,25,68,5,63,1,0,1
2020,15/01/2021,PUNO,AZÁNGARO,AZÁNGARO,CEM AZANGARO,123,15,108,98,19,6,3,3,0,7,1,6,11,4,7,30,0,30,58,3,55,14,4,10
2020,15/01/2021,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,CEM CARMEN DE LA LEGUA,347,92,255,196,109,42,23,11,12,38,25,13,55,15,40,64,3,61,90,6,84,77,32,45
2020,15/01/2021,JUNÍN,CHUPACA,CHUPACA,CEM CHUPACA,216,44,172,75,105,36,32,17,15,44,13,31,50,11,39,32,0,32,44,0,44,14,3,11
2020,15/01/2021,LA LIBertAD,PACASMAYO,SAN PEDRO DE LLOC,CEM PACASMAYO,163,23,140,87,63,13,12,3,9,27,9,18,33,9,24,22,1,21,57,1,56,12,0,12
2020,15/01/2021,CAJAMARCA,SAN IGNACIO,SAN IGANCIO,CEM SAN IGNACIO,247,22,225,110,72,65,6,2,4,32,10,22,51,4,47,62,0,62,89,2,87,7,4,3
2020,15/01/2021,AYACUCHO,VÍCTOR FAJARDO,HUANCAPI,CEM VÍCTOR FAJARDO,101,11,90,49,39,13,9,2,7,10,1,9,14,5,9,23,1,22,37,1,36,8,1,7
2020,15/01/2021,AMAZONAS,LUYA,LAMUD,CEM LUYA,153,16,137,72,56,25,7,3,4,22,5,17,28,4,24,36,0,36,53,2,51,7,2,5
2020,15/01/2021,LIMA,LIMA,PUENTE PIEDRA,CEM PUENTE PIEDRA,498,106,392,219,195,84,53,28,25,96,42,54,94,15,79,94,5,89,135,5,130,26,11,15
2020,15/01/2021,PUNO,CHUCUITO,JULI,CEM CHUCUITO,163,13,150,46,103,14,6,3,3,9,5,4,19,3,16,43,0,43,74,1,73,12,1,11
2020,15/01/2021,LIMA,HUARAL,HUARAL,CEM HUARAL,316,26,290,163,126,27,3,1,2,29,12,17,36,3,33,88,0,88,143,4,139,17,6,11
2020,15/01/2021,SAN MARTÍN,LAMAS,LAMAS,CEM LAMAS,316,59,257,158,103,55,33,17,16,42,14,28,74,22,52,59,2,57,99,2,97,9,2,7
2020,15/01/2021,HUÁNUCO,HUAMALÍES,LLATA,CEM HUAMALIES,159,20,139,63,70,26,6,3,3,13,7,6,20,3,17,45,1,44,69,3,66,6,3,3
2020,15/01/2021,CUSCO,QUISPICANCHI,URCOS,CEM QUISPICANCHI,232,27,205,137,65,30,5,3,2,22,13,9,28,5,23,53,0,53,113,5,108,11,1,10
2020,15/01/2021,piura,paita,paita,cem paita,329,16,313,159,100,70,3,0,3,29,7,22,43,4,39,94,3,91,150,1,149,10,1,9
2020,15/01/2021,ÁNCAsh,YUNGAY,YUNGAY,CEM YUNGAY,76,11,65,32,31,13,7,3,4,4,1,3,18,7,11,17,0,17,24,0,24,6,0,6
2020,15/01/2021,ÁNCAsh,HUARI,HUARI,CEM HUARI,138,21,117,35,89,14,18,9,9,25,9,16,13,2,11,33,0,33,44,0,44,5,1,4
2020,15/01/2021,MOQUEGUA,ILO,ILO,CEM ILO,204,25,179,109,71,24,14,8,6,13,6,7,27,6,21,38,0,38,97,1,96,15,4,11
2020,15/01/2021,piura,talara,pariñas,cem talara,389,35,354,180,166,43,18,4,14,24,7,17,49,12,37,112,2,110,174,9,165,12,1,11
2020,15/01/2021,piura,huancabamba,huancabamba,cem huancabamba,197,21,176,90,80,27,3,2,1,18,6,12,30,5,25,47,1,46,82,1,81,17,6,11
2020,15/01/2021,HUÁNUCO,PACHITEA,PANAO,CEM PACHITEA,103,6,97,47,42,14,5,0,5,9,2,7,23,3,20,29,0,29,37,1,36,0,0,0
2020,15/01/2021,HUANCAVELICA,ANGARAES,LIRCAY,CEM ANGARAES,148,5,143,63,76,9,4,0,4,10,1,9,17,1,16,38,1,37,66,1,65,13,1,12
2020,15/01/2021,CAJAMARCA,CUTERVO,CUTERVO,CEM CUTERVO,236,13,223,75,110,51,7,1,6,37,4,33,30,3,27,66,0,66,85,2,83,11,3,8
2020,15/01/2021,LA LIBertAD,CHEPÉN,CHEPÉN,CEM CHEPEN,230,30,200,73,94,63,8,4,4,22,5,17,50,3,47,45,1,44,82,3,79,23,14,9
