"Tipo_Colegio","Region","Año_egreso","Tiempo_estudio_semanal","Promedio_egreso","Nivelación_preU","Preparacion_universidad","PreU_colegio.Mat","PreU_colegio.Física","PreU_colegio.Letras","PreU_colegio.Química","Puntaje_admision","Rendimiento_academico"
"Pública","Lima","2019",0.5,14,"Si",19,2,2,2,2,11,"Regular"
"Privada","Lima","2021",7,17.8,"No",0,5,4,4,2,11,"Bueno"
"Pública","Apurímac","2020",3,18,"Si",6,3,3,5,4,11,"Regular"
"Privada","Lima","2019",2,19,"Si",18,5,5,5,5,17,"Bueno"
"Privada","Lima","2015",4,16,"Si",12,4,2,3,5,11,"Regular"
"Privada","Lima","2021",0,18.06,"No",0,1,1,1,1,11,"Bueno"
"Privada","Lima","2020",1,18,"No",0,1,1,1,1,11,"Bueno"
"Pública","Arequipa","2021",4.5,18,"No",0,4,4,4,4,17,"Bueno"
"Pública","Huanuco","2021",0.5,17,"Si",2,3,1,2,1,12,"Regular"
"Privada","Lima","2020",10,18,"No",0,4,4,4,2,11,"Bueno"
"Privada","Lima","2021",2,18,"Si",12,5,5,5,5,11,"Regular"
"Pública","Callao","2020",3.5,17,"Si",2,2,2,3,3,11,"Bueno"
"Privada","Lima","2019",10,18,"No",0,5,4,4,5,11,"Regular"
"Privada","Lima","2019",1.5,17,"Si",2,4,5,5,5,11,"Bueno"
"Pública","Lima","2017",2,16,"No",0,1,2,2,3,14,"Regular"
"Privada","Lima","2021",0,19,"Si",2,4,4,4,4,19,"Excelente"
"Privada","Lima","2020",4,13,"Si",12,5,4,4,5,11,"Regular"
"Privada","Ica","2022",2,18,"Si",3,3,3,4,3,11,"Regular"
"Pública","Lima","2019",1,17.8,"No",0,1,1,1,1,11,"Regular"
"Privada","Lima","2021",4.5,15,"Si",2,4,4,4,5,11,"Regular"
"Privada","Lima","2019",0.5,17.4,"No",0,2,1,1,1,0,"Regular"
"Pública","Huanuco","2021",2.5,18.21,"Si",2,2,2,4,3,11,"Bueno"
"Pública","Cusco","2021",12,17,"Si",4,4,3,2,2,11,"Excelente"
"Pública","Huanuco","2020",5,16.98,"Si",6,4,2,3,4,11,"Excelente"
"Pública","La Libertad","2020",6,17,"Si",1,2,1,3,2,14,"Regular"
"Privada","Lima","2021",15,17,"No",0,5,5,5,4,11,"Regular"
"Pública","Piura","2018",4,16.9,"No",0,4,2,5,3,16.3,"Bueno"
"Privada","Cusco","2019",3,17,"No",0,4,3,3,3,17,"Bueno"
"Privada","Lima","2021",6.2,18.9,"No",0,5,5,2,5,11,"Por mejorar"
"Privada","Lima","2020",1,18.5,"No",0,3,3,5,3,11,"Bueno"
"Privada","Lima","2021",3,18,"Si",6,4,2,2,2,11,"Regular"
"Pública","Cajamarca","2021",2,18.7,"Si",3,4,2,5,4,11,"Bueno"
"Privada","Lima","2021",2,18,"No",0,5,5,3,5,11,"Excelente"
"Pública","Lima","2019",3,17,"No",0,3,3,3,3,11,"Bueno"
"Pública","Huanuco","2019",4.5,18,"Si",6,2,2,3,3,15,"Regular"
"Pública","Lambayeque","2020",2.5,18,"Si",4,5,5,4,5,11,"Regular"
"Privada","Puno","2019",5.5,17,"No",0,3,3,3,3,11,"Bueno"
"Pública","Lima","2019",0,14,"Si",18,1,1,3,2,11,"Regular"
"Pública","Lima","2019",2.1,15,"Si",3,3,3,4,4,15,"Regular"
"Pública","Apurímac","2022",1,20,"No",0,1,1,1,1,20,"Por mejorar"
"Pública","Cajamarca","2020",8.1,19,"Si",2,3,3,3,3,11,"Regular"
"Pública","Lambayeque","2020",0,18,"Si",4,5,5,5,5,13,"Bueno"
"Privada","Lambayeque","2020",5.5,18,"Si",1,4,5,5,5,11,"Bueno"
"Privada","Lima","2020",3,16,"Si",12,4,5,5,4,11,"Regular"
"Privada","Callao","2021",16,17.5,"Si",4,1,2,1,2,11,"Regular"
"Pública","Ucayali","2018",15,17,"Si",12,5,5,5,5,15,"Regular"
"Pública","Lima","2019",20,15.68,"Si",12,4,1,4,3,11,"Bueno"
"Pública","Tacna","2020",1,18,"Si",6,3,2,2,2,14,"Regular"
"Privada","Callao","2020",6,15,"Si",3,3,4,4,4,11,"Regular"
"Privada","Lima","2017",2,17,"No",0,4,2,4,3,11,"Bueno"
"Privada","Lima","2021",5,20,"No",0,5,5,5,5,11,"Bueno"
"Pública","Junin","2017",5,14,"Si",10,1,1,1,1,12.5,"Por mejorar"
"Privada","Lima","2021",5,19,"No",0,3,3,3,4,11,"Excelente"
"Privada","Lima","2021",6,16,"Si",3,5,5,5,5,11,"Regular"
"Pública","Lima","2020",8,18.6,"Si",24,3,4,4,4,11,"Bueno"
"Privada","Cajamarca","2020",5.5,18.8,"No",0,2,2,5,5,11,"Bueno"
"Pública","Huanuco","2019",4,17.34,"Si",3,3,2,3,3,15,"Regular"
"Privada","Lima","2018",2,16,"No",0,3,3,3,3,14,"Bueno"
"Privada","Lima","2021",3.5,17,"Si",3,3,3,2,3,11,"Bueno"
"Privada","Lima","2021",4.1,18.7,"Si",4,3,3,2,3,11,"Bueno"
"Privada","Lima","2021",2,18,"Si",2,4,3,4,3,11,"Bueno"
"Privada","Lima","2020",4,17.36,"Si",2,5,3,3,3,11,"Bueno"
"Privada","Lima","2021",3,18,"No",0,4,4,4,3,11,"Regular"
"Pública","Junin","2019",4,17,"Si",1,1,1,1,1,15,"Bueno"
"Privada","Lima","2020",5,16,"No",0,2,3,2,2,11,"Bueno"
"Privada","Lima","2021",3,18.5,"Si",3,5,4,2,1,11,"Regular"
"Privada","Lima","2022",0,15,"No",0,1,1,1,1,11,"Regular"
"Pública","Lambayeque","2016",6,19,"Si",12,4,4,4,4,17,"Bueno"
"Privada","Lima","2022",3,18.9,"No",0,3,4,4,4,11,"Bueno"
"Pública","Lima","2021",3,16,"No",0,2,1,3,2,11,"Regular"
"Privada","Lima","2021",5.5,15,"No",0,3,4,3,4,11,"Regular"
"Privada","Lima","2020",5,12,"No",0,4,3,4,4,15,"Por mejorar"
"Pública","Lima","2020",1,18,"No",0,3,2,4,2,11,"Regular"
"Privada","Arequipa","2019",0,18.76,"No",0,5,5,1,5,17.65,"Bueno"
"Pública","Puno","2022",0.05,17.5,"No",0,4,4,3,5,16,"Bueno"
"Pública","Huanuco","2020",2,19,"No",0,3,3,3,3,16,"Bueno"
"Privada","Lima","2020",6,15,"No",0,4,3,4,3,11,"Bueno"
"Pública","Ucayali","2020",5,18.3,"Si",3,4,3,4,3,11,"Regular"
"Pública","Ayacucho","2018",2.1,16.7,"Si",1,3,1,2,2,14,"Regular"
"Privada","Lambayeque","2019",4.5,19.78,"Si",4,4,3,4,3,18,"Bueno"
"Pública","Ica","2019",7,17,"Si",5,3,2,3,3,11,"Bueno"
"Pública","Lambayeque","2020",0,18.76,"No",0,3,1,3,2,9,"Bueno"
"Privada","Lima","2020",4,15.67,"No",0,3,3,5,2,11,"Regular"
"Pública","Lima","2021",1.5,18,"No",0,2,2,5,2,0,"Excelente"
"Privada","Lima","2021",2,19,"Si",6,3,3,4,2,0,"Bueno"
"Privada","Junin","2019",2,15,"Si",6,5,5,5,5,14,"Regular"
"Privada","Lima","2018",2,16,"Si",24,5,5,5,5,15,"Bueno"
"Privada","Lima","2020",2,17,"No",0,1,2,3,3,11,"Regular"
"Privada","Lambayeque","2020",13,16.4,"No",0,5,3,5,4,18,"Regular"
"Privada","Lima","2020",16,17.6,"Si",6,4,4,4,4,11,"Bueno"
"Privada","Lima","2019",8,16,"No",0,4,3,4,4,11,"Bueno"
"Privada","Lima","2017",4,16.3,"No",0,5,5,4,3,11,"Excelente"
"Pública","Lima","2021",1,16,"No",0,1,1,1,2,11,"Regular"
"Pública","Cajamarca","2020",8,17,"No",0,1,1,5,1,14,"Por mejorar"
"Privada","Lima","2021",14,18,"No",0,5,5,5,5,16,"Bueno"
"Privada","Lima","2019",5,18,"No",0,5,5,5,5,17,"Bueno"
"Privada","Cusco","2021",4,16,"Si",24,2,1,4,2,11,"Regular"
"Privada","Lima","2016",4,17,"Si",3,4,2,5,4,11,"Excelente"
