¿Cuántos años tienes?,Carrera Universitaria.  Escoja su carrera,Seleccione su sexo.,¿En qué zona de lima reside usted?,"Personalidad. Respecto a estas 2 opciones,   
¿ cuál consideras que es tu personalidad ?",Numero de cursos. ¿ Cuántos cursos estas llevando ?,Ciclo académico. ¿En que ciclo te encuentras ahora?,"De la escala del 1 al 5, ¿ qué tan dificiles consideras los cursos que te encuentras llevando  durante este ciclo ?","Escala de la matricula. ¿ Cual es tu escala asignada ?

Nota:
-  Recuerda que esta encuesta es 100% anónima, por lo que no deberías de preocuparte en brindarnos estos tipos de datos.
","Horas de sueño. ¿ Cuántas horas sueles dormir al día en una semana de clases ?

Nota:  
-  2.5 horas  =  2 hora y 30 minutos
-  3.5 horas  =  3 horas y 30 minutos
                      ...
-  8.5 horas  =  8 horas y 30 minutos.","Horas de ocio.  ¿ Cuántas  horas al día  realizas otras cosas externas al estudio y relacionadas al entretenimiento ?

Nota:  
-  1.5 horas  =  1 hora y 30 minutos
-  2.5 horas  =  2 horas y 30 minutos
                      ...
-  8.5 horas  =  8 horas y 30 minutos.","Horas de estudio fuera de clases.  ¿ Cuanto tiempo le dedicas a las tareas, repasos e investigación ?

Nota:  
-  1.5 horas  =  1 hora y 30 minutos
-  2.5 horas  =  2 horas y 30 minutos
                      ...
-  8.5 horas  =  8 horas y 30 minutos.",Tipo de trasporte. ¿ Qué medio de transporte usas a menudo o como te movilizas hacia la universidad ?,"Tiempo de traslado entre su domicilio y UTEC.  ¿ Cuánto tiempo (en minutos) te demoras en trasladarte de tu domicilio a la universidad ?

Nota: 

- 60 minutos = 1 hora

- 90 minutos = 1 hora y 30 minutos

- 120  minutos = 2 horas

- 150 minutos = 2 horas y 30 minutos

- 160 minutos = 3 horas",Horas dentro de la universidad. ¿ Cuántas horas pasas dentro de las instalaciones de la universidad  regularmente ?,"Distancia entre tu casa y la universidad. ¿  A cuántos kilómetros aproximadamente se encuentra tu casa a la universidad ?

Nota: 
- Ingrese su respuesta en decimales, empleando el  punto ""."" ","De la escala del 1 al 5, ¿ qué tan a gusto te sientes realizando trabajos grupales ?","De la escala del 1 al 5, ¿ qué tan a gusto te sientes realizando exposiciones en el aula ?",¿A que grupo perteneces?,Hobbie principal. ¿ De qué tipo de actividad disfrutas más a menudo ?,¿ Qué tan exhausto te sientes al día ?,Nivel de estrés. De la escala del 1 al 10 ¿ Cuál consideras que es tu nivel de estrés promedio durante un ciclo universitario  ?,Calidad de educación previa. ¿ Qué tipo de educación previa consideras tener ?
18,Ingeniería Mecánica,Masculino,Zona Centro,Introvertido,6,2,3,C,6.5,3,3,A pie,25,7,1.25,2,1,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,3,Secundaria Completa en Colegio Estatal
17,Ingeniería Ambiental,Masculino,Zona Norte,Introvertido,6,3,4,D,6.5,6,3.5,Automovil Propio,20,5,25,3,2,Estudiante,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Exhausto,6,Secundaria Completa en Colegio Particular
18,Ingeniería Mecánica,Masculino,Zona Centro,Introvertido,6,2,5,E,6.5,3,8,Bus-Micro,45,8,3.0,3,4,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,8,Secundaria Completa en Colegio Particular
18,Ciencias de la Computación,Femenina,Zona Centro,Introvertido,6,2,4,E,5.5,2,7.5,Metropolitano,100,8,19.00,3,3,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Exhausto,7,Secundaria Completa en Colegio Particular
17,Bioingeniería,Femenina,Zona Centro,Introvertido,7,1,4,D,5,3,4,Bus-Micro,60,4,9.2,2,1,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Exhausto,7,Secundaria Completa en Colegio Particular
19,Ingeniería Industrial,Femenina,Zona Centro,Introvertido,6,5,4,E,5,4.5,6,Bus-Micro,150,10,32,5,3,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,8,Secundaria Completa en Colegio Estatal
18,Ciencia de datos,Femenina,Zona Centro,Introvertido,5,2,3,E,5.5,1.5,3.5,Bus-Micro,20,4,2.8,3,3,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Exhausto,8,Secundaria Completa en Colegio Particular
20,Ingeniería Industrial,Femenina,Zona Sur,Introvertido,7,2,3,E,4.5,2.5,3,Bus-Micro,25,5,4.7,3,3,Estudiante,"Gastronomicos. - Degustacion de comida, preparacion, etc.",Ligeramente exhausto,5,Secundaria Completa en Colegio Estatal
19,Ingeniería Industrial,Masculino,Zona Centro,Extrovertido,6,2,3,E,6,1,2,Bus-Micro,15,9,5,4,3,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Ligeramente exhausto,8,Secundaria Completa en Colegio Estatal
20,Ingeniería Mecatrónica,Masculino,Zona Sur,Introvertido,6,2,4,E,5.5,3.5,4.5,Metropolitano,40,9,5.2,4,3,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,7,Secundaria Completa en Colegio Estatal
17,Ingeniería Mecatrónica,Masculino,Zona Norte,Introvertido,6,3,4,E,8,1.5,2,Metropolitano,60,6,15.2,1,2,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,8,Secundaria Completa en Colegio Estatal
31,Ingeniería Química,Femenina,Zona Sur,Extrovertido,1,1,1,A,2,1,1,Automovil Propio,10,1,1,1,1,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Muy exhausto,1,Secundaria Completa en Colegio Particular
19,Ingeniería de la Energía,Masculino,Zona Sur,Extrovertido,7,2,2,E,6,5,7,Bus-Micro,75,8,11.5,3,5,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Ligeramente exhausto,6,Secundaria Completa en Colegio Particular
18,Ingeniería Industrial,Masculino,Zona Centro,Introvertido,6,3,4,D,6.5,3,6,Automovil Propio,90,4,26,4,3,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,7,Secundaria Completa en Colegio Particular
19,Ingeniería Ambiental,Femenina,Zona Centro,Introvertido,5,4,3,E,7,2,3,Bus-Micro,15,6,23,4,3,Estudiante,"Humanidades - voluntariado, activismo, etc.",Exhausto,7,Secundaria Completa en Colegio Estatal
18,Ciencia de datos,Masculino,Zona Centro,Introvertido,6,3,5,E,6,1,5,Bus-Micro,30,6,6.3,4,2,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,9,Secundaria Completa en Colegio Estatal
17,Ingeniería Industrial,Femenina,Zona Norte,Introvertido,5,3,3,E,8,1,2.5,Metropolitano,90,6,40,4,2,Estudiante Empleado,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Muy exhausto,5,Secundaria Completa en Colegio Particular
23,Bioingeniería,Femenina,Zona Sur,Extrovertido,8,5,5,D,4.5,2,6,Bus-Micro,120,9,7.2,4,5,Estudiante Empleado,"Físicos - basados en deporte, y/o estres muscular, etc..",Muy exhausto,9,Secundaria Completa en Colegio Estatal
19,Ingeniería Ambiental,Femenina,Zona Norte,Introvertido,5,4,1,E,4.5,1.5,2.5,Metropolitano,40,4,20.3,3,3,Estudiante,"Gastronomicos. - Degustacion de comida, preparacion, etc.",Muy exhausto,2,Secundaria Completa en Colegio Particular
22,Ingeniería Mecatrónica,Masculino,Zona Centro,Introvertido,8,6,4,A,7.5,4.5,5.5,Metropolitano,40,6,29,3,3,Estudiante Empleado,"Humanidades - voluntariado, activismo, etc.",Muy exhausto,2,Secundaria Completa en Colegio Particular
18,Ingeniería Ambiental,Masculino,Zona Norte,Extrovertido,6,4,5,E,6.5,3,3,Metropolitano,50,7,40,5,5,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Muy exhausto,10,Secundaria Completa en Colegio Estatal
18,Ingeniería Ambiental,Femenina,Zona Centro,Introvertido,2,5,4,E,7,5,2.5,Automovil Propio,50,6,25,5,5,Estudiante con emprendimiento,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Exhausto,9,Secundaria Completa en Colegio Estatal
16,Ingeniería Ambiental,Masculino,Zona Norte,Extrovertido,7,1,5,E,5.5,4.5,1,Bicicleta,65,7,40,5,5,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Muy exhausto,10,Secundaria Completa en Colegio Estatal
23,Ingeniería Mecánica,Masculino,Zona Sur,Introvertido,8,8,5,E,4,2,6.5,Automovil Propio,65,7,35,5,5,Estudiante Empleado,"Humanidades - voluntariado, activismo, etc.",Muy exhausto,10,Secundaria Completa en Colegio Estatal
20,Ingeniería de la Energía,Femenina,Zona Centro,Extrovertido,7,6,5,E,7,3.5,6,A pie,15,6,15,4,3,Estudiante,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Muy exhausto,10,Secundaria Completa en Colegio Estatal
20,Ingeniería Mecánica,Masculino,Zona Norte,Introvertido,5,3,3,E,4.5,2,5,Metropolitano,40,6,23.5,3,2,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Muy exhausto,6,Secundaria Completa en Colegio Particular
17,Ingeniería Eléctrica,Masculino,Zona Sur,Introvertido,6,2,4,E,3.5,3.5,6,Metropolitano,30,6,2.5,4,4,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Ligeramente exhausto,8,Secundaria Completa en Colegio Particular
20,Ciencia de datos,Femenina,Zona Centro,Extrovertido,6,4,3,C,7,3.5,7,Automovil Propio,60,7,7,2,2,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Nada exhausto,5,Secundaria Completa en Colegio Particular
24,Ingeniería Mecatrónica,Masculino,Zona Norte,Extrovertido,5,8,2,B,6,5,7,Bus-Micro,45,6,1,3,3,Estudiante con emprendimiento,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Nada exhausto,3,Secundaria Completa en Colegio Estatal
19,Ingeniería Mecatrónica,Masculino,Zona Sur,Introvertido,6,3,4,E,5.5,4,5,Metropolitano,160,6,20.5,3,2,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,8,Secundaria Completa en Colegio Particular
23,Ingeniería Ambiental,Femenina,Zona Centro,Extrovertido,5,4,3,D,4.5,6,6.5,Bus-Micro,120,8,13.6,3,2,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Exhausto,8,Secundaria Completa en Colegio Estatal
20,Ingeniería Eléctrica,Masculino,Zona Norte,Introvertido,4,7,3,D,5.5,6,6,Bus-Micro,95,7,13.5,3,3,Estudiante Empleado,"Gastronomicos. - Degustacion de comida, preparacion, etc.",Exhausto,10,Secundaria Completa en Colegio Particular
26,Ingeniería Ambiental,Femenina,Zona Centro,Extrovertido,4,9,3,B,6,4,8,Metropolitano,60,8,3,4,3,Estudiante con emprendimiento,"Humanidades - voluntariado, activismo, etc.",Ligeramente exhausto,7,Secundaria Completa en Colegio Particular
18,Ingeniería de la Energía,Masculino,Zona Norte,Introvertido,6,4,4,A,5,5,7,Metropolitano,70,7,10,4,1,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,7,Secundaria Completa en Colegio Estatal
19,Ingeniería Eléctrica,Masculino,Zona Sur,Introvertido,6,3,5,C,5,6,8,Bicicleta,120,8,25,5,1,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Ligeramente exhausto,7,Secundaria Completa en Colegio Particular
22,Ingeniería de la Energía,Masculino,Zona Sur,Extrovertido,6,9,4,E,5,2,6,Bus-Micro,30,5,6,3,3,Estudiante,"Humanidades - voluntariado, activismo, etc.",Ligeramente exhausto,7,Secundaria Completa en Colegio Particular
18,Ingeniería Mecánica,Masculino,Zona Sur,Introvertido,8,4,5,D,4,7,9,Metropolitano,90,7,40,3,1,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,9,Secundaria Completa en Colegio Estatal
18,Ingeniería Industrial,Femenina,Zona Centro,Extrovertido,6,2,5,E,6.5,7.5,8,Metropolitano,85,8,40,3,3,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Exhausto,9,Secundaria Completa en Colegio Particular
20,Administración y Negocios Digitales,Femenina,Zona Norte,Extrovertido,7,4,5,D,5.5,6.5,8,Metropolitano,140,7,35,4,1,Estudiante,"Humanidades - voluntariado, activismo, etc.",Exhausto,8,Secundaria Completa en Colegio Estatal
20,Ingeniería Mecatrónica,Masculino,Zona Norte,Extrovertido,5,3,4,E,5,2.5,7,Bus-Micro,30,7,14.5,3,3,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,8,Secundaria Completa en Colegio Particular
24,Ingeniería Civil,Femenina,Zona Sur,Introvertido,6,6,4,E,7,4.5,7.5,Metropolitano,85,7,27,2,1,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,6,Secundaria Completa en Colegio Particular
19,Bioingeniería,Masculino,Zona Sur,Extrovertido,6,5,4,B,7,6,6.5,Bus-Micro,110,6,30,4,1,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Ligeramente exhausto,7,Secundaria Completa en Colegio Estatal
18,Ciencias de la Computación,Femenina,Zona Norte,Extrovertido,4,6,3,E,5.5,5.5,7.5,Metropolitano,135,7,26,5,2,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Ligeramente exhausto,8,Secundaria Completa en Colegio Particular
20,Ciencias de la Computación,Masculino,Zona Centro,Extrovertido,6,4,2,B,7,7,4,Ebike / Scooter electrico,60,6,8,4,3,Estudiante con emprendimiento,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,8,Secundaria Completa en Colegio Particular
17,Ingeniería Mecatrónica,Masculino,Zona Sur,Introvertido,7,1,5,E,6,4.5,8,Metropolitano,150,8,38,1,1,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Exhausto,10,Secundaria Completa en Colegio Estatal
18,Ingeniería Industrial,Femenina,Zona Centro,Extrovertido,6,3,3,C,5.5,2.5,8,Bus-Micro,80,7,19,5,1,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Ligeramente exhausto,8,Secundaria Completa en Colegio Estatal
19,Ingeniería Química,Masculino,Zona Sur,Extrovertido,7,3,4,B,5,4.5,7,Bus-Micro,55,9,12,2,3,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Ligeramente exhausto,6,Secundaria Completa en Colegio Estatal
26,Administración y Negocios Digitales,Masculino,Zona Centro,Introvertido,4,10,5,A,6,3.5,8,Bicicleta,90,8,10,5,1,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,7,Secundaria Completa en Colegio Particular
28,Ciencias de la Computación,Femenina,Zona Norte,Extrovertido,3,8,5,A,5,5,5,Metropolitano,105,7,32,4,2,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Exhausto,8,Secundaria Completa en Colegio Particular
22,Ingeniería Mecatrónica,Masculino,Zona Sur,Introvertido,5,2,4,E,6,2,6,A pie,15,8,3,2,2,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Muy exhausto,8,Secundaria Completa en Colegio Estatal
22,Ingeniería Química,Femenina,Zona Centro,Introvertido,6,6,4,A,7,2.5,7,Metropolitano,100,7,30,4,1,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,7,Secundaria Completa en Colegio Particular
18,Ciencia de datos,Masculino,Zona Centro,Introvertido,5,3,4,D,7.5,6,2.5,Bus-Micro,50,6,6.5,3,4,Estudiante,"Ludicos. - Juegos de mesa, azar, coleccionismo, etc.",Exhausto,7,Secundaria Completa en Colegio Particular
17,Ciencias de la Computación,Femenina,Zona Norte,Introvertido,6,1,5,C,8,4.5,3,Metropolitano,90,7,8.4,5,4,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Ligeramente exhausto,6,Secundaria Completa en Colegio Particular
20,Ingeniería Mecánica,Masculino,Zona Sur,Introvertido,5,6,5,E,6.5,3,5.5,Bus-Micro,120,7,10,2,4,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Muy exhausto,10,Secundaria Completa en Colegio Estatal
19,Ingeniería Civil,Femenina,Zona Centro,Introvertido,6,4,3,B,8.5,5,3.5,Taxi,35,7,4.3,5,2,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Ligeramente exhausto,5,Secundaria Completa en Colegio Particular
19,Ingeniería Mecánica,Masculino,Zona Norte,Introvertido,6,3,4,E,4.5,3,5.5,Metropolitano,40,6,30,1,1,Estudiante,"Humanidades - voluntariado, activismo, etc.",Muy exhausto,10,Secundaria Completa en Colegio Estatal
18,Administración y Negocios Digitales,Masculino,Zona Sur,Extrovertido,7,4,4,E,6,3,5,Bus-Micro,80,7,40,3,3,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Muy exhausto,10,Secundaria Completa en Colegio Particular
19,Ingeniería Química,Femenina,Zona Norte,Introvertido,2,5,4,E,6,3.5,4,Bicicleta,30,6,33.2,1,1,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Muy exhausto,10,Secundaria Completa en Colegio Estatal
22,Administración y Negocios Digitales,Masculino,Zona Centro,Extrovertido,4,9,2,C,7,4,4,Automovil Propio,45,5,4.5,5,4,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Nada exhausto,3,Secundaria Completa en Colegio Particular
19,Ingeniería Química,Masculino,Zona Centro,Extrovertido,6,4,5,D,5.5,5.5,1.5,Bus-Micro,70,8,8.3,2,4,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Muy exhausto,10,Secundaria Completa en Colegio Particular
17,Ingeniería Mecatrónica,Masculino,Zona Sur,Introvertido,6,2,2,D,6.5,4.5,6.5,A pie,30,7,1.4,3,5,Estudiante,"Gastronomicos. - Degustacion de comida, preparacion, etc.",Ligeramente exhausto,4,Secundaria Completa en Colegio Particular
18,Ingeniería Eléctrica,Masculino,Zona Norte,Introvertido,4,3,2,E,7.5,7,1.5,Bus-Micro,35,4,1.2,5,5,Estudiante,"Físicos - basados en deporte, y/o estres muscular, etc..",Ligeramente exhausto,2,Secundaria Completa en Colegio Estatal
16,Ciencias de la Computación,Masculino,Zona Centro,Introvertido,6,1,2,B,8,3,3.5,Automovil Propio,30,6,6.3,3,4,Estudiante,"Tecnologicos -  programacion, videojuegos, robotica, etc.",Ligeramente exhausto,1,Secundaria Completa en Colegio Particular
20,Administración y Negocios Digitales,Masculino,Zona Norte,Extrovertido,4,4,3,C,8.5,2,1.5,Bicicleta,30,4,2.6,5,5,Estudiante Empleado,"Gastronomicos. - Degustacion de comida, preparacion, etc.",Exhausto,5,Secundaria Completa en Colegio Particular
19,Ingeniería Civil,Femenina,Zona Sur,Introvertido,5,3,3,E,5.5,2.5,4.5,Metropolitano,65,7,10.1,4,2,Estudiante,"Artisticos - Dibujo, pintura, teatro, baile, etc.",Muy exhausto,8,Secundaria Completa en Colegio Estatal
