Edad,Genero,Carrera,Ciclo,Nrelaciones,Relacion,MismaUniversidad,RAcademicoAfectado,INegativoMotivacion,Desafios,FormasDeApoyo,VidaAmorosa,VidaAcademica,RelacionVidaAmorosaYAcadémica,AdministarTiempo,HEstudio,HPareja,FaltaClases,RelacionYUniversidad,DiscusionesAfectaConcentracion,Desconcentracion,RupturaAfectaExamenes,Promedio,FormasAfectaRendimientoAcademico
19,Femenino,Bioingeniería,4,2,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",R,5,5,5,No,3.4,1.2,Sí,Sí considero,No afecta,Sí,No,16,Menor tiempo de preparación para las evaluaciones
20,Masculino,Ingeniería Indusrial,2,3,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de confianza o celos en la relación",R,4,5,3,No,2.4,3.3,Sí,Sí considero,Sí afecta,Sí,Sí,15,"Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
21,Masculino,Ingeniería Indusrial,2,2,Sí,No,Sí,No,Distracción y desconcentración,C-T-R,3,8,0,No,4.4,3.2,Sí,No considero,No afecta,Sí,No,17.2,"Falta de concentración en clases, Baja participación en trabajos grupales"
20,Femenino,Ingeniería Indusrial,6,1,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja",R,5,7,5,Sí,3.4,1.4,Sí,Sí considero,Sí afecta,Sí,Sí,14.8,"Menor tiempo de preparación para las evaluaciones, Disminución del promedio de notas o obtención de notas desaprobatorias"
18,Masculino,Ingeniería Mecatrónica,3,3,Sí,No,Sí,No,"Problemas de confianza o celos en la relación, Distracción y desconcentración",T,3,7,5,No,5.6,1.2,No,Sí considero,Sí afecta,Sí,Sí,15.4,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
19,Masculino,Ciencia de la Computación,3,2,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",C,2,6,5,No,6.1,1.2,No,Sí considero,Sí afecta,Sí,No,14,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
18,Masculino,Ingeniería Indusrial,4,2,Sí,No,Sí,No,Distracción y desconcentración,C,2,5,4,No,4.5,2.1,Sí,No considero,Sí afecta,Sí,Sí,14.9,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
18,Femenino,Ingeniería Indusrial,2,2,Sí,No,No,No,Falta de tiempo,R,4,8,5,Sí,6.3,3.1,No,Sí considero,No afecta,No,No,15,Disminución del promedio de notas o obtención de notas desaprobatorias
21,Femenino,Ingeniería Civil,6,2,Sí,No,Sí,Sí,"Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",C,5,5,4,Sí,3.4,2.3,Sí,Sí considero,Sí afecta,Sí,Sí,14.6,"Falta de concentración en clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias"
19,Femenino,Ingeniería Civil,6,1,Sí,Sí,Sí,Sí,Distracción y desconcentración,R,3,7,7,Sí,4.5,1.5,Sí,Sí considero,Sí afecta,Sí,Sí,17.5,"Menor tiempo de preparación para las evaluaciones, Inasistencia a clases"
22,Femenino,Administración y Negocios Digitales,6,1,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T-R,6,3,3,No,2.3,2.3,Sí,Sí considero,Sí afecta,Sí,Sí,12.6,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias"
19,Masculino,Bioingeniería,2,1,Sí,Sí,Sí,No,"Problemas de comunicación con la pareja, Distracción y desconcentración",C-T,8,6,6,No,3.4,5.1,No,Sí considero,Sí afecta,Sí,Sí,16,"Falta de concentración en clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias"
18,Masculino,Ingeniería Electrónica,3,3,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",T,3,3,3,No,2.3,3.1,No,Sí considero,Sí afecta,Sí,No,12.8,Menor tiempo de preparación para las evaluaciones
22,Femenino,Ingeniería Indusrial,2,3,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",T,4,6,5,No,2.3,4.2,No,Sí considero,Sí afecta,Sí,Sí,15.6,Falta de concentración en clases
18,Masculino,Ingeniería Indusrial,8,2,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",T,6,7,6,No,2.3,2.1,No,Sí considero,No afecta,Sí,No,15.4,Menor tiempo de preparación para las evaluaciones
20,Masculino,Ingeniería Civil,2,3,Sí,No,No,Sí,Falta de tiempo,C-T,5,6,4,No,5.6,3.1,Sí,Sí considero,No afecta,Sí,Sí,15.1,Menor tiempo de preparación para las evaluaciones
20,Masculino,Ingeniería Ambiental,3,3,Sí,No,Sí,Sí,"Falta de tiempo, Distracción y desconcentración",C-R,5,4,3,Sí,6.2,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.6,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos"
21,Femenino,Administración y Negocios Digitales,4,2,Sí,No,Sí,No,Problemas de comunicación con la pareja,C,8,7,9,No,4.3,2.9,Sí,Sí considero,Sí afecta,Sí,Sí,18,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
18,Femenino,Ingeniería Ambiental,3,1,Sí,No,Sí,No,Problemas de comunicación con la pareja,R,5,5,6,Sí,4.3,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,15,Falta de concentración en clases
20,Femenino,Ingeniería Ambiental,4,3,Sí,No,Sí,Sí,Distracción y desconcentración,T,5,3,5,No,6,3.3,No,Sí considero,Sí afecta,Sí,Sí,12,Baja participación en trabajos grupales
18,Masculino,Ingeniería Electrónica,2,3,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración",R,1,6,0,No,3.4,2.9,Sí,Sí considero,Sí afecta,Sí,No,15.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos"
18,Femenino,Ingeniería Indusrial,8,1,Sí,No,Sí,No,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",T,4,6,0,No,3.4,3.1,No,No considero,No afecta,Sí,No,15,Falta de concentración en clases
20,Femenino,Bioingeniería,2,1,Sí,No,No,No,"Falta de tiempo, Distracción y desconcentración",C,6,4,6,No,2.3,2.1,Sí,Sí considero,No afecta,Sí,No,14,"Menor tiempo de preparación para las evaluaciones, Baja participación en trabajos grupales"
18,Femenino,Ciencia de Datos,2,1,Sí,Sí,Sí,No,Distracción y desconcentración,R,10,7,10,No,2.3,2.3,No,Sí considero,No afecta,Sí,No,18.3,Menor tiempo de preparación para las evaluaciones
23,Masculino,Ingeniería Civil,6,5,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración",C-T-R,5,4,5,No,4.5,4.2,Sí,Sí considero,Sí afecta,Sí,Sí,15.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases"
19,Femenino,Ingeniería Ambiental,2,1,Sí,No,Sí,No,Falta de tiempo,T,2,6,7,No,1.2,1.2,No,Sí considero,No afecta,No,No,14,"Menor tiempo de preparación para las evaluaciones, Desaprobando cursos"
18,Masculino,Ciencia de la Computación,3,5,Sí,No,No,No,Distracción y desconcentración,R,5,7,6,No,4.5,3.1,No,Sí considero,No afecta,No,No,16.6,Falta de concentración en clases
18,Femenino,Ingeniería Indusrial,2,1,Sí,No,Sí,Sí,"Falta de tiempo, Distracción y desconcentración",C,5,8,5,Sí,3.4,1.1,Sí,Sí considero,Sí afecta,Sí,Sí,17.7,Falta de concentración en clases
20,Femenino,Ingeniería Indusrial,8,2,Sí,No,No,No,"Problemas de confianza o celos en la relación, Distracción y desconcentración",T,8,7,7,Sí,6,1.1,Sí,No considero,No afecta,Sí,No,14,Menor tiempo de preparación para las evaluaciones
18,Masculino,Ingeniería Indusrial,2,2,Sí,Sí,Sí,No,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T-R,8,6,7,No,2.3,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,15.2,"Menor tiempo de preparación para las evaluaciones, Inasistencia a clases, Baja participación en trabajos grupales"
19,Femenino,Ingeniería Indusrial,2,3,Sí,Sí,No,No,Falta de tiempo,R,10,10,10,Sí,3.4,1.1,Sí,No considero,No afecta,Sí,No,18,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
18,Femenino,Ingeniería Indusrial,4,5,Sí,No,Sí,No,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T-R,10,6,6,No,3.4,1.1,Sí,Sí considero,No afecta,Sí,Sí,15,Inasistencia a clases
19,Femenino,Ingeniería Indusrial,4,1,Sí,No,Sí,Sí,Falta de tiempo,C,5,5,2,Sí,1.2,1.1,Sí,Sí considero,Sí afecta,Sí,Sí,14,Falta de concentración en clases
19,Masculino,Ingeniería Indusrial,3,5,Sí,No,No,No,"Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración",C-T-R,5,3,4,No,6.1,1.1,No,Sí considero,Sí afecta,Sí,Sí,12.8,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
18,Masculino,Ingeniería Química,2,7,Sí,No,No,No,"Falta de tiempo, Problemas de comunicación con la pareja",T,4,7,5,Sí,2.3,3.1,Sí,Sí considero,No afecta,Sí,Sí,17.2,Falta de concentración en clases
19,Masculino,Ingeniería Indusrial,8,1,Sí,No,Sí,No,Falta de tiempo,R,8,7,7,No,4.5,3.1,No,Sí considero,No afecta,Sí,Sí,15.5,Menor tiempo de preparación para las evaluaciones
18,Masculino,Ingeniería Indusrial,2,2,Sí,No,No,No,"Falta de tiempo, Problemas de confianza o celos en la relación",C-T,3,4,8,No,3.4,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,13.8,Menor tiempo de preparación para las evaluaciones
21,Masculino,Ingeniería Civil,6,2,Sí,No,No,No,Falta de tiempo,C,5,6,8,No,3.4,2.1,Sí,Sí considero,No afecta,Sí,Sí,14.6,Menor tiempo de preparación para las evaluaciones
20,Masculino,Ciencia de la Computación,2,1,Sí,No,Sí,Sí,"Falta de tiempo, Distracción y desconcentración",C,6,7,6,No,1.2,3.1,Sí,Sí considero,Sí afecta,Sí,Sí,17.6,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases"
19,Masculino,Ingeniería Mecatrónica,2,2,Sí,No,No,No,Falta de tiempo,R,8,4,8,No,5.3,3.1,No,Sí considero,No afecta,Sí,No,12,Falta de concentración en clases
19,Femenino,Ingeniería Civil,4,5,Sí,No,Sí,No,"Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración",C-T-R,3,5,0,No,5.3,3.1,No,Sí considero,Sí afecta,Sí,Sí,14.5,Menor tiempo de preparación para las evaluaciones
20,Femenino,Ingeniería Civil,4,1,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja",T-R,4,0,3,No,4.4,3.1,No,Sí considero,Sí afecta,Sí,Sí,11.9,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Baja participación en trabajos grupales"
21,Femenino,Bioingeniería,4,3,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T,7,7,7,Sí,1.3,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,15.6,"Menor tiempo de preparación para las evaluaciones, Inasistencia a clases"
18,Masculino,Ingeniería Mecatrónica,2,5,Sí,No,No,No,"Falta de tiempo, Distracción y desconcentración",T,5,8,5,No,1.3,2.1,No,Sí considero,Sí afecta,Sí,Sí,15.9,Falta de concentración en clases
18,Femenino,Ingeniería Indusrial,2,3,Sí,No,No,No,Falta de tiempo,C,3,6,2,No,5.3,2.1,No,Sí considero,Sí afecta,Sí,No,18.2,"Falta de concentración en clases, Inasistencia a clases, Baja participación en trabajos grupales"
18,Masculino,Ingeniería Civil,8,9,Sí,No,No,No,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T-R,10,4,8,No,2.3,1.1,No,Sí considero,No afecta,Sí,Sí,13.4,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos"
19,Masculino,Ingeniería Civil,2,6,Sí,Sí,No,No,"Falta de tiempo, Distracción y desconcentración",C,8,5,7,No,1.2,3.1,No,Sí considero,No afecta,Sí,No,14,Menor tiempo de preparación para las evaluaciones
19,Femenino,Ingeniería Indusrial,2,1,Sí,No,No,No,Distracción y desconcentración,T,5,6,5,No,4.5,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,16.9,Falta de concentración en clases
19,Masculino,Ciencia de la Computación,5,1,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-R,3,7,4,No,4.4,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,15.4,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases"
18,Femenino,Ingeniería Química,8,2,Sí,No,No,No,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-R,4,7,4,No,6.7,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,15.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos"
19,Masculino,Ingeniería Civil,3,2,Sí,No,Sí,No,"Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",C,8,8,6,No,2.3,1.1,Sí,Sí considero,Sí afecta,Sí,Sí,14.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
20,Femenino,Ingeniería Ambiental,2,1,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",T,9,9,9,Sí,4.5,2.1,No,Sí considero,Sí afecta,Sí,Sí,16.8,Falta de concentración en clases
18,Femenino,Ingeniería Química,4,1,Sí,Sí,Sí,No,"Falta de tiempo, Problemas de comunicación con la pareja",T,10,4,8,Sí,1.2,1.1,No,Sí considero,No afecta,Sí,Sí,13.5,Menor tiempo de preparación para las evaluaciones
20,Femenino,Ingeniería Indusrial,4,1,Sí,No,Sí,No,"Falta de tiempo, Problemas de comunicación con la pareja, Distracción y desconcentración",T,0,8,5,Sí,5.6,3.1,Sí,Sí considero,No afecta,Sí,No,15.5,Menor tiempo de preparación para las evaluaciones
20,Masculino,Ingeniería Indusrial,2,1,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",C-T,10,7,9,Sí,2.3,3.1,No,Sí considero,Sí afecta,Sí,Sí,14,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos"
18,Femenino,Ingeniería Indusrial,2,3,Sí,No,No,No,Falta de tiempo,C,7,7,7,Sí,1.2,3.1,No,Sí considero,No afecta,Sí,No,14,Falta de concentración en clases
20,Masculino,Bioingeniería,4,3,Sí,Sí,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",R,3,1,4,No,3.4,4.1,Sí,Sí considero,Sí afecta,Sí,Sí,14,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Desaprobando cursos"
19,Masculino,Ingeniería Mecatrónica,3,1,Sí,No,Sí,Sí,"Falta de tiempo, Distracción y desconcentración",C-T,9,7,9,Sí,3.4,1.1,No,Sí considero,No afecta,Sí,No,14.8,Menor tiempo de preparación para las evaluaciones
18,Masculino,Ingeniería Mecatrónica,3,1,Sí,No,No,No,Falta de tiempo,R,4,6,0,No,3.4,1.1,Sí,Sí considero,No afecta,Sí,No,17.5,Falta de concentración en clases
18,Masculino,Ingeniería Mecatrónica,3,1,Sí,No,No,No,Falta de tiempo,C,4,4,0,No,1.2,2.1,Sí,Sí considero,No afecta,Sí,No,12.5,Menor tiempo de preparación para las evaluaciones
17,Masculino,Ingeniería Mecatrónica,3,1,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T,6,7,3,No,1.2,2.3,Sí,Sí considero,Sí afecta,Sí,Sí,17.2,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
18,Masculino,Ingeniería Mecatrónica,3,3,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T-R,5,8,5,No,3.4,1.1,No,Sí considero,Sí afecta,Sí,Sí,18.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
17,Femenino,Ingeniería Indusrial,2,1,Sí,No,No,No,Distracción y desconcentración,C,5,8,8,Sí,2.3,0,Sí,Sí considero,No afecta,Sí,No,15,Falta de concentración en clases
18,Femenino,Ingeniería Indusrial,2,3,Sí,No,Sí,No,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T-R,5,5,5,No,6.7,4.1,Sí,No considero,Sí afecta,Sí,Sí,13.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
22,Masculino,Ingeniería Civil,4,3,Sí,No,Sí,No,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T-R,10,6,0,No,3.4,3.1,Sí,No considero,Sí afecta,Sí,Sí,14.2,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos"
19,Masculino,Ingeniería Indusrial,2,2,Sí,No,No,No,"Problemas de confianza o celos en la relación, Distracción y desconcentración",T,4,7,4,Sí,3.4,2.1,No,No considero,Sí afecta,Sí,Sí,16.7,Falta de concentración en clases
18,Masculino,Ingeniería Indusrial,2,3,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",T,4,7,0,No,7.8,2.1,Sí,No considero,Sí afecta,Sí,No,16.3,Menor tiempo de preparación para las evaluaciones
20,Femenino,Ingeniería Indusrial,4,5,Sí,Sí,No,No,"Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",C-T,3,4,0,No,5.6,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,14.6,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Inasistencia a clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias, Desaprobando cursos"
18,Femenino,Ingeniería Indusrial,2,3,Sí,No,Sí,No,"Falta de tiempo, Distracción y desconcentración",R,4,6,5,Sí,4.5,1.1,No,Sí considero,Sí afecta,No,Sí,16.8,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Disminución del promedio de notas o obtención de notas desaprobatorias"
19,Masculino,Ingeniería Indusrial,6,2,Sí,No,No,No,"Falta de tiempo, Distracción y desconcentración",C-T-R,5,6,6,Sí,1.2,3.3,No,Sí considero,Sí afecta,No,No,13.5,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases, Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias"
19,Femenino,Ingeniería Indusrial,2,1,Sí,No,Sí,No,Distracción y desconcentración,C-T,3,3,1,No,2.4,2.1,No,No considero,No afecta,Sí,No,13.6,Disminución del promedio de notas o obtención de notas desaprobatorias
19,Femenino,Ingeniería Química,5,3,Sí,No,Sí,Sí,"Falta de tiempo, Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación, Distracción y desconcentración",C-T,6,7,4,Sí,4.5,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,13,"Baja participación en trabajos grupales, Disminución del promedio de notas o obtención de notas desaprobatorias"
19,Masculino,Ingeniería Indusrial,2,3,Sí,No,No,No,Falta de tiempo,T,9,8,8,Sí,2.3,2.1,Sí,Sí considero,Sí afecta,Sí,Sí,14,Menor tiempo de preparación para las evaluaciones
18,Femenino,Bioingeniería,2,2,Sí,No,Sí,Sí,"Problemas de comunicación con la pareja, Problemas de confianza o celos en la relación",C-T,5,7,6,Sí,2.3,2.1,No,No considero,Sí afecta,Sí,Sí,16.4,Falta de concentración en clases
19,Femenino,Ingeniería Indusrial,2,3,Sí,No,Sí,No,Falta de tiempo,T,2,5,4,No,5.1,3.1,Sí,Sí considero,No afecta,Sí,No,14.7,"Menor tiempo de preparación para las evaluaciones, Falta de concentración en clases"
