Edad,Sexo,Carrera,Ciclo,Cant.Cursos,CursosR,Promedio,H.Sueño,H.Nocturno,T.T.Dormir,Cant.D.U,Somnolencia,Noches.sin.dormir,Horas.de.estudio,Calidad.de.sueño,Espacios_de_descanso,Satisfacción,Piso11,Piso6,NoEspacio,Biblioteca,Comedor,SalonVacio,Piso1,Total_espacio
17,Femenino,Ingeniería mecánica,1,7,No,NA,4,no,45,2,Sí,9,4,5,Salones vacíos,3,0,0,0,0,0,1,0,1
18,Masculino,Ingeniería mecánica,1,7,No,17.8,5.3,no,10,2,Sí,0,5,3,Piso 11;Piso 6;Salones vacíos,3,1,1,0,0,0,1,0,3
19,Femenino,Ingeniería civil,2,6,No,16.5,6,no,10,0,Sí,2,6,3,Piso 11,4,1,0,0,0,0,0,0,1
20,Masculino,Ingeniería civil,2,5,No,15.75,7,no,10,0,Sí,0,4,3,Piso 11,2,1,0,0,0,0,0,0,1
18,Masculino,Ingeniería Industrial,3,5,No,13.96,7,no,8,0,Sí,12,5,3,Piso 11,2,1,0,0,0,0,0,0,1
18,Femenino,Ingeniería mecatrónica,3,6,No,13.63,5,no,30,0,Sí,3,20,2,No hay,2,0,0,1,0,0,0,0,0
20,Femenino,Ingeniería civil,2,6,No,16.83,7.3,no,15,1,Sí,3,5,3,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
19,Femenino,Ingeniería Industrial,4,6,No,15.3,6,sí,5,0,Sí,0,35,2,Piso 11;Comedor;Salones vacíos,4,1,0,0,0,1,1,0,3
20,Masculino,Ingeniería civil,2,5,Sí,11.97,5.3,no,1,0,Sí,3,19.3,3,Piso 11,4,1,0,0,0,0,0,0,1
20,Masculino,Ingeniería mecatrónica,2,6,No,14.5,6.3,sí,15,0,Sí,0,6,3,Piso 11;No hay;Salones vacíos,1,1,0,0,0,0,1,0,2
20,Femenino,Ingeniería civil,2,7,Sí,13.9,6.3,no,10,5,Sí,10,10,3,Piso 11,5,1,0,0,0,0,0,0,1
19,Femenino,Ingeniería ambiental,3,5,Sí,13.2,6.1,no,30,3,Sí,NA,14,3,No hay,3,0,0,1,0,0,0,0,0
21,Femenino,Ingeniería Industrial,4,6,Sí,13,8,sí,30,1,Sí,NA,24,4,No hay,1,0,0,1,0,0,0,0,0
23,Masculino,Ingeniería civil,5,7,Sí,11.7,6,sí,60,0,Sí,1,12,2,Piso 11;Piso 6,4,1,1,0,0,0,0,0,2
18,Femenino,Ingeniería civil,2,8,Sí,13,4,no,30,6,Sí,7,6,4,Piso 6,4,0,1,0,0,0,0,0,1
19,Masculino,Ingeniería mecánica,5,7,No,14.65,5,no,10,3,Sí,10,10,2,Piso 11,1,1,0,0,0,0,0,0,1
20,Masculino,Ingeniería Industrial,7,5,Sí,13.27,6.3,sí,10,2,Sí,5,5.3,3,Piso 11;Piso 6;Salones vacíos,4,1,1,0,0,0,1,0,3
23,Masculino,Ingeniería electrónica,5,4,Sí,15.3,4.3,no,15,2,Sí,5,15,3,Piso 11;Salones vacíos,1,1,0,0,0,0,1,0,2
17,Masculino,Ingeniería mecatrónica,1,7,No,15,7.3,sí,10,0,Sí,0,6,3,Piso 11,2,1,0,0,0,0,0,0,1
19,Masculino,Ingeniería electrónica,4,7,No,16.5,6,sí,1,NA,Sí,3,8,3,Piso 11,3,1,0,0,0,0,0,0,1
20,Masculino,Ingeniería electrónica,4,8,No,17.34,5,sí,1,7,Sí,3,8,3,Piso 11;Piso 6;No hay,3,1,1,0,0,0,0,0,2
19,Masculino,Ingeniería ambiental,2,6,No,14.45,7,no,10,3,Sí,0,0,3,No hay,3,0,0,1,0,0,0,0,0
18,Femenino,Ingeniería ambiental,2,6,Sí,12.56,8,no,60,2,Sí,5,2,3,Piso 11,3,1,0,0,0,0,0,0,1
17,Masculino,Bioingeniería,1,6,No,NA,6.3,sí,7,2,Sí,2,6.3,3,Piso 11;Salones vacíos,4,1,0,0,0,0,1,0,2
18,Masculino,Ingeniería química,2,5,No,17.2,5,sí,7,2,Sí,2,12,4,Piso 11;Piso 6,4,1,1,0,0,0,0,0,2
20,Masculino,Ingeniería civil,5,6,No,16,5,no,15,4,Sí,3,6,4,Piso 11;Piso 6;Salones vacíos,3,1,1,0,0,0,1,0,3
20,Femenino,Ingeniería Industrial,4,5,No,15,6,no,30,1,Sí,10,10,2,Piso 11,2,1,0,0,0,0,0,0,1
28,Masculino,Ingeniería Industrial,1,4,No,NA,5,no,10,0,Sí,0,15,3,No hay,1,0,0,1,0,0,0,0,0
19,Masculino,Ingeniería civil,4,7,No,14.0054,6,no,90,5,No,6,28,3,Piso 11;Piso 6,1,1,1,0,0,0,0,0,2
17,Masculino,Ciencia de la computación,1,6,No,NA,8,no,1,0,Sí,0,1,3,Piso 11;Piso 6,5,1,1,0,0,0,0,0,2
22,Masculino,Ingeniería química,7,5,Sí,12.6,6,no,30,4,Sí,3,4,2,No hay,1,0,0,1,0,0,0,0,0
20,Masculino,Ingeniería Industrial,5,6,No,15.02,7,no,10,1,No,3,5,3,No hay,1,0,0,1,0,0,0,0,0
19,Masculino,Ingeniería Industrial,7,6,Sí,15,8,sí,60,3,Sí,0,3,3,Biblioteca;Piso 1,1,0,0,0,1,0,0,1,2
19,Masculino,Ingeniería mecatrónica,5,4,Sí,11,5.2,no,60,3,Sí,NA,8,3,Piso 11;Biblioteca;Salones vacíos;Piso 1,2,1,0,0,1,0,1,1,4
22,Femenino,Bioingeniería,4,6,Sí,13,6,no,1,0,Sí,1,4,3,Piso 11;Piso 6,2,1,1,0,0,0,0,0,2
19,Masculino,Ingeniería civil,5,6,No,14.5,5,sí,15,0,No,0,10,5,Piso 11;Piso 6;Salones vacíos;Piso 1,3,1,1,0,0,0,1,1,4
18,NA,Administración y negocios digitales,1,7,No,15,6.3,no,15,0,Sí,2,5,3,No hay,2,0,0,1,0,0,0,0,0
17,Femenino,Ingeniería civil,2,6,Sí,14.9,5,no,2,3,Sí,6,14.5,1,Piso 11;No hay,2,1,0,0,0,0,0,0,1
18,Femenino,Ingeniería civil,2,6,No,14.13,4.3,no,1,1,Sí,2,6.3,3,No hay,2,0,0,1,0,0,0,0,0
21,Masculino,Ciencia de la computación,6,5,No,17.35,6,sí,15,2,Sí,3,8,3,Biblioteca,1,0,0,0,1,0,0,0,1
20,Masculino,Ingeniería Industrial,4,4,Sí,12.5,6,no,1,0,Sí,0,4,4,Piso 11;Piso 1,3,1,0,0,0,0,0,1,2
19,Masculino,Ingeniería civil,5,6,No,15.89,6,sí,30,2,Sí,3,6,4,No hay,2,0,0,1,0,0,0,0,0
19,Masculino,Ingeniería civil,5,6,No,13.93,7,no,15,2,Sí,0,3,1,Piso 11,3,1,0,0,0,0,0,0,1
21,Masculino,Ingeniería Industrial,5,6,Sí,12.51,6,no,10,0,Sí,0,8,3,Piso 11;Piso 6;Comedor,2,1,1,0,0,1,0,0,3
20,Femenino,Ingeniería Industrial,4,6,No,15.15,5,no,10,0,Sí,6,9,3,Piso 11,4,1,0,0,0,0,0,0,1
20,Masculino,Administración y negocios digitales,5,5,No,18,7,no,45,0,Sí,NA,0,3,No hay,1,0,0,1,0,0,0,0,0
22,Femenino,Administración y negocios digitales,5,6,No,17.4,7.3,sí,3,0,No,0,1,4,Piso 11,1,1,0,0,0,0,0,0,1
22,Masculino,Administración y negocios digitales,5,5,No,14.97,7,no,15,0,Sí,3,5,3,No hay,1,0,0,1,0,0,0,0,0
20,Masculino,Administración y negocios digitales,5,4,No,13,5,no,5,1,Sí,0,1,5,No hay,2,0,0,1,0,0,0,0,0
21,Masculino,Ciencia de la computación,6,5,No,16.82,7,no,5,2,Sí,2,20,3,No hay,2,0,0,1,0,0,0,0,0
22,Masculino,Ingeniería mecánica,9,5,No,14.4,6,sí,15,3,Sí,2,22,5,Piso 11;Piso 6;Biblioteca,3,1,1,0,1,0,0,0,3
21,Femenino,Ciencia de la computación,4,6,No,16.5,5,no,3,0,No,0,8,3,Piso 11,3,1,0,0,0,0,0,0,1
19,Femenino,Ingeniería civil,6,7,No,15.67,5,no,30,0,Sí,NA,16,5,Piso 11;Salones vacíos,3,1,0,0,0,0,1,0,2
22,Masculino,Bioingeniería,8,4,Sí,13.47,7,no,60,0,No,2,4,3,Piso 11,2,1,0,0,0,0,0,0,1
18,Masculino,Ingeniería Industrial,1,7,No,NA,5,no,30,2,No,2,30,4,Piso 11,4,1,0,0,0,0,0,0,1
17,Masculino,Ingeniería Industrial,1,6,No,NA,3,sí,5,0,Sí,1,2,2,Piso 11;Piso 6;Biblioteca,1,1,1,0,1,0,0,0,3
17,Masculino,Ingeniería Industrial,1,8,No,NA,5,sí,10,1,No,2,7,1,Piso 11;Piso 6,2,1,1,0,0,0,0,0,2
17,Masculino,Ingeniería Industrial,1,5,No,NA,6.3,sí,10,0,Sí,0,7.3,4,Piso 11;Piso 6;Biblioteca,2,1,1,0,1,0,0,0,3
17,Masculino,Ingeniería Industrial,1,6,No,NA,3.2,no,15,0,No,NA,4.3,1,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
17,Masculino,Ingeniería Industrial,1,7,No,NA,6,no,1,1,No,0,10,2,Piso 11;Biblioteca,3,1,0,0,1,0,0,0,2
18,Femenino,Ingeniería Industrial,1,6,No,NA,5,no,5,0,Sí,0,12,4,Piso 11;Piso 6;Biblioteca,5,1,1,0,1,0,0,0,3
17,Femenino,Ingeniería Industrial,1,6,No,NA,5,no,10,0,Sí,2,6,1,Piso 11;Piso 6;Biblioteca,3,1,1,0,1,0,0,0,3
16,Femenino,Ingeniería Industrial,1,6,No,15,7,no,100,1,Sí,1,3,3,Piso 11;Salones vacíos;Piso 1,4,1,0,0,0,0,1,1,3
18,Masculino,Ingeniería Industrial,1,6,No,16.5,4.3,sí,30,0,Sí,3,3.4,2,Piso 11;Piso 6;Comedor;Salones vacíos,3,1,1,0,0,1,1,0,4
18,Masculino,Ingeniería Industrial,1,7,No,15,5.3,no,20,0,No,5,10,3,No hay,2,0,0,1,0,0,0,0,0
17,Masculino,Ingeniería Industrial,1,8,No,NA,10,no,60,0,No,0,7,3,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
17,Masculino,Ingeniería Industrial,1,7,No,NA,7.3,sí,5,1,No,0,2,5,Piso 11;Piso 6;Piso 1,5,1,1,0,0,0,0,1,3
17,Masculino,Ingeniería Industrial,1,7,No,NA,5,no,50,2,Sí,8,14,2,No hay;Biblioteca,2,0,0,0,1,0,0,0,1
16,Masculino,Ingeniería Industrial,1,7,No,NA,7,no,25,2,Sí,2,6,2,Piso 11;Piso 6;Salones vacíos,1,1,1,0,0,0,1,0,3
17,Masculino,Ingeniería Industrial,1,6,No,NA,3,no,20,7,Sí,3,2,2,No hay,1,0,0,1,0,0,0,0,0
19,Masculino,Ingeniería Industrial,5,6,No,17,8,no,5,3,Sí,0,8.3,4,No hay,1,0,0,1,0,0,0,0,0
20,Masculino,Ingeniería química,5,5,No,15.77,7,no,45,0,Sí,5,1,3,Piso 11;Piso 6;No hay;Salones vacíos,1,1,1,0,0,0,1,0,3
20,Masculino,Bioingeniería,4,3,Sí,10.5,6.5,no,10,4,Sí,4,8,2,Piso 11;Piso 6;Salones vacíos,1,1,1,0,0,0,1,0,3
19,Masculino,Ciencia de la computación,5,6,No,14.5,6,sí,20,0,Sí,5,5,2,Piso 11,2,1,0,0,0,0,0,0,1
18,Masculino,Ingeniería mecánica,3,5,Sí,12.84,7,sí,30,2,No,0,15,5,Piso 11;Piso 6;Biblioteca,3,1,1,0,1,0,0,0,3
19,Femenino,Ingeniería civil,4,4,No,13.35,5,sí,10,0,No,10,8,4,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
19,Masculino,Ciencia de la computación,5,6,Sí,13.5,7,no,10,0,No,10,15,4,Piso 11;Piso 6,1,1,1,0,0,0,0,0,2
19,Femenino,Bioingeniería,5,5,No,14.7,7.3,sí,30,2,Sí,4,8,2,No hay,2,0,0,1,0,0,0,0,0
19,Femenino,Bioingeniería,5,5,No,12.4,7.3,no,15,2,Sí,0,4,3,Piso 11;Salones vacíos,1,1,0,0,0,0,1,0,2
18,Masculino,Ciencia de la computación,4,6,Sí,14.4,5,sí,30,5,Sí,NA,12,2,No hay,1,0,0,1,0,0,0,0,0
19,Femenino,Ingeniería Industrial,3,3,No,15,7,sí,10,0,No,0,28,5,Piso 11;Salones vacíos,1,1,0,0,0,0,1,0,2
19,Femenino,Ingeniería Industrial,2,7,No,17.1,6,no,15,1,No,1,14,3,Piso 6;Salones vacíos,4,0,1,0,0,0,1,0,2
20,Masculino,Ingeniería electrónica,5,8,Sí,15.69,4.3,no,20,3,Sí,7,8,3,Piso 11,3,1,0,0,0,0,0,0,1
18,Masculino,Ingeniería mecatrónica,3,6,Sí,14.1,5.3,no,30,1,Sí,2,5,3,Piso 6,2,0,1,0,0,0,0,0,1
17,Masculino,Ingeniería Industrial,2,7,No,18.75,7,no,20,1,Sí,0,1.3,3,Piso 11;Biblioteca;Piso 1,3,1,0,0,1,0,0,1,3
19,Masculino,Ingeniería Industrial,5,6,No,14.48,6,no,20,2,Sí,8,10,3,Piso 6;Comedor;Salones vacíos,2,0,1,0,0,1,1,0,3
19,Masculino,Ciencia de la computación,5,6,No,16.94,8,no,20,0,Sí,0,6,4,Piso 11;Piso 6;Salones vacíos,2,1,1,0,0,0,1,0,3
20,Masculino,Ingeniería civil,4,6,Sí,13.4,6,no,5,0,Sí,2,7,2,Piso 6;Piso 1,4,0,1,0,0,0,0,1,2
20,Femenino,Ingeniería Industrial,5,7,No,18,2,no,100,2,Sí,NA,2,1,No hay,5,0,0,1,0,0,0,0,0
19,Femenino,Ingeniería química,5,6,Sí,14.45,6.3,no,80,3,Sí,5,7,3,Piso 11;Piso 6,2,1,1,0,0,0,0,0,2
20,Masculino,Ingeniería mecánica,7,5,No,15.6,7,no,60,1,Sí,2,8,4,Piso 11;Piso 6;Salones vacíos;Piso 1,2,1,1,0,0,0,1,1,4
21,Femenino,Ingeniería Industrial,9,4,No,16.25,7.3,sí,30,0,No,3,10,4,Piso 11;Salones vacíos,3,1,0,0,0,0,1,0,2
19,Femenino,Ingeniería Industrial,4,6,No,15.4,7,no,30,0,Sí,0,8.3,4,Piso 11,4,1,0,0,0,0,0,0,1
20,Masculino,Ciencia de la computación,4,5,No,14.52,5,no,1,1,Sí,10,8,1,No hay,1,0,0,1,0,0,0,0,0
19,Femenino,Ciencia de la computación,4,6,Sí,13.45,5,no,15,2,Sí,2,4.3,3,Piso 11;Salones vacíos,3,1,0,0,0,0,1,0,2
19,Masculino,Ciencia de la computación,4,6,No,15.97,7,no,13,0,No,0,6,4,No hay,3,0,0,1,0,0,0,0,0
21,Masculino,Ciencia de la computación,4,7,No,19.6,7,sí,10,0,No,0,NA,1,Piso 6;Biblioteca;Comedor,4,0,1,0,1,1,0,0,3
18,Masculino,Bioingeniería,3,6,Sí,13.71,6,no,30,2,Sí,10,6,3,Piso 11;Piso 6;Biblioteca;Salones vacíos;Piso 1,2,1,1,0,1,0,1,1,5
18,Masculino,Ciencia de la computación,4,7,Sí,13.56,6,no,10,3,No,11,7,5,Piso 11;Comedor;Piso 1,3,1,0,0,0,1,0,1,3
18,Femenino,Ciencia de la computación,4,5,No,16.78,5,no,15,0,No,0,20,4,Salones vacíos,1,0,0,0,0,0,1,0,1
19,Femenino,Ingeniería química,4,4,Sí,14,6.3,no,20,2,Sí,5,6,3,Piso 11;Piso 6;Salones vacíos;Piso 1,2,1,1,0,0,0,1,1,4
17,Masculino,Ingeniería Industrial,2,5,Sí,14.34,4,no,10,1,No,0,15,2,No hay,3,0,0,1,0,0,0,0,0
20,Masculino,Ingeniería electrónica,2,6,Sí,10.41,8,sí,10,0,No,0,4,3,Piso 11;Piso 6;Biblioteca;Comedor;Salones vacíos,3,1,1,0,1,1,1,0,5
20,Femenino,Ciencia de la computación,4,6,Sí,14.5,7,no,15,2,Sí,0,28,3,No hay;Comedor,1,0,0,0,0,1,0,0,1
18,Femenino,Ingeniería mecatrónica,3,6,No,13.63,5,no,10,0,Sí,0,8,4,Piso 6;Salones vacíos,1,0,1,0,0,0,1,0,2
19,Masculino,Ingeniería ambiental,4,6,No,14.3,6,sí,30,1,Sí,2,8,4,Piso 11;Salones vacíos,2,1,0,0,0,0,1,0,2
18,Femenino,Ingeniería Industrial,3,5,Sí,14.8,8,sí,10,0,No,1,7,5,Salones vacíos,1,0,0,0,0,0,1,0,1
18,Femenino,Bioingeniería,3,5,No,17.62,5,no,60,0,Sí,5,7,3,Piso 11;Piso 6,2,1,1,0,0,0,0,0,2
18,Femenino,Ingeniería Industrial,3,6,No,13,7,no,20,0,No,3,10,3,Piso 11,3,1,0,0,0,0,0,0,1
17,Femenino,Ingeniería Industrial,2,6,No,18,5,no,15,1,Sí,10,20,2,Piso 11,1,1,0,0,0,0,0,0,1
19,Masculino,Ingeniería Industrial,2,6,Sí,13.56,10,no,20,0,Sí,6,5,3,Piso 11,1,1,0,0,0,0,0,0,1
20,Femenino,Ingeniería ambiental,4,6,No,16.4,4,no,50,0,No,5,4,2,No hay,1,0,0,1,0,0,0,0,0
19,Femenino,Ingeniería civil,4,5,Sí,13,5,no,10,0,No,7,10,3,Piso 11;Piso 6;Salones vacíos,4,1,1,0,0,0,1,0,3
23,Femenino,Bioingeniería,6,6,No,14,7,no,10,1,Sí,5,12,3,Piso 11,2,1,0,0,0,0,0,0,1
21,Masculino,Bioingeniería,8,4,Sí,14.5,5,no,20,0,No,0,4,4,Piso 11;Piso 6;Salones vacíos,3,1,1,0,0,0,1,0,3
20,Masculino,Bioingeniería,5,6,No,15,7,sí,50,0,Sí,2,10,3,Piso 11;Piso 6;Biblioteca;Salones vacíos,4,1,1,0,1,0,1,0,4
19,Femenino,Ingeniería química,5,5,No,14.43,5,no,5,4,Sí,6,6,4,No hay,1,0,0,1,0,0,0,0,0
21,Masculino,Ingeniería mecánica,3,6,No,18,7,sí,60,0,Sí,0,7,4,Piso 11;Salones vacíos,4,1,0,0,0,0,1,0,2
18,Femenino,Ingeniería Industrial,2,6,No,15.4,6,no,NA,0,No,10,10,4,Piso 11;Piso 6;Comedor;Piso 1,4,1,1,0,0,1,0,1,4
23,Masculino,Ingeniería Industrial,10,4,No,14.5,6,sí,30,0,Sí,0,12,3,Salones vacíos,1,0,0,0,0,0,1,0,1
21,Masculino,Ingeniería Industrial,8,3,No,17.22,6,sí,10,2,Sí,0,8,2,No hay,2,0,0,1,0,0,0,0,0
21,Masculino,Ingeniería Industrial,10,4,No,16,6,no,5,1,No,0,5,2,Piso 11,2,1,0,0,0,0,0,0,1
22,Masculino,Ingeniería Industrial,9,3,No,14.6,6,no,60,0,Sí,2,6,3,Piso 11;Piso 6,3,1,1,0,0,0,0,0,2
23,Masculino,Ingeniería civil,10,6,No,15.02,6.45,sí,30,0,No,0,6,5,Piso 11;Salones vacíos;Piso 1,2,1,0,0,0,0,1,1,3
21,Masculino,Ingeniería química,6,5,No,14,6,no,60,0,No,3,6,3,No hay,2,0,0,1,0,0,0,0,0
18,Masculino,Ingeniería Industrial,3,6,No,16.4,9,sí,15,0,No,0,12,5,Piso 11;Piso 6;Biblioteca,3,1,1,0,1,0,0,0,3
21,Masculino,Bioingeniería,8,6,No,14.57,6.3,sí,5,0,No,3,8,4,Piso 11;Salones vacíos,2,1,0,0,0,0,1,0,2
20,Masculino,Ciencia de datos,3,5,No,14.7,8,sí,10,NA,Sí,NA,10,4,No hay,3,0,0,1,0,0,0,0,0
19,Femenino,Ingeniería ambiental,4,6,No,15.3,9,sí,20,NA,Sí,NA,11.3,4,Comedor,2,0,0,0,0,1,0,0,1
23,Femenino,Ciencia de datos,6,6,Sí,14.65,6,no,20,3,Sí,8,5.3,5,Piso 11,4,1,0,0,0,0,0,0,1
