"¿En qué ciclo te encuentras?","¿Cuál es su escala de pago a UTEC?","¿A cuántos cursos esta inscrito durante este ciclo? (Ejemplo: 6)","¿En qué zona vives?","Tiempo de viaje en minutos para ir y regresar a la UTEC (sume el tiempo de su tramo de ida más tramo de vuelta)(en caso de vivir en pronvicia rellenar con: NA) (Ejemplo: 98)","¿Cuánto es el costo de viaje?(sume el costo de su tramo de ida más tramo de vuelta)(en caso de no usar transporte público o privado colocar: 0)(En caso de tener movilidad privada poner el gasto en combustible)(Ejemplo: 10.00)","¿Cuánto es el costo de alimentos cuando vienes a la UTEC?(Ejemplo: 25.00)","Grupo de modalidad híbrida al que perteneces (""1"" - A hasta K )(""2"" - L hasta Z)","¿Cuántos días no asistió durante sus primeras dos semanas de modalidad presencial?(Grupo 1  - Semana 1 y 2; Grupo 2 - Semana 3 y 4)(Ejemplo: 5)","¿Qué días faltaste en la primera semana que a tu grupo le toca la modalidad presencial?","¿Qué días faltaste en la segunda semana que a tu grupo le toca la modalidad presencial?","¿Qué día(s) es (son) tu(s) clase(s) más temprana(s)?","¿Qué día(s) es (son) tu(s) clase(s) más tarde?","¿Cuál(es) es(son) el(los) día(s) con más horas de clases que tienes?","¿Cuál(es) es(son) el(los) día(s) con menos horas de clases que tienes?","¿En qué días tienes clases espaciadas?(considera clases espaciadas a partir de 3 horas entre clases)(Ejemplo : 1)"
"2","E","7","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","220","8","20","2","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Martes, Viernes, Sábado","Lunes, Miércoles, Jueves","Lunes, Martes, Jueves, Sábado","Miércoles, Viernes","Martes"
"4","E","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","15","0","15","2","4","Lunes, Miércoles, Viernes","Sábado","Lunes, Miércoles","Viernes","Lunes, Sábado","Viernes","Martes, Jueves"
"2","E","7","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","150","8","15","2","4","Lunes, Miércoles","Viernes, Sábado","Miércoles, Viernes, Sábado","Lunes, Martes, Jueves","Lunes, Martes, Jueves","Viernes, Sábado","Miércoles, Viernes"
"4","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","180","10","10","2","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Martes","Miércoles, Jueves","Miércoles","Jueves, Sábado","Martes, Viernes"
"4","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","10","0","15","2","3","Jueves, Viernes, Sábado","Asistió todos los días","Martes, Miércoles","Miércoles, Jueves, Viernes","Miércoles, Viernes","Lunes, Martes, Jueves","Lunes, Miércoles, Jueves, Viernes"
"3","E","5","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","10","15","2","4","Jueves, Viernes, Sábado","Jueves","Martes","Martes, Miércoles, Jueves","Martes, Jueves","Miércoles","Lunes, Viernes"
"4","B","9","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","300","11","15","2","7","Lunes, Miércoles, Viernes","Lunes, Martes, Miércoles, Viernes","Lunes, Sábado","Viernes","Sábado","Jueves","Viernes"
"4","E","7","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","100","4","20","1","2","Miércoles","Miércoles","Martes","Martes","Martes","Miércoles","Viernes"
"5","E","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","45","4","14","2","3","Lunes, Sábado","Lunes","Jueves, Viernes, Sábado","Lunes, Martes, Miércoles","Lunes, Miércoles, Jueves, Viernes, Sábado","Martes","Lunes, Martes, Jueves"
"4","E","8","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","30","0","25","1","6","Lunes, Viernes, Sábado","Lunes, Viernes, Sábado","Lunes, Jueves","Jueves, Viernes","Martes, Jueves","Lunes, Jueves","Lunes, Jueves"
"4","E","7","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","110","15","15","2","4","Lunes, Jueves, Viernes","Lunes","Martes, Miércoles","Lunes, Jueves, Viernes","Lunes, Jueves","Martes, Miércoles","Lunes, Miércoles, Jueves"
"3","E","6","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","120","4","20","2","8","Lunes, Miércoles, Jueves, Viernes","Lunes, Miércoles, Jueves, Viernes","Lunes, Jueves, Sábado","Miércoles, Viernes","Lunes","Jueves","Lunes, Martes"
"2","E","6","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","90","4","10","2","2","Lunes","Lunes","Martes","Lunes","Viernes","Lunes","Martes, Viernes"
"4","C","9","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","180","7","20","2","1","Martes","Asistió todos los días","Martes, Miércoles","Miércoles, Viernes, Sábado","Lunes, Sábado","Viernes","Viernes"
"2","E","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","180","7","20","2","2","Lunes, Martes","Asistió todos los días","Martes, Viernes","Jueves, Viernes","Martes, Viernes","Jueves","Lunes, Martes, Jueves, Viernes"
"5","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","50","4.5","15","1","2","Martes, Sábado","Asistió todos los días","Lunes, Miércoles, Jueves","Jueves, Viernes","Jueves","Lunes, Viernes","Miércoles, Jueves, Viernes"
"3","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","240","10.5","25","2","5","Miércoles, Jueves, Viernes, Sábado","Lunes","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes","Martes, Miércoles, Viernes","Jueves, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado"
"3","E","5","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","5","10","1","1","Sábado","Asistió todos los días","Lunes, Martes","Miércoles, Viernes","Lunes","Martes, Miércoles","Lunes, Martes"
"1","E","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","100","7.5","10","1","3","Martes, Sábado","Martes","Lunes, Miércoles, Viernes","Martes, Jueves","Lunes, Miércoles, Viernes","Martes, Jueves","Jueves, Viernes"
"4","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","70","4.5","15","1","4","Jueves, Viernes, Sábado","Jueves","Jueves","Lunes, Miércoles, Jueves","Lunes","Martes, Viernes","Miércoles"
"5","E","8","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","180","5","10","2","7","Lunes, Martes, Miércoles, Jueves, Sábado","Lunes, Martes","Lunes, Miércoles, Jueves, Sábado","Miércoles, Jueves","Lunes, Jueves, Sábado","Martes, Viernes","Lunes, Martes, Miércoles, Jueves"
"4","E","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","80","5","20","2","6","Miércoles, Jueves, Viernes","Miércoles, Jueves, Viernes","Lunes, Martes, Miércoles","Viernes, Sábado","Lunes, Martes","Miércoles, Jueves","Viernes"
"4","C","8","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","250","10","0","1","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Jueves","Lunes, Jueves","Lunes, Jueves","Viernes, Sábado","Miércoles"
"1","B","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","50","5","15","1","4","Miércoles, Viernes","Martes, Viernes","Lunes, Sábado","Martes","Lunes, Sábado","Viernes","Lunes, Sábado"
"5","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","90","4","0","1","4","Jueves, Sábado","Jueves, Sábado","Martes","Lunes, Miércoles, Viernes","Miércoles, Viernes","Lunes","Lunes, Jueves, Viernes"
"1","D","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","60","5","20","2","3","Martes, Jueves","Viernes","Sábado","Lunes, Miércoles","Lunes, Miércoles","Sábado","Sábado"
"2","E","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","180","10","15","1","9","Lunes, Miércoles, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Martes, Jueves","Martes, Jueves","Martes, Jueves","Lunes, Viernes, Sábado","Martes"
"2","D","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","50","5","15","1","5","Lunes, Martes, Miércoles","Lunes, Martes","Martes, Jueves, Sábado","Miércoles, Sábado","Lunes, Martes, Miércoles, Sábado","Jueves, Viernes","Martes, Miércoles, Jueves, Viernes"
"4","D","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","100","12","20","2","6","Lunes, Jueves, Viernes","Lunes, Jueves, Sábado","Lunes, Jueves","Viernes, Sábado","Lunes, Sábado","Jueves","Martes, Jueves"
"2","B","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","40","3","10","2","6","Lunes, Martes, Sábado","Lunes, Martes, Sábado","Martes, Sábado","Lunes, Martes, Jueves","Martes, Jueves","Miércoles, Viernes, Sábado","Miércoles, Viernes, Sábado"
"2","E","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","120","10","20","2","1","Viernes","Asistió todos los días","Martes, Jueves, Sábado","Lunes, Miércoles","Lunes, Sábado","Martes, Miércoles, Jueves","Martes"
"1","E","7","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","60","0","10","2","1","Sábado","Asistió todos los días","Martes, Miércoles","Sábado","Lunes, Jueves","Martes, Sábado","Martes, Miércoles, Jueves"
"2","E","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","240","10","24","2","1","Sábado","Asistió todos los días","Lunes","Jueves","Sábado","Martes","Sábado"
"5","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","0","0","1","1","Viernes","Asistió todos los días","Sábado","Miércoles","Lunes","Miércoles, Sábado","Lunes"
"2","B","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","50","2.5","30","2","5","Lunes, Jueves, Viernes","Lunes, Martes","Lunes","Viernes","Martes","Jueves","Miércoles"
"10","E","3","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","240","10","15","2","10","Lunes, Martes, Miércoles, Jueves, Sábado","Lunes, Martes, Miércoles, Jueves, Sábado","Lunes, Martes, Jueves","Jueves","Martes","Lunes","Martes"
"2","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","50","3","10","1","3","Miércoles, Jueves, Viernes","Asistió todos los días","Viernes","Martes","Miércoles","Jueves, Viernes","Miércoles"
"2","A","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","18","0","0","2","1","Lunes","Asistió todos los días","Jueves","Miércoles","Lunes, Martes, Miércoles","Viernes","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado"
"9","E","4","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","90","4","15","1","8","Lunes, Martes, Miércoles, Jueves","Lunes, Martes, Miércoles, Jueves","Miércoles, Viernes","Lunes, Martes, Miércoles","Lunes, Miércoles","Martes, Viernes, Sábado","Miércoles"
"2","A","7","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","110","10","10","2","1","Sábado","Asistió todos los días","Martes, Viernes","Lunes, Miércoles, Sábado","Martes, Viernes","Lunes","Miércoles"
"4","D","4","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","260","7","15","1","10","Lunes, Martes, Miércoles, Viernes, Sábado","Lunes, Martes, Miércoles, Viernes, Sábado","Lunes, Martes","Viernes","Viernes","Miércoles, Jueves","Martes"
"2","E","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","60","4","20","1","5","Lunes, Martes, Jueves","Lunes, Martes","Lunes, Martes","Martes, Viernes","Lunes, Martes, Sábado","Miércoles, Jueves","Miércoles, Viernes"
"2","E","5","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","40","3","14.5","1","4","Lunes, Miércoles","Lunes, Miércoles","Lunes, Sábado","Viernes","Lunes, Sábado","Martes, Miércoles, Jueves, Viernes","Sábado"
"7","D","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","110","3","5","2","11","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Jueves, Viernes, Sábado","Martes, Sábado","Miércoles","Martes, Miércoles","Jueves","Miércoles"
"1","C","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","40","10","18","2","3","Martes, Viernes","Martes","Martes, Miércoles","Sábado","Lunes, Jueves","Martes, Viernes, Sábado","Martes, Miércoles, Jueves"
"2","E","5","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","230","10.5","10","2","4","Lunes, Miércoles","Lunes, Miércoles","Martes","Lunes","Lunes","Sábado","Martes"
"4","E","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","40","5","20","2","6","Miércoles, Jueves, Viernes","Miércoles, Jueves, Viernes","Lunes, Martes, Miércoles","Viernes","Lunes, Martes","Miércoles, Jueves","Viernes"
"2","E","7","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","120","10","10","2","2","Sábado","Sábado","Lunes, Martes, Viernes","Miércoles","Lunes, Martes, Viernes","Miércoles","Lunes, Jueves"
"2","C","6","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","98","9","12","2","6","Lunes, Viernes","Lunes, Martes, Miércoles, Jueves","Martes","Lunes, Miércoles","Martes, Jueves, Viernes","Lunes, Miércoles","Miércoles"
"3","B","4","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","14","0","18","1","0","Asistió todos los días","Asistió todos los días","Viernes","Jueves","Lunes","Miércoles, Jueves","Martes, Viernes"
"2","E","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","30","0","20","2","7","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes","Martes, Jueves, Sábado","Lunes, Miércoles, Viernes","Martes, Jueves, Sábado","Miércoles, Viernes","Martes, Jueves"
"2","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","180","10","25","2","10","Lunes, Martes, Miércoles, Viernes, Sábado","Lunes, Martes, Miércoles, Viernes, Sábado","Miércoles, Viernes","Jueves, Sábado","Lunes, Martes, Miércoles","Jueves, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes"
"2","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","150","8","10","2","11","Lunes, Martes, Miércoles, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Martes, Sábado","Lunes, Miércoles","Lunes, Martes, Sábado","Jueves, Viernes","Lunes, Martes, Sábado"
"3","B","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","5","30","2","7","Lunes, Martes, Viernes","Lunes, Martes, Miércoles, Viernes","Miércoles","Lunes","Miércoles","Martes, Jueves, Viernes","Miércoles"
"2","E","6","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","120","5","15","2","7","Lunes, Miércoles, Jueves","Lunes, Miércoles, Jueves, Viernes","Lunes, Jueves, Sábado","Martes, Miércoles","Lunes, Sábado","Miércoles","Martes, Jueves, Viernes"
"2","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","5","0","30","2","8","Miércoles, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Jueves","Lunes, Martes, Jueves","Martes, Jueves, Sábado","Lunes, Miércoles, Viernes","Jueves"
"2","E","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","60","4","10","2","4","Lunes","Lunes, Miércoles, Jueves","Jueves, Sábado","Miércoles, Viernes","Martes, Viernes","Miércoles, Sábado","Lunes, Viernes"
"2","E","5","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","60","5","15","1","1","Martes","Asistió todos los días","Lunes","Miércoles","Lunes","Miércoles","Jueves"
"2","C","5","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","110","5","25","1","8","Lunes, Martes, Viernes, Sábado","Lunes, Martes, Viernes, Sábado","Martes, Sábado","Lunes, Martes, Viernes","Lunes, Martes","Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles"
"2","E","6","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","90","8","30","1","2","Lunes, Martes","Asistió todos los días","Martes","Lunes","Lunes, Martes","Viernes, Sábado","Jueves"
"3","E","4","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","40","4","0","1","2","Martes, Jueves","Asistió todos los días","Lunes, Miércoles","Martes, Jueves","Martes, Jueves","Lunes, Viernes","Lunes, Jueves"
"2","E","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","120","7","15","1","3","Lunes, Martes","Lunes","Jueves, Viernes","Martes, Viernes, Sábado","Martes, Miércoles, Sábado","Jueves, Viernes","Lunes, Jueves, Viernes"
"6","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","100","11","18","2","6","Lunes, Martes, Jueves","Lunes, Martes, Jueves","Lunes, Viernes","Lunes, Martes, Miércoles, Sábado","Martes, Miércoles, Jueves, Viernes","Lunes, Sábado","Lunes, Martes, Miércoles"
"3","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","100","15","14","2","7","Lunes, Martes, Jueves","Martes, Miércoles, Jueves, Viernes","Martes, Viernes","Lunes, Viernes","Lunes, Jueves","Miércoles","Lunes, Jueves"
"2","E","4","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","2","20","2","4","Martes, Miércoles, Jueves, Viernes","Asistió todos los días","Lunes, Jueves","Lunes, Martes, Viernes","Lunes","Jueves, Viernes","Miércoles"
"3","D","5","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","30","2.5","20","2","3","Lunes, Jueves, Sábado","Asistió todos los días","Martes","Viernes","Lunes, Martes, Viernes","Miércoles, Jueves, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado"
"4","E","7","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","260","9","20","2","8","Miércoles, Jueves, Viernes, Sábado","Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Jueves, Viernes","Lunes, Martes, Miércoles, Viernes","Lunes, Viernes","Martes, Miércoles, Jueves","Martes, Miércoles, Jueves"
"3","E","5","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","235","10","30","1","4","Martes, Miércoles","Martes, Miércoles","Lunes, Miércoles, Jueves, Viernes","Martes","Lunes","Jueves","Lunes"
"2","E","4","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","90","4","12","1","5","Lunes, Martes, Sábado","Lunes, Sábado","Martes","Miércoles, Jueves, Viernes","Lunes, Martes","Miércoles, Jueves, Viernes","Lunes, Martes"
"4","E","9","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","2","10","2","3","Lunes, Martes, Jueves","Asistió todos los días","Sábado","Miércoles, Viernes","Miércoles, Viernes","Lunes","Martes, Jueves"
"4","E","7","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","240","12","15","1","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Miércoles, Jueves, Viernes, Sábado","Martes","Lunes","Jueves","Miércoles"
"4","E","8","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","40","2","20","2","7","Miércoles, Jueves, Viernes, Sábado","Martes, Miércoles, Jueves","Lunes, Martes, Miércoles","Viernes","Lunes, Viernes","Sábado","Martes, Miércoles"
"2","E","5","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","180","13","20","1","9","Lunes, Martes, Jueves, Viernes, Sábado","Lunes, Martes, Viernes, Sábado","Lunes, Martes, Sábado","Jueves, Viernes, Sábado","Lunes, Martes, Viernes","Jueves, Sábado","Martes, Miércoles, Jueves, Sábado"
