ID,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,¿Qué carrera estudias?,Actualmente ¿En qué ciclo te encuentras?,"En tu ciclo pasado, ¿Cuál fue tu promedio ponderado?",¿Cuántos años tienes?,¿Cuál es tu estatura? Digite en metros.,¿Cuál es tu peso? Digite en Kg.,¿A qué sexo perteneces?,¿Cuántas horas al día duermes?,¿En que esta basado mayormente tu alimentación diaria?,¿Consumes bebidas alcohólicas?,¿Qué cantidad de agua consumes al día?,¿Cuánto tiempo de distracción tienes diariamente? Considere el tiempo en horas.,Column,¿Practicas algún deporte?,"Si tu respuesta fue sí, ¿Qué deporte practicas con más frecuencia?",Semanalmente. ¿Cuánto tiempo dedicas en practicar este deporte?,¿Cuál fue tu promedio ponderado en el ultimo año de colegio?,¿Con que frecuencia consumes las bebidas alcohólicas?
47,,,anonymous,,Ingeniería Civil,2,16.25,20,1.75,50,Femenino,5,frutas y verduras,No,2 Lt.,5,Estoy estresado(a),Si,Voleibol,1 a 2 horas,,
48,,,anonymous,,Ciencia de la Computación,1,,17,1.83,71,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,4,Poco estresado(a),Si,Baloncesto,3 horas,18,
49,,,anonymous,,Ingeniería Civil,2,16,18,1.6,58,Femenino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,6,Estoy muy estresado(a),No,,,,
50,,,anonymous,,Ingeniería Química,3,17.3,19,1.7,70,Masculino,9,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,5,Estoy muy estresado(a),No,,,,
51,,,anonymous,,Ingeniería Mecatrónica,2,14,18,1.65,57,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,2,Poco estresado(a),No,,,,
52,,,anonymous,,Ingeniería Industrial,2,15.4,23,1.61,58,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,5,Estoy muy estresado(a),No,,,,Muy poco ( Una vez en 2 meses)
53,,,anonymous,,Ingeniería Ambiental,6,16.4,20,1.65,60,Femenino,7,frutas y verduras,Si,1/2 Lt,2,Estoy muy estresado(a),No,,,,Reguladamente (Dos veces al mes)
54,,,anonymous,,Ingeniería Mecánica,6,14,23,1.65,64,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,3,Poco estresado(a),Si,Otros,Menos de una hora,,Poco (Una vez al mes)
55,,,anonymous,,Ingeniería Industrial,2,17,20,1.5,49,Femenino,6,frutas y verduras,No,1 Lt.,1,Estoy muy estresado(a),No,,,,
56,,,anonymous,,Ingeniería Industrial,5,13,20,1.72,64,Prefiero no decirlo,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,2,Estoy muy estresado(a),Si,Fútbol,Más de 3 horas,,
57,,,anonymous,,Ingeniería Industrial,5,14.5,19,1.65,61,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,3 Lt.,8,Estoy estresado(a),Si,Fútbol,1 a 2 horas,,Reguladamente (Dos veces al mes)
58,,,anonymous,,Ingeniería Civil,2,15.45,19,1.67,74,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,3,Estoy estresado(a),Si,Fútbol,3 horas,,
59,,,anonymous,,Ingeniería Civil,2,14.92,19,1.75,68,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,2,Poco estresado(a),Si,Fútbol,1 a 2 horas,,
60,,,anonymous,,Ingeniería Industrial,2,16,18,1.7,80,Femenino,7,frutas y verduras,No,1/2 Lt,2,Estoy estresado(a),No,,,,
61,,,anonymous,,Ingeniería Industrial,1,,17,1.8,73,Femenino,8,frutas y verduras,No,1/2 Lt,4,Poco estresado(a),No,,,16,
62,,,anonymous,,Ingeniería Civil,2,15.8,18,1.65,68,Masculino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,1,Poco estresado(a),Si,Fútbol,Menos de una hora,,
63,,,anonymous,,Ciencia de la Computación,7,15,23,1.61,59,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,2,Poco estresado(a),No,,,,
64,,,anonymous,,Ingeniería Civil,3,14,20,1.69,65,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,5,Poco estresado(a),No,,,,
65,,,anonymous,,Ingeniería Ambiental,2,15.9,19,1.54,50,Femenino,6,frutas y verduras,No,1 Lt.,3,Estoy muy estresado(a),No,,,,
66,,,anonymous,,Ingeniería Mecatrónica,1,,16,1.73,45,Masculino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,1,Estoy estresado(a),No,,,18,
67,,,anonymous,,Ciencia de la Computación,2,16.5,17,1.65,58,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,2,Estoy estresado(a),Si,Otros,1 a 2 horas,,
68,,,anonymous,,Ingeniería Industrial,3,11.32,19,1.53,56,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,2,Estoy estresado(a),No,,,,
69,,,anonymous,,Ingeniería Mecánica,6,14.5,20,1.69,78,Masculino,5,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,3,Poco estresado(a),No,,,,
70,,,anonymous,,Ingeniería Mecánica,8,19,22,1.7,70,Femenino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,3,Poco estresado(a),Si,Otros,Más de 3 horas,,
71,,,anonymous,,Ingeniería Química,2,18.25,17,1.57,50,Femenino,6,frutas y verduras,No,1 Lt.,1,Estoy estresado(a),No,,,,
72,,,anonymous,,Ingeniería Industrial,2,17.55,17,1.6,74,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,3,Estoy muy estresado(a),No,,,,
73,,,anonymous,,Ingeniería Mecatrónica,1,,18,1.7,82,Masculino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,3,Poco estresado(a),Si,Fútbol,Menos de una hora,17,
74,,,anonymous,,Ingeniería Ambiental,2,15.95,19,1.53,60,Femenino,4,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1/2 Lt,2,Estoy estresado(a),No,,,,Muy poco ( Una vez en 2 meses)
75,,,anonymous,,Ingeniería Industrial,1,,16,1.65,57,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,1,Estoy estresado(a),Si,Fútbol,Menos de una hora,18.56,
76,,,anonymous,,Ingeniería Industrial,1,,17,1.81,74,Femenino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1/2 Lt,3,Poco estresado(a),Si,Tenis,Más de 3 horas,16,
77,,,anonymous,,Bioingeniería,3,14.3,18,1.83,105,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1/2 Lt,2,Estoy estresado(a),No,,,,Poco (Una vez al mes)
78,,,anonymous,,Ingeniería Industrial,2,15.9,19,1.73,62,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,1,Estoy muy estresado(a),No,,,,
79,,,anonymous,,Ingeniería Civil,3,13,18,1.75,76,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,2,Poco estresado(a),Si,Fútbol,1 a 2 horas,,
80,,,anonymous,,Ingeniería Industrial,2,16.4,19,1.56,58,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,4,Estoy muy estresado(a),Si,Natación,3 horas,,
81,,,anonymous,,Ingeniería Mecánica,1,,20,1.75,75,Masculino,4,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1/2 Lt,2,Estoy estresado(a),No,,,15.6,Reguladamente (Dos veces al mes)
82,,,anonymous,,Ingeniería Electrónica,2,13.83,18,1.71,65,Masculino,9,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,4,Poco estresado(a),No,,,,Muy poco ( Una vez en 2 meses)
83,,,anonymous,,Ingeniería Industrial,2,14.47,22,1.5,45,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,3,Estoy muy estresado(a),No,,,,
84,,,anonymous,,Ingeniería Industrial,3,15,18,1.64,60,Femenino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,2 Lt.,3,Poco estresado(a),Si,Baloncesto,Menos de una hora,,Muy poco ( Una vez en 2 meses)
85,,,anonymous,,Ingeniería Industrial,2,17,18,1.56,49,Femenino,4,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,1,Estoy estresado(a),No,,,,
86,,,anonymous,,Ingeniería Industrial,2,17,18,1.57,55,Femenino,5,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1 Lt.,3,Estoy muy estresado(a),No,,,,Muy poco ( Una vez en 2 meses)
87,,,anonymous,,Ingeniería Industrial,2,17.55,17,1.6,74,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,4,Estoy muy estresado(a),No,,,,
88,,,anonymous,,Ingeniería Mecatrónica,2,15,18,1.6,57,Prefiero no decirlo,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,1,Estoy muy estresado(a),No,,,,
89,,,anonymous,,Ingeniería Química,2,11,22,1.72,100,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,1 Lt.,1,Poco estresado(a),Si,Otros,1 a 2 horas,,Muy poco ( Una vez en 2 meses)
90,,,anonymous,,Ingeniería Industrial,2,14,20,1.59,64,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,3,Estoy estresado(a),No,,,,
91,,,anonymous,,Ingeniería Industrial,2,14,20,1.59,64,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,3,Estoy estresado(a),No,,,,
92,,,anonymous,,Ingeniería Ambiental,2,15.9,19,1.54,50,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,3,Estoy estresado(a),No,,,,
93,,,anonymous,,Ingeniería Industrial,2,15,19,1.6,52,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,5,Poco estresado(a),No,,,,
94,,,anonymous,,Ingeniería Industrial,2,16.5,21,1.5,44,Femenino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,2,Estoy estresado(a),No,,,,
95,,,anonymous,,Ingeniería Industrial,2,16,20,1.61,56,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,1,Estoy estresado(a),No,,,,Poco (Una vez al mes)
96,,,anonymous,,Ingeniería Electrónica,2,14.45,19,1.59,59,Femenino,6,leche y otros productos lácteos,No,1 Lt.,3,Estoy estresado(a),No,,,,
97,,,anonymous,,Ingeniería Industrial,5,14,21,1.7,70,Masculino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",Si,2 Lt.,3,Poco estresado(a),Si,Otros,1 a 2 horas,,Poco (Una vez al mes)
98,,,anonymous,,Ingeniería Industrial,2,14,18,1.54,49,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,3,Estoy estresado(a),No,,,,Poco (Una vez al mes)
99,,,anonymous,,Ingeniería de la Energía,5,15,19,1.69,65,Masculino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,3,Poco estresado(a),Si,Fútbol,Menos de una hora,,
100,,,anonymous,,Ingeniería Industrial,2,16,18,1.57,60,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,1,Estoy muy estresado(a),No,,,,
101,,,anonymous,,Ingeniería Industrial,2,14,18,1.6,65,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,3 Lt.,1,Estoy muy estresado(a),No,,,,
102,,,anonymous,,Ingeniería Industrial,2,17,18,1.73,62,Masculino,6,frutas y verduras,No,4 Lt.,6,Poco estresado(a),Si,Fútbol,Más de 3 horas,,
103,,,anonymous,,Ingeniería Industrial,2,15.9,19,1.73,62,Masculino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,1.5,Estoy muy estresado(a),No,,,,
104,,,anonymous,,Ingeniería Civil,2,15.9,17,1.55,56,Femenino,6,frutas y verduras,No,3 Lt.,2,Poco estresado(a),No,,,,
105,,,anonymous,,Ingeniería Civil,2,16.03,19,1.54,60,Femenino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,3,Poco estresado(a),No,,,,
106,,,anonymous,,Ingeniería Civil,2,15,18,1.5,50,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,2 Lt.,2,Estoy estresado(a),No,,,,
107,,,anonymous,,Ingeniería Industrial,2,15,19,1.73,62,Masculino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1 Lt.,3,Estoy estresado(a),No,,,,
108,,,anonymous,,Ingeniería Industrial,2,14.5,20,1.7,68,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,4,Estoy estresado(a),Si,Fútbol,1 a 2 horas,,Muy poco ( Una vez en 2 meses)
109,,,anonymous,,Administración y Negocios Digitales,3,12.23,18,1.58,55,Femenino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,6,Estoy estresado(a),No,,,,
110,,,anonymous,,Ingeniería Civil,2,11,22,1.45,80,Masculino,8,leche y otros productos lácteos,Si,1/2 Lt,10, Nada estresado(a),Si,Fútbol,Menos de una hora,,Muchísimo (Tres veces a la semana)
111,,,anonymous,,Ingeniería Mecánica,5,11.29,19,1.72,71,Masculino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1/2 Lt,5,Poco estresado(a),No,,,,Muy poco ( Una vez en 2 meses)
112,,,anonymous,,Ingeniería Industrial,2,17.75,21,1.65,67,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,3 Lt.,2,Poco estresado(a),Si,Baloncesto,1 a 2 horas,,
113,,,anonymous,,Ingeniería Electrónica,2,15,18,1.68,63,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,2,Poco estresado(a),Si,Otros,1 a 2 horas,,
114,,,anonymous,,Ingeniería Ambiental,2,11.38,18,1.47,62,Prefiero no decirlo,13,"Golosinas(Galletas, dulces, gaseosas, snacks, etc.",No,1/2 Lt,10,Estoy muy estresado(a),No,,,,
115,,,anonymous,,Ingeniería Mecatrónica,2,16.89,18,1.54,57,Femenino,7,frutas y verduras,Si,2 Lt.,5,Estoy estresado(a),No,,,,Muy poco ( Una vez en 2 meses)
116,,,anonymous,,Ingeniería Industrial,2,15,18,1.65,62,Femenino,5,frutas y verduras,No,1 Lt.,2,Estoy muy estresado(a),Si,Otros,Menos de una hora,,
117,,,anonymous,,Ingeniería Mecánica,2,15,19,1.55,63,Femenino,6,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,4,Estoy muy estresado(a),No,,,,
118,,,anonymous,,Ingeniería Ambiental,6,15,19,1.8,85,Masculino,4,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1 Lt.,3,Estoy estresado(a),No,,,,Poco (Una vez al mes)
119,,,anonymous,,Ciencia de la Computación,2,13,19,1.51,77,Femenino,8,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",Si,1/2 Lt,1,Estoy estresado(a),No,,,,Poco (Una vez al mes)
120,,,anonymous,,Ciencia de la Computación,3,16.4,18,1.73,63,Masculino,8,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,2 Lt.,1,Estoy estresado(a),No,,,,
121,,,anonymous,,Ingeniería Mecánica,1,,17,1.77,83,Masculino,7,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,4 Lt.,4,Estoy estresado(a),Si,Otros,1 a 2 horas,17,
122,,,anonymous,,Ingeniería Industrial,2,16.4,20,1.6,67,Femenino,5,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,1 Lt.,5,Estoy estresado(a),No,,,,
123,,,anonymous,,Ingeniería Civil,2,17.8,19,1.65,58,Masculino,6,frutas y verduras,No,3 Lt.,2,Estoy estresado(a),Si,Fútbol,1 a 2 horas,,
124,,,anonymous,,Ciencia de la Computación,3,15.65,18,1.71,70,Masculino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,4 Lt.,1,Estoy muy estresado(a),No,,,,
125,,,anonymous,,Ciencia de la Computación,7,15,20,1.86,92,Masculino,7,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,3 Lt.,2,Estoy estresado(a),No,,,,
126,,,anonymous,,Ingeniería Industrial,2,14.57,19,1.54,54,Femenino,6,"carne, pescado, huevos, frijoles y otras fuentes no lácteas de proteínas",No,4 Lt.,3,Estoy estresado(a),No,,,,
127,,,anonymous,,Ingeniería Civil,4,15,20,1.5,60,Femenino,5,"alimentos con almidón, incluidos el pan, las pastas, el arroz y las papas",No,1/2 Lt,2,Estoy estresado(a),Si,Fútbol,Menos de una hora,,
