Ranking del Valor Bruto de la producción agrícola y Perdidas evitadas por efecto de las plagas por años;;;;;;;
Años 2012 - 2014;;;;;;;
(miles de soles);;;;;;;
Nº;Nombre científico;Nombre común;Taxonomia;Pérdida por efecto de la plaga(miles S/.);;;
127;Phoma sp.;Hongo asociado al nematodo del Quiste;Hongo;5,935;4,805;6,217;
128;Clorosis;Clorosis;Virus;4,585;5,877;5,946;
129;Enanismo;Enanismo;Virus;4,585;5,877;5,946;
130;Aristolochia;Calico;Virus;5,110;4,479;5,217;
131;Anagallis arvensis;Jaboncillo;Malezas;8,172;7,704;5,041;
132;Elasmopalpus lignosellus;Gusano picador de la hoja;Insecto;8,172;7,704;5,041;
133;Toxoptera citricida;Pulgón marrón de los cítricos;Insecto;3,755;3,788;4,684;
134;Aleurodicus dispersus;Mosca blanca;Insecto;2,405;2,664;4,637;
135;Puccinia asparagii;Roya;Hongo;5,524;5,664;4,605;
136;Chaetanaphothrips signipennis;Trips del plátano;Insecto;4,024;4,982;4,410;
137;Fiorinia fioriniae;Queresa;Insecto;2,571;2,535;3,527;
138;Hemiberlesia cyanophylli;Queresa;Insecto;2,571;2,535;3,527;
139;Olygonichus punicae;Acaro;Acaro;2,571;2,535;3,527;
140;Uncinula necator;Oidio de la vid;Hongo;2,571;2,535;3,527;
141;Argyrotaenia sphaleropa;Perforador de los frutos;Insecto;3,594;3,971;3,480;
142;Bemisia argentifolii;Mosca blanca de la hoja plateada;Insecto;3,594;3,971;3,480;
143;Chrysodeixis includens;Gusano medidor de la hoja;Insecto;3,594;3,971;3,480;
144;Nemorimyza maculosa;Mosca minadora;Insecto;3,594;3,971;3,480;
145;Spodoptera eridania;Caballada (gusano ejército);Insecto;3,594;3,971;3,480;
146;Sphaceloma manihoticola;sarna o super alargamiento _Antracnosis_ la mancha parda de la hoja;Hongo;2,590;3,286;3,464;
147;Urocystis cepulae ;Carbon de la cebolla;Hongo;3,107;2,666;3,429;
148;Liryomiza sp.;Mosca minadora;Insecto;2,830;3,416;3,256;
149;Myzus sp.;pulgón verde del melocotonero.;Insecto;2,830;3,416;3,256;
150;Rumex acetocella;Lengua de vaca;Malezas;2,830;3,416;3,256;
151;Streptomyces sp;Sarna comun;Hongo;2,830;3,416;3,256;
152;Parlatoria pergandii;Queresa chata;Insecto;2,320;2,476;3,175;
153;Phyllocoptruta oleivora;Acaro del tostado;Acaro;2,320;2,476;3,175;
154;Raphanus raphanistrum;Rabanillo;Malezas;2,356;3,840;3,124;
155;Pectobacterium carotovorum atr.;Pudrición blanda;Bacteria;3,202;4,843;2,930;
156;Streptomyces scabiei;Sarna de la papa;Bacteria;3,202;4,843;2,930;
157;Rhagoletis ochaspis;Moscas del pepino;Insecto;2,461;3,541;2,883;
158;Toxoptera aurantii;Pulgón negro de los cítricos;Insecto;1,752;1,675;2,226;
159;Peru tomato mosaic virus;Virus peruano del tomate (PTV);Virus;2,194;1,662;2,187;
160;Taphrina deformans;Cloca (hoja encrespada);Hongo;1,713;1,938;2,177;
161;Gibberella zeae ;Pudrición del tallo;Hongo;1,600;3,012;2,086;
162;Heliothrips haemorrhoidalis;Trips del palto;Insecto;1,734;1,837;2,031;
163;Panonychus citri;Arañita roja de los citrus;Insecto;1,734;1,837;2,031;
164;Aspidiotus nerii;Queresa del laurel ornamental;Insecto;1,143;890;1,865;
165;Alternaria padwickii ;Mancha negra de la hoja;Hongo;1,348;1,041;1,757;
166;Heliothis virescens;Gusano perforador grande de la bellota;Insecto;2,119;1,391;1,495;
167;Barley stripe mosaic virus;Mosaico rayado de la cebada (BSMV);Virus;2,241;1,266;1,402;
168;Hyperomyzus lactucae;Pulgón de la lechuga;Insecto;1,106;1,156;1,245;
169;Frankliniella parvula;Trips del plátano;Insecto;945;1,216;1,207;
170;Diatraea saccharalis;Barreno de la caña;Insecto;693;880;1,115;
171;Tomato spotted wilt;Peste negra del tomate (TSWV);Virus;740;683;1,017;
172;Pepino mosaic virus;Virus mosaico del pepino;Virus;827;856;999;
173;Phakopsora euvitis;Roya de la uva;Hongo;687;954;996;
174;Nacobbus aberrans;Falso nematodo del nudo;Nematodo;1,067;1,614;977;
175;Potato Yellow Vein Virus;Virus del Amarrillamiento de las Venas de la Papa;Virus;1,067;1,614;977;
176;Tecaphora solani;Carbon de la papa;Hongo;1,067;1,614;977;
177;Tomato bushy stunt virus ;Virus del Tomate (TBSV);Virus;820;1,180;961;
178;Tomato ring spot ;Mancha anillada del tomate (TomRSV);Virus;820;1,180;961;
179;Opogona sacchari;Polilla del banano;Insecto;720;856;671;
180;Palleucothrips musae;Thrips de la Mancha roja;Insecto;720;856;671;
181;Phyrdenus  sp.;Picudos negro y rayado;Insecto;720;856;671;
182;Planococcus minor;Cochinilla harinosa;Insecto;720;856;671;
183;Hemiberlesia lataniae;Escama latania;Insecto;511;908;622;
184;Icerya purchasi;Queresa blanca;Insecto;511;908;622;
185;Pantomorus cervinus;Gorgojo;Insecto;370;91;592;
186;Verticillium dahliae;Verticillum;Hongo;370;91;592;
187;Quadraspidiotus perniciosus;Queresa de San Jose;Insecto;355;314;425;
188;Cucumber mosaic virus;Virus del mosaico del pepinillo (CMV);Virus;270;223;240;
189;Alfalfa mosaic virus;Virus del mosaico de la alfalfa (AMV);Virus;269;221;237;
190;Diaspidiotus perniciosus;Queresa de San Jose;Insecto;118;105;142;
191;Anastrepha grandis;Mosca de la Fruta;Insecto;157;169;137;
192;Anastrepha obliqua;Mosca de la Fruta;Insecto;157;169;137;
193;Anastrepha serpentina;Mosca de la Fruta;Insecto;157;169;137;
194;Anastrepha striata;Mosca de la Fruta;Insecto;157;169;137;
195;Atherigona orientalis;Atherigona orientalis;Insecto;142;138;125;
196;Microcephalothrips abdominalis;Thrips;Insecto;142;138;125;
197;Stenoma sp.;Barrenador de frutos;Insecto;63;77;97;
198;Cerotelium fici;Roya de la higuera;Hongo;80;90;93;
199;Tortyra fulgens;Barrenador de los brotes;Insecto;80;90;93;
200;Lissachatina fulica;Caracol gigante Africano;Molusco;62;80;80;
201;Aphis fabae ;Pulgón negro;Insecto;102;113;79;
202;Polygonum aviculare;Pasto de pollo -Sanguinaria;Malezas;75;52;66;
Total ;;;;4,306,121;4,512,697;4,932,752;
Fuente: Dirección General de Sanidad Vegetal- SENASA. MINAGRI - SISAGRI. Elaboración propia. 2015;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
