Edad,Género,Lugar de residencia,Peso antes del confinamiento,Peso después del confinamiento,Convivencia durante el confinamiento,Sentimientos durante el confinamiento,Consumo de frutas y verduras durante el confinamiento,Consumo de carnes rojas durante el confinamiento,Consumo de carnes blancas durante el confinamiento,Consumo de huevos durante el confinamiento,Consumo de lácteos durante el confinamiento,Consumo de pan y cereales durante el confinamiento,Consumo de frutos secos durante el confinamiento,Consumo de suplementos de vitaminas durante el confinamiento,Consumo de bebidas alcohólicas durante el confinamiento,Consumo de bebidas azucarádas durante el confinamiento,Consumo de snacks y dulces durante el confinamiento,Percepción sobre el cambio de alimentación por el confinamiento,Causas del cambio de alimentación durante el confinamiento,Percepcion sobre su alimentación actual,Veces de consumo de alimentos por día,Omisión de comidas,Percepción sobre la mejora de sus habitos alimenticios,Frecuencia de práctica de actividad física antes del confinamiento,Frecuencia de práctica de actividad física después del confinamiento,Estatura antes del confinamiento,Estatura después del confinamiento
18,Masculino,Central Sur,60,65,Con familiares,Feliz,Ha aumentado,Ha disminuido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,3,No,Sí,Diario,Una vez por mes,1.71,1.71
21,Femenino,Provincia,53,51,Con familiares,En unión familiar,Ha aumentado,Ha disminuido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,Se ha mantenido,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",Sí,4,No,Sí,Una vez por semana,No hago ejercicios,1.48,1.48
18,Femenino,Este,52,56,Con familiares,Feliz,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,No consumo,Se ha mantenido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,2 a 3 dias por semana,Una vez por semana,1.52,1.54
19,Femenino,Sur,58,59,Con familiares,En unión familiar,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,4,No,Sí,2 a 3 dias por semana,4 a 5 dias por semana,1.6,1.6
18,Femenino,Central Sur,53.5,52.5,Con familiares,Triste,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,No consumo,Se ha mantenido,No,NA,Sí,3,No,Sí,Diario,2 a 3 dias por semana,1.62,1.63
20,Femenino,Central Sur,53.2,42.2,Solo,Relajado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,Sí,Por el alza de precio de los productos alimenticios.,Sí,3,Sí,Sí,Una vez por semana,Una vez por semana,1.58,1.2
18,Femenino,Central,58,62,Con familiares,Estresado,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha aumentado,No consumo,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,No,Sí,2 a 3 dias por semana,Una vez por semana,1.6,1.6
21,Femenino,Este,60,67,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,No hacía ejercicios,2 a 3 dias por semana,1.65,1.65
18,Masculino,Este,55.4,55.6,Con familiares,Relajado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha aumentado,Se ha mantenido,No consumo,Se ha mantenido,Ha aumentado,Ha aumentado,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,4,No,Sí,2 a 3 dias por semana,Una vez por semana,1.68,1.7
19,Femenino,Central Sur,49,44,Con familiares,Deprimido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,2,Sí,Sí,4 a 5 dias por semana,No hago ejercicios,1.45,1.47
18,Femenino,Provincia,49,52,Con familiares,Estresado,Ha aumentado,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,No consumo,Se ha mantenido,Ha disminuido,Ha disminuido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,2 a 3 dias por semana,No hago ejercicios,1.58,1.6
19,Femenino,Este,49,52,Con familiares,Deprimido,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,No consumo,Ha disminuido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,5,No,Sí,Una vez por mes,Una vez por mes,1.5,1.5
19,Femenino,Este,68,70,Con familiares,Tranquilo,Ha aumentado,No consumo,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,No consumo,No consumo,Ha aumentado,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,4,No,Sí,No hacía ejercicios,Una vez por semana,1.7,1.7
18,Masculino,Provincia,55.8,58.7,Con familiares,Ansioso,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,No consumo,No consumo,Ha disminuido,Ha disminuido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,4,No,"No, me va a costar demasiado",Una vez por mes,Una vez por semana,1.62,1.63
19,Masculino,Norte,69,71,Con familiares,Deprimido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,Se ha mantenido,Ha aumentado,No,NA,Sí,4,No,Sí,2 a 3 dias por semana,2 a 3 dias por semana,1.72,1.72
19,Femenino,Provincia,55,63,Con amigos,Estresado,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,No,4,Sí,Sí,No hacía ejercicios,Una vez por semana,1.53,1.54
18,Femenino,Este,42,45,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,No consumo,No consumo,Se ha mantenido,No consumo,Ha disminuido,Se ha mantenido,Se ha mantenido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,No,3,Sí,Sí,2 a 3 dias por semana,No hago ejercicios,1.5,1.53
22,Masculino,Central Sur,55.5,56,Con familiares,En unión familiar,Se ha mantenido,Ha disminuido,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,No consumo,Se ha mantenido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,Una vez por semana,2 a 3 dias por semana,1.65,1.65
18,Masculino,Norte,80.3,84.8,Con familiares,Estresado,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,Ha aumentado,No consumo,Se ha mantenido,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",Sí,5,No,Sí,2 a 3 dias por semana,No hago ejercicios,1.69,1.71
18,Femenino,Provincia,53.5,59.5,Con familiares,En unión familiar,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,No,6,No,Sí,Una vez por semana,Una vez por mes,1.56,1.57
18,Femenino,Central Sur,57,61,Con familiares,Ansioso,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,5,No,Sí,No hacía ejercicios,Una vez por semana,1.56,1.58
18,Masculino,Este,68,71,Con familiares,Feliz,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,No,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,Diario,Una vez por semana,1.7,1.73
19,Masculino,Sur,70,78.85,Con familiares,Enojado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha aumentado,No consumo,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,3,Sí,Sí,4 a 5 dias por semana,Una vez por semana,1.73,1.75
23,Femenino,Norte,58.5,77.4,Con familiares,Ansioso,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,Ha aumentado,No consumo,Ha aumentado,No consumo,Ha aumentado,Ha aumentado,Sí,Por el alza de precio de los productos alimenticios.,No,5,No,Sí,Diario,No hago ejercicios,1.6,1.6
22,Masculino,Este,80,84,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",Sí,3,No,Sí,2 a 3 dias por semana,Una vez por semana,1.64,1.64
19,Masculino,Norte,58,60,Con familiares,Tranquilo,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,Ha aumentado,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,No,NA,Sí,4,No,Sí,2 a 3 dias por semana,2 a 3 dias por semana,1.68,1.68
20,Femenino,Central Sur,49,51,Con familiares,Estresado,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,Se ha mantenido,No consumo,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,Sí,"No, me va a costar demasiado",No hacía ejercicios,No hago ejercicios,1.58,1.58
18,Femenino,Provincia,56,58,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,4,Sí,Sí,Una vez por mes,Una vez por semana,1.55,1.56
19,Masculino,Provincia,48,50,Con familiares,Tranquilo,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No,NA,Sí,3,No,"No, tengo hábitos alimenticios saludables",4 a 5 dias por semana,4 a 5 dias por semana,1.6,1.65
18,Femenino,Este,47.3,48,Con familiares,Tranquilo,Ha disminuido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,Sí,Sí,Una vez por semana,No hago ejercicios,1.58,1.58
18,Femenino,Sur,59,66,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,No consumo,No consumo,Ha aumentado,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,3,Sí,"No, me va a costar demasiado",2 a 3 dias por semana,No hago ejercicios,1.59,1.62
22,Femenino,Este,45,44,Con familiares,Feliz,Ha aumentado,Ha disminuido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,No consumo,No consumo,No consumo,Se ha mantenido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,2,Sí,Sí,2 a 3 dias por semana,Una vez por mes,1.5,1.5
18,Masculino,Provincia,78,70,Con familiares,Feliz,Ha aumentado,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,Una vez por semana,4 a 5 dias por semana,1.7,1.83
21,Femenino,Provincia,57,58,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,6,Sí,Sí,Una vez por mes,2 a 3 dias por semana,1.56,1.57
20,Femenino,Provincia,54,56,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,No consumo,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",Sí,3,No,"No, me va a costar demasiado",2 a 3 dias por semana,Una vez por mes,1.6,1.6
19,Femenino,Central,50,53,Con familiares,En unión familiar,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,No consumo,No consumo,Se ha mantenido,No consumo,Se ha mantenido,Se ha mantenido,No,NA,Sí,3,Sí,Sí,2 a 3 dias por semana,Una vez por semana,1.56,1.57
21,Femenino,Central Sur,56,58,Solo,Ansioso,Ha aumentado,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,No,3,Sí,Sí,Una vez por mes,No hago ejercicios,1.54,1.54
30,Masculino,Este,70,84,Con familiares,Tranquilo,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,No,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,No,Sí,Una vez por mes,4 a 5 dias por semana,1.7,1.71
22,Femenino,Provincia,55.2,58,Con familiares,Tranquilo,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha disminuido,Se ha mantenido,Ha aumentado,Ha disminuido,Ha aumentado,Ha aumentado,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,4,No,"No, tengo hábitos alimenticios saludables",4 a 5 dias por semana,No hago ejercicios,1.5,1.5
19,Femenino,Sur,65,72,Con familiares,Deprimido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha aumentado,No consumo,Se ha mantenido,No consumo,No consumo,No consumo,Se ha mantenido,No consumo,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,2,Sí,Sí,2 a 3 dias por semana,Una vez por mes,1.7,1.7
18,Femenino,Este,43.5,43.5,Con familiares,Tranquilo,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,No,NA,Sí,3,No,Sí,No hacía ejercicios,No hago ejercicios,1.5,1.5
19,Masculino,Provincia,68,70,Con familiares,Tranquilo,Se ha mantenido,Ha disminuido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,No,NA,Sí,3,No,Sí,4 a 5 dias por semana,Una vez por mes,1.68,1.68
20,Femenino,Norte,60,61,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,No consumo,Se ha mantenido,Se ha mantenido,No,NA,No,3,Sí,Sí,Una vez por semana,Una vez por semana,1.56,1.56
18,Femenino,Central,54,56,Con familiares,En unión familiar,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,No consumo,Ha disminuido,Se ha mantenido,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",Sí,4,No,Sí,2 a 3 dias por semana,2 a 3 dias por semana,1.54,1.56
18,Masculino,Central Sur,62,61,Solo,Ansioso,Ha disminuido,Ha disminuido,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,Se ha mantenido,Ha disminuido,Se ha mantenido,Sí,Por el alza de precio de los productos alimenticios.,Sí,2,No,Sí,4 a 5 dias por semana,Una vez por mes,1.6,1.6
18,Femenino,Provincia,60,62,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,No consumo,No consumo,No consumo,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,3,Sí,Sí,4 a 5 dias por semana,No hago ejercicios,1.62,1.62
20,Femenino,Central Sur,60.4,54.8,Con familiares,Solo,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",Sí,3,Sí,Sí,No hacía ejercicios,Diario,1.5,1.5
19,Masculino,Provincia,85,88,Con familiares,Tranquilo,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,Ha disminuido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,Sí,Sí,No hacía ejercicios,2 a 3 dias por semana,1.62,1.65
21,Masculino,Central,81,78,Con familiares,En unión familiar,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha disminuido,Ha disminuido,No consumo,No consumo,Ha disminuido,Ha disminuido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,2,No,Sí,Una vez por mes,4 a 5 dias por semana,1.65,1.67
20,Masculino,Norte,70,75,Con familiares,Relajado,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,4,No,Sí,4 a 5 dias por semana,2 a 3 dias por semana,1.72,1.75
18,Femenino,Central Sur,50,56,Con familiares,Ansioso,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha aumentado,No consumo,No consumo,No consumo,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,5,Sí,"No, me va a costar demasiado",Diario,No hago ejercicios,1.56,1.58
21,Femenino,Norte,55,66,Con familiares,Ansioso,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,No,NA,No,4,No,Sí,Una vez por semana,2 a 3 dias por semana,1.59,1.59
18,Masculino,Norte,78.4,81.6,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,No,Sí,No hacía ejercicios,2 a 3 dias por semana,1.68,1.7
18,Femenino,Central Sur,57,58,Con familiares,Deprimido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,2,Sí,Sí,Una vez por semana,No hago ejercicios,1.52,1.55
19,Femenino,Sur,53,49,Con familiares,En unión familiar,Ha aumentado,No consumo,No consumo,Ha aumentado,Se ha mantenido,Ha disminuido,Ha aumentado,Se ha mantenido,No consumo,No consumo,Ha disminuido,Sí,Porque en las tiendas o supermercados no encontraba los productos que quería consumir.,No,2,Sí,Sí,Una vez por semana,4 a 5 dias por semana,1.57,1.59
18,Femenino,Central,45,51,Con familiares,Relajado,Ha aumentado,Ha disminuido,Ha aumentado,Ha aumentado,Ha disminuido,Ha aumentado,Ha disminuido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha aumentado,Sí,Porque ya no hacía ejercicio y tenía que equilibrar mi salud con una alimentacón más regulada.,Sí,4,Sí,Sí,4 a 5 dias por semana,No hago ejercicios,1.46,1.5
18,Femenino,Central,50,53,Con familiares,En unión familiar,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,Se ha mantenido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,No,Sí,Una vez por mes,2 a 3 dias por semana,1.58,1.58
18,Femenino,Provincia,52,48,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,No,3,Sí,"No, me va a costar demasiado",2 a 3 dias por semana,No hago ejercicios,1.5,1.52
