CLIENTE,PROYECTO,PISOS,ETAPA DE LA EDIFICACIÓN,SÓTANOS,DIRECCION DE LA OBRA,TIPO DE EDIFICACIÓN,INGRESO,DISTRITO,APROBACION,ÁREA DEL EDIFICIO,CANTIDAD DE DETECTORES DE TEMPERATURA,DEPARTAMENTOS POR PISO,CANTIDAD DE DETECTORES DE HUMO
ABRIL GRUPO INMOBILIARIO,Astromelia (30 de Septiembre - 2025),28,ETAPA DE PLANOS,7,Av. Salaverry 1880 - Jesús María,Residencial,70000,Jesús Maria,SI,1232,958,14,420
SAN CHARBEL EDIFICACIONES,Oficinas,5,ETAPA DE PLANOS,2,Avenida Antonio Miró Quesada 425 (Ex Juan de Aliaga) Torre Prisma Business Tower -Oficina 810 Magdalena del Mar - Lima - Perú,Oficina,12500,Magdalena,SI,536,119,4,5
SAN CHARBEL EDIFICACIONES,BE/ (31 de Julio - 2025),22,ETAPA DE PLANOS,7,Av. Brasil 3198 - Magdalena,Residencial,55000,Magdalena,SI,576,448,6,154
SAN CHARBEL EDIFICACIONES,"Botanika (30 de Noviembre - 2025)


",8,ETAPA DE PLANOS,2,Av. Garzon 2160 - Jesus María,Residencial,20000,Jesús Maria,SI,432,96,3,8
Checor Inmobiliaria,Oficinas,1,ETAPA DE PLANOS,0,Ca. Coronel Inclán 235 Ofi. 411 C.E. Blu Building II - Miraflores,Oficina,2500,Miraflores,SI,568,0,4,1
Checor Inmobiliaria,Las magnolias,32,ETAPA DE PLANOS,7,Porta 360 Miraflores,Residencial,80000,Miraflores,SI,902,702,11,384
Checor Inmobiliaria,Las Dalias (30 de Septiembre - 2024),15,ETAPA DE CONSTRUCCIÓN,5,Jr. Enrique Barrón 1366 - Santa Beatriz,Residencial,37500,Cercado de Lima,SI,610,339,5,90
GRUPO CHACARILLA SUR,Oficinas,5,ETAPA DE PLANOS,1,Av. Caminos del Inca 244   Chacarilla - Surco,Oficina,12500,Surco,SI,384,43,3,5
GRUPO CHACARILLA SUR,Fanning 358 (31 de Agosto - 2024),10,ETAPA DE PLANOS,3,Juan Fanning 358 - Miraflores,Residencial,25000,Miraflores,SI,1248,416,12,130
GRUPO CHACARILLA SUR,"Bellaluz - Fine Homes (31 de Enero - 2024)


",7,ETAPA DE PLANOS,2,Monte Umbroso 241 - Surco,Residencial,17500,Surco,SI,610,136,5,7
C & V GRUPO INMOBILIARIO,Edificio Portofino (30 de Diciembre - 2023),11,ETAPA DE CONSTRUCCION,4,Av. Santa Cruz 1550 - MirafloresAv. Santa Cruz 1550 - Miraflores,Residencial,27500,Miraflores,SI,710,316,5,66
Crearq Constructora,Roma 255,8,ETAPA DE CONSTRUCCION,3,Calle Armando Blondet 217 - Of. 501 San Isidro - Lima - Perú  el edificio Queda en ROMA 255,Residencial,20000,San Isidro,SI,780,260,5,8
3F Constructora,Edificio Velasco Astete 1481,7,ETAPA DE CONSTRUCCION,2,Velasco Astete 1481,Residencial,17500,Surco,SI,624,139,4,7
Grupo Zlatzu Inmobiliaria,The Eleven,11,ETAPA DE CONSTRUCCION,3,Av Velasco Astete 1400,Residencial,27500,Surco,SI,528,176,8,99
Galeon,ROMA 241,8,ETAPA DE CONSTRUCCION,2,NA,Residencial,20000,Surco,SI,320,71,4,8
Galeon,Jorge Chavez 300,7,ETAPA DE PLANOS,2,Jorge Chavez 300 - Miraflores,Residencial,17500,Miraflores,SI,348,77,3,7
LIZZINI,EDIFICIO DONDE ERA MAMINO DE CHACARILLA,8,ETAPA DE CONSTRUCCION,2,JR. ICA NRO. 809 DPTO. 303,Residencial,20000,Miraflores,SI,288,64,4,8
LIDER  GRUPO CONSTRUCTOR,"FLOW AND LIVING


",8,ETAPA DE CONSTRUCCION,3,Av. Manuel Olguín 501 Piso 13 - Santiago de Surco - Lima.,Residencial,20000,Surco,SI,450,150,5,8
LIDER  GRUPO CONSTRUCTOR,"Cuattro Mambo Etapa II (Dic  2024)


",16,ETAPA DE PLANOS,5,"Calle 18 S/N


El Retablo - Comas",Residencial,40000,Comas,SI,900,500,9,160
LIDER  GRUPO CONSTRUCTOR,"Gran Olivo  (Junio 2024)


",31,ETAPA DE CONSTRUCCION,7,"Av. Angélica Gamarra 1301 - Los Olivos


- Los Olivos",Residencial,77500,Los Olivos,SI,1632,1269,12,403
LIDER  GRUPO CONSTRUCTOR,"Flow Living Apartments (marzo 2024)


",27,ETAPA DE CONSTRUCCION,7,Av. Tomás Marsano 392 - Surquillo,Residencial,67500,Surquillo,SI,1428,1111,14,405
LA VENTUROSA,"Consultorios Médicos San Borja


Edificio Altaurora (30 de Septiembre - 2024)",5,ETAPA DE PLANOS,1,San Borja Norte 613 San Borja,Oficina,12500,San Borja,SI,300,33,3,5
LA VENTUROSA,Edificio Altaurora (30 de Septiembre - 2024),22,ETAPA DE CONSTRUCCION,7,Av. Tomás Marsano 1921,Residencial,55000,Surquillo,SI,1380,1073,10,242
LA VENTUROSA,"Reducto Apartments (31 de Octubre - 2025)


",16,ETAPA DE PLANOS,5,Jr. El Polo 401 Of. 201 Santiago de Surco - Lima   Perú,Residencial,40000,Surco,SI,1080,600,10,176
Grupo LAR,"Eres Fase 2 (30 de Septiembre - 2025)


",17,ETAPA DE PLANOS,6,Av. República de Panamá 4077 Surquillo,Residencial,42500,Surquillo,SI,1220,813,10,187
Grupo LAR,Hara (Etapa 5) (30 de Septiembre - 2025),25,ETAPA DE PLANOS,7,Calle Fermin Tanguis 160 - La victoria,Residencial,62500,La Victoria,SI,576,448,8,225
Grupo LAR,ORUM,27,ETAPA DE PLANOS,7,Jiron Francisco Graña 153 La Victoria,Residencial,67500,La Victoria,SI,1708,1328,14,405
Grupo LAR,Elant Fase 2 (31 de Diciembre - 2024),28,ETAPA DE CONSTRUCCION,7,Av. Canadá 185 - La Victoria,Residencial,70000,La Victoria,SI,1260,980,10,308
Jopesa,PROYECTO CHICLAYO (FUNNEL),10,ETAPA DE PLANOS,3,Av. 2 de Mayo 238 - piso 8 Miraflores Lima - Perú,Residencial,25000,Miraflores,SI,1794,598,13,140
AMMA INMOBILIARIA,Nobel,24,ETAPA DE CONSTRUCCION,6,Av. Aramburu N° 965 Of. 202 - San Isidro,Residencial,60000,San Isidro,SI,1184,789,8,216
Illusione,Colón 470,15,ETAPA DE PLANOS,5,NA,Residencial,37500,Miraflores,SI,608,338,8,135
Illusione,Parque Naciones Unidas 198,9,ETAPA DE PLANOS,3,Pje. Parque Naciones Unidas 198,Residencial,22500,Miraflores,SI,320,107,5,9
Illusione,Chamberí 161 Miraflores,14,ETAPA DE PLANOS,5,Ca. Gral. Mendiburu 845 Miraflores - Lima,Residencial,35000,Miraflores,SI,624,347,8,126
TALE INMOBILIARIA,"MARSANO 2670 (30 de Abril - 2024)


",13,ETAPA DE CONSTRUCCION,3,Av Thomas Marsano 2670,Residencial,32500,Miraflores,SI,1078,359,7,104
TALE INMOBILIARIA,MARISCAL CASTILLA (30 de Junio - 2025) Pre venta,22,ETAPA DE PLANOS,7,Calle General Recavarren 181 - Miraflores,Residencial,55000,Miraflores,SI,1314,1022,9,220
TALE INMOBILIARIA,"TORRE PAINO (31 de Diciembre - 2025)


",22,ETAPA DE PLANOS,6,Calle General Recavarren 181 - Miraflores,Residencial,55000,Miraflores,SI,1240,827,10,242
TALE INMOBILIARIA,"VISTA MARINA 356 (31 de Mayo - 2024)


",11,ETAPA DE PLANOS,4,Calle General Recavarren 181 - Miraflores,Residencial,27500,Miraflores,SI,688,306,8,99
TALE INMOBILIARIA,"La Mar 1055 (30 de Diciembre - 2024)


",15,ETAPA DE PLANOS,4,Calle General Recavarren 181 - Miraflores,Residencial,37500,Miraflores,SI,938,417,7,120
TALE INMOBILIARIA,Casanova 151 (29 de Febrero - 2024),16,ETAPA DE CONSTRUCCION,4,Calle General Recavarren 181 - Miraflores,Residencial,40000,Miraflores,SI,540,240,6,112
BINDA Y ASOCIADOS,Oficinas,23,ETAPA DE PLANOS,6,Luis Arias Schereiber 135 - oficina 305 Miraflores Municipalidad Metropolitana de Lima LIMA - 18,Oficina,57500,Miraflores,SI,686,457,7,184
BINDA Y ASOCIADOS,"Verona  (31 de Diciembre - 2024)


",32,ETAPA DE PLANOS,7,Av. San Borja Sur 586 - San Borja,Residencial,80000,San Borja,SI,900,700,15,512
GRUPO EDIFIKARTE,"MONTE MAYOR 177


",32,ETAPA DE PLANOS,7,NA,Residencial,80000,San Borja,SI,1122,873,11,384
TALE INMOBILIARIA,"MARSANO 2670 (30 de Abril - 2024)


",26,ETAPA DE PLANOS,6,Av Thomas Marsano 2670    4772589,Residencial,65000,Miraflores,SI,780,520,10,286
TALE INMOBILIARIA,MARISCAL CASTILLA (30 de Junio - 2025),31,ETAPA DE PLANOS,7,Calle General Recavarren 181 - Miraflores,Residencial,77500,Miraflores,SI,820,638,10,341
TALE INMOBILIARIA,"TORRE PAINO (31 de Diciembre - 2025)


",29,ETAPA DE PLANOS,7,Calle General Recavarren 181 - Miraflores,Residencial,72500,Miraflores,SI,900,700,15,464
TALE INMOBILIARIA,"VISTA MARINA 356 (31 de Mayo - 2024)


",24,ETAPA DE PLANOS,7,Calle General Recavarren 181 - Miraflores,Residencial,60000,Miraflores,SI,468,364,6,168
TALE INMOBILIARIA,"La Mar 1055 (30 de Diciembre - 2024)


",10,ETAPA DE PLANOS,3,Calle General Recavarren 181 - Miraflores,Residencial,25000,Miraflores,SI,1120,373,14,150
TALE INMOBILIARIA,Casanova 151 (29 de Febrero - 2024),21,ETAPA DE PLANOS,7,Calle General Recavarren 181 - Miraflores,Residencial,52500,Miraflores,SI,1200,933,10,231
VITAIN,"INTOWER


",21,ETAPA DE CONSTRUCCIÓN,7,Av Angamos Cruce con Panam sur,Residencial,52500,Surquillo,SI,480,373,8,189
VITAIN,Edificio Nitoa IV (30 de Junio - 2024),7,ETAPA DE PLANOS,2,Andres Aramburu 962 Surquillo,Residencial,17500,Surquillo,SI,430,96,5,7
VITAIN,"Edificio Orizzon 2 (31 de Mayo - 2024)


",31,ETAPA DE PLANOS,7,Daniel Carrion 110 Magdalena,Residencial,77500,Magdalena,SI,1904,1481,14,465
VITAIN,Edificio Nitoa 5 (15 de Diciembre - 2025),9,ETAPA DE PLANOS,3,Las Gaviotas 173 Surquillo,Residencial,22500,Surquillo,SI,348,116,3,9
Grupo Zlatzu Inmobiliaria,The Eleven,11,ETAPA DE CONSTRUCCIÓN,3,Av Velasco Astete 1400,Residencial,27500,Surquillo,SI,456,152,6,77
Constructora Framan,Edif Multifamiliar Batallon Ayacucho,8,ETAPA DE CONSTRUCCIÓN,3,caminos del inca con Batallon Ayacucho,Residencial,20000,Surco,SI,680,227,5,8
3F Constructora,Edificio Velasco Astete 1481,7,ETAPA DE CONSTRUCCIÓN,2,Velasco Astete 1481,Residencial,17500,Surco,SI,340,76,5,7
EE INMOBILIARIA,BLE (Velasco Astete,14,ETAPA DE PLANOS,4,Av. Alfredo Benavides 2549 - Miraflores 15048,Residencial,35000,Miraflores,SI,470,209,5,84
EE INMOBILIARIA,"Barcelona (31 de Enero - 2024)


",28,ETAPA DE PLANOS,7,Av. Alfredo Benavides 2549 - Miraflores 15048,Residencial,70000,Miraflores,SI,860,669,10,308
EE INMOBILIARIA,HQ5 (30 de Noviembre - 2023),34,ETAPA DE PLANOS,7,Av. Alfredo Benavides 2549 - Miraflores 15048,Residencial,85000,Miraflores,SI,1168,908,8,306
EE INMOBILIARIA,"El Bosque (30 de Noviembre - 2023)


",24,ETAPA DE PLANOS,6,Av. Alfredo Benavides 2549 - Miraflores 15048,Residencial,60000,Miraflores,SI,1180,787,10,264
EE INMOBILIARIA,"El Rocío 354 (31 de Enero - 2024)


",16,ETAPA DE PLANOS,4,Av. Alfredo Benavides 2549 - Miraflores 15048,Residencial,40000,Miraflores,SI,846,376,9,160
EE INMOBILIARIA,"Braganza (30 de Abril - 2024)


",13,ETAPA DE PLANOS,3,Av. Alfredo Benavides 2549 - Miraflores 15048,Residencial,32500,Miraflores,SI,768,256,6,91
EE INMOBILIARIA,"Monte Real 217 (31 de Enero - 2024)


",33,ETAPA DE PLANOS,7,Av. Alfredo Benavides 2549 - Miraflores 15048,Residencial,82500,Miraflores,SI,1960,1524,14,495
EE INMOBILIARIA,"BALBOA (30 de Abril - 2024)


",15,ETAPA DE PLANOS,4,Av. Alfredo Benavides 2549 - Miraflores 15048,Residencial,37500,Miraflores,SI,350,156,5,90
EE INMOBILIARIA,"Vert 2 (31 de Julio - 2024)


",33,ETAPA DE PLANOS,7,Av. Alfredo Benavides 2549 - Miraflores 15048,Residencial,82500,Miraflores,SI,720,560,9,330
EE INMOBILIARIA,"Pueblo Libre (31 de Enero - 2024)


",24,ETAPA DE PLANOS,6,Av. Alfredo Benavides 2549 - Miraflores 15048,Residencial,60000,Miraflores,SI,576,384,6,168
EE INMOBILIARIA,BRIZZA (30 de Abril - 2024),16,ETAPA DE PLANOS,4,Av. Alfredo Benavides 2549 - Miraflores 15048,Residencial,40000,Miraflores,SI,990,440,9,160
META CONSTRUCCION - QOLONO INMOBILIARIA,BOLOGNESI 501 (31 de Octubre - 2023),9,ETAPA DE CONSTRUCCIÓN,2,"Oficinas : JR. LA CONQUISTA NRO. 344 DPTO. 302 URB. EL DERBY DE MONTERRICO


Obra: Bolognesi 501 - Miraflores",Residencial,22500,Miraflores,SI,474,105,3,9
COGEPATS,Invent Tirado (29 de Febrero - 2024),22,ETAPA DE CONSTRUCCIÓN,7,Calle Antares 320 Of 805 torre B  - Surco,Residencial,55000,Surco,SI,1320,1027,10,242
COGEPATS,Invent Cuba (29 de Febrero - 2024),22,ETAPA DE CONSTRUCCIÓN,6,"Calle Antares 320 Of. 805 Torre B


Santiago de Surco


",Residencial,55000,Surco,SI,816,544,8,198
urbalima  (amigo de Cogepats),INSPIRIA,21,ETAPA DE CONSTRUCCIÓN,7,"Av. Del Pinar 180 - Of. 1201 - Chacarilla - Surco


Av. Andrés Rázuri 247 - San Miguel 15087


",Residencial,52500,Surco,SI,756,588,9,210
urbalima  (amigo de Cogepats),Ecopark,13,ETAPA DE CONSTRUCCIÓN,4,Cerca de Los insurgentes con Faucett,Residencial,32500,San Miguel,SI,1024,455,8,117
urbalima  (amigo de Cogepats),"Solaris (21 pisos) queda en intihutana)


",21,ETAPA DE CONSTRUCCIÓN,7,intihuatana 511,Residencial,52500,Surco,SI,1460,1136,10,231
RUMI,"Pietra della Vittoria  (en construccion


",30,ETAPA DE CONSTRUCCIÓN,7,Av. Angamos Oeste 651 Of. 205 Miraflores - Lima,Residencial,75000,Miraflores,SI,1830,1423,15,480
RUMI,PIETRA DI AVANTI (octubre 2024),19,ETAPA DE CONSTRUCCIÓN,5,Av. Angamos Oeste 651 Of. 205 Miraflores - Lima,Residencial,47500,Miraflores,SI,1152,640,9,190
EDIFICA / PRODUKTIVA,"ART 28 (30 de Noviembre - 2024)


",11,ETAPA DE PLANOS,3,República de Colombia 791 of. 702 - San Isidro,Residencial,27500,San Isidro,SI,960,320,6,77
EDIFICA / PRODUKTIVA,San Martin 836 (31 de Marzo - 2024),20,ETAPA DE PLANOS,7,República de Colombia 791 of. 702 - San Isidro,Residencial,50000,San Isidro,SI,736,572,8,180
EDIFICA / PRODUKTIVA,"Artline (30 de Junio - 2024)


",22,ETAPA DE PLANOS,6,República de Colombia 791 of. 702 - San Isidro,Residencial,55000,San Isidro,SI,854,569,7,176
EDIFICA / PRODUKTIVA,"Sevilla(15 de Noviembre - 2023)


",25,ETAPA DE PLANOS,6,República de Colombia 791 of. 702 - San Isidro,Residencial,62500,San Isidro,SI,948,632,6,175
EDIFICA / PRODUKTIVA,Atelier (20 de Diciembre - 2023),22,ETAPA DE PLANOS,6,República de Colombia 791 of. 702 - San Isidro,Residencial,55000,San Isidro,SI,774,516,9,220
EDIFICA / PRODUKTIVA,The Sight (30 de Junio - 2025),13,ETAPA DE PLANOS,4,República de Colombia 791 of. 702 - San Isidro,Residencial,32500,San Isidro,SI,516,229,6,91
XYZ Inmobiliaria,Tomasal 1074 (31 de Agosto - 2024),26,ETAPA DE PLANOS,7,JR. JUNIN NRO. 302,Residencial,65000,San Isidro,SI,682,530,11,312
Llosa Edificaciones Urban,S29 (30 de Agosto - 2024),10,ETAPA DE PLANOS,3,"Calle Hipólito Unanue 225 Of. 701


Miraflores - Lima - Perú",Residencial,25000,Miraflores,SI,1710,570,15,160
TUCAN INMOBILIARIA,"BALTHAZAR 


",14,ETAPA DE PLANOS,5,"AV. MANUEL OLGUIN NRO. 327 INT. 305 URB. LOS GRANADOS





",Residencial,35000,Surco,SI,1248,693,8,126
INVERSIONES TUCAN,"BALTHAZAR 


",13,ETAPA DE PLANOS,3,"AV. MANUEL OLGUIN NRO. 327 INT. 305 URB. LOS GRANADOS





",Residencial,32500,Surco,SI,1280,427,8,117
BRAZIL GRUPO INMOBILIARIO,"SIENA (30 de Noviembre - 2023)


",13,ETAPA DE PLANOS,3,C. Sinchi Roca 2680 - Lince 15073,Residencial,32500,Lince,SI,792,264,6,91
ARMANDO PAREDES,Edificio Libertad,30,ETAPA DE PLANOS,7,Av. Grau 629 - Oficina 306 - Barranco - Lima ,Residencial,75000,Barranco,SI,540,420,9,300
PROCITY,"MAR ADRIATICO


MAR D´AMALFI


LIBERTY ONE",15,ETAPA DE PLANOS,5,Los Tulipanes 147 - of. 1203 - El Polo - Surco,Residencial,37500,Surco,SI,468,260,6,105
TALE INMOBILIARIA,"MARSANO 2670 (30 de Abril - 2024)


",12,ETAPA DE PLANOS,4,Av Thomas Marsano 2670,Residencial,30000,Miraflores,SI,864,384,6,84
TALE INMOBILIARIA,MARISCAL CASTILLA (30 de Junio - 2025) Pre venta,10,ETAPA DE PLANOS,2,Calle General Recavarren 181 - Miraflores,Residencial,25000,Miraflores,SI,806,179,13,140
TALE INMOBILIARIA,"TORRE PAINO (31 de Diciembre - 2025)


",14,ETAPA DE PLANOS,4,Calle General Recavarren 181 - Miraflores,Residencial,35000,Miraflores,SI,470,209,5,84
TALE INMOBILIARIA,"VISTA MARINA 356 (31 de Mayo - 2024)


",29,ETAPA DE PLANOS,7,Calle General Recavarren 181 - Miraflores,Residencial,72500,Miraflores,SI,2400,1867,15,464
TALE INMOBILIARIA,"La Mar 1055 (30 de Diciembre - 2024)


",29,ETAPA DE PLANOS,7,Calle General Recavarren 181 - Miraflores,Residencial,72500,Miraflores,SI,2072,1612,14,435
TALE INMOBILIARIA,Casanova 151 (29 de Febrero - 2024),9,ETAPA DE PLANOS,3,Calle General Recavarren 181 - Miraflores,Residencial,22500,Miraflores,SI,480,160,5,9
ACTUAL,"Faisanes 343 (30 de Junio - 2025)


",17,ETAPA DE PLANOS,4,"Av. Javier Prado Oeste 757 - Oficina 1106


Magdalena Del Mar - Lima",Residencial,42500,Magdalena,SI,1380,613,10,187
ACTUAL,REPUBLICA,8,ETAPA DE PLANOS,3,"Av. Javier Prado Oeste 757 - Oficina 1106


Magdalena Del Mar - Lima",Residencial,20000,Magdalena,SI,350,117,5,8
ARTECO,"Linkce (01 de Octubre - 2023)


",26,ETAPA DE PLANOS,6,Av. Manuel Olguín 501 - Santiago de Surco 15023,Residencial,65000,Surco,SI,1650,1100,15,416
ARTECO,"Astoria (01 de Diciembre - 2023)


",31,ETAPA DE PLANOS,7,Av. Manuel Olguín 501 - Santiago de Surco 15023,Residencial,77500,Surco,SI,1500,1167,10,341
ARTECO,Midtown (31 de Julio - 2024),30,ETAPA DE PLANOS,7,Av. Manuel Olguín 501 - Santiago de Surco 15023,Residencial,75000,Surco,SI,1120,871,10,330
PIONERO INMOBILIARIA,Reducto 1421 (31 de Octubre - 2024),9,ETAPA DE PLANOS,2,"Avenida Pardo y Aliaga 699   Of. 803 - San


Isidro Lima - Perú",Residencial,22500,San Isidro,SI,550,122,5,9
Crearq Constructora,Roma 255,8,ETAPA DE CONSTRUCCIÓN,2,"Calle Armando Blondet 217 - Of. 501


San Isidro - Lima - Perú  el edificio Queda en ROMA 255",Residencial,20000,San Isidro,SI,630,140,5,8
Crearq Constructora,Las Lilas 123 Surco,7,ETAPA DE CONSTRUCCIÓN,2,Calle Las Lilas 123 - Surco - Valle Hermoso,Residencial,17500,Surco,SI,730,162,5,7
3F Constructora,Edificio Velasco Astete 1481,7,ETAPA DE CONSTRUCCIÓN,2,Velasco Astete 1481,Residencial,17500,Surco,SI,360,80,5,7
Grupo Zlatzu Inmobiliaria,The Eleven,11,ETAPA DE CONSTRUCCIÓN,4,Av Velasco Astete 1400,Residencial,27500,Surco,SI,550,244,5,66
Galeon,ROMA 241,8,ETAPA DE CONSTRUCCIÓN,3,NA,Residencial,20000,Miraflores,SI,392,131,4,8
RUMI,Jorge Chavez 300,33,ETAPA DE PLANOS,7,Jorge Chavez 300 - Miraflores,Residencial,82500,Miraflores,SI,1088,846,8,297
RUMI,PIETRA DI AVANTI,24,ETAPA DE PLANOS,7,Av. Angamos Oeste 651 Of. 205 Miraflores - Lima,Residencial,60000,Miraflores,SI,1404,1092,9,240
RUMI,"Pietra della Vittoria


",30,ETAPA DE CONSTRUCCIÓN,7,Av. Angamos Oeste 651 Of. 205 Miraflores - Lima,Residencial,75000,Miraflores,SI,2156,1677,14,450
EDIFICA / PRODUKTIVA,"Artline (30 de Junio - 2024)


",34,ETAPA DE PLANOS,7,República de Colombia 791 of. 702 - San Isidro,Residencial,85000,San Isidro,SI,1496,1164,11,408
EDIFICA / PRODUKTIVA,"ART 28 (30 de Noviembre - 2024)


",24,ETAPA DE PLANOS,7,República de Colombia 791 of. 702 - San Isidro,Residencial,60000,San Isidro,SI,924,719,6,168
EDIFICA / PRODUKTIVA,San Martin 836 (31 de Marzo - 2024),20,ETAPA DE PLANOS,7,República de Colombia 791 of. 702 - San Isidro,Residencial,50000,San Isidro,SI,990,770,9,200
EDIFICA / PRODUKTIVA,"Sevilla(15 de Noviembre - 2023)


",17,ETAPA DE PLANOS,6,República de Colombia 791 of. 702 - San Isidro,Residencial,42500,San Isidro,SI,1000,667,10,187
EDIFICA / PRODUKTIVA,Atelier (20 de Diciembre - 2023),15,ETAPA DE PLANOS,5,República de Colombia 791 of. 702 - San Isidro,Residencial,37500,San Isidro,SI,432,240,6,105
EDIFICA / PRODUKTIVA,The Sight (30 de Junio - 2025),11,ETAPA DE PLANOS,4,República de Colombia 791 of. 702 - San Isidro,Residencial,27500,San Isidro,SI,744,331,6,77
PAZ,SERENA -  en lanzamiento,26,ETAPA DE CONSTRUCCIÓN,6,Av Bertolotto 120 San Miguel,Residencial,65000,San Miguel,SI,1440,960,9,260
PAZ,"Florencia (30 de Septiembre - 2025)


",21,ETAPA DE PLANOS,5,Av. Camino Real 390 - Torre Central - piso 17 - San Isidro,Residencial,52500,San Isidro,SI,576,320,9,210
PAZ,Central - Apartments La Mar (30 de Abril - 2025)4),29,ETAPA DE PLANOS,7,Av. Camino Real 390 - Torre Central - piso 17 - San Isidro,Residencial,72500,San Isidro,SI,594,462,9,290
ARMANDO PAREDES,TORIBIO POLO,33,ETAPA DE PLANOS,7,Av. Grau 629 - Oficina 306 - Barranco - Lima ,Residencial,82500,Barranco,SI,1386,1078,9,330
ARMANDO PAREDES,Toribio Polo,34,ETAPA DE PLANOS,7,Av. Grau 629 - Oficina 306 - Barranco - Lima ,Residencial,85000,Barranco,SI,840,653,14,510
LLOSA EDIFICACIONES,S29 en construccion excavacion,16,ETAPA DE CONSTRUCCIÓN,5,Salaverry 2900,Residencial,40000,Lince,SI,1278,710,9,160
LLOSA EDIFICACIONES,LIVEN - esta en inicio de obra,12,ETAPA DE CONSTRUCCIÓN,3,a 2 cdras de malecon de la reserva,Residencial,30000,Barranco,SI,744,248,6,84
ARMANDO PAREDES,Edificio Libertad,25,ETAPA DE PLANOS,6,Av. Grau 629 - Oficina 306 - Barranco - Lima ,Residencial,62500,Barranco,SI,960,640,6,175
ARMANDO PAREDES,Toribio Polo,12,ETAPA DE PLANOS,4,Av. Grau 629 - Oficina 306 - Barranco - Lima ,Residencial,30000,Barranco,SI,826,367,7,96
XYZ Inmobiliaria,Tomasal 1074 (31 de Agosto - 2024),11,ETAPA DE PLANOS,3,JR. JUNIN NRO. 302,Residencial,27500,Barranco,SI,828,276,6,77
EDIFICA / PRODUKTIVA,"ART 28 (30 de Noviembre - 2024)


",18,ETAPA DE PLANOS,4,República de Colombia 791 of. 702 - San Isidro,Residencial,45000,San Isidro,SI,624,277,8,162
EDIFICA / PRODUKTIVA,San Martin 836 (31 de Marzo - 2024),18,ETAPA DE PLANOS,4,República de Colombia 791 of. 702 - San Isidro,Residencial,45000,San Isidro,SI,960,427,8,162
