Marca temporal,Sexo,Edad,Carrera,¿A qué distrito pertenece?,¿En qué ciclo estás?,¿Cuántas horas en promedio estás en la universidad semanalmente?,"De las horas que estás en la universidad, en promedio por semana, ¿Cuántas horas estás en una zona de estudio?
(zona de estudio: Biblioteca, Piso 1, Piso 6, aulas que no están siendo usadas)","¿Cuántas horas estudias semanalmente?
No cuentes tus horas de clase","¿Cuál es tu promedio ponderado? (Si no sabes cómo verlo, sólo anda a EDU/Currícula/Mi avance académico)",¿Cuál es el espacio de estudio que más usas habitualmente?,¿Crees que afecta negativa o positivamente el uso que le das a las zonas de estudio de la universidad?,"En base a la pregunta anterior, ¿Por qué?",¿Para qué usas más los espacios de estudio?,¿Cuántas horas semanales aproximadamente estás en la biblioteca?,"¿Cuántas horas semanales aproximadamente estás en el piso 6? (Nos referimos a las horas que estás estudiando, avanzando proyectos, tareas, etc.)","¿Cuántas horas semanales estás en el piso 1?  (Nos referimos a las horas que estás estudiando, avanzando proyectos, tareas, etc.)",¿Cuál es tu orden de preferencias sobre las áreas de estudio de la universidad? [Biblioteca],¿Cuál es tu orden de preferencias sobre las áreas de estudio de la universidad? [Piso 6],¿Cuál es tu orden de preferencias sobre las áreas de estudio de la universidad? [Piso 1],¿Cuál es tu orden de preferencias sobre las áreas de estudio de la universidad? [Otro]
27/09/2022 14:13:18,Mujer,19,Ingeniería Mecatrónica,Chorrillos,4º Ciclo,14,6,6,13,Biblioteca,Positivamente,porque únicamente te dedicas a estudiar individualmente o grupal,Estudiar,6,3,0,4,1,3,3
27/09/2022 14:26:02,Hombre,20,Ingeniería Mecatrónica,La Molina,5º Ciclo,7,3,20,14,Piso 6,Positivamente,espacio ambientado,Estudiar,5,8,8,3,2,1,4
27/09/2022 14:41:54,Hombre,20,Ingeniería Química,Magdalena del Mar,8º Ciclo,20,5,5,15.48,Aulas vacías,Positivamente,Porque me permite concentrarme en grupo,Estudiar,0,3,5,2,3,2,4
27/09/2022 18:12:41,Hombre,19,Ingeniería Mecatrónica,Santa Anita,4º Ciclo,5,2,8,15.69,Aulas vacías,Positivamente,Pq podemos estudiar,Estudiar,0,2,0,2,3,1,4
27/09/2022 21:38:22,Hombre,18,Ingeniería Mecatrónica,Barranco,4º Ciclo,5,1,2,17,Aulas vacías,Positivamente,porque tengo un espacio tranquilo para trabajar,Leer,2,1,1,4,3,2,1
28/09/2022 9:43:47,Mujer,20,Ingeniería Electrónica,Magdalena del Mar,4º Ciclo,24,6,15,14.54,Biblioteca,Positivamente,me concentro,Hacer tareas,3,1,4,3,4,1,2
28/09/2022 11:10:06,Hombre,19,Ingeniería Civil,La Molina,4º Ciclo,8,4,12,15,Aulas vacías,Positivamente,Por que en mi casa mucho me distraigo estudiar acá me ayuda a concentrarme ,Estudiar,1,2,0,1,3,1,2
28/09/2022 11:10:14,Hombre,19,Ingeniería Civil,Barranco,3º Ciclo,30,4,10,13.4,Piso 6,Positivamente,"Porque en parte me ayudan a concentrarme, ya que en casa tengo muchos distractores...",Hacer tareas,0,3,4,4,4,3,1
28/09/2022 11:50:04,Mujer,20,Ingeniería Industrial,Barranco,3º Ciclo,14,6,6,14.82,cubíclos,Positivamente,"porque son espacios de uso, únicamente para estudio, donde uno tiene mayor concentración. ",Hacer tareas,0,1,1,4,4,3,4
28/09/2022 12:40:05,Hombre,18,Ingeniería Civil,San Juan de Lurigancho,2º Ciclo,4,1,7,10.9,Piso 1,Positivamente,Porque para prepararse mejor para una prueba es mejor ir a una zona silenciosa.,Hacer tareas,3,3,2,1,3,2,4
28/09/2022 13:52:44,Mujer,19,Ingeniería Mecatrónica,San Borja,3º Ciclo,30,4,35,17.45,Biblioteca,Positivamente,Es silencioso ,Hacer tareas,2,1,6,4,3,3,2
28/09/2022 15:49:07,Mujer,19,Ingeniería Industrial,Chorrillos,3º Ciclo,20,6,10,15,Aulas vacías,Positivamente,Porque son áreas de estudio,Hacer tareas,2,10,2,1,1,1,4
28/09/2022 16:02:55,Hombre,19,Ingeniería Civil,Barranco,4º Ciclo,20,0,2,13,Mi casa ,Positivamente,No sé ,Avanzar proyectos,0,0,0,4,4,4,4
28/09/2022 16:05:10,Mujer,19,Ingeniería Electrónica,Chorrillos,6º Ciclo,12,6,6,15.2,Aulas vacías,Positivamente,Porque puedo estudiar en mis horas libres ,Estudiar,0,0,0,4,4,4,1
28/09/2022 16:05:36,Hombre,19,Ingeniería Civil,Callao,5º Ciclo,12,4,15,15,Aulas vacías,Positivamente,Por el uso que se le da,Estudiar,0,2,4,1,2,4,2
28/09/2022 16:05:54,Mujer,19,Ingeniería Industrial,Puente Piedra,5º Ciclo,5,2,8,14.25,mi casa,Positivamente,mayor concentración,Hacer tareas,2,1,0,3,3,1,1
28/09/2022 16:11:29,Hombre,19,Ingeniería Civil,Ate Vitarte,5º Ciclo,84,35,6,14.5,Piso 1,Negativamente,Porque me distraigo ,Avanzar proyectos,1,5,30,1,2,3,4
28/09/2022 16:33:57,Hombre,21,Ingeniería Mecatrónica,Barranco,4º Ciclo,30,1,20,16,Habitación,Positivamente,Estas en un ambiente con personas que también están estudiando y te motiva de alguna manera,Avanzar proyectos,0,1,0,1,1,1,4
28/09/2022 16:37:57,Mujer,19,Ciencia de la Computación,Barranco,2º Ciclo,17,15,7,15.37,Aulas vacías,Positivamente,Por qué me ayuda a crecer independientemente en mis conocimientos ,Hacer tareas,3,0,0,2,2,2,4
28/09/2022 17:03:13,Hombre,20,Ingeniería Industrial,Barranco,5º Ciclo,6,1,6,14,Piso 6,Positivamente,Por qué me parece más beneficioso ,Estudiar,6,6,2,4,3,2,2
28/09/2022 17:04:28,Hombre,19,Ingeniería Industrial,Los Olivos,6º Ciclo,30,5,8,13,Aulas vacías,Positivamente,Uso adecuado del espacio,Hacer tareas,2,4,0,2,4,1,1
28/09/2022 17:08:47,Mujer,17,Bioingeniería,Los Olivos,1º Ciclo,7,10,5,0,Piso 1,Negativamente,No hay espacio ,Estudiar,1,2,4,1,1,2,3
28/09/2022 17:09:06,Mujer,22,Bioingeniería,Villa el Salvador,6º Ciclo,7,3,10,15.23,Aulas vacías,Positivamente,"Ya que brinda un ambiente de estudio, y existen menos distracciones",Estudiar,0,4,0,2,3,1,4
28/09/2022 17:10:30,Hombre,22,Ingeniería Química,Breña,6º Ciclo,40,24,45,12.1,Cubiculo,Positivamente,Porque prefiero estudiar en la universidad ya que en mi casa hay distracciones.,Estudiar,6,5,4,2,2,3,1
28/09/2022 17:14:44,Mujer,19,Ingeniería Civil,Santiago de Surco,1º Ciclo,36,16,12,0,Aulas vacías,Positivamente,Porque cada sitio esta al alcance de todos ,Avanzar proyectos,2,6,6,4,2,3,1
28/09/2022 17:15:08,Mujer,20,Bioingeniería,Barranco,3º Ciclo,9,3,15,15.15,Aulas vacías,Positivamente,Porque veo mejores resultados cuando estdio,Estudiar,4,5,6,3,3,3,3
28/09/2022 17:16:21,Hombre,24,Ciencia de la Computación,Santa Anita,8º Ciclo,14,8,8,14.5,Biblioteca,Positivamente,Puedo concentrarme y compartir con mis compañeros ideas,Avanzar proyectos,7,1,1,4,2,1,4
28/09/2022 17:17:57,Hombre,22,Ciencia de la Computación,Los Olivos,9º Ciclo,50,5,15,13,Biblioteca,Positivamente,Porque lo uso para estudiar,Estudiar,10,0,0,4,1,1,3
28/09/2022 17:18:47,Hombre,23,Ingeniería de la Energía,Chaclacayo,8º Ciclo,35,10,12,14.6,Aulas vacías,Positivamente,Porque en casa me distraigo mucho ,Todas las anteriores,0,0,0,1,1,1,4
28/09/2022 17:18:54,Hombre,22,Ciencia de la Computación,San Martin de Porres,7º Ciclo,38,8,20,13.5,Aulas vacías,Positivamente,Puedo estudiar con compañeros ,Estudiar,6,10,4,3,4,2,2
28/09/2022 17:19:45,Hombre,23,Ciencia de la Computación,Magdalena del Mar,7º Ciclo,6,3,6,15,Aulas vacías,Positivamente,Creo que es indiferente.,Hacer tareas,0,0,0,3,2,1,4
28/09/2022 17:20:35,Hombre,18,Ingeniería Civil,San Juan de Lurigancho,2º Ciclo,25,2,7,12,Aulas vacías,Positivamente,Porque uso esas zonas para estudiar xd,Estudiar,4,1,5,2,1,3,4
28/09/2022 17:22:57,Hombre,19,Ingeniería Mecánica,Santiago de Surco,5º Ciclo,27,9,8,14.31,Aulas vacías,Positivamente,Silencio,Hacer tareas,0.5,0,4,4,3,2,1
28/09/2022 17:26:03,Mujer,20,Ingeniería Industrial,San Juan de Lurigancho,5º Ciclo,12,4,6,15,Aulas vacías,Positivamente,Debido a que estudiar en un lugar que  no haya bulla o mucha gente es beneficioso para el estudio ya que se evitaría distraerse rápido. ,Estudiar,2,2,0,4,3,1,1
28/09/2022 17:27:51,Hombre,18,Ingeniería Civil,Chorrillos,1º Ciclo,20,10,8,0,Biblioteca,Positivamente,Porque es bueno y se aprende mas,Estudiar,10,5,5,4,4,4,4
28/09/2022 17:28:57,Hombre,19,Ingeniería Civil,Chorrillos,1º Ciclo,6,4,5,0,Aulas vacías,Positivamente,Porque adquiero conocimiento .,Leer,4,2,2,3,4,2,4
28/09/2022 17:30:28,Hombre,19,Ingeniería Civil,Carabayllo,1º Ciclo,15,6,70,0,Aulas vacías,Positivamente,Porque es buena,Estudiar,10,2,1,4,4,4,4
28/09/2022 17:30:42,Hombre,17,Ingeniería Civil,Puente Piedra,1º Ciclo,25,20,30,0,Biblioteca,Positivamente,Porque es un espacio comodo,Estudiar,10,4,15,3,2,1,1
28/09/2022 17:30:48,Hombre,19,Ingeniería Civil,Barranco,1º Ciclo,20,4,4,0,Biblioteca,Positivamente,-,Hacer tareas,2,2,2,4,3,3,2
28/09/2022 17:33:21,Hombre,17,Ingeniería Civil,Barranco,1º Ciclo,15,27,29,0,Biblioteca,Positivamente,Por qué me concentro mejor,Estudiar,12,2,17,2,4,1,3
28/09/2022 17:38:34,Hombre,17,Ingeniería Civil,Ate Vitarte,1º Ciclo,12,5,7,0,Piso 6,Positivamente,Son lugares optos para realizar actividades académicas,Avanzar proyectos,4,4,4,3,4,3,4
28/09/2022 17:40:36,Mujer,17,Ingeniería Industrial,Lurigancho,2º Ciclo,80,4,8,15.6,Aulas vacías,Positivamente,Porque se ve resultados ,Estudiar,0,2,4,4,3,2,1
28/09/2022 17:41:31,Hombre,19,Ingeniería Mecatrónica,Chorrillos,6º Ciclo,36,6,15,14.5,Aulas vacías,Positivamente,Es un espacio que nadie necesita en un momento y esta siendo aprovechado.,Hacer tareas,0,0,0,1,3,2,4
28/09/2022 17:42:32,Hombre,18,Ingeniería Civil,Los Olivos,1º Ciclo,6,5,3,0,Aulas vacías,Positivamente,3,Estudiar,3,2,4,3,3,3,3
28/09/2022 17:45:12,Hombre,19,Ingeniería Mecatrónica,Santiago de Surco,6º Ciclo,58,8,7,14.91,Aulas vacías,Positivamente,porque siento que avanzo y me concentro mejor,Estudiar,1,3,4,1,2,3,4
28/09/2022 17:46:05,Hombre,20,Ingeniería Mecatrónica,Barranco,6º Ciclo,48,17,10,16.58,Aulas vacías,Positivamente,-,Avanzar proyectos,0,1,0,2,1,3,4
28/09/2022 17:46:09,Mujer,19,Ingeniería Ambiental,San Isidro,3º Ciclo,37,4,24,14,Aulas vacías,Positivamente,Aprovechar los espacios ,Hacer tareas,5,8,14,3,4,2,3
28/09/2022 17:47:52,Hombre,19,Ingeniería Mecatrónica,MIraflores,6º Ciclo,6,4,8,17.76,Aulas vacías,Positivamente,Tener un espacio para trabajar en algo positivo,Estudiar,0,1,1,1,3,2,4
28/09/2022 17:48:42,Mujer,20,Ingeniería Industrial,MIraflores,4º Ciclo,30,20,21,15,Piso 1,Negativamente,Todos los salones de estudio paran ocupados y no hay espacios y tranquilidad ,Hacer tareas,0,0,10,3,1,4,1
28/09/2022 17:49:02,Mujer,19,Bioingeniería,San Juan de MIraflores,6º Ciclo,58,5,20,17.13,Aulas vacías,Positivamente,"Porque puedo avanzar y concentrarme, pues en mi casa me distraigo demasiado",Avanzar proyectos,1,4,5,2,3,1,4
28/09/2022 17:51:58,Hombre,19,Ingeniería Ambiental,Barranco,2º Ciclo,5,4,8,16,Aulas vacías,Positivamente,Por qué ayuda al desarrollo académico ,Estudiar,2,4,2,3,3,2,4
28/09/2022 17:54:22,Hombre,17,Ciencia de Datos,MIraflores,2º Ciclo,6,2,6,13,Aulas vacías,Positivamente,Porque a veces es difícil estudiar en tu casa porque esta muy lejos o no hay tranquilidad ,Hacer tareas,1,6,1,2,4,1,3
28/09/2022 17:54:57,Mujer,25,Ingeniería Industrial,Chorrillos,10º Ciclo,12,6,1,15.65,Piso 6,Positivamente,No entendí la primera ,Avanzar proyectos,0,6,0,1,4,1,1
28/09/2022 17:55:16,Mujer,23,Ingeniería Industrial,San Isidro,10º Ciclo,20,10,1,14.5,Piso 6,Positivamente,No entendí la pregunta ,Avanzar proyectos,0,1,0,1,3,1,1
28/09/2022 17:56:12,Mujer,17,Ingeniería Civil,MIraflores,2º Ciclo,35,12,24,16.9,Piso 6,Positivamente,porque puedo tener un lugar en el que estudiar,Estudiar,6,20,0,3,4,1,3
28/09/2022 17:56:39,Hombre,17,Ciencia de Datos,San Juan de Lurigancho,2º Ciclo,28,3,6,12.3,Piso 6,Positivamente,Ya que es más tranquilo y puedo avanzar más cosas,Hacer tareas,0,3,0,3,4,2,1
28/09/2022 17:57:07,Hombre,20,Ingeniería Mecatrónica,Surquillo,8º Ciclo,28,10,15,15,Aulas vacías,Positivamente,Porque estudiar en estos lugares hace que tenga mejores notas.,Leer,3,1,0,3,1,2,4
28/09/2022 18:08:16,Hombre,20,Ciencia de la Computación,Comas,6º Ciclo,55,15,15,17,Aulas vacías,Positivamente,Hay buen ambiente en especial si estás con los causas indicados,Estudiar,4,5,0,2,4,3,1
28/09/2022 18:08:47,Hombre,21,Ingeniería Electrónica,San Martin de Porres,7º Ciclo,30,20,10,12,Piso 6,Positivamente,"Porque hace frío y no hay espacios, y prefiero estudiar en mi casa.",Estudiar,0,3,10,1,2,4,4
28/09/2022 18:08:54,Hombre,22,Ingeniería Química,Surquillo,8º Ciclo,40,20,15,17.5,Aulas vacías,Positivamente,Menos bulla,Estudiar,0,2,5,2,1,3,4
28/09/2022 18:08:55,Hombre,22,Ingeniería Mecatrónica,Puente Piedra,7º Ciclo,32,10,8,14.4,Auditorio,Negativamente,"Porque hace frío, no hay espacio, prefiero estudiar en mi casa ",Estudiar,0,7,7,1,3,4,2
28/09/2022 18:09:24,Mujer,22,Ingeniería Civil,Surquillo,10º Ciclo,30,3,18,16.4,Aulas vacías,Positivamente,Porque de esa manera puedo tener mejores resultados a nivel profesional,Avanzar proyectos,0,10,5,1,3,2,4
28/09/2022 18:09:56,Hombre,21,Ingeniería Civil,Barranco,10º Ciclo,6,2,8,16.4,Aulas vacías,Positivamente,"Por que estas cerca a los profesores, biblioteca, conectividad a Internet, etc. ",Estudiar,2,2,1,4,3,2,1
28/09/2022 18:10:29,Hombre,23,Ingeniería de la Energía,Lima,7º Ciclo,8,6,24,17,Aulas vacías,Positivamente,.,Hacer tareas,0,3,0,4,3,2,1
28/09/2022 18:12:08,Hombre,19,Ingeniería Civil,Barranco,3º Ciclo,84,5,14,13,Aulas vacías,Positivamente,Me concentro mejor ,Estudiar,3,4,5,2,2,2,3
28/09/2022 18:13:04,Hombre,18,Ingeniería Civil,Barranco,3º Ciclo,72,48,48,15.75,Cubículos,Positivamente,Porque le doy el uso adecuado y no hago otras actividades que no correspondan.,Estudiar,0,2,0,1,1,1,1
28/09/2022 18:13:12,Mujer,20,Ingeniería Civil,La Molina,3º Ciclo,75,48,36,14.5,Cubículos,Positivamente,Porque tienes un espacio privado para un estudio de forma autodidáctica,Todos,0,1/2,1/2,1,1,1,4
28/09/2022 18:13:19,Hombre,21,Ingeniería Civil,Carabayllo,3º Ciclo,54,15,27,14,Comedor ,Positivamente,Estudio mejor ,Hacer tareas,4,2,4,4,1,1,4
28/09/2022 18:13:33,Hombre,22,Ingeniería Mecánica,Lima,6º Ciclo,30,15,20,13,Biblioteca,Positivamente,Por que aprendo,Estudiar,12,"1, mucho frio",0 mucha bulla,1,4,4,4
28/09/2022 18:16:51,Mujer,19,Bioingeniería,San Luis,3º Ciclo,12,3,35,15,Piso 6,Positivamente,.,Hacer tareas,0,6,0,1,4,1,1
28/09/2022 18:18:09,Hombre,19,Bioingeniería,Barranco,3º Ciclo,12,5,7,13.47,Aulas vacías,Positivamente,Es más desestrrsante,Estudiar,2,6,1,3,3,1,4
28/09/2022 18:18:18,Mujer,19,Bioingeniería,Santiago de Surco,3º Ciclo,7,4,14,15.72,Piso 6,Positivamente,Estudio con mis amigos ,Estudiar,0,10,0,1,3,1,3
28/09/2022 18:18:58,Hombre,19,Ciencia de la Computación,Santiago de Surco,6º Ciclo,10,6,10,17,Piso 6,Positivamente,Porque permite estudiar en los tiempos libres,Hacer tareas,2,5,0,3,4,1,3
28/09/2022 18:19:11,Hombre,18,Bioingeniería,Chorrillos,3º Ciclo,13,12,24,14.5,Aulas vacías,Positivamente,Porque nos permite concentrarnos mejor ,Hacer tareas,10,10,0,4,3,1,2
28/09/2022 18:22:04,Hombre,20,Ingeniería Mecatrónica,San Juan de Lurigancho,8º Ciclo,45,20,10,13.78,Aulas vacías,Positivamente,Si,Avanzar proyectos,2,2,0,1,2,1,4
28/09/2022 18:25:41,Hombre,17,Ingeniería Civil,Chorrillos,2º Ciclo,8,4,2,13,Aulas vacías,Positivamente,Ayuda a estar más concentrado ,Hacer tareas,1,2,2,1,2,3,4
28/09/2022 18:27:13,Mujer,18,Ingeniería Mecatrónica,Santa Anita,2º Ciclo,31,3,12,15.55,Piso 6,Positivamente,Porque logro un mayor avance en tareas y estudio de las que alcanzaría en casa.,Hacer tareas,0,12,0,3,2,4,1
28/09/2022 18:27:59,Hombre,18,Ingeniería Mecatrónica,Comas,2º Ciclo,6,3,8,18.4,Aulas vacías,Positivamente,Mejor espacios para concentrarse ,Hacer tareas,0,0,1,3,4,2,1
28/09/2022 18:28:01,Hombre,19,Ingeniería Civil,Pueblo Libre,2º Ciclo,15,12,6,12.30,Piso 6,Positivamente,Por qué me gusta las áreas libre y fresco ,Avanzar proyectos,4,10,2,3,4,3,3
28/09/2022 18:29:02,Hombre,23,Ingeniería Industrial,San Martin de Porres,10º Ciclo,10,3,4,14,Piso 1,Positivamente,Se puede estudiar de manera mas cómoda,Hacer tareas,1,1,2,2,3,1,4
28/09/2022 18:29:27,Hombre,17,Ciencia de la Computación,San Martin de Porres,2º Ciclo,10,5,6,18.35,Cubículos Piso 8,Positivamente,Porque nos permite estudiar tranquilamente con mis compañeros ,Estudiar,2,2,3,2,1,3,4
28/09/2022 18:29:50,Hombre,17,Ingeniería Mecatrónica,San Juan de Lurigancho,2º Ciclo,72,2,2,12.25,Piso 6,Positivamente,Porque me ayudan a concentrarme ,Estudiar,0,14,1,3,4,3,4
28/09/2022 18:38:25,Hombre,20,Ingeniería Industrial,Jesús María,4º Ciclo,3,3,3,15,Biblioteca,Positivamente,Perfecto para estudiar,Estudiar,3,1,1,4,4,1,1
28/09/2022 18:47:05,Hombre,17,Ingeniería Mecatrónica,Chorrillos,2º Ciclo,8,3,3,14,Aulas vacías,Positivamente,"En realidad no afecta, ya que cada quien hace lo que quiera en la universidad, ya sea estudiar, jugar o descansar",Hacer tareas,2,Casi nunca estoy por el piso 6,3,2,4,1,3
28/09/2022 18:47:11,Hombre,21,Ciencia de la Computación,Santiago de Surco,9º Ciclo,20,4,10,17.1,Biblioteca,Positivamente,Porque uso sus espacios de estudio para lo que están destinados,Estudiar,4,1,0,4,1,1,1
28/09/2022 18:47:30,Mujer,17,Ingeniería Civil,Barranco,2º Ciclo,20,5,2,14.5,Piso 6,Positivamente,Positivo porque insentivo al consumismo de la cafetería ,Hacer tareas,1,7,3,4,1,3,2
28/09/2022 18:47:57,Mujer,18,Ingeniería Civil,Ate Vitarte,2º Ciclo,48,3,6,11,Aulas vacías,Positivamente,Pq si,Hacer tareas,0,4,4,4,1,2,3
28/09/2022 18:56:15,Hombre,20,Ingeniería Civil,Barranco,4º Ciclo,14,0,6,13,Aulas vacías,Positivamente,"Si, porque las salas de estudio se llenan",Hacer tareas,0,5,5,2,2,3,3
28/09/2022 18:56:29,Mujer,19,Ingeniería Química,Los Olivos,4º Ciclo,17,6,2,12.3,Aulas vacías,Positivamente,Tenemos espacios en donde estudiar ,Avanzar proyectos,0,2,0,1,3,2,3
28/09/2022 18:57:33,Hombre,19,Ingeniería Civil,Cieneguilla,4º Ciclo,24,0,7,18.30,Mi cuarto ,Negativamente,Por las distracciones ,Leer,10,0,4,1,1,2,2
28/09/2022 18:59:55,Mujer,19,Ingeniería Industrial,Comas,3º Ciclo,20,3,10,14,Biblioteca,Positivamente,Si ,Hacer tareas,4,1,1,3,3,2,3
28/09/2022 19:13:25,Mujer,19,Ingeniería Civil,Barranco,3º Ciclo,34,34,24,15.20,Biblioteca,Positivamente,Ayuda a estudiar en un espacio más cómodo ,Estudiar,12,6,2,4,3,2,1
28/09/2022 19:29:15,Hombre,17,Ciencia de la Computación,San Isidro,2º Ciclo,4,2,3,15.7,Piso 6,Positivamente,. ,Hacer tareas,0,2,0,4,1,3,2
28/09/2022 20:33:38,Mujer,18,Ingeniería Industrial,San Juan de Lurigancho,3º Ciclo,11,5,7,12,Piso 6,Positivamente,"Porque te da espacios dónde puedes concéntrate al máximo, poder usar el tiempo libre que tienes en estudiar",Estudiar,2,3,0,3,2,1,1
28/09/2022 20:42:29,Mujer,19,Ingeniería Civil,Ate Vitarte,3º Ciclo,35,15,21,13,Aulas vacías,Positivamente,No hay  ruidos ,Hacer tareas,16,7,1,4,3,1,3
28/09/2022 21:43:17,Mujer,17,Ingeniería Ambiental,Santiago de Surco,2º Ciclo,8,4,4,12,Piso 6,Positivamente,Porque ayuda a que podamos centrarnos en espacios al aire libre o espacios grandes compartidos,Hacer tareas,0,12,0,2,4,2,3
29/09/2022 0:15:02,Hombre,20,Ingeniería de la Energía,Barranco,8º Ciclo,8,4,4,17,Aulas vacías,Positivamente,Concentracion,Estudiar,0,0,1,2,3,3,3
29/09/2022 12:03:44,Mujer,17,Ingeniería Industrial,Chorrillos,2º Ciclo,30,3,2,15.09,Piso 1,Positivamente,,Hacer tareas,13,5,8,3,2,4,1
29/09/2022 15:20:17,Hombre,22,Bioingeniería,San Juan de Lurigancho,3º Ciclo,20,7,6,13.24,Piso 6,Positivamente,,Hacer tareas,0,7,2,1,4,2,2
29/09/2022 15:22:06,Mujer,19,Ingeniería Química,Barranco,3º Ciclo,8,6,5,13,Piso 6,Positivamente,,Avanzar proyectos,0,5,4,4,2,3,1
29/09/2022 15:23:17,Hombre,20,Ingeniería Química,Lurigancho,3º Ciclo,48,4,8,16.05,Biblioteca,Positivamente,,Estudiar,6,10,2,4,3,2,4
29/09/2022 17:26:10,Hombre,19,Ingeniería Mecánica,Chorrillos,5º Ciclo,45,10,6,16,Aulas vacías,Positivamente,,Estudiar,2,1,0,2,3,4,1
29/09/2022 17:27:42,Hombre,18,Ingeniería Electrónica,Pucusana,2º Ciclo,65,5,4,9.64,Piso 6,Negativamente,,Hacer tareas,0,10,0,2,4,2,2
29/09/2022 17:32:40,Hombre,21,Ingeniería Industrial,San Borja,7º Ciclo,30,8,6,15,Aulas vacías,Positivamente,,Hacer tareas,0,8,0,1,2,1,4
29/09/2022 17:35:26,Hombre,22,Ingeniería Química,San Martin de Porres,8º Ciclo,13,13,5,13.8,Cubiculo,Positivamente,,Estudiar,0,0,0,1,1,1,4
29/09/2022 17:36:06,Hombre,21,Ciencia de la Computación,Callao,6º Ciclo,8,2,10,17,Aulas vacías,Positivamente,,Hacer tareas,0,4,0,4,2,3,1
29/09/2022 17:39:52,Hombre,21,Ingeniería de la Energía,San Juan de Lurigancho,9º Ciclo,12,6,6,16,Aulas vacías,Positivamente,,Avanzar proyectos,1,0,0,2,3,3,4
29/09/2022 17:43:10,Hombre,19,Ingeniería Mecatrónica,La Molina,4º Ciclo,5,6,5,15,Aulas vacías,Positivamente,,Hacer tareas,2,2,2,3,4,2,4
