año_de_ingreso,carrera,edad,c_retirados,c_jalados,c_pateados,riesgo_acd,num_cursos,num_creditos_matriculados,num_cursos_deacuerdo_malla,num_cursos_ciclo,max_cursos,min_cursos,verano,sabes_creditos_graduarte,beca,tras_int,tras_ext,tiempo,notas
2017,Mecatrónica,20,2,2,2,NO,4,14,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Adelantar cursos,SÍ,NO,NO,NO,3,13.85
2019,Química,18,0,2,4,NO,6,22,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Adelantar cursos,NO,SÍ,NO,NO,7,14.9
2018,Industrial,20,1,2,6,NO,5,19,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Nunca me he matriculado en un ciclo verano,SÍ,NO,NO,NO,4,13.88
2020,CS,19,0,2,0,NO,6,19,8,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,7,Nunca me he matriculado en un ciclo verano,NO,NO,NO,NO,4,14.56
2020,Industrial,21,4,1,2,SÍ,5,17,6,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,5,"Nivelar cursos ""pateados""",NO,SÍ,NO,NO,6,15.6
2019,Energía,21,0,0,0,NO,5,15,8,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Nunca me he matriculado en un ciclo verano,NO,SÍ,NO,NO,5,15.9
2020,Industrial,18,0,5,4,SÍ,3,14,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Recuperar cursos desaprobados,NO,NO,NO,NO,2,12.01
2015,Química,25,1,2,5,SÍ,7,25,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,3,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,6,13.8
2019,Mecatrónica,21,2,2,3,NO,7,21,6,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,6,Adelantar cursos,SÍ,NO,NO,NO,5,13.7
2019,Electrónica,19,0,3,1,SÍ,6,16,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Recuperar cursos desaprobados,SÍ,NO,NO,NO,4,12.6
2018,Industrial,20,0,3,1,SÍ,7,25,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Adelantar cursos,SÍ,NO,NO,NO,5,11.25
2019,Industrial,22,2,3,4,NO,4,15,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,4,"Nivelar cursos ""pateados""",NO,NO,NO,NO,4,13.83
2020,Civil,18,0,0,2,NO,6,18,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,6,"Nivelar cursos ""pateados""",NO,NO,NO,NO,4,14.8
2018,Industrial,20,1,3,4,NO,6,20,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Nunca me he matriculado en un ciclo verano,SÍ,NO,NO,NO,3,13.35
2018,Bioingeniería,20,0,0,5,NO,6,20,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,6,Nunca me he matriculado en un ciclo verano,SÍ,SÍ,NO,NO,6,14.7
2018,CS,22,1,4,7,NO,5,18,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,5,Adelantar cursos,NO,NO,NO,NO,4,12.74
2018,Química,21,0,0,4,NO,5,16,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,5,Nunca me he matriculado en un ciclo verano,SÍ,NO,NO,NO,3,14.21
2018,Energía,21,1,0,5,NO,6,20,7,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,6,"Nivelar cursos ""pateados""",SÍ,SÍ,NO,NO,5,15.77
2018,Industrial,21,1,4,5,SÍ,6,20,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,"Nivelar cursos ""pateados""",SÍ,SÍ,NO,NO,7,13.48
2018,Ambiental,23,0,0,3,NO,4,14,5,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Adelantar cursos,SÍ,NO,NO,SÍ,3,14.72
2019,CS,19,1,3,1,NO,4,13,6,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",6,3,"Nivelar cursos ""pateados""",NO,NO,SÍ,NO,2,12.02
2018,Industrial,25,4,5,8,SÍ,3,10,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,3,Recuperar cursos desaprobados,SÍ,NO,SÍ,SÍ,2,10.13
2019,Ambiental,19,2,2,1,NO,6,20,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,7,"Nivelar cursos ""pateados""",NO,NO,NO,NO,3,11.45
2020,Ambiental,18,0,1,2,NO,5,16,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,5,"Nivelar cursos ""pateados""",NO,NO,NO,NO,4,13.45
2020,Industrial,17,1,2,0,NO,4,12,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",8,4,Nunca me he matriculado en un ciclo verano,SÍ,NO,SÍ,NO,3,12.48
2017,Bioingeniería,24,1,5,6,SÍ,6,23,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,2,Nunca me he matriculado en un ciclo verano,SÍ,NO,SÍ,SÍ,4,9.84
2018,CS,20,2,3,5,SÍ,4,13,7,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",8,3,Adelantar cursos,NO,NO,NO,NO,5,12.03
2019,Civil,18,1,0,5,NO,6,18,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,3,"Nivelar cursos ""pateados""",NO,NO,NO,NO,4,14.91
2016,Mecánica,23,3,5,4,NO,4,14,8,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,4,Recuperar cursos desaprobados,SÍ,SÍ,NO,NO,6,12.54
2017,Bioingeniería,22,4,4,4,SÍ,4,12,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Nunca me he matriculado en un ciclo verano,SÍ,NO,NO,NO,3,11.39
2016,Energía,21,0,3,4,NO,3,12,1,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",9,3,"Nivelar cursos ""pateados""",NO,SÍ,NO,NO,5,15.91
2018,Energía,20,1,0,2,NO,5,20,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Adelantar cursos,SÍ,NO,SÍ,NO,4,16.08
2019,CS,18,1,0,3,NO,6,18,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,"Nivelar cursos ""pateados""",NO,SÍ,NO,NO,5,15.91
2020,Bioingeniería,18,2,0,0,NO,6,17,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,5,Adelantar cursos,SÍ,SÍ,NO,NO,5,14.45
2017,Mecatrónica,21,0,3,10,NO,5,20,1,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Recuperar cursos desaprobados,SÍ,SÍ,NO,NO,7,12.32
2017,Mecatrónica,21,0,2,3,SÍ,7,20,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",8,5,"Nivelar cursos ""pateados""",NO,SÍ,NO,NO,8,13.77
2018,Electrónica,19,1,1,2,NO,4,26,7,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",8,4,Adelantar cursos,NO,NO,NO,NO,4,14.06
2019,Bioingeniería,18,0,0,2,SÍ,6,21,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Adelantar cursos,SÍ,SÍ,NO,NO,7,14.53
2020,Electrónica,18,1,2,3,NO,5,18,8,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,"Nivelar cursos ""pateados""",NO,NO,NO,NO,5,13.89
2018,Ambiental,19,2,4,5,NO,5,17,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,5,Adelantar cursos,SÍ,NO,SÍ,NO,4,12.43
2016,Mecatrónica,22,1,2,2,NO,4,14,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,4,"Nivelar cursos ""pateados""",SÍ,SÍ,SÍ,NO,7,12.71
2018,Química,21,1,2,2,NO,6,23,7,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,6,Adelantar cursos,SÍ,SÍ,NO,NO,7,12.65
2018,Bioingeniería,20,3,4,4,SÍ,6,23,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,4,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,4,10.48
2019,Civil,20,0,4,8,NO,6,20,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",6,4,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,5,10.01
2020,Bioingeniería,18,0,0,2,NO,6,19,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,6,Adelantar cursos,NO,NO,NO,NO,5,14.97
2019,Industrial,20,1,2,2,NO,5,20,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,3,Recuperar cursos desaprobados,NO,NO,SÍ,NO,4,13.75
2019,Industrial,23,1,0,2,NO,5,19,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Adelantar cursos,SÍ,NO,NO,NO,3,14.64
2019,Industrial,19,1,0,2,NO,5,19,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",8,3,Nunca me he matriculado en un ciclo verano,SÍ,NO,NO,NO,3,15.08
2018,Industrial,19,2,1,3,NO,6,21,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",8,4,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,3,14.74
2018,Mecánica,18,0,1,1,NO,5,16,5,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Adelantar cursos,NO,NO,NO,NO,2,14.43
2019,CS,18,0,2,2,NO,4,16,6,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",6,4,Recuperar cursos desaprobados,NO,NO,NO,NO,2,13.28
2019,Industrial,18,2,0,5,SÍ,7,24,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,5,Adelantar cursos,SÍ,SÍ,NO,NO,7,14.94
2017,Química,22,0,0,2,NO,5,21,5,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",6,5,Adelantar cursos,SÍ,SÍ,NO,NO,8,15.23
2017,Química,21,2,2,4,SÍ,6,20,8,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Nunca me he matriculado en un ciclo verano,SÍ,NO,NO,NO,4,14.32
2017,Química,20,3,2,3,NO,6,22,7,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,4,"Nivelar cursos ""pateados""",SÍ,NO,SÍ,NO,5,13.94
2018,CS,20,1,1,4,NO,5,18,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,4,Recuperar cursos desaprobados,SÍ,SÍ,NO,NO,6,14.43
2017,Química,22,3,3,3,SÍ,4,16,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,3,"Nivelar cursos ""pateados""",NO,NO,SÍ,NO,4,12.68
2019,Bioingeniería,19,0,0,3,NO,6,23,6,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,4,"Nivelar cursos ""pateados""",NO,NO,NO,SÍ,5,14.98
2017,Electrónica,22,2,3,2,NO,5,21,6,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,3,Adelantar cursos,NO,NO,NO,NO,3,10.93
2018,Industrial,19,4,2,5,SÍ,5,18,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,4,Nunca me he matriculado en un ciclo verano,NO,NO,NO,NO,4,11.43
2019,Ambiental,19,1,0,1,NO,4,17,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,3,Adelantar cursos,NO,SÍ,NO,NO,6,15.91
2017,Ambiental,23,2,1,6,NO,6,21,5,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,5,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,6,14.34
2017,Industrial,24,2,2,6,NO,5,20,4,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,4,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,3,13.26
2015,Química,24,4,4,3,SÍ,3,12,4,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,3,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,4,11.53
2018,Energía,21,0,0,4,NO,6,22,6,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,4,"Nivelar cursos ""pateados""",SÍ,SÍ,NO,NO,7,14.89
2018,Industrial,21,0,0,6,NO,5,21,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Nunca me he matriculado en un ciclo verano,NO,NO,NO,NO,4,15.02
2017,Mecánica,22,1,1,2,NO,4,18,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,4,Recuperar cursos desaprobados,NO,NO,NO,NO,3,14.42
2019,Industrial,17,0,0,2,NO,7,20,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,6,Nunca me he matriculado en un ciclo verano,SÍ,SÍ,NO,NO,8,14.32
2018,Energía,20,0,1,1,NO,4,16,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Adelantar cursos,NO,NO,NO,NO,2,13.59
2017,Mecánica,23,3,3,4,NO,3,13,4,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,3,"Nivelar cursos ""pateados""",SÍ,NO,SÍ,NO,2,12.01
2019,CS,20,1,2,1,NO,6,21,6,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",6,5,"Nivelar cursos ""pateados""",NO,NO,NO,NO,4,12.54
2019,Industrial,20,1,1,2,NO,4,16,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,3,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,5,13.23
2019,Industrial,19,0,0,2,NO,5,20,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Nunca me he matriculado en un ciclo verano,SÍ,NO,NO,NO,3,14.61
2019,Civil,19,0,1,1,NO,4,15,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",5,3,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,4,13.34
2020,CS,18,0,0,1,NO,5,20,7,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,3,Adelantar cursos,NO,SÍ,NO,NO,6,14.63
2020,Química,19,0,1,2,NO,4,20,5,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",6,4,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,3,14.6
2019,Industrial,19,1,0,2,NO,5,21,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Adelantar cursos,NO,NO,NO,NO,4,14.86
2018,Industrial,22,2,4,3,SÍ,4,14,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,3,"Nivelar cursos ""pateados""",NO,NO,NO,NO,3,12.11
2019,Bioingeniería,21,0,2,2,NO,5,19,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,"Nivelar cursos ""pateados""",NO,NO,SÍ,NO,3,12.71
2019,Industrial,19,0,0,0,NO,5,22,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Adelantar cursos,SÍ,NO,NO,NO,2,14.88
2020,CS,18,0,0,0,NO,6,22,7,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",6,6,Adelantar cursos,NO,SÍ,NO,NO,7,14.64
2019,Mecatrónica,20,1,0,2,NO,5,20,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,4,Adelantar cursos,NO,NO,NO,NO,3,14.95
2020,Ambiental,19,0,0,0,NO,6,22,6,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,6,Adelantar cursos,NO,SÍ,NO,NO,7,15.43
2017,Civil,23,1,3,2,SÍ,3,12,5,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",5,3,Recuperar cursos desaprobados,SÍ,NO,SÍ,NO,2,12.95
2019,Industrial,19,1,2,3,SÍ,4,14,5,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Recuperar cursos desaprobados,NO,NO,NO,NO,4,12.52
2019,Civil,19,1,1,1,NO,5,19,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,"Nivelar cursos ""pateados""",NO,NO,NO,NO,3,13.24
2019,Electrónica,18,2,1,2,NO,4,16,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,3,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,5,13.65
2018,Mecánica,24,1,3,2,NO,4,11,2,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Recuperar cursos desaprobados,SÍ,NO,NO,SÍ,4,12.05
2019,Mecatrónica,18,0,0,0,NO,7,23,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,7,Adelantar cursos,SÍ,NO,NO,NO,6,14.54
2018,Industrial,20,1,0,2,NO,5,18,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,4,Adelantar cursos,SÍ,NO,NO,NO,5,15.34
2020,Civil,18,0,0,0,NO,6,22,6,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",7,6,Nunca me he matriculado en un ciclo verano,NO,SÍ,NO,NO,7,14.21
2017,Química,24,1,2,2,SÍ,5,20,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,3,Adelantar cursos,SÍ,NO,SÍ,NO,4,13.23
2018,Industrial,20,0,0,5,NO,7,24,6,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,4,Nunca me he matriculado en un ciclo verano,SÍ,SÍ,NO,NO,6,14.94
2018,Industrial,21,2,2,2,NO,4,16,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",5,5,"Nivelar cursos ""pateados""",NO,NO,NO,NO,2,13.71
2019,Ambiental,22,3,3,3,NO,3,13,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,3,Recuperar cursos desaprobados,NO,NO,SÍ,NO,2,13.04
2016,Industrial,23,0,2,2,SÍ,4,16,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",5,3,Nunca me he matriculado en un ciclo verano,NO,NO,NO,NO,5,12.54
2018,Industrial,21,0,0,4,NO,6,21,7,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",7,5,Nunca me he matriculado en un ciclo verano,SÍ,NO,NO,NO,3,15.43
2015,Química,25,2,3,3,SÍ,7,24,7,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,3,"Nivelar cursos ""pateados""",SÍ,NO,NO,NO,7,13.67
2017,Química,25,0,0,0,NO,3,13,3,"Adelantar todos los que se puedan, terminar la carrera lo antes posible",7,6,Adelantar cursos,SÍ,SÍ,NO,SÍ,5,15.34
2019,Mecánica,17,0,0,2,NO,6,19,6,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",6,5,Nunca me he matriculado en un ciclo verano,NO,SÍ,NO,NO,7,15.39
2018,Química,24,2,3,0,NO,6,22,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",8,6,Adelantar cursos,SÍ,NO,NO,NO,7,12.03
2019,Electrónica,18,0,0,0,NO,5,5,5,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",5,4,Nunca me he matriculado en un ciclo verano,NO,SÍ,NO,NO,7,14.98
2016,Industrial,23,3,2,2,SÍ,3,12,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",5,3,"Nivelar cursos ""pateados""",NO,NO,SÍ,NO,1,13.83
2016,Energía,21,0,2,2,NO,4,18,6,"Llevar solo los cursos que se puedan afrontar, no tiene que ser necesariamente todos los que sugiere la malla",6,4,Nunca me he matriculado en un ciclo verano,NO,NO,NO,NO,2,12.79
2020,Industrial,19,1,2,2,NO,5,19,7,"Llevar sí o sí todos los cursos que sugiere la malla curricular, terminar la carrera en los 5 años esperados",6,5,Recuperar cursos desaprobados,NO,NO,NO,NO,3,12.38
