"Latitud","Longitud","Profundidad","Magnitud","Año","Mes","Día","Hora","Minuto","Segundo"
-14.108,-75.6317,67,4.5,2005,"05","13","06","52","59"
-9.1833,-74.887,29,4.5,2021,"02","21","18","09","34"
-16.1174,-73.7083,28,4.5,2015,"01","10","02","13","37"
-6.0924,-76.7157,126,4.6,2016,"01","14","04","39","01"
-2.8707,-80.2306,51,4.6,2005,"12","24","14","19","55"
-15.59,-76.08,27,5.3,1993,"09","27","16","27","05"
-14.54,-76.92,37,4.5,1989,"11","29","04","32","05"
-13.4691,-74.9741,97,4.5,2014,"03","22","02","47","23"
-9.592,-79.015,70,5.2,1970,"09","08","08","44","37"
-2.4692,-77.4394,138,4.6,2015,"06","20","17","46","45"
-8.4029,-80.06,16,4.5,2000,"08","29","20","23","55"
-14.4774,-73.788,57,5.2,2006,"06","17","09","54","02"
-2.4549,-77.095,154,4.7,2020,"04","17","03","13","31"
-14.5564,-73.6375,46,4.5,2014,"01","27","07","26","01"
-16.2418,-73.9536,19,4.5,1999,"08","24","23","53","25"
-15.9319,-72.6098,141,4.7,2013,"08","11","20","31","33"
-12.0615,-76.5216,84,4.5,2014,"12","02","23","41","49"
-13.9193,-72.6914,86,4.3,2021,"04","01","10","50","14"
-6.0944,-81.6523,14,4.4,2021,"05","03","11","46","44"
-15.7704,-72.1096,14,3.6,2021,"03","26","20","17","47"
-12.69,-76.63,32,5,1994,"06","04","18","21","21"
-7.0432,-76.2775,138,4.8,2012,"08","31","00","38","27"
-15.014,-73.2971,120,4.8,1999,"08","04","08","46","41"
-15.6935,-72.0391,12,3.6,2021,"08","22","06","57","55"
-3.931,-80.814,38,5.4,1970,"12","21","07","33","18"
-12.8162,-77.3388,23,4.6,2011,"07","30","14","02","19"
-15.7546,-74.601,64,5,2016,"12","15","00","03","31"
-16.1673,-69.7543,256,4.9,2017,"07","17","02","43","06"
-5.5505,-81.7494,37,5.3,2013,"06","10","14","21","12"
-12.445,-77.2447,50,4.7,2008,"10","07","00","51","22"
-3.7556,-80.8987,33,4.5,2013,"12","03","07","04","04"
-12.36,-76.64,79,4.7,1993,"10","01","08","02","23"
-4.2061,-80.0156,85,4.5,1999,"09","04","08","13","23"
-18.0694,-69.5078,173,4.8,2017,"12","19","14","05","11"
-8.6551,-80.2196,49,4.5,2011,"12","04","03","44","43"
-5.5591,-77.648,57,4.5,2011,"06","07","02","35","58"
-17.1835,-71.6421,61,5,1997,"06","01","17","15","03"
-16.3805,-73.6963,54,4.6,2012,"01","19","13","04","00"
-7.71,-80.23,30,4.5,1995,"08","16","18","39","43"
-3.2139,-80.0442,36,5.3,2005,"05","15","07","16","44"
-11.051,-77.9286,52,4.5,2006,"05","24","17","28","44"
-5.8243,-75.4532,76,4.5,2013,"03","28","10","58","11"
-4.338,-81.102,52,5.3,1974,"10","08","15","39","39"
-15.6395,-75.134,15,4.6,2013,"02","02","09","53","24"
-17.9397,-69.599,117,4.7,2001,"02","16","23","56","10"
-12.8739,-75.0158,12,3.6,2020,"07","04","07","40","08"
-13.106,-74.44,41,5.1,1981,"07","04","22","39","59"
-16.0435,-72.5473,34,4.5,2016,"11","13","19","07","16"
-17.0572,-72.3286,64,4.1,2021,"01","19","01","41","30"
-13.3,-75.01,45,4.7,1986,"11","30","13","49","25"
-15.2,-76,42,4.8,1968,"08","03","04","23","00"
-15.3842,-70.8711,9,4.8,2016,"12","02","11","49","58"
-14.9187,-72.0864,19,4.7,2010,"11","25","05","53","07"
-9.8557,-79.8922,12,4.5,1996,"02","25","08","45","50"
-15.4337,-70.3842,221,4.3,2017,"11","21","22","44","42"
-12.4,-77.16,35,4.8,1994,"08","17","01","22","00"
-16.85,-70.622,15,4.5,2006,"02","08","19","39","47"
-13.3418,-75.9615,42,4.8,2014,"05","09","09","05","52"
-15.242,-73.97,96,5.8,1968,"08","11","02","41","54"
-14.4933,-76.1638,22,4.5,2008,"03","07","21","09","24"
-15.2418,-73.8592,63,4.6,2012,"04","17","03","44","59"
-14.043,-75.351,79,4.7,1967,"08","16","02","37","14"
-13.36,-77.86,30,4.5,1991,"02","16","11","50","40"
-13.35,-76.72,25,4.8,1990,"12","24","00","21","58"
-8.8839,-80.4927,25,4.9,2020,"10","02","09","18","17"
-8.2952,-75.7319,11,4.9,1996,"02","03","13","14","30"
-8.8471,-79.8441,9,4.4,2019,"06","09","14","02","42"
-14.7391,-76.5017,15,5.5,2011,"10","28","19","10","29"
-9.03,-74.72,157,4.5,1985,"09","27","19","14","19"
-10.96,-73.6271,11,4.9,1998,"10","12","04","18","41"
-17.4651,-73.5248,13,4.5,2016,"12","14","06","21","47"
-15.8233,-74.6164,30,3.8,2020,"10","08","16","24","35"
-8.35,-80.079,28,5.6,1981,"12","27","21","23","15"
-11.17,-77.72,36,4.7,1994,"04","14","12","01","10"
-15.6584,-71.9038,8,4.2,2021,"10","08","09","27","57"
-5.69,-78.62,128,6.5,1986,"11","23","01","38","47"
-4.2848,-80.7167,29,4.5,2011,"08","26","08","27","25"
-9.743,-78.978,58,4.8,1973,"04","11","09","18","37"
-15.2476,-74.0669,56,4.9,2001,"06","29","06","45","47"
-2.4348,-77.0596,148,4.3,2020,"08","31","05","30","00"
-3.9209,-81.2274,33,4.9,2016,"01","16","10","59","09"
-17.813,-72.192,33,4.5,1990,"10","22","01","25","47"
-5.7652,-77.4145,14,4.6,2016,"01","23","12","54","27"
-5.29,-77.4413,18,4.5,1999,"09","23","05","28","14"
-15.3018,-72.1317,146,4.8,2007,"01","27","05","27","41"
-8.5057,-74.9312,139,4.8,2015,"05","25","02","50","15"
-8.5652,-76.5815,56,4.5,1997,"06","15","03","15","13"
-14.3622,-75.3021,65,4.7,2012,"07","09","19","21","58"
-12.7146,-76.8595,40,3.9,2021,"09","26","17","23","00"
-9.8795,-80.1123,26,4.9,2003,"11","26","12","22","21"
-9.9992,-75.5491,118,5,2013,"04","06","09","34","10"
-10.99,-78.35,47,5.3,1967,"08","22","07","42","46"
-10.1431,-77.9946,94,4.6,2015,"01","31","18","43","33"
-4.017,-77.329,117,4.3,1995,"12","28","13","44","03"
-15.4547,-75.2843,28,5.3,1996,"11","15","13","09","56"
-8.0554,-76.4028,182,4.8,2012,"01","28","03","58","40"
-8.41,-75.22,60,4.5,1986,"06","29","22","18","34"
-9.1961,-81.3141,44,4.6,2015,"11","23","02","36","59"
-3.956,-80.722,40,5.6,1981,"06","05","23","34","56"
-14.55,-73.83,48,4.9,1990,"11","29","19","00","33"
-14.6914,-76.1571,42,4.6,2005,"03","21","21","00","07"
-14.75,-74.7,50,4.5,1989,"03","16","14","02","17"
-18.1,-70.93,93,4.9,1991,"03","15","02","51","30"
-16.5931,-72.5817,101,4.5,2013,"07","11","11","18","02"
-2.369,-81.632,25,4.5,2011,"05","28","19","37","02"
-9.2437,-75.6387,13,4.1,2020,"05","28","10","47","04"
-5.136,-78.303,33,4.6,1990,"12","26","05","58","31"
-16.2378,-74.5773,30,4.5,1998,"10","10","20","15","40"
-14.227,-70.693,82,4.3,2007,"03","07","04","31","09"
-11.3606,-77.7828,55,4.5,2011,"07","19","22","50","35"
-15.9814,-74.3288,46,4.6,2012,"12","30","11","37","21"
-8.0205,-76.1576,138,4.5,2019,"05","12","15","19","26"
-13.61,-75.81,38,4.6,1989,"09","07","03","33","55"
-8.73,-75.62,87,5.7,1988,"03","14","12","30","10"
-12.0692,-77.3959,43,4.5,1999,"06","08","14","37","18"
-15.8968,-74.2001,61,3.9,2021,"01","03","12","06","59"
-8.15,-73.27,188,4.9,1993,"05","26","07","47","57"
-10.8411,-78.0667,45,4.8,2012,"12","28","08","34","01"
-12.4596,-77.8592,71,4.7,2013,"07","05","23","00","54"
-9.85,-79.91,32,5.3,1987,"09","20","05","57","07"
-5.8217,-75.1501,34,4.6,2012,"12","21","06","01","26"
-6.9924,-79.4558,44,4.9,2006,"05","27","06","53","07"
-10.126,-80.317,33,4.9,1970,"04","09","22","21","26"
-15.442,-74.0191,114,4.9,2015,"01","23","22","24","57"
-3.1836,-78.6544,253,4.5,2013,"12","07","05","51","47"
-15.6519,-75.1961,23,4.8,1998,"11","08","07","36","55"
-12.1577,-76.2506,110,5.1,2017,"11","24","16","15","52"
-3.903,-80.989,40,4.9,1967,"06","18","13","10","55"
-6.06,-77.3,134,4.9,1968,"06","29","18","43","34"
-8.833,-74.3624,59,4.6,2006,"11","03","10","38","19"
-17.4618,-72.6129,50,4.5,2010,"11","29","07","55","49"
-16.1402,-74.4222,41,6,2020,"12","27","07","11","09"
-12.1404,-72.4391,23,5.3,2003,"05","03","00","45","33"
-5.624,-77.54,61,5,1982,"04","18","14","15","57"
-18.4155,-69.5898,156,4.7,2018,"12","24","15","08","41"
-16.2713,-72.5591,106,4.6,2015,"01","26","18","00","58"
-9.99,-76.32,49,4.6,1992,"03","17","00","57","11"
-14.7808,-76.1903,17,4.2,2021,"08","11","23","35","07"
-17.1891,-70.2275,21,4.9,2001,"08","20","11","31","22"
-6.8246,-80.6012,34,4.5,2005,"02","17","13","39","12"
-15.9619,-74.7824,43,4.7,2010,"08","21","00","47","19"
-3.87,-81.16,15,4.5,1992,"06","08","04","41","16"
-12.1714,-76.9394,63,4,2020,"10","25","04","52","47"
-17.5667,-72.8309,15,5.1,1999,"04","22","00","46","34"
-8.1391,-80.3108,55,4.6,2012,"09","13","11","16","14"
-14.2774,-74.4276,95,4.5,1997,"06","26","06","12","42"
-13.18,-77.41,20,4.6,1986,"03","17","06","43","33"
-15.221,-72.451,33,4.7,2002,"04","17","21","52","44"
-10.96,-74.83,15,5.3,1991,"02","24","21","15","42"
-12.1283,-76.1417,118,4.5,2003,"04","23","01","59","07"
-7.4492,-74.3447,187,4.8,2011,"11","14","06","53","57"
-14.6765,-76.2524,42,4.6,2012,"01","13","17","34","35"
-7.86,-76.38,6,4.6,1995,"02","21","09","18","27"
-16.8479,-70.5092,18,4.5,2014,"11","02","05","18","17"
-10.55,-74.62,26,4.5,1987,"12","30","09","19","50"
-7.777,-75.1839,141,5.3,2008,"11","12","00","22","08"
-15.4058,-70.8689,26,4.8,2016,"12","03","05","52","13"
-5.4666,-78.8651,20,4.5,1999,"03","09","18","11","00"
-4.0324,-81.5461,25,5.2,2009,"07","24","09","19","12"
-8.2424,-71.5809,561,5.2,2014,"04","07","15","27","33"
-9.8471,-71.2808,631,4.3,2015,"11","25","16","19","25"
-5.3556,-78.5419,32,4.5,2015,"03","10","00","46","41"
-6.5238,-80.6658,191,5.1,2018,"10","02","10","40","11"
-4.1588,-81.2711,12,5.1,2002,"11","09","21","51","26"
-8.3674,-75.7099,126,5.5,2015,"07","25","07","34","09"
-17.932,-69.418,134,4.6,1995,"02","15","05","21","16"
-17.339,-69.434,174,5.3,1973,"10","09","07","41","46"
-7.2273,-80.7055,20,5.4,2015,"07","06","11","17","44"
-5.8542,-75.6918,73,4.5,2010,"12","13","15","39","15"
-11.8245,-77.566,54,5.2,2017,"07","09","01","07","24"
-15.441,-72.1338,152,4.9,2018,"10","24","07","37","44"
-16.79,-73.11,63,4.9,1984,"12","02","15","48","03"
-17.5593,-70.5806,33,4.8,2005,"07","22","09","13","32"
-17.3757,-69.78,130,6.1,2011,"06","08","03","06","22"
-14.7706,-74.6851,42,4.9,2000,"09","02","17","17","48"
-8.6164,-79.7634,12,4.7,2006,"10","03","23","40","23"
-15.42,-71.41,150,5.5,1973,"03","06","14","50","23"
-16.1157,-74.7532,25,4.5,2013,"02","16","12","58","26"
-13.5485,-76.8598,40,8,2007,"08","15","23","40","53"
-3.5099,-80.8664,30,4.7,2016,"09","15","11","41","10"
-14.697,-76.2926,50,4.5,2006,"01","10","06","52","48"
-10.74,-74.97,151,4.6,1986,"03","18","00","52","57"
-17.6763,-70.203,142,4.6,2012,"11","17","07","00","56"
-4.0914,-80.4409,59,4.5,2011,"10","15","08","19","09"
-15.0495,-76.3558,28,4.4,2020,"09","02","23","10","45"
-16.6992,-73.5516,57,4.5,2001,"08","26","17","12","57"
-16.0041,-74.6928,27,4.7,1998,"04","19","09","27","11"
-12.4229,-77.2423,42,4.8,2012,"12","10","11","25","23"
-12.28,-75.06,40,4.9,1994,"06","30","09","41","54"
-2.4576,-77.0529,134,4.5,2019,"12","11","00","50","37"
-15.49,-76.1,17,4.7,1994,"07","07","17","27","40"
-16.6822,-72.4298,46,4.5,2004,"10","07","15","16","20"
-14.05,-74.69,94,4.9,1995,"10","07","11","29","42"
-5.8583,-77.2624,22,4.5,1998,"11","13","05","21","42"
-10.1193,-75.0792,11,4.5,2017,"04","01","11","11","08"
-15.1171,-75.7859,10,4.8,1998,"02","25","05","23","31"
-16.137,-74.3628,43,4.5,2014,"09","09","11","55","01"
-9.3537,-79.6067,35,4.9,2008,"07","06","23","16","00"
-12.8,-73.9,86,4.9,1963,"11","06","01","01","07"
-8.91,-77.25,121,5,1985,"10","14","04","59","44"
-4.858,-80.8424,26,4.5,2018,"01","24","01","31","21"
-14.32,-72.01,108,5.5,1989,"11","11","15","04","48"
-7.2809,-81.4222,20,4.5,2010,"01","07","19","13","54"
-7.9864,-76.3344,142,4.1,2020,"08","30","08","57","12"
-10.6852,-77.9791,56,4.7,2013,"11","20","04","47","43"
-7.7972,-75.7071,32,4.5,2015,"08","09","03","51","18"
-15.5,-74.7,79,4.8,1965,"12","08","02","55","38"
-5.119,-80.8154,51,4.4,2021,"07","17","06","44","35"
-2.76,-81.036,23,4.6,2010,"12","29","20","35","23"
-14.9676,-73.732,75,4.6,2002,"01","10","02","38","54"
-10.5793,-79.6506,16,4.9,1998,"06","11","20","14","31"
-11.2648,-73.3729,13,4,2020,"08","05","20","49","42"
-15.2432,-75.788,30,4.6,1997,"01","21","17","31","26"
-3.0253,-80.4891,15,4.8,2012,"12","22","13","40","24"
-7.0217,-79.574,75,4.5,1996,"06","01","20","19","35"
-5.57,-76.57,132,4.5,1991,"04","09","01","03","15"
-14.2398,-73.4613,99,4,2020,"04","28","02","02","24"
-10.7755,-74.9066,24,4.8,2013,"08","20","21","29","04"
-16.1156,-73.7143,40,4,2019,"06","17","09","03","39"
-16.4759,-71.7373,65,4.5,2012,"01","07","20","05","26"
-9.9708,-75.6715,40,4.8,2002,"04","01","20","03","36"
-10.9678,-74.1223,100,4.5,2013,"09","18","04","41","41"
-17.4272,-70.9586,23,5.2,2018,"02","04","21","47","26"
-9.6846,-74.8282,128,4.9,2010,"07","13","07","28","27"
-15.68,-75.052,50,5.1,1975,"08","03","17","44","53"
-16.8238,-70.5551,11,4.8,2015,"09","26","20","19","39"
-8.2207,-73.6276,76,4.9,2002,"10","17","10","07","03"
-17.217,-69.793,42,4.4,2007,"08","14","17","15","39"
-11.0225,-78.4476,57,4.8,2011,"05","16","22","44","20"
-18.27,-69.44,146,6.1,1983,"02","25","22","49","55"
-11.8025,-77.7538,44,4.1,2019,"06","11","05","37","48"
-15.0252,-75.7394,38,4.7,2006,"03","19","09","40","58"
-6.277,-74.339,33,5.3,1979,"11","18","13","50","45"
-9.3584,-79.1808,35,3.9,2020,"04","30","05","41","30"
-12.96,-77.22,25,4.9,1986,"12","17","23","42","42"
-10.2409,-74.9529,125,4.1,2019,"03","26","07","13","40"
-15.7007,-71.4718,153,4.7,2021,"07","11","14","46","30"
-9.33,-74.29,154,4.7,1984,"05","16","16","18","08"
-8.3789,-74.4837,174,4.8,2016,"11","01","13","06","28"
-10.0391,-75.7015,18,4.6,1998,"01","04","02","33","47"
-16.5979,-72.7528,54,4.7,1996,"02","24","04","06","08"
-16.991,-73.458,33,4,2001,"06","24","05","28","34"
-9.2154,-75.9999,15,4.5,2013,"04","21","03","03","37"
-9.852,-78.653,66,4.8,1971,"01","03","23","31","13"
-9.8254,-74.0163,70,4.5,2008,"07","09","23","42","10"
-10.1722,-74.507,153,4.5,2012,"04","11","01","12","49"
-14.1457,-73.5328,101,4.9,2014,"11","01","04","59","02"
-3.8425,-79.6991,173,4.5,2013,"12","01","16","33","42"
-15.8458,-71.7313,17,3.6,2020,"05","27","15","59","43"
-14.4582,-76.3079,45,5,2002,"04","17","11","35","39"
-4.9458,-80.8028,40,3.8,2021,"10","06","11","16","54"
-5.268,-80.1775,64,4,2020,"05","12","09","05","35"
-11.0746,-74.5592,136,5,2002,"06","28","21","27","13"
-8.12,-74.42,161,5.2,1971,"10","28","23","41","58"
-13.193,-75.2843,104,4.7,2002,"12","20","00","28","02"
-16.0085,-75.6764,18,4.8,2001,"04","07","07","30","10"
-5.595,-81.183,10,4.8,1974,"05","29","10","27","56"
-15.3681,-71.2411,168,4.6,2004,"03","26","14","40","58"
-3.5968,-81.6272,5,4.5,2014,"02","24","13","15","39"
-11.6531,-74.6247,56,4.9,2007,"08","19","08","02","39"
-17.504,-71.88,33,5,2001,"06","24","03","13","20"
-11.35,-72.77,126,4.6,1992,"03","18","16","59","41"
-12.99,-76.08,61,4.6,1993,"11","26","21","01","01"
-16.94,-72.4718,20,4.5,2002,"05","15","23","17","55"
-15.4769,-74.6516,69,4.5,2014,"12","19","09","18","37"
-13.68,-76.25,28,4.5,1989,"03","13","04","14","11"
-16.2343,-71.5543,107,4.9,1998,"05","23","16","35","09"
-13.82,-75.68,81,5.8,1991,"05","08","19","53","31"
-11.2137,-76.7438,126,4.6,2018,"12","14","11","38","07"
-5.2783,-79.8307,10,4.5,1996,"02","11","04","06","44"
-15.59,-69.5,268,4.5,1964,"04","25","13","36","07"
-12.5965,-76.9111,40,3.7,2021,"11","08","10","28","16"
-3.7361,-79.724,117,4.6,2014,"04","13","05","12","00"
-9.33,-75.32,70,4.7,1993,"12","17","12","05","14"
-7.6401,-78.2835,123,4.6,2014,"03","30","14","33","46"
-17.4179,-72.3743,33,4.8,2015,"01","03","04","48","59"
-3.975,-80.897,36,5.2,1971,"07","17","17","56","16"
-15.1978,-73.7808,97,4.6,2015,"05","14","15","12","29"
-16.674,-71.6744,22,3.8,2020,"03","28","02","33","35"
-9.2983,-78.789,82,4.8,2014,"02","27","09","25","26"
-14.6944,-76.1555,21,4.6,2011,"11","02","07","13","24"
-9.6524,-75.3118,133,4.5,1999,"03","15","01","34","59"
-9.0453,-74.3562,160,5.2,2017,"07","08","04","51","57"
-14.6114,-73.0691,12,5.7,2001,"08","10","17","39","45"
-14.4016,-74.2084,103,4.5,2012,"12","17","07","14","37"
-4.8203,-80.1867,38,4.5,2011,"10","28","01","04","16"
-15.721,-72.619,121,5.8,1990,"11","04","18","13","43"
-6.29,-77.76,68,4.5,1992,"12","24","18","19","39"
-5.896,-80.2147,57,4.5,2008,"04","28","11","00","23"
-10.7125,-78.4163,58,4.8,2011,"05","21","21","04","55"
-8.81,-76.79,138,4.6,1985,"10","05","06","46","22"
-5.8038,-75.9843,51,4.1,2020,"04","02","10","45","38"
-5.1645,-81.0979,39,4.5,2001,"05","24","21","46","09"
-16.9905,-71.3892,84,4.8,2002,"12","14","00","26","25"
-16.651,-71.9664,27,4.5,2010,"02","05","22","09","45"
-4.3727,-78.4682,56,4.9,2001,"05","09","10","36","28"
-12.49,-76.47,39,4.5,1990,"01","14","03","22","39"
-16.7576,-71.93,33,4.6,2001,"02","19","17","39","37"
-18.5408,-71.3236,37,4.5,2017,"08","27","01","08","09"
-11.5967,-76.7382,24,4.6,2000,"08","23","11","27","14"
-16.8381,-71.4742,15,4.8,2014,"09","12","00","37","02"
-8.4447,-76.3904,57,4.9,2009,"09","14","09","58","21"
-17.0418,-73.398,21,5.4,2002,"03","02","07","25","25"
-3.1466,-77.8865,60,4.6,2012,"07","18","18","02","32"
-16.2318,-74.5645,27,4.8,2014,"09","07","00","00","34"
-14.2186,-72.8846,122,4.5,2016,"12","09","17","03","56"
-8.935,-80.2321,56,4.5,2012,"04","26","00","16","57"
-9.909,-79.017,33,5.2,1979,"03","02","19","17","20"
-13.8817,-75.1964,57,4.9,2007,"08","16","06","41","51"
-6.1555,-76.015,73,4.5,2013,"02","25","23","38","56"
-11.3181,-74.7787,13,4.5,2017,"09","25","01","14","49"
-9.5762,-79.0023,49,4.5,2016,"10","04","06","52","15"
-15.52,-74.39,31,4.6,1990,"08","04","16","40","15"
-7.4751,-78.3611,19,4.5,1998,"12","05","16","45","19"
-9.873,-78.394,48,5,1974,"09","19","00","08","40"
-11.57,-77.51,46,4.6,1992,"10","19","00","00","21"
-7.9074,-75.2255,121,4.9,2001,"02","17","04","05","22"
-14.5797,-76.234,40,4.6,2011,"10","29","23","42","33"
-17.4,-72.7,46,5.6,1961,"08","17","17","49","43"
-10.24,-78.59,30,4.9,1995,"11","15","18","21","56"
-4.1206,-80.9937,24,4.5,2014,"08","03","23","50","02"
-16.76,-72.96,71,4.6,1991,"04","04","16","46","27"
-12.8621,-75.0231,8,3.3,2020,"03","17","22","36","45"
-7.85,-76.16,158,4.6,1987,"04","30","05","52","58"
-17.9889,-72.2763,39,4.5,2001,"07","09","09","01","36"
-11.3556,-77.9852,40,3.9,2020,"06","22","04","10","21"
-10.71,-72.97,142,4.5,1991,"03","30","02","30","17"
-6.3466,-76.6701,22,4.5,2011,"07","22","12","40","41"
-3.9868,-76.7753,167,5.4,2015,"02","01","23","32","56"
-4.3019,-77.7342,51,4.5,2011,"11","30","10","54","37"
-10.65,-72.9,77,5.3,1994,"03","31","18","08","16"
-4.23,-77,101,4.9,1966,"06","21","12","51","23"
-15.4844,-74.9163,13,4.8,1996,"11","12","22","01","42"
-9.814,-78.2929,55,4.5,1999,"10","12","13","30","39"
-4.2389,-74.5918,170,4.6,2004,"09","17","05","58","12"
-15.6747,-71.5795,21,4.5,2013,"11","27","08","51","45"
-17.6025,-71.2687,39,4.6,2016,"01","16","05","25","33"
-9.5,-79.54,38,4.7,1995,"06","25","16","46","19"
-5.98,-77.2,29,4.6,1990,"05","30","06","46","22"
-11.94,-77.42,63,4.9,1987,"07","09","21","17","19"
-7.1831,-74.275,163,4.5,2011,"08","29","04","55","50"
-17.8814,-69.9813,164,4.8,2001,"03","29","22","24","05"
-8.6111,-79.0513,57,4.7,2011,"11","20","05","58","51"
-7.33,-80.416,42,5.3,1971,"08","25","04","11","42"
-15.6942,-74.8893,21,4.8,1996,"11","12","18","21","29"
-4.367,-77.631,107,5,1966,"11","04","09","15","04"
-15.2167,-76.0369,15,4.8,2001,"09","29","14","37","31"
-12.6549,-76.8625,32,3.6,2021,"07","07","12","43","22"
-15.254,-71.7751,139,4.5,2005,"04","24","10","16","13"
-16.37,-74.44,45,4.9,1993,"12","25","06","28","10"
-17.7228,-70.982,37,3.6,2021,"10","30","11","39","22"
-8.4505,-75.9677,159,4.5,2001,"01","08","18","37","17"
-14.4454,-73.0543,92,4.2,2019,"05","23","06","32","05"
-9.5893,-74.2714,143,4.7,2012,"02","09","11","25","58"
-7.865,-74.484,139,4.2,2008,"12","03","13","34","17"
-17.06,-69.63,181,4.6,1966,"05","02","21","28","51"
-11.196,-77.949,75,5.5,1979,"08","01","16","40","56"
-8.7782,-74.635,141,5,2016,"11","17","20","34","04"
-11.9458,-75.6811,102,4.5,2012,"08","31","11","19","48"
-4.3839,-81.4976,17,4.7,2011,"05","17","10","07","34"
-10.7,-78.6,58,4.5,1966,"10","18","09","00","03"
-6.48,-80.46,39,4.8,1987,"05","26","15","02","53"
-7.0647,-77.0731,126,4.5,2000,"08","03","19","12","17"
-14.9556,-72.0326,131,4.8,2015,"12","26","22","04","53"
-14.3497,-76.3197,23,4.5,2017,"03","14","22","29","56"
-13.5067,-75.4447,118,5.1,2017,"03","24","04","34","13"
-4.1105,-81.1066,18,4,2021,"06","18","17","19","48"
-4.0958,-80.9462,16,4.5,2014,"01","26","05","28","54"
-18.67,-69.8,102,5.3,1983,"05","06","11","50","17"
-2.8994,-76.3588,152,4.1,2019,"04","30","23","33","40"
-9.4949,-76.0743,48,4.5,1998,"01","17","17","20","20"
-13.8662,-69.413,107,5.3,2016,"02","28","19","05","43"
-4.63,-79.53,42,5.3,1989,"03","02","11","32","51"
-8.6084,-80.2768,17,5,2000,"10","04","21","46","04"
-14.769,-72.0287,50,4.8,2002,"11","29","07","31","42"
-16.674,-73.444,42,5.5,1977,"02","07","21","18","34"
-17.9125,-72.2153,23,5.3,2001,"07","07","21","27","32"
-12.6093,-76.7457,66,4.9,2004,"10","18","22","47","51"
-15,-76.26,30,5.1,1986,"02","20","18","40","55"
-17.52,-72.43,36,5.4,1988,"12","06","00","18","12"
-12.75,-76.73,45,4.6,1987,"03","17","12","04","13"
-6.0411,-79.9414,69,4.6,1998,"04","03","07","59","11"
-15.236,-74.865,67,5.3,1974,"10","06","18","32","43"
-17.3993,-71.0001,25,4.5,2014,"07","17","12","13","06"
-12.94,-76.33,107,4.6,1991,"02","13","00","49","22"
-14.7039,-76.1983,22,4.5,2021,"07","05","08","03","56"
-9.8681,-78.9764,37,4.6,2017,"07","15","05","36","37"
-8.81,-79.85,27,4.7,1990,"07","05","21","50","55"
-6.6188,-77.3382,43,4.5,2011,"08","05","20","18","33"
-8.2072,-76.7137,76,4.6,2002,"01","13","12","10","20"
-16.595,-74.826,0,4.5,1972,"06","07","09","36","13"
-13.93,-76.04,29,4.7,1990,"05","22","08","28","23"
-2.968,-76.836,158,4.1,2006,"12","18","19","07","18"
-12.32,-77.67,16,4.9,1986,"11","28","22","33","46"
-3.604,-80.857,35,4.6,1995,"03","13","03","54","31"
-6.6829,-75.6649,131,4.6,2013,"11","07","02","00","18"
-7.39,-76.46,42,4.7,1993,"10","23","07","04","30"
