"LATITUD","LONGITUD","PROFUNDIDAD","MAGNITUD","AÑO_UTC","MES_UTC","DIA_UTC","HORA_UTC","MINUTO_UTC","SEGUNDO_UTC"
-5.6,-80.3,61,6.1,1961,"11","23","11","17","28"
-7.2,-76.4,33,5.8,1961,"11","29","20","38","09"
-14.9,-75.7,39,5.3,1961,"12","09","03","58","55"
-5.7,-80.9,33,6.1,1961,"12","24","14","25","31"
-18.1,-70.6,77,5.3,1962,"01","02","05","23","41"
-15.7,-69.6,190,4.6,1962,"01","25","07","26","04"
-15.7,-74.3,64,5.9,1962,"03","01","02","12","37"
-13.9,-72.6,91,5,1962,"03","12","01","52","37"
-16.8,-73.5,33,5.1,1962,"03","19","21","04","16"
-14.9,-70.7,119,5.1,1962,"03","22","20","50","36"
-10,-79,39,6.7,1962,"04","18","19","14","37"
-9.3,-78.9,80,5.9,1962,"07","15","14","43","50"
-14.3,-75.5,100,5.2,1962,"07","25","06","05","15"
-16.3,-75,33,5.3,1962,"07","25","06","55","56"
-17.5,-70.4,92,5.7,1962,"08","24","13","15","37"
-17.4,-69.8,145,5.3,1962,"08","30","06","22","28"
-15.6,-73.4,98,5.3,1962,"09","09","03","21","56"
-15.5,-76.1,33,5.2,1962,"09","20","09","25","26"
-15.5,-73.1,137,5.2,1962,"09","22","16","45","31"
-13.8,-76.7,61,4.8,1962,"09","28","22","14","52"
-17.1,-70.5,33,6,1962,"09","29","07","58","20"
-17.2,-69.7,153,5.3,1962,"10","20","06","33","29"
-15.1,-75.4,44,5.3,1962,"11","08","00","02","10"
-8.7,-79.8,45,6.2,1962,"11","15","23","25","15"
-15.262,-75.512,20,5.9,1962,"11","23","00","30","04"
-8.4,-78.7,80,5.1,1962,"12","24","17","43","05"
-3.9,-76.8,102,6,1963,"01","16","20","20","51"
-10.7,-79,21,4.9,1963,"01","17","04","22","19"
-8.3,-75.1,124,5.8,1963,"01","17","19","30","59"
-11.6,-75,47,4.9,1963,"01","22","08","32","35"
-9.1,-77.1,33,4.6,1963,"02","03","11","18","09"
-8.5,-80.1,33,5.2,1963,"02","16","21","32","22"
-15.1,-72.5,97,5.3,1963,"02","24","05","38","19"
-15.1,-73.6,105,5.5,1963,"02","27","11","00","42"
-4.5,-81.6,23,5.6,1963,"03","04","15","43","02"
-15.8,-75.3,40,5.3,1963,"03","04","18","31","51"
-4.5,-81.5,22,5.8,1963,"03","05","07","05","00"
-6.6,-81.2,31,5.5,1963,"03","31","04","45","59"
-10.8,-78.5,32,5.8,1963,"03","31","05","51","00"
-4.8,-78.4,33,4.9,1963,"04","03","01","35","59"
-16.3,-73,95,5,1963,"04","04","08","26","26"
-18,-69.9,159,4.8,1963,"04","06","00","43","00"
-6.2,-76.5,125,6.9,1963,"04","13","02","20","58"
-11.7,-78.1,10,5.3,1963,"04","28","05","22","05"
-8.3,-80,9,5.4,1963,"04","30","18","43","07"
-8,-74.4,143,4.9,1963,"05","10","13","05","22"
-14.1,-73.9,94,5.4,1963,"05","17","14","11","05"
-16.9,-72.4,47,5.1,1963,"05","26","12","43","46"
-5.5,-81.2,33,5.1,1963,"05","26","19","13","39"
-5.3,-78.5,33,4.9,1963,"06","18","15","39","55"
-4.9,-81.2,45,4.6,1963,"06","21","12","13","13"
-15.3,-69.4,179,4.5,1963,"06","24","01","21","03"
-15.9,-75.2,33,4.7,1963,"06","25","10","45","31"
-11.7,-77.6,33,4.7,1963,"06","27","13","15","15"
-7.3,-75.2,43,4.8,1963,"06","30","11","09","49"
-8.8,-77.9,94,4.7,1963,"06","30","12","43","56"
-11.6,-77.5,55,6,1963,"07","05","05","48","13"
-3.2,-77.8,65,4.7,1963,"07","05","14","29","24"
-16.3,-72.2,90,4.6,1963,"07","10","11","47","35"
-12.5,-73.7,79,4.9,1963,"07","22","16","33","22"
-9.7,-78.5,62,5.3,1963,"07","26","23","48","26"
-15,-71.8,100,4.6,1963,"08","01","18","30","26"
-4.1,-80.9,34,5.1,1963,"08","04","12","07","24"
-9.9,-79,31,5.2,1963,"08","05","08","46","59"
-10,-78.6,80,4.9,1963,"08","15","14","36","01"
-13.8,-69.3,543,7.8,1963,"08","15","17","25","06"
-14.2,-71.9,31,5,1963,"08","18","23","07","54"
-17.7,-70.1,158,4.7,1963,"08","27","12","56","55"
-7.1,-81.6,23,7,1963,"08","29","15","30","31"
-15.9,-74.4,53,4.6,1963,"08","31","10","30","30"
-14.1,-76.4,41,4.9,1963,"09","02","04","10","18"
-14.6,-73.6,176,4.5,1963,"09","10","07","36","08"
-10.783,-78.269,61,6.7,1963,"09","17","05","54","36"
-11.3,-77.6,33,4.9,1963,"09","20","04","00","36"
-10.754,-78.239,80,6.2,1963,"09","24","16","30","16"
-9,-75,82,4.6,1963,"10","06","12","10","47"
-12.9,-76.8,69,5.7,1963,"10","07","12","43","53"
-18.3,-71.2,78,4.9,1963,"10","19","02","14","17"
-14.7,-71.7,121,4.7,1963,"10","27","07","45","26"
-13.6,-76.9,38,4.6,1963,"10","28","02","50","30"
-4.8,-77.9,20,5.6,1963,"10","30","01","17","31"
-4.9,-77.7,60,4.9,1963,"10","31","23","19","15"
-12.5,-74.7,105,4.8,1963,"11","02","16","07","13"
-3.5,-77.8,18,6.2,1963,"11","03","03","10","12"
-4.3,-78.3,146,4.7,1963,"11","03","04","24","48"
-15.6,-73.3,112,5.2,1963,"11","03","07","38","10"
-3.7,-78.3,33,4.9,1963,"11","03","12","02","28"
-15,-75.8,52,4.5,1963,"11","04","03","29","30"
-12.8,-73.9,86,4.9,1963,"11","06","01","01","07"
-4.2,-77.7,170,4.6,1963,"11","06","01","28","46"
-16.7,-69.7,174,5.1,1963,"11","06","18","33","25"
-3.7,-78.2,33,4.9,1963,"11","08","19","22","54"
-9.127,-71.483,591,7.6,1963,"11","09","21","15","32"
-8.976,-71.171,594,6.3,1963,"11","10","01","00","39"
-15.8,-72.4,33,4.5,1963,"11","12","12","26","45"
-4.7,-76.8,152,4.8,1963,"11","15","00","18","52"
-16.5,-74.5,54,4.8,1963,"11","18","07","17","50"
-18.6,-72.2,33,4.9,1963,"11","19","22","36","58"
-16.6,-72.1,79,5.3,1963,"11","27","02","19","41"
-15.1,-73.7,124,5.1,1963,"11","29","01","58","45"
-8.3,-81.1,33,5,1963,"12","04","03","13","07"
-7.1,-80.4,45,4.9,1963,"12","04","04","21","22"
-7.1,-80.5,33,4.9,1963,"12","06","18","14","32"
-8.7,-79.8,33,4.9,1963,"12","10","07","26","36"
-7.4,-76,33,4.5,1963,"12","18","01","42","13"
-8.3,-80.8,33,4.8,1963,"12","19","14","54","43"
-9.7,-79.1,56,5.4,1963,"12","19","17","04","07"
-5.2,-80.8,55,5.5,1963,"12","20","10","48","04"
-6.6,-81.44,13,4.8,1963,"12","24","02","40","42"
-13.4,-72.7,42,4.6,1963,"12","27","00","09","59"
-18.3,-70.1,150,4.6,1963,"12","30","16","20","48"
-5.3,-76,106,4.7,1964,"01","03","13","27","51"
-7.98,-74.35,147,5.5,1964,"01","05","18","33","56"
-17.52,-69.79,167,4.7,1964,"01","10","05","37","04"
-11.71,-74.72,152,4.7,1964,"01","12","14","21","53"
-3.44,-77.5,33,4.6,1964,"01","17","13","27","22"
-16.36,-71.62,116,6.2,1964,"01","26","09","09","35"
-14.82,-71.85,136,4.6,1964,"01","28","13","03","50"
-3.226,-77.77,87,5.4,1964,"02","01","11","47","37"
-4.26,-80.8,100,4.5,1964,"02","04","06","24","53"
-4,-80.79,67,4.9,1964,"02","04","07","38","08"
-7.68,-76,33,4.6,1964,"02","15","04","46","06"
-7.65,-75.67,35,4.9,1964,"02","16","10","03","38"
-8.3,-78,33,4.9,1964,"02","18","10","33","23"
-17.16,-70.72,134,4.5,1964,"02","19","06","29","12"
-9.32,-74.54,77,4.9,1964,"02","20","07","22","23"
-13.759,-75.62,65,4.9,1964,"02","20","10","57","43"
-7,-81.5,33,4.8,1964,"02","21","13","51","48"
-7.34,-79.15,36,4.8,1964,"02","21","21","52","13"
-17.29,-74.2,38,4.8,1964,"02","23","04","35","19"
-3.37,-78,33,5,1964,"02","24","18","38","34"
-18.6,-70.4,112,4.9,1964,"03","07","04","51","04"
-10.05,-78.895,37,4.7,1964,"03","07","20","53","28"
-18.2,-70.64,138,4.9,1964,"03","10","22","48","54"
-7.8,-75.4,33,4.7,1964,"03","14","02","14","02"
-15.483,-72.98,117,5.1,1964,"03","19","22","29","04"
-5.642,-77.02,116,5.5,1964,"03","22","07","05","37"
-14.196,-75.661,59,4.8,1964,"03","22","17","51","18"
-5.4,-79.4,33,4.5,1964,"03","24","06","36","19"
-5.137,-76.55,120,5.2,1964,"03","26","05","25","06"
-2.835,-80.263,35,4.9,1964,"04","01","04","26","55"
-8.714,-78.879,83,5.2,1964,"04","03","13","46","40"
-16.27,-73.4,100,4.5,1964,"04","08","16","01","09"
-18.38,-71.08,21,5.4,1964,"04","09","21","54","41"
-14.37,-75.7,68,4.6,1964,"04","10","06","09","11"
-13.787,-75.138,86,4.9,1964,"04","19","19","41","32"
-15.69,-70.46,219,4.5,1964,"04","25","11","46","15"
-15.59,-69.5,268,4.5,1964,"04","25","13","36","07"
-17.3,-70.1,127,4.7,1964,"04","28","19","33","31"
-3.408,-78.089,26,4.9,1964,"04","29","04","08","01"
-16.52,-72.2,88,4.9,1964,"04","29","17","59","48"
-14.3,-75.8,14,4.9,1964,"05","04","19","25","41"
-18.66,-72.76,28,5.2,1964,"05","05","03","26","55"
-5.79,-82.55,19,4.9,1964,"05","09","20","06","35"
-15.56,-70.86,185,4.5,1964,"05","14","11","30","16"
-12.15,-73.53,81,4.8,1964,"05","18","04","15","05"
-16.3,-69.2,235,4.6,1964,"05","23","16","42","07"
-13.404,-74.848,103,5.4,1964,"05","28","12","49","59"
-9.466,-79.739,40,4.8,1964,"05","31","19","58","09"
-5.19,-78.6,33,4.7,1964,"06","03","07","49","31"
-9.758,-76.306,121,5.7,1964,"06","04","11","46","03"
-14.93,-72.1,108,4.6,1964,"06","06","00","32","52"
-8.51,-79.305,49,4.8,1964,"06","06","03","44","27"
-4.77,-77.9,40,4.9,1964,"06","09","15","31","30"
-18,-71.7,80,4.6,1964,"06","16","11","15","25"
-15.29,-73.413,95,5.3,1964,"06","21","06","54","48"
-3.73,-78.1,53,5,1964,"06","23","00","30","12"
-14.31,-73.256,84,5.6,1964,"07","01","22","49","20"
-11.5,-74.36,7,5,1964,"07","02","09","09","37"
-16.45,-72.53,81,5.7,1964,"07","04","12","13","46"
-10.24,-75.11,135,5.3,1964,"07","05","22","14","59"
-15.98,-71.6,136,5.3,1964,"07","10","19","16","44"
-18.505,-71.392,44,5.1,1964,"07","18","11","13","17"
-17.25,-69.63,5,4.7,1964,"08","02","08","14","05"
-5.14,-78.7,33,4.6,1964,"08","04","13","06","22"
-16.764,-71.111,99,5.2,1964,"08","10","07","34","53"
-6,-81.3,49,4.7,1964,"08","13","16","32","19"
-7.32,-74.51,156,5.5,1964,"08","18","00","26","53"
-6.92,-75.26,15,4.9,1964,"08","19","14","00","38"
-4.797,-81.454,25,4.9,1964,"09","10","21","36","32"
-15.78,-72.945,106,5.3,1964,"09","17","07","41","14"
-5.94,-81.685,10,5,1964,"09","19","17","26","12"
-8.3,-74.9,125,5,1964,"09","21","13","27","44"
-8.53,-74.29,159,4.6,1964,"09","29","18","46","14"
-16.36,-69.35,139,4.5,1964,"09","29","20","31","52"
-9.1,-79.687,32,5,1964,"10","02","20","41","47"
-10.749,-75.057,151,4.9,1964,"10","03","12","49","32"
-13.1,-75.1,117,4.7,1964,"10","06","18","19","07"
-18.001,-71.671,37,5.3,1964,"10","11","14","19","14"
-13.57,-76.8,61,5,1964,"10","13","23","54","13"
-13.46,-72.6,44,4.9,1964,"10","17","07","45","33"
-13.5,-72.67,54,4.9,1964,"10","28","03","07","08"
-4.011,-76.742,105,6,1964,"11","02","06","51","01"
-13.68,-75.34,81,5.3,1964,"11","11","18","48","56"
-18.49,-70.42,91,5.1,1964,"11","12","12","13","37"
-10.5,-75.7,94,4.8,1964,"11","18","00","12","02"
-13.315,-75.265,94,4.8,1964,"11","18","04","04","01"
-4.87,-76.7,109,4.9,1964,"11","21","17","24","25"
-7.912,-71.367,640,5.6,1964,"11","28","16","49","31"
-4.12,-80.28,100,4.8,1964,"11","29","03","24","55"
-15.53,-70.6,168,5,1964,"12","06","03","15","38"
-6.613,-76.352,132,5.2,1964,"12","07","15","55","53"
-7.15,-76.77,33,5.2,1964,"12","15","16","20","11"
-16.46,-72.87,108,4.7,1964,"12","19","11","18","05"
-9.615,-71.265,605,5.5,1964,"12","22","00","24","49"
-15.91,-71.04,69,4.9,1965,"01","02","05","25","10"
-9.687,-79.373,35,4.9,1965,"01","06","15","26","33"
-3.1,-76.7,30,4.9,1965,"01","07","11","57","30"
-15.5,-70.89,0,4.8,1965,"01","07","14","17","22"
-9.8,-80,26,4.9,1965,"01","09","14","35","14"
-3.32,-81.4,22,5.2,1965,"01","10","03","43","46"
-16.8,-74.9,33,4.8,1965,"01","11","09","27","39"
-9.747,-74.983,36,5.6,1965,"01","12","13","36","51"
-5.648,-81.366,32,5.8,1965,"01","14","08","25","19"
-8.4,-74.5,33,4.7,1965,"01","23","14","48","26"
-9.478,-74.474,115,4.7,1965,"01","25","22","36","39"
-14.379,-75.757,57,4.7,1965,"01","26","16","54","15"
-12.86,-78.58,16,5.2,1965,"01","28","05","35","00"
-5.9,-77.6,69,4.9,1965,"02","13","10","05","24"
-10.068,-71.101,585,5.5,1965,"02","18","22","32","19"
-7.52,-74.68,138,4.9,1965,"02","19","23","01","50"
-18.455,-72.71,15,5.3,1965,"02","20","21","10","13"
-13.52,-72.79,40,4.6,1965,"03","09","02","55","52"
-18.27,-71.36,68,4.5,1965,"03","11","14","55","05"
-5.799,-77.856,38,5.3,1965,"03","12","22","54","46"
-17.5,-74.9,13,5.8,1965,"03","15","05","08","51"
-18.457,-69.96,100,4.9,1965,"03","24","11","17","05"
-15.277,-72.432,118,5,1965,"03","28","05","30","28"
-15.935,-74.16,68,5.6,1965,"03","28","10","00","01"
-8.83,-74.413,143,5.5,1965,"04","04","20","09","43"
-3.146,-78.252,93,5.3,1965,"04","06","19","21","50"
-8.327,-79.607,35,4.7,1965,"04","08","00","02","47"
-5.72,-75.6,33,4.9,1965,"04","15","02","00","10"
-5.997,-78.642,111,5,1965,"04","22","22","14","05"
-13.68,-75.896,78,5.2,1965,"04","27","05","24","47"
-14.205,-76.155,70,4.7,1965,"04","28","09","42","12"
-16.53,-73.33,78,4.9,1965,"05","04","12","10","41"
-13.861,-75.861,89,5,1965,"05","05","09","13","58"
-13.7,-71.6,20,4.8,1965,"05","08","22","22","40"
-2.796,-77.233,112,5.2,1965,"05","09","19","59","01"
-17.335,-70.692,107,4.9,1965,"05","10","08","35","21"
-6.7,-80.9,71,4.6,1965,"05","11","00","58","31"
-14.002,-76.54,37,5,1965,"05","12","09","42","38"
-3.77,-80.76,30,4.9,1965,"05","20","09","55","15"
-10.1,-74.4,33,4.6,1965,"05","29","04","25","16"
-13.9,-76.4,82,4.7,1965,"06","03","12","12","31"
-9.166,-78.961,72,4.8,1965,"06","04","14","53","34"
-13.74,-71.6,73,4.7,1965,"06","05","20","41","10"
-4.01,-78.2,33,4.7,1965,"06","08","05","46","50"
-4.67,-80.6,33,4.7,1965,"06","18","03","37","50"
-11.217,-73.661,111,5.6,1965,"06","18","22","45","18"
-3.67,-77.89,25,4.9,1965,"06","21","10","46","41"
-18.375,-70.133,85,5.3,1965,"06","24","03","29","49"
-15.62,-70.61,191,4.8,1965,"06","24","16","54","05"
-9.124,-72.975,49,4.9,1965,"06","26","05","55","14"
-2.634,-77.018,121,5.3,1965,"06","27","17","09","05"
-14.638,-75.948,38,4.5,1965,"06","30","08","15","44"
-7.65,-76.93,42,4.9,1965,"07","02","01","09","48"
-7.75,-76.9,49,4.9,1965,"07","02","02","28","16"
-9.7,-79.7,33,4.8,1965,"07","08","23","51","19"
-7.7,-80.8,33,4.9,1965,"07","09","17","46","41"
-13.2,-75.1,102,4.5,1965,"07","13","17","58","02"
-3.2,-77.7,90,4.9,1965,"07","13","22","34","49"
-17.65,-69.42,141,5.3,1965,"07","14","12","29","57"
-6.6,-80.9,36,4.9,1965,"07","15","08","31","24"
-8.868,-79.43,48,5.5,1965,"07","23","15","13","24"
-3.5,-78.1,33,4.7,1965,"07","24","12","16","08"
-15.7,-73.9,92,4.6,1965,"07","28","19","42","47"
-18.139,-70.823,74,5.6,1965,"07","30","05","45","18"
-15.1,-70.8,192,4.6,1965,"07","30","12","11","07"
-4.88,-80.9,66,4.5,1965,"08","01","04","36","41"
-16.7,-71.4,97,4.6,1965,"08","01","06","13","59"
-7.429,-81.365,27,6,1965,"08","03","02","01","53"
-9.2,-78.7,70,4.9,1965,"08","07","05","26","07"
-4.34,-81.08,38,5.6,1965,"08","13","00","54","45"
-7.86,-74.57,146,4.9,1965,"08","22","12","24","25"
-13.1,-75.2,107,4.7,1965,"08","23","00","08","11"
-17.599,-69.771,143,5.2,1965,"08","25","14","50","37"
-9.3,-75.9,31,4.9,1965,"09","06","16","25","53"
-11.1,-73.8,99,4.8,1965,"09","08","04","10","34"
-11.4,-75.3,33,4.6,1965,"09","11","18","17","54"
-12.09,-72.57,72,4.8,1965,"09","14","04","50","24"
-9.89,-76.1,142,5.2,1965,"09","14","07","17","58"
-17.2,-70.7,141,4.8,1965,"09","16","08","57","23"
-16.33,-74.916,30,5,1965,"09","19","14","17","49"
-17.3,-70.5,127,4.9,1965,"09","20","06","37","42"
-6.43,-74.93,138,5.3,1965,"09","20","18","10","41"
-9.44,-79.14,37,4.8,1965,"09","24","09","40","41"
-13,-70.3,37,4.8,1965,"09","26","05","47","56"
-10.9,-75,33,4.7,1965,"10","04","21","25","12"
-9.8,-74.9,122,4.9,1965,"10","06","02","40","23"
-8.263,-75.895,140,5.3,1965,"10","08","22","28","50"
-7.7,-74.6,140,4.8,1965,"10","10","19","35","00"
-3.6,-77.35,146,4.5,1965,"10","11","00","07","04"
-16.1,-73.5,106,4.9,1965,"10","17","14","09","05"
-8.5,-74.4,112,4.7,1965,"10","19","02","02","54"
-9.121,-71.303,592,6.1,1965,"11","03","01","39","04"
-9.299,-79.099,20,4.9,1965,"11","06","01","06","05"
-17.89,-69.52,143,4.8,1965,"11","10","01","47","22"
-11.3,-73.5,80,4.7,1965,"11","21","04","29","23"
-18.1,-70.7,93,4.9,1965,"11","23","10","21","00"
-9.5,-74.8,125,4.9,1965,"11","24","09","30","56"
-4.7,-77.14,123,4.9,1965,"11","26","00","25","49"
-6.075,-78.714,28,5.6,1965,"11","29","17","07","03"
-6.8,-80.1,33,4.6,1965,"11","29","17","53","55"
-18.427,-71.292,26,4.9,1965,"11","30","09","44","40"
-8.34,-74.15,179,5.3,1965,"11","30","09","46","13"
-16.471,-69.594,192,5.3,1965,"12","02","00","36","31"
-3.525,-77.881,30,5.1,1965,"12","03","08","32","27"
-4.5,-79.9,89,4.9,1965,"12","03","09","55","49"
-3.5,-78.2,42,4.9,1965,"12","07","03","44","41"
-15.5,-74.7,79,4.8,1965,"12","08","02","55","38"
-6.483,-81.163,10,4.9,1965,"12","10","02","59","16"
-6.4,-81.3,33,4.7,1965,"12","11","21","48","29"
-18.347,-70.957,71,4.9,1965,"12","14","04","55","19"
-14.855,-73.509,94,5.3,1965,"12","19","20","10","25"
-3.191,-77.159,19,5.7,1965,"12","28","22","04","54"
-3.24,-77.158,51,5,1965,"12","29","04","08","29"
-16.691,-71.154,104,6.2,1965,"12","30","06","16","04"
-7.91,-74.4,167,5,1966,"01","01","19","51","56"
-15.311,-70.831,178,5.4,1966,"01","04","12","48","14"
-10.85,-75.71,33,4.9,1966,"01","09","20","16","54"
-2.311,-77.044,156,5,1966,"01","12","08","02","09"
-8.338,-74.043,160,5.1,1966,"01","13","14","17","10"
-11.6,-75.93,104,4.8,1966,"01","17","06","57","05"
-3.52,-80.91,56,4.9,1966,"01","18","10","25","58"
-17.856,-71.354,54,5.3,1966,"01","19","04","44","31"
-14.833,-75.652,40,5,1966,"01","20","07","14","06"
-10.34,-74.7,95,4.7,1966,"01","22","14","05","41"
-3.6,-81.2,33,4.9,1966,"01","28","21","25","24"
-15,-73.9,73,5.3,1966,"02","07","08","41","23"
-16.74,-72.5,76,4.9,1966,"02","09","03","55","05"
-15.395,-75.349,40,5.8,1966,"02","09","15","13","30"
-16.584,-73.732,40,5,1966,"02","10","10","43","36"
-13.38,-75.521,101,4.9,1966,"02","14","16","34","45"
-9.844,-75.56,39,5.2,1966,"02","20","15","25","44"
-15.36,-72.69,123,5.3,1966,"02","23","18","10","22"
-3.48,-77.6,33,4.6,1966,"02","26","15","37","18"
-15.3,-75.9,22,4.9,1966,"02","27","05","58","41"
-15.4,-76,13,4.6,1966,"02","27","06","08","36"
-14.4,-73.9,85,4.6,1966,"03","12","18","06","53"
-7.382,-74.873,140,5.3,1966,"03","23","21","57","12"
-10.2,-79.1,48,4.9,1966,"03","24","14","17","30"
-3.979,-80.85,43,5.6,1966,"03","28","15","29","23"
-3.986,-80.773,32,5.6,1966,"03","28","17","42","47"
-3.9,-80.4,72,4.6,1966,"03","28","18","20","17"
-3.682,-80.582,26,4.7,1966,"03","28","18","56","21"
-4.164,-81.001,30,4.9,1966,"03","28","20","29","34"
-10.47,-79.6,42,5,1966,"04","03","09","17","28"
-3.75,-81.78,5,4.6,1966,"04","06","12","24","48"
-17.68,-69.64,141,4.7,1966,"04","12","01","31","07"
-17.66,-70.71,60,4.9,1966,"04","27","13","53","55"
-6.69,-75.76,48,4.9,1966,"05","01","08","04","24"
-8.438,-74.222,158,6.8,1966,"05","01","16","22","57"
-8.377,-74.178,159,5.1,1966,"05","02","10","55","50"
-17.06,-69.63,181,4.6,1966,"05","02","21","28","51"
-16.8,-69.5,152,4.8,1966,"05","02","21","34","04"
-5.21,-76.1,101,4.8,1966,"05","07","06","48","40"
-7.12,-74.46,152,4.5,1966,"05","11","00","01","32"
-15.43,-70.83,214,4.8,1966,"05","13","01","35","20"
-17.69,-71.5,72,4.8,1966,"05","19","17","37","24"
-8.107,-74.387,156,4.9,1966,"05","21","07","44","21"
-17.7,-70.6,73,4.7,1966,"05","25","16","29","57"
-9.48,-77.07,161,4.7,1966,"05","25","23","21","27"
-17.16,-73.07,38,4.6,1966,"05","26","00","53","23"
-8.651,-74.41,170,5.1,1966,"05","31","08","50","22"
-16.56,-73.52,83,4.8,1966,"06","01","18","18","30"
-15.712,-71.799,137,5,1966,"06","02","17","05","41"
-14.4,-76,43,4.7,1966,"06","02","17","49","46"
-16.1,-74.9,8,4.7,1966,"06","04","10","04","31"
-16.1,-74.7,10,4.7,1966,"06","04","14","48","04"
-6.3,-81.5,33,4.8,1966,"06","05","00","53","01"
-17.28,-70.63,126,4.7,1966,"06","05","04","17","33"
-9.8,-71,590,5,1966,"06","05","19","03","10"
-14.895,-75.891,21,6.4,1966,"06","07","00","59","45"
-14.86,-76,76,4.9,1966,"06","07","01","20","11"
-12.3,-74.3,27,4.5,1966,"06","07","01","56","23"
-15.107,-75.905,28,5.3,1966,"06","07","03","24","18"
-15.19,-75.91,48,5.3,1966,"06","07","15","14","43"
-15.43,-76.106,20,5,1966,"06","08","14","56","53"
-14.879,-76.22,22,5.3,1966,"06","10","08","13","28"
-14.93,-76.4,28,4.9,1966,"06","10","14","13","43"
-14.7,-76.1,49,4.9,1966,"06","11","11","04","13"
-15.1,-75.2,97,4.5,1966,"06","18","05","43","17"
-14.919,-75.864,28,5.5,1966,"06","19","15","40","49"
-15,-76,59,4.7,1966,"06","20","00","30","19"
-16.9,-72.3,40,4.8,1966,"06","20","11","01","49"
-4.23,-77,101,4.9,1966,"06","21","12","51","23"
-17.19,-70.19,151,4.7,1966,"06","23","00","20","18"
-6.74,-76.8,29,5.2,1966,"06","30","10","49","54"
-15.632,-75.878,21,5,1966,"07","05","23","50","19"
-15.617,-75.652,27,5.3,1966,"07","06","00","05","56"
-9.9,-79.2,76,4.9,1966,"07","15","04","23","52"
-15.28,-70.77,217,4.5,1966,"07","21","05","54","12"
-6.298,-81.041,20,5.2,1966,"07","22","19","47","39"
-11.49,-75.16,119,4.9,1966,"07","26","21","53","34"
-18.1,-71.6,47,4.7,1966,"07","27","23","10","57"
-12.59,-71.17,11,4.8,1966,"07","29","08","26","01"
-15.752,-75.742,20,4.9,1966,"07","31","22","18","27"
-17.766,-70.657,106,5.1,1966,"08","01","09","50","40"
-7.612,-74.87,147,5.3,1966,"08","06","14","38","44"
