"PANO,C,4","PMES,C,2","CONGLOME,C,6","SUBMUESTRA,C,3","VIVIENDA,C,4","HOGAR,C,2","CODPERSO,C,2","DOMINIO,N,1,0","ESTRATO,N,1,0","CODPANEL,C,8","P103,N,1,0","P104,N,1,0","P105,N,1,0","P106,N,1,0","P107,N,1,0","P108,N,2,0","P109A,N,2,0","P109B,N,2,0","P109C,N,1,0","P200N,N,2,0","P200I,N,2,0","P200A,N,2,0","P200B,N,2,0","P200BB,N,4,0","P200C,N,2,0","P200D,N,2,0","P200DD,N,4,0","P200E,N,2,0","P200F,N,2,0","P200G,N,4,0","P201,N,1,0","P202,N,1,0","P203,N,1,0","P204,N,1,0","P2041,N,1,0","P2042,N,1,0","P2043,N,1,0","P2044,N,1,0","P2045,N,1,0","P2046,N,1,0","P2047,N,1,0","P2048,N,1,0","P2049,N,1,0","P20410,N,1,0","P204A,N,3,0","P205A,N,4,0","P206,N,1,0","P206AA,N,1,0","P207A,N,1,0","P207B,N,4,0","P208B1,N,2,0","P208B2,N,2,0","P208B3,N,4,0","P209A,N,2,0","P209B,N,2,0","P209C,N,2,0","P209D,N,2,0","P209E,N,2,0","P209F,N,2,0","P209G,N,2,0","P209T,N,3,0","P209BB,N,1,0","P209CC,N,3,0","P209H,N,1,0","P209EE,N,1,0","P210,N,1,0","P211A,N,6,0","P211B,N,6,0","P212A,N,6,0","P212B,N,6,0","P212C,N,6,0","P212D,N,6,0","P212E,N,1,0","P213,N,1,0","P214,N,2,0","P215,N,1,0","P216,N,1,0","P217,N,2,0","P218,N,1,0","P219,N,3,0","P220,N,1,0","P222,N,1,0","P223A1,N,1,0","P223A2,N,1,0","P223A3,N,1,0","P223A4,N,1,0","P223A5,N,1,0","P223A6,N,1,0","P223A7,N,1,0","P224,N,1,0","P225,N,1,0","OCU200,N,1,0","I211A,N,6,0","I211B,N,6,0","I212A,N,6,0","I212B,N,6,0","I212C,N,6,0","I212D,N,6,0","INGTOT,N,8,0","INGPRIN,N,8,0","RESIDENT,N,1,0","FA_MAM20,N,8,2"
2020,03,017300,002,0052,11,02,0,5,19031102,2,1,2,0,1,44,6,5,0,2,1,1,3,2020,7,3,2020,13,11,1975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,885,4922,2,0,1,1,99,3,2019,0,10,10,10,10,10,10,60,1,0,1,2,0,0,0,1800,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6,4,1,0,0,1800,0,0,0,1800,1800,1,502.19
2020,03,017300,002,0052,11,03,0,5,19031103,3,1,2,0,1,19,6,5,0,3,3,1,3,2020,7,3,2020,27,2,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,247,8549,2,0,1,1,3,3,2020,0,0,3,3,0,0,0,6,1,0,2,1,0,0,0,100,8,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6,4,1,0,0,100,8,0,0,108,108,1,441.77
2020,03,017300,002,0052,11,04,0,5,19031104,3,1,2,0,2,12,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017300,002,0052,11,05,0,5,19031105,3,1,2,0,2,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017337,002,0036,11,01,0,4,19031101,1,1,2,0,1,63,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017337,002,0036,11,02,0,4,19031102,2,1,2,0,2,55,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017337,002,0036,11,03,0,4,19031103,3,1,2,0,2,29,6,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017337,002,0036,11,04,0,4,19031104,3,1,2,0,1,25,6,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017337,002,0036,11,05,0,4,19031105,3,1,2,0,2,23,9,2,0,5,5,15,3,2020,21,3,2020,22,6,1996,2,1,0,0,0,0,0,0,0,0,0,0,0,0,247,8521,3,5,1,40,1,3,2020,0,0,0,0,0,0,0,0,2,40,1,2,4,930,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,4,1,930,0,0,0,0,0,930,930,1,947.15
2020,03,017337,002,0036,11,06,0,4,19031106,3,1,2,0,1,17,6,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017337,002,0036,11,07,0,4,19031107,3,1,2,0,1,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017337,002,0036,11,08,0,4,19031108,3,1,2,0,2,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017337,002,0036,11,09,0,4,19031109,0,1,2,0,1,14,5,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017337,002,0037,11,01,0,4,19031101,1,1,2,0,1,46,4,0,6,1,1,15,3,2020,21,3,2020,8,5,1973,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,0,0,0,1,5,0,0,0,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,1,594.42
2020,03,017337,002,0037,11,02,0,4,19031102,2,1,2,0,2,55,6,5,0,2,2,15,3,2020,21,3,2020,28,9,1964,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,2,5,0,0,0,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,1,611.51
2020,03,017337,002,0037,11,03,0,4,19031103,3,1,2,0,1,25,6,5,0,3,2,15,3,2020,21,3,2020,5,5,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8423,3,1,2,0,99,99,2018,0,16,8,16,8,16,8,72,1,0,1,2,4,2800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,6,4,1,2800,0,0,0,0,0,2800,2800,1,1004.39
2020,03,017337,002,0037,11,04,0,4,19031104,3,1,2,0,1,23,6,5,0,4,2,15,3,2020,21,3,2020,5,3,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8423,3,1,2,0,1,1,2020,0,16,8,16,8,16,8,72,1,0,1,1,4,2800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,6,4,1,2800,0,0,0,0,0,2800,2800,1,883.53
2020,03,017340,002,0028,11,01,0,4,19031101,1,1,2,0,2,50,5,2,0,1,1,15,3,2020,21,3,2020,8,1,1970,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,1,0,0,1,6,0,0,0,0,0,0,1,6,4,3,0,0,0,0,0,0,0,0,1,611.51
2020,03,017340,002,0028,11,02,0,4,19031102,3,1,2,0,1,23,6,5,0,2,2,15,3,2020,21,3,2020,15,11,1996,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,9,0,0,1,5,0,0,0,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,1,883.53
2020,03,017340,002,0028,11,03,0,4,19031103,3,1,1,0,2,17,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2020,03,017340,002,0028,11,04,0,4,19031104,3,1,2,0,1,16,5,2,0,4,4,15,3,2020,21,3,2020,5,9,2003,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,2,6,0,0,0,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,1,883.53
2020,03,017340,002,0028,11,05,0,4,20031105,3,2,0,2,1,25,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2020,03,017340,002,0029,12,01,0,4,19031201,1,1,2,0,1,52,6,5,0,1,1,15,3,2020,21,3,2020,7,7,1967,2,1,0,0,0,0,0,0,0,0,0,0,0,0,564,8010,3,4,2,0,99,99,2018,0,0,0,0,0,0,0,0,2,60,1,2,4,1200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,4,1,1200,0,0,0,0,0,1200,1200,1,594.42
2020,03,017340,002,0029,12,02,0,4,19031202,2,1,2,0,2,49,5,2,0,2,2,15,3,2020,21,3,2020,28,1,1971,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,1,1,0,0,0,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,1,611.51
2020,03,017340,002,0029,12,03,0,4,19031203,3,1,2,0,2,25,6,5,0,3,3,15,3,2020,21,3,2020,13,10,1994,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,1,6,0,0,0,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,1,893.45
2020,03,017340,002,0029,12,04,0,4,19031204,3,1,2,0,2,21,6,5,0,4,3,15,3,2020,21,3,2020,27,7,1998,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,0,0,0,0,1,6,0,0,0,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,1,947.15
2020,03,017340,002,0029,12,05,0,4,19031205,0,1,2,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017340,002,0029,22,01,0,4,19032201,1,1,2,0,2,26,6,5,0,1,1,15,3,2020,21,3,2020,12,7,1993,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,1,6,0,0,0,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,1,893.45
2020,03,017340,002,0029,22,02,0,4,19032203,3,1,2,0,2,8,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017340,002,0029,22,03,0,4,19032204,3,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017355,002,0045,11,01,0,5,20031101,1,1,2,0,1,73,3,3,0,1,1,1,3,2020,7,3,2020,11,11,1946,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,1,1,0,0,0,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,1,297.21
2020,03,017355,002,0045,11,02,0,5,20031102,2,1,2,0,2,74,3,1,0,2,2,1,3,2020,7,3,2020,9,12,1945,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,9,0,0,1,6,0,0,0,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,1,305.76
2020,03,017355,002,0045,11,03,0,5,20031103,3,1,2,0,1,38,6,5,0,3,3,1,3,2020,7,3,2020,13,5,1981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,781,2511,2,0,1,1,99,99,2012,0,6,6,6,6,6,6,36,1,0,1,2,0,0,0,800,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6,4,1,0,0,800,0,0,0,800,800,1,502.19
2020,03,017355,002,0045,11,04,0,5,20031104,4,1,2,0,2,26,6,5,0,4,4,1,3,2020,7,3,2020,13,4,1993,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,6,0,0,1,6,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,1,446.73
2020,03,017355,002,0045,11,05,0,5,20031105,0,1,2,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017355,002,0045,11,06,0,5,20031106,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017355,002,0046,11,01,0,5,20031101,1,1,2,0,1,43,6,5,0,1,1,1,3,2020,7,3,2020,5,8,1976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,987,5224,2,0,1,1,99,99,2013,4,0,0,8,8,8,8,36,1,0,2,2,0,0,0,1600,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,6,4,1,0,0,1600,0,0,0,1600,1600,1,502.19
2020,03,017355,002,0047,11,01,0,5,20031101,1,1,2,0,1,50,6,5,0,1,2,1,3,2020,7,3,2020,19,8,1969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,987,3510,4,4,2,0,99,99,2017,0,8,8,8,8,8,5,45,1,0,1,2,4,1200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,4,1,1200,0,0,0,0,0,1200,1200,1,297.21
2020,03,017355,002,0047,11,02,0,5,20031102,2,1,2,0,2,57,6,5,0,2,2,1,3,2020,7,3,2020,27,11,1962,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,1,1,0,0,0,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,1,305.76
2020,03,017355,002,0047,11,03,0,5,20031103,3,1,2,0,2,22,8,3,0,3,4,1,3,2020,7,3,2020,19,5,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,423,9329,3,5,1,40,99,99,2015,0,8,8,8,8,8,5,45,1,0,1,2,4,1200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,6,4,1,1200,0,0,0,0,0,1200,1200,1,473.57
2020,03,017355,002,0047,11,04,0,5,20031104,3,1,2,0,2,18,6,5,0,4,4,1,3,2020,7,3,2020,4,3,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,392,9329,3,5,2,0,99,1,2019,4,9,5,9,9,9,4,49,1,0,2,1,4,1700,208,0,0,600,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,6,4,1,1700,208,0,0,600,0,2508,1908,1,473.57
2020,03,017355,002,0047,11,05,0,5,20031105,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
2020,03,017355,002,0048,11,01,0,5,20031101,1,1,2,0,1,46,5,4,0,1,1,1,3,2020,7,3,2020,22,9,1973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,983,4100,4,5,1,4,1,2,2020,0,8,8,8,8,8,8,48,1,0,1,2,2,480,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,6,4,1,2078,0,0,0,0,0,2078,2078,1,297.21
2020,03,017355,002,0048,11,02,0,5,20031102,2,1,2,0,2,42,5,4,0,2,2,1,3,2020,7,3,2020,29,11,1977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,941,9700,6,0,1,1,99,3,2019,0,9,9,9,9,9,8,53,1,0,2,2,4,1300,234,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,6,4,1,1300,234,0,0,0,0,1534,1534,1,446.73
2020,03,017355,002,0048,11,03,0,5,20031103,3,1,2,0,2,15,5,3,0,3,3,1,3,2020,7,3,2020,31,10,2004,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,2,6,0,0,0,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,1,473.57
