
"Fecha","Ingresos corrientes del gobierno central"
Abr11,10166.4822831181
May11,7309.9209843017
Jun11,6913.1043552273
Jul11,6762.8021747513
Ago11,7190.18924063889
Sep11,7049.7137351742
Oct11,7146.920543607
Nov11,7313.6463482932
Dic11,7131.0182636976
Ene12,8925.5474558266
Feb12,6727.73333712957
Mar12,8472.6970132528
Abr12,10421.2568644999
May12,8398.7489817306
Jun12,7485.86412048319
Jul12,7744.7806268206
Ago12,7530.8250618589
Sep12,7701.0656229559
Oct12,7728.905129242
Nov12,7865.4881151021
Dic12,8415.0763709285
Ene13,9062.6357056874
Feb13,7561.30300310089
Mar13,8718.8280501857
Abr13,10712.8708713162
May13,8176.3998971853
Jun13,7692.0833439693
Jul13,8051.4959868193
Ago13,8362.0751803455
Sep13,8338.8680166748
Oct13,8457.7463200965
Nov13,8852.2360511201
Dic13,9359.5254770599
Ene14,9851.59769520131
Feb14,8226.8702385594
Mar14,10020.3970097402
Abr14,11498.7956896089
May14,8299.53302812781
Jun14,8075.14554744373
Jul14,8303.5074265289
Ago14,8924.5331247163
Sep14,8706.2832017001
Oct14,8514.2502338782
Nov14,9958.1635622621
Dic14,9096.4173817131
Ene15,9348.5909632
Feb15,7894.28620493688
Mar15,9020.7032052539
Abr15,10377.9894640388
May15,7816.22720209582
Jun15,7808.3918412416
Jul15,7758.536798019
Ago15,8115.88641376605
Sep15,7725.93828307821
Oct15,7972.65994024465
Nov15,8538.31693073987
Dic15,9506.81983106641
Ene16,9130.3473648244
Feb16,7152.2260639434
Mar16,9598.3504350246
Abr16,10294.2351918684
May16,7749.0273753831
Jun16,7814.5784239896
Jul16,6828.923203608
Ago16,8382.4120724929
Sep16,8438.5759527676
Oct16,7571.10392029611
Nov16,8164.549083018
Dic16,9720.045198622
Ene17,10428.2310097814
Feb17,7546.87743612928
Mar17,9051.89578935165
Abr17,10416.0179407974
May17,7686.10559131978
Jun17,7407.11088598313
Jul17,7587.09917519278
Ago17,8457.50434055425
Sep17,8107.32790239971
Oct17,8676.37198707207
Nov17,8825.02453233198
Dic17,10973.4415698918
Ene18,10254.2894014983
Feb18,8428.47909623475
Mar18,10491.3646842751
Abr18,13726.7532412358
May18,10225.5289129005
Jun18,9502.93403810909
Jul18,9010.17757835286
Ago18,9240.68122372328
Sep18,9435.20067234866
Oct18,9449.76614137725
Nov18,9788.48072967382
Dic18,9854.71593059019
Ene19,11552.3063283275
Feb19,9488.99415344232
Mar19,10671.6294051276
Abr19,14081.7766829688
May19,11494.8507316909
Jun19,9831.9478538564
Jul19,9130.30500249685
Ago19,9069.57197773159
Sep19,10120.0736841118
Oct19,9977.21555502648
Nov19,10587.9645821377
Dic19,10754.6132459949
Ene20,12079.8808296642
Feb20,9911.7584466718
Mar20,8599.10989758324
Abr20,8170.64706738088
May20,7765.1958424258
Jun20,6064.4375112922
Jul20,7122.8291573989
Ago20,8304.95182610026
Sep20,8055.4559635612
Oct20,8784.1598959055
Nov20,9527.47393544784
Dic20,12003.3127020932
Ene21,11921.7842349182
Feb21,10615.1415938745
Mar21,12635.0040136362
Abr21,15720.4605253928
May21,11962.9566552314
Jun21,11143.0756830823
Jul21,11977.0248743019
Ago21,16397.2250410859
Sep21,12648.4373489586
Oct21,12325.4815417522
Nov21,14859.1656373282
Dic21,15441.5254157602
Ene22,14157.6823941504
Feb22,12465.0618153858
Mar22,18614.8065519748
Abr22,22599.5052349826
May22,14902.244953128
Jun22,13349.3320101701
Jul22,12759.987041308
Ago22,14675.1024753374
Sep22,14515.8857798608
Oct22,14178.3581333973
Nov22,13707.5704169807
Dic22,13471.4977229588
Ene23,14795.9149460093
Feb23,13731.1650802734
Mar23,16815.5129856756
Abr23,17830.8949150849
