"Fecha","Indicadores de Coyuntura Electricidad"
Ene20,4603.82482744985
Feb20,4397.78718121816
Mar20,3999.05724262185
Abr20,3041.60849021911
May20,3344.72029212865
Jun20,3756.71131091131
Jul20,4139.42505656865
Ago20,4279.352971
Sep20,4190.8547503975
Oct20,4464.67805529457
Nov20,4385.36777207835
Dic20,4583.2566370275
Ene21,4557.4386049525
Feb21,4154.35067014
Mar21,4619.3049310875
Abr21,4326.8283334225
May21,4528.8096993325
Jun21,4438.19838971
Jul21,4483.166420034
Ago21,4571.39167097
Sep21,4468.1458860575
Oct21,4618.9009250225
Nov21,4536.5501945625
Dic21,4687.2619132825
Ene22,4635.4310880775
Feb22,4321.242274275
Mar22,4718.9310901575
Abr22,4430.657586265
May22,4594.9549443675
Jun22,4544.466268765
Jul22,4697.045114185
Ago22,4714.0607623925
Sep22,4686.5850641675
Oct22,4847.2611257425
Nov22,4832.05872362
Dic22,5012.78988419
Ene23,4890.668994095
Feb23,4526.462958275
Mar23,5105.78152884
Abr23,4828.98108
