"Fecha","Ingresos Tributarios - IGV"
Oct04,1431.96498729006
Nov04,1367.73592290203
Dic04,1483.64584401804
Ene05,1528.4339701894
Feb05,1356.27943898645
Mar05,1341.89896573268
Abr05,1487.38352795041
May05,1515.61860020892
Jun05,1447.85156671796
Jul05,1461.52123273575
Ago05,1521.08156407831
Sep05,1712.8902531575
Oct05,1565.55052861843
Nov05,1643.94287496063
Dic05,1719.70470279552
Ene06,1868.92736205723
Feb06,1584.0507767337
Mar06,1682.42635139007
Abr06,1684.27091139256
May06,1776.0376739796
Jun06,1828.41846813665
Jul06,1801.27190805422
Ago06,1755.83727195678
Sep06,1710.86534509008
Oct06,1877.34689043295
Nov06,1917.34638455816
Dic06,2030.31661156813
Ene07,2152.18647625965
Feb07,1855.57248747836
Mar07,1869.94994760602
Abr07,2015.7930413303
May07,1963.27036191771
Jun07,2095.13692591366
Jul07,2250.73911464254
Ago07,2200.4036973699
Sep07,2100.07026779299
Oct07,2308.44035962382
Nov07,2291.74567826631
Dic07,2155.01395600596
Ene08,2712.86937568
Feb08,2197.80951676
Mar08,2223.52216248
Abr08,2548.9951081
May08,2468.632946
Jun08,2693.629608
Jul08,2933.39667811
Ago08,2719.17483556
Sep08,2957.43691225
Oct08,2970.636662
Nov08,2540.33552868
Dic08,2620.32373349
Ene09,2894.08231946
Feb09,2292.87763187
Mar09,2267.24707315
Abr09,2303.88839336
May09,2259.79188283
Jun09,2436.51318256
Jul09,2332.66638893
Ago09,2525.23293261
Sep09,2399.66194772
Oct09,2528.17966758
Nov09,2580.57941048
Dic09,2698.85969265
Ene10,3129.84565919
Feb10,2534.00175027
Mar10,2776.25259772
Abr10,2902.83022738
May10,2710.40440303
Jun10,2822.75402225
Jul10,2913.92177752
Ago10,3132.48167243
Sep10,3061.1419768
Oct10,3131.8108397
Nov10,3213.64643692
Dic10,3207.24469684
Ene11,3612.14523036
Feb11,2992.83091245
Mar11,3065.50754933
Abr11,3232.05738236
May11,3479.07297372
Jun11,3333.69978791
Jul11,3249.55683745
Ago11,3477.69047197999
Sep11,3519.83801029
Oct11,3408.0924173
Nov11,3528.27221239
Dic11,3525.18078761
Ene12,4225.00974517
Feb12,3150.32569431
Mar12,3375.92747493
Abr12,3416.72083701
May12,3832.38481874
Jun12,3433.09255038
Jul12,3929.56580498
Ago12,3660.49377262
Sep12,3666.93076506
Oct12,3925.11415812
Nov12,3854.41964154
Dic12,3572.13980044
Ene13,4370.53560782
Feb13,3554.50846509999
Mar13,3498.03047378
Abr13,3800.20819942
May13,4076.18686241
Jun13,3719.12349512
Jul13,4045.27884398
Ago13,4227.56111715
Sep13,4083.43406347
Oct13,4207.2011367
Nov13,4043.67516099
Dic13,4193.67275863
Ene14,4940.07172470999
Feb14,3935.88544484
Mar14,3940.9090653
Abr14,4207.12510702
May14,4087.32959846
Jun14,3943.36886592
Jul14,4106.49749088
Ago14,4221.51573132
Sep14,4206.99374013
Oct14,4337.22526608
Nov14,4143.27882577
Dic14,4281.46799132
Ene15,4961.10921419
Feb15,3974.62065773
Mar15,4038.67137178
Abr15,3911.08464494
May15,4147.15486286792
Jun15,4267.95310039166
Jul15,4289.1220927
Ago15,4472.61099421691
Sep15,4293.88717780433
Oct15,4329.66397593572
Nov15,4428.05810824633
Dic15,4554.0454390777
Ene16,5006.22131904526
Feb16,4127.15652711071
Mar16,4124.60540736722
Abr16,4155.23039035095
May16,4134.14983104975
Jun16,4163.666671421
Jul16,4143.26156553484
Ago16,4579.27462945477
Sep16,4592.91889507035
Oct16,4592.10387399452
Nov16,4530.38188387804
Dic16,4543.51954672509
Ene17,5132.85399209161
Feb17,4189.32417889078
Mar17,4234.05818880454
Abr17,4129.09150570988
May17,4419.10004734155
Jun17,4215.53517353765
Jul17,4584.176330412
Ago17,4764.25195001717
Sep17,4476.98370719001
Oct17,4838.81561915621
Nov17,4815.71835775418
Dic17,4842.92791067516
Ene18,5517.97858738563
Feb18,4596.28119145138
Mar18,4587.86401405567
Abr18,4967.95918639544
May18,5077.39961840537
Jun18,4955.38452595339
Jul18,5185.78262443325
Ago18,4949.18959878991
Sep18,5049.51975551051
Oct18,5347.95073494211
Nov18,5261.65378638488
Dic18,5169.12558110341
Ene19,6227.11666685063
Feb19,4947.27555936877
Mar19,4643.2057875539
Abr19,5144.3702199279
May19,5232.0763887874
Jun19,5100.19497878445
Jul19,5133.47240031409
Ago19,5300.50725661404
Sep19,5403.09983156627
Oct19,5337.57887254712
Nov19,5445.83234449217
Dic19,5589.53359961538
Ene20,6391.5114638523
Feb20,4870.27443531319
Mar20,4199.87569766713
Abr20,3378.34057575235
May20,3225.17995149725
Jun20,3327.19492837964
Jul20,4041.39439625816
Ago20,4479.8737922216
Sep20,4857.98747091464
Oct20,5201.23146854119
Nov20,5424.22012570037
Dic20,5982.03250875465
Ene21,6343.68935769839
Feb21,5623.62889040241
Mar21,6093.31901173786
Abr21,5906.23701686361
May21,6022.13842667393
Jun21,6170.45704523255
Jul21,6235.37646632493
Ago21,7004.19434616157
Sep21,6863.42477416358
Oct21,6574.65900460798
Nov21,7487.68544568042
Dic21,7773.34921783416
Ene22,7837.87441521374
Feb22,6495.0821647087
Mar22,7036.72855060479
Abr22,6974.06714608068
May22,7517.51864947776
Jun22,6901.42689863794
Jul22,7087.80742435998
Ago22,8248.42538926695
Sep22,7878.46595897916
Oct22,7570.27737439949
Nov22,7704.98848629167
Dic22,7051.8799201167
Ene23,7937.21998619475
Feb23,6567.54297481807
Mar23,6907.6321761392
Abr23,6275.82608601752
