"Fecha","Gastos No Financieros"
Ago02,2360.117880811
Sep02,2492.97838696551
Oct02,2548.90953176084
Nov02,2497.13383482134
Dic02,3142.46337373487
Ene03,2089.62479350722
Feb03,2398.14157811495
Mar03,2286.9726121405
Abr03,2828.93348968616
May03,2382.85658956877
Jun03,2410.65545828222
Jul03,2926.87067846028
Ago03,2549.37737756071
Sep03,2400.11807205822
Oct03,2893.08359641843
Nov03,2474.16873895353
Dic03,3790.84733497959
Ene04,2010.54802761271
Feb04,2148.75891885049
Mar04,2621.91839970588
Abr04,2852.57606206204
May04,2525.06278179057
Jun04,2516.88855108633
Jul04,3327.51591805163
Ago04,2684.02482984723
Sep04,3102.29546040581
Oct04,2920.66518738537
Nov04,2999.67574037526
Dic04,4461.84239324592
Ene05,2164.42011512156
Feb05,2760.41612605905
Mar05,2705.47201968554
Abr05,2831.17241830519
May05,2871.67989884672
Jun05,2759.24235340671
Jul05,3530.84600677188
Ago05,2951.69714829257
Sep05,3336.81127668205
Oct05,3329.19149485755
Nov05,3244.76610663239
Dic05,5960.07688908278
Ene06,2468.78209255341
Feb06,2856.98948689232
Mar06,3289.08388993658
Abr06,3098.57384086379
May06,3440.54180001305
Jun06,3212.07080031781
Jul06,4210.22907135249
Ago06,3696.29932151964
Sep06,3641.677407805
Oct06,3605.29444923008
Nov06,3609.04847798626
Dic06,6199.36009010643
Ene07,2724.28893846018
Feb07,3381.82472812945
Mar07,3338.59277737003
Abr07,3468.88281650809
May07,3624.79531636685
Jun07,6512.8374033486
Jul07,4088.29172497849
Ago07,3733.86800628011
Sep07,3852.63472016649
Oct07,3886.62874851328
Nov07,4079.35755087759
Dic07,7645.85293533649
Ene08,3260.3632704552
Feb08,3760.19407194814
Mar08,3661.71913474093
Abr08,4060.33006201642
May08,4166.60105149321
Jun08,4239.24676852671
Jul08,7201.80627332909
Ago08,6184.2376081305
Sep08,4183.46864769562
Oct08,4645.51487884283
Nov08,3724.01626023527
Dic08,6332.3999382911
Ene09,2687.74320014491
Feb09,3994.61243194788
Mar09,4271.78053997851
Abr09,4925.32458885778
May09,4389.48671799796
Jun09,4574.57854467566
Jul09,8053.49400407763
Ago09,4992.82071359873
Sep09,4602.19324319394
Oct09,5251.53036599715
Nov09,5313.90913949045
Dic09,9170.3891447539
Ene10,4257.56063685989
Feb10,4853.90478958735
Mar10,5520.30028979223
Abr10,6463.08387544134
May10,4992.466535767
Jun10,5163.4085348452
Jul10,7644.3607034112
Ago10,5126.048515146
Sep10,5754.0254556749
Oct10,5804.6085929402
Nov10,6511.5736337136
Dic10,8569.6774749246
Ene11,4687.29022788671
Feb11,4841.44252774566
Mar11,6163.8081625506
Abr11,5268.2313831982
May11,5672.5546669526
Jun11,10329.9517897532
Jul11,6984.0992956666
Ago11,5583.3271658134
Sep11,5912.1870055338
Oct11,5962.0611454147
Nov11,6398.2005486893
Dic11,10977.26995699
Ene12,4339.9984182328
Feb12,5814.49883193594
Mar12,5873.64566568
Abr12,5529.38071789846
May12,5970.11934904631
Jun12,6492.23214047097
Jul12,10663.9887814514
Ago12,6909.12368926783
Sep12,6483.40143576772
Oct12,7480.53092546921
Nov12,7034.25120248
Dic12,13141.6650281514
Ene13,4880.70476675
Feb13,6127.19198358
Mar13,6568.35092993
Abr13,7297.5050462
May13,6617.15056368
Jun13,6954.14039384
Jul13,12692.3050177854
Ago13,6834.06066518751
Sep13,7031.6122401797
Oct13,7908.31854324892
Nov13,7642.8927233019
Dic13,15224.45067095
Ene14,5773.90106443916
Feb14,6535.63767866197
Mar14,8282.56518509147
Abr14,7452.36768563533
May14,7053.41741856337
Jun14,9713.59486164542
Jul14,9749.82587689432
Ago14,8186.55087102336
Sep14,7671.35844661749
Oct14,8991.06098139565
Nov14,8239.87084822192
Dic14,18962.1716979968
Ene15,6058.52872933471
Feb15,6703.73275103594
Mar15,7586.81018260993
Abr15,8110.60931393381
May15,8116.92859474684
Jun15,8740.47097743553
Jul15,10607.8077985199
Ago15,8402.6409698731
Sep15,8844.81880764917
Oct15,9985.00637913625
Nov15,9778.83473681457
Dic15,20174.4146667949
Ene16,5827.41981930837
Feb16,7209.99302743595
Mar16,8841.75196111751
Abr16,8415.31955822518
May16,8334.94618842654
Jun16,8150.30674862498
Jul16,10308.0733332799
Ago16,8667.01296958449
Sep16,8576.22683214736
Oct16,8782.68422815717
Nov16,9067.58731741862
Dic16,17459.6694792685
Ene17,7088.69524863523
Feb17,6814.46160669414
Mar17,8639.65696177359
Abr17,8986.44001999526
May17,9403.3167902877
Jun17,8841.68456429162
Jul17,10507.0527241552
Ago17,10075.8486595214
Sep17,10190.4050379528
Oct17,10840.2793888342
Nov17,10016.9441380307
Dic17,19314.0369267979
Ene18,7024.08904135134
Feb18,8227.01362577375
Mar18,9749.27197989138
Abr18,9753.82310499
May18,8772.17430515885
Jun18,9989.04356580421
Jul18,13502.2257791938
Ago18,9145.29101743648
Sep18,9945.88765158349
Oct18,11863.811315617
Nov18,10823.7048416137
Dic18,17620.4054908189
Ene19,7266.22203257128
Feb19,10215.574233291
Mar19,9283.9359901539
Abr19,10227.2674864541
May19,10616.3337690268
Jun19,10831.7650399521
Jul19,12637.6619603642
Ago19,10531.9368486297
Sep19,9958.568049181
Oct19,12409.5591077208
Nov19,11451.0740423975
Dic19,19844.3743157594
Ene20,9335.8232953265
Feb20,8432.36730975959
Mar20,12342.4506595752
Abr20,11316.8128095918
May20,10137.5032388784
Jun20,9071.25946151567
Jul20,16782.7191123547
Ago20,12962.960515869
Sep20,14605.5830932474
Oct20,17376.0447434388
Nov20,14627.5775317901
Dic20,26594.3458654628
Ene21,10371.5383930825
Feb21,12568.9068511101
Mar21,14187.0883460497
Abr21,13261.3704822409
May21,11808.7922799935
Jun21,12693.0739379255
Jul21,14338.7739965207
Ago21,12286.6342607019
Sep21,16644.0108786253
Oct21,16287.4925169219
Nov21,14010.1414672633
Dic21,27443.0105862348
Ene22,12381.45990016
Feb22,10419.51228131
Mar22,12779.16891798
Abr22,14855.21177401
May22,13425.84566511
Jun22,13265.37622772
Jul22,19357.61908342
Ago22,16004.37990947
Sep22,14003.54431396
Oct22,17267.7585681027
Nov22,15858.8094895836
Dic22,26979.7190535755
Ene23,14030.8032890367
Feb23,11744.5638377004
Mar23,14488.2507002712
Abr23,13790.8480450437
