,horadormir19,horalevantar19,horassueno19,satis19,fisicos19,mental19,prom19,horadormir21,horalevantar21,horassueno21,satis21,fisicos21,mental21,prom21,,cred19,cred21
,22,5,6.5,Buena,Dolores de cabeza,Estrés,14.66,1,9,8.16,Buena,Dolores de cabeza,Ansiedad,14.7,,19,24
,22,4,6.12,Media,Dolores de cabeza,Ansiedad,13.54,1,8,7.36,Media,Gastritis,Estrés,18.42,,22,19
,1,8,7.28,Media,Dolores de cabeza,Depresión,15.01,2,9,7.03,Media,Dolores de cabeza,Estrés,16.43,,18,17
,22,5,6.74,Mala,Dolores de cabeza,Estrés,10.86,24,9,9.03,Buena,Lesiones musculares,Depresión,17.4,,18,22
,22,5,7.09,Media,Gastritis,N.A,16.01,24,9,9.99,Buena,Lesiones musculares,N.A,15.88,,15,20
,23,6,6.66,Buena,Gastritis,Ansiedad,12.85,23,7,8.3,Buena,Dolores de cabeza,Depresión,18.15,,21,17
,23,6,6.77,Media,Lesiones musculares,Estrés,17.46,2,7,4.83,Mala,Lesiones musculares,Ansiedad,12.53,,23,19
,22,5,7.02,Buena,Gastritis,Depresión,16.73,23,9,9.84,Buena,Gastritis,Depresión,15.48,,19,19
,22,3,4.19,Mala,Lesiones musculares,Estrés,15.73,1,8,6.87,Buena,Lesiones musculares,Depresión,16.12,,17,21
,23,7,7.72,Buena,Dolores de cabeza,Ansiedad,17.75,24,7,7.18,Media,Dolores de cabeza,Ansiedad,16.68,,19,17
,24,3,2.89,Mala,N.A,Estrés,13.5,2,8,5.94,Buena,Lesiones musculares,Ansiedad,15.97,,20,19
,23,4,4.94,Media,N.A,Estrés,14.08,2,5,2.72,Mala,Gastritis,Ansiedad,17.91,,23,23
,22,3,4.56,Media,N.A,Estrés,16.34,1,9,7.79,Buena,Lesiones musculares,Depresión,17.66,,18,20
,20,7,10.23,Media,Dolores de cabeza,Estrés,13.88,1,8,7.1,Media,N.A,Ansiedad,15.56,,18,21
,24,7,7.27,Media,Lesiones musculares,Trastornos alimenticios,18.42,3,9,6.32,Mala,Dolores de cabeza,Trastornos alimenticios,16.7,,20,20
,20,3,5.79,Media,Gastritis,N.A,13.3,23,6,7.27,Buena,Lesiones musculares,Ansiedad,17.41,,19,19
,21,3,5.95,Buena,N.A,N.A,15.75,1,7,5.86,Media,Dolores de cabeza,Estrés,17.12,,20,21
,23,5,5.13,Media,Dolores de cabeza,N.A,13.91,2,8,5.96,Media,Lesiones musculares,Depresión,16.24,,20,20
,23,6,6.95,Media,Dolores de cabeza,Estrés,15.64,2,7,4.71,Mala,Dolores de cabeza,Depresión,14.46,,22,21
,23,6,7.12,Buena,N.A,Estrés,13.28,24,8,8.11,Media,Lesiones musculares,Ansiedad,13.61,,23,18
,23,6,5.54,Buena,Dolores de cabeza,Estrés,14.95,1,10,8.58,Buena,Lesiones musculares,Depresión,16.38,,21,21
,23,3,3.91,Media,N.A,Estrés,12.27,2,6,4.45,Mala,Dolores de cabeza,Depresión,16.33,,22,20
,23,6,6.68,Media,Dolores de cabeza,Estrés,16.05,1,7,6.29,Media,Dolores de cabeza,Depresión,17.76,,18,20
,21,4,6.44,Mala,Gastritis,Estrés,10.51,24,8,8.18,Buena,N.A,Depresión,15.9,,20,20
,23,8,9.2,Buena,Gastritis,N.A,17.65,23,8,8.75,Buena,Gastritis,N.A,18.07,,17,23
,23,4,5.5,Media,Gastritis,Depresión,15.57,23,7,7.78,Buena,Lesiones musculares,Ansiedad,16.37,,20,20
,23,8,9.27,Buena,Lesiones musculares,Estrés,13.68,2,8,5.63,Mala,Dolores de cabeza,Trastornos alimenticios,15.73,,21,21
,23,6,6.87,Buena,Lesiones musculares,Estrés,10.64,1,8,6.75,Media,Lesiones musculares,Estrés,13.07,,17,17
,21,3,4.34,Media,N.A,Depresión,11.77,1,9,8.03,Buena,Dolores de cabeza,Ansiedad,17.54,,21,21
,23,4,4.82,Media,N.A,Estrés,12.32,1,7,6.5,Mala,Lesiones musculares,Depresión,14.15,,18,18
,1,8,3.8,Buena,Dolores de cabeza,Ansiedad,11.89,2,10,7.07,Mala,Gastritis,Depresión,10.58,,16,18
,23,4,3.66,Mala,Gastritis,Estrés,14.34,24,5,5.16,Mala,N.A,Ansiedad,17.37,,21,21
,21,3,4.54,Mala,Gastritis,Depresión,12.56,23,8,8.54,Buena,Gastritis,Ansiedad,15.22,,19,19
,20,6,7.99,Buena,N.A,N.A,18.44,2,6,3.62,Buena,N.A,N.A,17.62,,20,20
,24,6,6.03,Buena,Lesiones musculares,Depresión,17.29,24,6,5.75,Buena,Lesiones musculares,Depresión,16.85,,21,21
,2,8,6.31,Buena,Dolores de cabeza,Depresión,16.16,24,8,8.22,Media,Dolores de cabeza,Estrés,15.17,,20,16
,22,3,4.55,Media,Dolores de cabeza,Depresión,14.68,1,8,6.73,Buena,N.A,Depresión,15.23,,21,21
,23,5,5.57,Buena,Gastritis,N.A,10.65,23,7,8.33,Buena,Lesiones musculares,Estrés,15.74,,20,20
,24,5,5.46,Buena,Dolores de cabeza,Depresión,14.03,24,9,8.9,Buena,Lesiones musculares,Depresión,15.02,,22,20
,20,3,5.66,Mala,Dolores de cabeza,Estrés,14.66,2,10,7.77,Buena,Lesiones musculares,Ansiedad,18.38,,19,19
,23,7,9.39,Buena,N.A,N.A,17.12,24,7,6.59,Media,Gastritis,Ansiedad,15.62,,18,15
,22,4,6.19,Buena,N.A,Estrés,14.01,1,7,5.75,Media,Gastritis,Depresión,16.1,,20,20
,23,6,7.36,Buena,N.A,N.A,13.54,2,10,7.74,Buena,Lesiones musculares,Depresión,16.19,,19,20
,23,7,7.78,Buena,N.A,N.A,13.17,23,9,9.82,Buena,Lesiones musculares,Depresión,15.29,,21,21
,23,4,4.97,Mala,Gastritis,Ansiedad,13.47,1,8,7.49,Media,Lesiones musculares,Ansiedad,16.34,,20,21
,22,3,3.51,Mala,Lesiones musculares,Estrés,14.33,24,7,5.51,Buena,Gastritis,Estrés,15.9,,21,21
,22,5,7.11,Media,Dolores de cabeza,N.A,10.86,2,10,8.19,Buena,Gastritis,Depresión,16.1,,21,21
,23,7,8.43,Buena,N.A,Estrés,12.55,24,7,7.56,Buena,N.A,N.A,15.44,,19,16
,23,4,4.55,Buena,Gastritis,Depresión,18.28,1,6,4.97,Mala,Lesiones musculares,Ansiedad,18.48,,19,19
,23,5,3.94,Mala,Gastritis,Ansiedad,15.18,2,9,7.36,Buena,Lesiones musculares,Depresión,16.39,,17,19
,20,3,5.04,Media,Lesiones musculares,Estrés,15.6,23,7,7.68,Buena,Dolores de cabeza,Depresión,16.42,,20,21
,23,5,6.4,Mala,Gastritis,Ansiedad,12.14,24,9,9.06,Buena,Lesiones musculares,Depresión,16.02,,20,17
,23,6,6.4,Buena,Dolores de cabeza,Depresión,15.77,2,8,6.33,Media,Dolores de cabeza,Estrés,18.07,,18,18
,22,4,5.89,Mala,Gastritis,Ansiedad,12.99,1,9,7.57,Buena,Gastritis,Depresión,16.24,,18,20
,24,6,6.4,Media,Gastritis,Estrés,14.28,23,8,8.81,Buena,Gastritis,Ansiedad,16.74,,18,18
,21,3,5.68,Media,Gastritis,N.A,13.21,1,6,5.34,Mala,Dolores de cabeza,Estrés,13.56,,19,16
,21,3,4.69,Media,Dolores de cabeza,Depresión,13.86,1,7,6.36,Media,Dolores de cabeza,Depresión,15.66,,19,19
,22,5,6.69,Mala,Gastritis,Ansiedad,13.26,1,9,8.26,Buena,Gastritis,Depresión,17.98,,15,16
,24,7,6.96,Media,Dolores de cabeza,Estrés,14.5,1,8,7.24,Buena,Dolores de cabeza,Estrés,16.23,,18,20
,23,4,5.48,Media,N.A,Estrés,12.97,24,8,7.59,Buena,Gastritis,Ansiedad,15.88,,16,16
,22,4,6.17,Buena,Dolores de cabeza,N.A,15.43,1,9,8.06,Buena,N.A,Depresión,17.41,,16,18
,1,6,4.78,Media,Dolores de cabeza,Estrés,17.21,23,8,9.5,Media,Dolores de cabeza,Estrés,17.23,,23,21
,21,3,5.86,Mala,Gastritis,Estrés,13.73,23,7,7.83,Buena,Gastritis,Estrés,15.9,,15,15
,1,5,3.61,Mala,N.A,Ansiedad,12.35,24,9,9.28,Buena,Lesiones musculares,Depresión,17.77,,17,22
,20,3,7.43,Media,N.A,Depresión,11.6,1,8,6.66,Buena,Dolores de cabeza,Depresión,16.48,,20,20
,24,6,7.14,Media,Dolores de cabeza,Estrés,12.04,2,8,5.79,Mala,Lesiones musculares,Ansiedad,13.66,,19,19
,23,5,6.23,Mala,Gastritis,Estrés,14.42,23,9,9.5,Buena,Dolores de cabeza,N.A,15.29,,19,24
,20,3,6.22,Mala,Dolores de cabeza,Depresión,13.2,1,10,9.32,Buena,N.A,Estrés,15.6,,19,19
,1,4,3.07,Mala,N.A,Estrés,12.21,24,8,8.1,Buena,Gastritis,Depresión,16.79,,23,20
,23,3,4.17,Media,Lesiones musculares,N.A,13.08,23,7,8.22,Buena,N.A,Depresión,14.45,,21,21
,22,4,5.54,Buena,Lesiones musculares,Depresión,13.8,2,8,6.31,Media,N.A,Depresión,14.85,,20,22
,23,7,8.21,Media,N.A,Ansiedad,13.44,2,8,6.03,Media,Dolores de cabeza,Estrés,14.62,,20,18
,23,6,6.48,Buena,Gastritis,Estrés,14.53,24,8,7.89,Buena,Gastritis,Depresión,16.81,,20,20
,22,4,5.89,Mala,Gastritis,Ansiedad,12.97,1,9,8.09,Buena,Lesiones musculares,Depresión,16.22,,18,19
,23,5,6.25,Media,Gastritis,Trastornos alimenticios,13.17,22,6,7.85,Buena,N.A,Estrés,14.8,,22,20
,23,6,6.75,Media,Gastritis,N.A,15.88,1,10,9,Buena,Gastritis,Estrés,17.81,,20,21
,22,4,6.47,Media,N.A,N.A,16.56,1,7,5.75,Media,Gastritis,Depresión,15.27,,20,22
,23,4,5.21,Mala,Gastritis,N.A,13.9,2,6,4.82,Mala,Gastritis,Depresión,15.2,,22,23
,24,5,5.43,Mala,Lesiones musculares,Ansiedad,12.93,1,9,8.17,Buena,Gastritis,Depresión,16.04,,18,17
,23,4,5.2,Media,N.A,Ansiedad,13.81,1,9,7.9,Buena,Gastritis,Depresión,16.26,,22,21
,23,5,5.11,Media,Gastritis,N.A,12.8,1,9,7.91,Buena,Gastritis,Ansiedad,15.2,,17,17
,23,5,6.02,Media,N.A,N.A,11.45,23,5,6.14,Mala,Dolores de cabeza,Depresión,15.25,,23,19
,24,5,5.43,Media,Gastritis,Estrés,10.81,1,10,9.09,Buena,Lesiones musculares,Estrés,17.55,,15,19
,1,6,5.3,Media,Gastritis,Trastornos alimenticios,16.22,1,8,7.32,Media,Dolores de cabeza,Ansiedad,15.1,,21,18
,22,4,5.7,Mala,N.A,Ansiedad,14.24,24,9,9.29,Buena,Lesiones musculares,Depresión,15.79,,21,20
,24,7,7.24,Buena,Dolores de cabeza,Depresión,16.49,2,8,8.56,Media,Dolores de cabeza,Ansiedad,17.83,,16,18
,24,5,5.11,Media,Gastritis,Estrés,15.62,23,6,7.27,Buena,Dolores de cabeza,Depresión,14.62,,20,18
,23,4,4.95,Mala,Gastritis,Ansiedad,12.54,24,8,8.5,Buena,Lesiones musculares,Depresión,15.68,,19,22
,1,8,7.4,Media,Dolores de cabeza,Ansiedad,18.5,1,9,8.23,Media,N.A,Estrés,17.57,,20,21
,21,3,5.55,Buena,N.A,Estrés,12.73,1,8,7.69,Buena,N.A,Depresión,16.19,,19,19
,24,7,7.38,Media,Dolores de cabeza,Ansiedad,11.72,24,6,7.97,Buena,Dolores de cabeza,Estrés,13.55,,22,19
,23,7,8.46,Buena,N.A,Depresión,14.02,3,11,8.4,Mala,Lesiones musculares,Estrés,13.99,,20,23
,24,5,4.72,Mala,Gastritis,Ansiedad,12.6,1,9,8.42,Buena,Gastritis,Depresión,15.5,,20,20
,24,7,7.34,Media,N.A,N.A,18.38,1,9,8.22,Buena,Dolores de cabeza,Estrés,16.51,,23,20
,21,4,7.12,Media,Gastritis,Depresión,17.29,24,7,7.07,Media,N.A,Estrés,17.69,,21,15
,23,4,4.92,Mala,Gastritis,Estrés,12.69,1,9,7.73,Buena,Gastritis,Depresión,16.25,,17,22
,24,6,6.24,Buena,N.A,N.A,13.89,24,6,5.9,Mala,N.A,N.A,13.59,,19,19
,20,7,9.22,Media,Dolores de cabeza,Estrés,14.19,2,10,7.74,Buena,Lesiones musculares,Ansiedad,16.77,,17,17
,23,4,4.8,Mala,Gastritis,Ansiedad,13.31,1,9,8.04,Buena,Gastritis,Depresión,16.44,,18,21
,24,6,5.69,Media,Dolores de cabeza,Depresión,14.69,24,7,7.23,Buena,N.A,Ansiedad,15.27,,20,21
,24,7,6.68,Buena,Lesiones musculares,Estrés,18.08,23,9,10.05,Buena,Lesiones musculares,Estrés,18.15,,20,16
,1,6,5.32,Buena,Gastritis,Ansiedad,13.06,2,6,4.36,Buena,Dolores de cabeza,Estrés,15.24,,20,20
,23,5,5.7,Media,Gastritis,Depresión,13.34,24,9,8.64,Media,Gastritis,Ansiedad,14.83,,18,19
,24,7,7.3,Buena,Gastritis,Estrés,13.31,2,7,5.04,Mala,Gastritis,Ansiedad,16.5,,22,21
,20,5,9.1,Media,Dolores de cabeza,Depresión,16.15,1,7,6.17,Buena,Gastritis,Estrés,14.97,,22,22
,22,3,5.29,Mala,N.A,N.A,14.72,2,9,7.01,Media,Lesiones musculares,Depresión,17.41,,18,17
,21,6,9.44,Media,N.A,N.A,11.5,1,8,7.03,Buena,N.A,Ansiedad,18.29,,18,18
,22,4,6.48,Media,Gastritis,Depresión,12.22,1,9,8.38,Buena,Lesiones musculares,Depresión,16.45,,16,16
,24,4,3.98,Mala,N.A,Ansiedad,15.21,23,7,8.45,Buena,Gastritis,Depresión,14.88,,23,23
,23,5,6.43,Media,Gastritis,N.A,12.92,1,9,8.38,Buena,Dolores de cabeza,Estrés,14.29,,19,19
,22,4,6.08,Buena,Gastritis,Ansiedad,11.41,2,7,4.94,Mala,Gastritis,Depresión,18.37,,20,20
,23,5,6.08,Buena,Dolores de cabeza,Ansiedad,16.33,1,7,5.89,Buena,Lesiones musculares,Estrés,15.9,,20,20
,23,5,4.88,Mala,Gastritis,Estrés,13.66,2,10,8.45,Buena,Gastritis,Estrés,16.99,,18,18
,22,5,7.06,Media,N.A,Ansiedad,14.64,23,7,7.87,Mala,Lesiones musculares,Estrés,16.29,,22,22
,22,5,6.68,Media,Gastritis,N.A,15.49,1,8,7.46,Media,Lesiones musculares,Ansiedad,17.65,,20,19
,20,3,4.81,Media,Gastritis,Estrés,15.4,1,8,7.13,Media,Lesiones musculares,Depresión,14.63,,18,18
,22,5,6.83,Buena,N.A,Estrés,12.97,24,6,6.1,Media,Lesiones musculares,Depresión,16.27,,21,20
,22,5,7.31,Media,Dolores de cabeza,Estrés,13.59,23,6,6.61,Buena,Gastritis,Depresión,17.48,,18,22
,20,3,7.44,Media,Gastritis,N.A,15.79,23,8,9.41,Media,Lesiones musculares,Estrés,15.66,,19,20
,22,5,5.72,Media,Gastritis,Ansiedad,15.14,2,9,7.36,Buena,Lesiones musculares,Depresión,16.06,,22,22
,23,5,5.52,Media,Gastritis,Ansiedad,15.23,1,9,7.74,Buena,Dolores de cabeza,Depresión,15.37,,20,22
