Seguidor,Genero,Edad,Seguimiento,GrupoFav,Genero_Grupo,FanClub,Campo de Marte,Fiestas ,Cines,Cafe,CentroComercial,Alameda28,No asiste,television,PaginasWeb,Redes,youtube,radio,circulo,paneles,Tiempo_dedicado,Peluches,Albumes,PhotoCards,CD,Ropa,Ligthstick,otro_produc,Presupuesto_prod,Tiendas_f,Tiendas_l,Importancia,Exclusion,Contenido_m,Personalidad_i,Atracción_i,Influencia_t,Tranquilidad,Alegría,Felicidad,Reconfortante,Comprensión,Tristeza,Asombro,otro_senti
Sí,Femenino,23,5,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,2,no,si,no,si,no,no,no,20,no,si,4,Sí,si,si,no,no,si,si,no,no,no,no,no,no
Sí,Masculino,18,1,Twice,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,no,no,no,no,no,no,no,20,si,no,2,No,si,no,no,no,no,si,no,no,no,no,no,no
Sí,Femenino,20,3,BTS,Masculino,Si,no,si,no,no,no,no,no,no,no,si,no,no,no,no,2,si,si,no,si,no,no,no,200,si,no,4,No,si,no,no,no,si,no,si,no,no,no,no,no
Sí,Femenino,17,10,StrayKids,Femenino,Si,no,no,no,no,no,no,si,no,si,no,no,si,no,no,6,no,no,si,no,no,no,no,4,si,si,5,No,no,no,no,no,no,no,no,no,si,no,no,no
Sí,Masculino,20,5,Day6,Masculino,No,no,no,no,no,no,no,si,no,no,no,si,no,no,no,1,no,no,no,si,no,no,no,20,no,si,2,No,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Femenino,21,12,Ikon,Masculino,Si,si,no,no,no,no,no,n,no,no,si,si,no,no,no,5,no,no,si,no,no,si,no,100,no,si,5,Sí,si,si,si,no,no,si,si,si,no,no,no,no
Sí,Masculino,20,5,Ikon,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,2,si,no,no,no,no,no,no,40,no,si,5,Sí,si,no,no,no,si,no,no,no,no,no,no,no
Sí,Masculino,20,1,BlackPink,Femenino,No,no,no,no,no,no,si,no,no,no,si,no,si,si,no,1,no,no,no,si,no,no,no,20,si,no,2,No,si,si,no,no,si,no,no,no,no,no,no,no
Sí,Femenino,20,1,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,si,no,no,no,no,no,no,5,no,si,1,No,si,no,no,no,no,si,no,no,no,no,no,no
Sí,Femenino,17,4,BTS,Masculino,No,no,no,si,no,no,si,no,no,si,si,si,no,si,no,2,si,si,si,si,si,si,no,50,no,si,5,Sí,si,si,no,no,si,si,si,si,si,no,si,no
Sí,Masculino,19,2,BTS,Masculino,No,no,no,no,no,no,no,si,no,si,si,no,no,no,no,1,no,no,si,no,no,no,no,50,no,si,3,No,si,no,no,no,no,si,si,no,no,no,no,no
Sí,Masculino,21,3,BTS,Masculino,No,si,no,no,no,no,no,no,no,si,si,no,no,no,no,0,no,no,no,si,no,no,no,10,no,si,4,No,no,si,no,no,no,no,si,no,no,no,no,no
Sí,Masculino,19,2,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,no,si,no,no,no,1,no,no,no,no,si,no,no,100,no,si,2,No,si,no,no,no,no,no,si,no,no,no,si,no
Sí,Masculino,24,1,BTS,Femenino,Si,si,no,no,no,no,no,no,no,no,no,si,no,no,no,2,no,no,si,no,no,no,no,15,si,no,4,Sí,si,no,no,no,no,no,si,no,no,no,no,no
Sí,Femenino,22,5,Shinee,Masculino,No,no,no,no,no,no,no,si,no,no,no,si,no,no,no,1,no,no,no,si,no,no,no,50,no,si,2,No,si,no,no,no,no,si,no,no,no,no,no,no
Sí,Masculino,21,8,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,no,si,no,no,no,1,si,no,no,no,no,no,no,50,no,si,3,No,si,no,no,no,no,si,no,no,no,no,no,no
Sí,Femenino,21,16,BTS,Masculino,Si,no,si,no,no,no,no,no,si,no,si,si,no,si,no,5,no,si,no,si,no,no,no,1000,si,si,5,No,si,si,si,no,si,si,si,no,no,no,no,no
Sí,Masculino,20,2,BigBang,Masculino,No,no,no,no,no,si,no,no,no,no,si,si,no,no,no,1,no,si,si,no,si,no,no,60,si,no,4,No,si,si,no,no,no,si,no,si,si,no,no,no
Sí,Femenino,20,4,BTS,Masculino,Si,si,no,no,no,si,si,no,no,si,si,no,no,si,no,2,si,si,si,no,no,no,no,50,si,si,4,Sí,no,si,no,si,no,no,si,no,no,no,no,no
Sí,Masculino,20,6,BTS,Masculino,No,si,si,no,no,si,no,no,no,no,si,no,no,no,no,2,no,no,no,no,si,no,no,200,si,no,4,Sí,no,si,no,no,no,no,si,no,no,no,no,no
Sí,Masculino,18,6,BlackPink,Femenino,No,no,no,no,no,no,no,si,no,no,si,si,no,no,no,1,si,si,si,no,no,no,no,100,si,no,4,Sí,no,si,no,no,si,no,si,si,no,no,no,no
Sí,Masculino,20,2,BTS,Masculino,No,no,no,no,no,no,no,si,no,no,si,no,no,no,no,1,no,si,no,no,no,no,no,20,si,si,4,No,si,no,no,no,si,si,si,no,no,no,si,no
