Marca temporal,¿Con qué género te identificas?,¿Cuál es tu edad?  (Ejemplo: 19),¿Cuál es la carrera que estudias en UTEC?,"¿Qué número de ciclo estas cursando en el 2023-1?  (Ejemplo: 3, 4, 5)",¿Cuánto fue tu promedio ponderado en el ciclo 2022 - 1? (Ejemplo: 15.4),¿Cuánto fue tu promedio ponderado en el ciclo 2022 - 2? (Ejemplo: 16.5),¿Cuánto fue tu peso en kilogramos en el ciclo 2022-1? (Ejemplo: 52.5),¿Cuánto fue tu peso en kilogramos en el ciclo 2022-2?  (Ejemplo: 51.5),"¿Cuánto fue tu estatura en el ciclo 2022-1? (Colocar en metros, ejemplo: 1.62)",¿Cuánto fue tu tu estatura en el ciclo 2022-2? (Colocar en metros. Ejemplo: 1.62),¿Cómo consideras que fueron tus hábitos alimenticios en el ciclo 2022-1?,¿Cómo consideras que fueron tus hábitos alimenticios en el ciclo 2022-2? ,¿Cuántas veces al día comías en el ciclo 2022-1?,¿Cuántas veces al día comías en el ciclo 2022-2?,¿Cuántas porciones de frutas y/o verduras consumías al día en el ciclo 2022 - 1?,¿Cuántas porciones de frutas y/o verduras consumías al día en el ciclo 2022 - 2?,"¿Cuántas porciones de carbohidratos consumías al día en el ciclo 2022 - 1?  (arroz, pastas, legumbres, cereales, etc)","¿Cuántas porciones de carbohidratos consumías al día en el ciclo 2022 - 2?  (arroz, pastas, legumbres, cereales, etc)","¿Con qué frecuencia consumes bebidas alcohólicas? 
1. No consumo
2. Poco consumo
3. Consumo regular","¿Con qué frecuencia consumes energizantes y/o bebidas gasificadas? 
1. No consumo
2. Consumo muy poco (casi nada)
3. Consumo a veces
4. Consumo regularmente
5. Consumo casi siempre o siempre",¿Cuántas veces a la semana consumías comida rápida en el 2022 - 1?,¿Cuántas veces a la semana consumías comida rápida en el 2022 - 2?,"¿Cuántas horas en promedio a la semana realizabas alguna actividad física durante el ciclo 2022 - 1? (Ejemplo: 6.5 , 7.2 , 8.5)","¿Cuántas horas en promedio a la semana realizabas alguna actividad física durante el ciclo 2022 - 2? (Ejemplo: 6.5 , 7.2 , 8.5)","¿Cuántas horas en promedio aproximadamente dormías de lunes a sábado en el ciclo 2022 - 1? (Ejemplo: 6.5 , 7.2 , 8.5)","¿Cuántas horas en promedio aproximadamente dormías de lunes a sábado en el ciclo 2022 - 2?  (Ejemplo: 6.5 , 7.2 , 8.5)"
28/04/2023 21:51:36,Femenino,18,Ciencia de la computación,3,15.6,15.3,72.5,70.4,1.69,1.70,Bueno,Malo,3 veces al día,2 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,3 veces al día,1 vez al día,1,1,No consumía,1 - 2,0,0,9,6
29/04/2023 0:07:55,Masculino,20,Ingeniería Mecánica,2,15.2,16.5,65.5,72.4,1.67,1.68,Regular,Regular,3 veces al día,3 veces al día,2 veces al día,1 vez al día,3 veces al día,2 veces al día,1,3,1 - 2,1 - 2,6.4,6.4,5.4,5.6
29/04/2023 0:10:52,Femenino,24,Ingeniería Civil,5,15.8,14.9,59.5,58.1,1.62,1.62,Regular,Bueno,4 veces al día,4 veces al día,2 veces al día,1 vez al día,2 veces al día,3 veces al día,2,5,No consumía,1 - 2,4.2,4.2,7.2,7.2
29/04/2023 0:12:38,Masculino,21,Ciencia de la computación,3,17,17.5,69,67,1.72,1.72,Malo,Malo,2 veces al día,3 veces al día,1 vez al día,1 vez al día,2 veces al día,2 veces al día,2,2,3 - 4,3 - 4,1,1,4.5,4.5
29/04/2023 10:42:36,Masculino,19,Ingeniería Industrial,4,11,15,80.5,76,1.70,1.75,Regular,Regular,3 veces al día,3 veces al día,2 veces al día,2 veces al día,3 veces al día,3 veces al día,2,3,No consumía,No consumía,6,6,6,6
29/04/2023 11:01:49,Masculino,18,Ingeniería Mecatrónica,3,15.5,16.7,68,70.5,1.65,1.65,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,1 vez al día,2 veces al día,3 veces al día,2,4,1 - 2,No consumía,2.5,0,6,6.5
29/04/2023 11:04:08,Masculino,21,Ingeniería Química,5,13.7,14.3,72,75.5,1.77,1.77,Bueno,Regular,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,2 veces al día,1 vez al día,1,4,No consumía,1 - 2,0,2.5,7.5,7
29/04/2023 11:06:22,Masculino,20,Ingeniería Civil,3,17.5,17,67.5,70,1.66,1.66,Bueno,Regular,3 veces al día,4 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,2 veces al día,1 vez al día,2,3,No consumía,3 - 4,2,0,7,7
29/04/2023 11:08:55,Femenino,18,Bioingeniería,4,14.5,16,58.5,60,1.63,1.63,Bueno,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,1 - 2,1.5,0,8,7.5
29/04/2023 11:26:16,Masculino,20,Ingeniería Mecánica,3,16.4,15,75,70.5,1.70,1.70,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,2 veces al día,1 vez al día,2,1,3 - 4,1 - 2,0,1,8,7
30/04/2023 10:01:08,Masculino,18,Ingeniería Industrial,5,13.4,14,72.5,77.5,1.68,1.68,Bueno,Regular,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,3,No consumía,1 - 2,7,7.5,2,0
30/04/2023 10:03:35,Masculino,20,Ingeniería Mecánica,3,11.68,15.64,94.56,87.63,1.69,1.71,Regular,Malo,2 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,3 veces al día,2 veces al día,2,3,No consumía,No consumía,2.1,3.0,5.5,6.5
30/04/2023 10:03:58,Femenino,22,Bioingeniería,6,12.5,14.5,66.5,64,1.68,1.68,Regular,Bueno,4 veces al día,3 veces al día,1 vez al día,2 veces al día,1 vez al día,1 vez al día,1,1,1 - 2,No consumía,1,2,6.5,7.2
30/04/2023 10:07:48,Masculino,18,Ingeniería Química,3,16.5,15.5,65,65.5,1.60,1.61,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,4,3 - 4,No consumía,0,2.5,7.5,7.5
30/04/2023 10:11:46,Masculino,20,Ingeniería Industrial,3,15.7,13.5,63.5,67.5,1.68,1.68,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,3 veces al día,1 vez al día,1 vez al día,1,3,1 - 2,No consumía,0,2.5,7.5,7
30/04/2023 10:14:03,Masculino,19,Ingeniería Ambiental,4,12.5,13.2,70,68.5,1.70,1.70,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,3 veces al día,1 vez al día,2 veces al día,1,3,1 - 2,No consumía,0,1,7,7.5
30/04/2023 10:18:41,Masculino,19,Ingeniería Ambiental,3,12.3,13.4,78.5,75.5,1.70,1.70,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,2 veces al día,2,2,1 - 2,No consumía,0,0.5,7.5,7
30/04/2023 10:49:33,Femenino,18,Ingeniería Electrónica,4,12.3,13.5,62,63,1.65,1.65,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,2 veces al día,3 veces al día,1,2,1 - 2,1 - 2,2,2.5,7,7.5
30/04/2023 10:51:11,Femenino,19,Ingeniería Civil,3,16.7,14.5,68.5,66,1.65,1.65,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,3 veces al día,2 veces al día,2 veces al día,1,2,1 - 2,No consumía,0,1.5,6,6.5
30/04/2023 10:53:31,Masculino,18,Bioingeniería,3,15.4,14.5,62.5,60,1.63,1.63,Bueno,Bueno,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,2 veces al día,3 veces al día,1,1,1 - 2,No consumía,0,0,7,7.5
30/04/2023 14:42:36,Masculino,23,Ingeniería Electrónica,4,11.89,16.75,55,58,1.74,1.75,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,2 veces al día,2 veces al día,1,2,No consumía,No consumía,1.1,2.7,6.16,7.16
30/04/2023 17:46:05,Masculino,18,Ciencia de la computación,3,15,14.5,50.6,53,1.61,1.63,Regular,Regular,4 veces al día,5 veces al día,2 veces al día,1 vez al día,3 veces al día,3 veces al día,1,3,1 - 2,1 - 2,2,2.5,6,7
30/04/2023 17:50:11,Masculino,19,Ingeniería Industrial,4,14.3,14.5,55.6,57.2,1.65,1.66,Bueno,Regular,4 veces al día,4 veces al día,3 veces al día,3 veces al día,3 veces al día,4 veces al día,1,2,3 - 4,3 - 4,6,6,5,5.5
30/04/2023 18:00:09,Masculino,20,Ingeniería Ambiental,4,15.4,14.8,54.3,55,1.64,1.67,Regular,Bueno,4 veces al día,3 veces al día,4 veces al día,3 veces al día,3 veces al día,3 veces al día,2,2,1 - 2,3 - 4,8,8,6,7
30/04/2023 18:02:41,Femenino,18,Ingeniería Electrónica,4,15.6,16.2,50.4,50.2,1.57,1.58,Regular,Bueno,3 veces al día,3 veces al día,2 veces al día,3 veces al día,2 veces al día,2 veces al día,1,2,1 - 2,1 - 2,4,6,7.5,6
30/04/2023 18:06:15,Masculino,20,Ingeniería Industrial,5,15.3,16,53.7,54.8,1.62,1.64,Regular,Bueno,3 veces al día,4 veces al día,2 veces al día,4 veces al día,3 veces al día,4 veces al día,1,3,1 - 2,1 - 2,7.5,7.5,5,5.5
30/04/2023 18:08:17,Femenino,18,Bioingeniería,3,15,13.4,49.6,50.2,1.57,1.58,Bueno,Bueno,3 veces al día,3 veces al día,3 veces al día,3 veces al día,2 veces al día,3 veces al día,1,2,1 - 2,1 - 2,4,4,6,6
30/04/2023 18:10:55,Masculino,19,Ingeniería Química,4,15.7,14.5,55,55.5,1.64,1.65,Regular,Regular,4 veces al día,4 veces al día,2 veces al día,3 veces al día,3 veces al día,3 veces al día,2,3,1 - 2,3 - 4,0,4,7,6
30/04/2023 18:12:51,Masculino,18,Ciencia de Datos,3,17.2,16.8,54.7,53.2,1.58,1.60,Regular,Bueno,3 veces al día,3 veces al día,2 veces al día,4 veces al día,3 veces al día,3 veces al día,1,2,3 - 4,1 - 2,4,6,7,7
30/04/2023 18:16:22,Femenino,18,Ciencia de la computación,3,14,14.6,50.3,50,1.52,1.54,Bueno,Bueno,3 veces al día,4 veces al día,3 veces al día,3 veces al día,2 veces al día,3 veces al día,1,2,1 - 2,1 - 2,0,2,5,6
30/04/2023 18:19:59,Masculino,19,Ingeniería Mecánica,4,16.5,16,54.5,55,1.60,1.63,Regular,Regular,3 veces al día,2 veces al día,1 vez al día,1 vez al día,2 veces al día,2 veces al día,2,3,No consumía,1 - 2,0,0,4.5,5.5
30/04/2023 18:25:37,Masculino,18,Ciencia de la computación,3,16.5,14.8,50,50.4,1.63,1.65,Regular,Malo,3 veces al día,2 veces al día,3 veces al día,1 vez al día,2 veces al día,2 veces al día,1,3,3 - 4,3 - 4,0,0,5,6
30/04/2023 18:47:25,Masculino,18,Ciencia de la computación,3,15.2,15.5,51.8,52.5,1.61,1.63,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,2 veces al día,3 veces al día,2 veces al día,1,4,1 - 2,3 - 4,0,3,5,5
30/04/2023 18:50:07,Femenino,19,Bioingeniería,4,14.2,13.7,50.2,51,1.64,1.65,Regular,Bueno,3 veces al día,3 veces al día,1 vez al día,2 veces al día,2 veces al día,2 veces al día,1,2,No consumía,1 - 2,0,2,6.5,6
30/04/2023 18:57:06,Femenino,18,Ingeniería Industrial,3,15.3,15.7,56.5,57,1.65,1.65,Regular,Regular,3 veces al día,3 veces al día,2 veces al día,2 veces al día,2 veces al día,2 veces al día,1,3,1 - 2,1 - 2,0,1,5,6
30/04/2023 18:59:09,Masculino,19,Ciencia de la computación,4,13.5,12.7,55.7,56.1,1.67,1.68,Regular,Regular,2 veces al día,3 veces al día,2 veces al día,2 veces al día,2 veces al día,2 veces al día,1,2,1 - 2,1 - 2,2,2,6,7
30/04/2023 19:01:19,Masculino,18,Ingeniería Química,3,13.7,14.5,57.8,58.3,1.65,1.66,Bueno,Regular,3 veces al día,3 veces al día,2 veces al día,1 vez al día,1 vez al día,1 vez al día,2,3,1 - 2,1 - 2,3,3,6.5,7
30/04/2023 19:04:37,Masculino,20,Ingeniería Civil,5,15.2,15,55.2,55,1.65,1.65,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,2 veces al día,1 vez al día,1,2,3 - 4,1 - 2,2,2,7,6
30/04/2023 19:06:31,Masculino,18,Ciencia de Datos,3,12.8,13.7,59.7,60.2,1.67,1.68,Regular,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,2 veces al día,1 vez al día,1,4,1 - 2,3 - 4,1,2,6,5
30/04/2023 19:08:34,Femenino,18,Administración y Negocios Digitales,3,16.4,15.2,55.7,56.2,1.68,1.69,Regular,Bueno,3 veces al día,3 veces al día,1 vez al día,2 veces al día,1 vez al día,1 vez al día,1,3,3 - 4,1 - 2,0,2,6.5,6.5
30/04/2023 19:45:21,Masculino,20,Ingeniería Mecatrónica,3,14.5,13,72.5,77.5,1.67,1.67,Bueno,Regular,3 veces al día,4 veces al día,1 vez al día,1 vez al día,2 veces al día,1 vez al día,1,4,No consumía,1 - 2,2.5,0,7.5,7.5
30/04/2023 19:48:24,Masculino,22,Ciencia de la computación,4,13.4,12.5,75.7,72.5,1.70,1.70,Regular,Bueno,2 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,2,4,1 - 2,No consumía,0,1.5,6.5,7.5
30/04/2023 19:50:03,Femenino,18,Ingeniería Mecánica,3,13.5,15.4,82.5,75,1.72,1.72,Malo,Regular,5 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,1,4,3 - 4,No consumía,0,2.5,5,7.5
30/04/2023 19:52:12,Femenino,18,Ingeniería Civil,5,13.4,12.7,65.5,68.5,1.62,1.62,Bueno,Regular,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,1 - 2,No consumía,0,1,7.5,7.5
30/04/2023 19:55:38,Masculino,19,Ingeniería de la Energía,4,16.2,15.8,75.4,75,1.76,1.76,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,2 veces al día,1 vez al día,1 vez al día,1,2,No consumía,No consumía,2.5,2.5,7.5,7.5
30/04/2023 19:58:25,Masculino,18,Ingeniería Industrial,3,17.9,15.4,72,77,1.70,1.70,Bueno,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,2 veces al día,1 vez al día,2,2,1 - 2,No consumía,2,0,7.5,7
30/04/2023 20:00:23,Femenino,19,Ingeniería Química,3,15.8,17.5,68,66,1.64,1.64,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,3 veces al día,1,1,No consumía,No consumía,0,0,7.2,7.5
30/04/2023 20:02:27,Femenino,18,Bioingeniería,3,16.1,14.2,78,82,1.75,1.75,Bueno,Regular,3 veces al día,4 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1,3,No consumía,3 - 4,2,0,7,6.5
30/04/2023 20:04:28,Masculino,19,Ingeniería Mecatrónica,3,15.3,16.8,84,75,1.74,1.75,Malo,Bueno,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,1 vez al día,2,1,3 - 4,No consumía,0,2.5,5.5,7.5
30/04/2023 20:07:41,Masculino,20,Ingeniería Ambiental,5,11.8,13.5,79,71,1.68,1.68,Malo,Bueno,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,1 vez al día,1,1,1 - 2,No consumía,0,1.5,6.5,7.5
30/04/2023 20:39:49,Masculino,18,Ingeniería Civil,3,17.4,14.3,74,71,1.70,1.70,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,1,1,No consumía,No consumía,1.5,1.5,7.5,7.5
30/04/2023 20:42:31,Femenino,20,Ingeniería Civil,5,15.8,15.1,67,65,1.70,1.70,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,2,1,1 - 2,No consumía,0,1,7.5,7
30/04/2023 20:45:52,Femenino,18,Ingeniería Civil,3,15.7,14.2,72,75,1.72,1.72,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,1 vez al día,1,1,No consumía,1 - 2,1.5,1,8,7.5
30/04/2023 20:47:49,Femenino,19,Ingeniería Química,3,15.8,16.5,67,65,1.63,1.63,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,1,1,1 - 2,No consumía,0,1.5,6.5,7
30/04/2023 20:53:16,Femenino,18,Bioingeniería,3,14.6,16.4,72,68,1.65,1.65,Malo,Bueno,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,1,1,3 - 4,No consumía,0,0,7,7.5
30/04/2023 20:59:14,Masculino,18,Ingeniería Industrial,3,15.7,14.3,77,78,1.75,1.75,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,2 veces al día,1 vez al día,2 veces al día,1,2,No consumía,No consumía,1.5,1.5,7,7.5
30/04/2023 21:03:59,Masculino,19,Ingeniería Civil,4,12.4,15.3,76,70,1.68,1.68,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,1 vez al día,1 vez al día,1 vez al día,1,1,1 - 2,No consumía,0,1.5,7,7
30/04/2023 21:06:28,Masculino,20,Ingeniería Ambiental,5,14.7,14.3,62,65,1.65,1.66,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,0,7,7.5
30/04/2023 21:14:05,Femenino,18,Ingeniería de la Energía,4,17.6,16.4,64,65,1.67,1.67,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,3 veces al día,2 veces al día,2 veces al día,1,2,No consumía,No consumía,2.5,2,7,6.5
30/04/2023 21:17:45,Femenino,19,Ingeniería Industrial,3,15.4,13.7,62,65,1.60,1.60,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,1 vez al día,1,1,1 - 2,No consumía,0,0,7,7.5
30/04/2023 21:20:56,Femenino,20,Ingeniería Química,6,12.7,15.8,73,65,1.67,1.67,Malo,Bueno,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,2 veces al día,1,1,1 - 2,No consumía,0,2.5,6,7
30/04/2023 21:24:56,Femenino,18,Bioingeniería,3,15.4,14.2,63,64,1.62,1.62,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,1 vez al día,1 vez al día,2 veces al día,1,1,No consumía,1 - 2,2,0,7.5,7
30/04/2023 21:27:11,Masculino,22,Ingeniería Mecánica,8,16.5,17.8,75,77,1.78,1.78,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,3 veces al día,2 veces al día,2 veces al día,1,1,No consumía,No consumía,2.5,2.5,7.5,7.5
30/04/2023 21:28:33,Masculino,20,Ciencia de la computación,5,15.8,13.7,73,65,1.67,1.67,Regular,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,1 vez al día,2,2,3 - 4,No consumía,0,1.5,7,7
30/04/2023 21:31:45,Masculino,18,Ingeniería Industrial,3,15.3,15.7,75,71,1.72,1.72,Bueno,Bueno,3 veces al día,3 veces al día,3 veces al día,2 veces al día,1 vez al día,1 vez al día,1,2,1 - 2,1 - 2,0,1,7.5,7.5
30/04/2023 21:34:19,Femenino,19,Ingeniería Ambiental,4,16.5,16.3,69,68,1.70,1.70,Bueno,Bueno,3 veces al día,3 veces al día,1 vez al día,2 veces al día,1 vez al día,2 veces al día,1,2,No consumía,1 - 2,1.5,1.5,7.5,7
30/04/2023 21:36:17,Masculino,19,Ingeniería Mecatrónica,4,14.3,15.8,66,69,1.73,1.73,Bueno,Bueno,3 veces al día,3 veces al día,2 veces al día,1 vez al día,2 veces al día,2 veces al día,1,3,1 - 2,No consumía,0,0,6,7
30/04/2023 21:38:48,Femenino,18,Ingeniería de la Energía,3,17.8,14.2,65,78,1.67,1.67,Bueno,Malo,4 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,2 veces al día,1 vez al día,1 vez al día,2,2,No consumía,3 - 4,1.5,0,7.5,6
30/04/2023 21:40:45,Masculino,20,Ingeniería de la Energía,3,16.4,14.3,67,74,1.70,1.70,Bueno,Regular,3 veces al día,3 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,2,3,No consumía,1 - 2,0,0,7.5,7
30/04/2023 21:42:23,Femenino,18,Ingeniería Industrial,3,14.8,15.4,68,64,1.62,1.62,Bueno,Regular,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,1,No consumía,1 - 2,1.5,0,8,7
1/05/2023 10:57:46,Masculino,19,Ingeniería Industrial,3,12.7,14.3,74,71,1.68,1.68,Bueno,Bueno,3 veces al día,3 veces al día,No acostumbro a consumir frutas y/o verduras,No acostumbro consumir fruta y/o verduras,1 vez al día,1 vez al día,1,1,1 - 2,1 - 2,0,1,7.5,7.5
1/05/2023 10:59:20,Masculino,18,Ciencia de Datos,3,16.5,15.4,73,80,1.75,1.75,Bueno,Regular,3 veces al día,3 veces al día,1 vez al día,1 vez al día,1 vez al día,2 veces al día,2,2,No consumía,No consumía,0,0,7,6
1/05/2023 11:01:32,Masculino,22,Ingeniería Mecánica,7,15.4,16,68,70,1.67,1.67,Bueno,Bueno,3 veces al día,4 veces al día,1 vez al día,No acostumbro consumir fruta y/o verduras,1 vez al día,2 veces al día,1,3,No consumía,1 - 2,1.5,0,7,6.5
1/05/2023 11:03:40,Femenino,18,Ingeniería Civil,3,14.7,16.4,72,68,1.67,1.67,Regular,Bueno,3 veces al día,3 veces al día,2 veces al día,2 veces al día,1 vez al día,1 vez al día,1,2,No consumía,No consumía,0,1.5,7,7
