"Edad","Sexo","Distrito","Ocupación","Conocimiento de la existencia de las billeteras digitales antes de la pandemia","Utilización de las billeteras digitales antes de la pandemia","Principal razón de la utilización de las billeteras digitales antes de la pandemia","Principal razón de la NO utilización de las billeteras digitales antes de la pandemia","Utilización de las billeteras digitales actualmente","Billetera digital más usada","Segunda billetera digital más usada","Tiempo de utilización de la billetera digital","Razones iniciales de uso","Razones actuales de uso","Billeteras digitales como principal método de pago","Intención de utilización de billeteras digitales","Método principal de pago","Factores de impedimento para la utilización de billeteras digitales","Gasto promedio diario pre-pandemia con método principal de pago","Gasto promedio diario actual con método principal de pago","Nivel de comodidad con el método principal de pago","Nivel de creencia de la rapidez de las billeteras digitales","Miembros de la familia que utilizan billeteras digitales"
18,"Femenino","Barranco","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad), Desconocimiento de cómo usar este tipo de método de pago",100,200,"3","2",0
22,"Femenino","San Juan de Lurigancho","Estudiante","Sí","No",NA,"Poca/nula necesidad","Sí","Yape","Plin",24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Efectivo","Falta de necesidad",30,40,"3","3",4
19,"Masculino","Los Olivos","Estudiante","Sí","No",NA,"Desconfianza (ej.: Sentimiento de vulnerabilidad)","Sí","Yape","Paypal",12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,10,15,"5","5",4
22,"Femenino","San Juan de Lurigancho","Estudiante","Sí","No",NA,"Poca/nula necesidad","Sí","Plin","Ninguno",20,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,20,70,"5","5",5
20,"Masculino","Santiago de Surco","Estudiante","No",NA,NA,NA,"Sí","Yape","Plin",12,"Miedo al contagio por COVID-19, Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,8,15,"4","5",5
18,"Masculino","Surquillo","Estudiante","Sí","No",NA,"Ninguna de las anteriores","No",NA,NA,NA,NA,NA,NA,"Sí","Tarjeta (de crédito o de débito)","Falta de necesidad",5,26,"5","3",0
18,"Femenino","Santiago de Surco","Estudiante","No",NA,NA,NA,"Sí","Yape","Ninguno",24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,10,30,"4","4",3
17,"Masculino","San Miguel","Estudiante","Sí","No",NA,"Desconocimiento de la forma en cómo se usa este método de pago","Sí","Yape","Yape",9,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,45,30,"3","3",3
18,"Femenino","Miraflores","Estudiante","Sí","No",NA,"Poca/nula necesidad","Sí","Yape","Yape",6,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,10,20,"5","4",8
18,"Masculino","Surquillo","Estudiante","No",NA,NA,NA,"Sí","Yape","Plin",6,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,5,20,"5","4",3
24,"Masculino","San Juan de Lurigancho","Estudiante","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Yape","Yape",36,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Sí",NA,NA,NA,10,10,"4","3",5
18,"Femenino","Santiago de Surco","Estudiante","No",NA,NA,NA,"Sí","Yape","Apple Pay",4,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,5,5,"5","5",4
22,"Femenino","San Juan de Lurigancho","Estudiante","Sí","No",NA,"Poca/nula necesidad","Sí","Plin","Yape",16,"Miedo al contagio por COVID-19","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","No",NA,"Efectivo","Ninguna de las anteriores",200,200,"4","2",3
17,"Masculino","San Martín de Porres","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Ninguna de las anteriores",2.5,3,"4","5",5
22,"Femenino","Callao *","Estudiante","No",NA,NA,NA,"Sí","Plin","Yape",17,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Sí",NA,NA,NA,30,50,"4","5",3
21,"Femenino","San Juan de Lurigancho","Estudiante","Sí","Sí","Accesibilidad (ej.: Realizar transferencias desde el teléfono)",NA,"Sí","Yape","Ninguno",48,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Tarjeta (de crédito o de débito)","Ninguna de las anteriores",200,400,"5","5",4
18,"Masculino","Santiago de Surco","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Desconocimiento de cómo usar este tipo de método de pago",20,20,"5","5",4
20,"Femenino","Santiago de Surco","Estudiante","Sí","No",NA,"Poca/nula necesidad","Sí","Yape","Agora PAY",12,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,3,15,"5","5",3
18,"Femenino","San Luis","Estudiante","No",NA,NA,NA,"Sí","Yape","Plin",9,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","No",NA,"Efectivo","Ninguna de las anteriores",20,40,"5","5",4
18,"Femenino","Miraflores","Estudiante","No",NA,NA,NA,"Sí","Yape","Yape",6,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,30,30,"4","5",3
19,"Femenino","Santiago de Surco","Estudiante","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Yape","Ninguno",24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","No",NA,"Efectivo","Ninguna de las anteriores",60,20,"4","4",3
18,"Femenino","Santiago de Surco","Estudiante","No",NA,NA,NA,"Sí","Yape","Ninguno",4,"Miedo al contagio por COVID-19, Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Efectivo","Ninguna de las anteriores",5,10,"4","5",3
20,"Masculino","San Juan de Lurigancho","Estudiante","No",NA,NA,NA,"Sí","Yape","Ninguno",18,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",200,200,"2","5",2
18,"Femenino","Surquillo","Estudiante","Sí","No",NA,"Poca/nula necesidad","No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Falta de necesidad",5,10,"5","5",2
18,"Masculino","Lurigancho","Estudiante","Sí","No",NA,"Desconocimiento de la forma en cómo se usa este método de pago","Sí","Yape","Plin",11,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",5,8,"4","4",6
43,"Femenino","San Juan de Lurigancho","Oficio","No",NA,NA,NA,"Sí","Yape","Plin",24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",50,80,"5","5",3
18,"Femenino","Santiago de Surco","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Tarjeta (de crédito o de débito)","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad), Desconocimiento de cómo usar este tipo de método de pago",10,30,"5","3",0
18,"Femenino","Surquillo","Estudiante","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Yape","Yape",26,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,70,120,"5","4",5
18,"Masculino","La Molina","Estudiante","Sí","No",NA,"Desconocimiento de la forma en cómo se usa este método de pago","Sí","Plin","Yape",18,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,15,30,"5","5",4
19,"Femenino","Chorrillos","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Tarjeta (de crédito o de débito)","Desconocimiento de cómo usar este tipo de método de pago",500,1000,"4","3",0
18,"Femenino","El Agustino","Estudiante","No",NA,NA,NA,"Sí","Yape","Ninguno",2,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Efectivo","Falta de necesidad",5,10,"4","4",2
18,"Masculino","Santiago de Surco","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Falta de necesidad, Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",3,7,"5","3",5
18,"Masculino","San Borja","Estudiante","Sí","No",NA,"Desconocimiento de la forma en cómo se usa este método de pago","Sí","Yape","Ninguno",18,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","No",NA,"Tarjeta (de crédito o de débito)","Incomodidad",15,20,"5","4",5
21,"Femenino","San Martín de Porres","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Desconocimiento de cómo usar este tipo de método de pago",50,100,"5","5",1
20,"Femenino","Barranco","Estudiante","No",NA,NA,NA,"Sí","Yape","Plin",18,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,50,100,"5","3",5
18,"Femenino","Santiago de Surco","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Tarjeta (de crédito o de débito)","Falta de necesidad, Incomodidad, Desconocimiento de cómo usar este tipo de método de pago",20,20,"3","3",0
18,"Masculino","Breña","Estudiante","Sí","No",NA,"Poca/nula necesidad","No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad), Desconocimiento de cómo usar este tipo de método de pago",5,2.5,"5","5",6
18,"Femenino","Barranco","Estudiante","No",NA,NA,NA,"Sí","Yape","Ninguno",12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","No",NA,"Efectivo","Falta de necesidad",30,30,"4","5",2
19,"Masculino","Los Olivos","Estudiante","Sí","No",NA,"Ninguna de las anteriores","Sí","Yape","Plin",12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","Sí",NA,NA,NA,50,10,"5","5",6
18,"Femenino","Barranco","Estudiante","No",NA,NA,NA,"Sí","Yape","Yape",2,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,15,13,"4","4",4
19,"Femenino","Barranco","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Ninguna de las anteriores",5,10,"4","4",0
18,"Femenino","Chaclacayo","Estudiante","No",NA,NA,NA,"Sí","Plin","Yape",12,"Miedo al contagio por COVID-19, Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","No",NA,"Ninguna de las anteriores","Desconocimiento de cómo usar este tipo de método de pago",12,250,"4","4",3
18,"Femenino","San Martín de Porres","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Tarjeta (de crédito o de débito)","Falta de necesidad",10,20,"3","4",3
19,"Masculino","San Juan de Miraflores","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Falta de necesidad, Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad), Desconocimiento de cómo usar este tipo de método de pago",60,100,"3","3",0
31,"Femenino","Santa Anita","Trabajo profesional","Sí","Sí","Accesibilidad (ej.: Realizar transferencias desde el teléfono)",NA,"Sí","Plin","Yape",60,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Sí",NA,NA,NA,20,40,"4","4",7
19,"Femenino","Barranco","Estudiante","No",NA,NA,NA,"Sí","Yape","Yape",8,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,50,50,"5","5",4
25,"Masculino","La Molina","Oficio","No",NA,NA,NA,"Sí","Yape","Ninguno",36,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,20,50,"4","3",3
30,"Masculino","Comas","Oficio","Sí","No",NA,"Poca/nula necesidad","Sí","Yape","Plin",24,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Efectivo","Ninguna de las anteriores",10,20,"5","5",3
18,"Femenino","La Molina","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Falta de necesidad, Incomodidad, Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",10,20,"4","5",1
20,"Femenino","San Martín de Porres","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Desconocimiento de cómo usar este tipo de método de pago",167,230,"3","3",7
18,"Masculino","La Molina","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",30,1300,"4","3",0
20,"Femenino","Ate","Estudiante","No",NA,NA,NA,"Sí","Yape","Ninguno",1,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","No",NA,"Efectivo","Ninguna de las anteriores",10,20,"4","4",4
18,"Femenino","Comas","Estudiante","No",NA,NA,NA,"Sí","Yape","Ninguno",4,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","Sí",NA,NA,NA,50,100,"5","5",3
18,"Femenino","Santiago de Surco","Estudiante","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Falta de necesidad, Desconocimiento de cómo usar este tipo de método de pago",20,30,"3","4",2
20,"Femenino","Santiago de Surco","Estudiante","Sí","Sí","Necesidad (ej.: Este medio era muy usado en su entorno)",NA,"Sí","Yape","Yape",2,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Sí",NA,NA,NA,2,2,"2","2",2
17,"Femenino","Santiago de Surco","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Desconocimiento de cómo usar este tipo de método de pago",76,7,"2","5",1
18,"Femenino","Villa María del Triunfo","Estudiante","Sí","No",NA,"Poca/nula necesidad","Sí","Yape","Plin",6,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,20,40,"5","4",4
19,"Masculino","San Juan de Miraflores","Estudiante","Sí","No",NA,"Poca/nula necesidad","Sí","Yape","Plin",10,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Costumbre","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",20,20,"4","4",3
45,"Femenino","San Juan de Miraflores","Trabajo profesional","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Sí","Transferencia bancaria","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad), Desconocimiento de cómo usar este tipo de método de pago",100,100,"4","5",0
20,"Femenino","La Victoria","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Tarjeta (de crédito o de débito)","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad), Desconocimiento de cómo usar este tipo de método de pago",5,20,"3","3",2
