Marca temporal,¿Cuál es su edad?,¿En qué periodo ingresó a UTEC?,¿A qué carrera perteneces?,¿A qué escala del sistema de pensiones de UTEC perteneces?,¿Has reprobado algún curso?,¿Cuántas veces has reprobado?,¿Qué curso(s) de CIENCIAS GENERALES has reprobado?,"¿Qué curso(s) de HUMANIDADES, ARTE Y CIENCIAS SOCIALES (HACS)has reprobado? ","¿Qué curso(s) de PROYECTOS INTERDISCIPLINARIOS, TESIS Y REAL LIFE EXPERIENCE has desaprobado?",¿Qué curso(s) de GESTIÓN has reprobado?,¿Has jalado algún curso de CARRERA?,"En general, ¿cuáles consideras que han sido los motivos por los que has desaprobado el/los curso(s)?",¿Actualmente te encuentras en riesgo académico?,¿Cuántas veces te has retirado de un curso?,¿Por qué te retiraste?,¿Cuántas horas estudias a la semana?,¿Cuántas horas duermes al día?,¿Cuántas horas a la semana practicas deporte?,¿Cuál es su promedio ponderado acumulado de la carrera? Ingrese solo el número con dos decimales separados por un punto decimal. (Ej: 14.27),¿Cuál fue su promedio ponderado en el primer ciclo?  Ingrese solo el número con dos decimales separados por un punto decimal. (Ej: 14.27),¿Cuál fue su promedio ponderado en el último ciclo (ciclo anterior)?  Ingrese solo el número con dos decimales separados por un punto decimal. (Ej: 14.27)
29/09/2021 0:46:14,20,2018-1,Ing. Electrónica,E,No,,,,,,,,,0,No me he retirado de ningún curso.,12,7,1,14.69,15.55,14.80
29/09/2021 0:46:17,21,2018-1,Ing. Electrónica,E,Si,3,"Quimica General, Fisica I - Introduccion a la Mecanica, Programación orientada a objetos I - Programación II, Termodinamica",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,1,"Por problemas personales/familiares., Porque el profesor no enseñaba bien.",12,7,2,12.31,10.2,15.8
29/09/2021 0:47:50,21,2017-1,Ing. Electrónica,Becado por UTEC,Si,,Ninguno,Ninguno,Ninguno,Ninguno,Sí,"Por problemas personales/familiares., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,6,6,4,14.7,15.8,17.5
29/09/2021 0:56:01,20,2018-1,Ing. Electrónica,E,Si,3,"Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Peru: Temas de la Sociedad Contemporanea - Peru: ¿Pais Industrial?,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado.",No,1,Porque estaba llevando demasiados cursos.,8,9,6,14.81,12.5,15.70
29/09/2021 1:19:53,18,2020-1,Ing. Mecatrónica,Becado por UTEC,No,,,,,,,,,1,Otro,80,8,14,16.93,18.18,16.27
29/09/2021 1:35:39,17,2021-2,Ing. Electrónica,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,4,6,0,.,.,.
29/09/2021 8:01:09,16,2021-1,Ciencias de la Computación,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,0,8,0,15.35,15.35,15.35
29/09/2021 8:08:28,18,2021-1,Ing. Industrial,Becado por UTEC,Si,2,"Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Ninguno,Ninguno,Ninguno,No,"Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,4,7,2,11.47,11.47,11.47
29/09/2021 8:21:56,18,2020-1,Ing. Electrónica,Becado por UTEC,No,,,,,,,,,0,No me he retirado de ningún curso.,6,6,1,16.14,16.78,16.03
29/09/2021 8:28:03,18,2021-1,Bioingeniería,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,6,7,0,16,16,16
29/09/2021 8:33:34,18,2020-1,Ing. Industrial,D,Si,1,Fisica I - Introduccion a la Mecanica,Ninguno,Ninguno,Ninguno,Sí,"Porque no le dediqué suficiente tiempo a estudiar., Porque no asistía a las clases.",No,0,No me he retirado de ningún curso.,4,5,3,13.98,14.78,11.6
29/09/2021 8:35:18,17,2021-1,Ing. Mecánica,E,Si,3,"Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General, Quimica Experimental - Laboratorio de Quimica General",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado.",No,0,No me he retirado de ningún curso.,2,6,0,11.85,11.85,no se todavia
29/09/2021 8:46:10,22,2021-1,Ing. Química,E,Si,4,"Quimica General, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal, Programación orientada a objetos I - Programación II",Ninguno,Proyecto Interdisciplinario I,Ninguno,Sí,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar.",No,0,No me he retirado de ningún curso.,6,8,1,10.55,10.55,10.55
29/09/2021 9:04:09,18,2021-1,Ing. Civil,Becado por Terceros,Si,1,Quimica General,Ninguno,Ninguno,Ninguno,Sí,"Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado.",No,0,No me he retirado de ningún curso.,4,8,1,12.95,12.95,12.95
29/09/2021 9:17:10,19,2020-1,Ing. Ambiental,D,No,,,,,,,,,0,No me he retirado de ningún curso.,6,6,3,17.64,17.23,18.64
29/09/2021 9:17:18,20,2020-2,Ing. Civil,Becado por Terceros,No,,,,,,,,,1,Por problemas personales/familiares.,15,5,0,16.03,17,15.23
29/09/2021 9:19:59,20,2020-1,Ing. Civil,Becado por Terceros,Si,1,Matematicas I - Calculo de una variable - Calculo Vectorial,Ninguno,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado.",No,0,No me he retirado de ningún curso.,6,8,0,13,13,-
29/09/2021 9:24:41,18,2020-1,Ing. Mecatrónica,Becado por UTEC,No,,,,,,,,,0,No me he retirado de ningún curso.,5,8,5,14.81,16.85,16.85
29/09/2021 9:33:29,31,2016-1,Ing. Civil,B,Si,4,Fisica I - Introduccion a la Mecanica,Arte y Tecnologia,Proyecto Interdisciplinario II,Finanzas Empresariales,No,Por problemas personales/familiares.,No,0,Por cruce con mi horario de trabajo.,4,6,0,14.50,15,14
29/09/2021 9:44:46,20,2019-2,Bioingeniería,E,No,,,,,,,,,0,No me he retirado de ningún curso.,4,6,2,14.81,14.27,15.71
29/09/2021 9:45:41,17,2021-2,Ing. Ambiental,Beca 18 Pronabec,No,,,,,,,,,0,No me he retirado de ningún curso.,5,6,0,aun nada,aun nada,aun nada
29/09/2021 9:46:27,17,2021-1,Ciencias de la Computación,Becado por UTEC,No,,,,,,,,,0,No me he retirado de ningún curso.,4,7,2,16.2,16.2,16.2
29/09/2021 9:48:53,18,2021-1,Ing. Mecatrónica,C,No,,,,,,,,,0,No me he retirado de ningún curso.,6,7,0,15.85,15.85,15.85
29/09/2021 9:56:58,18,2020-1,Ing. Ambiental,E,No,,,,,,,,,0,No me he retirado de ningún curso.,5,7,1,16.38,16.38,17.44
29/09/2021 10:07:17,17,2021-1,Ciencias de la Computación,C,No,,,,,,,,,0,No me he retirado de ningún curso.,10,7,3,14.81,17.2,17.2
29/09/2021 10:07:44,19,2021-2,Ing. Química,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,5,5,0,.....,.....,....
29/09/2021 10:15:43,19,2020-2,Ing. Mecatrónica,Becado por Terceros,Si,1,Fisica I - Introduccion a la Mecanica,Ninguno,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado.",No,0,No me he retirado de ningún curso.,6,6,0,15.1,14.76,15.26
29/09/2021 10:22:03,18,2021-1,Ing. Química,E,Si,3,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Ninguno,Ninguno,Ninguno,Sí,"Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado.",No,0,No me he retirado de ningún curso.,5,7,0,12.3,12.3,12.3
29/09/2021 10:24:21,18,2020-2,Ing. Civil,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,10,6,0,16.62,15.68,16.85
29/09/2021 10:25:05,19,2019-1,Ing. Mecatrónica,E,Si,1,Termodinamica,Ninguno,Ninguno,Ninguno,Sí,"Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,1,Porque lo iba a desaprobar.,4,8,6,13.55,14.05,15.88
29/09/2021 10:25:17,18,2020-1,Ing. de la Energía,Becado por UTEC,No,,,,,,,,,0,No me he retirado de ningún curso.,6,5,1,18.06,19,17.57
29/09/2021 10:25:52,17,2021-1,Bioingeniería,E,Si,1,Quimica General,Ninguno,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,1,Porque estaba llevando demasiados cursos.,5,5,6,14.60,14.60,14.60
29/09/2021 10:26:20,17,2021-1,Ing. Civil,Becado por Terceros,Si,1,Matematicas I - Calculo de una variable - Calculo Vectorial,Ninguno,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales., Porque me relaje demasiado.",Sí,0,No me he retirado de ningún curso.,1,7,3,13.95,13.95,13.95
29/09/2021 10:28:12,18,2021-1,Ing. Ambiental,E,No,,,,,,,,,0,No me he retirado de ningún curso.,6,8,3,16,16,16
29/09/2021 10:40:30,18,2021-1,Bioingeniería,E,No,,,,,,,,,0,No me he retirado de ningún curso.,4,6,0,15.35,14.69,15.35
29/09/2021 10:41:49,19,2021-2,Ing. Electrónica,E,No,,,,,,,,,0,No me he retirado de ningún curso.,3,6,0,No tengo,No tengo,No tengo
29/09/2021 10:47:59,17,2021-1,Ing. Industrial,E,No,,,,,,,,,0,No me he retirado de ningún curso.,5,6,2,14.55,14.55,14.55
29/09/2021 10:54:40,18,2021-1,Ing. Industrial,Becado por UTEC,Si,1,Matematicas I - Calculo de una variable - Calculo Vectorial,Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar.",No,1,Porque lo iba a desaprobar.,4,7,2,13.49,13.49,13.49
29/09/2021 10:55:45,23,2019-2,Ing. Electrónica,E,No,,,,,,,,,1,"Porque lo iba a desaprobar., Porque el profesor no enseñaba bien.",5,7,4,15.75,14.67,16.19
29/09/2021 11:07:42,21,2019-2,Bioingeniería,E,Si,2,Fisica I - Introduccion a la Mecanica,Ninguno,Ninguno,Ninguno,No,"Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar.",No,1,Porque lo iba a desaprobar.,6,5,4,15.6,14.7,13.8
29/09/2021 11:09:47,17,2021-1,Ing. Ambiental,B,Si,1,Matematicas I - Calculo de una variable - Calculo Vectorial,Ninguno,Ninguno,Ninguno,No,Porque no le dediqué suficiente tiempo a estudiar.,No,0,No me he retirado de ningún curso.,4,8,0,14.57,14.57,14.57
29/09/2021 11:15:30,18,2020-2,Ing. Mecatrónica,E,Si,1,Fisica I - Introduccion a la Mecanica,Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar.",No,0,No me he retirado de ningún curso.,3,7,0,15.35,15.29,15.79
29/09/2021 11:17:37,21,2017-2,Ing. Ambiental,Becado por Terceros,Si,1,Fisica II - Fundamentos de Electricidad y Magnetismo,Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar.",No,1,Porque lo iba a desaprobar.,6,6,2,15.48,16.4,16.3
29/09/2021 11:25:40,19,2019-2,Ing. Ambiental,Becado por Terceros,Si,3,"Fisica II - Fundamentos de Electricidad y Magnetismo, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal, Programación orientada a objetos I - Programación II",Ninguno,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,3,Porque lo iba a desaprobar.,6,7,0,15.12,13.91,16.06
29/09/2021 11:29:55,19,2019-1,Ciencias de la Computación,E,No,,,,,,,,,1,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares.",5,5,6,14.81,16,14.70
29/09/2021 11:29:57,17,2021-1,Ing. Mecánica,A,No,,,,,,,,,0,No me he retirado de ningún curso.,2,7,10,17.60,17.60,17.60
29/09/2021 11:30:52,17,2021-1,Ing. Civil,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,2,8,2,15,14.81,14.81
29/09/2021 11:52:42,17,2021-1,Ing. Ambiental,Becado por UTEC,No,,,,,,,,,0,No me he retirado de ningún curso.,5,8,4,15.65,15.65,15.65
29/09/2021 11:53:06,18,2021-1,Bioingeniería,C,No,,,,,,,,,0,No me he retirado de ningún curso.,42,6,0,18.4,18.4,18.4
29/09/2021 11:54:15,21,2017-1,Ing. Electrónica,E,Si,2,"Programación orientada a objetos I - Programación II, Termodinamica",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,2,"Porque lo iba a desaprobar., Por problemas personales/familiares.",28,5,1,13.88,14.05,17.12
29/09/2021 11:59:42,19,2020-1,Ing. Mecánica,D,Si,2,Quimica General,Laboratorio de Comunicacion II,Ninguno,Ninguno,No,"Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar., Porque no asistía a las clases.",Sí,2,Porque lo iba a desaprobar.,3,4,0,12.25,11.25,12.25
29/09/2021 12:03:54,18,2021-1,Ciencias de la Computación,C,No,,,,,,,,,0,No me he retirado de ningún curso.,8,9,2,19.25,19.25,19.25
29/09/2021 12:15:49,18,2021-1,Ing. Civil,Becado por Terceros,Si,1,Introduccion a la Ciencia de la Computacion - Programacion I,Ninguno,Ninguno,Ninguno,Sí,"Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar.",No,0,No me he retirado de ningún curso.,6,6,1,14.81,12.30,12.30
29/09/2021 12:19:37,17,2021-1,Ing. Ambiental,B,Si,1,Matematicas I - Calculo de una variable - Calculo Vectorial,Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,8,5,0,14.55,14.55,14.55
29/09/2021 12:34:36,17,2021-1,Ing. Civil,D,Si,3,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Ninguno,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado.",No,0,No me he retirado de ningún curso.,4,7,1,13,13,13
29/09/2021 12:49:56,20,2021-1,Ing. Industrial,Becado por Terceros,Si,3,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar., Otro",No,0,No me he retirado de ningún curso.,5,5,2,14.81,9.9,9.9
29/09/2021 12:52:30,21,2018-2,Ing. Mecánica,A,Si,3,"Fisica I - Introduccion a la Mecanica, Fisica II - Fundamentos de Electricidad y Magnetismo, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar.",No,2,"Porque lo iba a desaprobar., Por problemas personales/familiares.",18,7,8,12.76,11.93,12.80
29/09/2021 13:27:15,17,2021-1,Ing. Civil,D,Si,3,"Introduccion a la Ciencia de la Computacion - Programacion I, Quimica General, Quimica Experimental - Laboratorio de Quimica General",Ninguno,Ninguno,Ninguno,No,Por problemas emocionales.,No,0,No me he retirado de ningún curso.,15,7,3,13.65,13.65,13.65
29/09/2021 13:49:39,24,2018-2,Ing. Mecánica,E,Si,2,"Introduccion a la Ciencia de la Computacion - Programacion I, Quimica General","Laboratorio de Comunicacion II, Arte y Tecnologia",Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Otro",No,1,"Porque estaba llevando demasiados cursos., Por cruce con mi horario de trabajo.",5,6,3,13.31,11,15
29/09/2021 13:49:40,21,2018-1,Ing. Ambiental,D,Si,2,"Fisica II - Fundamentos de Electricidad y Magnetismo, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales., Porque me relaje demasiado.",No,3,"Porque lo iba a desaprobar., Porque estaba llevando demasiados cursos.",4,6,0,13.1,11.55,14.77
29/09/2021 14:18:41,18,2021-1,Bioingeniería,B,No,,,,,,,,,0,No me he retirado de ningún curso.,5,7,2,15.53,15.53,15.53
29/09/2021 14:18:46,20,2018-2,Ing. Industrial,E,Si,5,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica I - Introduccion a la Mecanica, Fisica II - Fundamentos de Electricidad y Magnetismo, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal",Laboratorio de Comunicacion II,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,4,5,0,12.38,10.26,14.82
29/09/2021 14:43:26,19,2018-2,Ing. Mecatrónica,E,Si,1,Ninguno,Laboratorio de Comunicacion II,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,1,Porque lo iba a desaprobar.,4,7,6,14,13,16
29/09/2021 15:22:08,18,2021-1,Bioingeniería,E,Si,2,"Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Porque el profesor no enseñaba bien., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,14,4,2,12.55,12.55,12.55
29/09/2021 15:37:42,17,2020-1,Ing. Civil,Becado por UTEC,No,,,,,,,,,0,No me he retirado de ningún curso.,8,8,5,18.15,18,18.6
29/09/2021 16:12:11,17,2021-1,Ciencias de la Computación,Becado por UTEC,No,,,,,,,,,0,No me he retirado de ningún curso.,2,7,0,16.15,16.15,16.15
29/09/2021 17:07:01,19,2021-1,Ing. Mecatrónica,Becado por Terceros,No,,,,,,,,,0,Otro,6,7,1,14.57,14.57,14.57
29/09/2021 17:10:36,17,2021-1,Ing. Ambiental,Becado por Terceros,No,,,,,,,,,1,Otro,6,5,0,14.35,14.35,14.35
29/09/2021 17:52:59,22,2016-1,Ing. Electrónica,Becado por UTEC,No,,,,,,,,,1,"Porque estaba llevando demasiados cursos., Porque el profesor no enseñaba bien.",6,7,2,15.83,14.95,17
29/09/2021 19:30:51,18,2020-1,Ing. Industrial,E,Si,5,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General, Fisica I - Introduccion a la Mecanica",Arte y Tecnologia,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Porque no asistía a las clases., Porque me relaje demasiado.",No,0,No me he retirado de ningún curso.,2,8,0,12.59,9.27,15.3
29/09/2021 19:30:52,28,2018-2,Ing. Ambiental,E,Si,2,"Fisica I - Introduccion a la Mecanica, Matematicas II - Ecuaciones Diferenciales - Algebra Lineal",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar.",No,1,Porque lo iba a desaprobar.,3,8,2,15,12,15
29/09/2021 20:40:30,18,2021-1,Ing. Civil,Becado por Terceros,Si,2,Matematicas I - Calculo de una variable - Calculo Vectorial,Ninguno,Ninguno,Ninguno,Sí,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar.",No,0,No me he retirado de ningún curso.,6,6,0,13.10,13.10,13.10
29/09/2021 23:00:31,19,2019-1,Ing. Civil,E,Si,3,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica I - Introduccion a la Mecanica",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares., Por problemas emocionales.",No,2,"Porque lo iba a desaprobar., Porque estaba llevando demasiados cursos., Otro",10,6,3,14.81,9.73,14.33
29/09/2021 23:53:37,19,2021-1,Ing. Ambiental,Becado por Terceros,Si,3,"Introduccion a la Ciencia de la Computacion - Programacion I, Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Ninguno,Ninguno,Ninguno,Sí,"Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado., Otro",Sí,0,No me he retirado de ningún curso.,6,6,0,8.3,8.3,8.3
30/09/2021 0:08:10,19,2019-1,Ing. Mecánica,Becado por UTEC,No,,,,,,,,,2,"Porque estaba llevando demasiados cursos., Por problemas personales/familiares.",6,6,3,17.63,16.64,17.21
30/09/2021 8:53:27,17,2021-1,Ing. Ambiental,Becado por Terceros,Si,2,"Matematicas I - Calculo de una variable - Calculo Vectorial, Quimica General",Ninguno,Ninguno,Ninguno,No,"Porque estaba llevando demasiados cursos., Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,0,No me he retirado de ningún curso.,6,8,0,11.40,11.40,11.40
30/09/2021 10:55:20,17,2021-1,Ing. Mecatrónica,Becado por Terceros,No,,,,,,,,,0,No me he retirado de ningún curso.,1,6,0,14.81,14.81,14.81
30/09/2021 11:55:19,20,2019-1,Ing. Ambiental,E,Si,1,Matematicas I - Calculo de una variable - Calculo Vectorial,Ninguno,Ninguno,Ninguno,No,"Por problemas personales/familiares., Porque no le dediqué suficiente tiempo a estudiar., Porque no asistía a las clases., Por problemas emocionales.",No,2,"Porque estaba llevando demasiados cursos., Por cruce con mi horario de trabajo., Por problemas con alumnos de la misma sección.",6,7,0,14,14,16
30/09/2021 13:16:27,18,2020-1,Ing. Mecatrónica,A,No,,,,,,,,,0,No me he retirado de ningún curso.,8,7,11,17.02,17.38,17.37
30/09/2021 13:32:24,20,2020-1,Ing. Ambiental,A,Si,2,"Matematicas II - Ecuaciones Diferenciales - Algebra Lineal, Matematicas III - Metodos Numericos",Ninguno,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales.",No,1,Porque lo iba a desaprobar.,8,7,2,13.43,15.1,13.2
30/09/2021 16:41:44,17,2021-1,Ing. Ambiental,Becado por Terceros,Si,1,Matematicas I - Calculo de una variable - Calculo Vectorial,Ninguno,Ninguno,Ninguno,No,Porque no le dediqué suficiente tiempo a estudiar.,No,0,No me he retirado de ningún curso.,6,7,0,16.1,16.1,16.1
30/09/2021 18:38:00,20,2018-2,Ing. Mecatrónica,E,Si,5,"Matematicas I - Calculo de una variable - Calculo Vectorial, Fisica I - Introduccion a la Mecanica, Estadistica y Probabilidades - Estadística y Probabilidades I",Laboratorio de Comunicacion II,Ninguno,Ninguno,Sí,"Porque no le dediqué suficiente tiempo a estudiar., Por problemas emocionales., Otro",No,1,"Porque lo iba a desaprobar., Otro",6,6,1,11.1,10,14.2
30/09/2021 20:26:26,20,2018-1,Ciencias de la Computación,Becado por Terceros,Si,,Ninguno,Ninguno,Ninguno,Ninguno,Sí,"Porque estaba llevando demasiados cursos., Porque el profesor no enseñaba bien., Porque no le dediqué suficiente tiempo a estudiar.",No,1,Porque lo iba a desaprobar.,6,7,0,15.56,14.59,15.65
1/10/2021 9:16:10,20,2018-1,Ing. Mecatrónica,B,Si,2,Fisica I - Introduccion a la Mecanica,Arte y Tecnologia,Ninguno,Ninguno,No,"Porque no le dediqué suficiente tiempo a estudiar., Porque me relaje demasiado.",No,0,No me he retirado de ningún curso.,2,7,0,13.4,16.5,13.9
1/10/2021 12:35:38,17,2021-1,Ing. Mecatrónica,D,No,,,,,,,,,0,No me he retirado de ningún curso.,6,7,2,14.25,14.25,14.25
