,Edad actual (En años),Género con el que se identifica,Carrera que estudia,Ciclo actual de estudios,Departamento donde pasó la mayor parte de su vida,Distrito donde vives actualmente,"Tiempo que llevas viviendo en Lima (en años ).
Si llevas viviendo menos de un año, rellena esta pregunta con 0 e ingresa el tiempo en la siguiente pregunta.","Tiempo que llevas viviendo en Lima, solo si tu respuesta en la pregunta anterior fue 0 (en meses). Si respondiste la pregunta anterior con un número distinto a 0, rellena esta pregunta con 0.","Tiempo en llegar a pie al parque más cercano al lugar donde vives (en minutos)
Ejemplo: 9",¿Cuánto tiempo estarías dispuesto a invertir en completar encuestas sobre este tema (valoración ambiental)? En minutos,¿Cuántos parques aledaños (en un radio de 1km) hay por tu casa? ,Calificación del parque más cercano a tu vivienda. Donde 1 es muy malo y 5 es muy bueno.,Calificación del parque más cercano a tu universidad. Donde 1 es muy malo y 5 es muy bueno.,Cuánto valoras las áreas verdes. Donde 1 es nada y 5 es bastante.,"¿Estarías dispuesto a donar dinero para la conservación de las áreas verdes? Si tu respuesta es sí, ingresa la cantidad que estarías dispuesto a donar mensualmente, si es no ingresa 0. (En soles)"
,19,Mujer,Ingeniería electrónica,4,Cusco,Comas,5,6,5,5,5,3,3,1,6
,18,Mujer,Ingeniería mecatrónica,4,Lima,Lima,18,0,25,30,2,5,5,5,75
,18,Mujer,Ciencias de la computación,3,Lima,Santa Anita,18,0,3,3,2,3,5,5,5
,22,Hombre,Bioingenieria,3,Lima,San Juan de Lurigancho,22,0,10,5,1,3,4,5,20
,19,Hombre,Ciencias de la computación,3,Cajamarca,Pachacamac,2,0,3,12,4,2,5,4,0
,19,Hombre,Ingeniería mecatrónica,4,Lima,Santa Anita,19,0,5,5,3,4,4,4,0
,18,Hombre,Ciencias de la computación,3,Lima,Comas,18,0,20,5,2,3,5,5,10
,20,Hombre,Ingeniería Industrial,3,Huanuco,Santiago de Surco,1,0,10,10,2,3,4,5,0
,18,Hombre,Ciencias de la computación,4,Lima,Villa El Salvador,18,0,40,5,0,3,5,5,10
,19,Hombre,Ciencia de datos,4,Pasco,Barranco,0,6,2,5,3,4,4,5,5
,21,Mujer,Ingeniería civil,5,Lima,Villa María del Triunfo,21,0,20,2,1,3,4,5,0
,17,Hombre,Ingeniería mecatrónica,2,Ica,San Miguel,0,3,2,6,5,5,2,3,30
,23,Mujer,Ingeniería Industrial,2,Lima,San Juan de Lurigancho,23,0,5,30,3,4,5,3,5
,18,Hombre,Ingeniería civil,2,Piura,Lima,0,7,4,60,2,5,4,5,0.1
,19,Hombre,Ciencias de la computación,2,Lima,San Juan de Lurigancho,19,0,2,5,2,2,4,4,0
,17,Hombre,Ingeniería mecánica,2,Lima,San Borja,17,0,2,5,2,2,3,4,30
,18,Hombre,Ciencias de la computación,3,Lima,Los Olivos,18,0,5,3,4,3,4,4,5
,17,Mujer,Administración y negocios digitales,1,Lima,San Martín de Porres,18,0,2,3,4,3,3,3,50
,19,Mujer,Ingeniería Industrial,3,Lima,San Juan de Lurigancho,19,237,15,2,5,1,5,5,2
,17,Hombre,Ingeniería mecánica,2,Cajamarca,Barranco,0,0,5,1,2,4,5,5,0
,20,Hombre,Ingeniería mecánica,2,Lima,San Juan de Lurigancho,20,0,5,3,1,3,4,4,2
,19,Mujer,Ingeniería ambiental,2,Huanuco,Ancón,0,1,3,30,1,2,4,5,5
,17,Hombre,Ingeniería mecánica,2,Lima,Lince,17,0,5,1,4,4,4,4,0
,18,Hombre,Ciencias de la computación,2,Lima,Lince,18,0,2,5,6,4,3,5,0
,18,Hombre,Ciencias de la computación,2,Lima,Lima,16,0,5,3,2,1,4,4,3
,18,Hombre,Ingeniería mecánica,2,Lima,San Juan de Miraflores,0,0,6,10,6,3,3,4,10
,19,Hombre,Ingeniería mecatrónica,1,Huanuco,Barranco,0,1,30,5,5,4,5,5,10
,18,Mujer,Ingeniería Industrial,3,Lima,San Juan de Miraflores,18,0,10,4,5,3,3,5,5
,18,Hombre,Ingeniería química,2,Lima,Comas,18,210,15,10,5,3,4,4,20
,21,Hombre,Ingeniería Industrial,2,Junín,El Agustino,0,2,2,1,2,4,3,5,10
,17,Hombre,Ciencia de datos,2,Lima,Santiago de Surco,17,0,2,5,4,4,4,5,0
,17,Hombre,Ingeniería Industrial,2,Lima,Comas,10,0,5,4,4,3,2,3,0
,19,Mujer,Ingeniería química,3,Ancash,Barranco,1,0,15,3,10,5,5,5,10
,20,Hombre,Ingeniería mecatrónica,3,Ayacucho,Barranco,0,6,1,10,4,5,5,5,1
,19,Mujer,Ingeniería civil,3,Piura,Chorrillos,0,0,5,10,1,3,3,3,15
,19,Mujer,Ingeniería civil,3,Huanuco,Cieneguilla,5,5,4,3,3,3,1,1,4
,18,Mujer,Ingeniería química,3,Lima,San Juan de Lurigancho,18,0,10,0,3,3,1,5,0
,19,Hombre,Ingeniería Industrial,2,Lima,San Juan de Miraflores,19,0,1,2,3,2,5,4,30
,21,Hombre,Ingeniería mecatrónica,2,Lima,San Juan de Lurigancho,21,0,5,5,3,3,4,4,0
,18,Mujer,Bioingenieria,3,Lima,Lima,18,0,3,5,3,4,5,5,30
,17,Mujer,Ingeniería ambiental,3,Lima,San Juan de Lurigancho,17,0,5,10,2,2,5,5,20
,23,Hombre,Ingeniería mecatrónica,5,Lima,Villa El Salvador,23,0,15,2,3,3,4,5,0
,17,Hombre,Ciencia de datos,2,Puno,Barranco,7,0,5,5,1,3,2,3,20
,27,Hombre,Ingeniería Industrial,2,Lima,Ate Vitarte,27,0,5,10,7,4,5,3,0
,19,Hombre,Bioingenieria,3,Piura,La Molina,0,7,7,50,2,5,3,4,10
,22,Hombre,Ciencias de la computación,8,Lima,San Isidro,22,0,2,5,10,4,2,5,0
,20,Mujer,Ingeniería Industrial,3,Lima,Barranco,20,0,20,3,10,5,5,5,100
,18,Hombre,Bioingenieria,3,San Martín,Chorrillos,0,7,2,5,1,3,2,5,5
,23,Hombre,Ingeniería de la energía,6,Lima,Miraflores,23,0,3,5,4,5,4,5,100
,22,Mujer,Ingeniería electrónica,8,Lima,Barranco,22,0,5,2,2,4,3,4,0
,19,Mujer,Ingeniería mecatrónica,3,Tacna,El Agustino,8,0,12,5,1,3,4,4,0
,20,Hombre,Ingeniería electrónica,6,Lima,San Borja,20,0,5,3,2,4,4,5,30
,22,Hombre,Ingeniería civil,7,Lima,Surquillo,22,0,7,1,2,3,5,5,50
,19,Hombre,Ingeniería mecatrónica,4,Junín,San Juan de Lurigancho,2,0,10,2,1,2,4,5,0
,17,Hombre,Ingeniería Industrial,2,Lima,San Isidro,17,0,1,5,4,3,3,2,0
,20,Hombre,Ciencias de la computación,4,Cajamarca,Chorrillos,0,2,8,3,2,4,4,4,10
,20,Hombre,Ciencia de datos,3,Callao,Barranco,0,2,13,5,1,3,4,3,0
,20,Mujer,Ingeniería química,3,Lima,Miraflores,20,0,2,3,3,5,5,4,150
,19,Otro,Ciencias de la computación,3,Lima,La Molina,19,0,1,5,5,5,5,4,50
,18,Hombre,Ciencias de la computación,3,Ayacucho,Villa El Salvador,6,0,20,5,1,1,5,5,0
,18,Otro,Ingeniería de la energía,3,Lima,Santiago de Surco,15,0,2,1,3,4,3,3,5
,17,Mujer,Ingeniería Industrial,2,Arequipa,Villa María del Triunfo,0,7,10,5,1,2,3,4,10
,18,Hombre,Bioingenieria,3,Lima,Los Olivos,18,0,5,3,2,3,3,4,0
,19,Hombre,Ingeniería Industrial,2,Junín,Lima,3.5,0,5,5,3,4,5,5,10
,23,Otro,Administración y negocios digitales,1,Lima,Barranco,23,0,8,50,2,5,5,5,100
,20,Mujer,Ingeniería ambiental,2,Ancash,El Agustino,2,0,12,60,1,3,5,5,30
,18,Hombre,Ingeniería electrónica,4,Lima,Lurigancho,18,0,3,1,5,4,5,2,0
,16,Mujer,Ingeniería Industrial,1,Lima,Jesús María,16,0,15,15,3,5,3,3,0
,21,Otro,Ciencia de datos,7,Ayacucho,La Molina,10,0,8,5,6,1,1,2,6
,30,Mujer,Ingeniería electrónica,7,Ayacucho,Chorrillos,11,9,30,6,8,2,4,3,90
,19,Mujer,Ciencias de la computación,4,Cusco,Breña,1,70,60,22,10,4,2,5,60
,21,Hombre,Ingeniería civil,1,Pasco,Breña,8,7,13,11,0,2,5,5,2
,22,Mujer,Ingeniería mecatrónica,4,Arequipa,El Agustino,7,0,0,0,4,2,4,3,38
,17,Hombre,Ingeniería de la energía,4,Huancavelica,Barranco,8,0,16,50,4,5,5,5,36
,20,Hombre,Ingeniería mecánica,5,Junín,Independencia,6,8,9,80,2,5,2,5,1
,20,Mujer,Ingeniería electrónica,7,San Martín,Comas,5,9,7,6,1,3,3,3,0
,19,Hombre,Ciencias de la computación,4,Cusco,Carabayllo,6,6,8,20,4,4,4,3,0
,22,Hombre,Ingeniería electrónica,3,Lima,Lima,10,10,10,0,0,3,5,1,60
,19,Hombre,Ingeniería electrónica,6,Lima,Lima,19,0,40,0,0,4,4,4,10
,20,Mujer,Ingeniería Industrial,5,Huancavelica,Lima,16,16,16,0,2,5,5,5,0
,20,Mujer,Ingeniería electrónica,6,Ayacucho,Independencia,6,0,10,0,6,5,5,5,90
,19,Hombre,Ingeniería de la energía,2,Lima,San Borja,19,0,9,15,3,4,4,4,75
,18,Hombre,Ingeniería mecánica,6,Ayacucho,Lurigancho,16,0,8,15,1,4,3,5,26
,22,Mujer,Ingeniería química,6,Lima,Barranco,19,0,5,10,3,4,4,1,0
,18,Mujer,Ingeniería electrónica,4,Cusco,Lima,10,10,10,10,10,5,5,5,10
,18,Hombre,Ingeniería mecánica,6,Callao,Los Olivos,10,10,4,6,3,4,3,5,50
,21,Hombre,Ingeniería mecánica,3,Ica,Lince,18,0,9,5,3,5,3,4,40
,22,Mujer,Ingeniería Industrial,3,Ica,Chorrillos,5,0,5,5,3,4,3,4,3
,21,Mujer,Ingeniería de la energía,8,Lima,Barranco,21,0,5,5,4,5,5,5,100
,19,Mujer,Ingeniería Industrial,5,Lima,Jesús María,19,0,3,10,3,3,5,5,40
,22,Hombre,Ingeniería mecatrónica,6,Lima,San Juan de Miraflores,22,0,15,15,3,4,5,4,20
,18,Hombre,Ingeniería mecánica,3,Lima,La Molina,18,0,6,10,3,5,5,5,5
,18,Mujer,Ingeniería electrónica,5,Lima,Barranco,18,0,10,2,2,5,5,2,5
,17,Hombre,Ingeniería Industrial,3,Lima,Comas,17,0,10,5,2,4,4,4,0
,18,Hombre,Ingeniería civil,4,Lima,Chorrillos,18,0,10,5,3,5,5,3,0
,27,Mujer,Bioingenieria,7,Lima,Lima,7,0,20,10,2,3,5,5,0
,10,Otro,Bioingenieria,10,San Martín,Lurigancho,20,20,20,20,20,1,1,1,20
,20,Hombre,Ingeniería mecánica,6,Lima,Los Olivos,20,0,6,10,3,4,5,5,15
,21,Hombre,Ingeniería electrónica,5,Huancavelica,Barranco,0,7,5,3,4,5,5,2,0
,20,Hombre,Ingeniería de la energía,6,Cajamarca,Jesús María,0,9,5,5,5,5,4,4,10
,22,Mujer,Administración y negocios digitales,2,Lima,San Isidro,22,0,2,1,5,5,3,5,0
,19,Otro,Ciencia de datos,3,La Libertad,Lima,0,10,10,1,1,1,5,5,25
,20,Mujer,Bioingenieria,5,Lima,Carabayllo,22,0,15,10,1,1,5,5,30
,23,Mujer,Ingeniería ambiental,8,Callao,La Molina,5,0,2,10,4,5,5,5,70
,19,Mujer,Ingeniería ambiental,3,Arequipa,Barranco,0,9,4,15,6,5,5,5,30
,21,Hombre,Administración y negocios digitales,2,Cusco,San Juan de Lurigancho,3,0,15,3,1,1,4,3,0
,18,Mujer,Ingeniería química,2,Ancash,San Juan de Lurigancho,0,11,10,10,2,2,5,4,10
,20,Mujer,Administración y negocios digitales,3,Lima,Ate Vitarte,20,0,15,5,2,3,4,5,0
,18,Hombre,Administración y negocios digitales,2,Madre de Dios,Chorrillos,2,0,10,5,1,3,5,2,5
,19,Hombre,Ciencias de la computación,2,Ancash,Rímac,5,0,6,1,1,2,3,3,0
,18,Hombre,Ingeniería civil,7,Lima,Los Olivos,18,0,5,2,2,3,4,5,5
,20,Mujer,Ingeniería mecánica,8,Lima,Santiago de Surco,20,0,2,2,3,4,3,5,200
,21,Mujer,Ingeniería ambiental,7,Lima,Miraflores,15,0,4,3,5,5,4,5,50
,17,Hombre,Administración y negocios digitales,1,Lima,Chorrillos,17,0,2,1,4,4,3,2,0
,19,Mujer,Ingeniería de la energía,4,Ayacucho,Villa María del Triunfo,4,0,5,5,1,1,3,3,0
,19,Hombre,Ingeniería Industrial,3,Lima,San Borja,15,0,10,5,2,2,3,5,12
,17,Mujer,Ingeniería química,1,Arequipa,San Juan de Lurigancho,3,0,10,5,0,3,4,5,5
,18,Hombre,Ingeniería mecánica,3,Lima,Carabayllo,18,0,4,2,2,3,3,4,0
,19,Hombre,Bioingenieria,5,Lima,La Victoria,19,0,7,6,3,2,3,5,14
,18,Mujer,Ingeniería civil,5,Lima,Lince,18,0,6,4,4,3,4,5,5
,25,Hombre,Ingeniería mecánica,6,Lima,Comas,20,0,9,4.5,0,2,3,3,3
,20,Mujer,Ingeniería ambiental,6,Lima,Barranco,20,0,1,0,3,4,4,5,30
,18,Hombre,Ingeniería de la energía,4,Piura,Chorrillos,2,0,15,8,2,2,3,4,12
,18,Mujer,Ciencia de datos,4,Lima,Cieneguilla,17,0,7,4,1,3,4,3,6
,22,Hombre,Ingeniería Industrial,8,Lima,Santiago de Surco,22,0,0,3,4,5,4,5,10
,19,Mujer,Ingeniería química,3,Lima,Los Olivos,18,216,12.5,8.9,1,2,3,3,3.2
,21,Hombre,Ciencias de la computación,4,Lima,Chorrillos,21,252,6,6,2,3,4,4,12
,19,Mujer,Ingeniería Industrial,3,Lima,El Agustino,19,0,5,10,2,4,5,4,4
,18,Mujer,Ingeniería ambiental,4,Lima,Chorrillos,18,0,5,6,2,3,4,5,20
,17,Hombre,Ingeniería civil,3,Lima,Chorrillos,16,0,10,15,4,3,3,4,5
,19,Hombre,Ingeniería ambiental,3,Ica,Miraflores,2,0,3,15,6,5,5,5,20
,19,Mujer,Ingeniería ambiental,5,Lima,San Isidro,19,0,2,30,6,4,4,5,30
,19,Hombre,Ingeniería mecatrónica,5,Junín,Chorrillos,3,0,7,16,3,3,4,2,5
,18,Hombre,Bioingenieria,3,Puno,Barranco,2,0,3,20,5,4,4,3,30
,17,Hombre,Ingeniería química,3,Moquegua,Independencia,5,0,6,10,3,2,3,3,5
,18,Hombre,Ciencias de la computación,3,Lima,La Molina,18,0,1,10,5,4,4,5,30
,18,Hombre,Ingeniería civil,3,Cajamarca,Comas,8,0,6,5,3,3,5,3,0
,18,Hombre,Ingeniería civil,5,Lima,El Agustino,15,0,3,15,6,3,4,3,17
,24,Hombre,Bioingenieria,4,Loreto,Jesús María,5,0,6,15,2,2,4,4,0
,18,Mujer,Administración y negocios digitales,2,Lima,Carabayllo,18,0,7,5,1,3,3,2,0
,21,Mujer,Ingeniería Industrial,5,Lima,Miraflores,21,0,2,0,4,5,4,5,20
,20,Hombre,Ingeniería mecatrónica,3,Lima,San Juan de Miraflores,20,0,10,3,1,1,3,3,0
,17,Hombre,Ingeniería mecatrónica,1,Piura,Rímac,0,5,5,5,2,2,3,5,0
,18,Mujer,Ingeniería mecatrónica,4,Lima,El Agustino,18,0,5,1,1,3,4,3,0
,22,Mujer,Ingeniería Industrial,7,Lima,Santiago de Surco,22,0,3,3,3,5,2,5,15
,21,Mujer,Ingeniería Industrial,9,Lima,Barranco,21,0,0,0,5,4,3,5,30
,20,Hombre,Ingeniería mecatrónica,5,Lima,Ate Vitarte,6,0,7,0,1,3,4,4,10
,17,Mujer,Ingeniería química,1,Ayacucho,Villa El Salvador,4,0,15,5,0,1,4,4,0
,19,Mujer,Ciencia de datos,3,Lima,Ancón,19,0,20,2,0,1,4,5,5
,22,Mujer,Ingeniería de la energía,6,Ayacucho,Barranco,0,10,2,3,4,5,5,5,15
,18,Hombre,Ciencia de datos,2,Piura,Barranco,0,7,5,1,5,5,5,2,0
,22,Hombre,Ingeniería ambiental,8,Lima,Chorrillos,22,0,3,15,4,5,5,5,50
,23,Hombre,Ciencias de la computación,10,Arequipa,Chorrillos,6,0,5,5,6,3,4,3,5
,21,Mujer,Ingeniería mecánica,9,Lima,San Juan de Lurigancho,21,0,15,10,2,3,4,3,0
,18,Hombre,Administración y negocios digitales,2,Callao,Jesús María,3,0,5,1,2,3,4,1,0
,20,Mujer,Ingeniería Industrial,4,Lima,Breña,20,0,15,2,1,2,5,4,0
,18,Mujer,Administración y negocios digitales,1,Ica,Comas,0,5,20,4,1,1,5,5,10
,23,Mujer,Ingeniería civil,7,Ancash,Barranco,4,0,2,10,5,5,5,5,5
,20,Hombre,Ingeniería electrónica,4,Junín,Barranco,3,0,2,5,6,5,5,3,0
,24,Hombre,Ciencias de la computación,5,Tacna,Comas,3,0,6,10,5,3,4,2,0
,20,Mujer,Ingeniería de la energía,3,Lima,Lima,20,0,3,5,4,4,4,5,100
,21,Hombre,Ingeniería Industrial,6,La Libertad,Chorrillos,4,0,5,5,4,3,4,3,10
,22,Mujer,Bioingenieria,5,Lima,Barranco,22,0,6,10,3,5,5,5,5
,18,Hombre,Ingeniería civil,3,Ayacucho,Chorrillos,0,9,5,3,2,5,4,4,0
,17,Mujer,Ingeniería civil,3,Callao,Barranco,3,0,2,15,4,5,5,5,15
,19,Hombre,Ingeniería Industrial,6,Lima,Chorrillos,19,0,5,7,1,3,4,5,6
,21,Hombre,Ingeniería mecatrónica,8,Lima,Barranco,21,0,0,1,2,4,3,4,0
,18,Hombre,Bioingenieria,4,Lima,Comas,18,0,10,5,4,4,4,4,30
,18,Hombre,Ingeniería civil,4,Huanuco,Comas,5,0,6,10,5,4,4,2,10
,25,Hombre,Ingeniería civil,9,La Libertad,Barranco,2,0,3,15,6,5,5,5,35
,17,Hombre,Ingeniería mecatrónica,2,Ancash,Ate Vitarte,2,0,5,5,1,2,3,5,1
,18,Mujer,Ingeniería Industrial,2,Ayacucho,Barranco,1,0,8,7,2,3,4,4,14
,19,Mujer,Bioingenieria,4,Lima,Jesús María,7,0,20,5,2,3,4,3,0
,22,Mujer,Ingeniería civil,6,Lima,Ate Vitarte,22,0,20,10,1,1,5,5,20
,18,Mujer,Ingeniería Industrial,3,Huancavelica,Miraflores,2,0,3,7,5,5,5,4,12
,17,Mujer,Bioingenieria,2,Lima,La Molina,17,0,10,5,2,5,5,5,10
,19,Mujer,Ingeniería civil,3,Arequipa,Jesús María,0,7,5,5,3,3,5,2,0
,18,Hombre,Ingeniería mecatrónica,4,Cusco,Jesús María,6,0,8,5,2,4,3,5,5
,20,Hombre,Ingeniería Industrial,3,Lima,Lima,20,0,20,5,1,4,4,4,14
,22,Mujer,Ciencia de datos,4,Cusco,Independencia,5,0,10,5,3,3,5,4,15
,20,Hombre,Bioingenieria,4,Lima,San Miguel,20,0,10,10,2,4,5,5,20
,19,Hombre,Ingeniería Industrial,3,Lima,Carabayllo,18,0,2,3,2,3,5,4,23
,18,Hombre,Ingeniería civil,3,Loreto,San Juan de Lurigancho,4,0,15,5,1,1,5,5,25
,20,Mujer,Ingeniería civil,4,Lima,Independencia,20,0,10,5,2,3,4,3,0
,20,Hombre,Ciencia de datos,5,Lima,Miraflores,20,0,5,5,5,5,5,4,50
,17,Mujer,Ingeniería Industrial,3,Arequipa,Comas,1,0,5,7,3,3,4,3,21
,23,Hombre,Ingeniería mecatrónica,9,Lima,Miraflores,23,0,3,0,5,5,2,5,100
,21,Mujer,Ingeniería Industrial,3,Lima,Barranco,21,0,0,6,2,3,3,4,12
,24,Hombre,Ingeniería civil,7,Callao,San Isidro,0,5,2,2,5,4,4,5,50
,21,Mujer,Ciencias de la computación,9,Lima,Lima,21,0,6,5,3,4,4,5,100
,20,Mujer,Ingeniería mecatrónica,5,Lima,San Borja,20,0,0,2,3,4,4,4,20
,18,Hombre,Ingeniería Industrial,3,Madre de Dios,Barranco,2,0,7,5,2,3,4,4,1
,21,Hombre,Ciencias de la computación,9,Lima,San Juan de Lurigancho,21,0,5,10,3,3,4,5,20
,21,Mujer,Ingeniería mecatrónica,7,Lima,San Isidro,21,0,0,1,6,5,3,5,30
,19,Mujer,Ingeniería Industrial,3,Lima,San Luis,19,0,7,5,2,3,4,5,15
,18,Hombre,Ingeniería civil,4,Ancash,Barranco,0,6,5,5,4,5,4,2,0
,20,Mujer,Ingeniería Industrial,4,Lima,Lince,19,0,10,7,1,3,4,4,4
,20,Otro,Bioingenieria,5,Cajamarca,Jesús María,7,0,10,0,3,4,4,2,0
,19,Hombre,Ciencias de la computación,5,Lima,Miraflores,19,0,3,12,4,5,5,5,100
,18,Mujer,Ingeniería mecatrónica,1,Lima,Surquillo,18,0,3,5,2,4,4,2,0
,17,Hombre,Ingeniería Industrial,2,Lima,Villa El Salvador,17,0,7,4,3,2,4,4,11
,23,Hombre,Bioingenieria,7,Lima,Comas,15,0,10,10,2,4,4,4,0
,19,Hombre,Ingeniería civil,1,Lima,Rímac,19,0,15,2,1,1,5,4,0
,19,Mujer,Ciencias de la computación,3,Ica,El Agustino,2,0,5,20,4,5,5,5,10
,19,Mujer,Ingeniería Industrial,3,Lima,Chorrillos,19,0,6,4,2,3,4,3,2
,17,Hombre,Ingeniería mecatrónica,1,Lima,Villa El Salvador,17,0,20,0,0,1,3,1,0
,18,Hombre,Ciencias de la computación,3,Lambayeque,Chorrillos,2,0,6,15,3,4,5,4,10
,18,Mujer,Ingeniería Industrial,3,Cusco,Chorrillos,0,6,14,6,1,3,5,5,5
,19,Mujer,Ingeniería mecatrónica,5,Arequipa,Independencia,3,0,10,5,1,3,4,5,5
,17,Mujer,Ingeniería Industrial,2,Tacna,Barranco,0,2,7,5,1,3,4,5,7
,18,Mujer,Ciencias de la computación,3,Ica,Chorrillos,0,6,5,15,3,5,5,5,5
,17,Hombre,Ciencias de la computación,4,Lima,Barranco,17,0,3,30,4,5,5,5,150
,20,Hombre,Bioingenieria,3,Lima,Chorrillos,20,0,5,5,3,3,4,4,20
,20,Mujer,Ingeniería civil,2,Madre de Dios,Barranco,0,5,4,1,3,5,5,2,0
,20,Hombre,Bioingenieria,5,Lima,El Agustino,20,0,4,10,4,3,5,5,30
,17,Mujer,Ciencias de la computación,3,Lima,Lima,17,0,6,20,3,5,5,5,30
,20,Mujer,Ingeniería civil,4,Lima,Chorrillos,20,0,5,5,3,4,4,3,10
,18,Hombre,Ingeniería mecatrónica,3,Huancavelica,Rímac,2,0,15,1,1,2,5,3,0
,20,Mujer,Bioingenieria,5,Lima,Barranco,20,0,5,15,6,5,5,5,40
,19,Mujer,Ciencias de la computación,4,Huanuco,Barranco,0,6,5,10,3,5,5,5,10
,24,Mujer,Ingeniería civil,10,La Libertad,Barranco,6,0,2,10,4,5,4,5,15
,22,Hombre,Ingeniería mecatrónica,7,Lima,San Juan de Miraflores,22,0,8,2,1,2,4,5,5
,18,Hombre,Ingeniería civil,2,Ica,Chorrillos,0,8,10,2,3,3,4,2,0
,20,Hombre,Ingeniería mecánica,5,Lima,Comas,20,0,5,10,3,5,5,5,10
