Marca temporal,Género de sexo,Edad,Orientación Sexual [Opciones],Carrera ,¿Ciclo en el que te encuentras?,Zona de Residencia,Económicamente activo?(Si laboras),¿Has sido o has sentido acoso dentro de la universidad por algún miembro de la comunidad? ,¿A qué edad sucedió este hecho?,¿En qué año ocurrió este hecho?,¿En qué circunstancia ocurrió este hecho?,¿Cuántas veces han ocurrido estos hechos similares a tu persona en el campus?,¿Cómo fue la agresión a tu persona?,¿Cuál fue tu reacción cuando ocurrió este hecho?,¿Lo denunciaste o se lo comentaste a alguien?,¿Algún estudiante o miembro de la universidad te ha acosad@ fuera de la institución?,¿A qué edad sucedió este hecho?,¿En qué año ocurrió este hecho?,¿Dónde ocurrió este hecho?,¿Cuántas veces has sido acosad@ fuera del campus?,¿De qué manera te han acosado?,¿ Cuál fue tu reacción cuando ocurrió este hecho?,¿Has vuelto ha interactuar con tu agresor?,¿Consideras que este hecho fue aislado o previsto por el agresor?,¿Lo denunciaste o se lo comentaste a alguien?,¿Porque no denunciaste este hecho?,¿Crees que tu denuncia no tendría ningún valor?,¿A qué entorno social pertenece el acosador en tu vida?,¿Consideras que tu acosador tomaría represalia contra tu persona si lo denuncias?,¿Cómo esta situación te afectó en tu vida personal?,¿Te encuentras con la fortaleza o el apoyo de realizar la denuncia en la actualidad?,¿Con quien te apoyarías para enfrentar la situación?,¿A qué autoridades acudirías primero para denunciar los hechos?,¿En la actualidad si fueras acosad@ de nuevo te enfrentarías al acosador ?,¿Ayudarias a otras personas a denunciar este tipo de hechos?,¿Compartirías tu experiencia para que otras personas no tengan miedo y puedan exponer a sus acosadores?,¿Consideras que tu entorno no te apoyaria si denuncias este hecho fuera de tiempo?,¿Si existiera una línea de apoyo exclusiva de la universidad para denunciar de forma anónima el acoso lo realizarías?,¿Consideras exponer tu situación ante las autoridades correspondientes?,¿Consideras que se deben aplicar nuevas medidas de protección para denunciar los hechos de acoso dentro de la universidad?,¿Consideras que exponer de forma pública a los acosadores ayudaría a que estos frenen sus actos?,¿A quién lo denunciaste o comentaste?,¿Qué tan efectiva fue la respuesta por parte de esa persona o la universidad?,¿Crees que el reglamento de hostigamiento al estudiante te garantiza que este hecho no vuelva a ocurrir?,¿Qué tan perjudicial ha sido en tu rendimiento académico?,¿Sientes que las autoridades universitarias toman medidas preventivas necesarias para combatir esta problemática dentro del campus? ,¿Te has sentido culpable por la situación de acoso que experimentaste?,¿Aun mantienes contacto con tu agresor?,¿Has recurrido a autolesionarse por este tipo de hechos?,¿A quien lo denunciaste o comentastes? ,¿Qué tan efectiva fue la respuesta por parte de esa persona o la universidad?,¿Sientes que las autoridades universitarias toman medidas preventivas necesarias para combatir esta problemática fuera del campus?,¿Que autoridad externa tomó tu denuncia y te ayudó en el proceso?,¿Qué tan perjudicial ha sido en tu rendimiento académico?,¿Te has sentido culpable por la situación de acoso que experimentaste?,"¿Consideras que los hombres en general son potenciales acosadores sexuales, esto debido al estimulo indicado que podría despertar este?",¿Has recurrido a autolesionarse por este tipo de situación?,¿Has sido testig@ de algún tipo de acoso?,¿Consideras que estabas preparad@ para accionar correctamente en el momento en el que sucedió el hecho? ,¿En que año sucedió este hecho?,¿Qué modalidad fue el acoso que percibiste?,¿Cuántas veces has sido testigo de acoso?,¿Dónde ocurrió este hecho?,¿Cual fue tu reacción ante este hecho?,¿Lo denunciaste o comentaste a otros? ,¿A quién lo denunciaste o comentaste?,¿Qué tan efectiva fue la respuesta por parte de esa persona o la autoridad que tomó tu caso? ,¿Sientes que las autoridades toman medidas preventivas necesarias para combatir esta problemática?,¿Que tan complicado fue el trámite para denunciar la situación de acoso que fuiste testigo?,¿El agraviado tiene algún tipo de afiliación contigo?,¿Has vuelto a ver al agresor luego de la denuncia?,¿Por qué no denunciaste este hecho?,¿Sientes que las autoridades no tomarían cartas en el asunto?,¿Si fuera el agraviado conocid@ tuyo o familiar hubieras denunciado el hecho?,¿Te sentiste amenazad@ por el agresor?,¿Si pudieras denunciar el hecho en la actualidad lo harias?,¿Qué tan comod@ y segur@ te sientes al asistir a la universidad?,¿Qué tan cómod@ y segur@ te sientes al andar en la vía pública?,¿A quién crees que acudirías primero si sufres un caso de acoso dentro del campus?,¿Qué actitud tomarías ante una situación de acoso?,¿Te han advertido sobre los peligros del acoso sexual?,¿Consideras que el taller de acoso sexual brindado por la universidad ha reducido el acoso entre los estudiantes?,¿Consideras que las autoridades y el Estado velan por tu seguridad?,¿A cuántas personas conoces que han sido acosadas?,¿Cuánto crees que es el porcentaje de víctimas de acoso sexual dentro de la universidad?,¿Cuánto crees que es el porcentaje de víctimas de acoso sexual fuera de la universidad?,¿Consideras que es satisfactoria la justicia por mano propia?,¿Consideras que todos los hombres son acosadores en potencia? ,¿Consideras que todos las mujeres son acosadoras en potencia? ,¿Quién crees que es el principal acosador?,¿Consideras que la culpa de acoso es por parte del acosador o acosado?,Exposicion en Vivo,Exposicion en Virtual,Frecuencia,,,,
2022/09/24 9:58:24 a. m. GMT-5,Hombre,19,Heterosexual,Mecatrónica,4,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Padres de familia,Ignorar,Sí,No,3,2,40,80,No,No,No,Hombres de mediana edad,Es del acosador,45,48,2,,,,
2022/09/24 10:06:03 a. m. GMT-5,Hombre,22,Heterosexual,Civil,10,Miraflores,No,Si,20,2018,En clase,5,Verbal,Lo ignore y continúe con mis actividades,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,Amigo,3,si,1,0,Si,Si,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,60,1,,,,
2022/09/24 10:08:49 a. m. GMT-5,Hombre,24,Heterosexual,Energia,5,Independencia,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,4,Psicólog@,Confrontar,Sí,Si,3,2,10,30,No,No,No,Mujeres de diferentes edades,Es del acosador,75,64,5,,,,
2022/09/24 10:29:55 a. m. GMT-5,Hombre,20,Heterosexual,Computer Science,3,Surquillo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,4,Amigo@,Comunicar a la autoridad competente,Sí,Si,4,0,0,50,No,Si,No,Hombres de mediana edad,Es del acosador,60,79,3,,,,
2022/09/24 10:45:04 a. m. GMT-5,Hombre,20,Heterosexual,Civil,3,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Psicólog@,Comunicar a la autoridad competente,Sí,Si,4,0,2,1,No,No,No,Hombres de mediana edad,Es del acosador,67,57,3,,,,
2022/09/24 11:15:40 a. m. GMT-5,Hombre,22,Heterosexual,Energia,7,Villa El Salvador,No,Si,22,2022,Areas comunes,1,Fisica,Me aleje de la situacion,No,,,,,,,,,,,Inseguridad por tu integridad.,"Si, considero que tendria valor.",Miembro de la universidad.,No,Transtornos emocionales,Si,Amigos,Representacion estudiantil,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,81,3,,,,
2022/09/24 12:15:45 p. m. GMT-5,Hombre,18,Heterosexual,Mecatrónica,3,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Padres de familia,Comunicar a la autoridad competente,Sí,Si,4,0,0,50,No,Tal vez,Tal vez,Adolescentes hombres,Es del acosador,46,50,2,,,,
2022/09/24 9:34:11 p. m. GMT-5,Hombre,22,Heterosexual,Industrial,7,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Amigo@,Comunicar a la autoridad competente,Sí,Si,2,0,30,40,No,Tal vez,Tal vez,Adultos mayores,Es del acosador,60,65,4,,,,
2022/09/24 9:35:56 p. m. GMT-5,Hombre,20,Heterosexual,Civil,4,San Juan de Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Autoridad de la universidad,Confrontar,Sí,Si,4,2,5,50,Si,Tal vez,Tal vez,Hombres de mediana edad,Es del acosador,60,97,4,,,,
2022/09/24 9:38:36 p. m. GMT-5,Hombre,19,Gay,Mecatrónica,4,San Miguel,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,3,Amigo@,Me alejo,Sí,Si,4,1,8,30,Si,No,No,Hombres de mediana edad,Es del acosador,80,57,1,,,,
2022/09/24 9:41:15 p. m. GMT-5,Hombre,19,Heterosexual,Computer Science,4,San Juan de Lurigancho,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Amigo@,Confrontar,Sí,No,3,3,30,70,Si,No,No,Hombres de mediana edad,Es del acosador,59,70,1,,,,
2022/09/24 9:41:41 p. m. GMT-5,Hombre,19,Heterosexual,Computer Science,4,San Borja,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,2,Padres de familia,Me alejo,Sí,Si,2,2,10,45,Si,No,No,Hombres de mediana edad,Es del acosador,68,37,2,,,,
2022/09/24 9:54:48 p. m. GMT-5,Hombre,19,Heterosexual,Mecatrónica,5,Comas,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,3,Autoridad de la universidad,Me alejo,Sí,Si,2,1,2,15,Si,No,No,Hombres de mediana edad,Es del acosador,47,61,2,,,,
2022/09/24 10:02:56 p. m. GMT-5,Hombre,19,Heterosexual,Mecatrónica,4,Santa Anita,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,2,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,4,4,40,60,No,No,No,Hombres de mediana edad,Es del acosador,73,57,2,,,,
2022/09/24 10:03:46 p. m. GMT-5,Hombre,20,Heterosexual,Mecatrónica,8,La Molina,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Sí,2022,Fisico,2,Universidad,Intervine en protección de la agraviado retirandolo,Sí,Bienestar estudiantil,5,3,5,No,"Talvez, pero no lo reconosco",,,,,,,,,,,,,,,,,,,,,79,57,3,,,,
2022/09/24 10:11:46 p. m. GMT-5,Hombre,19,Heterosexual,Electronica,6,Viilla Maria del Triunfo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,3,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,2,0,10,40,Si,Tal vez,Tal vez,Adultos mayores,Es del acosador,73,82,3,,,,
2022/09/24 10:19:18 p. m. GMT-5,Hombre,20,Gay,Bioingenieria,5,San Martin Porres,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2019,Psicológico,5,Universidad,Intervine en protección de la agraviado retirandolo,No,,,,,,,Falta de apoyo de la universidad.,No,Depende del nivel de afiliacion,No,Si,,,,,,,,,,,,,,,,73,77,1,,,,
2022/09/24 10:22:23 p. m. GMT-5,Hombre,18,Heterosexual,Mecatrónica,4,Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,3,Autoridad de la universidad,Confrontar,Sí,Si,5,0,10,60,Si,No,No,Hombres de mediana edad,Es del acosador,60,78,5,,,,
2022/09/24 10:28:13 p. m. GMT-5,Hombre,22,Heterosexual,Electronica,4,Los Olivos,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Amigo@,Comunicar a la autoridad competente,Sí,No,0,5,45,85,Si,No,No,Hombres de mediana edad,Es del acosador,40,97,2,,,,
2022/09/24 10:40:47 p. m. GMT-5,Hombre,22,Heterosexual,Computer Science,10,Miraflores,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,4,0,1,10,Si,No,No,Hombres de mediana edad,Es del acosador,75,78,4,,,,
2022/09/24 10:42:08 p. m. GMT-5,Hombre,18,Heterosexual,Bioingenieria,4,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2021,Verbal,3,Vía pública,Me abstuve y mire la escena por temor,No,,,,,,,Temor a represaría,Si,Si,No,Si,,,,,,,,,,,,,,,,60,61,2,,,,
2022/09/24 10:43:34 p. m. GMT-5,Hombre,22,Heterosexual,Mecatrónica,6,Surquillo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Sí,2011,Verbal,4,Vía pública,Me abstuve y mire la escena por temor,No,,,,,,,La victima no pidió apoyo,No,Si,No,Si,,,,,,,,,,,,,,,,85,70,2,,,,
2022/09/24 10:59:13 p. m. GMT-5,Hombre,18,Heterosexual,Industrial,4,Los Olivos,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Psicólog@,Confrontar,Sí,Si,2,0,1,30,Si,No,No,Hombres de mediana edad,Es del acosador,60,44,4,,,,
2022/09/24 11:00:10 p. m. GMT-5,Hombre,19,Heterosexual,Civil,6,Viilla Maria del Triunfo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,5,Psicólog@,Confrontar,No,Si,4,1,5,20,No,No,No,Hombres de mediana edad,Es del acosador,80,70,7,,,,
2022/09/24 11:36:52 p. m. GMT-5,Hombre,23,Heterosexual,Mecatrónica,5,Viilla Maria del Triunfo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,4,Amigo@,Me alejo,No,No,0,1,1,10,Si,No,No,Adultos mayores,Es del acosador,80,87,7,,,,
2022/09/24 11:44:40 p. m. GMT-5,Hombre,18,Heterosexual,Mecatrónica,4,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,3,0,5,40,Si,No,No,Adultos mayores,Es del acosador,70,60,7,,,,
2022/09/25 12:14:43 a. m. GMT-5,Hombre,19,Heterosexual,Mecatrónica,6,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2017,Psicológico,2,Centro comercial,Me abstuve y mire la escena por temor,Sí,Amig@,1,0,0,No,No,,,,,,,,,,,,,,,,,,,,,75,66,4,,,,
2022/09/25 12:49:02 a. m. GMT-5,Hombre,19,Heterosexual,Industrial,4,Surquillo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Verbal,3,Vía pública,Me abstuve por solicitud del agraviado,No,,,,,,,Falta de apoyo de la universidad.,Si,Depende del nivel de afiliacion,No,Si,,,,,,,,,,,,,,,,37,95,5,,,,
2022/09/25 3:31:06 a. m. GMT-5,Hombre,21,Heterosexual,Civil,3,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,4,2,Psicólog@,Comunicar a la autoridad competente,Sí,Si,5,0,4053,4053,No,No,No,Hombres de mediana edad,Es del acosador,58,61,3,,,,
2022/09/25 3:38:05 a. m. GMT-5,Hombre,18,Heterosexual,Industrial,4,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,4,Amigo@,Me alejo,Sí,No,4,2,20,30,No,No,No,Adultos mayores,Es del acosador,60,29,4,,,,
2022/09/25 8:48:24 a. m. GMT-5,Hombre,19,Heterosexual,Energia,2,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,4,Autoridad de la universidad,Actitud agresiva,No,Si,3,0,5,30,No,No,No,Hombres de mediana edad,Es del acosador,70,79,5,,,,
2022/09/25 8:54:05 a. m. GMT-5,Hombre,21,Bisexual,Industrial,8,San Borja,No,Si,25,2022,En el baño,5,Fisica,Lo ignore y continúe con mis actividades,No,,,,,,,,,,,Temor a que no te crean.,No considero que tendría valor.,Miembro de la universidad.,No,Distracción en tu vida estudiantil,Si,Autoridades Universitarias,Representacion estudiantil,No,Si,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,74,1,,,,
