Provincia,Año,Distrito,Centro Poblado,Nombre de IE,Tipo IE,Total Grados,Total Secciones,Total de estudiantes matriculados (*),Aprobados,Total Trasladados,Retirados,Requieren Recup.,Desaprobados
ANDAHUAYLAS,2019,SAN JERÓNIMO,SAN JERONIMO,54105 JUAN PABLO II,Pública                             ,6,32,510,460,15,0,40,10
ANDAHUAYLAS,2019,SAN JERÓNIMO,TOTORAL,54106 WARMA KUYAY,Pública                               ,6,11,155,138,0,0,13,4
ANDAHUAYLAS,2019,TUMAY HUARACA,UMAMARCA,54107,Pública                             ,6,12,51,46,2,0,4,1
ANDAHUAYLAS,2019,HUAYANA,HUAYANA,54108,Pública                             ,6,15,48,45,1,0,3,0
ANDAHUAYLAS,2019,TURPO,TURPO,54109,Pública                                 ,6,7,70,67,0,0,2,1
ANDAHUAYLAS,2019,ANDAHUAYLAS,CCEÑUAHURAN,54110,Pública                             ,6,6,63,62,0,0,0,1
ANDAHUAYLAS,2019,ANDAHUAYLAS,PALTACC,54111,Pública                             ,6,10,64,59,3,0,2,3
ANDAHUAYLAS,2019,ANDAHUAYLAS,CCARANCALLA,54112 SAGRADA FAMILIA,Pública                               ,6,6,33,33,4,0,0,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,HUINCHOS,54113 JOSE MARIA ARGUEDAS,Pública                             ,6,11,110,106,1,0,3,1
ANDAHUAYLAS,2019,JOSÉ MARÍA ARGUEDAS,SACCLAYA,54114,Pública                             ,6,9,56,53,0,0,3,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,PATACCOCHA,54116,Pública                               ,6,11,28,22,0,1,0,4
ANDAHUAYLAS,2019,ANDAHUAYLAS,SUCARAYLLA,54117,Pública                             ,6,6,59,59,6,0,0,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,TAPAYA,54118,Pública                             ,6,6,79,76,2,1,0,2
ANDAHUAYLAS,2019,ANDAHUAYLAS,SOCCÑACANCHA,54120,Pública                               ,6,6,84,82,0,0,0,1
ANDAHUAYLAS,2019,JOSÉ MARÍA ARGUEDAS,CHECCHE,54121 EL REDENTOR,Pública                               ,6,6,44,43,0,0,0,1
ANDAHUAYLAS,2019,ANDARAPA,PUYHUALLA CENTRO,54122,Pública                             ,6,6,28,28,0,0,0,0
ANDAHUAYLAS,2019,TALAVERA,SAN ANTONIO DE HUARATACA,54123,Pública                             ,2,2,2,2,0,0,0,0
ANDAHUAYLAS,2019,KAQUIABAMBA,TROJAHUASI,54124,Pública                               ,2,2,1,1,1,0,0,0
ANDAHUAYLAS,2019,ANDARAPA,SAN MARTIN DE TOXAMA,54125,Pública                            ,6,6,28,27,0,0,0,1
ANDAHUAYLAS,2019,ANDARAPA,CHANTA,54126,Pública                             ,6,17,21,18,0,0,3,0
ANDAHUAYLAS,2019,ANDARAPA,COTABAMBA,54127,Pública                               ,5,5,14,14,0,0,0,0
ANDAHUAYLAS,2019,TALAVERA,OTAS BELLAVISTA,54128,Pública                             ,6,6,46,44,0,1,0,1
ANDAHUAYLAS,2019,HUANCARAY,CCANCCAYLLO,54134,Pública                             ,4,4,4,4,2,0,0,0
ANDAHUAYLAS,2019,HUANCARAY,PAMPAMARCA,54135,Pública                               ,3,3,4,4,0,0,0,0
ANDAHUAYLAS,2019,HUANCARAY,ATACCARA,54136,Pública                               ,2,2,5,5,0,0,0,0
ANDAHUAYLAS,2019,HUANCARAY,CHUMPALLHUA,54137,Pública                               ,6,6,28,25,0,0,0,3
ANDAHUAYLAS,2019,KAQUIABAMBA,PULLURI,54142,Pública                               ,6,9,37,36,1,0,1,0
ANDAHUAYLAS,2019,PACUCHA,CHURRUBAMBA,54143,Pública                                ,6,6,29,27,0,0,0,2
ANDAHUAYLAS,2019,PACUCHA,ANCCOPACCHA,54144,Pública                             ,6,9,53,48,3,0,0,0
ANDAHUAYLAS,2019,PACUCHA,PUCULLO,54145,Pública                                ,6,6,20,20,0,0,0,0
ANDAHUAYLAS,2019,PACUCHA,COTAHUACHO BAJO,54146,Pública                                ,4,4,10,10,0,0,0,0
ANDAHUAYLAS,2019,PACUCHA,AMPI,54147,Pública                             ,3,3,4,4,0,0,0,0
ANDAHUAYLAS,2019,PACUCHA,ARGAMA BAJA,54148,Pública                             ,6,7,93,92,4,0,1,0
ANDAHUAYLAS,2019,PAMPACHIRI,CHOCCECCEÑUA,54149,Pública                             ,2,2,2,2,0,0,0,0
ANDAHUAYLAS,2019,PAMPACHIRI,CHILLIHUA,54150,Pública                             ,5,5,7,7,0,0,0,0
ANDAHUAYLAS,2019,PAMPACHIRI,TOROHUICHCCANA,54151,Pública                             ,2,2,3,3,0,0,0,0
ANDAHUAYLAS,2019,PAMPACHIRI,SAN JUAN DE AYAPAMPA,54152 SANTA ROSA,Pública                             ,6,6,82,81,3,0,0,1
ANDAHUAYLAS,2019,PAMPACHIRI,LLAMCAMA,54153,Pública                             ,6,6,41,40,0,0,0,1
ANDAHUAYLAS,2019,PAMPACHIRI,CCACHCCACHA,54154,Pública                             ,6,6,15,12,1,0,0,3
ANDAHUAYLAS,2019,POMACOCHA,HUIRACOCHAN,54155,Pública                             ,4,4,4,4,1,0,0,0
ANDAHUAYLAS,2019,KISHUARA,TONCCO BAMBA,54156,Pública                                 ,6,6,22,21,0,0,0,1
ANDAHUAYLAS,2019,KISHUARA,SECCSENCCALLA,54157,Pública                             ,6,6,23,23,2,0,0,0
ANDAHUAYLAS,2019,KISHUARA,CAVIRA,54158,Pública,6,6,89,89,0,0,0,0
ANDAHUAYLAS,2019,SAN JERÓNIMO,LLIUPAPUQUIO,54161,Pública                               ,6,18,204,183,6,2,15,4
ANDAHUAYLAS,2019,SAN JERÓNIMO,POLTOCSA,54162,Pública                             ,6,8,65,59,1,1,4,1
ANDAHUAYLAS,2019,SAN JERÓNIMO,CUPISA,54163,Pública                             ,6,22,35,22,0,3,10,0
ANDAHUAYLAS,2019,SAN JERÓNIMO,ANCATIRA,54164,Pública                             ,6,12,180,175,0,0,0,5
ANDAHUAYLAS,2019,SAN JERÓNIMO,CHAMPACCOCHA,54165,Pública                             ,6,18,160,148,6,1,10,1
ANDAHUAYLAS,2019,SAN JERÓNIMO,OLLABAMBA,54166,Pública                               ,4,6,12,11,0,0,1,0
ANDAHUAYLAS,2019,HUAYANA,SAN MIGUEL DE CHECCHEPAMPA,54167,Pública                             ,6,6,20,20,0,0,0,0
ANDAHUAYLAS,2019,TUMAY HUARACA,MARCOBAMBA,54168,Pública                                 ,6,6,15,15,0,0,0,0
ANDAHUAYLAS,2019,HUAYANA,PATAHUASI,54169,Pública                             ,6,6,16,16,0,0,0,0
ANDAHUAYLAS,2019,TURPO,TAYPICHA,54170,Pública                                 ,6,6,26,25,0,0,0,1
ANDAHUAYLAS,2019,TURPO,SANTIAGO BELEN ANTA,54171,Pública                                 ,6,6,44,43,1,0,0,1
ANDAHUAYLAS,2019,TURPO,PALLACCOCHA,54172,Pública                                 ,6,6,33,33,3,0,0,0
ANDAHUAYLAS,2019,TURPO,SOCOSPATA,54173,Pública                                 ,6,6,55,55,1,0,0,0
ANDAHUAYLAS,2019,TURPO,PARAGUA,54174,Pública                                 ,4,4,8,8,0,0,0,0
ANDAHUAYLAS,2019,TURPO,YANACCMA,54175,Pública                                 ,5,5,18,18,0,0,0,0
ANDAHUAYLAS,2019,TURPO,SAN JUAN DE OCCOLLO,54176,Pública                                 ,6,6,56,56,0,0,0,0
ANDAHUAYLAS,2019,TALAVERA,TALAVERA,54177 EL BUEN PASTOR,Pública                                ,6,26,511,509,52,0,1,1
ANDAHUAYLAS,2019,TALAVERA,TALAVERA,54178,Pública                            ,6,16,406,404,26,0,0,2
ANDAHUAYLAS,2019,TALAVERA,CHIHUAMPATA,54180,Pública                                ,6,10,63,57,5,0,4,2
ANDAHUAYLAS,2019,TALAVERA,UCHU HUANCARAY,54181,Pública                             ,6,18,35,30,3,0,4,1
ANDAHUAYLAS,2019,CHIARA,CHIARA,54190,Pública                             ,6,7,50,42,1,3,1,4
ANDAHUAYLAS,2019,CHIARA,SANTIAGO DE YAURECC,54191,Pública                               ,6,15,31,28,0,0,3,0
ANDAHUAYLAS,2019,SAN MIGUEL DE CHACCRAMPA,SAN MIGUEL DE CHACCRAMPA,54192,Pública                                 ,6,12,86,79,6,0,7,0
ANDAHUAYLAS,2019,SAN ANTONIO DE CACHI,CACHIYAURECC,54193,Pública                             ,5,5,8,8,1,0,0,0
ANDAHUAYLAS,2019,SAN ANTONIO DE CACHI,SAN ANTONIO DE CACHI,54207,Pública                             ,6,6,31,29,4,1,0,1
ANDAHUAYLAS,2019,SAN ANTONIO DE CACHI,CHULLISANA,54208,Pública                             ,6,6,46,46,2,0,0,0
ANDAHUAYLAS,2019,SAN ANTONIO DE CACHI,CCAPCCA,54209 VIRGEN DE LAS MERCEDES,Pública                             ,6,10,38,33,0,0,4,1
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,SANTA MARIA DE CHICMO,54210,Pública                             ,6,10,147,144,3,0,0,3
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,TARAMBA,54211,Pública                            ,6,8,46,43,1,0,3,0
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,CHICHUCANCHA,54212,Pública                                ,3,3,5,5,0,0,0,0
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,CASCABAMBA,54213,Pública                             ,6,7,78,76,2,0,1,1
ANDAHUAYLAS,2019,TALAVERA,OSCCOLLOPAMPA,54214,Pública                             ,5,4,9,9,0,0,0,0
ANDAHUAYLAS,2019,TALAVERA,CCACCACHA,54215,Pública                                ,6,6,21,20,0,1,0,0
ANDAHUAYLAS,2019,TALAVERA,PAMPAMARCA,54216,Pública                            ,6,11,125,120,6,0,2,3
ANDAHUAYLAS,2019,TALAVERA,MULACANCHA,54217,Pública                                ,6,6,25,24,2,0,0,1
ANDAHUAYLAS,2019,TALAVERA,LLANTUYHUANCA,54218,Pública                             ,6,6,26,26,0,0,0,0
ANDAHUAYLAS,2019,TALAVERA,PUMACURI,54220,Pública                                ,2,2,4,4,0,0,0,0
ANDAHUAYLAS,2019,TALAVERA,LUISPATA,54221,Pública                                 ,6,6,80,80,3,0,0,0
ANDAHUAYLAS,2019,CHIARA,CHILLMAY,54231,Pública                               ,6,11,14,10,0,0,4,0
ANDAHUAYLAS,2019,SAN MIGUEL DE CHACCRAMPA,IGLESIAPATA,54232,Pública                             ,6,6,49,49,0,0,0,0
CHINCHEROS,2019,OCOBAMBA,PISCOBAMBA BAJA,54238,Pública                             ,6,6,49,47,0,0,0,2
CHINCHEROS,2019,OCOBAMBA,MAUCALLACTA,54242,Pública                               ,6,11,127,123,0,0,2,2
ANDAHUAYLAS,2019,SAN ANTONIO DE CACHI,CACHIHUANCARAY,54249,Pública                             ,4,4,5,5,1,0,0,0
ANDAHUAYLAS,2019,SAN ANTONIO DE CACHI,TANQUIHUA,54250,Pública                             ,6,6,9,9,0,0,0,0
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,LAMAY,54251,Pública                                ,6,6,50,48,0,0,0,2
ANDAHUAYLAS,2019,ANDARAPA,SAN JUAN DE MIRAFLORES,54339,Pública                            ,6,9,27,24,6,0,3,0
ANDAHUAYLAS,2019,TUMAY HUARACA,PAMPAPUQUIO,54341,Pública                                ,6,6,29,29,1,0,0,0
ANDAHUAYLAS,2019,TURPO,TORACCA,54470,Pública                                 ,6,6,25,25,0,0,0,0
ANDAHUAYLAS,2019,PACUCHA,LAGUNA,54473,Pública                                ,6,6,21,21,0,0,0,0
ANDAHUAYLAS,2019,PAMPACHIRI,HUACCOTO,54474,Pública                             ,3,3,3,3,0,0,0,0
ANDAHUAYLAS,2019,TALAVERA,PISCHU,54476,Pública                             ,1,1,3,3,0,0,0,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,CURIBAMBA,54490 HOGAR DE CRISTO,Pública                               ,6,22,511,502,13,1,0,8
ANDAHUAYLAS,2019,ANDAHUAYLAS,CCACCE,54491,Pública                               ,6,6,33,33,0,0,0,0
ANDAHUAYLAS,2019,KISHUARA,SOTCCOMAYO,54492 INCA GARCILASO DE LA VEGA,Pública                                 ,6,6,52,52,5,0,0,0
ANDAHUAYLAS,2019,ANDARAPA,HUANCAS,54493,Pública                            ,6,6,66,65,1,0,0,1
ANDAHUAYLAS,2019,TUMAY HUARACA,CCALLO OCCO,54494,Pública                                ,5,5,11,10,0,0,0,1
ANDAHUAYLAS,2019,PAMPACHIRI,SAN JOSE DE CHONTAYA,54495,Pública                             ,4,4,11,11,0,0,0,0
ANDAHUAYLAS,2019,SAN JERÓNIMO,CHULLCUISA,54496,Pública                             ,6,6,34,33,0,0,0,1
ANDAHUAYLAS,2019,ANDARAPA,HUALLHUAYOCC,54497,Pública                            ,6,6,31,31,1,0,0,0
ANDAHUAYLAS,2019,HUANCARAY,CCORIRAYA,54498,Pública                               ,4,4,4,4,2,0,0,0
ANDAHUAYLAS,2019,PACUCHA,MANCHAYBAMBA,54499,Pública                                ,6,6,53,51,0,0,0,2
ANDAHUAYLAS,2019,TUMAY HUARACA,SAN JUAN DE CCOCHAPUCRO,54500,Pública                                 ,6,6,26,26,3,0,0,0
ANDAHUAYLAS,2019,SAN ANTONIO DE CACHI,HUANTANA,54502,Pública                             ,6,11,27,23,1,0,4,0
ANDAHUAYLAS,2019,SAN ANTONIO DE CACHI,SAN JUAN DE KULA,54503,Pública                             ,6,6,54,54,0,0,0,0
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,CCANTUPATA,54507,Pública                            ,6,6,43,43,0,0,0,0
ANDAHUAYLAS,2019,TALAVERA,SACHAPUNA,54517,Pública                             ,2,4,3,0,0,0,2,1
ANDAHUAYLAS,2019,PACUCHA,SANTA ELENA,54518,Pública                                ,6,6,33,33,0,0,0,0
ANDAHUAYLAS,2019,TUMAY HUARACA,VILLA SANTA ROSA,54520,Pública                                ,6,6,46,39,0,1,0,6
ANDAHUAYLAS,2019,CHIARA,NUEVA HUILLCAYHUA,54521,Pública                             ,6,6,16,15,0,0,0,1
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,MOYABAMBA BAJA,54535,Pública                                ,6,6,79,79,3,0,0,0
ANDAHUAYLAS,2019,TALAVERA,POSOCCOY,54536,Pública                                 ,5,7,19,18,0,0,1,0
ANDAHUAYLAS,2019,KISHUARA,QUILLABAMBA,54539,Pública                                ,6,6,61,59,1,0,0,2
ANDAHUAYLAS,2019,TALAVERA,TIMPUCCHUAYCCO,54542,Pública                                ,6,6,38,38,1,0,0,0
ANDAHUAYLAS,2019,TALAVERA,POCCONTOY,54544,Pública                                 ,6,6,27,26,0,0,0,1
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,REBELDE HUAYRANA,54549,Pública                                ,6,9,103,98,3,3,2,0
ANDAHUAYLAS,2019,SAN MIGUEL DE CHACCRAMPA,SAN JUAN DE PAMPA,54551,Pública                                 ,6,6,40,40,0,0,0,0
ANDAHUAYLAS,2019,PACUCHA,SANTA ROSA,54553,Pública                                ,6,6,33,33,1,0,0,0
ANDAHUAYLAS,2019,SAN MIGUEL DE CHACCRAMPA,SAN ISIDRO DE TACTA,54554,Pública                                 ,3,3,3,3,0,0,0,0
ANDAHUAYLAS,2019,TURPO,CONTUCNA,54556,Pública                                 ,3,3,5,5,0,0,0,0
ANDAHUAYLAS,2019,ANDARAPA,CHUSPI,54557,Pública                                 ,5,5,20,19,0,0,0,1
ANDAHUAYLAS,2019,SAN JERÓNIMO,PUISO,54571,Pública                               ,6,3,6,6,1,0,0,0
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,CHAUPIORCCO,54573,Pública                                 ,6,6,36,36,2,0,0,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,HUARACCO OCCO,54580,Pública                               ,3,3,7,7,0,0,0,0
ANDAHUAYLAS,2019,ANDARAPA,UMACA,54582,Pública                             ,6,6,12,11,0,0,0,1
ANDAHUAYLAS,2019,ANDARAPA,HUAMPICA,54588,Pública                            ,6,6,54,52,1,0,0,2
ANDAHUAYLAS,2019,KISHUARA,LARAMARU,54589,Pública                                 ,6,6,29,29,1,0,0,0
ANDAHUAYLAS,2019,SAN MIGUEL DE CHACCRAMPA,SANTIAGO DE YANACULLO,54598,Pública                                 ,6,6,19,19,0,0,0,0
ANDAHUAYLAS,2019,PACUCHA,ROSASPATA,54599,Pública                             ,4,4,14,14,2,0,0,0
ANDAHUAYLAS,2019,SAN MIGUEL DE CHACCRAMPA,VIRGEN DEL CARMEN DE TAMBO,54605,Pública                             ,6,6,22,22,0,0,0,0
ANDAHUAYLAS,2019,JOSÉ MARÍA ARGUEDAS,CUMANAYLLA,54609,Pública                             ,6,6,29,28,0,0,0,1
ANDAHUAYLAS,2019,SAN JERÓNIMO,SANTA ROSA,54612,Pública                             ,3,3,3,3,1,0,0,0
ANDAHUAYLAS,2019,KISHUARA,TINTAY,54622,Pública                                ,6,8,44,41,1,0,2,1
ANDAHUAYLAS,2019,SAN ANTONIO DE CACHI,SAN JUAN BAUTISTA,54623,Pública                             ,6,6,41,39,1,0,0,1
ANDAHUAYLAS,2019,JOSÉ MARÍA ARGUEDAS,ÑAHUINPUQUIO,54625,Pública                               ,6,6,35,32,2,1,0,2
CHINCHEROS,2019,OCOBAMBA,ATACCARA,54627,Pública                               ,3,3,4,4,2,0,0,0
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,CHIQUILLAN,54631,Pública                             ,6,6,36,36,0,0,0,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,PUCA CCASSA,54633 LA FLORESTA,Pública                             ,2,2,3,3,0,0,0,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,SANTA ROSA DE CHACAPUENTE,54642,Pública                                 ,6,6,31,30,0,0,0,1
ANDAHUAYLAS,2019,TALAVERA,CHACCAMARCA,54650,Pública                                ,3,3,5,5,1,0,0,0
ANDAHUAYLAS,2019,KAQUIABAMBA,ANYANIZO,54653,Pública                               ,5,5,12,12,0,0,0,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,LOS ANGELES,54655,Pública                             ,6,8,128,119,3,0,5,4
ANDAHUAYLAS,2019,TALAVERA,BUENA VISTA,54656,Pública                                ,6,6,29,27,0,0,0,2
ANDAHUAYLAS,2019,TALAVERA,CHUMBIBAMBA,54658,Pública                                ,4,4,8,8,1,0,0,0
ANDAHUAYLAS,2019,PACUCHA,TOCCTOPATA,54659,Pública                             ,2,2,3,2,0,1,0,0
ANDAHUAYLAS,2019,ANDARAPA,CCASABAMBA,54664,Pública                            ,4,4,5,5,0,0,0,0
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,NUEVA ESPERANZA,54674,Pública                             ,6,12,228,228,2,0,0,0
ANDAHUAYLAS,2019,SAN JERÓNIMO,YUNCAYA,54676,Pública,1,1,4,4,0,0,0,0
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,CCOLLCCA,54685,Pública                             ,6,6,28,28,2,0,0,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,ANCCARAYLLA,54686 INMACULADO CORAZON,Pública                         ,6,6,18,18,1,0,0,0
ANDAHUAYLAS,2019,TUMAY HUARACA,PULPERIA,54713,Pública                                ,6,6,20,20,0,0,0,0
ANDAHUAYLAS,2019,KISHUARA,CCORIPACCHA,54715,Pública                                ,3,3,7,7,0,0,0,0
ANDAHUAYLAS,2019,PAMPACHIRI,CHUCCHUMPI,54717,Pública                             ,2,2,2,2,0,0,0,0
ANDAHUAYLAS,2019,KISHUARA,CCOTAQUITE,54718,Pública                                ,6,6,16,16,1,0,0,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,PANPANZA SAHUACA,54719,Pública                             ,6,6,32,31,0,0,0,1
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,PUCAHUASI,54720,Pública                             ,4,4,8,8,0,0,0,0
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,ALTO SANTA ROSA,54721,Pública                               ,6,6,27,27,0,0,0,0
ANDAHUAYLAS,2019,SAN JERÓNIMO,ANTAPATA,54722,Pública                             ,2,2,4,4,0,0,0,0
ANDAHUAYLAS,2019,ANDARAPA,SAN ANTONIO DE CHUCO,54724,Pública                               ,3,3,4,4,0,0,0,0
ANDAHUAYLAS,2019,TUMAY HUARACA,SANTIAGO DE YANAMA,54725,Pública                                ,4,4,6,5,4,0,0,1
ANDAHUAYLAS,2019,TALAVERA,ORCCONMARCA,54726,Pública                                 ,2,2,2,2,0,0,0,0
ANDAHUAYLAS,2019,SAN JERÓNIMO,ÑAHUINCUCHO,54727,Pública                             ,6,9,55,52,0,0,3,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,ANDAHUAYLAS,54930,Pública                            ,6,10,125,116,36,1,2,5
ANDAHUAYLAS,2019,ANDAHUAYLAS,ANDAHUAYLAS,55005,Pública                               ,6,35,833,802,21,0,25,6
ANDAHUAYLAS,2019,ANDAHUAYLAS,ANDAHUAYLAS,55006,Pública                             ,6,37,809,774,18,1,20,14
ANDAHUAYLAS,2019,ANDAHUAYLAS,ANDAHUAYLAS,55006-1,Pública                               ,6,28,591,574,4,0,17,0
ANDAHUAYLAS,2019,HUANCARAY,SANTIAGO PATA,55006-11,Pública                               ,6,6,48,47,2,0,0,1
ANDAHUAYLAS,2019,ANDAHUAYLAS,FLOR DE YUNCA,55006-12,Pública                             ,6,6,17,17,0,0,0,0
ANDAHUAYLAS,2019,TURPO,CHAUPIMOLLE,55006-13,Pública                             ,3,3,3,3,0,0,0,0
ANDAHUAYLAS,2019,SANTA MARÍA DE CHICMO,PALOMINO PATA,55006-14,Pública                            ,6,10,28,25,2,0,2,1
ANDAHUAYLAS,2019,ANDARAPA,LA MERCED,55006-15,Pública                            ,6,6,19,19,2,0,0,0
ANDAHUAYLAS,2019,TUMAY HUARACA,ISCHU ORCCO,55006-16,Pública                                ,5,5,6,6,1,0,0,0
ANDAHUAYLAS,2019,TALAVERA,TALAVERA,55006-17,Pública                                ,6,20,340,308,6,0,23,9
ANDAHUAYLAS,2019,KISHUARA,YANAYACU,55006-18,Pública                                ,4,4,6,5,0,0,0,1
ANDAHUAYLAS,2019,ANDARAPA,PUYHUALLA ALTA,55006-19,Pública                            ,6,6,49,45,0,0,0,4
ANDAHUAYLAS,2019,TALAVERA,ARANJUEZ,55006-2 SAN JOSE,Pública                                ,6,11,146,119,13,0,17,10
ANDAHUAYLAS,2019,SAN JERÓNIMO,SUYLLUACA,55006-20 ESCUELA CONCERTADA SOLARIS,Pública                             ,6,15,305,297,5,0,6,2
ANDAHUAYLAS,2019,HUANCARAY,HUICHCCANA,55006-22,Pública                               ,6,3,6,6,0,0,0,0
ANDAHUAYLAS,2019,TALAVERA,TALAVERA,55006-3,Pública                                ,6,24,511,494,10,0,17,0
ANDAHUAYLAS,2019,SAN JERÓNIMO,SAN JERONIMO,55006-4,Pública                             ,6,15,282,280,3,0,1,1
ANDAHUAYLAS,2019,KISHUARA,SAN MIGUEL DE SIPILLHUAY,55006-6,Pública                                 ,4,4,3,3,2,0,0,0
ANDAHUAYLAS,2019,SAN JERÓNIMO,CHOCCECANCHA,55006-7,Pública                               ,6,6,62,60,1,0,0,2
ANDAHUAYLAS,2019,PACUCHA,HUAYCCON,55006-8,Pública                             ,3,3,3,3,0,0,0,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,COLLPA,55006-9,Pública                             ,4,4,13,12,1,0,0,1
ANDAHUAYLAS,2019,HUANCARAY,LOS ANGELES,55011,Pública                               ,4,4,14,14,0,0,0,0
ANDAHUAYLAS,2019,PAMPACHIRI,CCENTA,55012,Pública                             ,5,5,8,8,0,0,0,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,ANDAHUAYLAS,ACDUNI,Privada                                     ,6,10,62,59,11,0,3,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,ANDAHUAYLAS,CRISTO REDENTOR,Privada                                     ,3,3,38,38,4,0,0,0
ANDAHUAYLAS,2019,JOSÉ MARÍA ARGUEDAS,HUARACCOPATA,HUARACCOPATA,Pública                             ,6,6,30,29,0,0,0,1
ANDAHUAYLAS,2019,ANDAHUAYLAS,ANDAHUAYLAS,JESUS NAZARENO,Privada                                    ,6,6,145,144,14,1,0,0
ANDAHUAYLAS,2019,TALAVERA,TALAVERA,JUAN PABLO II,Privada                                   ,3,5,25,22,5,1,1,1
ANDAHUAYLAS,2019,PACUCHA,COTAHUACHO ALTO,LUZ DIVINA DE LOS ANDES,Pública                                ,6,6,60,57,2,0,0,3
ANDAHUAYLAS,2019,TALAVERA,TALAVERA,MARIA MONTESSORI,Privada,2,2,31,31,1,0,0,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,ANDAHUAYLAS,PITAGORAS NIVEL A,Privada                                      ,6,9,162,155,6,0,6,1
ANDAHUAYLAS,2019,TALAVERA,TALAVERA,SANTA MARIA,Privada                                     ,6,10,81,80,17,0,1,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,ANDAHUAYLAS,SANTA ROSA,Privada                                      ,6,7,197,197,6,0,0,0
ANDAHUAYLAS,2019,ANDAHUAYLAS,ANDAHUAYLAS,TRIPOLO,Privada                                      ,6,15,189,167,24,0,22,0
ANDAHUAYLAS,2019,SAN JERÓNIMO,SAN JERONIMO,VIA LUCIS,Privada                                      ,5,5,50,50,5,0,0,0
