¿Cuántos años tienes? Responder solo con números (ej: 24),¿En qué ciclo estás?,¿Cuánto mides? Responder en metros,¿Cuánto pesas?  Responder en kg,¿Con que género te identificas? ,¿De qué distrito eres?,¿De qué clase social te consideras?,¿Alguna vez has sido discrimid@?,¿Mediante que forma ocurrió la conducta discriminatoria?,¿A qué cree que se debió el acto de discriminación que sufrió?,¿Has recibido apoyo externo frente a un caso de discriminación?,¿Del 1 al 5 cuál es el grado de satisfacción que tienes con tus compañeros en la UTEC?,¿Sientes que la discriminación dentro de la universidad puede llevar al afectado a un mal rendimiento académico?,¿Del 1 al 5 qué tan importante te parece concientizar acerca de la discriminación?
17,2,1.65,60,Hombre,San Juan de Miraflores,Clase media,No,,,,4,Si,2
18,3,1.8,72,Hombre,San Borja,Clase media alta,No,,,,1,Si,1
19,4,1.76,56,Hombre,San Isidro,Clase media,Sí,Física,Estatus social,No,5,Si,5
18,3,1-75,68,Hombre,Santiago de Surco,Clase media alta,Sí,Verbal,Estatus económico,No,4,Si,5
17,2,1.78,80,Hombre,Santiago de Surco,Clase media,No,,,,3,Si,5
19,4,1.95,92,Hombre,Santiago de Surco,Clase alta,No,,,,4,Si,5
17,2,1.7,58,Hombre,San Borja,Clase media alta,Sí,Verbal,Color de piel,No,3,Si,5
18,2,1.77,66,Hombre,Miraflores,Clase media alta,No,,,,4,Si,5
18,2,1.76,76,Hombre,Chorrillos,Clase media,No,,,,4,Si,4
18,2,1.80,87 aprox,Hombre,Surquillo,Clase media,No,,,,4,Si,3
18,2,178,71(estoy en volumen),Hombre,Santiago de Surco,Clase media alta,No,,,,5,Si,5
18,1,1.64,56,Mujer,ayacucho,Clase media baja,No,,,,4,Si,5
16,2,1.53,50,Mujer,Miraflores,Clase media,No,,,,5,Si,5
20,3,1.65,57,Hombre,Santiago de Surco,Clase baja,Sí,Verbal,Color de piel,No,4,Si,5
19,1,1.87,82,Hombre,Independencia,Clase baja,No,,,,5,Si,4
20,3,1.65,57,Hombre,Santiago de Surco,Clase baja,No,,,,4,Si,4
17,1,1.75,63,Hombre,San Miguel,Clase media,No,,,,5,Si,5
18,3,"1,6",45,Mujer,Barranco,Clase media baja,No,,,,4,Si,5
19,1,"1,57",53,Mujer,San Luis,Clase media,No,,,,4,Si,5
18,2,"1,63",70,Hombre,Lurín,Clase media baja,Sí,TA,Aspecto físico,No,1,Si,3
18,2,1.75,88,Hombre,Santiago de Surco,Clase media,Sí,Verbal,Lugar de origen,Si,4,Si,3
19,2,1.66,60,Hombre,San Juan de Lurigancho,Clase media baja,Sí,Exclusión,Aspecto físico,No,4,Si,5
20,3,1.62,60,Hombre,San Juan de Lurigancho,Clase media,No,,,,4,Si,5
19,4,1.70,80,Hombre,Ate Vitarte,Clase media,No,,,,5,Si,5
17,2,1.7,54,Hombre,Miraflores,Clase media alta,No,,,,4,Si,5
17,2,1.78,72,Hombre,Barranco,Clase media alta,No,,,,5,Si,5
17,2,"1,64",50,Hombre,Chorrillos,Clase media,No,,,,5,Si,5
19,3,"1,69",66,Hombre,Los Olivos,Clase media alta,Sí,Exclusión,Enfermo ,No,5,Si,4
17,2,1.75,57,Hombre,Santiago de Surco,Clase media alta,No,,,,5,Si,5
18,4,1.65,58,Hombre,Santiago de Surco,Clase media alta,Sí,Exclusión,Aspecto físico,No,4,Si,2
19,3,60,58,Mujer,San Isidro,Clase media alta,No,,,,5,No,5
24,3,1.63,90,Hombre,San Juan de Lurigancho,Clase media baja,No,,,,3,Si,5
19,2,1.50,50,Mujer,San Juan de Miraflores,Clase media,No,,,,5,Si,5
17,1,156,48,Mujer,San Juan de Lurigancho,Clase baja,No,,,,5,Si,5
22,4,1.75,78,Hombre,Lima,Clase media,No,,,,5,Si,5
18,2,1.65,58,Mujer,Miraflores,Clase media alta,No,,,,5,Si,5
18,5,1.58,60,Hombre,Chorrillos,Clase media baja,Sí,Verbal,Lugar de origen,Si,4,Si,5
Opción 18,4,167,86,Hombre,Lurín,Clase media,No,,,,5,Si,5
18,4,1.7,65,Hombre,San Juan de Miraflores,Clase media,Sí,Exclusión,Estatus económico,No,4,Si,5
18,4,1.57,54,Mujer,La Molina,Clase media,No,,,,5,Si,5
18,3,183,98,Hombre,Barranco,Clase media,Sí,Verbal,Aspecto físico,No,5,Si,5
17,2,154,56,Mujer,Chorrillos,Clase media,No,,,,4,Si,5
18,4,170,75,Hombre,Ancón,Clase media baja,Sí,No me permitieron entrar a un establecimiento.,Color de piel,Si,5,Si,5
18,4,1.75,89,Hombre,Barranco,Clase media alta,No,,,,5,No,4
18,4,1.7,65,Hombre,San Juan de Miraflores,Clase baja,Sí,Verbal,Color de piel,No,4,Si,5
21,2,153,53,Mujer,Chorrillos,Clase media,No,,,,5,Si,5
21,6,1.70,85,Hombre,San Juan de Lurigancho,Clase media baja,No,,,,5,Si,5
19,2,1.65,70,Mujer,San Juan de Lurigancho,Clase media baja,Sí,Exclusión,Aspecto físico,Si,4,Si,5
19,3,1.67,65,Hombre,Los Olivos,Clase media baja,Sí,Exclusión,Estatus económico,No,3,Si,4
18,2,1.71,80,Hombre,Los Olivos,Clase media,Sí,Verbal,Aspecto físico,No,3,Si,4
20,3,1.72,77,Hombre,San Isidro,Clase media,Sí,Exclusión,Orientación sexual ,No,4,Si,4
19,7,1.64,60,Mujer,Miraflores,Clase media alta,No,,,,4,Si,4
19,3,1.62,71,Hombre,Los Olivos,Clase media baja,Sí,Verbal,Aspecto físico,No,3,No,4
22,7,1.75,76,Hombre,Surquillo,Clase media,No,,,,4,Si,4
22,7,1.68,70,Hombre,San Juan de Lurigancho,Clase media baja,No,,,,4,Si,4
21,4,1.66,63,Mujer,Los Olivos,Clase media,Sí,Exclusión,Aspecto físico,No,4,Si,4
19,4,1.74,81,Hombre,Comas,Clase media baja,No,,,,3,Si,4
17,1,1.67,74,Mujer,Lince,Clase media,Sí,Verbal,Aspecto físico,No,4,No,4
22,7,1.73,69,Mujer,Jesús María,Clase media alta,No,,,,5,Si,4
22,5,1.63,58,Mujer,Miraflores,Clase media alta,No,,,,4,Si,3
19,3,1.76,90,Hombre,Lince,Clase media alta,Sí,Verbal,Aspecto físico,No,5,Si,4
20,5,1.68,77,Hombre,San Juan de Lurigancho,Clase media baja,No,,,,4,Si,4
20,4,1.71,70,Hombre,San Miguel,Clase media,Sí,Verbal,Orientación sexual ,No,4,Si,4
23,8,1.66,65,Mujer,Chorrillos,Clase media alta,Sí,Verbal,Sexo,Si,4,Si,4
19,4,1.70,76,Hombre,El Agustino,Clase media baja,No,,,,4,Si,3
21,7,1.78,85,Hombre,Magdalena del Mar,Clase media alta,No,,,,4,Si,4
21,6,1.72,67,Mujer,Jesús María,Clase media,Sí,Verbal,Orientación sexual ,No,4,Si,4
17,2,1.68,70,Hombre,Pachacamac,Clase media baja,Sí,Exclusión,Lugar de residencia,No,4,Si,4
17,2,1.66,60,Mujer,Breña,Clase media alta,No,,,,5,Si,4
17,2,1.72,79,Hombre,Chorrillos,Clase media,No,,,,5,Si,5
19,4,1.65,60,Hombre,San Juan de Lurigancho,Clase media,No,,,,5,No,3
17,2,1.70,89,Hombre,La Victoria,Clase media,No,,,,5,Si,5
17,2,1.69,75,Hombre,Pucusana,Clase media baja,No,,,,5,Si,4
18,4,1.56,59,Mujer,San Isidro,Clase media alta,No,,,,5,Si,5
19,5,1.85,95,Hombre,San Miguel,Clase media,Sí,Verbal,Debido a mi altura,No,5,Si,5
18,2,1.72,79,Hombre,Pachacamac,Clase media,Sí,Verbal,Color de piel,Si,5,Si,5
19,3,1.56,55,Mujer,Villa El Salvador,Clase media baja,Sí,Exclusión,Estatus económico,No,5,Si,5
17,2,1.68,89,Hombre,Lince,Clase media baja,Sí,Mediante insultos,Fue por mi sobrepeso ,No,4,Si,4
20,3,1.67,66,Mujer,San Juan de Lurigancho,Clase media,Sí,Verbal,Debido a un embarazo,Si,5,Si,5
17,2,1.58,53,Mujer,Surquillo,Clase media,No,,,,5,Si,5
21,5,1.71,63,Mujer,La Molina,Clase media alta,No,,,,5,No,5
18,3,1.59,56,Mujer,Villa María del Triunfo,Clase media baja,Sí,Verbal,Sexo,Si,5,Si,5
19,5,1.63,56,Mujer,San Martín de Porres,Clase media,No,,,,5,Si,5
18,4,1.78,75,Mujer,Santiago de Surco,Clase media alta,Sí,Verbal,Aspecto físico,Si,5,Si,5
17,1,1.67,69,Hombre,Chorrillos,Clase media,No,,,,5,Si,5
18,4,1.61,70,Hombre,Miraflores,Clase media alta,No,,,,5,Si,5
19,5,1.72,84,Hombre,Santiago de Surco,Clase media,No,,,,5,Si,5
17,2,1.66,65,Mujer,Villa El Salvador,Clase media,Sí,Exclusión,Aspecto físico,No,5,Si,5
18,3,1.67,75,Mujer,Cieneguilla,Clase media,Sí,Verbal,Aspecto físico,Si,5,Si,5
17,1,1.69,72,Hombre,Santiago de Surco,Clase media,No,,,,5,Si,5
19,4,1.75,76,Mujer,Chorrillos,Clase media,Sí,Verbal,Color de piel,No,5,Si,5
17,2,1.68,83,Hombre,San Miguel,Clase media,No,,,,5,Si,5
18,2,1.69,76,Hombre,Lurín,Clase media,Sí,Verbal,Religión,Si,5,Si,4
19,6,1.79,95,Hombre,Villa El Salvador,Clase media baja,Sí,Física,Estatus económico,No,4,Si,5
19,5,1.78,89,Hombre,Miraflores,Clase media alta,No,,,,5,Si,5
17,2,1.65,59,Mujer,Chorrillos,Clase media,No,,,,5,Si,5
18,1,1.69,76,Hombre,Lurín,Clase media baja,Sí,Verbal,Lugar de residencia,Si,5,Si,5
19,3,1.60,65,Mujer,Breña,Clase media,Sí,Exclusión,Sexo,Si,4,Si,5
17,2,1.55,60,Mujer,Comas,Clase media,Sí,Física,Lugar de residencia,No,5,Si,5
18,2,1.73,89,Hombre,La Molina,Clase media alta,No,,,,5,Si,5
17,2,1.63,69,Hombre,Barranco,Clase media,Sí,Física,Lugar de origen,Si,5,No,5
17,2,1.68,71,Hombre,Los Olivos,Clase media,No,,,,5,Si,5
18,4,1.67,75,Hombre,Santiago de Surco,Clase media alta,No,,,,4,Si,5
18,3,1.65,67,Mujer,Barranco,Clase media,Sí,Verbal,Sexo,No,5,Si,5
21,6,1.63,73,Mujer,San Martín de Porres,Clase media baja,Sí,Verbal,Estatus social,No,4,No,4
21,6,1.66,66,Mujer,San Juan de Lurigancho,Clase media,Sí,Verbal,Color de piel,No,4,Si,4
22,7,1.72,80,Hombre,Jesús María,Clase media,No,,,,4,Si,3
22,5,1.76,88,Hombre,Chorrillos,Clase media alta,No,,,,4,No,3
19,5,1.66,63,Mujer,Comas,Clase media,Sí,Exclusión,Lugar de origen,No,4,Si,4
17,1,1.67,69,Hombre,Breña,Clase media,No,,,,4,No,4
20,4,1.78,88,Hombre,Lince,Clase media,No,,,,4,Si,4
17,1,1.55,50,Mujer,Carabayllo,Clase media baja,No,,,,5,Si,5
17,1,1.70,69,Mujer,Cieneguilla,Clase media,No,,,,5,Si,5
17,2,1.56,56,Mujer,San Borja,Clase media alta,No,,,,5,Si,5
17,2,1.66,56,Mujer,San Isidro,Clase alta,No,,,,5,Si,5
18,1,1.54,52,Mujer,Villa El Salvador,Clase media,No,,,,4,Si,5
18,1,1.59,65,Mujer,Villa María del Triunfo,Clase media baja,No,,,,4,Si,5
21,5,1.68,75,Hombre,Breña,Clase media,No,,,,4,Si,4
18,2,1.64,52,Mujer,Santiago de Surco,Clase media,Sí,Mediante redes sociales,Aspecto físico,Si,5,Si,5
18,4,1.57,60,Mujer,Villa El Salvador,Clase media,Sí,Exclusión,Religión,Si,5,Si,5
23,5,1.68,66,Mujer,Barranco,Clase media,Sí,Exclusión,Estatus económico,No,4,No,3
18,3,1.58,59,Mujer,Lurín,Clase media,Sí,Verbal,Lugar de residencia,No,5,Si,5
21,3,1.66,67,Hombre,Jesús María,Clase media,No,,,,4,Si,4
18,5,1.71,77,Hombre,Rímac,Clase media baja,Sí,Verbal,Lugar de origen,No,4,Si,4
18,4,1.66,57,Mujer,Miraflores,Clase media,Sí,Verbal,Color de piel,No,5,Si,5
21,5,1.66,80,Hombre,Los Olivos,Clase media baja,Sí,Verbal,Aspecto físico,No,4,Si,4
19,6,1.59,67,Mujer,Miraflores,Clase media,Sí,Verbal,Sexo,No,5,Si,5
21,9,1.65,58,Mujer,Barranco,Clase media,Sí,Verbal,Lugar de residencia,No,5,Si,5
18,4,1.70,70,Hombre,La Victoria,Clase media,No,,,,5,Si,5
20,4,1.76,90,Mujer,La Molina,Clase media,Sí,Verbal,Aspecto físico,No,4,Si,3
18,4,1.69,63,Hombre,La Molina,Clase media alta,No,,,,5,Si,5
18,4,1.65,65,Hombre,Chorrillos,Clase media,No,,,,5,Si,5
19,5,1.80,82,Hombre,Miraflores,Clase media,No,,,,5,Si,5
20,5,1.78,80,Hombre,Chorrillos,Clase media alta,No,,,,3,Si,4
20,3,1.65,65,Mujer,Lince,Clase media,No,,,,4,Si,4
20,7,1.66,73,Hombre,San Juan de Miraflores,Clase media,Sí,Verbal,Color de piel,Si,5,Si,5
21,6,1.70,67,Mujer,Breña,Clase media,No,,,,4,Si,4
24,8,1.67,75,Hombre,Miraflores,Clase media alta,No,,,,5,No,5
20,8,1.68,73,Hombre,Villa María del Triunfo,Clase media,Sí,Verbal,Lugar de residencia,Si,5,Si,5
19,4,1.72,74,Hombre,Santiago de Surco,Clase media,No,,,,4,Si,5
20,5,1.65,60,Mujer,San Juan de Lurigancho,Clase media baja,No,,,,4,Si,4
22,8,1.69,65,Hombre,Pachacamac,Clase media,Sí,Verbal,Lugar de origen,No,5,Si,5
21,5,1.68,87,Hombre,Los Olivos,Clase media baja,No,,,,4,No,4
18,2,1.71,78,Hombre,Villa El Salvador,Clase media baja,No,,,,4,No,3
19,5,1.78,88,Mujer,Los Olivos,Clase media baja,Sí,Exclusión,Aspecto físico,No,4,Si,4
17,2,1.60,80,Hombre,Barranco,Clase media,Sí,Verbal,Aspecto físico,Si,4,Si,5
18,2,1.67,70,Mujer,Barranco,Clase media alta,No,,,,4,No,5
21,6,1.74,80,Hombre,Comas,Clase media,No,,,,4,No,4
17,2,1.65,62,Hombre,Barranco,Clase media,No,,,,5,Si,5
19,8,1.70,86,Hombre,Barranco,Clase media,Sí,Verbal,Aspecto físico,No,4,No,4
17,1,1.75,79,Hombre,Lurín,Clase media,Sí,Verbal,Religión,No,4,Si,5
21,6,1.78,91,Hombre,Miraflores,Clase media alta,Sí,Verbal,Aspecto físico,No,4,No,4
17,1,1.61,59,Hombre,Villa El Salvador,Clase media,Sí,Verbal,Estatus económico,Si,5,Si,5
22,7,1.63,55,Mujer,Los Olivos,Clase media,Sí,Verbal,Orientacion sexual,No,4,No,4
20,6,1.70,90,Hombre,San Juan de Lurigancho,Clase media baja,Sí,Verbal,Aspecto físico,No,4,Si,4
17,2,1.71,69,Hombre,Los Olivos,Clase media,Sí,Verbal,Aspecto físico,Si,5,Si,5
18,1,1.68,69,Mujer,San Borja,Clase media,No,,,,4,Si,4
20,5,1.73,80,Hombre,San Martín de Porres,Clase media baja,No,,,,4,No,4
19,3,1.68,63,Mujer,San Miguel,Clase media,No,,,,4,Si,4
20,5,1.73,85,Hombre,Pueblo Libre,Clase media,No,,,,4,No,4
18,1,1.65,60,Mujer,San Isidro,Clase media alta,No,,,,4,No,3
21,5,1.71,81,Hombre,Lince,Clase media,No,,,,4,Si,5
19,5,1.70,75,Mujer,Magdalena del Mar,Clase media alta,No,,,,4,Si,4
21,6,1.72,86,Hombre,San Juan de Lurigancho,Clase media,No,,,,4,Si,4
22,8,1.66,60,Mujer,La Molina,Clase media alta,No,,,,4,Si,4
19,3,1.64,59,Mujer,Surquillo,Clase media,No,,,,3,Si,4
21,7,1.70,85,Hombre,San Martín de Porres,Clase media baja,Sí,Verbal,Aspecto físico,No,4,No,4
18,2,1.68,70,Hombre,San Juan de Lurigancho,Clase media baja,No,,,,4,Si,4
19,3,1.68,75,Mujer,Los Olivos,Clase media,No,,,,4,Si,4
18,4,1.70,75,Hombre,Independencia,Clase media baja,No,,,,4,Si,4
20,6,1.75,88,Hombre,Comas,Clase media baja,No,,,,3,Si,4
21,6,1.69,68,Hombre,San Martín de Porres,Clase media baja,Sí,Verbal,Color de piel,Si,4,Si,4
22,8,1.71,75,Hombre,Comas,Clase media baja,No,,,,4,Si,4
20,6,1.69,80,Hombre,El Agustino,Clase media baja,No,,,,4,Si,3
20,5,1.68,81,Hombre,Rímac,Clase media baja,No,,,,4,Si,4
21,6,1.68,83,Hombre,San Borja,Clase media,Sí,Verbal,Orientación Sexual,No,4,Si,4
19,3,1.74,86,Hombre,Puente Piedra,Clase media baja,No,,,,4,Si,4
21,7,1.76,79,Hombre,San Martín de Porres,Clase media baja,No,,,,4,Si,4
20,5,1.69,77,Hombre,San Juan de Lurigancho,Clase media baja,No,,,,4,Si,4
19,3,1.72,69,Hombre,San Juan de Lurigancho,Clase media baja,No,,,,5,Si,4
21,7,1.73,80,Hombre,Miraflores,Clase media alta,No,,,,4,Si,4
21,6,1.71,78,Hombre,San Martín de Porres,Clase media baja,No,,,,4,Si,4
19,4,1.69,78,Hombre,El Agustino,Clase media baja,No,,,,4,Si,4
21,6,1.68,71,Hombre,Santa Anita,Clase media baja,Sí,Verbal,Aspecto físico,No,4,Si,4
23,7,1.71,78,Hombre,Villa El Salvador,Clase media baja,No,,,,4,Si,4
20,6,1.68,78,Hombre,Puente Piedra,Clase media baja,Sí,Verbal,Lugar de origen,No,4,Si,4
21,7,1.73,75,Hombre,Barranco,Clase alta,No,,,,4,Si,4
20,5,1.70,75,Hombre,Magdalena del Mar,Clase alta,No,,,,5,Si,4
22,8,1.73,80,Hombre,El Agustino,Clase baja,No,,,,4,Si,4
19,4,1.74,76,Hombre,San Isidro,Clase alta,No,,,,5,Si,4
19,5,1.70,69,Hombre,La Molina,Clase alta,No,,,,5,Si,4
21,7,1.69,80,Hombre,Villa El Salvador,Clase baja,No,,,,4,Si,4
19,4,1.71,82,Hombre,San Isidro,Clase alta,No,,,,4,Si,4
