Marca temporal,Puntuación,GENERO,CARRERA,DISPOSITIVOS,APLICACIONES,MARCA,ÁREA,NOTA,ORDEN DE MÉRITO,CICLO,SATISFACCIÓN,FRECUENCIA,CANTIDAD DE APLICACIONES,DISPOSITIVOS,MINUTOS,CURSOS,COSTO,PROMEDIO PONDERADO,DÍAS
28/04/2023 20:31:04,,FEMENINO,Ingeniería Mecánica,Smartphone,Otro,Acer,"Humanidades, Arte y Ciencias sociales(HACS)",16,Ninguno de los anteriores,Cuarto,3,3,8,2,240,6,2.000,12,7
28/04/2023 20:37:16,,MASCULINO,Ingeniería Ambiental,Smartphone,Otro,Xiaomi,"Humanidades, Arte y Ciencias sociales(HACS)",14,Ninguno de los anteriores,Cuarto,1,3,2,3,11,5,1,13,7
28/04/2023 21:09:34,,MASCULINO,Ingeniería Industrial,Laptop,MatLab,"Dell, Samsung",Cursos de carrera,18,Tercio superior,Cuarto,3,4,7,3,450,6,4000,15,7
28/04/2023 21:27:03,,MASCULINO,Ingeniería Mecatrónica,Smartphone,Google Classroom,"Lenovo, Xiaomi",Cursos de carrera,20,Quinto superior,Quinto,3,4,8,2,240,6,2000,13.80,7
28/04/2023 21:54:33,,FEMENINO,Ingeniería Civil,Smartphone,Word,"Lenovo, Huawei","Humanidades, Arte y Ciencias sociales(HACS)",19,Tercio superior,Cuarto,3,4,3,2,120,6,1200,15.5,7
28/04/2023 22:56:40,,MASCULINO,Ingeniería Civil,Tablet,MatLab,"HP, Samsung",Cursos de carrera,20,Quinto superior,Quinto,4,4,4,4,500,6,4500,18.03,7
28/04/2023 22:56:45,,FEMENINO,Ingeniería Industrial,Smartphone,Canva,"Lenovo, Xiaomi",Ciencias Generales,16,Tercio superior,Cuarto,4,4,8,2,120,6,2500,16.1,5
28/04/2023 23:02:04,,FEMENINO,Ingeniería Industrial,Smartphone,Excel,"Asus, Apple",Cursos de carrera,18.3,Tercio superior,Cuarto,4,4,5,3,240,6,4000,15.4,6
28/04/2023 23:03:40,,FEMENINO,Ingeniería Industrial,Tablet,Otro,"Lenovo, Samsung, Apple",Ciencias Generales,15,Tercio superior,Cuarto,4,4,3,3,240,6,3800,15.87,6
28/04/2023 23:05:16,,MASCULINO,Ingeniería Civil,Smartphone,Rstudio,"HP, Asus, Samsung",Cursos de carrera,17,Tercio superior,Cuarto,3,3,3,3,360,6,450,16.25,5
28/04/2023 23:59:06,,MASCULINO,Ingeniería Electrónica,Smartphone,Otro,"HP, Asus, Samsung, Apple","Proyectos Interdisciplinarios ,Tesis y Real life Experience",20,Tercio superior,Cuarto,4,3,8,6,200,7,6500,13.74,7
29/04/2023 0:18:56,,MASCULINO,Ingeniería Mecatrónica,Smartphone,Word,Samsung,Cursos de carrera,18.65,Decimo superior,Tercero,4,4,8,4,480,6,3700,19,6
29/04/2023 9:05:30,,MASCULINO,Ingeniería Civil,Laptop,One Note,"Asus, Samsung",Ciencias Generales,19,Decimo superior,Cuarto,4,4,5,2,360,7,3200,16.7,7
29/04/2023 11:58:09,,FEMENINO,Ingeniería Industrial,Smartphone,Word,"Asus, Samsung, Motorola",Cursos de carrera,18,Quinto superior,Cuarto,4,4,4,2,180,6,1800,17.70,7
29/04/2023 22:20:57,,FEMENINO,Ingeniería Ambiental,Laptop,Word,Asus,"Humanidades, Arte y Ciencias sociales(HACS)",15,Ninguno de los anteriores,Cuarto,3,3,5,5,360,5,4000,14,7
29/04/2023 22:22:42,,FEMENINO,Ingeniería Química,Laptop,Canva,Asus,Cursos de carrera,12.9,Ninguno de los anteriores,Cuarto,3,3,5,2,12,4,20,13.9,7
30/04/2023 10:05:05,,FEMENINO,Ingeniería Civil,Laptop,Rstudio,Asus,Cursos de carrera,18,Quinto superior,Cuarto,3,3,7,4,280,7,1800,15,7
30/04/2023 11:16:51,,MASCULINO,Ingeniería Civil,Laptop,Rstudio,Samsung,Ciencias Generales,16,Tercio superior,Cuarto,3,4,5,2,240,6,5000,14,3
30/04/2023 12:12:13,,MASCULINO,Ingeniería Civil,Smartphone,AutoCAD,Asus,Cursos de carrera,17,Medio superior,Cuarto,4,4,8,2,360,6,5499.00,15.67,7
30/04/2023 20:55:05,,FEMENINO,Ingeniería Industrial,Smartphone,Canva,"Lenovo, Xiaomi",Cursos de carrera,16,Tercio superior,Cuarto,2,2,7,2,300,6,3000,15,6
30/04/2023 21:12:42,,FEMENINO,Ingeniería Industrial,Laptop,Rstudio,"Asus, Samsung",Ciencias Generales,19,Quinto superior,Segundo,3,3,4,2,360,7,2500,16.9,7
30/04/2023 21:50:37,,FEMENINO,Ingeniería Civil,Smartphone,Khan Academy,"Lenovo, Samsung",Ciencias Generales,17,Decimo superior,Cuarto,2,3,4,2,120,5,600,11,7
1/05/2023 10:35:06,,FEMENINO,Ingeniería Civil,Laptop,Word,"Motorola, Huawei",Cursos de carrera,19,Tercio superior,Cuarto,3,4,6,2,200,6,3100,15.03,7
1/05/2023 21:02:42,,MASCULINO,Ingeniería Mecánica,Laptop,Canva,Acer,Ciencias Generales,20,Medio superior,Cuarto,4,4,5,3,240,5,4000,14,6
1/05/2023 22:15:13,,FEMENINO,Ingeniería Civil,Smartphone,Canva,Samsung,Ciencias Generales,15,Tercio superior,Cuarto,3,3,4,4,50,5,20,15,4
2/05/2023 10:15:48,,FEMENINO,Ingeniería Ambiental,Smartphone,Khan Academy,"Asus, Samsung","Humanidades, Arte y Ciencias sociales(HACS)",15,Ninguno de los anteriores,Quinto,3,4,3,3,180,3,1200,12,5
2/05/2023 10:20:19,,FEMENINO,Ingeniería Civil,Laptop,One Note,"Lenovo, Dell, otros",Ciencias Generales,19,Tercio superior,Cuarto,3,4,4,3,360,7,4000,15,7
2/05/2023 10:43:35,,FEMENINO,Ingeniería Mecatrónica,Smartphone,Khan Academy,"Lenovo, Samsung",Cursos de carrera,18,Tercio superior,Cuarto,4,4,4,3,480,7,3500,13,7
2/05/2023 11:27:17,,FEMENINO,Ingeniería Civil,Laptop,Word,"Lenovo, Xiaomi",Cursos de carrera,16,Tercio superior,Cuarto,3,4,5,3,300,5,4600,20,7
2/05/2023 11:37:31,,MASCULINO,Ingeniería Industrial,Laptop,Word,"HP, Huawei",Ciencias Generales,14,Medio superior,Segundo,3,4,2,2,480,7,3000,13.5,7
2/05/2023 14:37:47,,MASCULINO,Ciencia de la Computación,Laptop,Canva,"Acer, Huawei",Ciencias Generales,18,Tercio superior,Quinto,3,4,4,3,500,4,2.400,12.58,7
2/05/2023 14:39:16,,FEMENINO,Bioingeniería,Smartphone,Canva,Apple,Cursos de carrera,19,Quinto superior,Octavo,3,4,4,2,200,5,3000,17,6
2/05/2023 14:40:14,,MASCULINO,Ciencia de la Computación,Laptop,CLion,Lenovo,Cursos de carrera,16,Quinto superior,Segundo,3,4,2,2,120,6,3500,15,7
2/05/2023 14:55:42,,FEMENINO,Ingeniería Química,Smartphone,Canva,otros,Ciencias Generales,16,Ninguno de los anteriores,Quinto,3,2,4,2,500,4,600,16,4
2/05/2023 14:56:35,,FEMENINO,Ingeniería Civil,Laptop,Canva,Lenovo,Cursos de carrera,15,Decimo superior,Cuarto,3,3,4,2,180,6,4000,14,7
2/05/2023 14:58:17,,MASCULINO,Ingeniería Civil,Laptop,AutoCAD,Lenovo,Cursos de carrera,20,Quinto superior,Segundo,2,4,2,3,180,7,4500,15.6,7
2/05/2023 15:02:21,,MASCULINO,Bioingeniería,Laptop,Otro,"Lenovo, Samsung",Cursos de carrera,18,Medio superior,Tercero,4,4,8,4,300,6,4000,13.70,7
2/05/2023 15:02:48,,FEMENINO,Bioingeniería,Tablet,Otro,Apple,Cursos de carrera,18,Tercio superior,Tercero,4,4,5,3,360,5,7200,16.07,7
2/05/2023 15:03:49,,MASCULINO,Ingeniería Mecánica,Smartphone,One Note,"Acer, otros",Ciencias Generales,17,Ninguno de los anteriores,Tercero,3,4,7,2,450,5,4900,12.41,7
2/05/2023 15:06:58,,MASCULINO,Ingeniería Mecatrónica,Laptop,Word,"Lenovo, Samsung",Ciencias Generales,17,Quinto superior,Cuarto,3,3,5,2,120,6,3500,14.64,7
2/05/2023 15:09:51,,FEMENINO,Ingeniería Civil,Smartphone,Rstudio,Lenovo,Ciencias Generales,15.2,Tercio superior,Cuarto,3,3,5,3,180,6,1500,15.2,4
2/05/2023 15:13:06,,FEMENINO,Ingeniería Civil,Laptop,Canva,"HP, Huawei",Cursos de carrera,18,Tercio superior,Cuarto,3,2,4,4,180,5,1500,15,5
2/05/2023 17:30:27,,FEMENINO,Ingeniería Industrial,Smartphone,Otro,"HP, Motorola",Cursos de carrera,15.35,Tercio superior,Cuarto,4,4,6,3,180,6,1200,14.62,7
2/05/2023 17:35:33,,FEMENINO,Ingeniería Industrial,Smartphone,Rstudio,HP,Ciencias Generales,18,Tercio superior,Segundo,3,4,3,3,450,6,3000,15,6
2/05/2023 17:39:27,,FEMENINO,Ingeniería Industrial,Smartphone,Rstudio,Lenovo,Cursos de carrera,17,Quinto superior,Quinto,3,3,3,3,200,3,3000,16.5,6
2/05/2023 17:40:35,,FEMENINO,Ingeniería Mecatrónica,Smartphone,Pycharm,Apple,Cursos de carrera,16,Ninguno de los anteriores,Primero,4,4,5,2,500,6,6000,15,7
2/05/2023 17:41:19,,MASCULINO,Ingeniería Mecatrónica,Laptop,Power point,HP,Cursos de carrera,20,Tercio superior,Septimo,4,4,8,3,300,5,2400,14.8,7
2/05/2023 17:41:24,,FEMENINO,Ingeniería Ambiental,Smartphone,Rstudio,Lenovo,Ciencias Generales,20,Decimo superior,Septimo,4,3,5,3,240,7,7000,17.32,7
2/05/2023 17:42:32,,MASCULINO,Ingeniería Mecánica,Smartphone,Google Classroom,Samsung,Ciencias Generales,17,Ninguno de los anteriores,Cuarto,3,3,4,2,120,7,1200,15,3
2/05/2023 17:43:11,,FEMENINO,Bioingeniería,Laptop,Khan Academy,Acer,Cursos de carrera,16,Ninguno de los anteriores,Tercero,4,4,7,3,300,5,3190,14,7
2/05/2023 17:43:16,,MASCULINO,Ingeniería Mecánica,Smartphone,Khan Academy,"Acer, Samsung",Cursos de carrera,18,Medio superior,Sexto,4,3,4,3,480,4,5000,14.69,7
2/05/2023 17:43:20,,MASCULINO,Ingeniería Industrial,Smartphone,MatLab,"Samsung, otros",Cursos de carrera,19,Ninguno de los anteriores,Septimo,3,4,8,4,420,7,10000,13.23,7
2/05/2023 17:43:30,,MASCULINO,Bioingeniería,Laptop,Otro,"Acer, Apple","Humanidades, Arte y Ciencias sociales(HACS)",20,Quinto superior,Septimo,4,4,6,3,450,5,7000,16.5,5
2/05/2023 17:44:16,,MASCULINO,Ingeniería Industrial,Smartphone,MatLab,Samsung,"Proyectos Interdisciplinarios ,Tesis y Real life Experience",11,Medio superior,Septimo,2,2,6,4,360,4,10000,15,3
2/05/2023 17:44:20,,FEMENINO,Bioingeniería,Laptop,Canva,"Acer, Xiaomi",Cursos de carrera,18,Tercio superior,Cuarto,3,4,8,3,480,6,3500,15,6
2/05/2023 17:46:39,,MASCULINO,Ingeniería Civil,Laptop,AutoCAD,"Lenovo, Huawei",Cursos de carrera,16,Tercio superior,Cuarto,4,4,4,3,135,6,4000,15,4
2/05/2023 17:46:41,,MASCULINO,Ingeniería Civil,Laptop,Khan Academy,"HP, Xiaomi",Cursos de carrera,20,Tercio superior,Cuarto,2,3,3,2,360,6,3700,15.6,6
2/05/2023 17:46:42,,MASCULINO,Ingeniería Civil,Laptop,Rstudio,"Asus, Xiaomi",Ciencias Generales,17,Tercio superior,Cuarto,4,4,8,6,500,6,4700,16,7
2/05/2023 17:49:06,,MASCULINO,Ciencia de la Computación,Laptop,Khan Academy,Acer,Cursos de carrera,19,Tercio superior,Cuarto,4,4,4,3,500,7,3500,16,7
2/05/2023 17:56:27,,MASCULINO,Ingeniería Civil,Laptop,Khan Academy,Lenovo,Ciencias Generales,18,Tercio superior,Cuarto,2,3,4,4,420,5,2000,15,4
2/05/2023 18:14:42,,MASCULINO,Ingeniería Química,Laptop,Otro,Samsung,Ciencias Generales,16,Decimo superior,Quinto,3,4,6,3,300,5,3000,14.68,7
2/05/2023 18:22:34,,MASCULINO,Bioingeniería,Laptop,Canva,Asus,Cursos de carrera,18,Decimo superior,Noveno,4,4,6,3,120,3,4000,13.75,5
2/05/2023 18:31:58,,FEMENINO,Ingeniería Ambiental,Laptop,Khan Academy,"Acer, Samsung",Ciencias Generales,19,Ninguno de los anteriores,Segundo,4,3,4,3,300,6,4000,14,6
2/05/2023 20:25:20,,MASCULINO,Ingeniería Civil,Smartphone,Otro,HP,Ciencias Generales,20,Tercio superior,Cuarto,2,3,7,5,300,6,1600,15,7
2/05/2023 20:27:39,,MASCULINO,Ingeniería Industrial,Smartphone,Canva,"Acer, Samsung",Ciencias Generales,15,Tercio superior,Cuarto,4,4,5,3,300,6,1600,15,7
2/05/2023 20:47:26,,MASCULINO,Ingeniería Industrial,Smartphone,Canva,"HP, Xiaomi",Ciencias Generales,20,Tercio superior,Cuarto,3,3,5,2,420,5,3900,16,7
2/05/2023 20:57:22,,FEMENINO,Ingeniería Industrial,Smartphone,Canva,"HP, Huawei",Ciencias Generales,15,Quinto superior,Segundo,3,4,5,2,300,6,900,15.68,5
3/05/2023 0:30:58,,FEMENINO,Ingeniería Civil,Laptop,AutoCAD,"Lenovo, Huawei",Cursos de carrera,16.03,Tercio superior,Cuarto,3,4,6,2,300,6,3000,15.4,6
3/05/2023 17:33:53,,FEMENINO,Ingeniería Ambiental,Laptop,Word,"HP, Samsung",Cursos de carrera,18,Tercio superior,Tercero,2,3,8,3,500,4,1300,16,7
3/05/2023 17:39:05,,FEMENINO,Ciencia de la Computación,Laptop,MatLab,HP,Cursos de carrera,15,Tercio superior,Tercero,2,2,4,4,180,5,5000,5,5
3/05/2023 17:40:26,,MASCULINO,Ingeniería Civil,Laptop,Word,Acer,Ciencias Generales,15,Tercio superior,Cuarto,3,3,4,3,120,5,1000,15,4
3/05/2023 17:42:13,,MASCULINO,Bioingeniería,Smartphone,Visual Studio,Acer,Cursos de carrera,20,Decimo superior,Quinto,3,4,5,3,240,6,3000,17.3,7
3/05/2023 17:43:14,,MASCULINO,Ingeniería Civil,Laptop,Khan Academy,"HP, Xiaomi","Humanidades, Arte y Ciencias sociales(HACS)",18,Tercio superior,Cuarto,3,4,6,2,300,7,4000,14.8,6
3/05/2023 17:43:52,,MASCULINO,Ingeniería Mecatrónica,Smartphone,Power point,"Asus, Xiaomi",Cursos de carrera,17.89,Tercio superior,Quinto,3,3,5,5,240,6,5600,14.56,5
3/05/2023 17:44:19,,MASCULINO,Ingeniería Industrial,Laptop,CLion,"HP, Xiaomi",Ciencias Generales,15,Medio superior,Segundo,3,4,8,3,300,6,2500,15.34,7
3/05/2023 17:44:32,,FEMENINO,Ingeniería Civil,Laptop,Word,HP,"Proyectos Interdisciplinarios ,Tesis y Real life Experience",19,Tercio superior,Cuarto,4,4,5,2,360,6,500,16,5
3/05/2023 17:44:41,,MASCULINO,Ingeniería Industrial,Smartphone,CLion,"Asus, Samsung",Ciencias Generales,16,Medio superior,Segundo,3,3,6,6,300,7,4700,13.75,7
3/05/2023 17:46:28,,FEMENINO,Ingeniería Civil,Laptop,Word,"Acer, Samsung",Cursos de carrera,20,Quinto superior,Sexto,4,4,8,3,480,6,3000,16.58,7
3/05/2023 17:47:10,,MASCULINO,Ingeniería Civil,Laptop,Word,Asus,Cursos de carrera,19.00,Tercio superior,Sexto,3,4,8,3,400,7,7500,15.16,7
3/05/2023 17:47:25,,MASCULINO,Administración & Negocios Digitales,Smartphone,Canva,Samsung,Cursos de gestión,16,Tercio superior,Segundo,3,3,4,2,240,7,900,15.2,7
3/05/2023 17:47:49,,MASCULINO,Ciencia de la Computación,Laptop,Visual Studio,"Lenovo, Samsung",Cursos de carrera,13.6,Ninguno de los anteriores,Sexto,3,4,3,3,480,5,2800,13,5
3/05/2023 17:48:00,,FEMENINO,Ingeniería Ambiental,Laptop,Canva,HP,Cursos de carrera,15.8,Ninguno de los anteriores,Segundo,3,4,5,2,480,6,3200,15.8,6
3/05/2023 17:49:01,,FEMENINO,Ingeniería Ambiental,Laptop,Excel,Lenovo,"Proyectos Interdisciplinarios ,Tesis y Real life Experience",18,Medio superior,Segundo,4,4,7,2,240,6,3000,15.65,6
3/05/2023 17:51:16,,MASCULINO,Administración & Negocios Digitales,Laptop,Canva,HP,Cursos de carrera,17,Quinto superior,Tercero,3,3,2,2,240,5,3000,16.19,6
3/05/2023 17:51:23,,MASCULINO,Ingeniería Mecatrónica,Smartphone,MatLab,Apple,Ciencias Generales,16,Medio superior,Quinto,3,3,4,2,200,4,3500,14.56,6
3/05/2023 17:51:55,,MASCULINO,Ingeniería Civil,Smartphone,AutoCAD,"HP, Apple",Ciencias Generales,20,Ninguno de los anteriores,Sexto,4,3,8,3,300,5,6000,15.40,6
3/05/2023 17:54:12,,MASCULINO,Administración & Negocios Digitales,Laptop,CLion,"Lenovo, Samsung, Xiaomi",Ciencias Generales,16,Medio superior,Tercero,3,2,3,4,200,6,4000,14,6
3/05/2023 17:56:50,,FEMENINO,Ingeniería Civil,Smartphone,Word,"HP, Xiaomi",Ciencias Generales,15,Quinto superior,Cuarto,2,2,6,2,240,6,4200,14,7
3/05/2023 18:47:07,,MASCULINO,Ingeniería Química,Smartphone,Pycharm,HP,Cursos de carrera,19,Quinto superior,Cuarto,2,2,4,2,240,6,2100,15.95,7
3/05/2023 19:06:18,,MASCULINO,Ingeniería de la Energía,Smartphone,Canva,"HP, Xiaomi","Humanidades, Arte y Ciencias sociales(HACS)",19,Tercio superior,Cuarto,3,4,5,3,480,5,1000,14,6
3/05/2023 19:17:02,,MASCULINO,Ingeniería Civil,Laptop,Power point,Acer,Cursos de carrera,17,Quinto superior,Cuarto,3,3,4,3,480,6,1400,17,7
3/05/2023 19:18:39,,FEMENINO,Ingeniería Industrial,Smartphone,Canva,"Asus, Samsung, Xiaomi",Cursos de carrera,20,Decimo superior,Septimo,4,4,6,3,240,7,2500,17,7
3/05/2023 20:06:07,,MASCULINO,Ingeniería Civil,Smartphone,Rstudio,Acer,Ciencias Generales,17,Tercio superior,Cuarto,4,3,6,2,480,6,3220,15.42,4
4/05/2023 0:07:01,,FEMENINO,Ingeniería Civil,Smartphone,One Note,"Samsung, Xiaomi",Ciencias Generales,15,Medio superior,Cuarto,3,4,7,3,300,6,700,13,7
4/05/2023 14:10:12,,MASCULINO,Bioingeniería,Smartphone,Khan Academy,"HP, Samsung",Ciencias Generales,15.7,Quinto superior,Tercero,2,2,3,2,100,7,1800,14.6,2
4/05/2023 14:13:21,,MASCULINO,Ingeniería Mecatrónica,Smartphone,Canva,HP,Ciencias Generales,15.35,Quinto superior,Segundo,3,4,3,2,240,7,5000,15,6
4/05/2023 14:14:38,,MASCULINO,Bioingeniería,Laptop,MatLab,"HP, Apple",Ciencias Generales,18,Quinto superior,Tercero,4,3,2,2,180,1,3000,17,3
4/05/2023 14:19:41,,FEMENINO,Ingeniería Ambiental,Smartphone,Canva,"HP, Xiaomi",Ciencias Generales,17,Medio superior,Tercero,3,3,3,3,360,5,5000,15,7
4/05/2023 14:23:37,,MASCULINO,Ingeniería Civil,Laptop,MatLab,Lenovo,Ciencias Generales,19,Decimo superior,Tercero,3,4,5,3,360,6,6000,12,7
4/05/2023 14:31:08,,MASCULINO,Ingeniería Mecatrónica,Laptop,Excel,"HP, Xiaomi",Ciencias Generales,15,Ninguno de los anteriores,Tercero,4,4,1,2,360,4,2000,14.5,5
4/05/2023 14:39:35,,FEMENINO,Ingeniería Química,Laptop,Word,Lenovo,Cursos de carrera,18,Medio superior,Cuarto,4,4,8,4,480,6,4000,15.60,7
4/05/2023 14:41:50,,FEMENINO,Ingeniería Civil,Laptop,AutoCAD,"HP, Samsung",Cursos de carrera,20,Quinto superior,Segundo,3,3,5,5,500,7,4000,16,7
4/05/2023 14:44:11,,MASCULINO,Ciencia de Datos,Laptop,Pycharm,Dell,Cursos de gestión,20,Tercio superior,Primero,3,4,4,2,300,1,3500,16,6
4/05/2023 14:47:18,,FEMENINO,Ingeniería Civil,Smartphone,Canva,"HP, Samsung",Cursos de carrera,16,Quinto superior,Segundo,3,4,7,2,500,6,3600,16,6
4/05/2023 14:52:09,,MASCULINO,Ingeniería Mecánica,Laptop,One Note,Lenovo,Cursos de gestión,15,Medio superior,Quinto,3,4,4,3,120,5,2700,13.5,6
4/05/2023 14:53:33,,MASCULINO,Ingeniería Mecatrónica,Smartphone,Word,"Dell, Apple","Humanidades, Arte y Ciencias sociales(HACS)",14,Medio superior,Quinto,3,3,5,3,120,5,1000,13.43,7
4/05/2023 14:54:27,,FEMENINO,Ingeniería Mecatrónica,Smartphone,Word,"Acer, Samsung",Ciencias Generales,13.39,Tercio superior,Cuarto,2,3,3,2,180,4,600,13.8,3
4/05/2023 14:55:04,,MASCULINO,Bioingeniería,Laptop,Power point,"Lenovo, HP, Samsung","Humanidades, Arte y Ciencias sociales(HACS)",19,Ninguno de los anteriores,Cuarto,3,3,3,2,120,5,1400,14.33,3
4/05/2023 14:55:30,,FEMENINO,Ingeniería Electrónica,Smartphone,Rstudio,Xiaomi,Ciencias Generales,20,Decimo superior,Tercero,4,4,4,2,300,6,3000,17.35,7
4/05/2023 14:59:44,,FEMENINO,Ingeniería Química,Laptop,Word,"Asus, Samsung",Ciencias Generales,17,Tercio superior,Segundo,4,4,4,2,360,5,5000,16,7
4/05/2023 15:02:50,,MASCULINO,Ingeniería Mecatrónica,Laptop,Otro,Dell,Ciencias Generales,19,Tercio superior,Sexto,3,3,8,2,500,5,3000,16.5,6
4/05/2023 15:05:06,,MASCULINO,Ingeniería Mecatrónica,Laptop,Kahoot,"HP, Asus",Cursos de carrera,19,Tercio superior,Tercero,3,3,3,2,360,6,2000,16.55,5
4/05/2023 15:06:34,,MASCULINO,Ingeniería Ambiental,Laptop,Otro,HP,Cursos de carrera,16,Medio superior,Cuarto,3,4,7,1,180,5,2500,14.5,5
4/05/2023 15:16:14,,MASCULINO,Ingeniería de la Energía,Laptop,Otro,"Acer, Samsung","Proyectos Interdisciplinarios ,Tesis y Real life Experience",20,Tercio superior,Primero,4,3,2,2,180,7,2400,17.66,6
4/05/2023 15:21:26,,FEMENINO,Bioingeniería,Laptop,MatLab,"HP, Xiaomi",Cursos de gestión,17,Medio superior,Cuarto,3,4,5,2,360,7,3000,14.6,7
4/05/2023 15:28:32,,FEMENINO,Ingeniería Civil,Laptop,AutoCAD,"HP, Apple",Cursos de carrera,19,Quinto superior,Cuarto,4,4,6,4,300,7,3700,14.85,7
4/05/2023 15:30:27,,FEMENINO,Ingeniería Industrial,Laptop,Canva,Acer,Cursos de carrera,14,Ninguno de los anteriores,Primero,4,4,7,5,380,4,4000,14,4
4/05/2023 15:33:27,,FEMENINO,Bioingeniería,Smartphone,Rstudio,"HP, Samsung","Humanidades, Arte y Ciencias sociales(HACS)",19.20,Decimo superior,Tercero,4,4,4,4,120,6,5000,14.55,7
4/05/2023 15:33:32,,FEMENINO,Ingeniería Química,Smartphone,Canva,"Asus, Samsung",Cursos de carrera,16,Medio superior,Sexto,3,4,3,2,360,5,3500,14.6,7
4/05/2023 15:44:54,,FEMENINO,Ingeniería Industrial,Tablet,One Note,"Lenovo, Samsung",Cursos de carrera,16,Tercio superior,Cuarto,3,3,8,3,360,6,4500,16.98,7
4/05/2023 15:45:41,,FEMENINO,Ingeniería Industrial,Smartphone,One Note,Samsung,"Humanidades, Arte y Ciencias sociales(HACS)",18,Quinto superior,Cuarto,4,4,8,3,300,6,5000,14.94,7
4/05/2023 15:50:47,,MASCULINO,Ingeniería Mecatrónica,Laptop,Pycharm,HP,Ciencias Generales,16,Ninguno de los anteriores,Primero,3,2,3,3,400,5,2980,15,7
4/05/2023 15:53:52,,MASCULINO,Bioingeniería,Smartphone,Power point,"Dell, Apple, Huawei",Cursos de carrera,20,Tercio superior,Sexto,3,2,2,4,300,6,4980,18.88,7
4/05/2023 15:55:00,,MASCULINO,Ingeniería Ambiental,Laptop,Canva,"Asus, Samsung",Cursos de carrera,19,Quinto superior,Octavo,3,3,7,4,100,6,6000,15,5
4/05/2023 16:01:10,,FEMENINO,Bioingeniería,Laptop,One Note,HP,Ciencias Generales,16,Medio superior,Tercero,4,4,5,2,260,5,1000,14.25,6
4/05/2023 16:01:21,,MASCULINO,Bioingeniería,Smartphone,Kahoot,"Lenovo, Samsung, otros","Proyectos Interdisciplinarios ,Tesis y Real life Experience",17,Ninguno de los anteriores,Tercero,3,3,6,3,180,7,4500,14.41,6
4/05/2023 17:34:14,,FEMENINO,Ingeniería Industrial,Laptop,Excel,Apple,Cursos de carrera,20,Decimo superior,Sexto,3,3,8,4,380,7,6000,18.5,7
