Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Nepal,South Asia,4.812,7.976,0.748,60.2,0.763,0.824
Netherlands,Western Europe,7.324,10.882,0.879,72,0.904,0.412
New Zealand,North America and ANZ,7.418,10.608,0.987,72.6,0.942,0.186
Nicaragua,Latin America and Caribbean,5.924,8.636,0.827,66.6,0.809,0.728
Niger,Sub-Saharan Africa,3.671,7.03,0.713,52,0.728,0.703
Nigeria,Sub-Saharan Africa,4.933,8.615,0.812,48.5,0.68,0.926
North Cyprus,Western Europe,5.786,10.032,0.802,81.8,0.83,0.692
North Macedonia,Central and Eastern Europe,4.976,9.613,0.766,65.145,0.66,0.824
Norway,Western Europe,7.603,11.033,0.947,72.9,0.948,0.299
Pakistan,South Asia,4.823,8.361,0.562,57.3,0.587,0.717
Palestinian Territories,Middle East and North Africa,4.695,8.489,0.766,73.44,0.556,0.774
Panama,Latin America and Caribbean,6.606,10.255,0.883,69.3,0.847,0.81
Paraguay,Latin America and Caribbean,5.119,9.36,0.959,64.98,0.759,0.762
Peru,Latin America and Caribbean,5.577,9.402,0.798,67.2,0.802,0.884
Philippines,Southeast Asia,5.547,8.896,0.854,61.6,0.912,0.755
Poland,Central and Eastern Europe,6.007,10.235,0.893,68.1,0.793,0.81
Portugal,Western Europe,5.081,10.347,0.866,71.8,0.8,0.941
Romania,Central and Eastern Europe,5.777,10.083,0.787,66.3,0.796,0.962
Russia,Commonwealth of Independent States,5.996,10.149,0.924,63.1,0.685,0.913
Rwanda,Sub-Saharan Africa,3.483,7.544,0.678,59.3,0.908,0.095
Saudi Arabia,Middle East and North Africa,6.345,10.798,0.82,65.4,0.82,0.675
Senegal,Sub-Saharan Africa,4.617,7.995,0.702,58.4,0.72,0.765
Serbia,Central and Eastern Europe,5.318,9.649,0.816,67,0.546,0.859
Sierra Leone,Sub-Saharan Africa,4.909,7.347,0.611,46,0.624,0.825
Singapore,Southeast Asia,6.62,11.4,0.866,75.9,0.887,0.099
Slovakia,Central and Eastern Europe,6.162,10.291,0.943,68,0.587,0.928
Slovenia,Central and Eastern Europe,5.741,10.433,0.901,70.2,0.896,0.892
South Africa,Sub-Saharan Africa,4.887,9.46,0.898,55.3,0.862,0.853
South Korea,East Asia,5.78,10.568,0.768,72.7,0.616,0.841
South Sudan,Sub-Saharan Africa,2.832,7.236,0.545,49.84,0.567,0.742
Spain,Western Europe,6.381,10.531,0.956,73.5,0.732,0.822
Sri Lanka,South Asia,4.268,9.344,0.805,66.5,0.868,0.791
Swaziland,Sub-Saharan Africa,4.202,9.356,0.779,51.013,0.642,0.698
Sweden,Western Europe,7.289,10.853,0.929,72.3,0.935,0.232
Switzerland,Western Europe,7.572,11.1,0.938,73.2,0.928,0.21
Taiwan Province of China,East Asia,6.45,10.75,0.885,79.74,0.701,0.857
Tajikistan,Commonwealth of Independent States,5.124,7.945,0.844,63.2,0.693,0.742
Tanzania,Sub-Saharan Africa,3.661,7.764,0.79,56,0.759,0.906
Thailand,Southeast Asia,6.202,9.699,0.866,66.6,0.885,0.914
Togo,Sub-Saharan Africa,3.768,7.277,0.479,53.5,0.772,0.733
Trinidad and Tobago,Latin America and Caribbean,6.168,10.263,0.883,62.82,0.847,0.948
Tunisia,Middle East and North Africa,5.132,9.261,0.609,66,0.711,0.815
Turkey,Middle East and North Africa,5.514,10.166,0.851,65.6,0.653,0.806
Turkmenistan,Commonwealth of Independent States,5.791,9.472,0.96,61,0.701,0.868
Uganda,Sub-Saharan Africa,4.238,7.627,0.747,54.5,0.758,0.873
Ukraine,Commonwealth of Independent States,3.965,9.327,0.909,63.7,0.431,0.952
United Arab Emirates,Middle East and North Africa,6.568,11.086,0.824,66.5,0.915,0.595
United Kingdom,Western Europe,6.515,10.712,0.936,71.7,0.833,0.456
United States,South Asia,6.864,10.977,0.904,68.6,0.849,0.698
Uruguay,Latin America and Caribbean,6.628,9.932,0.891,68.7,0.917,0.673
Uzbekistan,Commonwealth of Independent States,5.972,8.714,0.968,64.2,0.98,0.471
Venezuela,Latin America and Caribbean,5.569,9.001,0.911,65.9,0.512,0.813
Vietnam,Southeast Asia,5.076,8.77,0.792,67.3,0.856,0.815
Yemen,Middle East and North Africa,2.983,8.242,0.669,54.3,0.61,0.885
Zambia,Sub-Saharan Africa,4.843,8.144,0.691,53.8,0.759,0.871
Zimbabwe,Sub-Saharan Africa,3.703,7.992,0.736,53.8,0.667,0.81
