Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Guinea,Sub-Saharan Africa,5.252,7.823,0.63,54.4,0.731,0.778
Haiti,Latin America and Caribbean,3.824,7.475,0.647,55.5,0.484,0.647
Honduras,Latin America and Caribbean,5.908,8.643,0.827,67.2,0.872,0.804
Hong Kong S.A.R. of China,East Asia,5.659,11,0.856,84.926,0.727,0.432
Hungary,Central and Eastern Europe,5.936,10.344,0.941,67.6,0.693,0.911
Iceland,Western Europe,7.533,10.931,0.982,73,0.959,0.699
India,South Asia,3.818,8.779,0.638,60.1,0.89,0.805
Indonesia,Southeast Asia,5.34,9.339,0.809,62.1,0.879,0.868
Iran,Middle East and North Africa,4.278,9.561,0.674,66,0.603,0.703
Iraq,Middle East and North Africa,4.886,9.274,0.764,60.2,0.598,0.887
Ireland,Western Europe,6.962,11.332,0.938,72.3,0.861,0.362
Israel,Middle East and North Africa,6.927,10.585,0.91,73.3,0.725,0.77
Italy,Western Europe,6.517,10.65,0.913,73.6,0.65,0.888
Ivory Coast,Sub-Saharan Africa,5.268,8.523,0.621,49.5,0.713,0.791
Jamaica,Latin America and Caribbean,5.89,9.169,0.913,67.1,0.861,0.883
Japan,East Asia,5.794,10.623,0.886,75,0.773,0.687
Jordan,Middle East and North Africa,4.639,9.196,0.8,66.8,0.762,0.688
Kazakhstan,Commonwealth of Independent States,6.008,10.148,0.937,64.6,0.84,0.824
Kenya,Sub-Saharan Africa,4.656,8.344,0.707,60.1,0.821,0.844
Kosovo,Central and Eastern Europe,6.392,9.296,0.822,72.244,0.89,0.922
Kuwait,Middle East and North Africa,6.094,10.837,0.853,66.5,0.884,0.74
Kyrgyzstan,Commonwealth of Independent States,5.297,8.543,0.898,64.1,0.945,0.907
Laos,Southeast Asia,4.859,8.935,0.705,58.7,0.907,0.634
Latvia,Central and Eastern Europe,5.901,10.307,0.913,66.8,0.608,0.799
Lebanon,Middle East and North Africa,5.167,9.656,0.829,67.1,0.607,0.907
Lesotho,Sub-Saharan Africa,3.664,7.953,0.787,48.561,0.738,0.884
Liberia,Sub-Saharan Africa,4.135,7.311,0.727,56.1,0.766,0.868
Libya,Middle East and North Africa,5.494,9.617,0.824,62.3,0.781,0.646
Lithuania,Central and Eastern Europe,6.309,10.474,0.929,67.3,0.699,0.852
Luxembourg,Western Europe,7.243,11.645,0.902,72.6,0.884,0.385
Madagascar,Sub-Saharan Africa,4.071,7.386,0.666,59.1,0.551,0.889
Malawi,Sub-Saharan Africa,3.335,6.949,0.528,57.6,0.799,0.766
Malaysia,Southeast Asia,5.339,10.223,0.789,67,0.875,0.894
Maldives,South Asia,5.198,9.626,0.913,70.6,0.855,0.82
Mali,Sub-Saharan Africa,4.416,7.733,0.692,51.7,0.737,0.793
Malta,Western Europe,6.91,10.67,0.932,72.2,0.927,0.595
Mauritania,Sub-Saharan Africa,4.314,8.526,0.802,57,0.467,0.711
Mauritius,Sub-Saharan Africa,5.882,10.008,0.909,66.4,0.867,0.785
Mexico,Latin America and Caribbean,6.55,9.903,0.858,68.3,0.816,0.809
Moldova,Commonwealth of Independent States,5.682,9.423,0.892,65,0.824,0.929
Mongolia,East Asia,5.465,9.386,0.942,62.3,0.696,0.849
Montenegro,Central and Eastern Europe,5.65,9.934,0.856,68.5,0.626,0.769
Morocco,Middle East and North Africa,4.897,8.914,0.554,65.9,0.773,0.843
Mozambique,Sub-Saharan Africa,4.654,7.162,0.738,54.2,0.897,0.691
Myanmar,Southeast Asia,4.411,8.523,0.774,59,0.906,0.647
Namibia,Sub-Saharan Africa,4.436,9.173,0.845,56.8,0.739,0.879
Nepal,South Asia,4.91,8.087,0.768,63.5,0.77,0.742
Netherlands,Western Europe,7.463,10.941,0.939,72.3,0.92,0.371
New Zealand,North America and ANZ,7.37,10.66,0.954,73.2,0.949,0.207
Nicaragua,Latin America and Caribbean,5.819,8.647,0.854,67.5,0.797,0.713
Niger,Sub-Saharan Africa,5.164,7.087,0.612,53.5,0.791,0.637
Nigeria,Sub-Saharan Africa,5.252,8.548,0.741,49.7,0.79,0.866
North Cyprus,Western Europe,5.908,10.414,0.837,82.9,0.797,0.814
North Macedonia,Central and Eastern Europe,5.24,9.677,0.849,65.389,0.745,0.91
Norway,Western Europe,7.444,11.056,0.966,73.2,0.96,0.268
Pakistan,South Asia,5.472,8.464,0.685,58.5,0.773,0.799
Palestinian Territories,Middle East and North Africa,4.554,8.498,0.819,73.9,0.655,0.814
Panama,Latin America and Caribbean,6.281,10.343,0.904,69.6,0.861,0.837
Paraguay,Latin America and Caribbean,5.713,9.441,0.902,65.5,0.891,0.81
Peru,Latin America and Caribbean,5.68,9.456,0.845,68.1,0.83,0.906
Philippines,Southeast Asia,5.869,9.05,0.846,61.9,0.918,0.726
Poland,Central and Eastern Europe,6.111,10.366,0.863,69.3,0.87,0.72
Portugal,Western Europe,5.92,10.434,0.887,72.4,0.877,0.88
Romania,Central and Eastern Europe,6.151,10.26,0.818,67.2,0.845,0.921
Russia,Commonwealth of Independent States,5.514,10.191,0.909,64.3,0.729,0.865
Rwanda,Sub-Saharan Africa,3.561,7.644,0.616,61.1,0.924,0.164
Saudi Arabia,Middle East and North Africa,6.356,10.771,0.868,66.3,0.855,0.683
Senegal,Sub-Saharan Africa,4.769,8.106,0.739,59.6,0.629,0.805
Serbia,Central and Eastern Europe,5.936,9.762,0.853,68.2,0.74,0.864
Sierra Leone,Sub-Saharan Africa,4.306,7.417,0.65,50.8,0.716,0.856
Singapore,Southeast Asia,6.375,11.49,0.903,76.8,0.916,0.097
Slovakia,Central and Eastern Europe,6.235,10.376,0.922,68.9,0.758,0.91
Slovenia,Central and Eastern Europe,6.249,10.546,0.941,71.1,0.942,0.839
South Africa,Sub-Saharan Africa,4.884,9.444,0.841,56.5,0.753,0.841
South Korea,East Asia,5.84,10.643,0.798,73.6,0.6,0.797
South Sudan,Sub-Saharan Africa,2.817,7.441,0.557,51,0.456,0.761
Spain,Western Europe,6.513,10.605,0.91,74.4,0.722,0.777
Sri Lanka,South Asia,4.435,9.462,0.833,67.2,0.859,0.856
Swaziland,Sub-Saharan Africa,4.212,9.06,0.779,50.353,0.685,0.713
Sweden,Western Europe,7.375,10.881,0.931,72.6,0.942,0.263
Switzerland,Western Europe,7.509,11.134,0.93,74.1,0.926,0.301
Taiwan Province of China,East Asia,6.467,10.855,0.896,80.28,0.741,0.736
Tajikistan,Commonwealth of Independent States,5.497,8.082,0.875,64.1,0.703,0.578
Tanzania,Sub-Saharan Africa,3.445,7.859,0.675,57.5,0.807,0.612
Thailand,Southeast Asia,6.012,9.803,0.873,67.2,0.905,0.907
Togo,Sub-Saharan Africa,4.023,7.348,0.596,54.7,0.612,0.809
Trinidad and Tobago,Latin America and Caribbean,6.19,10.193,0.914,63.5,0.872,0.905
Tunisia,Middle East and North Africa,4.741,9.284,0.733,66.9,0.65,0.84
Turkey,Middle East and North Africa,5.186,10.251,0.847,66.8,0.529,0.805
Turkmenistan,Commonwealth of Independent States,4.621,9.605,0.984,62.2,0.858,0.871
Uganda,Sub-Saharan Africa,4.322,7.66,0.74,55.7,0.729,0.856
Ukraine,Commonwealth of Independent States,4.662,9.42,0.901,64.6,0.663,0.943
United Arab Emirates,Middle East and North Africa,6.604,11.112,0.851,67.1,0.944,0.603
United Kingdom,Western Europe,7.233,10.743,0.928,72.3,0.838,0.404
United States,South Asia,6.883,11.025,0.904,68.3,0.825,0.71
Uruguay,Latin America and Caribbean,6.372,9.98,0.917,69,0.876,0.683
Uzbekistan,Commonwealth of Independent States,6.205,8.818,0.921,65.1,0.97,0.52
Venezuela,Latin America and Caribbean,5.006,7.968,0.887,66.5,0.611,0.885
Vietnam,Southeast Asia,5.296,8.934,0.832,67.9,0.909,0.808
Yemen,Middle East and North Africa,3.058,7.715,0.789,56.7,0.553,0.793
Zambia,Sub-Saharan Africa,4.041,8.167,0.718,55.3,0.791,0.811
Zimbabwe,Sub-Saharan Africa,3.616,8.049,0.775,55.6,0.763,0.844
