Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Liberia,Sub-Saharan Africa,4.424,7.324,0.685,55.3,0.733,0.867
Libya,Middle East and North Africa,5.647,9.491,0.823,62.3,0.779,0.673
Lithuania,Central and Eastern Europe,6.273,10.429,0.926,66.7,0.749,0.79
Luxembourg,Western Europe,7.061,11.634,0.905,72.6,0.903,0.33
Madagascar,Sub-Saharan Africa,4.079,7.368,0.626,58.7,0.57,0.847
Malawi,Sub-Saharan Africa,3.417,6.945,0.555,56.9,0.848,0.735
Malaysia,Southeast Asia,6.322,10.118,0.818,66.4,0.675,0.838
Maldives,South Asia,5.197,9.527,0.904,70.45,0.86,0.815
Mali,Sub-Saharan Africa,4.742,7.718,0.741,51.2,0.753,0.863
Malta,Western Europe,6.676,10.635,0.937,72.2,0.924,0.69
Mauritania,Sub-Saharan Africa,4.678,8.533,0.779,56.7,0.527,0.777
Mauritius,Sub-Saharan Africa,6.174,9.972,0.91,66.1,0.912,0.818
Mexico,Latin America and Caribbean,6.41,9.893,0.8,68,0.861,0.801
Moldova,Commonwealth of Independent States,5.326,9.363,0.831,64.3,0.553,0.926
Mongolia,East Asia,5.334,9.334,0.924,62.1,0.675,0.865
Montenegro,Central and Eastern Europe,5.615,9.885,0.881,68.3,0.626,0.756
Morocco,Middle East and North Africa,5.312,8.898,0.641,65.6,0.814,0.841
Mozambique,Sub-Saharan Africa,4.28,7.157,0.678,53.2,0.823,0.682
Myanmar,Southeast Asia,4.154,8.464,0.795,58.7,0.886,0.619
Namibia,Sub-Saharan Africa,4.834,9.204,0.864,56.5,0.754,0.846
Nepal,South Asia,4.737,8.039,0.816,62.4,0.845,0.77
Netherlands,Western Europe,7.459,10.921,0.937,72.2,0.92,0.363
New Zealand,North America and ANZ,7.327,10.633,0.955,73,0.942,0.222
Nicaragua,Latin America and Caribbean,6.476,8.7,0.838,67.2,0.922,0.673
Niger,Sub-Saharan Africa,4.616,7.058,0.582,53,0.684,0.778
Nigeria,Sub-Saharan Africa,5.322,8.555,0.733,49.3,0.826,0.835
North Cyprus,Western Europe,5.827,10.403,0.808,82.2,0.796,0.77
North Macedonia,Central and Eastern Europe,5.234,9.65,0.8,65.303,0.752,0.856
Norway,Western Europe,7.579,11.05,0.95,73.1,0.953,0.25
Pakistan,South Asia,5.831,8.428,0.69,58.1,0.713,0.714
Palestinian Territories,Middle East and North Africa,4.628,8.48,0.824,73.74,0.632,0.831
Panama,Latin America and Caribbean,6.568,10.324,0.912,69.5,0.9,0.841
Paraguay,Latin America and Caribbean,5.801,9.406,0.94,65.3,0.854,0.756
Peru,Latin America and Caribbean,5.711,9.434,0.83,67.8,0.827,0.895
Philippines,Southeast Asia,5.594,9.002,0.851,61.8,0.926,0.711
Poland,Central and Eastern Europe,6.201,10.314,0.882,68.9,0.831,0.639
Portugal,Western Europe,5.711,10.407,0.9,72.2,0.905,0.881
Romania,Central and Eastern Europe,6.09,10.211,0.811,66.9,0.839,0.926
Russia,Commonwealth of Independent States,5.579,10.166,0.896,63.9,0.731,0.862
Rwanda,Sub-Saharan Africa,3.108,7.588,0.517,60.5,0.908,0.214
Saudi Arabia,Middle East and North Africa,6.294,10.764,0.84,66,0.814,0.671
Senegal,Sub-Saharan Africa,4.683,8.072,0.744,59.2,0.687,0.825
Serbia,Central and Eastern Europe,5.122,9.713,0.884,67.8,0.685,0.851
Sierra Leone,Sub-Saharan Africa,4.09,7.404,0.652,49.2,0.711,0.848
Singapore,Southeast Asia,6.378,11.461,0.897,76.5,0.926,0.162
Slovakia,Central and Eastern Europe,6.366,10.339,0.913,68.6,0.714,0.92
Slovenia,Central and Eastern Europe,6.167,10.509,0.928,70.8,0.921,0.829
South Africa,Sub-Saharan Africa,4.514,9.45,0.87,56.1,0.787,0.865
South Korea,East Asia,5.874,10.621,0.807,73.3,0.538,0.851
South Sudan,Sub-Saharan Africa,2.888,7.427,0.532,50.6,0.44,0.785
Spain,Western Europe,6.23,10.586,0.903,74.1,0.756,0.791
Sri Lanka,South Asia,4.331,9.44,0.823,67,0.827,0.844
Swaziland,Sub-Saharan Africa,4.311,9.228,0.763,50.963,0.597,0.708
Sweden,Western Europe,7.287,10.873,0.914,72.5,0.935,0.239
Switzerland,Western Europe,7.474,11.115,0.95,73.8,0.925,0.316
Taiwan Province of China,East Asia,6.359,10.842,0.891,80.11,0.76,0.743
Tajikistan,Commonwealth of Independent States,5.829,8.036,0.663,63.8,0.847,0.718
Tanzania,Sub-Saharan Africa,3.347,7.836,0.705,57,0.8,0.654
Thailand,Southeast Asia,5.939,9.765,0.877,67,0.923,0.884
Togo,Sub-Saharan Africa,4.361,7.324,0.508,54.3,0.717,0.726
Trinidad and Tobago,Latin America and Caribbean,6.192,10.183,0.916,63.5,0.859,0.911
Tunisia,Middle East and North Africa,4.124,9.269,0.717,66.6,0.478,0.869
Turkey,Middle East and North Africa,5.607,10.238,0.876,66.4,0.644,0.671
Turkmenistan,Commonwealth of Independent States,5.229,9.561,0.908,61.8,0.72,0.879
Uganda,Sub-Saharan Africa,4.001,7.638,0.74,55.3,0.772,0.816
Ukraine,Commonwealth of Independent States,4.311,9.382,0.858,64.3,0.599,0.937
United Arab Emirates,Middle East and North Africa,7.039,11.115,0.836,66.9,0.962,0.621
United Kingdom,Western Europe,7.103,10.736,0.937,72.1,0.813,0.419
United States,South Asia,6.992,11.001,0.921,68.4,0.868,0.681
Uruguay,Latin America and Caribbean,6.336,9.968,0.914,68.9,0.898,0.627
Uzbekistan,Commonwealth of Independent States,6.421,8.782,0.942,64.8,0.985,0.465
Venezuela,Latin America and Caribbean,5.071,9.073,0.896,66.3,0.636,0.844
Vietnam,Southeast Asia,5.175,8.876,0.876,67.7,0.92,0.799
Yemen,Middle East and North Africa,3.254,7.858,0.79,55.9,0.595,0.829
Zambia,Sub-Saharan Africa,3.933,8.156,0.744,54.8,0.823,0.74
Zimbabwe,Sub-Saharan Africa,3.638,8.016,0.754,55,0.753,0.751
