Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Croatia,Central and Eastern Europe,5.417,10.146,0.798,69,0.672,0.884
Cyprus,Western Europe,5.795,10.506,0.786,73.3,0.756,0.898
Czech Republic,Central and Eastern Europe,6.736,10.518,0.931,69.3,0.85,0.9
Denmark,Western Europe,7.558,10.903,0.954,71.8,0.948,0.21
Dominican Republic,Latin America and Caribbean,5.239,9.691,0.895,65.2,0.873,0.737
Ecuador,Latin America and Caribbean,6.115,9.355,0.842,67.9,0.846,0.774
Egypt,Middle East and North Africa,4.557,9.287,0.809,61.1,0.656,0.859
El Salvador,Latin America and Caribbean,6.14,9.025,0.794,65.5,0.8,0.797
Estonia,Central and Eastern Europe,5.65,10.374,0.938,68.2,0.843,0.639
Ethiopia,Sub-Saharan Africa,4.298,7.547,0.719,57.5,0.744,0.703
Finland,Western Europe,7.66,10.74,0.954,71.7,0.948,0.25
France,Western Europe,6.475,10.69,0.885,73.4,0.787,0.623
Gabon,Sub-Saharan Africa,4.832,9.639,0.78,58.7,0.699,0.817
Gambia,Sub-Saharan Africa,4.686,7.162,0.7,55.107,0.755,0.674
Georgia,Commonwealth of Independent States,4.448,9.47,0.533,64.9,0.606,0.561
Germany,Western Europe,6.874,10.858,0.906,71.6,0.871,0.446
Ghana,Sub-Saharan Africa,4.514,8.46,0.647,56.4,0.751,0.894
Greece,Western Europe,5.303,10.261,0.803,72,0.482,0.898
Guatemala,Latin America and Caribbean,6.359,9.013,0.811,64.2,0.863,0.812
Guinea,Sub-Saharan Africa,3.603,7.721,0.675,52.2,0.726,0.803
Haiti,Latin America and Caribbean,3.57,7.476,0.564,55.1,0.398,0.777
Honduras,Latin America and Caribbean,5.648,8.593,0.774,66.8,0.85,0.793
Hong Kong S.A.R. of China,East Asia,5.498,10.94,0.832,84.228,0.8,0.403
Hungary,Central and Eastern Europe,5.449,10.248,0.9,66.8,0.554,0.924
Iceland,Western Europe,7.51,10.904,0.985,73,0.952,0.719
India,South Asia,4.179,8.673,0.614,59.3,0.82,0.765
Indonesia,Southeast Asia,5.136,9.262,0.792,61.7,0.83,0.89
Iran,Middle East and North Africa,4.653,9.476,0.566,65.4,0.773,0.713
Iraq,Middle East and North Africa,4.413,9.354,0.719,59,0.666,0.799
Ireland,Western Europe,7.041,11.199,0.958,72.1,0.875,0.399
Israel,Middle East and North Africa,7.159,10.555,0.89,72.9,0.772,0.804
Italy,Western Europe,5.955,10.622,0.927,73.2,0.624,0.903
Ivory Coast,Sub-Saharan Africa,4.543,8.437,0.617,48.3,0.769,0.757
Jamaica,Latin America and Caribbean,5.709,9.151,0.865,66.46,0.793,0.931
Japan,East Asia,5.955,10.595,0.9,74.8,0.836,0.698
Jordan,Middle East and North Africa,5.271,9.197,0.82,66.4,0.771,0.673
Kazakhstan,Commonwealth of Independent States,5.534,10.095,0.928,63.4,0.783,0.702
Kenya,Sub-Saharan Africa,4.396,8.282,0.706,58.9,0.749,0.828
Kosovo,Central and Eastern Europe,5.759,9.228,0.824,71.495,0.827,0.941
Kuwait,Middle East and North Africa,6.146,10.912,0.823,66.1,0.822,0.733
Kyrgyzstan,Commonwealth of Independent States,4.857,8.5,0.914,63.5,0.814,0.917
Laos,Southeast Asia,4.876,8.611,0.693,56.6,0.882,0.587
Latvia,Central and Eastern Europe,5.94,10.211,0.917,66.2,0.685,0.868
Lebanon,Middle East and North Africa,5.271,9.687,0.828,66.1,0.657,0.853
Lesotho,Sub-Saharan Africa,3.808,7.953,0.798,46.6,0.729,0.743
Liberia,Sub-Saharan Africa,3.355,7.324,0.643,54.5,0.763,0.901
Libya,Middle East and North Africa,5.434,9.268,0.876,62.3,0.822,0.696
Lithuania,Central and Eastern Europe,5.866,10.373,0.938,66.1,0.614,0.949
Luxembourg,Western Europe,6.967,11.64,0.941,72.6,0.882,0.356
Madagascar,Sub-Saharan Africa,3.663,7.356,0.746,58.3,0.57,0.864
Malawi,Sub-Saharan Africa,3.476,6.932,0.524,56.2,0.81,0.824
Malaysia,Southeast Asia,5.963,10.082,0.863,66.24,0.808,0.845
Maldives,South Asia,5.197,9.616,0.912,70.24,0.833,0.811
Mali,Sub-Saharan Africa,4.016,7.695,0.836,50.7,0.696,0.862
Malta,Western Europe,6.591,10.599,0.93,72.2,0.916,0.696
Mauritania,Sub-Saharan Africa,4.472,8.526,0.785,56.4,0.467,0.842
Mauritius,Sub-Saharan Africa,5.61,9.935,0.836,65.8,0.819,0.891
Mexico,Latin America and Caribbean,6.824,9.884,0.893,67.7,0.752,0.809
Moldova,Commonwealth of Independent States,5.578,9.3,0.837,63.6,0.557,0.969
Mongolia,East Asia,5.057,9.3,0.947,61.9,0.76,0.9
Montenegro,Central and Eastern Europe,5.304,9.839,0.866,68.1,0.569,0.849
Morocco,Middle East and North Africa,5.386,8.869,0.655,65.3,0.817,0.717
Mozambique,Sub-Saharan Africa,4.55,7.141,0.666,51.2,0.813,0.632
Myanmar,Southeast Asia,4.623,8.408,0.793,58.4,0.877,0.607
Namibia,Sub-Saharan Africa,4.441,9.215,0.828,56.2,0.81,0.831
Nepal,South Asia,5.1,7.973,0.837,61.3,0.839,0.817
Netherlands,Western Europe,7.541,10.899,0.926,72.1,0.907,0.433
New Zealand,North America and ANZ,7.226,10.623,0.937,72.8,0.927,0.278
Nicaragua,Latin America and Caribbean,6.013,8.668,0.853,66.9,0.717,0.731
Niger,Sub-Saharan Africa,4.235,7.047,0.683,52.5,0.702,0.814
Nigeria,Sub-Saharan Africa,5.22,8.573,0.805,48.9,0.798,0.905
North Cyprus,Western Europe,5.843,10.22,0.791,82.7,0.785,0.659
North Macedonia,Central and Eastern Europe,5.346,9.64,0.871,65.225,0.706,0.87
Norway,Western Europe,7.596,11.035,0.96,73,0.954,0.41
Pakistan,South Asia,5.549,8.394,0.627,57.7,0.634,0.793
Palestinian Territories,Middle East and North Africa,4.907,8.457,0.818,73.59,0.608,0.812
Panama,Latin America and Caribbean,6.118,10.287,0.882,69.4,0.884,0.837
Paraguay,Latin America and Caribbean,5.56,9.377,0.914,65.1,0.806,0.863
Peru,Latin America and Caribbean,5.701,9.426,0.803,67.5,0.83,0.866
Philippines,Southeast Asia,5.431,8.95,0.821,61.7,0.908,0.792
Poland,Central and Eastern Europe,6.162,10.266,0.917,68.5,0.871,0.848
Portugal,Western Europe,5.447,10.37,0.905,72,0.838,0.922
Romania,Central and Eastern Europe,5.969,10.136,0.809,66.6,0.822,0.949
Russia,Commonwealth of Independent States,5.855,10.149,0.911,63.5,0.714,0.925
Rwanda,Sub-Saharan Africa,3.333,7.576,0.665,59.9,0.911,0.159
Saudi Arabia,Middle East and North Africa,6.474,10.792,0.89,65.7,0.774,0.664
Senegal,Sub-Saharan Africa,4.595,8.029,0.839,58.8,0.744,0.794
Serbia,Central and Eastern Europe,5.753,9.688,0.895,67.4,0.614,0.89
Sierra Leone,Sub-Saharan Africa,4.733,7.384,0.657,47.6,0.681,0.863
Singapore,Southeast Asia,6.033,11.419,0.925,76.2,0.904,0.047
Slovakia,Central and Eastern Europe,5.993,10.31,0.945,68.3,0.7,0.917
Slovenia,Central and Eastern Europe,5.937,10.463,0.934,70.5,0.904,0.838
South Africa,Sub-Saharan Africa,4.77,9.45,0.875,55.7,0.774,0.813
South Korea,East Asia,5.971,10.593,0.811,73,0.591,0.862
South Sudan,Sub-Saharan Africa,3.071,7.347,0.585,50.2,0.512,0.71
Spain,Western Europe,6.319,10.56,0.942,73.8,0.768,0.819
Sri Lanka,South Asia,4.612,9.383,0.863,66.6,0.902,0.859
Swaziland,Sub-Saharan Africa,4.42,9.207,0.771,50.846,0.583,0.692
Sweden,Western Europe,7.369,10.861,0.912,72.4,0.918,0.246
Switzerland,Western Europe,7.459,11.106,0.928,73.5,0.934,0.302
Taiwan Province of China,East Asia,6.513,10.798,0.895,79.93,0.719,0.811
Tajikistan,Commonwealth of Independent States,5.104,7.987,0.857,63.5,0.853,0.632
Tanzania,Sub-Saharan Africa,2.903,7.8,0.638,56.5,0.775,0.739
Thailand,Southeast Asia,6.074,9.729,0.908,66.8,0.924,0.878
Togo,Sub-Saharan Africa,3.879,7.306,0.509,53.9,0.73,0.815
Trinidad and Tobago,Latin America and Caribbean,6.256,10.285,0.891,62.96,0.849,0.935
Tunisia,Middle East and North Africa,4.521,9.262,0.702,66.3,0.614,0.811
Turkey,Middle East and North Africa,5.326,10.181,0.88,66,0.644,0.764
Turkmenistan,Commonwealth of Independent States,5.887,9.515,0.929,61.4,0.749,0.875
Uganda,Sub-Saharan Africa,4.233,7.637,0.754,54.9,0.739,0.811
Ukraine,Commonwealth of Independent States,4.029,9.353,0.885,64,0.503,0.891
United Arab Emirates,Middle East and North Africa,6.831,11.105,0.849,66.7,0.949,0.615
United Kingdom,Western Europe,6.824,10.724,0.954,71.9,0.821,0.458
United States,South Asia,6.804,10.986,0.897,68.5,0.758,0.739
Uruguay,Latin America and Caribbean,6.171,9.946,0.9,68.8,0.886,0.676
Uzbekistan,Commonwealth of Independent States,5.893,8.756,0.945,64.5,0.984,0.486
Venezuela,Latin America and Caribbean,4.041,9.01,0.902,66.1,0.458,0.89
Vietnam,Southeast Asia,5.062,8.82,0.849,67.5,0.894,0.771
Yemen,Middle East and North Africa,3.826,8.117,0.775,55.1,0.533,0.885
Zambia,Sub-Saharan Africa,4.348,8.151,0.767,54.3,0.812,0.771
Zimbabwe,Sub-Saharan Africa,3.735,7.984,0.768,54.4,0.733,0.724
