Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Gabon,Sub-Saharan Africa,4.914,9.607,0.763,60.2,0.736,0.846
Senegal,Sub-Saharan Africa,5.489,8.13,0.688,60,0.759,0.796
Botswana,Sub-Saharan Africa,3.471,9.785,0.774,59.6,0.833,0.792
Madagascar,Sub-Saharan Africa,4.339,7.406,0.701,59.5,0.55,0.72
Myanmar,Southeast Asia,4.434,8.545,0.763,59.3,0.899,0.682
Laos,Southeast Asia,5.197,8.965,0.729,59.1,0.906,0.62
Ethiopia,Sub-Saharan Africa,4.1,7.705,0.748,59,0.754,0.732
Pakistan,South Asia,4.443,8.453,0.617,58.9,0.685,0.776
Congo (Brazzaville),Sub-Saharan Africa,5.213,8.101,0.625,58.5,0.686,0.741
Malawi,Sub-Saharan Africa,3.869,6.966,0.549,58.3,0.765,0.68
Tanzania,Sub-Saharan Africa,3.64,7.886,0.687,58,0.85,0.589
Ghana,Sub-Saharan Africa,4.967,8.596,0.746,57.6,0.787,0.857
Comoros,Sub-Saharan Africa,4.609,8.033,0.632,57.5,0.538,0.762
Yemen,Middle East and North Africa,4.197,7.578,0.87,57.5,0.651,0.798
Mauritania,Sub-Saharan Africa,4.153,8.556,0.798,57.3,0.628,0.743
Namibia,Sub-Saharan Africa,4.451,9.104,0.741,57.1,0.666,0.81
Liberia,Sub-Saharan Africa,5.121,7.264,0.712,56.9,0.706,0.828
South Africa,Sub-Saharan Africa,5.035,9.432,0.848,56.9,0.738,0.82
Zimbabwe,Sub-Saharan Africa,2.694,7.95,0.759,56.2,0.632,0.831
Uganda,Sub-Saharan Africa,4.948,7.688,0.805,56.1,0.704,0.826
Zambia,Sub-Saharan Africa,3.307,8.155,0.638,55.8,0.811,0.832
Haiti,Latin America and Caribbean,3.615,7.477,0.538,55.7,0.591,0.72
Guinea,Sub-Saharan Africa,4.768,7.849,0.655,55.5,0.691,0.756
Gambia,Sub-Saharan Africa,5.164,7.699,0.694,55.3,0.677,0.798
Mozambique,Sub-Saharan Africa,4.932,7.155,0.742,55.2,0.87,0.682
Togo,Sub-Saharan Africa,4.179,7.375,0.539,55.1,0.617,0.737
Benin,Sub-Saharan Africa,4.976,8.098,0.442,54.7,0.77,0.698
Burkina Faso,Sub-Saharan Africa,4.741,7.691,0.683,54.4,0.678,0.729
Niger,Sub-Saharan Africa,5.004,7.106,0.677,54,0.831,0.729
Cameroon,Sub-Saharan Africa,4.937,8.203,0.711,53.5,0.712,0.817
Central African Republic,Sub-Saharan Africa,3.472,6.987,0.319,53.42,0.645,0.894
Burundi,Sub-Saharan Africa,3.775,6.635,0.485,53.4,0.646,0.599
Congo (Kinshasa),Sub-Saharan Africa,4.361,6.806,0.71,52.737,0.694,0.823
Sierra Leone,Sub-Saharan Africa,3.447,7.449,0.611,52.4,0.718,0.874
Mali,Sub-Saharan Africa,4.988,7.752,0.755,52.2,0.67,0.846
Swaziland,Sub-Saharan Africa,4.396,9.07,0.759,51.27,0.71,0.724
South Sudan,Sub-Saharan Africa,2.818,7.465,0.555,51,0.453,0.772
Ivory Coast,Sub-Saharan Africa,5.392,8.564,0.679,50.1,0.736,0.799
Nigeria,Sub-Saharan Africa,4.356,8.544,0.734,50.1,0.729,0.873
Chad,Sub-Saharan Africa,4.251,7.365,0.64,48.7,0.537,0.832
Lesotho,Sub-Saharan Africa,3.512,7.926,0.79,48.7,0.716,0.915
