Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
Morocco,Middle East and North Africa,5.095,9.14,0.593,65.896,0.772,0.816
Mozambique,Sub-Saharan Africa,4.624,7.269,0.724,54.206,0.864,0.683
Myanmar,Southeast Asia,4.308,8.88,0.784,58.962,0.895,0.645
Namibia,Sub-Saharan Africa,4.571,9.403,0.847,56.501,0.768,0.851
Nepal,South Asia,5.137,8.125,0.786,63.779,0.798,0.738
Netherlands,Western Europe,7.449,11.013,0.939,72.301,0.909,0.365
New Zealand,North America and ANZ,7.3,10.701,0.949,73.203,0.936,0.221
Nicaragua,Latin America and Caribbean,6.137,8.693,0.857,67.507,0.864,0.666
Niger,Sub-Saharan Africa,4.91,7.042,0.617,53.5,0.76,0.723
Nigeria,Sub-Saharan Africa,4.724,8.777,0.737,49.862,0.76,0.862
North Cyprus,Western Europe,5.536,10.606,0.82,82.702,0.795,0.626
North Macedonia,Central and Eastern Europe,5.16,9.711,0.82,67.504,0.739,0.897
Norway,Western Europe,7.488,11.288,0.952,73.401,0.956,0.263
Pakistan,South Asia,5.693,8.683,0.689,58.253,0.735,0.746
Palestinian Territories,Middle East and North Africa,4.553,8.589,0.825,62.25,0.646,0.824
Panama,Latin America and Caribbean,6.305,10.234,0.902,69.603,0.88,0.852
Paraguay,Latin America and Caribbean,5.692,9.59,0.899,65.64,0.886,0.835
Peru,Latin America and Caribbean,5.797,9.656,0.831,68.1,0.825,0.894
Philippines,Southeast Asia,6.006,9.194,0.847,61.927,0.915,0.734
Poland,Central and Eastern Europe,6.186,10.465,0.874,69.311,0.862,0.687
Portugal,Western Europe,5.911,10.464,0.887,72.402,0.889,0.893
Romania,Central and Eastern Europe,6.124,10.308,0.825,67.207,0.843,0.934
Russia,Commonwealth of Independent States,5.546,10.329,0.903,64.1,0.73,0.865
Rwanda,Sub-Saharan Africa,3.312,7.8,0.541,61.099,0.901,0.184
Saudi Arabia,Middle East and North Africa,6.406,10.998,0.874,66.305,0.854,0.683
Senegal,Sub-Saharan Africa,4.981,8.319,0.724,59.599,0.691,0.809
Serbia,Central and Eastern Europe,5.778,9.881,0.881,68.21,0.726,0.844
Sierra Leone,Sub-Saharan Africa,3.926,7.469,0.636,50.865,0.715,0.861
Singapore,Southeast Asia,6.377,11.596,0.91,77.805,0.927,0.11
Slovakia,Central and Eastern Europe,6.281,10.548,0.922,68.906,0.75,0.918
Slovenia,Central and Eastern Europe,6.363,10.592,0.94,71.103,0.936,0.817
South Africa,Sub-Saharan Africa,4.814,9.603,0.853,56.506,0.759,0.843
South Korea,East Asia,5.872,10.711,0.799,73.943,0.613,0.789
South Sudan,Sub-Saharan Africa,2.817,7.625,0.554,51,0.451,0.763
Spain,Western Europe,6.401,10.663,0.921,74.803,0.752,0.766
Sri Lanka,South Asia,4.327,9.59,0.825,67.2,0.838,0.859
Swaziland,Sub-Saharan Africa,4.308,9.363,0.77,51.188,0.647,0.708
Sweden,Western Europe,7.353,10.959,0.926,72.601,0.939,0.251
Switzerland,Western Europe,7.56,11.18,0.943,74.612,0.921,0.304
Taiwan Province of China,East Asia,6.455,10.976,0.894,80.6,0.772,0.732
Tajikistan,Commonwealth of Independent States,5.556,8.225,0.835,64.105,0.831,0.592
Tanzania,Sub-Saharan Africa,3.476,8.168,0.689,57.496,0.822,0.62
Thailand,Southeast Asia,5.999,9.942,0.89,67.251,0.905,0.886
Togo,Sub-Saharan Africa,4.187,7.558,0.551,54.72,0.65,0.758
Trinidad and Tobago,Latin America and Caribbean,6.192,10.46,0.915,63.5,0.858,0.912
Tunisia,Middle East and North Africa,4.392,9.515,0.689,66.898,0.593,0.868
Turkey,Middle East and North Africa,5.132,10.329,0.826,66.903,0.609,0.748
Turkmenistan,Commonwealth of Independent States,5.119,9.948,0.959,62.212,0.826,0.884
Uganda,Sub-Saharan Africa,4.432,7.7,0.765,55.708,0.732,0.837
Ukraine,Commonwealth of Independent States,4.561,9.211,0.879,64.607,0.663,0.921
United Arab Emirates,Middle East and North Africa,6.791,11.31,0.849,67.083,0.941,0.595
United Kingdom,Western Europe,7.165,10.8,0.937,72.302,0.835,0.436
United States,North America and ANZ,6.94,11.126,0.914,68.299,0.843,0.7
Uruguay,Latin America and Caribbean,6.44,10.148,0.923,69.003,0.892,0.636
Uzbekistan,Commonwealth of Independent States,6.258,8.94,0.927,65.108,0.975,0.501
Venezuela,Latin America and Caribbean,5.053,7.524,0.89,66.505,0.623,0.837
Vietnam,Southeast Asia,5.353,9.01,0.85,67.953,0.94,0.796
Yemen,Middle East and North Africa,3.527,7.96,0.818,56.727,0.6,0.8
Zambia,Sub-Saharan Africa,3.759,8.425,0.699,55.299,0.807,0.801
Zimbabwe,Sub-Saharan Africa,3.299,8.066,0.763,55.617,0.711,0.81
