"Marca temporal","Edad","Género","¿A qué Universidad perteneces?","Ciclo relativo","¿Cúantas horas duermes al día (aproximadamente)?","¿Cuántas horas te dedicas a realizar actividades físicas a la semana (aproximadamente)?","¿Meditas?","¿Cuántas comidas consumes al día?","¿Con qué frecuencia consumes comida chatarra?","Horas de ocio en dispositivos electrónicos diarias (videojuegos, redes sociales, plataformas de streaming, etc)","¿Con qué frecuencia pasas tiempo al aire libre (amigos, familia, solo)?","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Dolores de cabeza]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Tensión muscular en cuello y espalda]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Fatiga]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Ansiedad, preocupación, fobias]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Dificultad para conciliar el sueño]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Irritabilidad]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Arranques de enojo/hostilidad]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Aburrimiento, depresión]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Comer demasiado o demasiado poco]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Diarrea, calambres, gases, constipación]","¿Cuántos de los siguientes síntomas ha presentado recientemente? [Inquietud, picazón, tics]","Del 1 al 5, ¿qué tan motivado te encuentras actualmente respecto a tus proyectos personales?","Del 1 al 5, ¿qué tan estresado te sientes últimamente? "
"2021/09/29 10:41:33 a. m. GMT-5","21","Femenino","Universidad de Piura","3","5","0","0","3","2","1","2","Cada noche o día","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Cada noche o día;2-3 veces por semana","Cada noche o día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","3","4"
"2021/09/29 10:46:13 a. m. GMT-5","22","Masculino","Universidad Nacional de Ingeniería","4","6","6","1","3","1","2","1","Una vez al mes","Una vez al mes","Nunca","Nunca","Una vez a la semana","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","3","1"
"2021/09/29 11:37:14 a. m. GMT-5","19","Femenino","UNI","3","5","1","5  a más","3","3","1","2","Nunca","Una vez al mes","Una vez al mes","2-3 veces por semana","Nunca","Una vez a la semana","2-3 veces por semana","Cada noche o día","Cada noche o día","Una vez al mes","Una vez al mes","2","5"
"2021/09/29 11:42:02 a. m. GMT-5","18","Femenino","Universidad de Lima","3","8 ","1","0","5","3","5","5","Una vez al mes","Una vez a la semana","Una vez a la semana","Una vez al mes","Nunca","Una vez al mes","Una vez al mes","Una vez al mes","Una vez a la semana","Una vez al mes","Nunca","4","3"
"2021/09/29 2:09:41 p. m. GMT-5","18","Femenino","UTEC","3","7","3","2","3","3","3","3","Nunca","Una vez a la semana","Nunca","Una vez al mes","Una vez al mes","Una vez al mes","Nunca","Una vez al mes","Una vez a la semana","Nunca","Una vez a la semana","4","2"
"2021/09/29 2:12:30 p. m. GMT-5","19","Prefiero no decirlo","Utec","6","6","0","3","3","4","3","3","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","Cada noche o día","Cada noche o día","Cada noche o día","2-3 veces por semana","Cada noche o día","Cada noche o día","Una vez a la semana","Cada noche o día","3","5"
"2021/09/29 3:12:59 p. m. GMT-5","16 ","Femenino","Pucp ","1","6 "," 3.25","0","5","3","8","3","2-3 veces por semana","Uno o dos veces al día","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","Uno o dos veces al día;2-3 veces por semana","Uno o dos veces al día;2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Nunca","Nunca","4","3"
"2021/09/29 7:52:45 p. m. GMT-5","19","Femenino","UPC","6","7","3","2","5","2","4","2","2-3 veces por semana","Uno o dos veces al día","Uno o dos veces al día","Casi todo el día, todos los días","Una vez al mes","Casi todo el día, todos los días","Uno o dos veces al día","Casi todo el día, todos los días","Una vez a la semana","Una vez a la semana","Nunca","3","5"
"2021/09/29 7:57:46 p. m. GMT-5","19","Femenino","UPC","2","6","0","0","3","3","3","2","Casi todo el día, todos los días","Una vez al mes","2-3 veces por semana","Casi todo el día, todos los días","Casi todo el día, todos los días","2-3 veces por semana","Una vez al mes","Una vez al mes","2-3 veces por semana","Nunca","Nunca","3","5"
"2021/09/29 8:38:58 p. m. GMT-5","20","Femenino","Universidad Peruana de Ciencias Aplicadas (UPC)","6","6 ","2","3","2","3"," 3","2","Una vez al mes","2-3 veces por semana","Cada noche o día","2-3 veces por semana","Una vez al mes","Una vez al mes","Nunca","Nunca","Cada noche o día","Una vez al mes","Una vez al mes","5","5"
"2021/09/29 9:04:10 p. m. GMT-5","19","Femenino","PUCP","6","5","4","1","3","3","6","4","Una vez al mes","Una vez a la semana","Una vez al mes","2-3 veces por semana","Cada noche o día","Una vez a la semana","Una vez a la semana","Cada noche o día","Una vez a la semana","Una vez al mes","Cada noche o día","4","5"
"2021/09/29 9:16:03 p. m. GMT-5","20","Femenino","UPC","7","7","1","3","3","2","5","3","Una vez a la semana","2-3 veces por semana","Cada noche o día","Casi todo el día, todos los días","2-3 veces por semana","Uno o dos veces al día","2-3 veces por semana","2-3 veces por semana","Uno o dos veces al día","Nunca","Una vez a la semana","2","3"
"2021/09/29 9:21:45 p. m. GMT-5","18","Femenino","Upc","5","6","1 ","0","3","2","2 ","2","Una vez a la semana","Uno o dos veces al día","Una vez a la semana","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","2-3 veces por semana","Una vez al mes","Una vez a la semana","3","5"
"2021/09/29 10:26:27 p. m. GMT-5","19","Femenino","UTEC","6","6","4","0","3","3","5","4","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","Cada noche o día","3","3"
"2021/09/29 10:57:43 p. m. GMT-5","19","Femenino","UPC","6","5","1 ","0","3","3","3 ","2","Uno o dos veces al día","Casi todo el día, todos los días","Uno o dos veces al día","Casi todo el día, todos los días","2-3 veces por semana","Uno o dos veces al día","Uno o dos veces al día","Casi todo el día, todos los días","2-3 veces por semana","Nunca","Una vez a la semana","2","5"
"2021/09/29 11:26:43 p. m. GMT-5","18","Masculino","UPC","2","6   ","1 ","0","3","2","2","3","Una vez al mes","Casi todo el día, todos los días","Uno o dos veces al día","2-3 veces por semana","Casi todo el día, todos los días","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","Casi todo el día, todos los días","Nunca","Nunca","4","5"
"2021/09/30 12:47:04 a. m. GMT-5","19","Masculino","Utec","6","6","5","0","3","3","4","2","Nunca","Una vez al mes","Una vez a la semana;Una vez al mes","Una vez al mes","Una vez al mes","Nunca","Nunca","Cada noche o día","Nunca","Nunca","Nunca","4","3"
"2021/09/30 11:31:41 a. m. GMT-5","24","Masculino","UTEC","7","5","8","5  a más","3","2","4","4","Nunca","Una vez a la semana","Una vez a la semana","Nunca","Una vez a la semana","Una vez a la semana","Nunca","Una vez a la semana","2-3 veces por semana","Nunca","Nunca","3","1"
"2021/10/20 6:49:26 p. m. GMT-5","19","Masculino","UTEC","3","8","10","No","5","3","2","2","Una vez al mes","2-3 veces por semana","2-3 veces por semana","Casi todo el día, todos los días","Uno o dos veces al día","Casi todo el día, todos los días","Casi todo el día, todos los días","Casi todo el día, todos los días","Uno o dos veces al día","Una vez a la semana","Casi todo el día, todos los días","4","5"
"2021/10/20 6:51:40 p. m. GMT-5","20","Masculino","UTEC","3","5","0","Sí","5","3","3","2","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","Uno o dos veces al día","4","5"
"2021/10/20 6:58:53 p. m. GMT-5","18","Masculino","Universidad de ingeniería y tecnología ","3","7","1","Sí","3","2","5","2","Una vez a la semana","Una vez al mes","2-3 veces por semana","2-3 veces por semana","Casi todo el día, todos los días","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Nunca","Nunca","3","5"
"2021/10/20 7:01:09 p. m. GMT-5","19","Masculino","Universidad Nacional de Ingeneria","2","6","5","Sí","5","2","2","4","Nunca","Una vez a la semana","Nunca","Nunca","Nunca","Nunca","Nunca","2-3 veces por semana","Cada noche o día","Una vez al mes","Nunca","5","2"
"2021/10/20 7:01:20 p. m. GMT-5","19","Masculino","PUCP","6","5","5","No","5","1","5","3","Nunca","Cada noche o día","Cada noche o día","Casi todo el día, todos los días","Casi todo el día, todos los días","2-3 veces por semana","2-3 veces por semana","Uno o dos veces al día","Cada noche o día","Nunca","Nunca","3","5"
"2021/10/20 7:01:21 p. m. GMT-5","19","Masculino","Ricardo Palma","4","5","2","No","3","2","6","2","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","5","5"
"2021/10/20 8:13:51 p. m. GMT-5","20","Masculino","PUCP","3","6","5","No","2","1","6","1","Una vez al mes","Cada noche o día","Cada noche o día","Uno o dos veces al día","Casi todo el día, todos los días","2-3 veces por semana","Una vez a la semana","Uno o dos veces al día","Uno o dos veces al día","Una vez al mes","Una vez al mes","2","4"
"2021/10/20 8:28:44 p. m. GMT-5","22","Masculino","UTEC","5","7","4","Sí","3","3","2","4","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","Una vez a la semana","Una vez al mes","Una vez al mes","Una vez a la semana","Una vez al mes","Una vez a la semana","4","4"
"2021/10/20 8:34:46 p. m. GMT-5","23","Masculino","Universidad nacional Federico Villarreal","10 a más","8","3","Sí","5","3","3","4","2-3 veces por semana","2-3 veces por semana","Una vez al mes","Nunca","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","","Nunca","Una vez a la semana","5","3"
"2021/10/20 8:44:08 p. m. GMT-5","22","Masculino","Universidad autónoma de Perú","3","5","1","No","3","4","6","3","Una vez al mes","2-3 veces por semana","Nunca","Una vez al mes","Una vez a la semana","Nunca","Una vez a la semana","Nunca","Nunca","Nunca","Nunca","4","2"
"2021/10/23 9:40:24 p. m. GMT-5","19","Femenino","UTEC","4","6","3","Sí","3","1","2","2","2-3 veces por semana","Una vez al mes","Casi todo el día, todos los días","Uno o dos veces al día","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","Nunca","3","5"
"2021/10/25 11:48:06 a. m. GMT-5","19","Femenino","Universidad del Pacífico","6","6","3","No","5","3","7","3","Una vez a la semana","Cada noche o día","2-3 veces por semana","Uno o dos veces al día","Una vez a la semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","2-3 veces por semana","4","5"
"2021/10/25 3:46:11 p. m. GMT-5","19","Masculino","UTEC","3","6","0","No","3","2","4","3","Nunca","Una vez al mes","Una vez al mes","Una vez al mes","Una vez a la semana","Una vez a la semana","Una vez al mes","Una vez al mes","Nunca","Nunca","Una vez al mes","3","3"
"2021/10/25 4:22:33 p. m. GMT-5","19","Masculino","UTEC","3","5","2","Sí","3","2","1","2","Una vez al mes","Una vez al mes","2-3 veces por semana","Una vez al mes","Una vez al mes","","2-3 veces por semana","Una vez a la semana","Una vez al mes","Nunca","Una vez al mes","2","4"
"2021/10/25 4:31:50 p. m. GMT-5","18","Femenino","Utec","4","6","1","No","2","3","6","2","2-3 veces por semana","2-3 veces por semana","Una vez a la semana","Una vez a la semana","2-3 veces por semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","Una vez a la semana","2-3 veces por semana","Una vez a la semana","1","3"
"2021/10/27 12:43:05 p. m. GMT-5","17","Femenino","UPC","1","5","14","No","3","2","3","2","Nunca","2-3 veces por semana","Una vez a la semana","Casi todo el día, todos los días","2-3 veces por semana","Uno o dos veces al día","Uno o dos veces al día","2-3 veces por semana","Una vez a la semana","","Casi todo el día, todos los días","3","5"
