Código,Ciclo,Edad,Carrera,Género,¿Qué idioma es de su interés?,¿Cuantos centros de idiomas conoces?,¿En que centro de idiomas le gustaria estudiar?,¿Cuanto estaria dispuesto a pagar por un curso de idiomas ?,¿Cuantos idiomas te gustaria aprender?,¿Hasta que nivel de idioma te gustaria llegar?,¿Cuánto tiempo  por día aparte de las clases le puedes dedicar al estudio de un idioma (minutos)? Ejm: 60,"Del 1 al 5, donde 1 es nada importante y 5 muy importante ¿Qué tan importante consideras el estudio de idiomas?"
202120397,2,28,Ingeniería Industrial,Femenino,Quechua,1,escuela bilingue,s/.100 – s/.150,4,Avanzado,60,5
202120225,2,18,Ingeniería Civil,Femenino,Inglés,2,Británico,s/.151 – s/.200,2,Avanzado,60,5
202120429,2,18,Ingeniería Industrial,Masculino,Inglés,4,ICPNA,s/.201 – s/.250,3,Avanzado,120,5
202120259,2,17,Ingeniería Civil,Masculino,Inglés,1,Británico,s/.100 – s/.150,1,Avanzado,20,5
202120507,2,18,Ingeniería Civil,Masculino,Inglés,3,ICPNA,s/.151 – s/.200,3,Avanzado,60,4
202120163,2,21,Ingeniería Industrial,Masculino,Inglés,1,Británico,s/.100 – s/.150,2,Avanzado,1 hora,5
202120532,2,17,Ingeniería Industrial,Masculino,Inglés,4,Británico,s/.201 – s/.250,3,Intermedio,120,5
202010313,4,19,Ingeniería Mecatrónica,Masculino,Inglés,4,Británico,s/.151 – s/.200,2,Intermedio,120,5
202120235,2,23,Ingeniería Industrial,Femenino,Inglés,4,Idiomas Católica,s/.201 – s/.250,3,Avanzado,180,5
202120205,2,18,Ingeniería Industrial,Femenino,Inglés,4,ICPNA,s/.151 – s/.200,3,Avanzado,60,5
202120169,2,18,Ingeniería Civil,Masculino,Inglés,4,ICPNA,s/.151 – s/.200,5,Avanzado,Máximo una hora y media ,5
202120459,2,18,Ingeniería Civil,Femenino,Inglés,3,ICPNA,s/.100 – s/.150,3,Intermedio,60,4
202120471,2,17,Ingeniería Industrial,Femenino,Inglés,2,Británico,s/.100 – s/.150,3,Avanzado,60,5
201920062,6,20,Ingeniería Industrial,Masculino,Inglés,3,TECSUP (Conversa),s/.100 – s/.150,2,Intermedio,120,4
202110134,3,19,Ingeniería Química,Femenino,Portugues,1,Idiomas Católica,s/.151 – s/.200,2,Intermedio,60,5
202120381,2,20,Ingeniería Industrial,Femenino,Inglés,4,Británico,s/.251 – s/.300,3,Avanzado,180,5
202120155,2,19,Ingeniería Ambiental,Femenino,Chino mandarin,4,ICPNA,s/.100 – s/.150,3,Avanzado,2,5
202120364,2,18,Ingeniería Civil,Masculino,Inglés,2,TECSUP (Conversa),s/.100 – s/.150,3,Avanzado,2 horas,5
202120317,2,18,Ingeniería Industrial,Masculino,"Inglés, Quechua y Chino mandarín.",4,Idiomas Católica,s/.100 – s/.150,2,Intermedio,180,4
202110297,3,17,Ingeniería Civil,Femenino,Italiano,3,TECSUP (Conversa),s/.201 – s/.250,4,Avanzado,100,5
202120244,2,19,Ingeniería Industrial,Masculino,Inglés,3,ICPNA,s/.201 – s/.250,1,Avanzado,14,5
202110196,3,18,Ingeniería Mecatrónica,Masculino,Inglés,4,Británico,s/.201 – s/.250,3,Avanzado,120,5
202120605,2,19,Ingeniería Industrial,Masculino,Quechua,4,ICPNA,s/.251 – s/.300,3,Avanzado,120,5
202110392,3,18,Ingeniería Industrial,Femenino,Inglés,2,Británico,s/.301 - a más,5,Avanzado,120,5
202120275,2,18,Ingeniería Civil,Masculino,Inglés,4,ICPNA,s/.151 – s/.200,3,Intermedio,60,4
202120168,2,19,Ingeniería Industrial,Masculino,Portugues,2,Británico,s/.151 – s/.200,2,Intermedio,90,4
202120511,2,18,Ingeniería Ambiental,Femenino,Inglés,4,Idiomas Católica,s/.251 – s/.300,4,Avanzado,20,5
202120226,2,17,Ingeniería Industrial,Femenino,Inglés,4,TECSUP (Conversa),s/.251 – s/.300,5,Avanzado,45,5
202120069,2,20,Ingeniería Industrial,Femenino,Inglés,2,Británico,s/.151 – s/.200,3,Avanzado,60,5
202120656,2,19,Ingeniería Mecatrónica,Masculino,Inglés,2,ICPNA,s/.201 – s/.250,3,Avanzado,120,5
202120531,2,19,Ingeniería Industrial,Masculino,Inglés,3,ICPNA,s/.151 – s/.200,2,Avanzado,60,5
202120498,2,17,Ciencia de la Computación,Femenino,Inglés,2,Británico,s/.100 – s/.150,3,Avanzado,120,5
202120299,2,17,Ingeniería Civil,Femenino,Coreano,3,ICPNA,s/.201 – s/.250,2,Intermedio,120,4
202110660,3,18,Ciencia de la Computación,Masculino,Inglés,2,TECSUP (Conversa),s/.151 – s/.200,2,Avanzado,120,4
202120064,2,19,Ingeniería Civil,Masculino,Inglés,1,TECSUP (Conversa),s/.151 – s/.200,3,Avanzado,90,5
202120583,2,22,Ingeniería de la Energía,Masculino,Inglés,3,Británico,s/.151 – s/.200,2,Avanzado,120,5
202120143,2,19,Ingeniería Industrial,Femenino,Quechua,2,ICPNA,s/.100 – s/.150,3,Avanzado,120,5
202120314,2,18,Ingeniería Civil,Femenino,Inglés,2,TECSUP (Conversa),s/.251 – s/.300,3,Avanzado,60,5
202120360,2,17,Bioingeniería,Femenino,Chino mandarin,4,Idiomas Católica,s/.151 – s/.200,3,Avanzado,120,5
202010326,5,20,Ciencia de la Computación,Masculino,Inglés,2,Idiomas Católica,s/.151 – s/.200,3,Intermedio,60,3
202120654,2,20,Ingeniería Ambiental,Femenino,Francés,4,ICPNA,s/.100 – s/.150,3,Avanzado,45,5
202120374,2,19,Ciencia de la Computación,Femenino,Francés,1,Idiomas Católica,s/.201 – s/.250,2,Intermedio,2,5
202120136,2,20,Ingeniería Industrial,Femenino,Inglés,3,ICPNA,s/.151 – s/.200,5,Avanzado,120,5
202120653,2,18,Ingeniería Civil,Femenino,Inglés,4,Británico,s/.201 – s/.250,4,Avanzado,180,5
202120398,1,17,Ingeniería Civil,Femenino,Inglés,1,TECSUP (Conversa),s/.151 – s/.200,3,Avanzado,120,5
202110566,3,19,Ingeniería Ambiental,Masculino,Inglés,2,ICPNA,s/.201 – s/.250,2,Intermedio,90 min,5
202110445,3,18,Bioingeniería,Femenino,Inglés,3,Británico,s/.151 – s/.200,2,Avanzado,30,4
202120629,2,17,Ingeniería Civil,Femenino,Inglés,2,ICPNA,s/.201 – s/.250,5,Avanzado,30,5
202110302,3,17,Ciencia de la Computación,Masculino,Inglés,3,TECSUP (Conversa),s/.100 – s/.150,1,Avanzado,120,5
202010389,5,19,Ingeniería Electrónica,Masculino,Inglés,3,Idiomas Católica,s/.201 – s/.250,2,Intermedio,90,4
202120257,2,19,Ingeniería Civil,Masculino,Inglés,1,TECSUP (Conversa),s/.100 – s/.150,2,Intermedio,2 horas ,5
202120479,2,21,Ingeniería Industrial,Femenino,Inglés,4,Idiomas Católica,s/.251 – s/.300,3,Avanzado,120,5
202010157,5,19,Ciencia de la Computación,Masculino,Inglés,1,TECSUP (Conversa),s/.100 – s/.150,5,Avanzado,120,5
202120111,2,19,Ingeniería Industrial,Masculino,Inglés,2,ICPNA,s/.100 – s/.150,2,Avanzado,120,5
202020118,4,25,Ingeniería Civil,Masculino,Portugues,3,ICPNA,s/.100 – s/.150,3,Intermedio,60,5
202120530,2,17,Ingeniería Industrial,Femenino,Inglés,4,Centro de Idiomas San Marcos,s/.100 – s/.150,3,Avanzado,100,5
202110222,3,18,Ingeniería Mecatrónica,Masculino,Inglés,3,TECSUP (Conversa),s/.151 – s/.200,3,Avanzado,60,5
202110531,3,20,Ingeniería Mecatrónica,Masculino,Inglés,4,TECSUP (Conversa),s/.151 – s/.200,5,Avanzado,60 min,5
202120547,2,18,Ingeniería Ambiental,Femenino,Inglés,3,ICPNA,s/.151 – s/.200,2,Avanzado,60,5
201810566,8,22,Ingeniería Mecatrónica,Masculino,Portugues,4,Británico,s/.251 – s/.300,4,Avanzado,200,5
202020014,4,21,Ingeniería Electrónica,Masculino,Inglés,2,ICPNA,s/.151 – s/.200,4,Avanzado,120,5
202120247,2,19,Ingeniería Civil,Femenino,Inglés,4,ICPNA,s/.151 – s/.200,3,Avanzado,120,5
202120478,2,18,Ingeniería Ambiental,Femenino,Inglés,3,TECSUP (Conversa),s/.151 – s/.200,3,Intermedio,120,5
202120248,2,18,Ingeniería Mecatrónica,Masculino,Inglés,2,ICPNA,s/.151 – s/.200,2,Intermedio,60,5
202120010,2,19,Ingeniería Industrial,Femenino,Inglés,3,ICPNA,s/.151 – s/.200,3,Avanzado,90,5
202120432,2,18,Ingeniería Mecatrónica,Masculino,Inglés,3,ICPNA,s/.201 – s/.250,3,Avanzado,30 minutos,5
202120369,2,18,Ingeniería Industrial,Femenino,Inglés,2,Británico,s/.201 – s/.250,5,Avanzado,1,5
202110439,3,18,Ciencia de la Computación,Masculino,Inglés,4,ICPNA,s/.151 – s/.200,2,Avanzado,90,4
202120280,2,18,Ingeniería Industrial,Femenino,Inglés,4,Idiomas Católica,s/.100 – s/.150,3,Avanzado,2,5
201910190,4,20,Ingeniería Ambiental,Femenino,Coreano,3,Idiomas Católica,s/.151 – s/.200,4,Intermedio,90,4
202020053,4,20,Ingeniería de la Energía,Masculino,Aleman,4,Idiomas Católica,s/.201 – s/.250,5,Avanzado,120,5
201920072,6,22,Ingeniería de la Energía,Masculino,Inglés,4,Británico,s/.251 – s/.300,3,Avanzado,60,5
202210107,1,17,Ingeniería Mecánica,Masculino,Inglés,4,El Cultural ,s/.100 – s/.150,2,Avanzado,120,5
201820064,8,21,Ingeniería de la Energía,Masculino,Inglés,4,Británico,s/.201 – s/.250,1,Avanzado,120,5
201910270,6,20,Ingeniería de la Energía,Masculino,Inglés,4,Británico,s/.201 – s/.250,3,Avanzado,20,5
202210327,1,17,Ingeniería de la Energía,Masculino,Inglés,4,Británico,s/.251 – s/.300,3,Avanzado,20,5
201710469,10,21,Ingeniería de la Energía,Masculino,Inglés,3,Británico,s/.201 – s/.250,2,Avanzado,70,5
201810148,8,21,Ingeniería de la Energía,Masculino,Inglés,3,Británico,s/.201 – s/.250,2,Intermedio,120,3
202210056,1,18,Ingeniería de la Energía,Masculino,Inglés,3,"Ninguno prefiero aprender viendo pelis, musica, y hablando con gente en ingles",s/.100 – s/.150,1,Avanzado,50 min,1
202010024,5,19,Ingeniería de la Energía,Femenino,Francés,3,Idiomas Católica,s/.201 – s/.250,2,Intermedio,2 horas,5
202110459,3,20,Ingeniería Mecatrónica,Masculino,Inglés,3,Idiomas Católica,s/.201 – s/.250,2,Intermedio,120,4
202120321,2,18,Ingeniería Mecatrónica,Femenino,Inglés,1,ICPNA,s/.100 – s/.150,2,Avanzado,80,5
202120290,2,18,Ingeniería Civil,Masculino,Inglés,1,ICPNA,s/.151 – s/.200,1,Avanzado,1:30,4
202110406,3,19,Administración & Negocios Digitales,Masculino,Inglés,3,UP,s/.301 - a más,4,Avanzado,60,4
202110545,3,21,Administración & Negocios Digitales,Masculino,Italiano,4,istituto italiano di cultura,s/.201 – s/.250,5,Avanzado,120 minutos,5
202110444,2,17,Ingeniería Mecánica,Masculino,Italiano,2,Británico,s/.301 - a más,4,Avanzado,2,4
202210617,1,17,Bioingeniería,Femenino,Inglés,2,Británico,s/.151 – s/.200,2,Avanzado,90,5
202210508,1,23,Ingeniería Industrial,Masculino,Francés,1,Británico,s/.151 – s/.200,2,Avanzado,90,4
202120537,2,18,Bioingeniería,Masculino,Inglés,2,ICPNA,s/.201 – s/.250,2,Avanzado,120,5
201910220,7,20,Ingeniería Civil,Femenino,Aleman,3,Centro de Idiomas de la Universidad del Pacifico,s/.251 – s/.300,5,Avanzado,60,5
202210525,1,20,Ingeniería Mecánica,Masculino,Inglés,2,Británico,s/.201 – s/.250,3,Intermedio,60,5
202110109,3,18,Ciencia de la Computación,Femenino,Chino mandarin,3,CIDUP,s/.301 - a más,5,Avanzado,60,5
202020062,4,19,Ingeniería Química,Masculino,Inglés,1,Británico,s/.201 – s/.250,2,Intermedio,60,4
202110189,3,18,Ingeniería Mecatrónica,Masculino,Inglés,2,Británico,s/.151 – s/.200,4,Avanzado,5,4
202120730,2,19,Ingeniería Química,Femenino,Italiano,1,Británico,s/.151 – s/.200,3,Intermedio,60,5
201910191,3,20,Ingeniería Industrial,Femenino,Chino mandarin,4,Británico,s/.151 – s/.200,2,Intermedio,90,5
201810169,8,21,Ingeniería Industrial,Masculino,Inglés,3,Británico,s/.151 – s/.200,2,Intermedio,60,5
202110121,3,18,Ingeniería Mecatrónica,Masculino,Inglés,2,Virtual,s/.151 – s/.200,2,Avanzado,120,4
201710620,5,25,Ingeniería Electrónica,Masculino,Inglés,3,Británico,s/.201 – s/.250,3,Avanzado,1,5
202210399,1,17,Ingeniería Química,Masculino,Francés,2,Idiomas Católica,s/.201 – s/.250,5,Avanzado,60,4
201910208,6,20,Ingeniería Civil,Masculino,japones,3,Centro cultural peruano japones,s/.201 – s/.250,3,Avanzado,120,5
202120560,2,17,Ingeniería Electrónica,Masculino,Francés,3,TECSUP (Conversa),s/.100 – s/.150,2,Avanzado,60,5
202120301,2,19,Bioingeniería,Femenino,Inglés,2,ICPNA,s/.201 – s/.250,3,Avanzado,60,4
202110680,3,19,Ingeniería de la Energía,Masculino,Francés,3,Idiomas Católica,s/.201 – s/.250,2,Intermedio,60,5
202120161,2,18,Ingeniería Industrial,Masculino,Inglés,2,Británico,s/.251 – s/.300,5,Avanzado,60,5
202110455,3,19,Ingeniería Mecatrónica,Masculino,Inglés,3,ICPNA,s/.201 – s/.250,4,Avanzado,180,5
202010436,3,20,Ingeniería Mecatrónica,Femenino,Inglés,2,Británico,s/.151 – s/.200,2,Intermedio,90,5
201920015,5,20,Ingeniería Industrial,Femenino,Francés,4,ICPNA,s/.251 – s/.300,4,Avanzado,4,5
202110545,3,21,Administración & Negocios Digitales,Masculino,Italiano,2,Idiomas Católica,s/.151 – s/.200,3,Avanzado,30,4
202120645,2,18,Ingeniería Industrial,Masculino,Inglés,1,ICPNA,s/.100 – s/.150,5,Avanzado,10,4
201810220,7,22,Ingeniería Química,Masculino,Inglés,2,Británico,s/.100 – s/.150,3,Avanzado,240,5
202210392,1,25,Ingeniería Mecánica,Masculino,Inglés,3,Británico,s/.201 – s/.250,2,Avanzado,60,4
202120643,2,18,Ingeniería Industrial,Femenino,Inglés,3,ICPNA,s/.151 – s/.200,2,Avanzado,90,5
202210200,1,17,Administración & Negocios Digitales,Masculino,Portugues,4,Británico,s/.251 – s/.300,3,Avanzado,60,4
202110601,3,20,Ingeniería Civil,Masculino,Inglés,1,ICPNA,s/.201 – s/.250,5,Avanzado,120,5
202120542,2,18,Ingeniería Ambiental,Femenino,Inglés,3,ICPNA,s/.151 – s/.200,1,Avanzado,120,5
202120363,2,21,Ingeniería Industrial,Femenino,Inglés,3,Idiomas Católica,s/.201 – s/.250,3,Avanzado,150,5
202120079,2,20,Ingeniería Industrial,Femenino,Inglés,2,Británico,s/.251 – s/.300,3,Avanzado,90,5
202210001,1,17,Ingeniería Mecatrónica,Masculino,Japonés,3,Centro Cultural Peruano Japonés,s/.100 – s/.150,1,Avanzado,1 hora y media,5
202020182,3,19,Bioingeniería,Masculino,Alemán ,4,Goethe ,s/.151 – s/.200,3,Avanzado,30,4
202010586,4,20,Ingeniería Industrial,Masculino,Francés,3,Británico,s/.151 – s/.200,5,Avanzado,120,4
202120383,2,20,Ingeniería Industrial,Masculino,Francés,2,Británico,s/.100 – s/.150,2,Avanzado,30,3
202210310,1,17,Ingeniería Mecatrónica,Otro,Chino mandarin,3,Idiomas Católica,s/.251 – s/.300,3,Avanzado,60,5
202210255,1,19,Bioingeniería,Masculino,Inglés,3,Británico,s/.251 – s/.300,2,Avanzado,60,5
202210035,1,17,Ingeniería Mecatrónica,Masculino,Inglés,4,ICPNA,s/.201 – s/.250,2,Avanzado,90,5
202120475,2,18,Ingeniería Ambiental,Masculino,Francés,1,TECSUP (Conversa),s/.100 – s/.150,4,Intermedio,40,5
201810322,7,21,Ingeniería Electrónica,Masculino,Quechua,3,Idiomas Católica,s/.201 – s/.250,2,Avanzado,60,5
201810504,9,21,Ingeniería Electrónica,Masculino,Francés,4,Euroidiomas,s/.151 – s/.200,2,Intermedio,60,3
201910205,7,21,Ingeniería Mecatrónica,Masculino,Inglés,3,Británico,s/.301 - a más,4,Intermedio,60,4
202110447,3,19,Ingeniería Mecatrónica,Masculino,Inglés,2,Británico,s/.151 – s/.200,2,Avanzado,540,4
202120095,2,18,Bioingeniería,Masculino,Inglés,1,ICPNA,s/.201 – s/.250,3,Básico,1 hora y media,2
202210368,1,16,Ciencia de la Computación,Femenino,Chino mandarin,2,Idiomas Católica,s/.151 – s/.200,3,Avanzado,30,4
202120060,2,18,Ingeniería Industrial,Femenino,Inglés,2,Británico,s/.251 – s/.300,3,Avanzado,60,5
202120133,2,18,Ingeniería Industrial,Femenino,Quechua,4,Británico,s/.151 – s/.200,4,Avanzado,90,5
202110638,3,18,Ciencia de la Computación,Femenino,Chino mandarin,2,TECSUP (Conversa),s/.251 – s/.300,5,Avanzado,120,5
202120124,2,18,Ingeniería Industrial,Femenino,Inglés,2,Británico,s/.151 – s/.200,2,Avanzado,120,5
202210290,1,16,Ingeniería de la Energía,Masculino,Inglés,2,ICPNA,s/.151 – s/.200,2,Avanzado,60,5
202210547,3,25,Ingeniería de la Energía,Masculino,Inglés,2,Británico,s/.100 – s/.150,1,Avanzado,120,5
202120318,2,20,Ingeniería Industrial,Femenino,Inglés,4,Británico,s/.251 – s/.300,3,Avanzado,120,5
202210497,1,17,Ingeniería Industrial,Femenino,Inglés,2,ICPNA,s/.201 – s/.250,2,Avanzado,120,4
202020165,4,20,Ingeniería Mecatrónica,Masculino,Inglés,3,Británico,s/.100 – s/.150,5,Avanzado,60,5
201920021,6,23,Ingeniería Electrónica,Femenino,Japones,3,ICPNA,s/.201 – s/.250,3,Avanzado,60,5
202210555,8,22,Ingeniería Mecánica,Femenino,Italiano,1,Británico,s/.151 – s/.200,1,Intermedio,30,5
202110760,2,19,Bioingeniería,Masculino,Inglés,3,Británico,s/.151 – s/.200,4,Avanzado,0,5
202120518,2,17,Ingeniería Civil,Femenino,Inglés,3,TECSUP (Conversa),s/.201 – s/.250,2,Avanzado,120,5
202120091,2,19,Ingeniería Civil,Femenino,Inglés,3,Británico,s/.151 – s/.200,3,Intermedio,100,5
202120451,2,18,Ingeniería Industrial,Femenino,Inglés,3,Británico,s/.251 – s/.300,3,Básico,2 horas,5
202120164,2,19,Ingeniería Industrial,Masculino,Inglés,1,ICPNA,s/.151 – s/.200,1,Intermedio,60,5
201810179,6,22,Ingeniería Industrial,Masculino,Inglés,4,Británico,s/.151 – s/.200,2,Avanzado,120,5
202210343,1,17,Ingeniería Mecánica,Femenino,Portugues,3,Idiomas Católica,s/.151 – s/.200,4,Básico,60,4
202210480,1,18,Ciencia de la Computación,Masculino,Inglés,2,ICPNA,s/.151 – s/.200,2,Intermedio,60,3
202210403,1,17,Ciencia de la Computación,Femenino,Inglés,2,Británico,s/.251 – s/.300,3,Avanzado,90,5
202210335,1,17,Ingeniería Mecánica,Masculino,Inglés,2,Británico,s/.100 – s/.150,2,Básico,120,5
202120419,2,20,Ingeniería Industrial,Femenino,Chino mandarin,2,ICPNA,s/.201 – s/.250,2,Avanzado,180,5
202120407,2,19,Ingeniería Industrial,Masculino,Chino mandarin,2,ICPNA,s/.151 – s/.200,3,Avanzado,60,5
202210139,1,18,Ingeniería Mecánica,Masculino,Inglés,2,Idiomas Católica,s/.151 – s/.200,3,Avanzado,120,5
202210044,1,17,Ingeniería Química,Femenino,Chino mandarin,2,Idiomas Católica,s/.201 – s/.250,2,Avanzado,180,5
202010632,3,19,Ingeniería Química,Femenino,Chino mandarin,4,ICPNA,s/.151 – s/.200,2,Avanzado,50,5
202010474,1,18,Ingeniería de la Energía,Masculino,Inglés,1,ICPNA,s/.100 – s/.150,2,Avanzado,90,5
202110228,3,18,Bioingeniería,Masculino,Chino mandarin,2,ICPNA,s/.151 – s/.200,2,Avanzado,120,5
202110616,3,20,Ingeniería Industrial,Masculino,Chino mandarin,3,Británico,s/.151 – s/.200,2,Avanzado,30,5
202120689,2,18,Ingeniería Civil,Masculino,Inglés,2,Británico,s/.100 – s/.150,2,Avanzado,60,5
202210064,1,17,Ciencia de la Computación,Masculino,Chino mandarin,2,Idiomas Católica,s/.151 – s/.200,3,Avanzado,60,5
