Año,Departamento,Región,Localización,Producción(t),Rendimiento Promedio(T/ha),Participación(%),Superficie cosechada(ha)
2017,Cajamarca,Sierra ,Norte,289,12,6,24831
2017,Arequipa,Sierra ,Sur,337,35,7,9708
2017,Huancavelica,Sierra ,Centro,262,11,5,"21529,15"
2017,Pasco,Sierra ,Centro,176,19,4,9377
2017,Lima,Costa,Centro,88,22,2,4029
2017,Ica,Costa,Centro,129,32,3,3969
2017,Áncash,Sierra ,Norte,77,11,2,7282
2017,Amazonas,Sierra ,Norte,53,15,1,"3475,3"
2017,Piura,Sierra ,Norte,19,10,0,1907
2017,Tacna,Sierra ,Sur,8,19,0,453
2017,Moquegua,Sierra,Sur,7,13,0,523
2017,Lambayeque,Sierra,Norte,5,12,0,660
2018,Puno,Sierra ,Sur,798,13,16,"61384,62"
2018,Huánuco,Sierra ,Centro,644,16,13,40250
2018,La Libertad,Sierra ,Norte,497,20,10,24850
2018,Cusco,Sierra ,Sur,394,13,8,"30307,69"
2018,Apurímac,Sierra ,Sur,438,17,9,"25764,7"
2018,Junín,Sierra ,Centro,395,16,8,"24687,5"
2018,Ayacucho,Sierra ,Sur,425,18,8,"23611,11"
2018,Cajamarca,Sierra ,Norte,356,13,7,"27384,62"
2018,Arequipa,Sierra ,Sur,329,36,6,"9138,89"
2018,Huancavelica,Sierra ,Centro,242,11,5,22000
2018,Pasco,Sierra ,Centro,165,18,3,"9166,67"
2018,Lima,Costa,Centro,123,23,2,"5347,83"
2018,Ica,Costa,Centro,118,35,2,"3371,43"
2018,Áncash,Sierra ,Norte,90,11,2,"8181,82"
2018,Amazonas,Sierra ,Norte,69,18,1,"3833,33"
2018,Piura,Sierra ,Norte,16,10,0,1600
2018,Tacna,Sierra ,Sur,10,19,0,"526,32"
2018,Moquegua,Sierra,Sur,7,13,0,"538,46"
2018,Lambayeque,Sierra,Norte,4,7,0,"571,43"
2019,Puno,Sierra ,Sur,839,14,16,"59928,57"
2019,Huánuco,Sierra ,Centro,717,17,13,"42176,47"
2019,La Libertad,Sierra ,Norte,542,21,10,"25809,52"
2019,Cusco,Sierra ,Sur,440,14,8,"31428,57"
2019,Apurímac,Sierra ,Sur,415,18,8,"23055,56"
2019,Junín,Sierra ,Centro,395,16,7,"24687,5"
2019,Ayacucho,Sierra ,Sur,369,17,7,"21705,88"
2019,Cajamarca,Sierra ,Norte,347,13,7,"26692,3"
2019,Arequipa,Sierra ,Sur,338,35,6,"9657,14"
2019,Huancavelica,Sierra ,Centro,329,11,5,29909
2019,Pasco,Sierra ,Centro,171,19,3,9000
2019,Lima,Costa,Centro,143,26,3,5500
2019,Ica,Costa,Centro,134,37,3,"3621,62"
2019,Áncash,Sierra ,Norte,101,11,2,"9181,82"
2019,Amazonas,Sierra ,Norte,71,19,1,"3736,84"
2019,Piura,Sierra ,Norte,22,11,0,2000
2019,Tacna,Sierra ,Sur,8,19,0,421
2019,Moquegua,Sierra,Sur,7,12,0,"583,33"
2019,Lambayeque,Sierra,Norte,1,8,0,125
2020,Puno,Sierra,Sur,839,14,19,60688
2020,Huánuco,Sierra ,Centro,716,21,9,34138
2020,La Libertad,Sierra ,Norte,541,23,10,23816
2020,Cusco,Sierra ,Sur,438,15,10,29847
2020,Apurímac,Sierra ,Sur,415,18,8,23515
2020,Junín,Sierra ,Centro,396,18,9,21523
2020,Ayacucho,Sierra ,Sur,434,16,10,27507
2020,Cajamarca,Sierra ,Norte,349,14,6,24227
2020,Arequipa,Sierra ,Sur,128,32,3,4048
2020,Huancavelica,Sierra ,Centro,272,11,7,23994
2020,Pasco,Sierra ,Centro,166,18,4,9444
2020,Lima,Costa,Centro,38,10,1,3698
2020,Ica,Costa,Centro,20,7,0,2791
2020,Áncash,Sierra ,Norte,98,11,2,8712
2020,Amazonas,Sierra ,Norte,24,7,1,3675
2020,Piura,Sierra ,Norte,15,8,0,1874
2020,Tacna,Sierra ,Sur,6,14,0,432
2020,Moquegua,Sierra,Sur,6,10,0,602
2020,Lambayeque,Sierra,Norte,3,7,0,442
