Player ID,Name,Total Earning,Team
KheZu,Maurice Gutmann,"$14,415.00",OG
Chessie,Rasmus Blomdin,"$10,520.00",OG
SumaiL,Sumail Hassan,"$3,570,225.34",Evil Geniuses
UNiVeRsE,Saahil Arora,"$2,919,431.58",Evil Geniuses
ppd,Peter Dager,"$2,601,146.56",Evil Geniuses
Fear,Clinton Loomis,"$2,492,101.92",Evil Geniuses
Arteezy,Artour Babaev,"$1,945,398.23",Evil Geniuses
Aui_2000,Kurtis Ling,"$1,656,341.14",Evil Geniuses
Cr1t,Andreas Nielsen,"$1,437,272.40",Evil Geniuses
Zai,Ludwig Wåhlberg,"$1,045,259.43",Evil Geniuses
Fly,Tal Aizik,"$1,025,086.20",Evil Geniuses
s4,Gustav Magnusson,"$887,386.20",Evil Geniuses
mason,Mason Venne,"$231,961.93",Evil Geniuses
Jaedong,"Lee, Jae Dong","$219,181.06",Evil Geniuses
CeRq,Cvetelin Nikolov,"$196,700.00",Evil Geniuses
Apathy,Bryan Zhelyazkov,"$196,025.00",Evil Geniuses
Brehze,Vincent Cayonte,"$195,150.00",Evil Geniuses
stanislaw,Peter Jarguz,"$194,700.00",Evil Geniuses
tarik,Tarik Celik,"$191,400.00",Evil Geniuses
Ethan,Ethan Arnold,"$186,800.00",Evil Geniuses
Aches,Patrick Price,"$179,750.00",Evil Geniuses
Assault,Adam Garcia,"$165,125.00",Evil Geniuses
SiLLY,Justin Fargo-Palmer,"$165,125.00",Evil Geniuses
Momochi,"Momochi, Yusuke","$124,125.06",Evil Geniuses
Abed,Abed Yusop,"$124,000.00",Evil Geniuses
HuK,Chris Loranger,"$102,117.60",Evil Geniuses
PuMa,"Lee, Ho Joon","$92,353.17",Evil Geniuses
JW,Jesper Wecksell,"$887,352.35",Fnatic
KRiMZ,Freddy Johansson,"$866,247.10",Fnatic
flusha,Robin Rönnquist,"$817,114.72",Fnatic
DJ,Djardel Jicko Mampusti,"$741,039.36",Fnatic
Ohaiyo,"Chong, Xin Khoo","$462,746.94",Fnatic
Golden,Maikil Selim,"$432,832.83",Fnatic
Rekkles,Martin Larsson,"$422,405.28",Fnatic
Mushi,"Chai, Yee Fung","$418,080.13",Fnatic
MidOne,"Zheng, Yeik Nai","$391,258.20",Fnatic
olofmeister,Olof Kajbjer,"$378,930.43",Fnatic
sOAZ,Paul Boyer,"$358,928.27",Fnatic
343,Adam Shah,"$355,748.80",Fnatic
Broxah,Mads Brock-Pedersen,"$295,431.99",Fnatic
Bwipo,Gabriël Rau,"$286,426.47",Fnatic
Hylissang,Zdravec Gulubov,"$286,426.47",Fnatic
Lekr0,Jonas Olofsson,"$267,200.00",Fnatic
Abed,Abed Yusop,"$263,922.40",Fnatic
Caps,Rasmus Winther,"$256,471.44",Fnatic
Vo0,Sander Kaasjager,"$230,500.00",Fnatic
dennis,Dennis Edman,"$221,058.88",Fnatic
Jabz,Anucha Jirawong,"$214,690.20",Fnatic
Brollan,Ludvig Brolin,"$210,066.67",Fnatic
iceiceice,"Koh, Daryl Pei Xiang","$194,590.20",Fnatic
Breez,Pontus Sjogren,"$185,318.47",Fnatic
pronax,Markus Wallsten,"$184,654.07",Fnatic
Noone,Vladimir Minenko,"$1,527,802.14",Virtus.pro
Solo,Alexei Berezin,"$1,491,602.14",Virtus.pro
RAMZES666,Roman Kushnarev,"$1,460,735.47",Virtus.pro
9pasha,Pavel Khvastunov,"$1,446,702.14",Virtus.pro
RodjER,Vladimir Nikogosyan,"$927,445.33",Virtus.pro
Lil,Ilya Ilyuk,"$886,854.07",Virtus.pro
snax,Janusz Pogorzelski,"$590,171.66",Virtus.pro
neo,Filip Kubski,"$572,033.10",Virtus.pro
pashaBiceps,Jarosław Jarząbkowski,"$567,633.10",Virtus.pro
byali,Paweł Bieliński,"$564,258.17",Virtus.pro
TaZ,Wiktor Wojtas,"$518,218.30",Virtus.pro
G,Sergey Bragin,"$372,826.18",Virtus.pro
fng,Artem Barshack,"$356,600.26",Virtus.pro
DkPhobos,Alexander Kucheria,"$350,512.66",Virtus.pro
Illidan,Ilya Pevcaev,"$339,564.23",Virtus.pro
Jame,Ali Dzhami,"$205,700.00",Virtus.pro
Qikert,Alexey Golubev,"$205,700.00",Virtus.pro
SANJI,Sanjar Kuliev,"$205,700.00",Virtus.pro
Buster,Timur Tulepov,"$204,450.00",Virtus.pro
YEKINDAR,Mareks Gaļinskis,"$195,600.00",Virtus.pro
DrHippi,Artem Kravets',"$185,416.67",Virtus.pro
7ssk7,Artur Kurshin,"$146,682.40",Virtus.pro
Jamside,Jamal Saidayev,"$141,379.07",Virtus.pro
epileptick1d,Egor Grigorenko,"$129,997.21",Virtus.pro
Save-,Vitalie Melnic,"$129,997.21",Virtus.pro
KaKa,"Hu, Liangzhi","$1,352,240.37",Newbee
kpii,Damien Chok,"$1,349,865.33",Newbee
Mu,"Zhang, Pan","$1,319,624.03",Newbee
Hao,"Chen, Zhihao","$1,300,423.77",Newbee
Sccc,"Song, Chun","$1,227,128.02",Newbee
Faith,"Zeng, Hongda","$1,195,608.21",Newbee
Moogy,Xu Han,"$1,187,611.97",Newbee
Banana,"Jiao, Wang","$1,132,284.71",Newbee
SanSheng,"Wang, Zhaohui","$1,128,078.27",Newbee
xiao8,"Zhang, Ning","$1,014,999.25",Newbee
ChuaN,"Wong, Hock Chuan","$190,900.80",Newbee
CCnC,Quinn Callahan,"$137,320.40",Newbee
MSS,Arif Anwar,"$137,320.40",Newbee
pieliedie,Johan Åström,"$137,320.40",Newbee
Sneyking,Jing Jun Wu,"$137,320.40",Newbee
YawaR,Yawar Hassan,"$137,320.40",Newbee
Rabbit,"Zhang, Wang","$107,723.99",Newbee
TIME,"Li, Peinan","$97,184.19",Newbee
Lovelychook,"Zhang, Bohan","$73,660.87",Newbee
Lyn,"Park, Joon","$68,325.63",Newbee
Scarlett,Sasha Hostyn,"$60,482.35",Newbee
Xmende,- -,"$50,000.00",Newbee
XXM,- -,"$50,000.00",Newbee
Waixi,"Wang, Zhiyong","$45,162.56",Newbee
LawLiet,"Jo, Ju Yeon","$41,442.13",Newbee
Fenrir,"Lu, Chao","$1,176,283.25",Vici Gaming
fy,"Xu, Linsen","$1,035,138.58",Vici Gaming
Super,"Xie, Junhao","$894,309.77",Vici Gaming
Ori,"Zeng, Jiaoyang","$854,996.29",Vici Gaming
Paparazi,"Zhang, Chengjun","$819,499.69",Vici Gaming
Yang,"Zhou, Haiyang","$817,471.59",Vici Gaming
Dy,"Ding, Cong","$620,631.35",Vici Gaming
Fade,Pan Yi,"$600,253.08",Vici Gaming
iceiceice,"Koh, Daryl Pei Xiang","$583,203.43",Vici Gaming
Sylar,"Liu, Jiajun","$460,918.69",Vici Gaming
Hao,"Chen, Zhihao","$366,513.22",Vici Gaming
rOtK,"Bai, Fan","$360,236.52",Vici Gaming
eLeVeN,Ren Yangwei,"$268,294.69",Vici Gaming
LaNm,"Zhang, Zhicheng","$232,891.09",Vici Gaming
Sneyking,Jing Jun Wu,"$203,510.80",Vici Gaming
Kamma,Liu Chang,"$200,827.10",Vici Gaming
DDC,"Liang, Fa Ming","$200,500.95",Vici Gaming
YawaR,Yawar Hassan,"$198,810.80",Vici Gaming
MSS,Arif Anwar,"$197,310.80",Vici Gaming
Resolut1on,Roman Fominok,"$197,310.80",Vici Gaming
SVG,Avery Silverman,"$197,310.80",Vici Gaming
pyw,"Xiong, Jiahan","$166,112.00",Vici Gaming
Black^,Dominik Reitmeier,"$150,421.91",Vici Gaming
zhokiNg,"WeiJie, Zhong","$139,463.71",Vici Gaming
Infi,"Wang, Xu Wen","$138,622.49",Vici Gaming
flamie,Egor Vasilyev,"$850,804.80",Natus Vincere
s1mple,Alexander Kostylev,"$842,131.58",Natus Vincere
Dendi,Danil Ishutin,"$785,365.03",Natus Vincere
electroNic,Denis Sharipov,"$715,431.58",Natus Vincere
Edward,Ioann Sukharev,"$674,660.38",Natus Vincere
XBOCT,Oleksandr Dashkevych,"$622,189.83",Natus Vincere
Zeus,Daniil Teslenko,"$610,150.38",Natus Vincere
Puppey,Clement Ivanov,"$565,068.48",Natus Vincere
Boombl4,Kirill Mikhailov,"$398,200.00",Natus Vincere
Perfecto,Ilya Zalutskiy,"$363,400.00",Natus Vincere
Funn1k,Gleb Lipatnikov,"$351,723.86",Natus Vincere
ArtStyle,Ivan Antonov,"$322,994.92",Natus Vincere
SoNNeikO,Akbar Butaev,"$310,718.57",Natus Vincere
KuroKy,Kuro Takhasomi,"$299,156.28",Natus Vincere
GuardiaN,Ladislav Kovács,"$297,044.63",Natus Vincere
seized,Denis Kostin,"$292,177.77",Natus Vincere
LighTofHeaveN,Dmitriy Kupriyanov,"$268,112.20",Natus Vincere
B1t,Valeriy Vakhovskiy,"$257,358.00",Natus Vincere
Crystallize,Vladislav Krystanek,"$219,790.20",Natus Vincere
GeneRaL,Victor Nigrini,"$204,905.00",Natus Vincere
MagicaL,Idan Vardanyan,"$160,390.20",Natus Vincere
Blizzy,Džoni Ri,"$144,890.20",Natus Vincere
Ostkaka,Sebastian Engwall,"$120,557.75",Natus Vincere
Zayac,Bakyt Emilzhanov,"$118,990.20",Natus Vincere
starix,Sergey Ishuk,"$112,726.12",Natus Vincere
Puppey,Clement Ivanov,"$2,319,335.68",Team Secret
YapzOr,Yazied Jaradat,"$1,513,068.87",Team Secret
MidOne,"Zheng, Yeik Nai","$1,328,076.87",Team Secret
Zai,Ludwig Wåhlberg,"$1,230,101.22",Team Secret
Nisha,Michał Jankowski,"$930,044.80",Team Secret
Ace,Marcus Hoelgaard,"$495,456.27",Team Secret
FATA,Adrian Trinks,"$495,456.27",Team Secret
pieliedie,Johan Åström,"$450,577.80",Team Secret
EternaLEnVy,Jacky Mao,"$415,077.80",Team Secret
MiSeRy,Rasmus Fillipsen,"$398,413.20",Team Secret
w33,Aliwi Omar,"$371,807.40",Team Secret
KuroKy,Kuro Takhasomi,"$347,693.02",Team Secret
s4,Gustav Magnusson,"$347,693.02",Team Secret
Arteezy,Artour Babaev,"$343,326.82",Team Secret
Matumbaman,Lasse Urpalainen,"$229,788.00",Team Secret
MP,"Pyo, Noah","$131,063.80",Team Secret
Domentos,Domeniks Bunts,"$130,794.74",Team Secret
KheZu,Maurice Gutmann,"$125,313.80",Team Secret
TheViper,Ørjan Larsen,"$66,857.29",Team Secret
N0tail,Johan Sundstein,"$47,636.60",Team Secret
BuLba,Sam Sosale,"$32,770.40",Team Secret
Sak0ner,Mats Sørum,"$31,686.07",Team Secret
TaToH,Roberto Jiménez,"$30,829.39",Team Secret
LeonGids,Leon Giddens,"$27,685.86",Team Secret
Meepey,Matthew Sharples,"$27,685.86",Team Secret
Rookie,"Song, Eui Jin","$592,204.77",Invictus Gaming
Ferrari_430,"Luo, Feichi","$574,616.17",Invictus Gaming
Ning,"Gao, Zhen Ning","$550,606.86",Invictus Gaming
Baolan,"Wang, Liu Yi","$548,235.82",Invictus Gaming
ChuaN,"Wong, Hock Chuan","$540,361.64",Invictus Gaming
TheShy,"Kang, Dong Geun","$538,444.86",Invictus Gaming
JackeyLove,"Yu, Wen Bo","$529,173.78",Invictus Gaming
Faith,"Zeng, Hongda","$520,910.00",Invictus Gaming
Duke,"Lee, Ho Seong","$504,410.19",Invictus Gaming
BurNIng,"Xu, Zhilei","$446,602.95",Invictus Gaming
YYF,"Jiang, Cen","$436,523.00",Invictus Gaming
BoBoKa,Ye Zhibiao,"$421,352.24",Invictus Gaming
Xxs,Lin Jing,"$421,352.24",Invictus Gaming
Q,"Fu, Bin","$399,690.92",Invictus Gaming
Op,Ou Peng,"$356,226.88",Invictus Gaming
Xi,"Luo, Yinqi","$289,508.34",Invictus Gaming
Zhou,"Chen, Yao","$263,912.28",Invictus Gaming
dogf1ghts,Gao Tianpeng,"$191,542.26",Invictus Gaming
InJuly,"Yang, Xiao Dong","$183,949.89",Invictus Gaming
Sakata,Xu Zichen,"$182,255.97",Invictus Gaming
Paparazi,"Zhang, Chengjun","$176,190.41",Invictus Gaming
super,"Su, Peng","$174,640.20",Invictus Gaming
iAsonu,"Hang, Zhou","$171,517.14",Invictus Gaming
Emo,"Zhou, Yi","$163,566.96",Invictus Gaming
Oli,"Chan, Chon Kien","$160,266.36",Invictus Gaming
Somnus丶M,Lu Yao,"$1,184,271.67",LGD Gaming
Yao,"Yao, Zhengzheng","$1,176,225.71",LGD Gaming
DDC,"Liang, Fa Ming","$856,141.41",LGD Gaming
MMY!,"Lei, Zengrong","$751,563.85",LGD Gaming
xiao8,"Zhang, Ning","$743,462.47",LGD Gaming
Sylar,"Liu, Jiajun","$684,410.95",LGD Gaming
Super,"Xie, Junhao","$599,584.65",LGD Gaming
Monet,"Du, Peng","$574,984.65",LGD Gaming
Inflame,"He, Yongzheng","$559,358.42",LGD Gaming
Ah-fu,"Chuan, Tue Soon","$549,117.08",LGD Gaming
Ame,"Wang, Chunyu","$462,732.62",LGD Gaming
Victoria,"Chen, Guanhong","$407,532.62",LGD Gaming
eLeVeN,Ren Yangwei,"$373,756.84",LGD Gaming
DD,"Xie, Bin","$191,147.06",LGD Gaming
Rabbit,"Zhang, Wang","$141,280.85",LGD Gaming
Lin,"Xu, Ziyang","$131,910.90",LGD Gaming
Agressif,"Sun, Zheng","$125,927.60",LGD Gaming
rOtK,"Bai, Fan","$78,584.11",LGD Gaming
Banana,"Jiao, Wang","$62,311.40",LGD Gaming
September,"Xue, Zhichuan","$61,230.40",LGD Gaming
fy,"Xu, Linsen","$59,557.90",LGD Gaming
Pyl,"Chen, Bo","$57,858.34",LGD Gaming
TBQ,"Zhu, Yong Quan","$52,940.30",LGD Gaming
GodV,"Wei, Zhen","$52,683.96",LGD Gaming
SuKi,"Wan, Quanjun","$45,996.86",LGD Gaming
Skadoodle,Tyler Latham,"$412,165.37",Cloud9
Stewie2k,Jakey Yip,"$388,050.00",Cloud9
autimatic,Timothy Ta,"$382,331.29",Cloud9
EternaLEnVy,Jacky Mao,"$335,583.94",Cloud9
bOne7,Pittner Armand,"$302,348.94",Cloud9
Sneaky,Zachary Scuderi,"$277,376.47",Cloud9
Rush,Will Wierzba,"$248,716.67",Cloud9
pieliedie,Johan Åström,"$234,494.43",Cloud9
Aui_2000,Kurtis Ling,"$233,144.43",Cloud9
Kolento,Aleksandr Malsh,"$231,915.23",Cloud9
Mango,Joseph Marquez,"$215,785.73",Cloud9
shroud,Mike Grzesiek,"$214,945.28",Cloud9
n0thing,Jordan Gilbert,"$211,445.28",Cloud9
tarik,Tarik Celik,"$202,100.00",Cloud9
SquishyMuffinz,Mariano Arruda,"$200,090.37",Cloud9
Gimmick,Jesus Parra,"$198,840.37",Cloud9
Jensen,Nicolaj Jensen,"$187,841.36",Cloud9
Torment,Kyle Storer,"$183,780.37",Cloud9
FATA,Adrian Trinks,"$181,732.23",Cloud9
SingSing,Weh Sing Yuen,"$152,501.71",Cloud9
Blaber,Robert Huang,"$146,740.67",Cloud9
Licorice,Eric Ritchie,"$125,240.67",Cloud9
Meteos,William Hartman,"$119,326.67",Cloud9
Smoothie,Andy Ta,"$103,191.36",Cloud9
MiSeRy,Rasmus Fillipsen,"$102,439.51",Cloud9
Faker,"Lee, Sang Hyeok","$1,259,840.88",T1
Wolf,"Lee, Jae Wan","$908,949.92",T1
Bang,"Bae, Jun Sik","$907,269.07",T1
Bengi,"Bae, Seong Ung","$810,683.01",T1
Blank,"Kang, Sun Gu","$558,623.28",T1
Duke,"Lee, Ho Seong","$422,755.33",T1
Peanut,"Han, Wang Ho","$274,829.58",T1
Huni,"Heo, Seung Hoon","$270,351.03",T1
Piglet,"Chae, Gwang Jin","$254,029.15",T1
PoohManDu,"Lee, Jeong Hyeon","$254,029.15",T1
Impact,"Jung, Eon Yeong","$250,376.02",T1
Dark,"Park, Ryung Woo","$228,646.93",T1
Easyhoon,"Lee, Ji Hoon","$214,977.27",T1
MaRin,"Jang, Gyeong Hwan","$208,445.62",T1
Classic,"Kim, Doh Woo","$201,433.72",T1
INnoVation,"Lee, Shin Hyung","$163,740.91",T1
iloveoov,"Choi, Yun Sung","$157,044.25",T1
soO,"Eu, Yoon Su","$156,861.26",T1
Rain,"Jung, Yoon Jong","$156,799.10",T1
FanTaSy,"Jung, Myung Hoon","$143,532.61",T1
Bisu,"Kim, Taek Yong","$128,028.85",T1
Peterpan,"Lee, Jong Su","$113,700.00",T1
Surrender,"Kim, Jung Soo","$87,370.00",T1
Teddy,"Park, Jin Seong","$84,772.52",T1
PartinG,"Won, Lee Sak","$77,447.68",T1
Ame,"Wang, Chunyu","$1,849,961.52",Paris Saint-Germain Esports
Chalice,"Yang, Shenyi","$1,795,503.74",Paris Saint-Germain Esports
fy,"Xu, Linsen","$1,795,503.74",Paris Saint-Germain Esports
xNova,"Yap, Jianwei","$1,795,503.74",Paris Saint-Germain Esports
Somnus丶M,Lu Yao,"$1,783,503.74",Paris Saint-Germain Esports
Faith_bian,Zhang Ruida,"$117,084.40",Paris Saint-Germain Esports
XinQ,Zhao Zixing,"$117,084.40",Paris Saint-Germain Esports
y`,Zhang Yiping,"$117,084.40",Paris Saint-Germain Esports
NothingToSay,"Cheng, Jin Xiang","$100,084.40",Paris Saint-Germain Esports
Daxe,Lucas Cuillerier,"$85,650.00",Paris Saint-Germain Esports
Ferra,Victor Francal,"$69,763.73",Paris Saint-Germain Esports
Chausette45,Thibault Grzesiak,"$69,513.73",Paris Saint-Germain Esports
eLeVeN,Ren Yangwei,"$62,626.62",Paris Saint-Germain Esports
Relyh,Kogure Yo,"$54,083.33",Paris Saint-Germain Esports
Scythe,Charleston Yeo,"$54,083.33",Paris Saint-Germain Esports
CoupDeAce,Nicholas Ng,"$53,125.00",Paris Saint-Germain Esports
Response,Jerome Kuek Jiaen,"$50,000.00",Paris Saint-Germain Esports
fruity,Emil Moselund,"$48,672.80",Paris Saint-Germain Esports
Bluey,Dan Bluett,"$21,089.50",Paris Saint-Germain Esports
xiao8,"Zhang, Ning","$17,000.00",Paris Saint-Germain Esports
Hanabi,"Su, Chia Hsiang","$14,364.58",Paris Saint-Germain Esports
Kaiwing,"Ling, Kai Wing","$14,364.58",Paris Saint-Germain Esports
River,"Kim, Dong-woo","$12,031.25",Paris Saint-Germain Esports
Xm,"Guo, Hongcheng","$12,000.00",Paris Saint-Germain Esports
TANK,"Park, Dan Won","$9,364.58",Paris Saint-Germain Esports
rain,Håvard Nygaard,"$768,779.20",FaZe Clan
NiKo,Nikola Kovač,"$666,634.54",FaZe Clan
karrigan,Finn Andersen,"$561,325.87",FaZe Clan
olofmeister,Olof Kajbjer,"$513,340.73",FaZe Clan
GuardiaN,Ladislav Kovács,"$496,790.73",FaZe Clan
Tfue,Turner Tenney,"$443,400.00",FaZe Clan
fuzzface,David Tillberg,"$410,778.00",FaZe Clan
Dubs,Daniel Walsh,"$376,408.33",FaZe Clan
Aitzy,Ludvik Jahnsen,"$342,728.00",FaZe Clan
Cloakzy,Dennis Lepore,"$334,525.00",FaZe Clan
ubah,Ivan Kapustin,"$333,561.50",FaZe Clan
mxey,Anssi Pekkonen,"$318,550.25",FaZe Clan
ZooMaa,Tom Paparratto,"$301,365.75",FaZe Clan
Megga,Noam Ackenine,"$296,283.33",FaZe Clan
Attach,Dillon Price,"$230,349.50",FaZe Clan
Nate,Nate Hill,"$208,725.00",FaZe Clan
Mongraal,Kyle Jackson,"$181,500.00",FaZe Clan
Enable,Ian Wyatt,"$172,747.00",FaZe Clan
KIOSHIMA,Fabien Fiey,"$132,755.53",FaZe Clan
FunkBomb,Trevor Siegler,"$125,075.00",FaZe Clan
broky,Helvijs Saukants,"$123,420.00",FaZe Clan
allu,Aleksi Jalli,"$118,668.47",FaZe Clan
Crowder,Chris Crowder,"$113,895.84",FaZe Clan
Clayster,James Eubanks,"$112,479.50",FaZe Clan
Swagg,Kris Lamberson,"$105,208.35",FaZe Clan
bLink,Zhou Yang,"$1,947,424.29",Wings Gaming
Faith_bian,Zhang Ruida,"$1,944,366.69",Wings Gaming
y`,Zhang Yiping,"$1,944,366.69",Wings Gaming
iceice,"Li, Peng","$1,943,233.40",Wings Gaming
Shadow,Chu Zeyu,"$1,943,233.40",Wings Gaming
Cqc,"-, -","$4,190.89",Wings Gaming
Jdh,Jiang Donghao,"$4,190.89",Wings Gaming
HaN,- -,"$3,057.60",Wings Gaming
ZeroPerfect,Yichuan Feng,"$3,057.60",Wings Gaming
AttackeR,"Sheng, Yuanzhang",$910.04,Wings Gaming
ed101,"Han, Tianqi",$910.04,Wings Gaming
forget,"Li, Lei",$910.04,Wings Gaming
Karsa,"Su, Qifang",$910.04,Wings Gaming
LOVEYY,"Bai, Kunhua",$910.04,Wings Gaming
Kymeister,"Nie, Ping",$330.08,Wings Gaming
richie,Ning Wan,$330.08,Wings Gaming
Not7,"Mo, ZhenDong",$305.80,Wings Gaming
PLA,"Yang, Wen",$305.80,Wings Gaming
Supreme,"Zhang, Xin",$305.80,Wings Gaming
BestGamer*Conral,"-, -",$24.28,Wings Gaming
Inory,"Li, LeWei",$24.28,Wings Gaming
kelele,"Zhou, YiFan",$24.28,Wings Gaming
T4y1or,"-, -",$24.28,Wings Gaming
dupreeh,Peter Rasmussen,"$1,793,832.10",Astralis
Xyp9x,Andreas Højsleth,"$1,767,732.10",Astralis
dev1ce,Nicolai Reedtz,"$1,741,732.10",Astralis
gla1ve,Lukas Rossander,"$1,722,275.00",Astralis
Magisk,Emil Reif,"$1,343,758.33",Astralis
Kjaerbye,Markus Kjærbye,"$404,017.73",Astralis
Bubzkji,Lucas Andersen,"$113,858.33",Astralis
karrigan,Finn Andersen,"$76,590.43",Astralis
cajunb,Renè Borg,"$41,222.70",Astralis
es3tag,Patrick Hansen,"$24,900.00",Astralis
zonic,Danny Sørensen,"$22,000.00",Astralis
RUBINO,Ruben Villarroel,"$20,000.00",Astralis
dennis,Dennis Edman,"$10,000.00",Astralis
Agge,August Rosenmeier,"$6,250.00",Astralis
Ustun,Fatih Üstün,"$6,250.00",Astralis
JUGi,Jakob Hansen,"$2,500.00",Astralis
Snappi,Marco Pfeiffer,"$2,500.00",Astralis
NoTaN,Anton Pedersen,"$1,750.00",Astralis
PerkZ,Luka Perković,"$470,329.75",G2 Esports
Thijs,Thijs Molendijk,"$413,419.64",G2 Esports
kennyS,Kenny Schrub,"$358,599.85",G2 Esports
shox,Richard Papillon,"$355,408.96",G2 Esports
Jankos,Marcin Jankowski,"$309,829.81",G2 Esports
Wunder,Martin Hansen,"$309,829.81",G2 Esports
Kantoraketti,Juhani Toivonen,"$295,861.75",G2 Esports
bodyy,Alexandre Pianaro,"$293,933.34",G2 Esports
Pengu,Niclas Mouritzen,"$283,893.92",G2 Esports
Fabian,Fabian Hällsten​,"$256,400.00",G2 Esports
JaCkz,Audric Jug,"$238,883.18",G2 Esports
JKnaps,Jacob Knapman,"$238,539.14",G2 Esports
Goga,Daniel Romero,"$232,800.00",G2 Esports
Amanek,Francois Delaunay,"$230,933.18",G2 Esports
jOONAS,Joonas Savolainen,"$213,400.00",G2 Esports
Rizzo,Dillon Rizzo,"$207,089.14",G2 Esports
Caps,Rasmus Winther,"$200,951.87",G2 Esports
Mikyx,Mihael Mehle,"$200,951.87",G2 Esports
huNter,Nemanja Kovač,"$189,300.00",G2 Esports
nexa,Nemanja Isaković,"$189,300.00",G2 Esports
Chicago,Reed Wilen,"$168,836.62",G2 Esports
Trick,"Kim, Gang Yun","$164,358.69",G2 Esports
Expect,"Gi, Dae Han","$154,358.69",G2 Esports
Mithy,Alfonso Aguirre Rodriguez,"$154,358.69",G2 Esports
Zven,Jesper Svenningsen,"$154,358.69",G2 Esports
Loki,"Bak, Jeong Yeong","$877,902.58",Gen.G Esports
ESTH3R,"Go, Jeong Wan","$805,346.36",Gen.G Esports
Pio,"Cha, Seung Hoon","$759,856.51",Gen.G Esports
Taemin,"Kang, Tae Min","$552,176.28",Gen.G Esports
Rich,"Lee, Jae Won","$272,927.00",Gen.G Esports
KyoCha,"Jeong, Won Ho","$272,000.00",Gen.G Esports
Reset,"Im, Jin Woo","$272,000.00",Gen.G Esports
sake,"Lee, Jung Hyeog","$272,000.00",Gen.G Esports
Ttsst,"Kang, Woon Sung","$272,000.00",Gen.G Esports
Inonix,"Na, Hee Joo","$197,753.20",Gen.G Esports
Alphaca,"-, -","$194,503.20",Gen.G Esports
EscA,"Kim, In Jae","$146,806.93",Gen.G Esports
Chelator,"Kim, Min Ki","$128,604.52",Gen.G Esports
Simsn,"Shim, Young Hoon","$127,284.43",Gen.G Esports
tobi,"Yang, Jin Mo","$105,939.40",Gen.G Esports
Fits,"Kim, Dong Eon","$99,121.21",Gen.G Esports
ILLICIT,"Park, Jae Min","$99,121.21",Gen.G Esports
Marve1,"Hwang, Min Seo","$99,121.21",Gen.G Esports
Michelle,"Choi, Min-hyuk","$99,121.21",Gen.G Esports
Envoy,Dylan Hannon,"$96,145.83",Gen.G Esports
Havok,Colt McLendon,"$96,145.83",Gen.G Esports
MajorManiak,Michael Szymaniak,"$96,145.83",Gen.G Esports
