"","Edad","Género","Ocupación","Plataforma","Escala","Dispositivo","Comparte","Inversión","Finalidad","Desventaja","Tiempo","Cantidad_Plataformas","Satisfacción","Suscribirse","Accion","Drama","Comedia","Terror","Documentales","Otros"
"50",18,"Femenino","Estudiante","Netflix",9,"Smart TV","Sí",20,"Entretenimiento","Distracción",16,3,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"51",18,"Femenino","Estudiante","Netflix",8,"Smart TV","Sí",40,"Entretenimiento","Distracción",2,2,"Bueno","No","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente"
"52",19,"Masculino","Estudiante","Netflix",9,"Celular","Sí",35,"Entretenimiento","Adicción",3,1,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"53",21,"Masculino","Estudiante","Netflix",10,"Laptop","No",50,"Entretenimiento","Distracción",8,1,"Excelente","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"54",18,"Masculino","Estudiante","Amazon",10,"Laptop","Sí",30,"Entretenimiento","Distracción",8,3,"Excelente","No","No me gusta","No me gusta","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta"
"55",18,"Femenino","Estudiante","Netflix",9,"Celular","No",20,"Entretenimiento","Distracción",40,2,"Bueno","Sí","No me gusta","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"56",19,"Masculino","Estudiante","Netflix",7,"Smart TV","No",30,"Entretenimiento","Distracción",5,3,"Bueno","No","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente"
"57",18,"Femenino","Estudiante","Netflix",8,"Smart TV","Sí",40,"Entretenimiento","Distracción",5,2,"Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"58",18,"Masculino","Estudiante","Star+",8,"Smart TV","Sí",60,"Relajarme","Adicción",10,2,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta"
"59",34,"Masculino","Trabajador independiente","Netflix",10,"Smart TV","Sí",40,"Entretenimiento","Ninguna",24,1,"Excelente","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"60",23,"Femenino","Estudiante","Netflix",8,"Celular","No",35,"Entretenimiento","Problema de plataforma",8,1,"Bueno","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente"
"61",35,"Masculino","Trabajador dependiente","Netflix",4,"Celular","Sí",50,"Entretenimiento","Distracción",14,1,"Regular","Sí","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"62",30,"Masculino","Trabaja y estudia","HBO Max",9,"Celular","Sí",30,"Entretenimiento","Distracción",21,3,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"63",27,"Femenino","Trabajador independiente","Netflix",6,"Smart TV","No",10,"Entretenimiento","Distracción",40,4,"Regular","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente","No me gusta","A veces / Rara vez"
"64",27,"Masculino","Trabaja y estudia","Netflix",9,"Laptop","No",120,"Entretenimiento","Ninguna",3,1,"Excelente","Sí","Frecuentemente","No me gusta","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente"
"65",26,"Femenino","Trabajador dependiente","Netflix",8,"Tablet","Sí",45,"Entretenimiento","Sobre pagos",4,3,"Bueno","Sí","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","No me gusta"
"66",50,"Masculino","Trabajador dependiente","Netflix",9,"Celular","Sí",25,"Entretenimiento","Ninguna",6,3,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez"
"67",24,"Masculino","Trabajador dependiente","Netflix",8,"Celular","No",29,"Entretenimiento","Distracción",6,1,"Bueno","No","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","No me gusta"
"68",44,"Masculino","Trabajador independiente","Netflix",9,"Smart TV","Sí",50,"Entretenimiento","Adicción",2,2,"Bueno","No","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez"
"69",24,"Femenino","Trabajador independiente","Netflix",10,"Smart TV","Sí",50,"Entretenimiento","Distracción",20,3,"Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","A veces / Rara vez"
"70",26,"Femenino","Trabajador independiente","Netflix",5,"Celular","Sí",40,"Entretenimiento","Adicción",4,1,"Regular","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","No me gusta","No me gusta"
"71",24,"Femenino","Trabaja y estudia","Netflix",6,"Celular","Sí",15,"Ninguna","Consumo de tiempo",10,1,"Regular","No","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"72",19,"Femenino","Estudiante","Netflix",10,"Laptop","No",200,"Entretenimiento","Problema al dormir",8,6,"Bueno","No","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"73",30,"Masculino","Trabajador independiente","Otra",10,"PC","No",10,"Ninguna","Ninguna",12,1,"Excelente","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"74",25,"Femenino","Trabajador independiente","Netflix",6,"Celular","Sí",50,"Entretenimiento","Distracción",4,1,"Regular","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"75",25,"Masculino","Trabaja y estudia","Netflix",9,"Celular","No",50,"Entretenimiento","Ninguna",4,2,"Bueno","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez"
"76",18,"Masculino","Trabaja y estudia","Otra",8,"PC","Sí",50,"Entretenimiento","Consumo de tiempo",1,4,"Excelente","No","No me gusta","No me gusta","No me gusta","No me gusta","Frecuentemente","No me gusta"
"77",23,"Masculino","Estudiante","Disney+",6,"Laptop","Sí",10,"Entretenimiento","Distracción",3,2,"Regular","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","No me gusta"
"78",22,"Masculino","Trabaja y estudia","Netflix",8,"Smart TV","Sí",40,"Entretenimiento","Distracción",15,4,"Excelente","Sí","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente"
"79",33,"Masculino","Trabajador dependiente","Netflix",10,"Smart TV","Sí",10,"Entretenimiento","Distracción",10,5,"Excelente","Sí","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez"
"80",30,"Femenino","Trabajador independiente","Netflix",8,"Smart TV","Sí",15,"Entretenimiento","Consumo de tiempo",12,1,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","No me gusta","No me gusta"
"81",18,"Masculino","Estudiante","HBO Max",8,"Celular","No",40,"Entretenimiento","Distracción",10,3,"Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez"
"82",30,"Masculino","Estudiante","Netflix",5,"Laptop","Sí",30,"Entretenimiento","Aburrimiento",2,5,"Excelente","Sí","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente"
"83",20,"Femenino","Trabaja y estudia","Otra",4,"PC","Sí",35,"Entretenimiento","Distracción",8,1,"Regular","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"84",30,"Masculino","Trabajador independiente","Netflix",10,"Celular","Sí",30,"Entretenimiento","Distracción",4,25,"Excelente","Sí","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"85",35,"Masculino","Trabajador dependiente","Netflix",8,"Celular","Sí",50,"Entretenimiento","Problema de plataforma",14,1,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente"
"86",22,"Masculino","Trabajador independiente","Otra",10,"Laptop","Sí",10,"Ninguna","Ninguna",20,1,"Excelente","Sí","No me gusta","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"87",26,"Masculino","Trabajador dependiente","HBO Max",9,"Celular","Sí",10,"Entretenimiento","Consumo de tiempo",1,1,"Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"88",26,"Femenino","Trabajador dependiente","Netflix",5,"Celular","No",15,"Entretenimiento","Consumo de tiempo",20,1,"Regular","No","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez"
"89",18,"Masculino","Estudiante","Netflix",8,"Smart TV","No",20,"Entretenimiento","Distracción",75,5,"Bueno","Sí","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","No me gusta","A veces / Rara vez"
"90",26,"Femenino","Trabajador dependiente","Netflix",10,"Celular","Sí",50,"Entretenimiento","Distracción",20,3,"Regular","Sí","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"91",21,"Femenino","Trabaja y estudia","Netflix",9,"Celular","Sí",15,"Entretenimiento","Distracción",3,1,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"92",18,"Femenino","Estudiante","Otra",9,"Celular","No",0,"Entretenimiento","Distracción",9,1,"Excelente","No","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","Frecuentemente"
"93",25,"Masculino","Trabajador independiente","Netflix",8,"Smart TV","No",40,"Ninguna","Aburrimiento",15,1,"Excelente","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"94",19,"Femenino","Estudiante","Netflix",10,"Smart TV","Sí",12,"Entretenimiento","Distracción",5,1,"Excelente","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente"
"95",22,"Femenino","Estudiante","Netflix",6,"Celular","No",0,"Entretenimiento","Consumo de tiempo",4,1,"Regular","Sí","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente","No me gusta"
"96",26,"Femenino","Ninguna de las anteriores","Disney+",6,"Celular","No",10,"Entretenimiento","Distracción",10,1,"Bueno","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"97",24,"Masculino","Trabajador dependiente","Netflix",7,"Celular","No",20,"Entretenimiento","Adicción",24,1,"Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"98",27,"Masculino","Trabajador dependiente","Netflix",9,"Laptop","Sí",55,"Entretenimiento","Consumo de tiempo",20,4,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta"
"99",32,"Masculino","Trabajador dependiente","Netflix",6,"Smart TV","Sí",20,"Entretenimiento","Adicción",3,1,"Bueno","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"100",34,"Masculino","Trabajador dependiente","Netflix",7,"PC","No",50,"Entretenimiento","Distracción",20,1,"Bueno","No","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez","No me gusta"
"101",27,"Femenino","Trabajador dependiente","Netflix",7,"Smart TV","Sí",25,"Entretenimiento","Ninguna",10,3,"Regular","No","A veces / Rara vez","No me gusta","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"102",19,"Femenino","Estudiante","Netflix",5,"Laptop","Sí",40,"Entretenimiento","Distracción",0,1,"Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","No me gusta","Frecuentemente"
"103",35,"Femenino","Trabajador dependiente","Netflix",7,"Celular","No",0,"Entretenimiento","Distracción",20,1,"Bueno","No","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez"
"104",30,"Masculino","Trabaja y estudia","Netflix",7,"Celular","No",0,"Entretenimiento","Consumo de tiempo",60,1,"Bueno","No","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente"
"105",30,"Masculino","Trabajador independiente","Netflix",8,"Smart TV","Sí",15,"Entretenimiento","Adicción",15,1,"Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"106",29,"Masculino","Trabajador dependiente","HBO Max",8,"Celular","Sí",60,"Entretenimiento","Distracción",6,4,"Bueno","Sí","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez"
"107",22,"Masculino","Estudiante","Netflix",9,"Smart TV","Sí",30,"Entretenimiento","Distracción",8,3,"Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez"
"108",18,"Masculino","Estudiante","Otra",10,"PC","No",0,"Entretenimiento","Problema de plataforma",6,1,"Bueno","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"109",23,"Masculino","Estudiante","Otra",8,"PC","No",10,"Entretenimiento","Distracción",5,1,"Regular","No","Frecuentemente","No me gusta","No me gusta","Frecuentemente","Frecuentemente","No me gusta"
"110",19,"Masculino","Estudiante","HBO Max",9,"Laptop","No",20,"Entretenimiento","Problema de plataforma",20,1,"Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","No me gusta"
"111",18,"Femenino","Trabaja y estudia","Netflix",9,"Smart TV","No",50,"Entretenimiento","Adicción",5,2,"Bueno","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"112",18,"Masculino","Estudiante","Netflix",8,"PC","No",60,"Entretenimiento","Distracción",6,1,"Bueno","Sí","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta"
"113",18,"Masculino","Estudiante","HBO Max",10,"Celular","No",30,"Entretenimiento","Ninguna",6,5,"Excelente","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"114",28,"Masculino","Trabajador independiente","Netflix",8,"Smart TV","Sí",45,"Entretenimiento","Distracción",6,1,"Excelente","No","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"115",47,"Femenino","Trabajador dependiente","Netflix",5,"Celular","No",30,"Entretenimiento","Distracción",5,1,"Bueno","No","No me gusta","No me gusta","No me gusta","No me gusta","No me gusta","No me gusta"
"116",20,"Femenino","Estudiante","Netflix",8,"Smart TV","Sí",15,"Entretenimiento","Adicción",15,1,"Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez"
"117",42,"Femenino","Trabajador dependiente","Netflix",7,"Celular","Sí",35,"Entretenimiento","Distracción",30,3,"Bueno","No","No me gusta","A veces / Rara vez","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"118",36,"Femenino","Trabajador dependiente","Netflix",6,"Celular","Sí",45,"Entretenimiento","Distracción",4,2,"Bueno","No","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
