"Marca temporal","Edad
","Género","Ocupación","¿Cuál de estás plataformas utilizas con mayor frecuencia?
","¿Del 1 al 10 cuánto recomiendas las plataformas que utilizas ?","¿Qué dispositivo utilizas usualmente para usar estas plataformas? ","¿Compartes cuentas de Streaming con otras personas","¿Cuánto inviertes mensualmente en servicios de Streaming ?","¿Con qué finalidad hace uso de las plataformas de Streaming?","¿Alguna desventaja significativa que consideres sobre plataformas de Streaming?","¿Cuántas horas consideras que dedicas semanalmente a estos servicios?","¿Cuántas plataformas de Streaming tienes contratadas actualmente?","¿Cómo calificaría los servicios de Streaming con los que cuenta?","De acuerdo con la pregunta anterior ¿Consideraría suscribirse a más servicios de Streaming?","¿Qué tipo de series / películas te gustan más ? [Acción]","¿Qué tipo de series / películas te gustan más ? [Drama]","¿Qué tipo de series / películas te gustan más ? [Comedia]","¿Qué tipo de series / películas te gustan más ? [Terror]","¿Qué tipo de series / películas te gustan más ? [Documentales]","¿Qué tipo de series / películas te gustan más ? [Otros]"
"2022/09/21 4:46:53 p. m. GMT-5","38","Masculino","Trabajador dependiente","HBO Max","8","Smart TV","Sí","50","Entretenimiento ","Distracción ","10","2","Bueno","No","A veces / Rara vez","No me gusta","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez"
"2022/09/21 4:48:56 p. m. GMT-5","30","Masculino","Trabajador dependiente","HBO Max","7","Tablet","No","30","entretenimiento","NOHAY","10","3","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/21 4:50:07 p. m. GMT-5","30","Femenino","Desempleado","Netflix","6","Smart TV","Sí","30","Relajarme","Distraccion","20","3","Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/21 4:50:18 p. m. GMT-5","29","Masculino","Trabajador dependiente","HBO Max","9","Smart TV","Sí","5 ","Entretenimiento","Malos subtitulos","10","2","Excelente","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente"
"2022/09/21 4:51:16 p. m. GMT-5","19","Masculino","Estudiante","Netflix","10","Smart TV","Sí","50","Entretenimiento ","Distracción ","8","5","Excelente","Sí","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/21 4:55:43 p. m. GMT-5","51","Femenino","Trabajador independiente","Otra","8","PC","No","60","Entretenimiento","Secuencia incompleta","35","1","Bueno","Sí","No me gusta","A veces / Rara vez","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"2022/09/21 4:59:00 p. m. GMT-5","19","Femenino","Estudiante","Netflix","9","Smart TV","Sí","60","Entretenimiento ","Distracción ","12","1","Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez"
"2022/09/21 5:16:17 p. m. GMT-5","20","Femenino","Trabaja y estudia","Netflix","10","Smart TV","Sí","60","Entretenimiento","Distracción","15","3","Excelente","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/21 5:28:29 p. m. GMT-5","21","Femenino","Estudiante","Amazon Prime Video","10","Celular","Sí","0","Entretenimiento","Distracción","5","4","Regular","Sí","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/21 5:29:45 p. m. GMT-5","25","Masculino","Trabajador dependiente","Disney+","8","PC","Sí","15","Entretenimiento","Ninguna ","5","1","Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta"
"2022/09/21 5:40:42 p. m. GMT-5","18","Femenino","Estudiante","Netflix","9","Smart TV","Sí","60","Entretenimiento","Ocio","15","3","Bueno","No","Frecuentemente","No me gusta","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/21 5:50:40 p. m. GMT-5","23","Masculino","Estudiante","Netflix","7","Celular","No","30","Entretenimiento","Lentitud ","5","1","Regular","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta"
"2022/09/21 5:51:42 p. m. GMT-5","18","Femenino","Estudiante","Netflix","8","Laptop","Sí","30","Entretenimiento","Distracción","5","2","Bueno","Sí","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"2022/09/21 5:55:18 p. m. GMT-5","18 ","Femenino","Estudiante","Netflix","9","Celular","Sí","30","Entretenerme","Distraer","8","2","Bueno","Sí","A veces / Rara vez","No me gusta","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente"
"2022/09/21 5:56:26 p. m. GMT-5","27","Masculino","Trabajador dependiente","Netflix","5","Celular","Sí","15","Entretenimiento ","Ninguna","10","2","Bueno","No","Frecuentemente","No me gusta","No me gusta","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"2022/09/21 5:59:01 p. m. GMT-5","18","Masculino","Estudiante","Netflix","10","Laptop","Sí","60","entretenimiento ","desconcentrarme","18","3","Excelente","No","No me gusta","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta"
"2022/09/21 6:00:38 p. m. GMT-5","20","Masculino","Estudiante","Netflix","8","Smart TV","Sí","30","Entretenimiento",".","5","1","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente"
"2022/09/21 6:03:44 p. m. GMT-5","46","Masculino","Trabajador dependiente","Netflix","10","Smart TV","Sí","40","Diversion","Diversion","14","2","Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"2022/09/21 6:15:37 p. m. GMT-5","18","Masculino","Estudiante","Netflix","8","Tablet","Sí","200","Entretenimiento ","Procrastinación ","25","5","Bueno","No","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"2022/09/21 6:19:04 p. m. GMT-5","18","Masculino","Estudiante","Netflix","9","Tablet","Sí","20","Entretenimiento ","Distraccion ","5","1","Bueno","Sí","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/21 6:40:52 p. m. GMT-5","20","Masculino","Estudiante","Netflix","8","Celular","No","25","Entretenimiento ","Conexión lenta","14","4","Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente"
"2022/09/21 6:44:44 p. m. GMT-5","19","Masculino","Estudiante","HBO Max","9","Laptop","Sí","50","Distracción ","Puro cine 🚬 ","4","2","Excelente","No","No me gusta","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","Frecuentemente"
"2022/09/21 6:59:31 p. m. GMT-5","21","Masculino","Estudiante","Netflix","8","Laptop","Sí","45","Diversión y estudio","Más pagos y limites","5","2","Bueno","No","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","Frecuentemente","Frecuentemente"
"2022/09/21 7:25:10 p. m. GMT-5","33","Femenino","Trabajador independiente","Otra","4","Celular","No","20","Trabajo","Educación ","15","3","Bueno","Sí","Frecuentemente","A veces / Rara vez","No me gusta","No me gusta","Frecuentemente","Frecuentemente"
"2022/09/21 7:58:03 p. m. GMT-5","18","Masculino","Estudiante","Netflix","6","Smart TV","Sí","12","Entretenimiento","Distracción","6","1","Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","Frecuentemente","Frecuentemente"
"2022/09/21 8:15:28 p. m. GMT-5","19","Femenino","Estudiante","Netflix","8","Smart TV","No","30","Diversión ","Ninguna","5","2","Bueno","No","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez"
"2022/09/21 8:32:39 p. m. GMT-5","18","Femenino","Estudiante","Netflix","8","Smart TV","No","0","0","Perdida de tiempo","20","1","Bueno","Sí","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente","No me gusta"
"2022/09/21 8:44:42 p. m. GMT-5","24","Masculino","Trabaja y estudia","Netflix","9","Smart TV","Sí","40","Distraerme","mmm distraerme x2","6","1","Bueno","Sí","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/21 8:48:22 p. m. GMT-5","37","Masculino","Trabajador independiente","Netflix","7","PC","Sí","5","Entretenimiento ","Distraccion","4","2","Bueno","No","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente"
"2022/09/21 10:09:54 p. m. GMT-5","20","Masculino","Estudiante","HBO Max","7","Smart TV","Sí","60","Entretenimiento","Baja calidad","10","4","Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"2022/09/21 10:25:28 p. m. GMT-5","21","Masculino","Estudiante","Netflix","8","Laptop","Sí","20","Entretenimiento ","Distracción ","5","2","Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente"
"2022/09/21 10:54:41 p. m. GMT-5","64","Femenino","Trabajador independiente","Otra","9","Celular","No","60","Informatico","Pérdida de tiempo","10","1","Regular","No","No me gusta","A veces / Rara vez","No me gusta","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/21 11:19:53 p. m. GMT-5","19","Masculino","Estudiante","Netflix","8","Celular","No","45","Entretenimiento","Vicio ","14","2","Excelente","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/21 11:26:13 p. m. GMT-5","20","Masculino","Estudiante","Netflix","5","Smart TV","Sí","12","Pasar el rato","Perdida de tiempo ","4","1","Regular","No","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/21 11:29:33 p. m. GMT-5","19","Masculino","Estudiante","Otra","8","Celular","No","15","Entretenimiento","Distracción ","15","1","Regular","No","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","No me gusta"
"2022/09/22 12:19:54 a. m. GMT-5","18","Masculino","Estudiante","Disney+","8","Smart TV","No","30","Entretenimiento ","limitado ","10","1","Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 8:21:42 a. m. GMT-5","18","Femenino","Estudiante","Netflix","9","Smart TV","Sí","20","Entretenimiento","Distracción","16","3","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 8:35:31 a. m. GMT-5","18","Femenino","Estudiante","Netflix","8","Smart TV","Sí","40","Entretenimiento ","Distracción","2","2","Bueno","No","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente"
"2022/09/22 9:46:17 a. m. GMT-5","19","Masculino","Estudiante","Netflix","9","Celular","Sí","35","Para distracción","Mucho vicio","3","1","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/22 9:50:24 a. m. GMT-5","21","Masculino","Estudiante","Netflix","10","Laptop","No","50","Entretenimiento","Distraccion","8 ","1","Excelente","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 11:12:14 a. m. GMT-5","18","Masculino","Estudiante","Amazon Prime Video","10","Laptop","Sí","30","entretenimiento","distraccion","8","3","Excelente","No","No me gusta","No me gusta","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta"
"2022/09/22 11:18:25 a. m. GMT-5","18","Femenino","Estudiante","Netflix","9","Celular","No","20","Entretenimiento","Distracción","40","2","Bueno","Sí","No me gusta","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 11:23:11 a. m. GMT-5","19","Masculino","Estudiante","Netflix","7","Smart TV","No","30","Entretenimiento ","Distracción ","5","3","Bueno","No","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente"
"2022/09/22 11:23:19 a. m. GMT-5","18","Femenino","Estudiante","Netflix","8","Smart TV","Sí","40","Entretenimiento ","Distracción ","5","2","Bueno","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/22 11:26:03 a. m. GMT-5","18","Masculino","Estudiante","Star+","8","Smart TV","Sí","60","Relajarme ","Procastinar ","10","2","Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta"
"2022/09/22 11:27:06 a. m. GMT-5","34","Masculino","Trabajador independiente","Netflix","10","Smart TV","Sí","40","Entretener","Ninguna","24","1","Excelente","Sí","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"2022/09/22 11:27:23 a. m. GMT-5","23","Femenino","Estudiante","Netflix","8","Celular","No","35","Entretenimiento ","Calidad","8","1","Bueno","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente"
"2022/09/22 11:27:25 a. m. GMT-5","35","Masculino","Trabajador dependiente","Netflix","4","Celular","Sí","50","Entretenimiento","Distracción","14","1","Regular","Sí","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 11:28:31 a. m. GMT-5","30","Masculino","Trabaja y estudia","HBO Max","9","Celular","Sí","30","Entretenimiento ","Distracción ","21","3","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 11:28:46 a. m. GMT-5","27","Femenino","Trabajador independiente","Netflix","6","Smart TV","No","10","Entretenimiento ","Distracción ","40","4","Regular","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente","No me gusta","A veces / Rara vez"
"2022/09/22 11:29:17 a. m. GMT-5","27","Masculino","Trabaja y estudia","Netflix","9","Laptop","No","120","Entrenamiento","No","3","1","Excelente","Sí","Frecuentemente","No me gusta","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/22 11:29:20 a. m. GMT-5","26","Femenino","Trabajador dependiente","Netflix","8","Tablet","Sí","45","Entretenimiento","Costo","4","3","Bueno","Sí","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","No me gusta"
"2022/09/22 11:29:31 a. m. GMT-5","50","Masculino","Trabajador dependiente","Netflix","9","Celular","Sí","25","Entretenimiento ","Ninguna","6","3","Bueno","Sí","Frecuentemente","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente","A veces / Rara vez"
"2022/09/22 11:34:37 a. m. GMT-5","24","Masculino","Trabajador dependiente","Netflix","8","Celular","No","29","Entretenimiento","Distraccion","6","1","Bueno","No","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","No me gusta"
"2022/09/22 11:35:57 a. m. GMT-5","44","Masculino","Trabajador independiente","Netflix","9","Smart TV","Sí","50","Entretenimiento","Procastinacion","2","2","Bueno","No","A veces / Rara vez","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez"
"2022/09/22 11:39:11 a. m. GMT-5","24","Femenino","Trabajador independiente","Netflix","10","Smart TV","Sí","50","Entretenimiento ","Distracción ","20 ","3","Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","A veces / Rara vez"
"2022/09/22 11:39:11 a. m. GMT-5","26","Femenino","Trabajador independiente","Netflix","5","Celular","Sí","40","Entretenimiento ","Adicción ","4","1","Regular","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","No me gusta","No me gusta","No me gusta"
"2022/09/22 11:39:33 a. m. GMT-5","24","Femenino","Trabaja y estudia","Netflix","6","Celular","Sí","15","INTERDIARIO","PERDIDA DE TIEMPO","10","1","Regular","No","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 11:39:48 a. m. GMT-5","19","Femenino","Estudiante","Netflix","10","Laptop","No","200","Entertainment ","No poder dormir bien","8","6","Bueno","No","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 11:43:23 a. m. GMT-5","30","Masculino","Trabajador independiente","Otra","10","PC","No","10","Variado","Ninguna","12","1","Excelente","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/22 11:47:30 a. m. GMT-5","25","Femenino","Trabajador independiente","Netflix","6","Celular","Sí","50","Entretenimientos","Distraccion","4","1","Regular","Sí","Frecuentemente","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 11:50:14 a. m. GMT-5","25","Masculino","Trabaja y estudia","Netflix","9","Celular","No","50","Entretenimiento ","No","4","2","Bueno","No","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez"
"2022/09/22 11:53:03 a. m. GMT-5","18","Masculino","Trabaja y estudia","Otra","8","PC","Sí","50","entrenamiento ","perder el tiempo","1 ","4","Excelente","No","No me gusta","No me gusta","No me gusta","No me gusta","Frecuentemente","No me gusta"
"2022/09/22 11:59:23 a. m. GMT-5","23","Masculino","Estudiante","Disney+","6","Laptop","Sí","10","Entretenimiento","Distracción","3","2","Regular","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","No me gusta"
"2022/09/22 12:17:48 p. m. GMT-5","22","Masculino","Trabaja y estudia","Netflix","8","Smart TV","Sí","40","Ocio y pasatiempo","Distracción","15","4","Excelente","Sí","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/22 12:19:08 p. m. GMT-5","33","Masculino","Trabajador dependiente","Netflix","10","Smart TV","Sí","10","Entretenimiento","distraccion","10","5","Excelente","Sí","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","A veces / Rara vez"
"2022/09/22 12:20:10 p. m. GMT-5","30","Femenino","Trabajador independiente","Netflix","8","Smart TV","Sí","15","Entretenimiento ","Tiempo desperdiciado","12","1","Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","No me gusta","No me gusta","No me gusta"
"2022/09/22 12:26:41 p. m. GMT-5","18","Masculino","Estudiante","HBO Max","8","Celular","No","40","Entretenimiento","Distracción ","10","3","Bueno","No","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez"
"2022/09/22 12:28:52 p. m. GMT-5","30","Masculino","Estudiante","Netflix","5","Laptop","Sí","30","Entretenimiento ","Aburrrimeinto ","2","5","Excelente","Sí","A veces / Rara vez","A veces / Rara vez","Frecuentemente","Frecuentemente","No me gusta","Frecuentemente"
"2022/09/22 12:36:19 p. m. GMT-5","20","Femenino","Trabaja y estudia","Otra","4","PC","Sí","35","Entretenimiento","Distracción","8","1","Regular","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente"
"2022/09/22 12:55:31 p. m. GMT-5","30","Masculino","Trabajador independiente","Netflix","10","Celular","Sí","30","Deporte","Distracion","4","25","Excelente","Sí","Frecuentemente","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 1:00:17 p. m. GMT-5","35","Masculino","Trabajador dependiente","Netflix","8","Celular","Sí","50","series y peliculas","Usuarios","14","1","Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","Frecuentemente","A veces / Rara vez","Frecuentemente"
"2022/09/22 1:01:06 p. m. GMT-5","22","Masculino","Trabajador independiente","Otra","10","Laptop","Sí","10","No sé ","Si","20","1","Excelente","Sí","No me gusta","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 1:04:33 p. m. GMT-5","26","Masculino","Trabajador dependiente","HBO Max","9","Celular","Sí","10","Entretenimiento","Requiere de tiempo","1","1","Bueno","No","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente","A veces / Rara vez"
"2022/09/22 1:08:04 p. m. GMT-5","26","Femenino","Trabajador dependiente","Netflix","5","Celular","No","15","entretenimiento ","Reducción de tiempo","20","1","Regular","No","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","A veces / Rara vez"
"2022/09/22 1:10:04 p. m. GMT-5","18","Masculino","Estudiante","Netflix","8","Smart TV","No","20","Entretenimiento ","Distracción ","75","5","Bueno","Sí","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente","No me gusta","A veces / Rara vez"
"2022/09/22 1:10:41 p. m. GMT-5","26","Femenino","Trabajador dependiente","Netflix","10","Celular","Sí","50","Entretenimiento ","Distraccion","20","3","Regular","Sí","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 1:15:49 p. m. GMT-5","21","Femenino","Trabaja y estudia","Netflix","9","Celular","Sí","15","Entretenimiento ","Distrae","3","1","Bueno","No","Frecuentemente","A veces / Rara vez","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
"2022/09/22 1:18:28 p. m. GMT-5","18","Femenino","Estudiante","Otra","9","Celular","No","0","Entretenimiento ","Distracción ","9","1","Excelente","No","Frecuentemente","Frecuentemente","A veces / Rara vez","No me gusta","A veces / Rara vez","Frecuentemente"
"2022/09/22 1:21:19 p. m. GMT-5","25","Masculino","Trabajador independiente","Netflix","8","Smart TV","No","40","Tiktok","Aburrimiento","15","1","Excelente","Sí","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente","Frecuentemente"
"2022/09/22 1:25:52 p. m. GMT-5","19","Femenino","Estudiante","Netflix","10","Smart TV","Sí","12","Entretenimiento ","Distraccion ","5 ","1","Excelente","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","No me gusta","Frecuentemente"
"2022/09/22 1:35:29 p. m. GMT-5","22","Femenino","Estudiante","Netflix","6","Celular","No","0","Entretenimiento ","Consume mi tiempo","4","1","Regular","Sí","Frecuentemente","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","Frecuentemente","No me gusta"
"2022/09/22 1:40:10 p. m. GMT-5","26","Femenino","Ninguna de las anteriores","Disney+","6","Celular","No","10","Entretenimiento ","Distracción ","10","1","Bueno","No","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez","A veces / Rara vez"
