Edad,Gènero,Carrera,Ciclo,Peso,Estatura,Actividad_Física,Comidas_Rápidas,Hora_Almuerzo,Tiempo_Almuerzo,Tipo_Alimentación,Preferencia,Mayor_Consumo,Agua,Alimento_Universitario,Gastos_comidas_nosaludables,Promedio,Rendimiento_Academico,Alimentación_Rendimiento,IMC
19,Femenino,Ing. Ambiental,2,54,158,0,1,14 horas,30,Comida preparada en casa,Situación económica,Frutas y Verduras,2.5,No,30,14,Poco satisfecho,Sí,21.63
19,Masculino,Ciencia de datos,5,70,169,4,2,13 horas,30,Comida preparada en casa,Situación económica,Carbohidratos,2,Sí,80,14,Neutral,Sí,24.51
18,Femenino,Bioingenería,5,50,158,6,1,15 horas,30,Comida de restaurante,Tiempo empleado,Carbohidratos,1.5,No,20,13,Nada satisfecho,Sí,20.03
18,Masculino,Ing. Mecatrónica,2,60,170,2,1,13 horas,15,Comida de restaurante,Tiempo empleado,Proteínas,1.5,No,30,13.25,Neutral,No,20.76
19,Femenino,Ing. Ambiental,4,48,155,0,1,14 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Productos lácteos,1.5,No,5,14,Poco satisfecho,Sí,19.98
19,Femenino,Bioingenería,5,46,155,10,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30,15,Satisfecho,Sí,19.15
18,Femenino,Ciencias de la computación,3,70,170,6,1,13 horas,20,Comida de restaurante,Situación económica,Carbohidratos,1.5,Sí,10,16,Neutral,Sí,24.22
20,Masculino,Bioingenería,6,60,175,6,3,14 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,2,No,15,13,Neutral,Sí,19.59
19,Masculino,Ing. Mecatrónica,2,80,172,3,1,13 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,2,Sí,20,11,Neutral,Sí,27.04
23,Femenino,Ing. Ambiental,4,49,155,1,1,13 horas,20,Comida preparada en casa,Tiempo empleado,Frutas y Verduras,2,Sí,1,15.67,Neutral,Sí,20.4
24,Masculino,Ing. Mecatrónica,6,69,165,1,3,13 horas,20,Comida preparada en casa,Tiempo empleado,Carbohidratos,1.5,No,30,14,Neutral,Sí,25.34
20,Femenino,Ing. Ambiental,4,57,154,0,1,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1,No,5,14.3,Neutral,No,24.03
19,Femenino,Ing. Ambiental,4,60,160,1,2,13 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1,Sí,60,16,Satisfecho,Sí,23.44
19,Masculino,Ing. Mecatrónica,3,80,162,2,1,13 horas,35,Comida de restaurante,Preferencias a ese tipo de comida,Carbohidratos,1.5,Sí,12,14,Neutral,No,30.48
18,Masculino,Ing. Industrial,4,51,161,0,1,13 horas,60,Comida de restaurante,Tiempo empleado,Carbohidratos,2,No,60,15,Neutral,Sí,19.68
18,Masculino,Ing. Mecatrónica,3,54,167,4,1,13 horas,30,Comida preparada en casa,Tiempo empleado,Carbohidratos,3,No,40,15,Satisfecho,Sí,19.36
19,Masculino,Ing. Electrónica,4,55,162,0,2,13 horas,30,Comida de restaurante,Tiempo empleado,Grasas,1.5,No,50,15,Neutral,Sí,20.96
20,Masculino,Ciencias de la computación,4,80,170,4,4,14 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,2,Sí,20,14.22,Neutral,Sí,27.68
18,Masculino,Ciencias de la computación,3,78,173,6,2,13 horas,40,Comida de restaurante,Tiempo empleado,Proteínas,2.5,Sí,15,17,Satisfecho,No,26.06
18,Masculino,Ing. Civil,3,69,171,0,3,13 horas,30,Comida de restaurante,Tiempo empleado,Carbohidratos,2.5,No,10,18,Satisfecho,No,23.6
20,Femenino,Ing. Civil,4,52,165,2,3,14 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,Mas de 3 litros,Sí,20,16.2,Neutral,Sí,19.1
19,Femenino,Ing. Industrial,4,58,158,2,5,13 horas,15,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,3,Sí,50,18,Muy satisfecho,Sí,23.23
21,Masculino,Ing. Química,5,52,165,1,2,12 horas,30,Comida de restaurante,Situación económica,Carbohidratos,1,Sí,7,15.45,Poco satisfecho,Sí,19.1
18,Femenino,Ing. Química,4,50,154,2,3,14 horas,30,Comida rápida/chatarra,Tiempo empleado,Carbohidratos,2,No,20,17,Neutral,Sí,21.08
18,Masculino,Ing. Electrónica,3,58,167,4,2,12 horas,25,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1.5,Sí,5,16,Neutral,Sí,20.8
18,Femenino,Ing. Ambiental,4,50,154,2,1,12 horas,30,Comida preparada en casa,Situación económica,Frutas y Verduras,3,No,30,13,Poco satisfecho,Sí,21.08
18,Femenino,Bioingenería,3,52,165,2,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,2.5,Sí,10,17,Satisfecho,Sí,19.1
19,Femenino,Ing. Industrial,3,45,145,2,2,12 horas,20,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1,Sí,30,14,Satisfecho,Sí,21.4
20,Femenino,Ing. Mecánica,3,55,153,2,2,12 horas,22,Comida preparada en casa,Preferencias a ese tipo de comida,Productos lácteos,1,Sí,12,16,Neutral,Sí,23.5
19,Masculino,Ing. Civil,4,50,165,5,3,13 horas,30,Comida de restaurante,Tiempo empleado,Proteínas,Mas de 3 litros,Sí,72,18,Muy satisfecho,Sí,18.37
20,Masculino,Ing. Electrónica,4,76,180,1,1,12 horas,20,Comida de restaurante,Preferencias a ese tipo de comida,Carbohidratos,Mas de 3 litros,Sí,13,13.4,Neutral,Sí,23.46
18,Femenino,Ing. Industrial,4,62,157,1,1,12 horas,40,Comida preparada en casa,Otros,Proteínas,1.5,No,10,12.34,Neutral,Sí,25.15
20,Masculino,Ing. Industrial,4,50,162,2,1,13 horas,30,Comida preparada en casa,Situación económica,Carbohidratos,Mas de 3 litros,Sí,3,16.95,Neutral,Sí,19.05
19,Masculino,Ing. Ambiental,3,100,186,8,1,14 horas,40,Comida de restaurante,Tiempo empleado,Carbohidratos,Mas de 3 litros,Sí,30,14,Poco satisfecho,Sí,28.91
19,Femenino,Ing. Industrial,2,70,165,5,1,14 horas,25,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30,17,Satisfecho,Sí,25.71
18,Femenino,Ing. Ambiental,2,70,170,10,3,14 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,Sí,20,19,Muy satisfecho,Sí,24.22
18,Masculino,Ing. Industrial,2,65,172,2,3,12 horas,40,Comida de restaurante,Otros,Proteínas,2,Sí,100,14,Neutral,No,21.97
20,Femenino,Ing. Industrial,2,70,157,2,2,13 horas,30,Comida de restaurante,Otros,Carbohidratos,2.5,No,20,15,Neutral,Sí,28.4
22,Masculino,Ing. Mecánica,6,72,179,6,0,14 horas,45,Comida preparada en casa,Tiempo empleado,Proteínas,Mas de 3 litros,No,0,13,Neutral,No,22.47
19,Femenino,Ing. Civil,4,50,160,3,2,14 horas,20,Comida de restaurante,Preferencias a ese tipo de comida,Proteínas,2,Sí,20,13,Satisfecho,Sí,19.53
21,Masculino,Ciencias de la computación,5,54,165,10,2,13 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,1.5,Sí,20,11,Poco satisfecho,Sí,19.83
19,Masculino,Ing. Mecánica,5,65,176,3,5,13 horas,60,Comida de restaurante,Tiempo empleado,Grasas,2,Sí,15,14,Neutral,No,20.98
18,Femenino,Ing. Industrial,2,62,156,0,3,14 horas,60,Comida de restaurante,Situación económica,Carbohidratos,1,No,15,17,Poco satisfecho,Sí,25.48
20,Femenino,Bioingenería,2,93,169,0,4,13 horas,60,Comida de restaurante,Otros,Carbohidratos,1.5,No,100,14.5,Neutral,Sí,32.56
23,Masculino,Ing. Química,6,53,167,8,2,13 horas,60,Comida de restaurante,Tiempo empleado,Proteínas,1.5,Sí,20,12,Neutral,Sí,19
17,Femenino,Ing. Química,1,60,164,1,2,12 horas,20,Comida de restaurante,Tiempo empleado,Carbohidratos,2,Sí,11,13,Neutral,No,22.31
17,Femenino,Bioingenería,1,68,172,0,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1,Sí,50,13,Neutral,Sí,22.99
20,Masculino,Ciencias de la computación,5,70,161,0,1,12 horas,30,Comida de restaurante,Tiempo empleado,Proteínas,1,Sí,3,16,Satisfecho,Sí,27.01
20,Masculino,Ciencias de la computación,5,90,165,0,4,12 horas,60,Comida de restaurante,Tiempo empleado,Grasas,3,Sí,75,14,Poco satisfecho,Sí,33.06
18,Masculino,Ing. Mecatrónica,4,80,180,3,2,13 horas,30,Comida de restaurante,Tiempo empleado,Productos lácteos,Mas de 3 litros,No,120,11.6,Poco satisfecho,Sí,24.69
19,Masculino,Ciencias de la computación,4,72,170,4,1,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,2,No,8,16,Satisfecho,No,24.91
20,Masculino,Ing. Civil,4,70,162,2,2,12 horas,30,Comida preparada en casa,Situación económica,Proteínas,2,Sí,20,15.4,Neutral,Sí,26.67
21,Masculino,Ing. Civil,4,72,172,4,1,12 horas,20,Comida de restaurante,Situación económica,Frutas y Verduras,Mas de 3 litros,Sí,6,13.22,Satisfecho,Sí,24.34
18,Femenino,Ing. Industrial,1,50,160,2,1,12 horas,45,Comida preparada en casa,Situación económica,Frutas y Verduras,1,Sí,20,12,Nada satisfecho,Sí,19.53
19,Femenino,Ing. Civil,2,60,160,2,5,14 horas,20,Comida rápida/chatarra,Situación económica,Grasas,3,No,150,14.6,Neutral,Sí,23.44
22,Femenino,Bioingenería,10,56,160,2,2,12 horas,60,Comida de restaurante,Preferencias a ese tipo de comida,Proteínas,1.5,Sí,10,17.4,Satisfecho,Sí,21.87
21,Femenino,Ing. Química,4,62,155,0,5,13 horas,30,Comida de restaurante,Tiempo empleado,Proteínas,2,Sí,20,13,Neutral,Sí,25.81
18,Femenino,Ing. Civil,2,60,165,5,1,14 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,Sí,50,16,Neutral,Sí,22.04
20,Masculino,Ing. Mecatrónica,4,70,180,10,1,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Productos lácteos,2,Sí,30,18,Neutral,Sí,21.6
21,Masculino,Ing. Mecatrónica,3,75,170,4,3,16 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1.5,No,30,19,Neutral,Sí,25.95
20,Femenino,Ing. de la Energía,3,65,158,3,4,13 horas,60,Comida de restaurante,Tiempo empleado,Productos lácteos,1.5,No,45,16,Satisfecho,Sí,26.04
18,Masculino,Bioingenería,2,70,168,4,2,13 horas,50,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,2,No,20,17,Satisfecho,Sí,24.8
18,Femenino,Bioingenería,3,58,165,6,1,13 horas,45,Comida preparada en casa,Situación económica,Proteínas,1.5,No,3,15.7,Neutral,Sí,21.3
18,Femenino,Bioingenería,3,68.7,166,6,3,12 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,3,Sí,40,17.62,Poco satisfecho,Sí,24.93
18,Femenino,Ciencias de la computación,10,55,150,12,4,16 horas,30,Comida preparada en casa,Situación económica,Carbohidratos,3,Sí,100,13.4,Muy satisfecho,Sí,24.44
17,Masculino,Bioingenería,6,60,175,10,4,15 horas,40,Comida preparada en casa,Situación económica,Productos lácteos,2,Sí,50,18,Satisfecho,Sí,19.59
18,Femenino,Bioingenería,3,54,165,2,1,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,3,Sí,10,18.45,Satisfecho,Sí,19.83
19,Femenino,Ing. Química,2,59,155,2,2,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,No,30,16,Satisfecho,Sí,24.56
23,Masculino,Ciencias de la computación,5,77,170,4,4,14 horas,70,Comida envasada/congelada,Tiempo empleado,Grasas,2,No,40,15,Satisfecho,No,26.64
19,Masculino,Ciencias de la computación,4,80,173,0,0,15 horas,30,Comida de restaurante,Situación económica,Carbohidratos,2,Sí,6,14,Neutral,Sí,26.73
19,Femenino,Ing. Civil,4,56.5,158,2,3,13 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1.5,Sí,15,14.9,Neutral,Sí,22.63
20,Femenino,Bioingenería,9,59,161,3,3,13 horas,35,Comida preparada en casa,Situación económica,Proteínas,1,Sí,40,19,Satisfecho,Sí,22.76
23,Masculino,Ing. Mecatrónica,8,72.5,170,6,2,13 horas,30,Comida de restaurante,Preferencias a ese tipo de comida,Carbohidratos,2,No,30,15.7,Neutral,Sí,25.09
19,Masculino,Ing. Mecatrónica,4,60,170,9,1,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1.5,Sí,50,14,Poco satisfecho,No,20.76
20,Femenino,Ing. Mecatrónica,5,54,173,2,1,13 horas,45,Comida de restaurante,Preferencias a ese tipo de comida,Proteínas,1.5,Sí,10,16.7,Neutral,Sí,18.04
18,Masculino,Ing. Mecatrónica,4,80,175,3,0,12 horas,20,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,0,16.7,Neutral,Sí,26.12
21,Masculino,Ing. Civil,5,70,170,6,1,13 horas,26,Comida preparada en casa,Situación económica,Carbohidratos,Mas de 3 litros,Sí,15,14.6,Neutral,Sí,24.22
19,Femenino,Ing. Ambiental,4,50,150,0,1,13 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,Mas de 3 litros,No,40,14,Neutral,Sí,22.22
17,Masculino,Ing. Ambiental,1,69,164,4.5,3,14 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,No,23.5,13.7,Neutral,Sí,25.65
19,Femenino,Ing. Ambiental,4,54.5,158,0,1,13 horas,60,Comida de restaurante,Otros,Frutas y Verduras,2.5,Sí,17.5,13.5,Neutral,Sí,21.83
19,Femenino,Ing. Ambiental,4,48,158,1,1,14 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Productos lácteos,2,No,10,15,Poco satisfecho,Sí,19.23
19,Masculino,Ciencias de la computación,4,75,173,0,1,15 horas,30,Comida de restaurante,Situación económica,Carbohidratos,2,Sí,10,14,Poco satisfecho,Sí,25.06
19,Masculino,Ing. Mecatrónica,4,65,160,1,3,16 horas,20,Comida de restaurante,Otros,Grasas,1,Sí,20,15,Neutral,Sí,25.39
21,Femenino,Ing. Industrial,4,58,163,3,4,14 horas,90,Comida de restaurante,Tiempo empleado,Frutas y Verduras,1.5,Sí,60,16,Poco satisfecho,Sí,21.83
19,Femenino,Bioingenería,4,52,150,1,1,13 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1.5,Sí,18,14.5,Neutral,Sí,23.11
19,Femenino,Ing. Civil,4,67.7,171,4.5,2,13 horas,48,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,No,34.6,16.8,Satisfecho,Sí,23.15
23,Masculino,Ing. de la Energía,4,60,165,3,2,12 horas,50,Comida de restaurante,Tiempo empleado,Carbohidratos,1.5,No,30,15,Satisfecho,Sí,22.04
23,Masculino,Ing. de la Energía,7,77.5,169,3.5,2,14 horas,58,Comida de restaurante,Tiempo empleado,Carbohidratos,1.5,No,25.6,14.5,Poco satisfecho,Sí,27.13
17,Masculino,Bioingenería,1,73,169,8,1,13 horas,15,Comida preparada en casa,Tiempo empleado,Carbohidratos,2.5,Sí,80,15,Muy satisfecho,Sí,25.56
19,Masculino,Bioingenería,1,89,179,1,2,12 horas,30,Comida de restaurante,Tiempo empleado,Productos lácteos,1,Sí,7,17.5,Satisfecho,Sí,27.78
19,Masculino,Ing. Mecánica,5,67,167,4,1,13 horas,20,Comida de restaurante,Tiempo empleado,Carbohidratos,1.5,No,0,17.9,Neutral,Sí,24.02
20,Masculino,Ing. Civil,4,74,169,0,1,12 horas,30,Comida de restaurante,Tiempo empleado,Frutas y Verduras,1.5,Sí,20,17,Muy satisfecho,Sí,25.91
19,Masculino,Ciencia de datos,3,85,170,4,1,13 horas,20,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,1.5,Sí,20,12.75,Neutral,No,29.41
20,Masculino,Ing. Civil,4,59,165,1,1,13 horas,20,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,No,5,10,Satisfecho,Sí,21.67
19,Femenino,Ing. Civil,4,63.1,151,2,1,12 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,1.5,No,10,13.56,Neutral,Sí,27.67
23,Masculino,Ing. de la Energía,4,60,165,3,2,13 horas,50,Comida de restaurante,Tiempo empleado,Carbohidratos,2,No,20,15,Satisfecho,Sí,22.04
18,Femenino,Ing. Industrial,2,58,160,8,2,12 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,1.5,Sí,50,14,Neutral,Sí,22.66
20,Femenino,Ing. Civil,4,53,160,6,5,13 horas,30,Comida de restaurante,Otros,Carbohidratos,1.5,No,70,11,Neutral,Sí,20.7
18,Femenino,Ciencias de la computación,2,65,155,3,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1.5,Sí,12,16.4,Satisfecho,No,27.06
26,Femenino,Ing. Ambiental,8,60,168,4.5,2,13 horas,60,Comida de restaurante,Tiempo empleado,Proteínas,2,No,35.8,16.8,Satisfecho,Sí,21.26
19,Masculino,Ing. Mecatrónica,4,67,177,2,1,12 horas,20,Comida de restaurante,Otros,Proteínas,3,Sí,10,16,Neutral,Sí,21.39
27,Masculino,Ing. Industrial,9,76.5,173,4.5,3,14 horas,50,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,25.8,15.7,Neutral,Sí,25.56
20,Femenino,Bioingenería,5,58.5,160,4,3,14 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,2.5,No,25,16.8,Satisfecho,Sí,22.85
26,Masculino,Ing. Mecánica,7,80.5,170,2,4,13 horas,60,Comida rápida/chatarra,Tiempo empleado,Grasas,1.5,No,46.7,14.6,Poco satisfecho,Sí,27.85
22,Masculino,Ing. Mecatrónica,5,80,171,4.5,2,14 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,1.5,No,30.6,15.4,Neutral,Sí,27.36
22,Masculino,Ing. Civil,5,75.8,166,2,3,15 horas,55,Comida preparada en casa,Preferencias a ese tipo de comida,Carbohidratos,1.5,No,24.2,13.8,Neutral,Sí,27.51
24,Femenino,Ing. Industrial,6,72,165,1.5,4,16 horas,50,Comida rápida/chatarra,Tiempo empleado,Grasas,2.5,No,68.3,14.5,Poco satisfecho,Sí,26.45
21,Femenino,Ing. de la Energía,7,60.5,170,6.5,1,14 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,Sí,50.5,17.6,Neutral,Sí,20.93
19,Masculino,Ciencias de la computación,4,80.5,190,10,3,14 horas,30,Comida de restaurante,Tiempo empleado,Frutas y Verduras,2.5,Sí,80,19.3,Satisfecho,Sí,22.3
17,Masculino,Ing. Química,2,60,170,5,1,14 horas,50,Comida de restaurante,Tiempo empleado,Proteínas,2,Sí,50,18.5,Satisfecho,Sí,20.76
19,Masculino,Ing. Civil,4,60,165,2,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,50,15,Satisfecho,Sí,22.04
19,Masculino,Bioingenería,4,70,185,1,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30.5,17.5,Satisfecho,Sí,20.45
20,Masculino,Ing. Electrónica,4,50,170,3.5,2,13 horas,40,Comida preparada en casa,Situación económica,Frutas y Verduras,2,Sí,20,18,Satisfecho,Sí,17.3
24,Femenino,Ing. Electrónica,6,68,161,1.5,3,15 horas,46,Comida envasada/congelada,Tiempo empleado,Productos lácteos,1.5,No,43.7,15.25,Neutral,Sí,26.23
21,Masculino,Ciencias de la computación,6,56.6,167,2,2,13 horas,50,Comida preparada en casa,Preferencias a ese tipo de comida,Frutas y Verduras,2.5,No,45,17,Satisfecho,Sí,20.29
19,Masculino,Ing. Electrónica,4,55,163,0,2,13 horas,30,Comida de restaurante,Situación económica,Proteínas,1.5,Sí,12,14,Poco satisfecho,Sí,20.7
24,Femenino,Ing. Electrónica,7,72.4,168,0,3,14 horas,50,Comida de restaurante,Tiempo empleado,Carbohidratos,1.5,No,38.4,13.7,Poco satisfecho,Sí,25.65
19,Masculino,Ing. Civil,3,69,171,0,4,13 horas,40,Comida de restaurante,Tiempo empleado,Carbohidratos,3,No,20,17.71,Muy satisfecho,Sí,23.6
18,Femenino,Ing. Ambiental,3,68,163,10,2,13 horas,20,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,Mas de 3 litros,No,12.5,16,Poco satisfecho,No,25.59
17,Masculino,Administración y negocios digitales,3,52.6,158,1,2,13 horas,60,Comida de restaurante,Tiempo empleado,Frutas y Verduras,2,No,35.5,17.8,Neutral,No,21.07
19,Femenino,Ing. Industrial,2,60,170,7,2,13 horas,30,Comida preparada en casa,Situación económica,Proteínas,2,Sí,30,18,Neutral,Sí,20.76
22,Masculino,Ciencias de la computación,7,70,180,10,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,50,18,Satisfecho,Sí,21.6
19,Femenino,Bioingenería,5,46,155,10,1,13 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30,15,Satisfecho,Sí,19.15
20,Femenino,Administración y negocios digitales,2,60,175,7,1,14 horas,45,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30,17.5,Neutral,Sí,19.59
21,Femenino,Administración y negocios digitales,4,50,165,5,1,14 horas,60,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,40,18,Satisfecho,Sí,18.37
19,Femenino,Bioingenería,4,60,175,10,1,14 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,Sí,30,18.5,Satisfecho,Sí,19.59
17,Masculino,Bioingenería,2,70,185,15,1,13 horas,50,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30,19,Muy satisfecho,Sí,20.45
19,Masculino,Bioingenería,5,65,175,5,2,14 horas,40,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2,Sí,30,19,Satisfecho,Sí,21.22
18,Femenino,Ing. Industrial,2,67.6,167,2,1,13 horas,60,Comida preparada en casa,Otros,Proteínas,1.5,No,15,14,Neutral,No,24.24
17,Masculino,Bioingenería,3,80,190,10,1,13 horas,30,Comida preparada en casa,Preferencias a ese tipo de comida,Proteínas,2.5,Sí,30,18.7,Satisfecho,Sí,22.16
