Marca temporal,¿Juegas videojuegos?,Género,Edad,Carrera,¿Qué manera de jugar te gusta más?,¿Prefieres juegos multiplayer o singleplayer?,¿Qué valoras más en un videojuego?,Plataforma en la que juega:,"Tiempo que dedica a jugar videojuegos
Ejem: 1 hora a la semana",¿Qué género de videojuego prefieres?,¿Qué compania crees que tiene mejores juegos?,Cantidad de dinero que gastas en video juegos en un año,¿Cuántos cursos estas llevando en el ciclo?,"¿Cual es tu promedio ponderado?
Valor comprendido entre 1 a 20. 
Ejm: 14.67","¿Cuantas horas al dia duermes?
Ejm: 4",¿Cuantos cursos desaprobados tienes?,Sigues los cursos que corresponden a tu ciclo actual. ¿Si o no?,¿Por qué no te gustan los videojuegos?
10/12/2022 10:20:48,Sí,Masculino,20,Ingeniería Ambiental,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,PC (Computadora),8,Shooters,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",140,5,13.87,7,Ninguno,No,
10/12/2022 10:22:17,Sí,Masculino,20,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),13,Shooters,"Valve (Dota, Half Life, Portal, etc)",200,4,11.98,6,1,No,
10/12/2022 10:22:40,No,,,,,,,,,,,,,,,,,No tengo tiempo
10/12/2022 10:22:53,No,,,,,,,,,,,,,,,,,No me llama la atención
10/12/2022 10:23:23,No,,,,,,,,,,,,,,,,,No tengo tiempo
10/12/2022 10:31:25,Sí,Masculino,20,Ingeniería Mecánica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,PC (Computadora),4,Shooters,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",50,5,14.45,7,Ninguno,Sí,
10/12/2022 10:33:15,Sí,Masculino,18,Ingeniería Química,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),6,Shooters,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",20,5,13.67,6,Ninguno,No,
10/12/2022 10:34:09,Sí,Femenino,25,Ingeniería Civil,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Banda Sonora,Celular,20,Shooters,"Warner Bros (MultiVersus, Batman, Juegos de Lego, Back for Blood, etc)",500,4,9.56,5,3,No,No tengo tiempo
10/12/2022 10:34:36,Sí,Masculino,19,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,PC (Computadora),4,MOBAs,"Valve (Dota, Half Life, Portal, etc)",30,5,13.45,6,Ninguno,No,
10/12/2022 10:36:09,Sí,Femenino,23,Ingeniería Industrial,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Jugabilidad,Switch,13,MMO,"Warner Bros (MultiVersus, Batman, Juegos de Lego, Back for Blood, etc)",170,4,9.00,6,4,No,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/12/2022 10:37:21,Sí,Femenino,18,Ingeniería Industrial,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",5,RPGs,"Square Enix (Finall Fantasy, Kindom Heards, Life is Strange, etc)",40,5,13.57,6,Ninguno,No,
10/12/2022 10:40:51,Sí,Masculino,20,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),6,MOBAs,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",50,5,12.78,6,Ninguno,No,
10/12/2022 10:44:39,Sí,Masculino,20,Ingeniería Química,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,"Play Station (PS1, PS2, PS3, PS4, PS5)",6,Shooters,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",65,5,11.64,7,2,No,
10/12/2022 10:46:16,Sí,Masculino,17,Ingeniería Química,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),6,MOBAs,"Valve (Dota, Half Life, Portal, etc)",55,6,13.67,6,2,Sí,
10/12/2022 10:50:19,Sí,Masculino,18,Ingeniería Química,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),7,MOBAs,"Valve (Dota, Half Life, Portal, etc)",40,6,13.57,7,Ninguno,Sí,
10/12/2022 10:52:34,Sí,Masculino,20,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Jugabilidad,PC (Computadora),6,MOBAs,"Valve (Dota, Half Life, Portal, etc)",55,5,13.68,6,1,No,
10/12/2022 10:54:48,Sí,Masculino,19,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),10,MMO,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",200,4,9.57,6,Ninguno,No,
10/12/2022 10:56:46,Sí,Masculino,20,Ingeniería Química,Co-Op (Coperativo),Multiplayer (Multijugador),Historia,PC (Computadora),6,RPGs,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",70,5,12.78,6,1,No,
10/13/2022 9:53:22,Sí,Femenino,24,Bioingeniería,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Gráficos,Switch,4,Shooters,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",50,6,15.00,10,6,Sí,"Jugabilidad complicada, No me llama la atención"
10/13/2022 9:54:15,Sí,Femenino,19,Ingeniería Civil,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Banda Sonora,Celular,1,De Peleas,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",10,8,14.89,9,Ninguno,Sí,Jugabilidad complicada
10/13/2022 9:55:11,Sí,Masculino,17,Ingeniería de la Energía,PvP (Jugador VS Jugador),Singleplayer (Un solo jugador),Historia,Switch,6,MMO,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",80,5,13.00,5,5,No,El precio de las plataformas y/o juegos son caros
10/13/2022 9:56:02,Sí,Masculino,18,Ingeniería Química,PvP (Jugador VS Jugador),Singleplayer (Un solo jugador),Precio,Celular,1,Deportivo,"From Software (Dark Souls, Bloodborne, Elden Ring, etc)",20,7,14.88,8,Ninguno,Sí,No me llama la atención
10/13/2022 9:57:15,Sí,Masculino,23,Ingeniería de la Energía,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Precio,"Play Station (PS1, PS2, PS3, PS4, PS5)",7,RPGs,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",67,7,14.34,5,Ninguno,Sí,"No me llama la atención, El precio de las plataformas y/o juegos son caros"
10/13/2022 9:57:55,Sí,Femenino,20,Ingeniería Ambiental,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",3,RPGs,"EA (FIFA, Mass Efect, )",10,7,13.78,7,1,Sí,Prefiero realizar otras actividades
10/13/2022 9:59:50,Sí,Femenino,23,Ingeniería Civil,Co-Op (Coperativo),Singleplayer (Un solo jugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",4,Simulación,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",35,4,15.76,8,1,Sí,No tengo tiempo
10/13/2022 9:59:52,Sí,Femenino,20,Ingeniería Mecánica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Banda Sonora,"XBox (360, One, Series S, Series X)",1,MOBAs,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",10,6,14.21,8,Ninguno,Sí,"No tengo tiempo, El precio de las plataformas y/o juegos son caros"
10/13/2022 10:01:32,Sí,Masculino,19,Ingeniería Electrónica,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Precio,Switch,2,Shooters,"CD Projekt Red (The Witcher, Cyberpunk 2077)",20,6,16.88,8,Ninguno,Sí,Prefiero realizar otras actividades
10/13/2022 10:03:11,Sí,Masculino,20,Ingeniería Civil,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Banda Sonora,PC (Computadora),1,MOBAs,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",10,6,12.34,8,Ninguno,Sí,No tengo tiempo
10/13/2022 10:03:32,Sí,Femenino,16,Ingeniería Civil,Co-Op (Coperativo),Singleplayer (Un solo jugador),Precio,PC (Computadora),1,De Plataformas,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",12,8,13.33,7,Ninguno,Sí,No tengo tiempo
10/13/2022 10:04:56,Sí,Masculino,18,Ingeniería Ambiental,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,Switch,3,Shooters,"Warner Bros (MultiVersus, Batman, Juegos de Lego, Back for Blood, etc)",18,7,16.00,8,Ninguno,Sí,El precio de las plataformas y/o juegos son caros
10/13/2022 10:05:29,Sí,Masculino,21,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",8,MOBAs,"Square Enix (Finall Fantasy, Kindom Heards, Life is Strange, etc)",100,5,11.00,6,4,Sí,"Jugabilidad complicada, No tengo tiempo, El precio de las plataformas y/o juegos son caros"
10/13/2022 10:06:40,Sí,Femenino,19,Ingeniería Civil,Co-Op (Coperativo),Singleplayer (Un solo jugador),Banda Sonora,"XBox (360, One, Series S, Series X)",1,RPGs,"Square Enix (Finall Fantasy, Kindom Heards, Life is Strange, etc)",12,8,14.55,9,Ninguno,Sí,No tengo tiempo
10/13/2022 10:08:02,Sí,Femenino,21,Ingeniería Química,PvP (Jugador VS Jugador),Singleplayer (Un solo jugador),Banda Sonora,Celular,3,De Peleas,"Play Station (The Last of Us, God of War, Horizon Forbiden West, etc)",34,6,11.00,5,5,No,"No me llama la atención, No tengo tiempo, El precio de las plataformas y/o juegos son caros"
10/13/2022 10:09:05,Sí,Masculino,23,Ingeniería Civil,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Precio,Switch,1,De Plataformas,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",18,6,18.00,5,Ninguno,Sí,No tengo tiempo
10/13/2022 10:10:28,Sí,Femenino,23,Bioingeniería,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",12,Shooters,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",277,5,14.25,10,Ninguno,No,"No me llama la atención, No tengo tiempo"
10/13/2022 10:11:39,Sí,Masculino,20,Ingeniería Industrial,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Jugabilidad,Celular,1,RPGs,"CD Projekt Red (The Witcher, Cyberpunk 2077)",34,5,14.62,6,Ninguno,Sí,No tengo tiempo
10/13/2022 10:13:28,Sí,Masculino,21,Ingeniería Civil,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Jugabilidad,Switch,4,De Peleas,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",20,5,14.21,6,Ninguno,Sí,No tengo tiempo
10/13/2022 10:15:49,Sí,Femenino,18,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Precio,Celular,1,De Plataformas,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",12,4,14.23,7,Ninguno,Sí,No tengo tiempo
10/13/2022 10:16:21,Sí,Femenino,24,Ingeniería Mecánica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,Celular,5,De Plataformas,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",24,6,14.23,6,Ninguno,Sí,"No me llama la atención, No tengo tiempo, Prefiero realizar otras actividades"
10/13/2022 10:17:17,Sí,Femenino,19,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Precio,Switch,2,MMO,"From Software (Dark Souls, Bloodborne, Elden Ring, etc)",12,4,13.99,6,Ninguno,Sí,No tengo tiempo
10/13/2022 10:18:53,Sí,Masculino,22,Ingeniería Civil,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Precio,Switch,1,Shooters,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",10,6,17.00,7,Ninguno,Sí,No tengo tiempo
10/13/2022 10:20:33,Sí,Femenino,23,Ingeniería Civil,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Dificultad,Switch,1,MOBAs,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",15,6,16.00,7,Ninguno,Sí,No tengo tiempo
10/13/2022 10:23:27,Sí,Femenino,22,Bioingeniería,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Precio,"Play Station (PS1, PS2, PS3, PS4, PS5)",1,Shooters,"CD Projekt Red (The Witcher, Cyberpunk 2077)",13,5,14.78,5,1,Sí,No tengo tiempo
10/13/2022 10:25:42,Sí,Masculino,20,Ingeniería Civil,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Precio,Switch,1,De Plataformas,"Warner Bros (MultiVersus, Batman, Juegos de Lego, Back for Blood, etc)",10,5,16.76,6,Ninguno,Sí,No tengo tiempo
10/13/2022 10:27:29,Sí,Masculino,23,Ingeniería Ambiental,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",1,De Plataformas,"Square Enix (Finall Fantasy, Kindom Heards, Life is Strange, etc)",10,7,14.21,6,Ninguno,Sí,No tengo tiempo
10/13/2022 10:29:48,Sí,Masculino,23,Ingeniería Electrónica,Co-Op (Coperativo),Multiplayer (Multijugador),Precio,Celular,1,MOBAs,"Square Enix (Finall Fantasy, Kindom Heards, Life is Strange, etc)",10,7,12.00,5,2,Sí,No tengo tiempo
10/13/2022 10:31:58,Sí,Femenino,19,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Precio,Celular,1,MMO,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",12,8,16.77,6,Ninguno,Sí,No tengo tiempo
10/13/2022 10:35:06,Sí,Masculino,23,Ingeniería Civil,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Precio,Switch,4,MMO,"CD Projekt Red (The Witcher, Cyberpunk 2077)",20,5,13.99,4,2,Sí,No tengo tiempo
10/13/2022 10:37:16,Sí,Masculino,25,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Precio,"Play Station (PS1, PS2, PS3, PS4, PS5)",1,RPGs,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",12,4,13.33,6,1,Sí,No tengo tiempo
10/13/2022 10:38:58,Sí,Femenino,18,Ingeniería Civil,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Precio,"Play Station (PS1, PS2, PS3, PS4, PS5)",1,MOBAs,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",10,8,15.00,6,Ninguno,Sí,No tengo tiempo
10/13/2022 10:40:49,Sí,Masculino,23,Ingeniería Civil,PvE (Jugador VS Maquina),Singleplayer (Un solo jugador),Precio,Switch,1,Deportivo,"Square Enix (Finall Fantasy, Kindom Heards, Life is Strange, etc)",23,7,12.42,6,Ninguno,Sí,No tengo tiempo
10/13/2022 11:37:48,Sí,Femenino,20,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,Celular,3,Simulación,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",50,7,16.00,7,Ninguno,Sí,Jugabilidad complicada
10/13/2022 11:39:10,Sí,Masculino,21,Ingeniería Ambiental,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),5,MOBAs,"Valve (Dota, Half Life, Portal, etc)",100,6,13.00,6,Ninguno,Sí,Jugabilidad complicada
10/13/2022 18:36:58,Sí,Masculino,20,Ingeniería Química,Co-Op (Coperativo),Multiplayer (Multijugador),Gráficos,PC (Computadora),1,De Plataformas,"Valve (Dota, Half Life, Portal, etc)",10,6,12.32,7,1,Sí,Jugabilidad complicada
10/13/2022 18:41:29,Sí,Femenino,18,Ingeniería Química,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,Celular,2,MMO,"Valve (Dota, Half Life, Portal, etc)",30,6,16.00,7,Ninguno,Sí,No me llama la atención
10/13/2022 18:45:12,Sí,Masculino,20,Ingeniería Civil,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),4,MOBAs,"Valve (Dota, Half Life, Portal, etc)",30,6,17.00,7,Ninguno,Sí,Jugabilidad complicada
10/13/2022 18:46:31,Sí,Femenino,23,Ingeniería Industrial,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,PC (Computadora),3,MOBAs,"Valve (Dota, Half Life, Portal, etc)",80,8,15.00,7,Ninguno,Sí,Jugabilidad complicada
