Fecha, "Indice Precios al por Mayor"
Dic12,98.469826
Ene13,97.705693
Feb13,97.779778
Mar13,98.055379
Abr13,98.102304
May13,97.812589
Jun13,98.612014
Jul13,99.567893
Ago13,100.409275
Sep13,100.930875
Oct13,100.51232
Nov13,100.10692
Dic13,100
Ene14,100.025157
Feb14,100.22934
Mar14,100.611395
Abr14,100.67067
May14,100.854473
Jun14,100.702046
Jul14,100.804009
Ago14,101.015792
Sep14,101.363528
Oct14,101.861474
Nov14,101.790116
Dic14,101.473342
Ene15,101.158245
Feb15,101.512527
Mar15,102.210227
Abr15,102.161903
May15,102.550119
Jun15,102.817342
Jul15,102.773215
Ago15,103.024204
Sep15,103.255029
Oct15,103.27552
Nov15,104.021033
Dic15,104.101632
Ene16,104.129063
Feb16,104.371647
Mar16,104.065551
Abr16,103.366032
May16,103.286323
Jun16,103.864684
Jul16,103.555669
Ago16,104.000491
Sep16,104.821468
Oct16,105.30254
Nov16,105.531216
Dic16,106.095446
Ene17,106.131342
Feb17,105.469199
Mar17,105.895271
Abr17,105.626725
May17,105.488294
Jun17,105.350833
Jul17,105.236607
Ago17,105.432114
Sep17,105.656033
Oct17,105.577594
Nov17,105.407593
Dic17,105.470868
Ene18,105.740105
Feb18,106.137559
Mar18,106.235179
Abr18,106.140323
May18,106.88285
Jun18,107.183083
Jul18,107.257386
Ago18,107.398976
Sep18,108.072167
Oct18,108.494936
Nov18,109.011678
Dic18,108.870514
Ene19,108.514126
Feb19,108.023271
Mar19,108.053674
Abr19,108.345848
May19,108.544932
Jun19,108.452999
Jul19,108.49286
Ago19,108.832239
Sep19,108.816647
Oct19,108.948766
Nov19,108.792462
Dic19,108.744652
Ene20,108.359098
Feb20,108.211353
Mar20,108.515766
Abr20,108.271432
May20,108.140915
Jun20,107.974709
Jul20,108.550999
Ago20,108.91762
Sep20,109.053479
Oct20,109.325709
Nov20,109.722593
Dic20,110.440773
Ene21,111.618515
Feb21,112.808299
Mar21,114.623015
Abr21,114.611266
May21,115.857859
Jun21,117.973983
Jul21,119.753337
Ago21,121.969409
Sep21,123.389081
Oct21,124.514873
Nov21,124.97825
Dic21,125.433801
Ene22,125.108313
Feb22,125.677568
Mar22,127.90781
Abr22,129.571076
May22,131.757744
Jun22,132.259752
Jul22,134.846248
Ago22,134.479765
Sep22,134.713713
Oct22,135.81764
Nov22,135.748872
Dic22,134.248217
Ene23,134.766156
Feb23,135.868886
Mar23,135.170708
Abr23,135.062645
