ID,Nombre,Ano_de_publicacion,Min_jugadores,Max_jugadores,Min_tiempo_de_juego,Max_tiempo_de_juego,Min_edad,Min_comunidad,Max_comunidad,Dependencia_lenguaje,Nota,Complejidad,Cnt_partidas_jugadas,Premios,Categorias
28720,Brass  Lancashire,2007,2,4,60,120,14,4,4,1,8.14857,3.8637,52461,7,"['Economic', 'Industry / Manufacturing', 'Transportation']"
183394,Viticulture Essential Edition,2015,1,6,45,90,13,3,6,3,8.1167,2.9369,63191,0,"['Economic', 'Farming']"
205637,Arkham Horror  The Card Game,2016,1,2,60,120,14,2,N/A,4,8.19296,3.3387,110317,13,"['Adventure', 'Card Game', 'Collectible Components', 'Fantasy', 'Horror', 'Novel-based']"
3076,Puerto Rico,2002,3,5,90,150,12,4,5,3,8.02082,3.285,155923,18,"['City Building', 'Economic', 'Farming']"
177736,A Feast for Odin,2016,1,4,30,120,12,3,4,3,8.18223,3.8462,41658,6,"['Economic', 'Industry / Manufacturing', 'Medieval', 'Puzzle']"
96848,Mage Knight Board Game,2011,1,4,60,240,14,1,3,4,8.10013,4.2849,57915,8,"['Adventure', 'Exploration', 'Fantasy', 'Fighting']"
164928,Orl\u00e9ans,2014,2,4,90,90,12,4,4,1,8.08174,3.0637,52610,13,"['Medieval', 'Religious', 'Travel']"
102794,Caverna  The Cave Farmers,2013,1,7,30,210,12,4,5,3,8.0456,3.7852,54235,6,"['Animals', 'Economic', 'Fantasy', 'Farming']"
266192,Wingspan,2019,1,5,40,70,10,3,4,4,8.10343,2.3693,103636,5,"['Animals', 'Card Game', 'Economic', 'Educational']"
175914,Food Chain Magnate,2015,2,5,120,240,14,3,5,2,8.17751,4.1971,27204,10,"['Economic', 'Industry / Manufacturing']"
31260,Agricola,2007,1,5,30,150,12,3,5,4,7.97387,3.6372,230789,32,"['Animals', 'Economic', 'Farming']"
205059,Mansions of Madness  Second Edition,2016,1,5,120,180,14,3,5,4,8.11713,2.6719,48376,6,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Horror', 'Miniatures']"
170216,Blood Rage,2015,2,4,60,90,14,4,N/A,3,8.0064,2.8692,55499,12,"['Fantasy', 'Fighting', 'Miniatures', 'Mythology']"
55690,Kingdom Death  Monster,2015,1,4,60,180,17,4,4,4,8.73827,4.2169,27062,6,"['Adventure', 'Fantasy', 'Horror', 'Mature / Adult', 'Miniatures', 'Mythology']"
221107,Pandemic Legacy  Season 2,2017,2,4,60,60,14,4,4,4,8.19898,3.268,74472,8,"['Environmental', 'Exploration', 'Medical']"
2651,Power Grid (Recharged Version),2004,2,6,120,120,12,4,6,1,7.87953,3.2749,124015,17,"['Economic', 'Industry / Manufacturing']"
209010,Mechs vs. Minions,2016,2,4,60,90,14,4,4,3,8.0927,2.413,43493,8,"['Fantasy', 'Fighting', 'Miniatures', 'Video Game Theme']"
25613,Through the Ages  A Story of Civilization,2006,2,4,120,120,12,3,4,4,7.97122,4.1702,66611,11,"['Civilization', 'Economic']"
164153,Star Wars  Imperial Assault,2014,2,5,60,120,14,2,5,4,8.04603,3.2979,67188,7,"['Adventure', 'Fighting', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']"
126163,Tzolk'in  The Mayan Calendar,2012,2,4,90,90,13,4,4,1,7.91679,3.6552,72108,21,"['Ancient', 'Civilization', 'Economic', 'Farming', 'Mythology']"
237182,Root,2018,2,4,60,90,10,4,4,4,8.06087,3.5806,37680,20,"['Animals', 'Fantasy', 'Wargame']"
72125,Eclipse,2011,2,6,60,180,14,4,6,1,7.92324,3.6915,48263,17,"['Civilization', 'Fighting', 'Science Fiction', 'Space Exploration', 'Wargame']"
230802,Azul,2017,2,4,30,45,8,2,4,1,7.87079,1.7875,231420,28,"['Abstract Strategy', 'Renaissance']"
35677,Le Havre,2008,1,5,30,150,12,3,4,3,7.8798,3.7497,62917,20,"['City Building', 'Economic', 'Industry / Manufacturing', 'Nautical']"
167355,Nemesis,2018,1,5,90,180,12,4,5,3,8.49814,3.3077,12310,1,"['Adventure', 'Horror', 'Miniatures', 'Science Fiction']"
216132,Clans of Caledonia,2017,1,4,30,120,12,4,4,1,8.03026,3.4317,31144,7,"['Economic', 'Farming']"
171623,The Voyages of Marco Polo,2015,2,4,40,100,12,4,4,1,7.92532,3.1955,57317,15,"['Dice', 'Economic', 'Medieval', 'Travel']"
121921,Robinson Crusoe  Adventures on the Cursed Island,2012,1,4,60,120,14,N/A,4,4,7.88173,3.762,73330,8,"['Adventure', 'Exploration', 'Fighting', 'Novel-based']"
124742,Android  Netrunner,2012,2,2,45,45,14,2,2,4,7.88273,3.38,298264,9,"['Bluffing', 'Card Game', 'Collectible Components', 'Science Fiction']"
185343,Anachrony Essential Edition,2017,1,4,30,120,15,3,4,1,8.09659,3.9711,17958,7,"['Economic', 'Science Fiction']"
68448,7 Wonders,2010,2,7,30,30,10,4,7,1,7.77014,2.3367,377363,50,"['Ancient', 'Card Game', 'City Building', 'Civilization']"
28143,Race for the Galaxy,2007,2,4,30,60,12,2,4,2,7.7628,2.9756,462068,16,"['Card Game', 'Civilization', 'Economic', 'Science Fiction', 'Space Exploration']"
122515,Keyflower,2012,2,6,90,120,12,4,6,1,7.83658,3.3422,42194,10,"['City Building', 'Economic', 'Nautical', 'Renaissance', 'Territory Building', 'Transportation']"
62219,Dominant Species,2010,2,6,120,240,14,4,6,3,7.84917,4.0394,27817,9,"['Animals', 'Environmental', 'Prehistoric']"
159675,Fields of Arle,2014,1,2,60,120,13,2,2,2,8.10495,3.893,18836,6,"['Economic', 'Farming', 'Industry / Manufacturing']"
18602,Caylus Premium Limited Edition,2005,2,5,60,150,12,3,5,1,7.79875,3.8095,58773,17,"['City Building', 'Economic', 'Medieval']"
110327,Lords of Waterdeep,2012,2,5,60,120,12,3,5,3,7.76062,2.4762,128486,10,"['City Building', 'Fantasy']"
157354,Five Tribes  The Djinns of Naqala,2014,2,4,40,80,13,2,4,1,7.77088,2.8544,75835,14,"['Animals', 'Arabian', 'Fantasy', 'Mythology']"
125153,The Gallerist,2015,1,4,60,150,13,4,4,1,8.01962,4.2812,17809,8,['Economic']
201808,Clank!  A Deck-Building Adventure,2016,2,4,30,60,12,3,4,3,7.80783,2.203,70614,9,"['Adventure', 'Fantasy']"
12493,Twilight Imperium (Third Edition),2005,3,6,180,240,14,6,N/A,4,7.85887,4.2483,24243,2,"['Civilization', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']"
93,El Grande,1995,2,5,60,120,12,5,5,3,7.76578,3.0638,38627,4,"['Medieval', 'Renaissance']"
205896,Rising Sun,2018,3,5,90,120,14,4,N/A,2,7.93891,3.2761,21268,9,"['Bluffing', 'Fantasy', 'Miniatures', 'Mythology', 'Negotiation', 'Wargame']"
146021,Eldritch Horror,2013,1,8,120,240,14,4,6,4,7.83617,3.3109,63966,2,"['Adventure', 'Fantasy', 'Fighting', 'Horror', 'Novel-based', 'Travel']"
172386,Mombasa,2015,2,4,75,150,12,4,4,1,7.91504,3.9094,19671,16,['Economic']
40834,Dominion  Intrigue,2009,2,4,30,30,13,3,4,3,7.73324,2.432,96454,8,"['Card Game', 'Medieval']"
37111,Battlestar Galactica  The Board Game,2008,3,6,120,180,14,5,6,4,7.74,3.2358,71226,12,"['Bluffing', 'Deduction', 'Movies / TV / Radio theme', 'Political', 'Science Fiction', 'Space Exploration']"
178900,Codenames XXL,2015,2,8,15,15,14,6,N/A,5,7.66889,1.3078,401668,27,"['Card Game', 'Deduction', 'Party Game', 'Spies/Secret Agents', 'Word Game']"
161533,Lisboa,2017,1,4,60,120,12,3,4,1,8.17991,4.5358,12216,8,"['City Building', 'Economic', 'Political']"
163412,Patchwork,2014,2,2,15,30,8,2,2,1,7.68609,1.668,166801,9,"['Abstract Strategy', 'Puzzle']"
73439,Troyes,2010,2,4,90,90,12,3,4,1,7.76486,3.4537,44961,13,"['Dice', 'Economic', 'Medieval']"
229853,Teotihuacan  City of Gods,2018,1,4,90,120,12,3,4,1,7.96554,3.7113,23181,7,['Ancient']
521,\u52a0\u62ff\u5927\u68cb,1876,2,4,30,30,8,2,4,1,7.83304,1.2641,114325,0,['Action / Dexterity']
199792,Everdell,2018,1,4,40,80,13,3,4,3,8.00886,2.8153,24360,5,"['Animals', 'Card Game', 'City Building', 'Fantasy']"
192135,Too Many Bones,2017,1,4,60,120,12,3,4,3,8.48024,3.8254,14769,2,"['Adventure', 'Dice', 'Fantasy']"
144733,Russian Railroads,2013,2,4,90,120,12,4,4,1,7.78561,3.4177,41051,12,"['Industry / Manufacturing', 'Trains']"
132531,Roll for the Galaxy,2014,2,5,45,45,13,3,5,3,7.7039,2.7725,107618,6,"['Civilization', 'Dice', 'Economic', 'Science Fiction', 'Space Exploration']"
191189,Aeon's End,2016,1,4,60,60,14,2,4,4,8.03978,2.7874,32742,4,"['Card Game', 'Fantasy', 'Fighting', 'Science Fiction']"
2511,Sherlock Holmes Consulting Detective  The Thames Murders & Other Cases,1981,1,8,60,120,13,2,4,5,7.7741,2.7013,25747,6,"['Deduction', 'Murder/Mystery', 'Novel-based', 'Post-Napoleonic', 'Spies/Secret Agents']"
42,Tigris & Euphrates,1997,2,4,90,90,12,4,4,1,7.70272,3.5162,55014,3,"['Ancient', 'Civilization', 'Territory Building']"
102680,Trajan,2011,2,4,60,120,12,4,4,1,7.77469,3.6431,36510,13,"['Ancient', 'Political']"
236457,Architects of the West Kingdom,2018,1,5,60,80,12,4,5,2,7.86296,2.7591,31360,9,"['City Building', 'Medieval']"
200680,Agricola (Revised Edition),2016,1,4,30,120,12,4,4,4,8.06574,3.4818,13426,0,"['Animals', 'Economic', 'Farming']"
36218,Dominion,2008,2,4,30,30,13,3,4,3,7.63451,2.3606,627501,41,"['Card Game', 'Medieval']"
30549,Pandemic,2008,2,4,45,45,8,4,4,2,7.62214,2.419,306352,34,['Medical']
247763,Underwater Cities,2018,1,4,80,150,12,2,3,3,8.09731,3.5591,16403,5,"['Card Game', 'City Building', 'Civilization', 'Industry / Manufacturing', 'Nautical', 'Science Fiction']"
170042,Raiders of the North Sea,2015,2,4,60,80,12,3,4,3,7.80512,2.5222,34071,5,"['Medieval', 'Nautical']"
198928,Pandemic  Iberia,2016,2,5,45,45,8,4,5,2,7.95053,2.5929,17445,2,['Medical']
103885,Star Wars  X-Wing Miniatures Game,2012,2,2,30,45,14,2,N/A,3,7.72744,2.4812,98332,11,"['Aviation / Flight', 'Bluffing', 'Collectible Components', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction']"
127023,Kemet,2012,2,5,90,120,13,4,5,1,7.73405,2.995,23776,0,"['Ancient', 'Fighting', 'Miniatures', 'Mythology']"
146508,T.I.M.E Stories,2015,2,4,90,90,12,4,4,5,7.67362,2.6065,49938,11,"['Adventure', 'Mature / Adult', 'Puzzle', 'Science Fiction']"
196340,Yokohama,2016,2,4,90,90,14,3,4,2,7.88892,3.3117,17794,3,['Economic']
150376,Dead of Winter  A Crossroads Game,2014,2,5,60,120,13,4,5,4,7.634,3.0059,62866,11,"['Bluffing', 'Deduction', 'Horror', 'Zombies']"
182874,Grand Austria Hotel,2015,2,4,60,120,12,2,3,1,7.78966,3.2274,32761,5,['Economic']
34635,Stone Age,2008,2,4,60,90,10,4,4,1,7.58793,2.4858,148451,26,"['Dice', 'Prehistoric']"
175155,Forbidden Stars,2015,2,4,120,180,14,3,4,4,7.96296,3.8091,9979,2,"['Bluffing', 'Fighting', 'Miniatures', 'Science Fiction', 'Wargame']"
172287,Champions of Midgard,2015,2,4,60,90,10,4,4,2,7.78284,2.5984,24090,0,"['Adventure', 'Dice', 'Fantasy', 'Fighting', 'Medieval', 'Mythology']"
104162,Descent  Journeys in the Dark (Second Edition),2012,2,5,120,120,14,5,5,4,7.71381,3.2016,58530,1,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']"
161970,Alchemists,2014,2,4,120,120,13,4,4,3,7.69133,3.8768,30080,9,"['Deduction', 'Fantasy']"
203993,Lorenzo il Magnifico,2016,2,4,60,120,12,4,4,1,7.8858,3.2977,19563,2,['Renaissance']
147020,Star Realms,2014,2,2,20,20,12,2,N/A,2,7.60028,1.9503,276472,11,"['Card Game', 'Fighting', 'Science Fiction']"
146652,Legendary Encounters  An Alien Deck Building Game,2014,1,5,30,60,17,3,5,3,7.78246,2.7051,34672,4,"['Card Game', 'Fighting', 'Horror', 'Movies / TV / Radio theme', 'Science Fiction']"
9609,War of the Ring,2004,2,4,120,120,12,2,4,4,7.77255,3.8417,13174,6,"['Adventure', 'Fantasy', 'Miniatures', 'Novel-based', 'Territory Building', 'Wargame']"
244521,The Quacks of Quedlinburg,2018,2,4,45,45,10,4,4,3,7.75405,1.9819,53438,10,['Medieval']
148949,Istanbul,2014,2,5,40,60,10,4,5,1,7.59753,2.595,70245,12,['Economic']
155821,Inis,2016,2,4,60,90,14,4,4,4,7.79062,2.8782,21779,6,"['Card Game', 'Miniatures', 'Mythology']"
103343,A Game of Thrones  The Board Game (Second Edition),2011,3,6,120,240,14,6,6,2,7.63935,3.7086,28279,2,"['Bluffing', 'Fantasy', 'Negotiation', 'Novel-based', 'Political', 'Wargame']"
155426,Castles of Mad King Ludwig,2014,1,4,90,90,13,4,4,2,7.59941,2.6562,63688,13,"['Post-Napoleonic', 'Puzzle']"
128882,The Resistance  Avalon,2012,5,10,30,30,13,7,10,2,7.60662,1.7775,107379,3,"['Bluffing', 'Card Game', 'Deduction', 'Fantasy', 'Medieval', 'Negotiation']"
14996,Ticket to Ride  Europe,2005,2,5,30,60,8,4,5,1,7.55324,1.9486,145215,6,['Trains']
233371,Clank! In! Space!,2017,2,4,45,90,12,3,4,3,7.88039,2.5,19079,2,['Science Fiction']
43111,Chaos in the Old World,2009,3,4,60,120,13,4,4,4,7.67164,3.1823,23903,9,"['Fantasy', 'Fighting', 'Horror', 'Mythology', 'Wargame']"
225694,Decrypto,2018,3,8,15,45,12,4,8,5,7.80921,1.813,30072,7,"['Deduction', 'Party Game', 'Word Game']"
17133,Railways of the World,2005,2,6,120,120,10,5,6,3,7.68907,3.024,26585,4,"['Trains', 'Transportation', 'Video Game Theme']"
239188,Chronicles of Crime,2018,1,4,60,90,14,2,4,4,7.91598,2.1022,20643,9,"['Adventure', 'Deduction', 'Murder/Mystery']"
70149,Ora et Labora,2011,1,4,60,180,13,3,4,2,7.70562,3.9043,17954,10,"['City Building', 'Economic', 'Industry / Manufacturing', 'Medieval', 'Religious', 'Territory Building']"
14105,Commands and Colors  Ancients,2006,2,2,60,60,12,2,2,3,7.77981,2.6961,35480,6,"['Ancient', 'Wargame']"
221194,Dinosaur Island,2017,1,4,90,120,8,3,4,3,7.79778,2.9841,22326,6,"['Economic', 'Science Fiction']"
233398,Endeavor  Age of Sail,2018,2,5,60,90,13,4,5,2,8.08502,2.8015,9597,1,"['Exploration', 'Nautical', 'Renaissance']"
123260,Suburbia,2012,1,4,90,90,8,3,4,3,7.54926,2.7721,59148,2,"['City Building', 'Economic']"
77423,The Lord of the Rings  The Card Game,2011,1,2,30,60,13,2,N/A,4,7.63572,3.1583,182268,7,"['Adventure', 'Card Game', 'Fantasy', 'Novel-based']"
194655,Santorini,2016,2,4,20,20,8,2,4,1,7.57212,1.7361,124943,4,"['Abstract Strategy', 'Ancient', 'Mythology']"
54043,Jaipur,2009,2,2,30,30,12,2,2,1,7.51641,1.5049,130300,8,"['Animals', 'Card Game']"
43015,Hansa Teutonica,2009,2,5,45,90,12,5,5,1,7.64391,3.125,33377,10,['Medieval']
126042,Nations,2013,1,5,40,200,14,3,5,3,7.66073,3.5345,26953,5,"['Card Game', 'Civilization', 'Economic']"
4098,Age of Steam  Deluxe Edition,2002,1,6,120,120,13,4,6,2,7.72871,3.9198,21585,4,"['Economic', 'Trains', 'Transportation']"
175640,Vinhos Deluxe Edition,2016,1,4,60,135,14,4,4,1,8.22361,4.0722,6462,2,"['Economic', 'Industry / Manufacturing']"
10630,Memoir '44,2004,2,8,30,60,8,2,2,3,7.55646,2.2752,111328,6,"['Miniatures', 'Wargame', 'World War II']"
91,Paths of Glory,1999,2,2,480,480,14,2,2,4,8.04126,3.827,7026,4,"['Wargame', 'World War I']"
233867,\u6b61\u8fce\u4f86\u5230,2018,1,100,25,25,10,4,12,1,7.65254,1.8333,65958,8,['City Building']
224037,Codenames  Duet,2017,2,4,15,30,11,2,4,5,7.64928,1.3353,72338,7,"['Card Game', 'Deduction', 'Spies/Secret Agents', 'Word Game']"
39463,Cosmic Encounter  42nd Anniversary Edition,2008,3,5,60,120,12,5,N/A,4,7.54488,2.5715,64091,2,"['Bluffing', 'Negotiation', 'Science Fiction', 'Space Exploration']"
171131,Captain Sonar,2016,2,8,45,60,14,8,8,1,7.60333,2.126,35787,9,"['Deduction', 'Fighting', 'Nautical', 'Real-time']"
155068,Arcadia Quest,2014,2,4,60,60,13,4,4,3,7.77327,2.5316,21895,1,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures']"
21050,Combat Commander  Europe,2006,2,2,60,180,12,2,2,4,7.92614,3.2318,24323,8,"['Wargame', 'World War II']"
195421,Near and Far,2017,2,4,90,120,13,3,4,4,7.86953,2.8279,18990,6,"['Adventure', 'Exploration']"
163068,Trickerion  Legends of Illusion,2015,2,4,60,180,14,4,4,3,7.87665,4.17,12852,3,"['2015 Cardboard Republic Tactician Laurel Nominee', '2015 Golden Geek Best Board Game Artwork/Presentation Nominee', '2016 Jogo do Ano Nominee']"
104006,Village,2011,2,4,60,90,12,4,4,1,7.53635,3.0739,38191,21,"['Farming', 'Medieval']"
118048,Targi,2012,2,2,60,60,12,2,2,3,7.62305,2.3503,28600,4,['Card Game']
269385,The Lord of the Rings  Journeys in Middle-earth,2019,1,5,60,120,14,2,4,4,8.14029,2.4765,22739,0,"['Adventure', 'Fantasy', 'Fighting', 'Novel-based']"
188920,This War of Mine  The Board Game,2017,1,6,45,120,18,1,3,5,7.88729,3.1653,12096,6,"['Adventure', 'Exploration', 'Mature / Adult', 'Modern Warfare', 'Video Game Theme']"
31627,Ticket to Ride  Nordic Countries,2007,2,3,30,60,8,3,3,1,7.64139,1.9793,33641,0,['Trains']
199561,Sagrada,2017,1,4,30,45,14,2,4,2,7.54653,1.9114,105595,9,"['Dice', 'Puzzle']"
82222,Xia  Legends of a Drift System,2014,3,5,60,180,12,3,4,3,7.85838,3.1444,13706,6,"['Adventure', 'Exploration', 'Fighting', 'Science Fiction', 'Space Exploration', 'Transportation']"
25021,Sekigahara  The Unification of Japan,2011,2,2,180,180,14,2,2,1,8.062,2.7616,7377,6,"['Civil War', 'Pike and Shot', 'Wargame']"
244522,That's Pretty Clever,2018,1,4,30,30,8,2,4,1,7.65216,1.9171,123154,6,['Dice']
148228,\u062c\u0648\u0627\u0647\u0631\u064a,2014,2,4,30,30,10,3,4,1,7.46486,1.8062,320053,20,"['Card Game', 'Economic', 'Renaissance']"
9216,Goa  A New Expedition,2004,2,4,90,90,12,4,4,2,7.59568,3.3784,23683,7,"['Economic', 'Farming', 'Nautical', 'Renaissance']"
215,Tichu,1991,4,4,60,60,10,4,4,1,7.58429,2.3401,104072,3,['Card Game']
223321,Detective  A Modern Crime Board Game,2018,1,5,120,180,16,N/A,4,4,8.0414,2.7172,10141,9,"['Deduction', 'Murder/Mystery']"
129437,Legendary  A Marvel Deck Building Game,2012,1,5,30,60,14,3,4,4,7.59345,2.4493,121670,2,"['Card Game', 'Comic Book / Strip']"
146886,La Granja,2014,1,4,90,120,12,4,4,3,7.69331,3.5812,19511,7,"['Economic', 'Farming']"
176189,Zombicide  Black Plague,2015,1,6,60,180,14,3,6,2,7.71281,2.5312,26545,1,"['Adventure', 'Fantasy', 'Fighting', 'Horror', 'Medieval', 'Miniatures']"
463,Magic  The Gathering \u2013 White Planeswalkers Ajani Goldmane,1993,2,2,20,20,13,2,N/A,5,7.49478,3.1904,440565,10,"['Card Game', 'Collectible Components', 'Fantasy', 'Fighting']"
188,Go,-2200,2,2,30,180,8,2,2,1,7.63465,3.9956,53824,0,['Abstract Strategy']
555,The Princes of Florence,2000,2,5,75,100,12,5,5,3,7.54206,3.2505,26698,13,"['City Building', 'Renaissance']"
27833,Steam,2009,3,5,90,90,10,4,5,1,7.61627,3.4582,18226,6,"['Economic', 'Trains', 'Transportation']"
9209,Ticket to Ride \u0633\u0643\u0629 \u0633\u0641\u0631,2004,2,5,30,60,8,4,5,1,7.43684,1.8589,230862,23,['Trains']
128621,Viticulture,2013,2,6,90,90,13,3,5,3,7.62456,2.9369,25115,0,"['Economic', 'Farming']"
182631,Star Realms  Colony Wars,2015,2,2,20,20,12,2,N/A,2,7.88402,1.9221,16317,1,"['Card Game', 'Fighting', 'Science Fiction']"
12,Ra,1999,2,5,45,60,12,3,5,1,7.46879,2.3496,69001,2,"['Ancient', 'Mythology']"
54998,Cyclades,2009,2,5,60,90,13,4,5,1,7.52257,2.83,28328,9,"['Ancient', 'City Building', 'Civilization', 'Fighting', 'Miniatures', 'Mythology']"
822,Carcassonne,2000,2,5,30,45,7,2,5,1,7.42103,1.921,379638,12,"['City Building', 'Medieval', 'Territory Building']"
109276,Kanban  Driver's Edition,2014,2,4,90,120,12,3,4,1,7.85014,4.325,12022,6,"['Economic', 'Industry / Manufacturing']"
20551,Shogun,2006,3,5,90,120,12,4,5,1,7.54969,3.3728,16381,10,"['Economic', 'Medieval', 'Territory Building']"
31481,Galaxy Trucker,2007,2,4,60,60,10,4,4,2,7.42531,2.3242,72314,10,"['Real-time', 'Science Fiction', 'Space Exploration', 'Transportation']"
245638,Coimbra,2018,2,4,60,90,14,3,4,2,7.72799,3.2863,16610,5,"['Dice', 'Renaissance']"
220877,Rajas of the Ganges,2017,2,4,45,75,12,4,4,1,7.69189,2.8482,23098,5,"['Dice', 'Economic', 'Territory Building']"
7854,YINSH,2003,2,2,30,60,9,2,2,1,7.68293,2.7039,24623,7,['Abstract Strategy']
192291,Sushi Go Party!,2016,2,8,20,20,8,4,8,2,7.49379,1.3255,60345,2,"['Card Game', 'Party Game']"
285774,Marvel Champions  The Card Game,2019,1,4,45,90,14,1,3,4,8.37437,2.64,21759,0,"['Card Game', 'Comic Book / Strip']"
421,1830  The Game of Railroads and Robber Barons,1986,2,7,180,360,14,4,6,2,7.87498,4.1598,9335,0,"['Economic', 'Trains', 'Transportation']"
156129,Deception  Murder in Hong Kong,2014,4,12,20,20,14,6,12,3,7.51194,1.5957,68975,0,"['Bluffing', 'Deduction', 'Murder/Mystery', 'Party Game']"
176494,Isle of Skye  From Chieftain to King,2015,2,5,30,50,8,3,5,1,7.45078,2.2402,58732,12,"['Economic', 'Territory Building']"
155873,Power Grid Deluxe  Europe\/North America,2014,2,6,120,120,12,4,6,1,8.03222,3.2,5034,0,"['Economic', 'Industry / Manufacturing']"
140620,Lewis & Clark,2013,1,5,120,120,14,3,4,1,7.50926,3.3466,27349,9,"['American West', 'Racing']"
154203,Imperial Settlers,2014,1,4,45,90,10,2,4,3,7.45114,2.7736,64794,8,"['Ancient', 'Card Game', 'City Building', 'Civilization']"
188834,Secret Hitler,2016,5,10,45,45,13,8,10,2,7.57697,1.6851,66580,1,"['Bluffing', 'Card Game', 'Deduction', 'Humor', 'Party Game', 'Political']"
19857,Glory to Rome,2005,2,5,60,60,12,3,5,4,7.48492,2.9307,55035,6,"['Ancient', 'Card Game', 'City Building', 'Economic']"
24181,Imperial,2006,2,6,120,180,13,4,6,2,7.61384,3.5731,15339,8,"['Economic', 'Nautical', 'Political']"
198994,Hero Realms,2016,2,4,20,30,12,2,4,3,7.6441,1.9179,46680,4,"['Card Game', 'Fantasy', 'Fighting']"
97207,Dungeon Petz,2011,2,4,90,90,13,4,4,1,7.49825,3.5807,20452,6,"['Animals', 'Fantasy', 'Humor']"
127060,Bora Bora,2013,2,4,60,120,12,4,4,1,7.56414,3.7367,19929,4,['Dice']
218417,Aeon's End  War Eternal,2017,1,4,60,60,14,2,4,4,8.48219,2.8833,7081,3,"['Card Game', 'Fantasy', 'Science Fiction']"
27708,1960  The Making of the President,2007,2,2,90,120,12,2,2,4,7.59512,3.2013,14671,5,['Political']
22545,Age of Empires III  The Age of Discovery,2007,2,5,90,120,10,4,N/A,2,7.55374,3.1277,20548,9,"['Civilization', 'Exploration', 'Renaissance', 'Video Game Theme']"
108745,Seasons,2012,2,4,60,60,14,2,4,4,7.43155,2.7745,64324,9,"['Card Game', 'Dice', 'Fantasy']"
38453,Space Alert,2008,1,5,30,30,12,4,5,3,7.46067,2.9531,57998,10,"['Electronic', 'Real-time', 'Science Fiction', 'Space Exploration']"
