Marca temporal,Edad,Género,Carrera,Ciclo,Horas del sueño al día,Calidad del sueño,Tiempo en conciliar el sueño (horas),¿Tienes problemas para poder ir a dormir?,¿Te despiertas cansado por las mañanas?,¿Presentas sueño durante el día?,Promedio ponderado,¿Consideras que le prestas atención a las clases?,¿Tienes dificultades para realizar las actividades estudiantiles?
1/05/2022 14:32:45,20,Mujer,Ingeniería Industrial,5,7,Buena,3,Sí,Sí,Sí,menor a 11,Algunas veces,Algunas veces
1/05/2022 14:33:58,21,Hombre,Ingeniería Mecatrónica,8,7,Mala,2,Sí,Sí,A veces,entre 11 y 15,Algunas veces,Muchas veces
2/05/2022 12:07:23,18,Mujer,Ingeniería Química,3,8,Muy buena,2,No,No,A veces,entre 11 y 15,Muchas veces,Algunas veces
2/05/2022 15:05:54,19,Hombre,Bioingeniería,3,6,Mala,2,Sí,No,A veces,mayor a 15,Muchas veces,Nunca
2/05/2022 15:13:29,19,Hombre,Bioingeniería,3,8,Buena,3,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
2/05/2022 15:19:37,21,Mujer,Ingeniería Mecánica,8,7,Buena,1,No,No,No,entre 11 y 15,Algunas veces,Algunas veces
2/05/2022 15:21:14,18,Mujer,Ingeniería Industrial,3,6,Muy buena,2,Sí,Sí,No,entre 11 y 15,Muchas veces,Nunca
2/05/2022 15:22:00,19,Mujer,Ingeniería Ambiental,3,8,Muy buena,1,A veces,No,A veces,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 6:43:32,19,Hombre,Ingeniería Civil,3,7,Mala,3,Sí,Sí,A veces,menor a 11,Algunas veces,Muchas veces
3/05/2022 10:58:07,18,Mujer,Ingeniería Industrial,3,7,Buena,1,A veces,Sí,Sí,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 12:08:44,18,Mujer,Ingeniería Industrial,3,8,Muy buena,1,No,No,Sí,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 12:29:59,20,Mujer,Bioingeniería,5,8,Buena,2,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Muchas veces
3/05/2022 12:37:14,18,Hombre,Ingeniería Civil,2,5,Demasiado mala,1,Sí,Sí,Sí,entre 11 y 15,Algunas veces,Algunas veces
3/05/2022 12:39:48,18,Mujer,Bioingeniería,3,7,Buena,2,A veces,No,A veces,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 13:53:35,19,Hombre,Ciencia de la Computación,3,6,Demasiado mala,4,Sí,Sí,Sí,menor a 11,Nunca,Casi siempre
3/05/2022 16:28:05,18,Hombre,Ciencia de la Computación,2,8,Buena,2,No,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 18:35:21,19,Mujer,Administración y negocios digitales,2,9,Buena,3,No,No,No,mayor a 15,Casi siempre,Nunca
3/05/2022 18:36:26,20,Mujer,Ingeniería Química,3,6,Demasiado mala,4,Sí,Sí,Sí,menor a 11,Nunca,Casi siempre
3/05/2022 18:38:07,21,Mujer,Ingeniería Industrial,9,7,Buena,1,A veces,Sí,Sí,entre 11 y 15,Algunas veces,Algunas veces
3/05/2022 18:38:57,19,Mujer,Ciencia de Datos,3,8,Buena,2,A veces,No,A veces,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 18:40:48,19,Mujer,Bioingeniería,4,6,Mala,3,Sí,Sí,Sí,menor a 11,Algunas veces,Muchas veces
3/05/2022 18:41:45,19,Mujer,Ingeniería Ambiental,3,7,Buena,3,A veces,Sí,Sí,entre 11 y 15,Algunas veces,Casi siempre
3/05/2022 18:42:33,20,Hombre,Ingeniería Mecatrónica,5,5,Demasiado mala,3,Sí,Sí,Sí,menor a 11,Nunca,Casi siempre
3/05/2022 18:44:29,20,Hombre,Ingeniería Mecatrónica,6,7,Buena,1,A veces,Sí,A veces,entre 11 y 15,Algunas veces,Algunas veces
3/05/2022 18:45:27,21,Mujer,Ingeniería de la energía,10,5,Demasiado mala,4,Sí,Sí,Sí,menor a 11,Nunca,Casi siempre
3/05/2022 18:47:32,20,Mujer,Ingeniería Civil,8,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
3/05/2022 18:48:56,21,Mujer,Ingeniería Ambiental,9,4,Demasiado mala,4,Sí,Sí,Sí,menor a 11,Nunca,Casi siempre
3/05/2022 18:49:29,20,Mujer,Ingeniería Industrial,9,9,Muy buena,1,No,No,A veces,mayor a 15,Muchas veces,Algunas veces
3/05/2022 18:50:26,19,Hombre,Ingeniería Mecatrónica,5,6,Mala,3,Sí,Sí,Sí,menor a 11,Algunas veces,Algunas veces
3/05/2022 18:54:51,21,Mujer,Ingeniería Industrial,10,7,Buena,2,A veces,Sí,A veces,entre 11 y 15,Algunas veces,Algunas veces
3/05/2022 18:56:55,19,Hombre,Ingeniería Electrónica,7,5,Demasiado mala,3,Sí,Sí,Sí,menor a 11,Nunca,Casi siempre
3/05/2022 18:57:32,18,Hombre,Ingeniería Electrónica,4,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
3/05/2022 18:59:19,19,Hombre,Ingeniería de la energía,3,7,Buena,2,A veces,Sí,A veces,entre 11 y 15,Algunas veces,Algunas veces
3/05/2022 18:59:56,18,Hombre,Ingeniería Mecánica,3,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
3/05/2022 19:00:32,19,Hombre,Bioingeniería,4,6,Mala,3,Sí,Sí,A veces,menor a 11,Algunas veces,Muchas veces
3/05/2022 19:01:52,21,Mujer,Ingeniería Industrial,10,5,Demasiado mala,4,Sí,Sí,Sí,menor a 11,Nunca,Muchas veces
3/05/2022 19:03:42,19,Mujer,Ingeniería Química,3,7,Buena,2,A veces,No,A veces,entre 11 y 15,Muchas veces,Muchas veces
3/05/2022 19:04:23,19,Mujer,Ingeniería Química,3,9,Muy buena,2,No,No,A veces,mayor a 15,Casi siempre,Algunas veces
3/05/2022 19:05:20,20,Hombre,Ciencia de la Computación,7,6,Mala,3,Sí,Sí,Sí,menor a 11,Nunca,Muchas veces
3/05/2022 19:06:34,21,Hombre,Ingeniería Mecánica,9,5,Demasiado mala,3,A veces,Sí,Sí,menor a 11,Algunas veces,Algunas veces
3/05/2022 19:42:18,18,Mujer,Administración y negocios digitales,3,8,Muy buena,1,No,No,A veces,mayor a 15,Muchas veces,Algunas veces
3/05/2022 19:42:50,19,Mujer,Administración y negocios digitales,3,8,Muy buena,2,A veces,No,No,entre 11 y 15,Casi siempre,Nunca
3/05/2022 19:43:46,21,Mujer,Ingeniería Civil,10,5,Demasiado mala,4,Sí,Sí,Sí,menor a 11,Algunas veces,Muchas veces
3/05/2022 19:44:17,18,Hombre,Ciencia de Datos,3,7,Buena,2,A veces,No,A veces,entre 11 y 15,Algunas veces,Algunas veces
3/05/2022 19:45:56,19,Hombre,Ingeniería Mecánica,4,5,Demasiado mala,4,Sí,Sí,Sí,menor a 11,Nunca,Casi siempre
3/05/2022 19:46:34,18,Mujer,Ciencia de Datos,3,7,Buena,2,A veces,Sí,Sí,entre 11 y 15,Algunas veces,Casi siempre
3/05/2022 19:47:59,20,Hombre,Ingeniería Electrónica,7,6,Mala,3,Sí,Sí,Sí,menor a 11,Casi siempre,Algunas veces
3/05/2022 19:50:02,19,Hombre,Bioingeniería,6,6,Demasiado mala,2,A veces,Sí,A veces,menor a 11,Algunas veces,Algunas veces
3/05/2022 19:52:11,21,Hombre,Ingeniería Civil,10,4,Demasiado mala,4,Sí,Sí,Sí,menor a 11,Nunca,Muchas veces
3/05/2022 19:53:05,21,Mujer,Ingeniería Industrial,10,9,Buena,1,A veces,No,No,mayor a 15,Casi siempre,Algunas veces
3/05/2022 19:54:15,20,Hombre,Ciencia de la Computación,8,6,Buena,2,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Muchas veces
3/05/2022 19:55:40,20,Hombre,Ingeniería Mecánica,7,4,Demasiado mala,3,Sí,Sí,Sí,menor a 11,Nunca,Algunas veces
3/05/2022 19:56:17,18,Mujer,Bioingeniería,2,7,Buena,1,A veces,No,No,entre 11 y 15,Muchas veces,Muchas veces
3/05/2022 19:57:07,19,Hombre,Ingeniería Ambiental,4,8,Buena,1,A veces,No,Sí,entre 11 y 15,Casi siempre,Algunas veces
3/05/2022 19:57:47,19,Hombre,Ingeniería Civil,3,7,Buena,2,A veces,Sí,Sí,entre 11 y 15,Algunas veces,Nunca
3/05/2022 19:58:49,18,Mujer,Bioingeniería,3,6,Mala,3,Sí,Sí,A veces,menor a 11,Nunca,Casi siempre
3/05/2022 19:59:41,21,Mujer,Ingeniería Civil,10,5,Demasiado mala,3,Sí,Sí,Sí,menor a 11,Algunas veces,Muchas veces
3/05/2022 20:00:34,19,Mujer,Ingeniería Química,2,7,Buena,2,A veces,No,Sí,entre 11 y 15,Algunas veces,Nunca
3/05/2022 20:01:08,19,Hombre,Ciencia de la Computación,3,7,Buena,2,A veces,Sí,A veces,menor a 11,Algunas veces,Algunas veces
3/05/2022 20:01:44,19,Hombre,Ciencia de Datos,3,8,Muy buena,1,A veces,No,Sí,entre 11 y 15,Casi siempre,Algunas veces
3/05/2022 20:02:17,18,Mujer,Administración y negocios digitales,2,7,Muy buena,2,A veces,No,A veces,entre 11 y 15,Algunas veces,Algunas veces
3/05/2022 20:02:47,18,Mujer,Administración y negocios digitales,2,7,Buena,1,A veces,Sí,Sí,menor a 11,Nunca,Algunas veces
3/05/2022 20:03:40,20,Hombre,Ingeniería de la energía,6,6,Mala,3,Sí,Sí,Sí,menor a 11,Casi siempre,Algunas veces
3/05/2022 20:04:20,20,Hombre,Ingeniería Mecatrónica,8,7,Buena,3,Sí,No,A veces,entre 11 y 15,Muchas veces,Muchas veces
3/05/2022 20:04:56,19,Hombre,Ingeniería Mecatrónica,3,8,Muy buena,1,A veces,No,Sí,mayor a 15,Casi siempre,Nunca
3/05/2022 20:05:41,20,Hombre,Ingeniería de la energía,6,5,Demasiado mala,3,Sí,Sí,Sí,menor a 11,Nunca,Algunas veces
3/05/2022 20:06:22,19,Hombre,Ingeniería Industrial,4,7,Muy buena,2,A veces,No,A veces,entre 11 y 15,Algunas veces,Algunas veces
3/05/2022 20:07:10,21,Mujer,Ingeniería Civil,9,5,Demasiado mala,4,Sí,Sí,Sí,menor a 11,Nunca,Casi siempre
3/05/2022 20:08:07,18,Mujer,Bioingeniería,2,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
3/05/2022 20:08:41,18,Mujer,Ingeniería Ambiental,2,7,Buena,2,A veces,No,No,mayor a 15,Muchas veces,Muchas veces
3/05/2022 20:09:15,18,Mujer,Administración y negocios digitales,2,8,Buena,2,No,No,No,entre 11 y 15,Casi siempre,Algunas veces
3/05/2022 20:09:58,20,Hombre,Ingeniería Electrónica,6,4,Demasiado mala,3,Sí,Sí,Sí,menor a 11,Algunas veces,Algunas veces
3/05/2022 20:10:36,21,Hombre,Ingeniería Civil,10,4,Demasiado mala,4,Sí,Sí,A veces,menor a 11,Nunca,Casi siempre
3/05/2022 20:11:23,21,Hombre,Ingeniería Mecánica,9,6,Mala,3,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Muchas veces
3/05/2022 20:12:08,19,Mujer,Ciencia de la Computación,2,8,Buena,2,A veces,No,No,entre 11 y 15,Muchas veces,Nunca
3/05/2022 20:12:37,19,Hombre,Ciencia de la Computación,3,7,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Algunas veces
3/05/2022 20:13:36,18,Mujer,Bioingeniería,2,6,Mala,3,A veces,Sí,Sí,entre 11 y 15,Algunas veces,Nunca
3/05/2022 20:14:05,21,Hombre,Ingeniería Electrónica,9,8,Buena,1,A veces,No,A veces,entre 11 y 15,Muchas veces,Muchas veces
3/05/2022 20:14:44,19,Hombre,Ingeniería Química,4,6,Mala,3,Sí,Sí,A veces,menor a 11,Nunca,Algunas veces
3/05/2022 20:15:30,20,Hombre,Ingeniería Mecatrónica,8,5,Mala,3,Sí,Sí,A veces,menor a 11,Algunas veces,Muchas veces
3/05/2022 20:16:07,18,Mujer,Ingeniería Industrial,3,6,Mala,3,A veces,Sí,Sí,entre 11 y 15,Algunas veces,Muchas veces
3/05/2022 20:16:44,18,Mujer,Bioingeniería,2,7,Muy buena,1,A veces,No,A veces,entre 11 y 15,Muchas veces,Muchas veces
3/05/2022 20:17:17,18,Hombre,Ingeniería Mecatrónica,2,9,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
3/05/2022 20:17:47,18,Hombre,Ingeniería Electrónica,2,8,Buena,1,A veces,No,No,entre 11 y 15,Muchas veces,Muchas veces
3/05/2022 20:18:29,21,Hombre,Ingeniería Civil,10,4,Demasiado mala,4,Sí,Sí,Sí,menor a 11,Nunca,Algunas veces
3/05/2022 20:19:04,21,Hombre,Ingeniería Mecatrónica,8,6,Demasiado mala,2,Sí,Sí,Sí,menor a 11,Algunas veces,Muchas veces
3/05/2022 20:30:12,18,Mujer,Administración y negocios digitales,3,7,Muy buena,2,A veces,No,Sí,menor a 11,Algunas veces,Algunas veces
3/05/2022 20:55:26,21,Mujer,Ingeniería Mecatrónica,6,6,Buena,1,A veces,Sí,A veces,entre 11 y 15,Casi siempre,Muchas veces
3/05/2022 20:56:31,19,Hombre,Bioingeniería,3,8,Muy buena,1,A veces,No,No,entre 11 y 15,Muchas veces,Muchas veces
3/05/2022 20:57:35,18,Hombre,Ingeniería Industrial,2,5,Buena,2,Sí,Sí,Sí,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 21:24:56,22,Mujer,Ingeniería Ambiental,7,4,Mala,2,Sí,Sí,Sí,entre 11 y 15,Algunas veces,Algunas veces
3/05/2022 21:25:41,20,Hombre,Ingeniería de la energía,6,6,Buena,1,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 21:26:20,18,Hombre,Ingeniería Industrial,3,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Algunas veces
3/05/2022 21:27:04,19,Mujer,Ciencia de Datos,3,8,Buena,1,A veces,No,No,mayor a 15,Casi siempre,Algunas veces
3/05/2022 21:33:52,23,Hombre,Ingeniería Mecatrónica,9,5,Buena,1,A veces,No,A veces,entre 11 y 15,Muchas veces,Nunca
3/05/2022 21:38:42,19,Mujer,Bioingeniería,4,6,Mala,2,Sí,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 21:39:26,20,Mujer,Ingeniería Ambiental,5,8,Muy buena,1,No,No,No,entre 11 y 15,Casi siempre,Nunca
3/05/2022 21:40:08,22,Hombre,Ingeniería Mecatrónica,7,5,Mala,2,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Nunca
3/05/2022 21:40:41,19,Mujer,Ciencia de Datos,3,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
3/05/2022 21:41:30,18,Mujer,Ingeniería Química,3,6,Buena,1,A veces,No,No,entre 11 y 15,Muchas veces,Nunca
3/05/2022 21:42:21,19,Hombre,Ingeniería Electrónica,4,4,Mala,2,Sí,Sí,A veces,entre 11 y 15,Casi siempre,Algunas veces
3/05/2022 21:46:39,18,Hombre,Ciencia de Datos,3,6,Buena,2,A veces,No,A veces,entre 11 y 15,Muchas veces,Nunca
3/05/2022 21:48:50,22,Mujer,Ingeniería Industrial,7,6,Buena,1,A veces,No,No,mayor a 15,Casi siempre,Nunca
3/05/2022 21:50:08,19,Mujer,Ciencia de la Computación,2,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Algunas veces
3/05/2022 22:42:22,21,Mujer,Bioingeniería,5,6,Buena,1,A veces,No,A veces,entre 11 y 15,Muchas veces,Nunca
3/05/2022 22:42:49,20,Hombre,Ingeniería Electrónica,4,8,Muy buena,1,No,No,No,entre 11 y 15,Casi siempre,Algunas veces
3/05/2022 22:43:40,23,Hombre,Ingeniería Mecatrónica,10,6,Buena,1,No,No,A veces,entre 11 y 15,Muchas veces,Nunca
3/05/2022 22:44:49,21,Mujer,Ingeniería Química,5,5,Mala,2,Sí,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 22:45:35,18,Hombre,Ciencia de la Computación,2,5,Buena,1,A veces,Sí,No,mayor a 15,Casi siempre,Nunca
3/05/2022 22:46:19,21,Mujer,Ingeniería Mecatrónica,7,6,Buena,2,Sí,Sí,No,entre 11 y 15,Casi siempre,Algunas veces
3/05/2022 22:47:00,20,Hombre,Ingeniería Industrial,5,8,Muy buena,1,No,No,No,mayor a 15,Muchas veces,Nunca
3/05/2022 22:47:43,22,Hombre,Ingeniería Electrónica,9,6,Buena,1,A veces,Sí,A veces,entre 11 y 15,Algunas veces,Nunca
3/05/2022 22:48:22,20,Hombre,Ingeniería Química,5,5,Buena,2,Sí,Sí,No,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 22:48:50,18,Mujer,Ciencia de la Computación,2,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
3/05/2022 22:49:24,19,Hombre,Ciencia de Datos,3,8,Buena,1,No,Sí,No,mayor a 15,Casi siempre,Nunca
3/05/2022 22:51:14,20,Mujer,Ingeniería Mecánica,5,7,Buena,2,A veces,Sí,A veces,mayor a 15,Casi siempre,Nunca
3/05/2022 22:53:15,21,Hombre,Ingeniería Ambiental,7,5,Mala,2,Sí,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 22:54:34,19,Hombre,Administración y negocios digitales,3,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
3/05/2022 23:02:41,20,Mujer,Ingeniería Electrónica,5,6,Buena,2,No,Sí,No,entre 11 y 15,Casi siempre,Nunca
3/05/2022 23:04:38,18,Mujer,Ciencia de Datos,2,8,Muy buena,1,No,No,No,mayor a 15,Muchas veces,Algunas veces
3/05/2022 23:11:53,21,Hombre,Ingeniería Mecatrónica,6,4,Mala,2,Sí,Sí,Sí,entre 11 y 15,Muchas veces,Muchas veces
3/05/2022 23:15:30,21,Mujer,Ingeniería de la energía,7,5,Mala,1,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Nunca
3/05/2022 23:16:21,19,Mujer,Bioingeniería,5,4,Buena,1,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 23:17:22,23,Mujer,Ingeniería de la energía,4,7,Mala,1,Sí,Sí,Sí,menor a 11,Muchas veces,Algunas veces
3/05/2022 23:18:18,21,Hombre,Ingeniería Mecánica,7,5,Buena,1,No,No,No,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 23:19:23,24,Mujer,Ciencia de la Computación,8,6,Buena,1,A veces,No,Sí,mayor a 15,Muchas veces,Algunas veces
3/05/2022 23:20:25,18,Hombre,Ingeniería Mecatrónica,2,7,Mala,2,Sí,Sí,Sí,menor a 11,Algunas veces,Muchas veces
3/05/2022 23:21:35,21,Mujer,Bioingeniería,5,8,Muy buena,1,A veces,No,A veces,mayor a 15,Casi siempre,Algunas veces
3/05/2022 23:23:22,20,Hombre,Administración y negocios digitales,3,7,Muy buena,1,A veces,Sí,Sí,entre 11 y 15,Casi siempre,Nunca
3/05/2022 23:23:23,22,Mujer,Ingeniería Mecatrónica,9,4,Mala,1,A veces,Sí,Sí,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 23:24:53,18,Mujer,Ingeniería Civil,2,8,Muy buena,1,No,No,No,entre 11 y 15,Casi siempre,Algunas veces
3/05/2022 23:25:35,19,Hombre,Ingeniería Química,3,6,Buena,2,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Nunca
3/05/2022 23:25:51,19,Mujer,Ingeniería Industrial,5,7,Buena,2,Sí,No,Sí,menor a 11,Algunas veces,Casi siempre
3/05/2022 23:27:20,22,Hombre,Ingeniería Mecatrónica,5,7,Mala,2,Sí,Sí,Sí,menor a 11,Nunca,Casi siempre
3/05/2022 23:28:30,20,Mujer,Ingeniería de la energía,5,5,Buena,1,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 23:28:35,24,Hombre,Ingeniería Mecánica,9,6,Buena,1,A veces,No,A veces,mayor a 15,Casi siempre,Algunas veces
3/05/2022 23:29:19,21,Mujer,Ingeniería Industrial,5,6,Buena,1,A veces,No,A veces,entre 11 y 15,Muchas veces,Nunca
3/05/2022 23:29:20,18,Mujer,Ciencia de Datos,2,7,Muy buena,1,A veces,No,No,entre 11 y 15,Muchas veces,Nunca
3/05/2022 23:30:08,23,Mujer,Ingeniería Química,5,6,Buena,1,A veces,No,A veces,entre 11 y 15,Muchas veces,Algunas veces
3/05/2022 23:32:01,21,Hombre,Bioingeniería,7,10,Demasiado mala,1,Sí,Sí,A veces,menor a 11,Algunas veces,Algunas veces
3/05/2022 23:33:07,23,Hombre,Ingeniería Mecatrónica,7,7,Muy buena,2,No,Sí,A veces,entre 11 y 15,Casi siempre,Algunas veces
4/05/2022 0:02:40,21,Mujer,Ingeniería Electrónica,6,5,Mala,1,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
4/05/2022 0:04:30,19,Hombre,Ingeniería Civil,3,7,Buena,1,A veces,No,No,entre 11 y 15,Muchas veces,Algunas veces
4/05/2022 0:05:13,21,Mujer,Ingeniería Civil,6,6,Buena,1,No,No,A veces,entre 11 y 15,Muchas veces,Algunas veces
4/05/2022 0:20:49,23,Mujer,Ingeniería Mecatrónica,9,5,Buena,2,A veces,Sí,A veces,mayor a 15,Muchas veces,Algunas veces
4/05/2022 0:49:01,21,Mujer,Ingeniería Mecánica,7,5,Mala,2,Sí,Sí,Sí,entre 11 y 15,Muchas veces,Nunca
4/05/2022 0:49:50,19,Hombre,Ciencia de Datos,3,8,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
4/05/2022 1:36:27,20,Mujer,Ingeniería Electrónica,4,6,Buena,6,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Nunca
4/05/2022 8:49:45,19,Hombre,Ingeniería Industrial,3,6,Buena,1,A veces,Sí,Sí,entre 11 y 15,Muchas veces,Casi siempre
4/05/2022 9:44:50,19,Mujer,Ingeniería Industrial,5,5,Buena,1,No,No,Sí,mayor a 15,Casi siempre,Nunca
4/05/2022 10:04:04,18,Hombre,Ingeniería Industrial,3,5,Buena,1,No,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
4/05/2022 10:06:13,21,Hombre,Ciencia de Datos,2,4,Buena,2,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
4/05/2022 10:23:38,21,Mujer,Ingeniería Industrial,6,7,Buena,1,Sí,Sí,Sí,entre 11 y 15,Casi siempre,Algunas veces
4/05/2022 10:30:41,18,Mujer,Bioingeniería,3,4,Mala,2,A veces,Sí,Sí,entre 11 y 15,Muchas veces,Algunas veces
4/05/2022 10:42:39,18,Mujer,Ingeniería Civil,3,6,Mala,1,Sí,Sí,Sí,mayor a 15,Algunas veces,Muchas veces
4/05/2022 10:59:37,22,Hombre,Ingeniería Ambiental,9,5,Demasiado mala,3,Sí,Sí,A veces,menor a 11,Algunas veces,Muchas veces
4/05/2022 11:00:26,21,Hombre,Ingeniería Ambiental,9,6,Demasiado mala,4,Sí,Sí,Sí,entre 11 y 15,Algunas veces,Casi siempre
4/05/2022 11:01:23,20,Mujer,Ciencia de la Computación,5,6,Buena,2,A veces,No,A veces,entre 11 y 15,Muchas veces,Muchas veces
4/05/2022 11:01:59,19,Mujer,Administración y negocios digitales,3,7,Buena,2,A veces,No,No,entre 11 y 15,Casi siempre,Nunca
4/05/2022 11:02:51,23,Hombre,Ingeniería Civil,10,8,Muy buena,1,No,No,A veces,mayor a 15,Muchas veces,Nunca
4/05/2022 11:03:43,21,Mujer,Ingeniería Química,7,4,Mala,2,Sí,No,Sí,menor a 11,Algunas veces,Muchas veces
4/05/2022 11:04:45,18,Mujer,Ciencia de Datos,3,7,Buena,1,A veces,No,No,entre 11 y 15,Casi siempre,Algunas veces
4/05/2022 11:05:49,19,Hombre,Bioingeniería,3,6,Mala,2,A veces,Sí,Sí,menor a 11,Algunas veces,Casi siempre
4/05/2022 11:07:35,20,Mujer,Ingeniería Industrial,6,8,Buena,1,A veces,No,Sí,mayor a 15,Muchas veces,Nunca
4/05/2022 11:14:13,18,Hombre,Ingeniería Industrial,2,6,Mala,2,Sí,Sí,A veces,menor a 11,Nunca,Casi siempre
4/05/2022 11:15:02,24,Hombre,Ingeniería de la energía,10,5,Demasiado mala,3,Sí,Sí,Sí,menor a 11,Algunas veces,Casi siempre
4/05/2022 11:17:07,23,Mujer,Ingeniería de la energía,10,6,Buena,1,A veces,Sí,A veces,entre 11 y 15,Muchas veces,Algunas veces
4/05/2022 11:18:01,18,Hombre,Ingeniería Mecatrónica,2,8,Buena,1,No,No,A veces,entre 11 y 15,Casi siempre,Muchas veces
4/05/2022 11:18:51,22,Hombre,Ciencia de la Computación,8,4,Demasiado mala,4,Sí,Sí,Sí,menor a 11,Nunca,Muchas veces
4/05/2022 11:19:40,19,Mujer,Bioingeniería,2,9,Muy buena,1,No,No,No,mayor a 15,Casi siempre,Nunca
