Fecha UTC,Fecha,profundidad (km),magnitud (M)
02/05/1995,May-95,74,6.7
04/05/1995,May-95,141,4.9
05/05/1995,May-95,23,4.9
05/05/1995,May-95,39,4.5
06/05/1995,May-95,7,4.9
06/05/1995,May-95,11,4.6
06/05/1995,May-95,14,4.9
07/05/1995,May-95,608,4.9
07/05/1995,May-95,18,4.5
07/05/1995,May-95,111,4.7
09/05/1995,May-95,38,4.6
11/05/1995,May-95,65,4.5
11/05/1995,May-95,162,4.7
12/05/1995,May-95,105,4.5
12/05/1995,May-95,23,4.8
13/05/1995,May-95,19,4.6
13/05/1995,May-95,109,5.1
15/05/1995,May-95,26,4.5
17/05/1995,May-95,20,4.6
18/05/1995,May-95,46,4.8
18/05/1995,May-95,76,5.1
19/05/1995,May-95,25,4.6
24/05/1995,May-95,135,4.8
24/05/1995,May-95,44,4.6
25/05/1995,May-95,45,4.5
26/05/1995,May-95,26,4.7
27/05/1995,May-95,63,4.7
28/05/1995,May-95,15,4.7
29/05/1995,May-95,59,4.6
31/05/1995,May-95,60,4.9
01/06/1995,Jun-95,19,4.9
02/06/1995,Jun-95,68,4.5
02/06/1995,Jun-95,38,5
02/06/1995,Jun-95,42,4.9
02/06/1995,Jun-95,22,5.1
03/06/1995,Jun-95,60,4.5
03/06/1995,Jun-95,56,4.8
03/06/1995,Jun-95,111,4.5
03/06/1995,Jun-95,53,4.8
04/06/1995,Jun-95,170,4.7
04/06/1995,Jun-95,117,4.7
04/06/1995,Jun-95,8,4.8
04/06/1995,Jun-95,46,4.8
04/06/1995,Jun-95,13,4.8
05/06/1995,Jun-95,9,4.7
05/06/1995,Jun-95,25,4.8
06/06/1995,Jun-95,36,4.6
07/06/1995,Jun-95,78,4.8
07/06/1995,Jun-95,93,4.9
08/06/1995,Jun-95,17,4.6
08/06/1995,Jun-95,27,4.6
08/06/1995,Jun-95,92,5
09/06/1995,Jun-95,16,4.6
09/06/1995,Jun-95,25,4.9
09/06/1995,Jun-95,98,4.9
09/06/1995,Jun-95,36,4.6
10/06/1995,Jun-95,54,4.5
10/06/1995,Jun-95,47,4.6
11/06/1995,Jun-95,14,4.7
11/06/1995,Jun-95,26,4.9
11/06/1995,Jun-95,74,4.5
11/06/1995,Jun-95,58,4.6
12/06/1995,Jun-95,92,5.9
12/06/1995,Jun-95,37,4.7
12/06/1995,Jun-95,91,4.6
12/06/1995,Jun-95,110,4.9
13/06/1995,Jun-95,11,4.8
13/06/1995,Jun-95,19,4.9
14/06/1995,Jun-95,38,5.3
15/06/1995,Jun-95,135,4.7
15/06/1995,Jun-95,62,4.7
16/06/1995,Jun-95,122,4.9
18/06/1995,Jun-95,155,4.5
18/06/1995,Jun-95,49,4.6
19/06/1995,Jun-95,166,4.1
20/06/1995,Jun-95,27,4.5
20/06/1995,Jun-95,22,4.9
21/06/1995,Jun-95,53,4.8
21/06/1995,Jun-95,54,5.8
22/06/1995,Jun-95,42,4.6
23/06/1995,Jun-95,6,4.7
25/06/1995,Jun-95,38,4.7
26/06/1995,Jun-95,7,5
27/06/1995,Jun-95,32,5.3
27/06/1995,Jun-95,34,4.6
27/06/1995,Jun-95,80,4.6
27/06/1995,Jun-95,114,4.7
29/06/1995,Jun-95,35,4.5
29/06/1995,Jun-95,12,4.8
02/07/1995,Jul-95,26,5.6
02/07/1995,Jul-95,56,4.5
02/07/1995,Jul-95,62,4.6
02/07/1995,Jul-95,30,4.9
04/07/1995,Jul-95,16,4.6
04/07/1995,Jul-95,32,4.5
04/07/1995,Jul-95,28,4.6
05/07/1995,Jul-95,9,4.9
06/07/1995,Jul-95,11,4.9
06/07/1995,Jul-95,28,4.8
07/07/1995,Jul-95,54,4.7
08/07/1995,Jul-95,102,4.6
08/07/1995,Jul-95,51,4.5
08/07/1995,Jul-95,177,4.4
08/07/1995,Jul-95,10,4.7
11/07/1995,Jul-95,55,4.7
11/07/1995,Jul-95,124,4.9
12/07/1995,Jul-95,27,4.5
13/07/1995,Jul-95,90,4.6
13/07/1995,Jul-95,51,4.7
13/07/1995,Jul-95,103,4
13/07/1995,Jul-95,149,4.5
16/07/1995,Jul-95,33,4.8
16/07/1995,Jul-95,56,4.6
17/07/1995,Jul-95,57,4.7
17/07/1995,Jul-95,41,4.6
19/07/1995,Jul-95,49,5
19/07/1995,Jul-95,51,4.9
20/07/1995,Jul-95,54,4.7
20/07/1995,Jul-95,44,4.7
21/07/1995,Jul-95,53,4.9
21/07/1995,Jul-95,42,4.6
21/07/1995,Jul-95,83,4.7
21/07/1995,Jul-95,24,4.7
21/07/1995,Jul-95,37,5.1
22/07/1995,Jul-95,68,4.7
23/07/1995,Jul-95,57,4.7
25/07/1995,Jul-95,26,4.6
25/07/1995,Jul-95,18,5.3
26/07/1995,Jul-95,22,4.6
26/07/1995,Jul-95,95,4.7
27/07/1995,Jul-95,45,4.9
29/07/1995,Jul-95,41,4.9
30/07/1995,Jul-95,150,4.5
30/07/1995,Jul-95,18,4.8
31/07/1995,Jul-95,40,5.9
31/07/1995,Jul-95,25,4.6
01/08/1995,Ago-95,90,4.8
01/08/1995,Ago-95,35,4.5
01/08/1995,Ago-95,11,4.5
02/08/1995,Ago-95,123,4.9
03/08/1995,Ago-95,13,5
03/08/1995,Ago-95,70,4.4
03/08/1995,Ago-95,51,4.6
03/08/1995,Ago-95,240,4.4
04/08/1995,Ago-95,33,4.9
07/08/1995,Ago-95,34,4.5
09/08/1995,Ago-95,47,4.6
09/08/1995,Ago-95,21,4.7
10/08/1995,Ago-95,146,4.5
10/08/1995,Ago-95,61,5.1
11/08/1995,Ago-95,43,4.7
12/08/1995,Ago-95,53,4.7
13/08/1995,Ago-95,46,4.8
13/08/1995,Ago-95,39,4.8
13/08/1995,Ago-95,30,5
13/08/1995,Ago-95,26,4.8
15/08/1995,Ago-95,80,4.7
16/08/1995,Ago-95,29,4.5
16/08/1995,Ago-95,123,4.9
16/08/1995,Ago-95,30,4.5
16/08/1995,Ago-95,42,4.5
17/08/1995,Ago-95,33,4.1
17/08/1995,Ago-95,132,5.4
19/08/1995,Ago-95,32,4.6
19/08/1995,Ago-95,48,4.5
20/08/1995,Ago-95,41,4.9
20/08/1995,Ago-95,52,4.5
21/08/1995,Ago-95,37,5.2
24/08/1995,Ago-95,12,4.5
24/08/1995,Ago-95,28,4.5
25/08/1995,Ago-95,33,4
25/08/1995,Ago-95,55,4.5
26/08/1995,Ago-95,30,4.7
26/08/1995,Ago-95,45,4.8
26/08/1995,Ago-95,41,4.7
26/08/1995,Ago-95,180,4.4
26/08/1995,Ago-95,56,4.8
27/08/1995,Ago-95,14,4.9
27/08/1995,Ago-95,20,4.5
27/08/1995,Ago-95,40,4.6
27/08/1995,Ago-95,21,4.5
27/08/1995,Ago-95,49,4.7
29/08/1995,Ago-95,41,4.9
30/08/1995,Ago-95,31,4.7
30/08/1995,Ago-95,34,4.7
30/08/1995,Ago-95,15,4.7
30/08/1995,Ago-95,128,4.7
31/08/1995,Ago-95,16,4.9
31/08/1995,Ago-95,89,4.9
01/09/1995,Set-95,36,5.5
01/09/1995,Set-95,51,4.8
01/09/1995,Set-95,55,4.9
01/09/1995,Set-95,32,4.9
02/09/1995,Set-95,103,4.6
02/09/1995,Set-95,25,4.6
03/09/1995,Set-95,25,4.8
03/09/1995,Set-95,60,5.2
03/09/1995,Set-95,61,4.6
03/09/1995,Set-95,80,4.7
04/09/1995,Set-95,26,4.7
04/09/1995,Set-95,12,4.8
05/09/1995,Set-95,35,4.5
06/09/1995,Set-95,24,4.8
06/09/1995,Set-95,6,4.8
06/09/1995,Set-95,33,4.6
06/09/1995,Set-95,115,5
07/09/1995,Set-95,117,4.4
07/09/1995,Set-95,22,4.6
08/09/1995,Set-95,29,4.8
09/09/1995,Set-95,11,4.8
09/09/1995,Set-95,33,5
09/09/1995,Set-95,63,4.7
10/09/1995,Set-95,33,4.7
10/09/1995,Set-95,58,4.8
10/09/1995,Set-95,18,4.8
12/09/1995,Set-95,24,4.6
13/09/1995,Set-95,15,4.5
13/09/1995,Set-95,17,4.6
13/09/1995,Set-95,26,4.5
13/09/1995,Set-95,17,4.9
14/09/1995,Set-95,28,4.7
15/09/1995,Set-95,25,4.6
15/09/1995,Set-95,49,4.7
16/09/1995,Set-95,80,4.8
17/09/1995,Set-95,59,4.5
17/09/1995,Set-95,38,5
18/09/1995,Set-95,149,4.7
18/09/1995,Set-95,89,4.5
19/09/1995,Set-95,33,4.7
19/09/1995,Set-95,9,5
20/09/1995,Set-95,43,4.7
21/09/1995,Set-95,29,5
21/09/1995,Set-95,34,4.9
22/09/1995,Set-95,9,4.6
22/09/1995,Set-95,43,4.7
23/09/1995,Set-95,46,4.7
23/09/1995,Set-95,54,6.6
24/09/1995,Set-95,28,5.1
24/09/1995,Set-95,38,4.9
26/09/1995,Set-95,47,4.8
26/09/1995,Set-95,21,4.8
27/09/1995,Set-95,8,4.7
27/09/1995,Set-95,11,4.5
27/09/1995,Set-95,24,5
27/09/1995,Set-95,18,4.8
27/09/1995,Set-95,54,4.8
27/09/1995,Set-95,13,4.9
28/09/1995,Set-95,77,4.6
29/09/1995,Set-95,50,4.5
29/09/1995,Set-95,115,4.2
29/09/1995,Set-95,25,4.5
30/09/1995,Set-95,20,4.6
30/09/1995,Set-95,21,4.5
01/10/1995,Oct-95,154,4.6
01/10/1995,Oct-95,52,4.8
01/10/1995,Oct-95,121,4.7
01/10/1995,Oct-95,55,4.8
01/10/1995,Oct-95,32,4.8
02/10/1995,Oct-95,36,4.9
02/10/1995,Oct-95,61,4.9
02/10/1995,Oct-95,47,4.5
03/10/1995,Oct-95,56,7
03/10/1995,Oct-95,33,5.7
03/10/1995,Oct-95,33,5
03/10/1995,Oct-95,87,5.3
03/10/1995,Oct-95,4,5.6
03/10/1995,Oct-95,91,4.9
03/10/1995,Oct-95,33,4.5
03/10/1995,Oct-95,33,4.6
03/10/1995,Oct-95,33,5.1
03/10/1995,Oct-95,19,5.3
03/10/1995,Oct-95,89,5.2
03/10/1995,Oct-95,67,4.9
03/10/1995,Oct-95,66,4.6
03/10/1995,Oct-95,33,4.7
03/10/1995,Oct-95,27,4.7
03/10/1995,Oct-95,100,4.8
03/10/1995,Oct-95,33,5.3
03/10/1995,Oct-95,33,5
03/10/1995,Oct-95,55,6.6
03/10/1995,Oct-95,73,4.5
03/10/1995,Oct-95,33,4.5
03/10/1995,Oct-95,33,4.2
03/10/1995,Oct-95,67,4.5
03/10/1995,Oct-95,33,4.7
03/10/1995,Oct-95,33,4.3
03/10/1995,Oct-95,68,4.8
03/10/1995,Oct-95,33,5
03/10/1995,Oct-95,46,4.7
03/10/1995,Oct-95,33,4.4
03/10/1995,Oct-95,33,4.6
04/10/1995,Oct-95,78,4.7
04/10/1995,Oct-95,33,4.5
04/10/1995,Oct-95,33,4
04/10/1995,Oct-95,68,5.3
04/10/1995,Oct-95,33,4.3
04/10/1995,Oct-95,63,5
04/10/1995,Oct-95,33,4.4
04/10/1995,Oct-95,74,4.8
05/10/1995,Oct-95,33,4.4
05/10/1995,Oct-95,33,4.3
05/10/1995,Oct-95,33,5.3
05/10/1995,Oct-95,33,5
05/10/1995,Oct-95,117,5.4
05/10/1995,Oct-95,77,5
05/10/1995,Oct-95,50,4.5
06/10/1995,Oct-95,33,4.6
06/10/1995,Oct-95,119,5
06/10/1995,Oct-95,62,5.2
06/10/1995,Oct-95,33,4.5
06/10/1995,Oct-95,75,4.6
07/10/1995,Oct-95,76,4.8
07/10/1995,Oct-95,50,4.6
07/10/1995,Oct-95,33,4.5
07/10/1995,Oct-95,77,5.1
07/10/1995,Oct-95,33,4.5
07/10/1995,Oct-95,33,4.3
07/10/1995,Oct-95,94,4.9
07/10/1995,Oct-95,33,4.6
07/10/1995,Oct-95,62,5.1
07/10/1995,Oct-95,33,4.7
08/10/1995,Oct-95,33,4.3
08/10/1995,Oct-95,81,5.7
08/10/1995,Oct-95,33,4.4
08/10/1995,Oct-95,65,4.8
10/10/1995,Oct-95,35,4.5
10/10/1995,Oct-95,196,4.8
10/10/1995,Oct-95,33,4.4
11/10/1995,Oct-95,152,4.1
11/10/1995,Oct-95,105,4.7
11/10/1995,Oct-95,33,4.4
12/10/1995,Oct-95,9,4.7
13/10/1995,Oct-95,36,4.7
14/10/1995,Oct-95,33,4.3
15/10/1995,Oct-95,63,4.7
17/10/1995,Oct-95,33,4.5
17/10/1995,Oct-95,32,4.8
17/10/1995,Oct-95,28,4.5
18/10/1995,Oct-95,55,5.1
18/10/1995,Oct-95,32,4.5
18/10/1995,Oct-95,53,4.7
19/10/1995,Oct-95,108,4.9
19/10/1995,Oct-95,122,5.1
19/10/1995,Oct-95,93,4.6
20/10/1995,Oct-95,56,4.8
20/10/1995,Oct-95,10,4.7
20/10/1995,Oct-95,33,4.2
21/10/1995,Oct-95,102,4.6
21/10/1995,Oct-95,37,4.9
21/10/1995,Oct-95,33,5.1
21/10/1995,Oct-95,50,5
21/10/1995,Oct-95,10,4.8
22/10/1995,Oct-95,29,4.6
22/10/1995,Oct-95,16,4.7
23/10/1995,Oct-95,33,4.8
23/10/1995,Oct-95,33,4.2
23/10/1995,Oct-95,27,4.7
23/10/1995,Oct-95,33,4.6
23/10/1995,Oct-95,26,4.7
24/10/1995,Oct-95,149,4.9
25/10/1995,Oct-95,185,4.9
25/10/1995,Oct-95,123,4.9
25/10/1995,Oct-95,52,4.9
25/10/1995,Oct-95,93,4.9
25/10/1995,Oct-95,77,4.9
26/10/1995,Oct-95,47,4.7
27/10/1995,Oct-95,23,4.7
27/10/1995,Oct-95,28,4.5
28/10/1995,Oct-95,66,5.1
29/10/1995,Oct-95,33,5.1
29/10/1995,Oct-95,33,4.1
29/10/1995,Oct-95,25,4.6
29/10/1995,Oct-95,20,4.9
30/10/1995,Oct-95,14,4.8
31/10/1995,Oct-95,79,4.9
31/10/1995,Oct-95,24,4.6
02/11/1995,Nov-95,26,4.7
02/11/1995,Nov-95,23,4.5
02/11/1995,Nov-95,18,4.6
03/11/1995,Nov-95,58,4.5
03/11/1995,Nov-95,19,4.5
04/11/1995,Nov-95,42,4.7
04/11/1995,Nov-95,26,4.5
05/11/1995,Nov-95,59,4.5
05/11/1995,Nov-95,49,4.6
05/11/1995,Nov-95,42,5.5
06/11/1995,Nov-95,27,4.8
06/11/1995,Nov-95,50,4.9
07/11/1995,Nov-95,55,4.6
09/11/1995,Nov-95,63,4.9
09/11/1995,Nov-95,58,4.5
10/11/1995,Nov-95,16,4.8
10/11/1995,Nov-95,52,4.6
11/11/1995,Nov-95,149,4.6
11/11/1995,Nov-95,56,4.5
11/11/1995,Nov-95,30,4.7
11/11/1995,Nov-95,149,5.1
11/11/1995,Nov-95,24,4.8
11/11/1995,Nov-95,51,4.8
12/11/1995,Nov-95,19,4.5
13/11/1995,Nov-95,10,4.5
13/11/1995,Nov-95,74,4.9
14/11/1995,Nov-95,26,5.5
14/11/1995,Nov-95,31,4.9
14/11/1995,Nov-95,115,4.8
15/11/1995,Nov-95,38,4.8
15/11/1995,Nov-95,47,4.7
15/11/1995,Nov-95,30,4.9
15/11/1995,Nov-95,17,4.5
15/11/1995,Nov-95,24,4.9
15/11/1995,Nov-95,16,4.9
16/11/1995,Nov-95,28,4.7
18/11/1995,Nov-95,139,4.9
19/11/1995,Nov-95,38,4.9
19/11/1995,Nov-95,55,4.7
20/11/1995,Nov-95,55,4.7
22/11/1995,Nov-95,77,4.9
22/11/1995,Nov-95,12,4.8
23/11/1995,Nov-95,57,4.7
23/11/1995,Nov-95,155,4.8
25/11/1995,Nov-95,47,4.6
25/11/1995,Nov-95,29,4.9
26/11/1995,Nov-95,27,4.6
27/11/1995,Nov-95,34,4.9
28/11/1995,Nov-95,11,4.8
29/11/1995,Nov-95,93,4.5
30/11/1995,Nov-95,25,5.8
01/12/1995,Dic-95,62,4.9
01/12/1995,Dic-95,40,4.7
02/12/1995,Dic-95,56,4.6
03/12/1995,Dic-95,23,4.7
03/12/1995,Dic-95,54,4.7
04/12/1995,Dic-95,98,4.6
04/12/1995,Dic-95,104,5
05/12/1995,Dic-95,38,4.8
06/12/1995,Dic-95,23,4.9
06/12/1995,Dic-95,19,5.2
06/12/1995,Dic-95,32,4.7
07/12/1995,Dic-95,31,5.3
07/12/1995,Dic-95,25,4.8
07/12/1995,Dic-95,12,4.6
08/12/1995,Dic-95,26,4.9
08/12/1995,Dic-95,26,4.7
08/12/1995,Dic-95,28,4.5
08/12/1995,Dic-95,42,4.8
09/12/1995,Dic-95,10,4.6
09/12/1995,Dic-95,18,4.9
09/12/1995,Dic-95,15,4.6
10/12/1995,Dic-95,33,5
12/12/1995,Dic-95,11,4.8
12/12/1995,Dic-95,32,4.7
13/12/1995,Dic-95,79,4.7
13/12/1995,Dic-95,12,4.9
13/12/1995,Dic-95,9,4.8
16/12/1995,Dic-95,19,4.6
16/12/1995,Dic-95,18,4.5
16/12/1995,Dic-95,46,4.9
16/12/1995,Dic-95,50,4.7
17/12/1995,Dic-95,30,5
17/12/1995,Dic-95,26,4.5
17/12/1995,Dic-95,29,4.6
18/12/1995,Dic-95,32,4.8
22/12/1995,Dic-95,24,4.7
22/12/1995,Dic-95,28,4.6
22/12/1995,Dic-95,62,5.6
22/12/1995,Dic-95,79,4.7
24/12/1995,Dic-95,197,4.9
24/12/1995,Dic-95,33,4.4
25/12/1995,Dic-95,23,4.6
26/12/1995,Dic-95,46,4.9
26/12/1995,Dic-95,78,4.8
27/12/1995,Dic-95,43,4.7
28/12/1995,Dic-95,117,4.3
29/12/1995,Dic-95,27,4.7
29/12/1995,Dic-95,81,5.7
30/12/1995,Dic-95,48,4.5
30/12/1995,Dic-95,17,5.2
31/12/1995,Dic-95,35,5.1
31/12/1995,Dic-95,50,4.9
31/12/1995,Dic-95,30,4.9
31/12/1995,Dic-95,9,5
02/01/1996,Ene-96,153,4.7
02/01/1996,Ene-96,29,4.5
03/01/1996,Ene-96,25,4.5
04/01/1996,Ene-96,196,4.8
05/01/1996,Ene-96,185,4.4
06/01/1996,Ene-96,50,4.5
06/01/1996,Ene-96,68,4.1
06/01/1996,Ene-96,33,4.5
07/01/1996,Ene-96,13,5.2
08/01/1996,Ene-96,46,4.5
08/01/1996,Ene-96,42,4.9
09/01/1996,Ene-96,72,4.7
09/01/1996,Ene-96,52,4.6
11/01/1996,Ene-96,54,4.6
12/01/1996,Ene-96,53,4.7
12/01/1996,Ene-96,55,4.5
12/01/1996,Ene-96,52,4.8
12/01/1996,Ene-96,11,4.6
14/01/1996,Ene-96,100,4.5
14/01/1996,Ene-96,48,4.5
14/01/1996,Ene-96,10,4.6
15/01/1996,Ene-96,56,4.5
15/01/1996,Ene-96,80,5
15/01/1996,Ene-96,74,4.9
17/01/1996,Ene-96,39,4.5
18/01/1996,Ene-96,55,4.5
19/01/1996,Ene-96,81,4.5
19/01/1996,Ene-96,35,5.8
21/01/1996,Ene-96,33,4.1
21/01/1996,Ene-96,38,4.7
24/01/1996,Ene-96,25,4.9
24/01/1996,Ene-96,43,4.5
26/01/1996,Ene-96,33,4
26/01/1996,Ene-96,53,4.9
26/01/1996,Ene-96,148,4.6
27/01/1996,Ene-96,33,4.5
27/01/1996,Ene-96,78,4.5
29/01/1996,Ene-96,52,4.8
31/01/1996,Ene-96,63,4.8
02/02/1996,Feb-96,45,4.9
02/02/1996,Feb-96,29,4.7
03/02/1996,Feb-96,11,4.9
04/02/1996,Feb-96,79,4.6
05/02/1996,Feb-96,24,4.8
05/02/1996,Feb-96,64,4.9
05/02/1996,Feb-96,82,4.7
06/02/1996,Feb-96,74,4.5
07/02/1996,Feb-96,105,4.6
08/02/1996,Feb-96,92,5
08/02/1996,Feb-96,59,4.6
09/02/1996,Feb-96,77,4.8
09/02/1996,Feb-96,31,4.8
09/02/1996,Feb-96,77,4.5
10/02/1996,Feb-96,144,4.5
10/02/1996,Feb-96,156,4.5
10/02/1996,Feb-96,24,4.5
11/02/1996,Feb-96,10,4.5
11/02/1996,Feb-96,50,4.5
13/02/1996,Feb-96,31,5.2
13/02/1996,Feb-96,25,4.5
13/02/1996,Feb-96,54,4.5
15/02/1996,Feb-96,27,4.6
16/02/1996,Feb-96,52,4.5
16/02/1996,Feb-96,137,4.8
16/02/1996,Feb-96,84,4.6
20/02/1996,Feb-96,30,4.9
20/02/1996,Feb-96,31,4.5
21/02/1996,Feb-96,8,7.5
21/02/1996,Feb-96,35,4.9
21/02/1996,Feb-96,25,4.7
21/02/1996,Feb-96,33,5.1
21/02/1996,Feb-96,33,4.4
21/02/1996,Feb-96,33,4.5
21/02/1996,Feb-96,33,5
21/02/1996,Feb-96,39,5
21/02/1996,Feb-96,44,5.3
21/02/1996,Feb-96,10,4.9
21/02/1996,Feb-96,9,4.8
22/02/1996,Feb-96,7,4.6
22/02/1996,Feb-96,11,4.5
22/02/1996,Feb-96,40,4.5
22/02/1996,Feb-96,44,4.6
22/02/1996,Feb-96,16,4.7
22/02/1996,Feb-96,27,4.8
22/02/1996,Feb-96,11,5.2
22/02/1996,Feb-96,25,4.7
22/02/1996,Feb-96,48,4.9
22/02/1996,Feb-96,8,4.9
23/02/1996,Feb-96,38,4.9
23/02/1996,Feb-96,55,4.7
23/02/1996,Feb-96,35,5.2
23/02/1996,Feb-96,10,4.6
23/02/1996,Feb-96,37,5
23/02/1996,Feb-96,37,4.7
23/02/1996,Feb-96,31,4.6
23/02/1996,Feb-96,45,4.9
23/02/1996,Feb-96,35,4.9
23/02/1996,Feb-96,17,4.5
24/02/1996,Feb-96,54,4.7
24/02/1996,Feb-96,14,5
24/02/1996,Feb-96,14,4.7
25/02/1996,Feb-96,123,4.6
25/02/1996,Feb-96,12,4.5
25/02/1996,Feb-96,24,5.1
25/02/1996,Feb-96,44,4.5
26/02/1996,Feb-96,39,4.5
26/02/1996,Feb-96,59,5.1
26/02/1996,Feb-96,19,4.5
26/02/1996,Feb-96,31,4.9
26/02/1996,Feb-96,67,4.9
27/02/1996,Feb-96,8,4.5
28/02/1996,Feb-96,41,5.1
28/02/1996,Feb-96,33,4.5
28/02/1996,Feb-96,33,4.1
28/02/1996,Feb-96,45,4.6
28/02/1996,Feb-96,49,4.8
29/02/1996,Feb-96,57,4.8
01/03/1996,Mar-96,26,4.9
01/03/1996,Mar-96,45,4.5
01/03/1996,Mar-96,45,4.8
02/03/1996,Mar-96,43,4.5
