Marca temporal," Si ya llevaste el curso de ""Estadística y Probabilidades I"" o no es la 1ra vez que lo llevas responde ""Sí"", caso contrario responde ""No""",¿En qué carrera estabas cuando cursaste el curso? (USA EL SIGUIENTE FORMATO: ingenieria *tu_carrera*) (TODO EN MINÚSCULAS Y SIN TILDE),Sexo,¿En qué ciclo te encontrabas cuando cursaste el curso? ,¿Cómo te sentías anímicamente de manera regular durante el semestre en el cual tomaste el curso? (Tu estado de ánimo),¿Vivías solo durante ese ciclo académico? (vivir independientemente),¿Sufriste de alguna enfermedad durante ese periodo académico?,¿Qué tan activamente social fuiste durante ese periodo académico?,¿En qué año cursaste el curso? (ejem: 2017),"¿Qué edad tenías cuando cursaste el curso? (poner solo el valor numérico, ejem: 19)","¿Cuántas horas de actividad física realizabas semanalmente? (poner solo el valor numérico, ejem: 5.5)","¿Cuántas horas extraacadémicas  semanales le dedicabas al curso? (excluyendo las mentorías, asesorías y clases) (poner solo el valor numérico, ejem: 5.5)","¿Cantidad de horas recreativas semanales? (Ejemplo: salir con amigos, ir al cine, videojuegos, etc.) (poner solo el valor numérico, ejem: 4)","¿Cuántos cursos llevabas durante ese ciclo académico?(incluyendo el curso de estadística) (poner solo el valor numérico, ejem: 5)","¿Cuántas veces al día comías? (poner solo el valor numérico, ejem: 3)","Aprobaste, desaprobaste o te retiraste del curso durante ese ciclo? "
5/05/2022 10:06:46,Sí,cs,Masculino,IV,Normal,No,No,No muy sociable,2021,19,4,8,9,5,4,Aprobado
5/05/2022 10:10:04,Sí,ingenieria industrial,Masculino,II,Normal,No,Sí,No muy sociable,2021,18,2,2,5,6,3,Desaprobado
5/05/2022 10:10:48,Sí,ambiental,Femenino,VI,Excelente,No,No,Sociable,2020,21,6,10,6,5,3,Retirado
5/05/2022 10:15:01,Sí,cs,Masculino,VIII,Normal,No,Sí,No muy sociable,2020,22,3,11,4,6,4,Aprobado
5/05/2022 10:15:30,Sí,ingenieria quimica,Femenino,III,Bien,No,Sí,No muy sociable,2020,19,2,5,3,6,3,Desaprobado
5/05/2022 10:16:23,Sí,industrial,Femenino,V,Mal,Sí,Sí,No muy sociable,2020,20,4,6,6,6,3,Aprobado
5/05/2022 10:17:42,Sí,ambiental,Masculino,IV,Normal,No,Sí,No muy sociable,2021,19,5,7,6,7,3,Retirado
5/05/2022 10:19:11,Sí,ingenieria de la energia,Femenino,III,Bien,No,No,Sociable,2021,18,1,4,3,5,3,Aprobado
5/05/2022 10:21:16,Sí,ingenieria ambiental,Masculino,IV,Normal,No,Sí,No sociable,2021,19,2,2,4,5,3,Desaprobado
5/05/2022 10:22:26,Sí,bioingenieria,Masculino,III,Triste o deprimido,Sí,Sí,No muy sociable,2020,19,0,2,4,6,3,Desaprobado
5/05/2022 10:24:21,Sí,ingenieria civil,Masculino,V,Bien,No,No,Muy sociable,2021,20,1,3,2,7,4,Aprobado
5/05/2022 10:25:33,Sí,ingenieria electronica,Femenino,III,Bien,No,Sí,Sociable,2021,18,2,4,2,5,3,Aprobado
5/05/2022 10:27:09,Sí,ingenieria mecanica,Femenino,III,Mal,Sí,Sí,No muy sociable,2020,18,3,1,2,6,5,Desaprobado
5/05/2022 10:28:35,Sí,ingenieria civil,Masculino,III,Normal,Sí,No,No muy sociable,2021,19,1,1,2,6,4,Retirado
5/05/2022 10:29:54,Sí,bioingenieria,Femenino,IV,Bien,No,No,Muy sociable,2021,18,1,3,1,7,3,Aprobado
5/05/2022 10:30:49,Sí,ingeniera industrial,Femenino,II,Bien,No,Sí,Sociable,2021,18,0,2,1,6,3,Aprobado
5/05/2022 10:33:27,Sí,ciencia de la computacion,Masculino,III,Normal,Sí,No,No muy sociable,2021,18,2,2,1,6,3,Retirado
5/05/2022 10:37:00,Sí,ingenieria mecatronica,Masculino,III,Bien,No,No,Sociable,2020,19,2,3,1,5,4,Aprobado
5/05/2022 10:39:31,Sí,ingenieria quimica,Masculino,III,Normal,Sí,Sí,No sociable,2021,18,2,1,3,6,4,Desaprobado
5/05/2022 10:43:43,Sí,ingenieria civil,Masculino,III,Bien,No,No,Sociable,2021,18,1,2,2,6,3,Aprobado
5/05/2022 10:47:35,Sí,ingenieria civil,Masculino,III,Bien,No,No,No muy sociable,2020,18,2,3,1,6,4,Aprobado
5/05/2022 10:49:39,Sí,ingenieria industrial,Femenino,IV,Normal,Sí,Sí,No muy sociable,2021,19,2,1,3,6,4,Retirado
5/05/2022 10:51:15,Sí,ingenieria electronica,Masculino,IV,Normal,No,Sí,No muy sociable,2019,19,1,3,2,6,4,Retirado
5/05/2022 10:54:17,Sí,ingenieria mecatronica,Masculino,IV,Bien,No,No,Sociable,2021,19,0,3,1,7,5,Aprobado
5/05/2022 10:55:27,Sí,ingenieria de la energia,Masculino,III,Triste o deprimido,Sí,Sí,No muy sociable,2021,19,1,2,3,6,4,Desaprobado
5/05/2022 11:04:20,Sí,civil,Masculino,V,Mal,No,Sí,No muy sociable,2020,19,2,6,6,6,5,Desaprobado
5/05/2022 11:05:38,Sí,quimicxa,Masculino,V,Bien,No,Sí,Sociable,2021,20,4,4,5,7,2,Desaprobado
5/05/2022 11:06:57,Sí,ingenieria ambiental,Masculino,IV,Excelente,No,No,Sociable,2020,19,6,7,5,6,3,Aprobado
5/05/2022 11:08:28,Sí,mecanica,Masculino,VI,Mal,Sí,Sí,Sociable,2020,21,3,7,6,7,2,Retirado
5/05/2022 11:11:41,Sí,electronica,Masculino,V,Excelente,No,No,Muy sociable,2020,19,5,6,6,6,3,Aprobado
5/05/2022 11:12:59,Sí,ingenieria mecanica,Masculino,III,Mal,No,Sí,No muy sociable,2020,18,7,4,6,7,3,Retirado
5/05/2022 11:14:12,Sí,iindustrial,Masculino,III,Normal,No,Sí,Sociable,2021,17,4,8,8,7,3,Aprobado
5/05/2022 11:15:40,Sí,ciencia de la computacion,Femenino,IV,Mal,No,Sí,No muy sociable,2020,18,3,5,4,5,3,Desaprobado
5/05/2022 11:16:29,Sí,quimica,Masculino,III,Normal,No,Sí,No muy sociable,2020,19,6,6,6,5,3,Aprobado
5/05/2022 11:17:17,Sí,ingenieria de la energia,Masculino,IV,Bien,No,Sí,No muy sociable,2021,18,4,8,2,7,4,Aprobado
5/05/2022 11:17:27,Sí,ingenieria mecanica,Femenino,IV,Normal,Sí,No,No muy sociable,2019,18,6,7,2,6,3,Aprobado
5/05/2022 11:23:27,Sí,ingenieria mecatronica,Femenino,VI,Normal,Sí,Sí,No muy sociable,2020,20,6,2,7,5,3,Retirado
5/05/2022 11:23:58,No,,,,,,,,,,,,,,,
5/05/2022 11:28:43,Sí,ingenieria ambiental,Femenino,III,Triste o deprimido,No,Sí,No muy sociable,2020,19,0,2,0,7,5,Desaprobado
5/05/2022 11:29:38,No,,,,,,,,,,,,,,,
5/05/2022 11:37:06,Sí,ingenieria electronica,Femenino,IV,Normal,No,No,No muy sociable,2019,19,0,7,2,6,3,Aprobado
5/05/2022 11:48:05,Sí,ingenieria civil,Femenino,V,Normal,No,No,Sociable,2019,20,7,5,4,6,5,Aprobado
5/05/2022 11:50:06,No,,,,,,,,,,,,,,,
5/05/2022 11:56:14,Sí,ingenieria civil,Femenino,V,Normal,No,No,Sociable,2019,20,3.5,7,5,7,3,Aprobado
5/05/2022 12:00:57,Sí,ingenieria de quimica,Femenino,IV,Normal,No,No,Sociable,2020,21,0,0,6,7,3,Desaprobado
5/05/2022 12:05:52,Sí,ingenieria mecatronica,Masculino,III,Normal,No,No,No muy sociable,2020,20,3.5,7,10,7,3,Aprobado
5/05/2022 12:07:53,Sí,ingenieria de la energia,Masculino,V,Normal,No,Sí,Sociable,2019,20,6,7,5,7,3,Aprobado
5/05/2022 12:10:43,Sí,ciencias de la computacion,Masculino,IV,Normal,No,No,No muy sociable,2020,20,3,7,5,7,4,Aprobado
5/05/2022 12:26:44,Sí,ingenieria electronica,Masculino,VII,Normal,Sí,No,Sociable,2020,22,5,7,5,6,4,Aprobado
5/05/2022 12:31:43,No,,,,,,,,,,,,,,,
5/05/2022 12:31:54,No,,,,,,,,,,,,,,,
5/05/2022 12:34:41,Sí,Ingeniería Mecánica,Masculino,V,Normal,No,No,Sociable,2021,20,14,15,5,6,3,Aprobado
5/05/2022 12:41:41,Sí,Ingenieria Industrial,Femenino,III,Normal,No,No,Sociable,2021,19,8,10,4,5,3,Aprobado
5/05/2022 12:42:03,No,,,,,,,,,,,,,,,
5/05/2022 13:02:38,Sí,ingenieria civil,Masculino,IV,Triste o deprimido,Sí,No,No sociable,2020,20,0,0,5,7,3,Desaprobado
5/05/2022 13:08:24,Sí,ingenieria mecanica,Masculino,IV,Bien,No,Sí,Sociable,2020,22,0,2,10,6,4,Aprobado
5/05/2022 13:09:52,Sí,ingenieria mecanica,Masculino,III,Normal,Sí,No,No sociable,2021,23,2,3,0,7,3,Desaprobado
5/05/2022 13:12:35,Sí,ciencia de la computacion,Masculino,IV,Normal,No,No,Sociable,2021,19,6,7,7,5,4,Aprobado
5/05/2022 13:15:22,Sí,ingenieria quimica,Femenino,VI,Normal,Sí,No,No sociable,2021,20,0,7,5,7,4,Retirado
5/05/2022 13:17:53,Sí,ingenieria mecanica,Masculino,IV,Normal,No,Sí,No muy sociable,2021,21,6,0,6,7,4,Desaprobado
5/05/2022 13:20:25,Sí,ingenieria civil,Masculino,III,Normal,Sí,No,No muy sociable,2021,23,0,10,6,6,4,Aprobado
5/05/2022 13:35:49,Sí,ingenieria mecanica,Masculino,IV,Normal,No,No,Sociable,2020,18,10,8,10,4,4,Aprobado
5/05/2022 13:37:55,Sí,ingenieria quimica,Femenino,III,Normal,Sí,Sí,No muy sociable,2019,19,12,10,7,5,3,Aprobado
5/05/2022 13:41:50,Sí,ingenieria electronica,Masculino,IV,Bien,Sí,No,Sociable,2019,18,9,6,12,5,3,Retirado
5/05/2022 13:44:06,Sí,ingenieria industrial,Masculino,V,Normal,Sí,No,No muy sociable,2020,19,8,12,6,5,3,Aprobado
5/05/2022 13:45:42,Sí,ingenieria quimica,Femenino,III,Bien,No,No,Sociable,2019,18,12,10,10,4,3,Aprobado
5/05/2022 13:47:19,Sí,ingenieria industrial,Femenino,IV,Bien,No,No,Sociable,2019,19,13,10,10,4,3,Aprobado
5/05/2022 13:49:58,Sí,ingenieria mecanica,Masculino,IV,Normal,Sí,No,No muy sociable,2020,19,9,10,12,4,4,Aprobado
5/05/2022 13:51:36,Sí,ingenieria quimica,Masculino,V,Normal,Sí,No,No muy sociable,2021,19,12,8,12,4,3,Aprobado
5/05/2022 13:52:01,No,,,,,,,,,,,,,,,
5/05/2022 13:54:04,Sí,ingenieria industrial,Masculino,IV,Normal,No,No,Sociable,2020,18,12,14,14,4,5,Aprobado
5/05/2022 13:56:01,Sí,ingenieria quimica,Masculino,IV,Bien,Sí,No,No muy sociable,2020,20,10,10,12,4,3,Aprobado
5/05/2022 13:57:24,Sí,ingenieria industrial,Femenino,III,Bien,No,No,Muy sociable,2021,19,12,14,10,4,3,Aprobado
5/05/2022 13:59:36,Sí,ingenieria electronica,Masculino,IV,Normal,Sí,No,No muy sociable,2019,19,10,10,14,5,3,Aprobado
5/05/2022 14:01:29,Sí,ingenieria quimica,Masculino,V,Normal,Sí,No,No muy sociable,2021,20,10,8,15,4,3,Aprobado
5/05/2022 14:02:34,Sí,ingenieria industrial,Femenino,III,Bien,No,No,Sociable,2021,18,12,14,10,5,5,Aprobado
5/05/2022 14:04:18,Sí,ingenieria quimica,Femenino,IV,Bien,No,No,Sociable,2020,18,10,14,10,4,3,Aprobado
5/05/2022 14:06:01,Sí,ingenieria mecanica,Masculino,III,Normal,Sí,No,No muy sociable,2020,18,14,8,14,4,3,Desaprobado
5/05/2022 14:07:26,Sí,ingenieria quimica,Masculino,IV,Normal,Sí,No,No muy sociable,2021,19,12,10,12,4,3,Aprobado
5/05/2022 14:08:28,Sí,ingenieria industrial,Femenino,III,Bien,No,No,Sociable,2020,19,12,12,10,5,4,Aprobado
5/05/2022 14:10:17,Sí,ingenieria mecanica,Masculino,IV,Bien,Sí,No,No muy sociable,2020,19,15,14,12,5,3,Aprobado
5/05/2022 14:11:49,Sí,ingenieria electronica,Masculino,IV,Normal,No,No,Sociable,2021,19,12,12,10,5,5,Aprobado
5/05/2022 14:12:45,Sí,ingenieria industrial,Femenino,III,Bien,No,No,Muy sociable,2021,18,12,12,10,5,3,Aprobado
5/05/2022 14:13:54,Sí,ingenieria mecanica,Masculino,V,Normal,Sí,No,No muy sociable,2020,19,10,10,15,4,3,Aprobado
5/05/2022 14:15:29,Sí,ingenieria electronica,Masculino,IV,Normal,Sí,No,No muy sociable,2019,19,10,10,16,4,3,Aprobado
5/05/2022 16:07:40,Sí,ingenieria industria,Masculino,IV,Normal,Sí,No,No sociable,2021,20,8,10,14,4,3,Aprobado
5/05/2022 19:32:51,Sí,ingenieria quimica,Masculino,IV,Normal,Sí,No,No sociable,2020,19,14,10,16,4,3,Retirado
5/05/2022 19:34:59,Sí,ingenieria industrial,Femenino,III,Bien,No,No,Sociable,2021,18,14,14,8,5,4,Aprobado
5/05/2022 19:36:15,Sí,ingenieria electronica,Masculino,V,Normal,Sí,No,No muy sociable,2019,20,8,14,16,4,3,Aprobado
15/05/2022 9:39:36,Sí,Bioingenieria,Masculino,IV,Normal,Sí,No,No muy sociable,2022,19,2,5,2,2,3,Aprobado
15/06/2022 20:40:27,Sí,ingenieria industrial,Masculino,II,Bien,No,No,No muy sociable,2020,18,4.3,1.2,3,5,4,Aprobado
15/06/2022 22:55:17,Sí,bioingenieria,Femenino,III,Mal,Sí,Sí,No muy sociable,2021,19,2.1,2.4,2,5,3,Desaprobado
15/06/2022 22:58:29,Sí,ciencia de la computacion,Masculino,III,Bien,No,Sí,Sociable,2021,19,3,2,4,6,5,Retirado
15/06/2022 23:04:41,Sí,ingenieria quimica,Masculino,IV,Mal,No,Sí,No sociable,2020,18,1,1.5,1,5,2,Desaprobado
15/06/2022 23:07:04,Sí,ingenieria mecatronica,Masculino,IV,Excelente,No,No,Muy sociable,2021,19,2.5,2,2,5,5,Aprobado
15/06/2022 23:08:58,Sí,ingenieria mecanica,Masculino,IV,Normal,Sí,No,Sociable,2020,19,3,2,2,7,3,Retirado
15/06/2022 23:18:10,Sí,ingenieria industrial,Masculino,III,Normal,No,No,No muy sociable,2021,18,0,2,2,6,3,Retirado
15/06/2022 23:21:21,Sí,ingenieria civil,Femenino,IV,Bien,No,Sí,Sociable,2020,19,3.5,2,3,5,4,Aprobado
15/06/2022 23:25:17,Sí,bioingenieria,Masculino,III,Mal,No,No,No muy sociable,2021,18,3,4,2,6,3,Retirado
15/06/2022 23:27:05,Sí,ingenieria quimica,Masculino,IV,Bien,No,No,Muy sociable,2020,18,2.5,1.5,2,6,4,Aprobado
15/06/2022 23:28:21,Sí,ingenieria civil,Masculino,III,Bien,No,Sí,No muy sociable,2021,17,1,1,3,6,3,Retirado
15/06/2022 23:29:24,Sí,ingenieria mecanica,Femenino,IV,Mal,Sí,Sí,No muy sociable,2021,19,2.5,2.5,3,6,2,Desaprobado
15/06/2022 23:30:18,Sí,ingenieria de la energia,Femenino,III,Bien,No,No,Sociable,2021,18,3,2,2,5,5,Aprobado
15/06/2022 23:31:26,Sí,bioingenieria,Masculino,III,Triste o deprimido,Sí,No,No muy sociable,2020,18,0.5,1,1,6,3,Desaprobado
17/06/2022 21:47:36,No,,,,,,,,,,,,,,,
18/06/2022 10:46:13,Sí,ingenieria ambiental,Masculino,II,Mal,Sí,No,Sociable,2019,19,2,5,6,7,2,Retirado
18/06/2022 17:34:14,Sí,Ingeniería Mecánica,Masculino,V,Bien,No,No,Muy sociable,2021,22,6,2,3,5,3,Aprobado
18/06/2022 22:31:41,No,,,,,,,,,,,,,,,
18/06/2022 22:31:47,No,,,,,,,,,,,,,,,
18/06/2022 22:31:53,No,,,,,,,,,,,,,,,
18/06/2022 22:32:00,No,,,,,,,,,,,,,,,
18/06/2022 22:33:13,Sí,ingenieria civil,Masculino,V,Normal,Sí,No,No muy sociable,2021,21,2,0,6,6,2,Desaprobado
18/06/2022 22:37:48,Sí,ingenieria ambiental,Femenino,IV,Mal,Sí,Sí,No muy sociable,2020,22,2,0,0,7,5,Retirado
18/06/2022 22:39:23,Sí,ingenieria civil,Masculino,III,Normal,No,No,Sociable,2020,21,0,5,5,6,3,Aprobado
18/06/2022 22:52:19,Sí,ingenieria mecanica,Masculino,IV,Normal,No,Sí,No muy sociable,2020,20,6,8,5,5,3,Aprobado
19/06/2022 9:44:38,Sí,bioingenieria,Masculino,III,Normal,No,No,Sociable,2021,19,2.5,4,2,7,3,Aprobado
19/06/2022 9:47:47,Sí,bioingenieria,Femenino,IV,Normal,No,Sí,No muy sociable,2021,18,2,3.5,1,8,2,Retirado
19/06/2022 9:59:26,Sí,ingenieria civil,Masculino,IV,Mal,No,Sí,No muy sociable,2021,19,2,2,1,6,3,Desaprobado
19/06/2022 10:02:06,Sí,ingenieria industrial,Masculino,II,Mal,No,Sí,No muy sociable,2021,17,1.5,2,1,6,3,Desaprobado
19/06/2022 10:04:12,Sí,ingenieria ambiental,Femenino,III,Bien,No,No,Sociable,2020,18,5,6,1,6,3,Aprobado
19/06/2022 10:08:14,Sí,ciencia de la computacion,Masculino,III,Mal,No,Sí,No sociable,2021,18,1.5,2.5,2,6,3,Retirado
19/06/2022 10:10:04,Sí,ingenieria mecatronica,Masculino,IV,Normal,Sí,No,No muy sociable,2021,19,2,4,1,8,3,Retirado
19/06/2022 10:15:17,Sí,ingenieria quimica,Masculino,III,Mal,Sí,No,No muy sociable,2020,18,1.5,2,1,6,3,Desaprobado
19/06/2022 10:17:03,Sí,ingenieria electronica,Femenino,III,Bien,No,No,Muy sociable,2021,19,4.5,6,2,6,4,Aprobado
19/06/2022 10:18:09,Sí,ingenieria civil,Femenino,IV,Normal,No,Sí,Sociable,2021,18,2,4,2,8,3,Retirado
19/06/2022 10:19:24,Sí,ingenieria de la energia,Femenino,IV,Normal,No,Sí,Sociable,2021,19,2,2,2,7,3,Aprobado
19/06/2022 10:36:46,Sí,ingenieria ambiental,Masculino,III,Bien,No,Sí,Sociable,2020,18,4,6,2,6,4,Aprobado
19/06/2022 10:37:46,Sí,ingenieria civil,Masculino,IV,Mal,No,No,No muy sociable,2021,18,2,1,1,5,4,Retirado
19/06/2022 10:40:40,Sí,ingenieria mecatronica,Masculino,III,Normal,No,No,No muy sociable,2021,18,2,3,2,7,3,Aprobado
19/06/2022 10:48:43,Sí,ingenieria industrial,Femenino,II,Mal,Sí,Sí,Sociable,2021,19,2,2,2,6,3,Retirado
19/06/2022 10:50:27,Sí,bioingenieria,Masculino,III,Bien,No,Sí,Muy sociable,2021,18,4,5,2,6,5,Aprobado
19/06/2022 10:52:18,Sí,ingenieria mecanica,Masculino,III,Mal,No,Sí,No muy sociable,2020,18,1,2,1,6,3,Retirado
19/06/2022 10:55:45,Sí,ingenieria ambiental,Masculino,III,Bien,No,Sí,Sociable,2019,20,5,5,2,5,5,Aprobado
19/06/2022 10:58:45,Sí,ingenieria electronica,Masculino,IV,Mal,Sí,Sí,No muy sociable,2020,18,1,2,1,1,3,Retirado
19/06/2022 10:59:43,Sí,ingenieria civil,Femenino,IV,Normal,No,No,Sociable,2021,20,2,3,2,7,3,Aprobado
19/06/2022 11:01:45,Sí,ingenieria quimica,Femenino,III,Triste o deprimido,Sí,Sí,No muy sociable,2020,18,2,2,1,6,3,Desaprobado
19/06/2022 11:05:56,Sí,ingenieria mecatronica,Masculino,III,Bien,No,Sí,No muy sociable,2021,19,5,5,2,6,3,Retirado
19/06/2022 11:09:23,Sí,bioingenieria,Femenino,IV,Mal,No,Sí,Sociable,2021,19,2,2,1,6,3,Desaprobado
19/06/2022 11:09:59,Sí,ingenieria de la energia,Masculino,IV,Normal,No,Sí,Sociable,2021,19,2,4,2,7,3,Retirado
19/06/2022 11:12:11,Sí,ingenieria mecanica,Masculino,IV,Bien,Sí,No,Sociable,2020,19,5,5,2,6,4,Aprobado
19/06/2022 11:13:22,Sí,ingenieria industrial,Femenino,III,Normal,No,No,Sociable,2019,19,2,3,2,8,3,Retirado
19/06/2022 11:14:10,Sí,ingenieria civil,Femenino,IV,Mal,Sí,Sí,No muy sociable,2020,20,2,2,2,6,4,Retirado
